bomba	bˈomba
desapareixió	dˌesapˌaɾeʃjˈo
deben	dˈeβen
movimiento	mˌoβimjˈɛnto
Edad	eðˈa
anteriors	ˌanteɾjˈɔs
articlos	aɾtˈiklos
nación	naθjˈon
productor	pɾˌoðuktˈoɾ
Star	estˈaɾ
mongols	monɡˈols
Pérez	pˈeɾeθ
poseyen	posˈejɛn
pus	pus
mezcla	mˈeθkla
picos	pˈikos
hectarias	ektˈaɾjas
consonant	kˌonsonˈantʰ
presencia	pɾesˈenθja
catolicos	kˌatolˈikos
escribir	ˌeskɾiβˈiɾ
fuese	fwˈɛse
proteínas	pɾˌoteˈinas
ixos	ˈiʃos
chardín	t͡ʃaɾðˈin
treballa	tɾeβˈaʎa
cantidatz	kˌantiðˈaθ
villas	bˈiʎas
septentrional	sˌeptentɾjɔnˈal
erosión	ˌeɾosjˈon
amariella	ˌamaɾjˈɛʎa
foranos	foɾˈanos
petrolio	petɾˈoljɔ
reinato	re͡ɪnˈato
Vlaquia	blˈakja
Debito	deβˈito
muita	muˈita
conoixer	kˌonoʃˈeɾ
plegata	pleɣˈata
Chuan	t͡ʃwˈan
coloca	kolˈoka
dato	dˈato
celebración	θˌeleβɾaθjˈon
musical	mˌusikˈal
expresar	ˌekspɾesˈaɾ
cheneros	t͡ʃenˈeɾos
naixe	nˈaʃe
perteneixen	pˌeɾtenˈeʃen
English	ˈenɡlis
Plaza	plˈaθa
psicolochía	sˌikolot͡ʃˈia
CD	θˌeðˈe
uns	ˈuns
aC	aθˈe
arredols	ˌareðˈols
vico	bˈiko
emplegos	emplˈeɣos
Corona	koɾˈona
mapas	mˈapas
descripción	dˌeskɾipθjˈon
mirar	miɾˈaɾ
textos	tˈekstos
ilesia	ilˈesja
día	dˈia
clamatos	klamˈatos
formar	foɾmˈaɾ
Entre	ˈentɾe
formula	foɾmˈula
aire	ˈa͡ɪɾe
Mar	mˈaɾ
botigas	botˈiɣas
cine	θˈine
barcos	bˈaɾkos
plans	plˈans
deriva	deɾˈiβa
escala	eskˈala
etapa	etˈapa
maratón	mˌaɾatˈon
iste	ˈiste
mineral	mˌineɾˈal
pareixito	pˌaɾeʃˈito
fizo	fˈiθo
Libre	lˈiβɾe
patrón	patɾˈon
Dios	djˈɔs
coro	kˈoɾo
freqüencia	fɾekwˈenθja
Matarranya	mˌatarˈaɲa
Cada	kˈaða
raso	rˈaso
recibito	rˌeθiβˈito
conoix	konˈoʃ
diminutivo	dˌiminutˈiβo
fruito	fɾuˈito
estilo	estˈilo
vida	bˈiða
vecinas	beθˈinas
nueva	nwˈɛβa
verda	bˈeɾða
relichions	rˌelit͡ʃjˈɔns
Superior	sˌupeɾjˈɔɾ
representaba	rˌepɾesentˈaβa
gusto	ɣˈusto
construcción	kˌonstɾukθjˈon
no	nˈo
Biblioteca	bˌiβljɔtˈeka
Nomás	nomˈas
salas	sˈalas
intelectual	ˌintelektwˈal
castellana	kˌasteʎˈana
grupo	ɣɾˈupo
diferent	dˌifeɾˈentʰ
coincidindo	kˌo͡ɪnθiðˈindo
autoridatz	ˌa͡ʊtoɾiðˈaθ
Atlas	ˈatlas
Felipe	felˈipe
tartres	tˈaɾtɾes
decadas	dekˈaðas
tierras	tjˈɛras
Tiene	tjˈɛne
Polonia	polˈonja
plegato	pleɣˈato
Poco	pˈoko
tribus	tɾˈiβus
relichioso	rˌelit͡ʃjˈɔso
mira	mˈiɾa
primavera	pɾˌimaβˈeɾa
romances	romˈanθes
tallar	taʎˈaɾ
cosa	kˈosa
fisica	fisˈika
d	dˈe
mientres	mjˈɛntɾes
caso	kˈaso
quatreno	kwatɾˈeno
cabeza	kaβˈeθa
procesions	pɾˌoθesjˈɔns
heban	ˈeβan
diya	dˈija
o	ˈo
primaria	pɾimˈaɾja
distribución	dˌistɾiβuθjˈon
construyida	kˌonstɾujˈiða
café	kafˈe
tripulación	tɾˌipulaθjˈon
contiene	kontjˈɛne
dreitament	ðɾˌe͡ɪtamˈentʰ
vinient	binjˈɛntʰ
datos	dˈatos
helenismos	ˌelenˈismos
alavez	ˌalaβˈeθ
arabes	aɾˈaβes
existir	ˌeksistˈiɾ
mosica	mosˈika
veranos	beɾˈanos
pasau	pasˈa͡ʊ
santuario	santwˈaɾjɔ
hai	ˈa͡ɪ
composicions	kˌomposiθjˈɔns
parlants	paɾlˈantʰs
partiu	paɾtˈiu
revistas	reβˈistas
Club	klˈub
infinitivo	ˌimfinitˈiβo
función	funθjˈon
single	sˈinɡle
actividatz	ˌaktiβiðˈaθ
minerals	mˌineɾˈals
mencionato	mˌenθjɔnˈato
Bi	bi
Quasi	kwˈasi
alcuerdo	alkwˈɛɾðo
luengo	lwˈɛnɡo
carga	kˈaɾɣa
glandulas	ɡlandˈulas
deciba	deθˈiβa
factors	faktˈos
ocurre	okˈure
pasos	pˈasos
the	tˈe
poesía	pˌoesˈia
etnicas	etnˈikas
cima	θˈima
etnografico	ˌetnoɣɾafˈiko
Estato	estˈato
tozal	toθˈal
alemana	ˌalemˈana
pareixita	pˌaɾeʃˈita
relacionato	rˌelaθjɔnˈato
noticias	notˈiθjas
Grupo	ɣɾˈupo
significau	sˌiɡnifikˈa͡ʊ
politico	pˌolitˈiko
electronica	ˌelektɾonˈika
Patrimonio	pˌatɾimˈonjɔ
conoixe	konˈoʃe
griega	ɣɾjˈɛɣa
normas	nˈoɾmas
chinesa	t͡ʃinˈesa
zucre	θˈukɾe
carne	kˈaɾne
Consultato	kˌonsultˈato
fablants	faβlˈantʰs
Mundo	mˈundo
colonización	kˌolonˌiθaθjˈon
economicas	ˌekonomˈikas
famosa	famˈosa
presión	pɾesjˈon
curso	kˈuɾso
fuerte	fwˈɛɾte
dichital	dˌit͡ʃitˈal
zagueras	θaɣˈɛɾas
La	la
Este	ˈeste
sexual	sekswˈal
antigos	antˈiɣos
Iberica	ˌiβeɾˈika
choventut	t͡ʃˌoβentˈutʰ
continar	kˌontinˈaɾ
Comunidat	kˌomuniðˈatʰ
charran	t͡ʃˈaran
honor	onˈoɾ
feba	fˈeβa
Baixo	bˈaʃo
tropas	tɾˈopas
complemento	kˌomplemˈento
exercitos	ˌekseɾθˈitos
nombrar	nombɾˈaɾ
palabra	palˈaβɾa
Turquía	tuɾkˈia
excepcions	ˌeksθepθjˈɔns
tendrá	tendɾˈa
chelera	t͡ʃelˈeɾa
pendient	pendjˈɛntʰ
administrativament	ˌadminˌistɾatˌiβamˈentʰ
car	kˈaɾ
Alemanya	ˌalemˈaɲa
arredol	ˌareðˈol
tercio	tˈeɾθjɔ
probablement	pɾˌoβaβlemˈentʰ
montanyosa	mˌontaɲˈɔsa
creya	kɾˈeja
indichenas	ˌindit͡ʃˈenas
vita	bˈita
Atra	ˈatɾa
levar	leβˈaɾ
meyos	mˈejɔs
Al	ˈal
pachina	pat͡ʃˈina
poblata	poβlˈata
ISBN	ˈisbn
decreto	dekɾˈeto
ir	ˈiɾ
reina	rˈe͡ɪna
part	pˈaɾtʰ
fuera	fwˈɛɾa
piezas	pjˈɛθas
rematanza	rˌematˈanθa
material	mˌateɾjˈal
cobalto	koβˈalto
eixemplars	ˌeʃemplˈas
quals	kwˈals
estrato	estɾˈato
von	bˈon
subordinada	sˌuβoɾðinˈaða
relación	rˌelaθjˈon
campesins	kˌampesˈins
sud	sˈu
mm	ˌɛmeˈɛme
José	xosˈe
altos	ˈaltos
CPU	kpˈu
lingüista	linɡwˈista
olimpico	ˌolimpˈiko
recupera	rˌekupˈeɾa
Dica	dˈika
trobau	tɾoβˈa͡ʊ
laco	lˈako
rematar	rˌematˈaɾ
paralela	pˌaɾalˈela
Porto	pˈoɾto
carretera	kˌaretˈeɾa
partius	paɾtˈius
amigo	amˈiɣo
superficies	sˌupeɾfˈiθjɛs
anunció	ˌanunθjˈo
especificos	ˌespeθifˈikos
propagación	pɾˌopaɣaθjˈon
trafico	tɾafˈiko
serbos	sˈeɾβos
chusticia	t͡ʃustˈiθja
presonal	pɾˌesonˈal
siet	sjˈɛtʰ
cría	kɾˈia
nativos	natˈiβos
Sancho	sˈant͡ʃo
quartel	kwaɾtˈel
lingüistico	lˌinɡwistˈiko
ixa	ˈiʃa
etapas	etˈapas
mil	mˈil
considera	kˌonsiðˈeɾa
suyas	sˈujas
historico	ˌistoɾˈiko
chugando	t͡ʃuɣˈando
China	t͡ʃˈina
habiu	aβˈiu
cristianismo	kɾˌistjanˈismo
copa	kˈopa
crovates	kɾoβˈates
feita	fˈe͡ɪta
uno	ˈuno
comercial	kˌomeɾθjˈal
sobirán	sˌoβiɾˈan
colechio	kolˈet͡ʃjɔ
ret	rˈetʰ
parlan	pˈaɾlan
necesario	nˌeθesˈaɾjɔ
decenio	deθˈenjɔ
administrativo	ˌadminˌistɾatˈiβo
dirección	dˌiɾekθjˈon
se	se
habita	aβˈita
trazas	tɾˈaθas
humanidat	ˌumaniðˈatʰ
luengache	lwɛnɡˈat͡ʃe
efecto	efˈekto
pronombre	pɾonˈombɾe
Partiu	paɾtˈiu
recorriu	rˌekorˈiu
formando	foɾmˈando
disolución	dˌisoluθjˈon
ortodoxa	ˌoɾtoðˈoksa
protagonista	pɾˌotaɣonˈista
practica	pɾaktˈika
publicacions	pˌuβlikaθjˈɔns
ocupaba	ˌokupˈaβa
basada	basˈaða
principalment	pɾˌinθipalmˈentʰ
present	pɾesˈentʰ
cierta	θjˈɛɾta
especialidat	ˌespeθjˌaliðˈatʰ
Coreya	koɾˈeja
doncas	dˈonkas
substrato	suβstɾˈato
quantos	kwˈantos
viello	bjˈɛʎo
antis	ˈantis
institucions	ˌinstituθjˈɔns
rango	rˈanɡo
contraste	kontɾˈaste
resultatos	rˌesultˈatos
fuerza	fwˈɛɾθa
crosta	kɾˈosta
Se	se
dar	dˈaɾ
civilización	θˌiβilˌiθaθjˈon
gran	ɣɾˈan
territorials	tˌeritoɾjˈals
Martin	mˈaɾtin
solo	sˈolo
famoso	famˈoso
real	reˈal
treballando	tɾˌeβaʎˈando
amés	amˈes
regular	rˌeɣulˈaɾ
representau	rˌepɾesentˈa͡ʊ
Mesmo	mˈesmo
nacionalistas	nˌaθjɔnalˈistas
capitals	kˌapitˈals
relacionaus	rˌelaθjɔnˈa͡ʊs
capable	kapˈaβle
pieza	pjˈɛθa
prestichio	pɾestˈit͡ʃjɔ
al	ˈal
instalacions	ˌinstalaθjˈɔns
Ibn	ˈibn
creyen	kɾˈejɛn
reconquiesta	rˌekonkjˈɛsta
programa	pɾoɣɾˈama
bandas	bˈandas
frent	fɾˈentʰ
inicial	ˌiniθjˈal
Oxford	oksfˈoɾ
problema	pɾoβlˈema
sitúa	sitˈua
comunistas	kˌomunˈistas
condato	kondˈato
Santiago	santjˈaɣo
auguas	ˈa͡ʊɣwas
consumo	konsˈumo
Valle	bˈaʎe
emplego	emplˈeɣo
altament	ˌaltamˈentʰ
agosto	aɣˈosto
charra	t͡ʃˈara
curva	kˈuɾβa
Prensas	pɾˈensas
cercuito	θˌeɾkuˈito
hibiernos	iβjˈɛɾnos
civil	θiβˈil
principio	pɾinθˈipjɔ
tamas	tˈamas
cantos	kˈantos
tendría	tendɾˈia
Poseye	posˈejɛ
irregular	ˌireɣulˈaɾ
tractar	tɾaktˈaɾ
tiempos	tjˈɛmpos
actor	aktˈoɾ
formada	foɾmˈaða
banda	bˈanda
español	ˌespaɲˈol
polo	pˈolo
culturals	kˌultuɾˈals
títols	tˈitols
aragonesa	ˌaɾaɣonˈesa
etnicos	etnˈikos
equipo	ekˈipo
Aragón	ˌaɾaɣˈon
Editorial	ˌeðitoɾjˈal
viaches	bjˈat͡ʃes
C	θˈe
describen	deskɾˈiβen
mundials	mundjˈals
Tomás	tomˈas
u	ˈu
provincia	pɾoβˈinθja
Democratica	dˌemokɾatˈika
pueblos	pwˈɛβlos
incluyen	inklˈujɛn
posibles	posˈiβles
quala	kwˈala
Puede	pwˈɛðe
feban	fˈeβan
fuoron	fwˈɔɾon
continental	kˌontinentˈal
mas	mˈas
Estos	ˈestos
rechira	ret͡ʃˈiɾa
mercau	meɾkˈa͡ʊ
traduccions	tɾˌaðukθjˈɔns
creyada	kɾejˈaða
recuperar	rˌekupeɾˈaɾ
posteriorment	pˌosteɾjɔɾmˈentʰ
Sánchez	sˈant͡ʃeθ
mayor	majˈɔɾ
Albarracín	ˌalβaraθˈin
establió	ˌestaβljˈo
oficials	ˌofiθjˈals
web	βˈeb
coste	kˈoste
etimolochía	ˌetimˌolot͡ʃˈia
fuent	fwˈɛntʰ
dividiu	dˌiβiðˈiu
au	ˈa͡ʊ
retz	rˈeθ
teatral	tˌeatɾˈal
recients	reθjˈɛntʰs
insectos	insˈektos
versant	beɾsˈantʰ
calidat	kˌaliðˈatʰ
fisicos	fisˈikos
cocina	koθˈina
absoluta	ˌaβsolˈuta
chelo	t͡ʃˈelo
alazetz	ˌalaθˈeθ
discografica	dˌiskoɣɾafˈika
estau	estˈa͡ʊ
seguida	seɣˈiða
colección	kˌolekθjˈon
peninsula	pˌeninsˈula
alta	ˈalta
situacions	sˌitwaθjˈɔns
colonial	kˌolonjˈal
Sinyora	siɲˈɔɾa
campos	kˈampos
Krajina	kɾaxˈina
Recibe	reθˈiβe
New	nˈeβ
Sellier	seʎjˈɛɾ
campanya	kampˈaɲa
piensa	pjˈɛnsa
hora	ˈoɾa
Sistema	sistˈema
tipicament	tˌipikamˈentʰ
consideraus	kˌonsiðeɾˈa͡ʊs
calients	kaljˈɛntʰs
palabras	palˈaβɾas
homosexualidat	ˌomosˌekswaliðˈatʰ
murallas	muɾˈaʎas
quedar	kɛðˈaɾ
fiesta	fjˈɛsta
publicos	puβlˈikos
monts	mˈontʰs
Evolución	ˌeβoluθjˈon
mamiferos	mˌamifˈeɾos
perfectament	pˌeɾfektamˈentʰ
seguridat	sˌeɣuɾiðˈatʰ
Isabel	ˌisaβˈel
escritors	ˌeskɾitˈos
dencima	denθˈima
proposó	pɾˌoposˈo
aproximadament	ˌapɾoksˌimaðamˈentʰ
carrera	karˈeɾa
pasachers	pˌasat͡ʃˈes
Cheneral	t͡ʃˌeneɾˈal
continación	kˌontinaθjˈon
periodos	peɾjˈɔðos
antigas	antˈiɣas
que	kɛ
quarto	kwˈaɾto
melitars	mˌelitˈas
mesa	mˈesa
muertos	mwˈɛɾtos
letra	lˈetɾa
memoria	memˈoɾja
americana	ˌameɾikˈana
cuentas	kwˈɛntas
protecher	pɾˌotet͡ʃˈeɾ
caixa	kˈaʃa
famosos	famˈosos
tan	tˈan
GPL	ɡˌepˌeˈɛle
Brasil	βɾasˈil
chenero	t͡ʃenˈeɾo
presonache	pɾˌesonˈat͡ʃe
fuesen	fwˈɛsen
pocas	pˈokas
laboral	lˌaβoɾˈal
Banks	bˈanks
zona	θˈona
Madeira	maðˈe͡ɪɾa
parlas	pˈaɾlas
foneticas	fˌonetˈikas
distribuye	dˌistɾiβˈujɛ
Sobrarbe	soβɾˈaɾβe
Patrick	patɾˈik
yoga	jˈɔɣa
torna	tˈoɾna
huei	ɡwˈe͡ɪ
Archivo	aɾt͡ʃˈiβo
posiblement	pˌosiβlemˈentʰ
actors	aktˈos
Sciencias	esθjˈɛnθjas
edat	eðˈatʰ
é	ˈeakθɛntwˈaða
vals	bˈals
vía	bˈia
Lengua	lˈenɡwa
scientifico	esθjˌɛntifˈiko
metals	metˈals
usuarios	uswˈaɾjɔs
carbonio	kaɾβˈonjɔ
consideratos	kˌonsiðeɾˈatos
Campionato	kˌampjɔnˈato
ortografía	ˌoɾtoɣɾafˈia
provincial	pɾˌoβinθjˈal
presupuesto	pɾˌesupwˈɛsto
plegau	pleɣˈa͡ʊ
Cortes	kˈoɾtes
bispe	bˈispe
Gara	ɣˈaɾa
valors	balˈos
campionato	kˌampjɔnˈato
anglesa	anɡlˈesa
delta	dˈelta
racial	raθjˈal
desaugua	desˈa͡ʊɣwa
habituals	ˌaβitwˈals
liga	lˈiɣa
Posteriorment	pˌosteɾjɔɾmˈentʰ
decisions	dˌeθisjˈɔns
Don	dˈon
onda	ˈonda
placas	plˈakas
designa	desˈiɡna
barranco	barˈanko
medieval	mˌeðjɛβˈal
latina	latˈina
universal	ˌuniβeɾsˈal
Chunta	t͡ʃˈunta
Historia	istˈoɾja
cort	kˈoɾtʰ
equipes	ekˈipes
participó	pˌaɾtiθipˈo
europeas	ˌe͡ʊɾopˈeas
Catolica	kˌatolˈika
ordenó	ˌoɾðenˈo
neerlandés	nˌeeɾlandˈes
manifiesta	mˌanifjˈɛsta
Dinamarca	dˌinamˈaɾka
N	ˈɛne
Estadio	estˈaðjɔ
caracter	kˌaɾaktˈeɾ
Sociedad	sˌoθjɛðˈa
As	ˈas
camín	kamˈin
termins	teɾmˈins
residents	rˌesiðˈentʰs
concello	konθˈeʎo
minoritaria	mˌinoɾitˈaɾja
marins	maɾˈins
Balcans	balkˈans
ordinador	ˌoɾðinaðˈoɾ
Bretanya	βɾetˈaɲa
chermanico	t͡ʃˌeɾmanˈiko
unidatz	ˌuniðˈaθ
los	los
precipitación	pɾˌeθipˌitaθjˈon
horizontal	ˌoɾiθontˈal
refirme	refˈiɾme
corona	koɾˈona
ISO	ˈiso
propiedatz	pɾˌopjɛðˈaθ
els	els
scenas	esθˈenas
resultaus	rˌesultˈa͡ʊs
constituye	kˌonstitˈujɛ
considerata	kˌonsiðeɾˈata
cambio	kˈambjɔ
seu	sˈe͡ʊ
convento	kombˈento
ha	ˈa
incoativos	ˌinkoatˈiβos
complexo	komplˈekso
colonia	kolˈonja
guaires	ɡwˈa͡ɪɾes
soldaus	solðˈa͡ʊs
Española	ˌespaɲˈola
Primer	pɾimˈeɾ
presona	pɾesˈona
components	kˌomponˈentʰs
columna	kolˈumna
rechión	ret͡ʃjˈon
documentau	dˌokumentˈa͡ʊ
Val	bˈal
simients	simjˈɛntʰs
Pierre	pjˈɛre
Mediterrania	mˌeðiterˈanja
Bavera	baβˈeɾa
medievals	mˌeðjɛβˈals
ofreixe	ofɾˈeʃe
institución	ˌinstituθjˈon
seguntes	seɣˈuntes
proposau	pɾˌoposˈa͡ʊ
lechislativo	lˌet͡ʃislatˈiβo
dividen	diβˈiðen
abundant	ˌaβundˈantʰ
monarca	monˈaɾka
posicions	pˌosiθjˈɔns
sozmesos	soθmˈesos
emperador	ˌempeɾaðˈoɾ
comunidatz	kˌomuniðˈaθ
Unión	unjˈon
Joseph	xosˈep
pasan	pˈasan
microtoponimo	mˌikɾotˌoponˈimo
Casa	kˈasa
espacio	espˈaθjɔ
suficient	sˌufiθjˈɛntʰ
unica	unˈika
elemento	ˌelemˈento
rematan	remˈatan
parroquial	pˌarokjˈal
dinastía	dˌinastˈia
qual	kwˈal
cheneracions	t͡ʃˌeneɾaθjˈɔns
sobretot	sˌoβɾetˈotʰ
teneba	tenˈeβa
peixes	pˈeʃes
més	mˈes
situada	sitwˈaða
vueito	bwˈe͡ɪto
caballers	kˌaβaʎˈes
continent	kˌontinˈentʰ
Barranco	barˈanko
Ángel	ˈanxel
Mexico	meksˈiko
causas	kˈa͡ʊsas
zaguer	θaɣˈɛɾ
chira	t͡ʃˈiɾa
XII	doθˈeno
urbano	uɾβˈano
Noruega	nˌoɾuˈɛɣa
comité	kˌomitˈe
criterio	kɾitˈeɾjɔ
collas	kˈoʎas
emplegata	ˌempleɣˈata
directo	diɾˈekto
desembocadura	dˌesembˌokaðˈuɾa
viviba	biβˈiβa
hemisferio	ˌemisfˈeɾjɔ
septentrionals	sˌeptentɾjɔnˈals
armas	ˈaɾmas
estausunidense	ˌesta͡ʊsˌuniðˈense
prencipals	pɾˌenθipˈals
universidat	ˌuniβˌeɾsiðˈatʰ
demografica	dˌemoɣɾafˈika
muestra	mwˈɛstɾa
claras	klˈaɾas
construyir	kˌonstɾujˈiɾ
royos	rˈojɔs
Head	eˈa
pasiva	pasˈiβa
coma	kˈoma
Han	ˈan
goyo	ɣˈojɔ
Ixa	ˈiʃa
Balbastro	balβˈastɾo
etz	ˈeθ
mete	mˈete
pavo	pˈaβo
Parque	pˈaɾkɛ
homonima	ˌomonˈima
caracteristica	kˌaɾaktˌeɾistˈika
trenta	tɾˈenta
Orden	ˈoɾðen
vicos	bˈikos
David	daβˈi
artistico	ˌaɾtistˈiko
Murcia	mˈuɾθja
mayestros	majˈɛstɾos
concreto	konkɾˈeto
han	ˈan
ubierta	uβjˈɛɾta
basa	bˈasa
considerar	kˌonsiðeɾˈaɾ
excepción	ˌeksθepθjˈon
isla	ˈisla
Letras	lˈetɾas
cartas	kˈaɾtas
países	paˈises
termino	teɾmˈino
francesa	fɾanθˈesa
también	tambjˈen
torismo	toɾˈismo
Francisco	fɾanθˈisko
bells	bels
resistencia	rˌesistˈenθja
imperial	ˌimpeɾjˈal
electricos	ˌelektɾˈikos
Peninsula	pˌeninsˈula
leito	lˈe͡ɪto
decir	deθˈiɾ
turcos	tˈuɾkos
otomans	ˌotomˈans
Antón	antˈon
prencipió	pɾˌenθipjˈo
millor	miʎˈoɾ
Serbia	sˈeɾβja
fortaleza	fˌoɾtalˈeθa
dificils	dˌifiθˈils
materia	matˈeɾja
esta	ˈesta
podría	poðɾˈia
setio	sˈetjɔ
rechional	rˌet͡ʃjɔnˈal
golfo	ɣˈolfo
Esta	ˈesta
tardi	tˈaɾði
cucha	kˈut͡ʃa
Molimento	mˌolimˈento
posibilidat	pˌosiβˌiliðˈatʰ
nomenclatura	nˌomenklatˈuɾa
electronicos	ˌelektɾonˈikos
produce	pɾoðˈuθe
Valencia	balˈenθja
siglo	sˈiɣlo
quatrena	kwatɾˈena
ibn	ˈibn
pena	pˈena
foco	fˈoko
construir	kˌonstɾuˈiɾ
sieglos	sjˈɛɣlos
consiste	konsˈiste
medio	mˈeðjɔ
terminacions	tˌeɾminaθjˈɔns
firme	fˈiɾme
prebar	pɾeβˈaɾ
distingue	distˈinɡɛ
recientment	rˌeθjɛnmˈentʰ
lacos	lˈakos
verbals	beɾβˈals
ronda	rˈonda
plegó	pleɣˈo
chacimientos	t͡ʃˌaθimjˈɛntos
emitir	ˌemitˈiɾ
representants	rˌepɾesentˈantʰs
caracters	kˌaɾaktˈes
temporada	tˌempoɾˈaða
trescruza	tɾeskɾˈuθa
Leyón	lejˈon
Categoría	kˌateɣoɾˈia
Baixa	bˈaʃa
sobiranía	sˌoβiɾanˈia
emplegando	ˌempleɣˈando
cheneralment	t͡ʃˌeneɾalmˈentʰ
corresponden	kˌorespˈonden
cadagún	kˌaðaɣˈun
derivación	dˌeɾiβaθjˈon
multiples	multˈiples
Solament	sˌolamˈentʰ
Guardia	ɡwˈaɾðja
afecta	afˈekta
forman	fˈoɾman
cinematografica	θˌinemˌatoɣɾafˈika
nino	nˈino
Belarrusia	bˌelarˈusja
basata	basˈata
Dentre	dˈentɾe
lexico	leksˈiko
expansión	ˌekspansjˈon
mandato	mandˈato
numero	numˈeɾo
organicos	ˌoɾɣanˈikos
cuencas	kwˈɛnkas
derivan	deɾˈiβan
nuestra	nwˈɛstɾa
etnico	etnˈiko
fierro	fjˈɛro
III	tɛɾθˈɛɾo
ubicación	ˌuβikaθjˈon
sentir	sentˈiɾ
divisions	dˌiβisjˈɔns
espanyol	ˌespaɲˈɔl
estatos	estˈatos
internacionalment	ˌinteɾnˌaθjɔnalmˈentʰ
reglas	rˈeɣlas
vivienda	biβjˈɛnda
sabe	sˈaβe
vechetación	bˌet͡ʃetaθjˈon
oral	oɾˈal
uso	ˈuso
Monts	mˈontʰs
duró	duɾˈo
perfecto	peɾfˈekto
historica	ˌistoɾˈika
Antimás	ˌantimˈas
equipos	ekˈipos
administrativos	ˌadminˌistɾatˈiβos
contrario	kontɾˈaɾjɔ
solución	sˌoluθjˈon
medico	meðˈiko
suelo	swˈɛlo
Hue	ɡwˈɛ
fueros	fwˈɛɾos
mils	mˈils
centrals	θentɾˈals
chuez	t͡ʃwˈɛθ
millors	miʎˈos
replega	replˈeɣa
escriben	eskɾˈiβen
anyatas	aɲˈatas
solido	solˈiðo
Libro	lˈiβɾo
hipotesi	ˌipotˈesi
edificio	ˌeðifˈiθjɔ
territorio	tˌeritˈoɾjɔ
tecnolochía	tˌeknolot͡ʃˈia
E	ˈe
chenetica	t͡ʃˌenetˈika
dirichent	dˌiɾit͡ʃˈentʰ
libertat	lˌiβeɾtˈatʰ
Congo	kˈonɡo
tren	tɾˈen
Tien	tjˈɛn
reconoixiu	rˌekonoʃˈiu
organos	oɾɣˈanos
intensa	intˈensa
provién	pɾoβjˈen
figura	fiɣˈuɾa
eslavo	eslˈaβo
Calatayú	kˌalatajˈu
Beach	beˈat͡ʃ
Municipal	mˌuniθipˈal
encluye	enklˈujɛ
educación	ˌeðukaθjˈon
anyos	ˈaɲɔs
Steven	estˈeβen
animals	ˌanimˈals
Frusciante	fɾusθjˈante
negra	nˈeɣɾa
visigodos	bˌisiɣˈoðos
ecetra	eθˈetɾa
planas	plˈanas
mesura	mesˈuɾa
chovens	t͡ʃoβˈens
ropa	rˈopa
mantener	mˌantenˈeɾ
nobles	nˈoβles
sala	sˈala
una	ˈuna
marrón	marˈon
celtas	θˈeltas
planeta	planˈeta
nuevo	nwˈɛβo
Gubierno	ɣuβjˈɛɾno
cantaire	kantˈa͡ɪɾe
asambleya	ˌasamblˈeja
esdevenindo	ˌesðeβenˈindo
basicos	basˈikos
destacable	dˌestakˈaβle
para	pˈaɾa
calendatas	kˌalendˈatas
protección	pɾˌotekθjˈon
continó	kˌontinˈo
fació	faθjˈo
muro	mˈuɾo
negativa	nˌeɣatˈiβa
fembra	fˈembɾa
Uniu	unˈiu
dimensión	dˌimensjˈon
conciertos	konθjˈɛɾtos
imachens	ˌimat͡ʃˈens
chent	t͡ʃˈentʰ
investigación	ˌimbestˌiɣaθjˈon
continentals	kˌontinentˈals
paso	pˈaso
ganando	ɣanˈando
si	sˈi
Rafael	rˌafaˈel
momento	momˈento
mediterranio	mˌeðiterˈanjɔ
fin	fˈin
tercera	teɾθˈeɾa
composadas	kˌomposˈaðas
Teruel	tˌeɾuˈɛl
peninsular	pˌeninsulˈaɾ
inte	ˈinte
prenendo	pɾenˈendo
me	me
sector	sektˈoɾ
estudeos	ˌestuðˈeos
i	ˈi
partz	pˈaɾθ
sección	sekθjˈon
cargas	kˈaɾɣas
sobre	sˈoβɾe
aragonesas	ˌaɾaɣonˈesas
circulación	θˌiɾkulaθjˈon
veyen	bˈejɛn
encomenzoron	ˌenkomenθˈoɾon
Anatolia	ˌanatˈolja
devez	deβˈeθ
bebidas	beβˈiðas
comportamiento	kˌompoɾtamjˈɛnto
I	ˈi
treballos	tɾeβˈaʎos
obtener	ˌobtenˈeɾ
Moncayo	monkˈajɔ
conoixiu	kˌonoʃˈiu
Departamento	dˌepaɾtamˈento
como	kˌomo
segunda	seɣˈunda
masiva	masˈiβa
tradicions	tɾˌaðiθjˈɔns
profesional	pɾˌofesjɔnˈal
final	finˈal
cubierto	kuβjˈɛɾto
Istas	ˈistas
gobierno	ɣoβjˈɛɾno
servicios	seɾβˈiθjɔs
ubrió	uβɾjˈo
Loís	loˈis
radar	raðˈaɾ
verde	bˈeɾðe
plataforma	plˌatafˈoɾma
volar	bolˈaɾ
pensar	pensˈaɾ
tarde	tˈaɾðe
pareixiu	pˌaɾeʃˈiu
influyó	ˌimflujˈo
North	nˈoɾt
et	ˈetʰ
atorga	atˈoɾɣa
meyaus	mejˈa͡ʊs
creyar	kɾejˈaɾ
televisión	tˌeleβisjˈon
Meseta	mesˈeta
urbán	uɾβˈan
permiten	peɾmˈiten
politicas	pˌolitˈikas
Muit	muˈitʰ
tién	tjˈen
economico	ˌekonomˈiko
siguen	sˈiɣɛn
afirma	afˈiɾma
hesen	ˈesen
colla	kˈoʎa
inferiors	ˌimfeɾjˈɔs
ninvió	nimbjˈo
