เกลือก	klɯa̯k̚˨˩
สเกต	sa˨˩.ket̚˦˥
พิเศษ	pʰi˦˥.seːt̚˨˩
อารมณ์ขัน	ʔaː˧.rom˧.kʰan˩˩˦
กล้องดูดาว	klɔːŋ˥˩.duː˧.daːw˧
นัด	nat̚˦˥
มนุษย์ต่างดาว	ma˦˥.nut̚˦˥.taːŋ˨˩.daːw˧
การเจอ	kaːn˧.t͡ɕɤː˧
จุดยืน	t͡ɕut̚˨˩.jɯːn˧
ของไหล	kʰɔːŋ˩˩˦.laj˩˩˦
สาว	saːw˩˩˦
ร่ำลา	ram˥˩.laː˧
มะเร็งเม็ดเลือดขาว	ma˦˥.reŋ˧.met̚˦˥.lɯa̯t̚˥˩.kʰaːw˩˩˦
ฮิระงะนะ	hi˦˥.ra˦˥.ŋa˦˥.naʔ˦˥
กำกับ	kam˧.kap̚˨˩
ธนู	tʰa˦˥.nuː˧
ทรงหกหน้า	soŋ˧.hok̚˨˩.naː˥˩
เหม่อ	mɤː˨˩
รัทเทอร์ฟอร์เดียม	rat̚˦˥.tʰɤː˥˩.fɔː˧.dia̯m˥˩
แทน	tʰɛːn˧
โคเปนเฮเกน	kʰoː˧.peːn˧.heː˧.ken˥˩
รักบี้	rak̚˦˥.biː˥˩
หินลับมีด	hin˩˩˦.lap̚˦˥.miːt̚˥˩
อาก้า	ʔaː˧.kaː˥˩
ว่าความ	waː˥˩.kʰwaːm˧
การยืม	kaːn˧.jɯːm˧
ปลาหมอตายเพราะปาก	plaː˧.mɔː˩˩˦.taːj˧.pʰrɔʔ˦˥.paːk̚˨˩
ผู้ให้	pʰuː˥˩.haj˥˩
วายชนม์	waːj˧.t͡ɕʰon˧
พหุนาม	pʰa˦˥.hu˨˩.naːm˧
เผา	pʰaw˩˩˦
เอาเปรียบ	ʔaw˧.pria̯p̚˨˩
เล่นตัว	len˥˩.tua̯˧
หมากัดอย่ากัดตอบ	maː˩˩˦.kat̚˨˩.jaː˨˩.kat̚˨˩.tɔːp̚˨˩
มนุษย์	ma˧.nut̚˦˥,ma˦˥.nut̚˦˥
ปล้อง	plɔŋ˥˩
สี่เหลี่ยมด้านขนาน	siː˨˩.lia̯m˨˩.daːn˥˩.kʰa˨˩.naːn˩˩˦
ที่ราบ	tʰiː˥˩.raːp̚˥˩
ถุงนอน	tʰuŋ˩˩˦.nɔːn˧
เนเธอร์แลนด์	neː˧.tʰɤː˥˩.lɛːn˧
กฎหมายระหว่างประเทศแผนกคดีบุคคล	kot̚˨˩.maːj˩˩˦.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩.pʰa˨˩.nɛːk̚˨˩.kʰa˦˥.diː˧.buk̚˨˩.kʰon˧
อะเมริเซียม	ʔa˨˩.meː˧.ri˦˥.sia̯m˥˩
อาร์กติก	ʔaːk̚˦˥.tik̚˨˩
อารัมภบท	ʔaː˧.ram˧.pʰa˦˥.bot̚˨˩
ไทดำ	tʰaj˧.dam˧
ต้องการ	tɔŋ˥˩.kaːn˧
จุด	t͡ɕut̚˨˩
ปาขี้	paː˧.kʰiː˥˩
บิด	bit̚˨˩
ความบริสุทธิ์	kʰwaːm˧.bɔː˧.ri˦˥.sut̚˨˩
คาทอลิก	kʰaː˧.tʰɔː˧.lik̚˨˩
เอน	ʔeːn˧
ความสร้างสรรค์	kʰwaːm˧.saːŋ˥˩.san˩˩˦
กระหาย	kra˨˩.haːj˩˩˦
สหรัฐ	sa˨˩.ha˨˩.rat̚˦˥
กำปั้น	kam˧.pan˥˩
เอนไซม์	ʔen˧.saːj˧
ช้ำ	t͡ɕʰam˦˥
คีตกวี	kʰiː˧.ta˨˩.ka˨˩.wiː˧
ตู้เย็น	tuː˥˩.jen˧
กรรม	kam˧.ma˦˥.,kam˧
กฎมนเทียรบาล	kot̚˨˩.mon˧.tʰia̯n˧.baːn˧
ช้างน้ำ	t͡ɕʰaːŋ˦˥.naːm˦˥
การจำลอง	kaːn˧.t͡ɕam˧.lɔːŋ˧
ภาพปลากรอบ	pʰaːp̚˥˩.plaː˧.krɔːp̚˨˩
บิ๊ก	bik̚˦˥
ลูกค้า	luːk̚˥˩.kʰaː˦˥
ชโย	t͡ɕʰa˦˥.joː˧
รักชาติ	rak̚˦˥.t͡ɕʰaːt̚˥˩
ภริยา	pʰa˦˥.ri˦˥.jaː˧
ฝาน	faːn˩˩˦
ช่างหล่อ	t͡ɕʰaːŋ˥˩.lɔː˨˩
การฮั้ว	kaːn˧.hua̯˦˥
สระอะ	sa˨˩.ra˨˩.ʔaʔ˨˩
ดาวเคราะห์นอกระบบ	daːw˧.kʰrɔʔ˦˥.nɔːk̚˥˩.ra˦˥.bop̚˨˩
ขี้เหนียว	kʰiː˥˩.nia̯w˩˩˦
อิสลาม	ʔit̚˨˩.sa˨˩.laːm˧
กระยาง	kra˨˩.jaːŋ˧
เครื่องวัดอุณหภูมิ	kʰrɯa̯ŋ˥˩.wat̚˦˥.ʔun˧.ha˨˩.pʰuːm˧
ปราการ	praː˧.kaːn˧
เห็นกงจักรเป็นดอกบัว	hen˩˩˦.koŋ˧.t͡ɕak̚˨˩.pen˧.dɔːk̚˨˩.bua̯˧
การเข้าเมือง	kaːn˧.kʰaw˥˩.mɯa̯ŋ˧
คานหาม	kʰaːn˧.haːm˩˩˦
เรือนไฟ	rɯa̯n˧.faj˧
เบี่ยง	bia̯ŋ˨˩
เผ็ด	pʰet̚˨˩
ที่เปิดขวด	tʰiː˥˩.pɤːt̚˨˩.kʰua̯t̚˨˩
ลิ้ม	lim˦˥
ใบเลี้ยง	baj˧.lia̯ŋ˦˥
เหลน	leːn˩˩˦
เจียม	t͡ɕia̯m˧
ไม้อัด	maːj˦˥.ʔat̚˨˩
เปลือกตา	plɯa̯k̚˨˩.taː˧
แขนเสื้อ	kʰɛːn˩˩˦.sɯa̯˥˩
ต้มข่า	tom˥˩.kʰaː˨˩
การสีซอให้ควายฟัง	kaːn˧.siː˩˩˦.sɔː˧.haj˥˩.kʰwaːj˧.faŋ˧
ปัง	paŋ˧
เข้าใจ	kʰaw˥˩.t͡ɕaj˧
ตัณหา	tan˧.haː˩˩˦
คลื่นใส้	kʰlɯːn˥˩.saj˥˩
กะละปังหา	ka˨˩.la˦˥.paŋ˧.haː˩˩˦
เนื่อง	nɯa̯ŋ˥˩
อาญาสิทธิ์	ʔaː˧.jaː˧.sit̚˨˩
กำเนิด	kam˧.nɤːt̚˨˩
ข้อนิ้ว	kʰɔː˥˩.niw˦˥
ความเท่ห์	kʰwaːm˧.tʰeː˥˩
ถู	tʰuː˩˩˦
โบก	boːk̚˨˩
ความดันโลหิต	kʰwaːm˧.dan˧.loː˧.hit̚˨˩
ท่าอากาศยาน	tʰaː˥˩.ʔaː˧.kaːt̚˨˩.sa˨˩.jaːn˧
ข้าวฟ่าง	kʰaːw˥˩.faːŋ˥˩
สุขภาพจิต	suk̚˨˩.kʰa˨˩.pʰaːp̚˥˩.t͡ɕit̚˨˩
กฎหมายระหว่างประเทศ	kot̚˨˩.maːj˩˩˦.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩
นิมิต	ni˦˥.mit̚˦˥
ชำเรา	t͡ɕʰam˧.raw˧
ทรงกลมฟ้า	soŋ˧.klom˧.faː˦˥
ประกันชีวิต	pra˨˩.kan˧.t͡ɕʰiː˧.wit̚˦˥
การแข็งตัวขององคชาต	kaːn˧.kʰɛŋ˩˩˦.tua̯˧.kʰɔːŋ˩˩˦.ʔoŋ˧.kʰa˦˥.t͡ɕʰaːt̚˥˩
ห้วย	hua̯j˥˩
ร้า	raː˦˥
เส้นเลือดแดง	sen˥˩.lɯa̯t̚˥˩.dɛːŋ˧
แหล่	lɛː˨˩
ขับขี่	kʰap̚˨˩.kʰiː˨˩
สรีสฤบ	sa˨˩.riː˧.srip̚˨˩
แช่ง	t͡ɕʰɛŋ˥˩
ส่งไม้ต่อ	soŋ˨˩.maːj˦˥.tɔː˨˩
ดิกชันนารี	dik̚˨˩.t͡ɕʰan˧.naː˧.riː˧,dik̚˨˩.t͡ɕʰan˧.naː˧.riː˥˩
ไซ้	saj˦˥
อะไหล่	ʔa˨˩.laj˨˩
เจ้านาย	t͡ɕaːw˥˩.naːj˧
ไส้ติ่ง	saj˥˩.tiŋ˨˩
ถ่อม	tʰɔm˨˩
ยวน	jua̯n˧
ที่หก	tʰiː˥˩.hok̚˨˩
การเคี่ยว	kaːn˧.kʰia̯w˥˩
ยาว	jaːw˧
ลูกปรายหิมะ	luːk̚˥˩.praːj˧.hi˨˩.maʔ˦˥
สัญชาติ	san˩˩˦.t͡ɕʰaːt̚˥˩
เกรปฟรุต	kreːp̚˦˥.frut̚˦˥
ภูตบดี	pʰuː˧.ta˨˩.bɔː˧.diː˧
แรงดัน	rɛːŋ˧.dan˧
เงามืด	ŋaw˧.mɯːt̚˥˩
เป็น	pen˧
ปิดสวิตช์	pit̚˨˩.sa˨˩.wit̚˦˥
ประเวศพระนคร	pra˨˩.weːt̚˥˩.pʰra˦˥.na˦˥.kʰɔːn˧
บริบาล	bɔː˧.ri˦˥.baːn˧
กระโจม	kra˨˩.t͡ɕoːm˧
อหิวาต์	ʔa˨˩.hi˨˩.waː˧
รถยนต์	rot̚˦˥.jon˧
อยุติธรรม	ʔa˨˩.jut̚˦˥.ti˨˩.tʰam˧
รัฐประหาร	rat̚˦˥.tʰa˨˩.pra˨˩.haːn˩˩˦,rat̚˦˥.pra˨˩.haːn˩˩˦
ซิป	sip̚˦˥
เมื่อก่อน	mɯa̯˥˩.kɔːn˨˩
ลบ	lop̚˦˥
ทลาย	tʰa˦˥.laːj˧
ฉ้อ	t͡ɕʰɔː˥˩
เชิดชู	t͡ɕʰɤːt̚˥˩.t͡ɕʰuː˧
แวดล้อม	wɛːt̚˥˩.lɔːm˦˥
สรรพ	sap̚˨˩.pʰa˦˥.,sap̚˨˩,san˩˩˦.pʰa˦˥.
แท้	tʰɛː˦˥
ขึ้น	kʰɯn˥˩
ยางใน	jaːŋ˧.naj˧
โต๊ะหมู่	toʔ˦˥.muː˨˩
ฟอสซิล	fɔːt̚˦˥.sin˥˩,fɔːt̚˦˥.sil˥˩
ประทีป	pra˨˩.tʰiːp̚˥˩
ปลูกฝัง	pluːk̚˨˩.faŋ˩˩˦
ศรัทธา	sat̚˨˩.tʰaː˧
ชาด	t͡ɕʰaːt̚˥˩,t͡ɕʰaːt̚˦˥
อิน	ʔin˧
ม้าโยก	maː˦˥.joːk̚˥˩
จี๊ด	t͡ɕiːt̚˦˥
ยาแก้ปวด	jaː˧.kɛː˥˩.pua̯t̚˨˩
นักการ	nak̚˦˥.kaːn˧
ตาน	taːn˧
ครีมนวดผม	kʰriːm˧.nua̯t̚˥˩.pʰom˩˩˦
อาร์กอน	ʔaː˧.kɔn˥˩
ปุ่มกด	pum˨˩.kot̚˨˩
ละตินอเมริกา	la˦˥.tin˧.ʔa˨˩.meː˧.ri˦˥.kaː˧
มัตสยา	mat̚˦˥.sa˨˩.jaː˩˩˦
มอสส์	mɔːs˦˥
เม.ย.	meː˧.jɔː˧
อะโบมาซัม	ʔa˨˩.boː˧.maː˧.sam˧
หอน	hɔːn˩˩˦
เครื่องครัว	kʰrɯa̯ŋ˥˩.kʰrua̯˧
อุดมการณ์	ʔu˨˩.dom˧.kaːn˧,ʔu˨˩.dom˧.ma˦˥.kaːn˧
ขจาย	kʰa˨˩.t͡ɕaːj˧
ไม้เท้า	maːj˦˥.tʰaːw˦˥
กลางคืน	klaːŋ˧.kʰɯːn˧
ใส	saj˩˩˦
ย่ำ	jam˥˩
การออกเสียง	kaːn˧.ʔɔːk̚˨˩.sia̯ŋ˩˩˦
อรุณ	ʔa˨˩.run˧.,ʔa˨˩.run˧
ร้าว	raːw˦˥
เบรก	breːk̚˨˩
นักสเกต	nak̚˦˥.sa˨˩.ket̚˦˥
ปิติ	pi˨˩.tiʔ˨˩
ไดอารี	daj˧.ʔaː˧.riː˥˩
โฟม	foːm˧
จินตนา	t͡ɕin˧.ta˨˩.naː˧
อกภูเขาไฟ	ʔok̚˨˩.pʰuː˧.kʰaw˩˩˦.faj˧
ประดักประเดิด	pra˨˩.dak̚˨˩.pra˨˩.dɤːt̚˨˩
แคปปา	kʰɛp̚˦˥.paː˥˩
อิหร่าน	ʔi˨˩.raːn˨˩
อิสร	ʔit̚˨˩.sa˨˩.ra˨˩.
เหมือนเก่า	mɯa̯n˩˩˦.kaw˨˩
เข็มขัดนิรภัย	kʰem˩˩˦.kʰat̚˨˩.ni˦˥.ra˦˥.pʰaj˧
ว่าราชการ	waː˥˩.raːt̚˥˩.t͡ɕʰa˦˥.kaːn˧
กล้ามเนื้อโครงร่าง	klaːm˥˩.nɯa̯˦˥.kʰroːŋ˧.raːŋ˥˩
การล่ม	kaːn˧.lom˥˩
กำไล	kam˧.laj˧
พุทรา	pʰut̚˦˥.saː˧
ส้อมเสียง	sɔm˥˩.sia̯ŋ˩˩˦
กัวลาลัมเปอร์	kua̯˧.laː˧.lam˧.pɤː˧
สัตวบาล	sat̚˨˩.ta˨˩.wa˦˥.baːn˧
อัมพาต	ʔam˧.ma˦˥.pʰaːt̚˥˩
บังตา	baŋ˧.taː˧
หลักการ	lak̚˨˩.kaːn˧
ง่าม	ŋaːm˥˩
ค.ศ.	kʰɔː˧.sɔː˩˩˦
กฎหมาย	kot̚˨˩.maːj˩˩˦
ละทิ้ง	la˦˥.tʰiŋ˦˥
ก้นครัว	kon˥˩.kʰrua̯˧
ไข้หวัดนก	kʰaj˥˩.wat̚˨˩.nok̚˦˥
ฉับพลัน	t͡ɕʰap̚˨˩.pʰlan˧
นัก	nak̚˦˥
อารบิก	ʔaː˧.ra˦˥.bik̚˨˩
สมุทฺท	sa˨˩.mut̚˨˩
หมดไฟ	mot̚˨˩.faj˧
เดาะ	dɔʔ˨˩
เออออ	ʔɤː˧.ʔɔː˧
ยิปซัม	jip̚˦˥.sam˥˩
ละก์ซา	la˦˥.saː˧
คิรี	kʰi˦˥.riː˧
ขยาย	kʰa˨˩.jaːj˩˩˦
คบชู้	kʰop̚˦˥.t͡ɕʰuː˦˥
อัน	ʔan˧
อิวเมี่ยน	ʔiw˧.mia̯n˥˩
หยอกเอิน	jɔːk̚˨˩.ʔɤːn˧
ถือสา	tʰɯː˩˩˦.saː˩˩˦
ฤดูใบไม้ร่วง	rɯ˦˥.duː˧.baj˧.maːj˦˥.rua̯ŋ˥˩
ระบบประสาท	ra˦˥.bop̚˨˩.pra˨˩.saːt̚˨˩
ระบำ	ra˦˥.bam˧
หน่วยดาราศาสตร์	nua̯j˨˩.daː˧.raː˧.saːt̚˨˩
วิเชียร	wi˦˥.t͡ɕʰia̯n˧
ต่ำตม	tam˨˩.tom˧
ดูถูก	duː˧.tʰuːk̚˨˩
แก้ไข	kɛː˥˩.kʰaj˩˩˦
ควบคุม	kʰua̯p̚˥˩.kʰum˧
โลกาภิวัตน์	loː˧.kaː˧.pʰi˦˥.wat̚˦˥
ผู้แทนโดยชอบธรรม	pʰuː˥˩.tʰɛːn˧.doːj˧.t͡ɕʰɔːp̚˥˩.tʰam˧
หยาบคาย	jaːp̚˨˩.kʰaːj˧
สาหร่ายสีเขียวแกมน้ำเงิน	saː˩˩˦.raːj˨˩.siː˩˩˦.kʰia̯w˩˩˦.kɛːm˧.nam˦˥.ŋɤːn˧
สโตนเฮนจ์	sa˨˩.toːn˧.heːn˧,sa˨˩.toːn˧.hen˧
จ๊าก	t͡ɕaːk̚˦˥
ลพบุรี	lop̚˦˥.bu˨˩.riː˧
กิจการของอัครทูต	kit̚˨˩.t͡ɕa˨˩.kaːn˧.kʰɔːŋ˩˩˦.ʔak̚˨˩.kʰra˦˥.tʰuːt̚˥˩
ค่อย	kʰɔj˥˩
ดูใจ	duː˧.t͡ɕaj˧
คิมหันต์	kʰim˧.han˩˩˦
นาฬิกาแดด	naː˧.li˦˥.kaː˧.dɛːt̚˨˩
ตอบโต้	tɔːp̚˨˩.toː˥˩
ก๋วยจั๊บ	kua̯j˩˩˦.t͡ɕap̚˦˥
เมื่อวานนี้	mɯa̯˥˩.waːn˧.niː˦˥
ดาวแคระแดง	daːw˧.kʰrɛʔ˦˥.dɛːŋ˧
เท่าไหร่	tʰaw˥˩.raj˨˩
เจ้าสาว	t͡ɕaw˥˩.saːw˩˩˦
เบิก	bɤːk̚˨˩
ไฟเย็น	faj˧.jen˧
สุสาน	su˨˩.saːn˩˩˦
นครวัด	na˦˥.kʰɔːn˧.wat̚˦˥
เกี้ยมอี๋	kia̯m˥˩.ʔiː˩˩˦
กบ	kɔː˧.bɔː˧,kop̚˨˩
เมรุมาศ	meː˧.ru˦˥.maːt̚˥˩
คลื่นยักษ์	kʰlɯːn˥˩.jak̚˦˥
นายแบบ	naːj˧.bɛːp̚˨˩
ช่อ	t͡ɕʰɔː˥˩
ความล่มจม	kʰwaːm˧.lom˥˩.t͡ɕom˧
อวบ	ʔua̯p̚˨˩
เขียน	kʰia̯n˩˩˦
หม้อน้ำ	mɔː˥˩.naːm˦˥
อูลานบาตาร์	ʔuː˧.laːn˧.baː˧.taː˧
การวิจัย	kaːn˧.wi˦˥.t͡ɕaj˧
การแปลภาษาอัตโนมัติ	kaːn˧.plɛː˧.pʰaː˧.saː˩˩˦.ʔat̚˨˩.ta˨˩.noː˧.mat̚˦˥
เจียมใจ	t͡ɕia̯m˧.t͡ɕaj˧
ประชาคม	pra˨˩.t͡ɕʰaː˧.kʰom˧
ไฟลนก้น	faj˧.lon˧.kon˥˩
ยาฆ่าหญ้า	jaː˧.kʰaː˥˩.jaː˥˩
มังคุด	maŋ˧.kʰut̚˦˥
กลุ่มดาว	klum˨˩.daːw˧
เอก	ʔeː˧.ka˨˩.,ʔeːk̚˨˩.ka˨˩.,ʔeːk̚˨˩
แร็กคูน	rɛk̚˦˥.kʰuːn˧
พรสวรรค์	pʰɔːn˧.sa˨˩.wan˩˩˦
พรหมจรรย์	pʰrom˧.ma˦˥.t͡ɕan˧
ตระกูลของภาษา	tra˨˩.kuːn˧.kʰɔːŋ˩˩˦.pʰaː˧.saː˩˩˦
ความโหดเหี้ยม	kʰwaːm˧.hoːt̚˨˩.hia̯m˥˩
บีเทลจุส	biː˧.tʰel˧.t͡ɕuːs˦˥
บ่ม	bom˨˩
พร่อง	pʰrɔŋ˥˩
เลิฟโฮเต็ล	lɤːf˥˩.hoː˧.tel˧
เจือจาง	t͡ɕɯa̯˧.t͡ɕaːŋ˧
พะยาน	pʰa˦˥.jaːn˧
เนื้อที่	nɯa̯˦˥.tʰiː˥˩
เสื้อผ้า	sɯa̯˥˩.pʰaː˥˩
ศักยภาพ	sak̚˨˩.ka˨˩.ja˦˥.pʰaːp̚˥˩
ปรือ	prɯː˧
ลวก	lua̯k̚˥˩
โหราศาสตร์	hoː˩˩˦.raː˧.saːt̚˨˩
มีผลใช้บังคับ	miː˧.pʰon˩˩˦.t͡ɕʰaj˦˥.baŋ˧.kʰap̚˦˥
ชันษา	t͡ɕʰan˧.na˦˥.saː˩˩˦
นอร์ม็องดี	nɔː˧.mɔŋ˧.diː˧
ผู้ขับ	pʰuː˥˩.kʰap̚˨˩
ไม่สน	maj˥˩.son˩˩˦
การอาเจียน	kaːn˧.ʔaː˧.t͡ɕia̯n˧
อาสาสมัคร	ʔaː˧.saː˩˩˦.sa˨˩.mak̚˨˩
การกีดขวาง	kaːn˧.kiːt̚˨˩.kʰwaːŋ˩˩˦
เกวียน	kwia̯n˧
ที่อื่น	tʰiː˥˩.ʔɯːn˨˩
คาหนังคาเขา	kʰaː˧.naŋ˩˩˦.kʰaː˧.kʰaw˩˩˦
เด็กเจ็ดเข้าเฒ่าเจ็ดสิบ	dek̚˨˩.t͡ɕet̚˨˩.kʰaːw˥˩.tʰaw˥˩.t͡ɕet̚˨˩.sip̚˨˩,dek̚˨˩.t͡ɕet̚˨˩.kʰaw˥˩.tʰaw˥˩.t͡ɕet̚˨˩.sip̚˨˩
ขอให้	kʰɔː˩˩˦.haj˥˩
มณี	ma˧.niː˧,ma˦˥.niː˧
โลกวัชชะ	loː˧.ka˨˩.wat̚˦˥.t͡ɕʰaʔ˦˥
ออเดิร์ฟ	ʔɔː˧.dɤːp̚˦˥,ʔɔː˧.dɤːf˦˥
วาฬสีน้ำเงิน	waːn˧.siː˩˩˦.nam˦˥.ŋɤn˧
ข่ม	kʰom˨˩
รัฐมนตรี	rat̚˦˥.tʰa˨˩.mon˧.triː˧,rat̚˦˥.tʰa˧.mon˧.triː˧
หมอน	mɔːn˩˩˦
นิวเม็กซิโก	niw˧.mek̚˦˥.si˦˥.koː˧
ไก	kaj˧
ปลอด	plɔːt̚˨˩
กบนา	kop̚˨˩.naː˧
การโกงกิน	kaːn˧.koːŋ˧.kin˧
แอ๊บแบ๊ว	ʔɛp̚˦˥.bɛw˦˥
คำถาม	kʰam˧.tʰaːm˩˩˦
ชาวสีรุ้ง	t͡ɕʰaːw˧.siː˩˩˦.ruŋ˦˥
โค่น	kʰoːn˥˩
กิริยา	ki˨˩.ri˦˥.jaː˧
โฉด	t͡ɕʰoːt̚˨˩
วัตถุระเบิด	wat̚˦˥.tʰu˨˩.ra˦˥.bɤːt̚˨˩
การต้ม	kaːn˧.tom˥˩
นางนวล	naːŋ˧.nua̯n˧
เรื่องสั้น	rɯa̯ŋ˥˩.san˥˩
กรรมการ	kam˧.ma˦˥.kaːn˧
สาย	saːj˩˩˦
เอลนีโญ	ʔeːl˧.niː˧.joː˥˩
ต้นหน	ton˥˩.hon˩˩˦
ขาล	kʰaːn˩˩˦
ประสพการณ์	pra˨˩.sop̚˨˩.kaːn˧
ล้มเลิก	lom˦˥.lɤːk̚˥˩
เติร์กเมนิสถาน	tɤːk̚˦˥.meː˧.nit̚˦˥.sa˨˩.tʰaːn˩˩˦,tɤːk̚˦˥.meː˧.nis˦˥.tʰaːn˩˩˦
โรคเหตุอาชีพ	roːk̚˥˩.heːt̚˨˩.ʔaː˧.t͡ɕʰiːp̚˥˩
การซัดทอด	kaːn˧.sat̚˦˥.tʰɔːt̚˥˩
นิโคเซีย	ni˦˥.kʰoː˧.sia̯˧
ด้วยกัน	dua̯j˥˩.kan˧
ลำไส้เล็ก	lam˧.saj˥˩.lek̚˦˥
กระทำ	kra˨˩.tʰam˧
พอใจ	pʰɔː˧.t͡ɕaj˧
แอสทาทีน	ʔɛːs˦˥.tʰaː˧.tʰiːn˧
สันธาน	san˩˩˦.tʰaːn˧
การปล้นทรัพย์	kaːn˧.plon˥˩.sap̚˦˥
พลิก	pʰlik̚˦˥
กลอุบาย	kon˧.ʔu˨˩.baːj˧
หมูแดดเดียว	muː˩˩˦.dɛːt̚˨˩.dia̯w˧
ชักเย่อ	t͡ɕʰak̚˦˥.ka˨˩.jɤː˥˩
การบริการ	kaːn˧.bɔː˧.ri˦˥.kaːn˧
ว	wɔː˧
ไข่	kʰaj˨˩
ชฎา	t͡ɕʰa˦˥.daː˧
สินธุ	sin˩˩˦.tʰuʔ˦˥
ออกลูก	ʔɔːk̚˨˩.luːk̚˥˩
ไข่ทอด	kʰaj˨˩.tʰɔːt̚˥˩
แออัด	ʔɛː˧.ʔat̚˨˩
ต่อต้าน	tɔː˨˩.taːn˥˩
แผนที่	pʰɛːn˩˩˦.tʰiː˥˩
ดิบ	dip̚˨˩
ถั่วฝักยาว	tʰua̯˨˩.fak̚˨˩.jaːw˧
ความสนุกสนาน	kʰwaːm˧.sa˨˩.nuk̚˨˩.sa˨˩.naːn˩˩˦
เปื่อย	pɯa̯j˨˩
มโนกรรม	ma˦˥.noː˧.kam˧
ทุกทุก	tʰuk̚˦˥.tʰuk̚˦˥
ขดาน	kʰa˨˩.daːn˧
ไพบูลย์	pʰaj˧.buːn˧
สมภพ	som˩˩˦.pʰop̚˦˥
ข้าวคลุกกะปิ	kʰaːw˥˩.kʰluk̚˦˥.ka˨˩.piʔ˨˩
คฤหัสถ์	kʰa˦˥.rɯ˦˥.hat̚˨˩
ตัด	tat̚˨˩
ศาลพระภูมิ	saːn˩˩˦.pʰra˦˥.pʰuːm˧
ออเดอร์	ʔɔː˧.dɤː˥˩
วิลิศมาหรา	wi˦˥.lit̚˦˥.sa˨˩.maː˧.raː˩˩˦
ชู	t͡ɕʰuː˧
หมิ่น	min˨˩
บรู	bruː˧
ระนาว	ra˦˥.naːw˧
ยื้อ	jɯː˦˥
เขต	kʰeːt̚˨˩
ขนมไหว้พระจันทร์	kʰa˨˩.nom˩˩˦.waːj˥˩.pʰra˦˥.t͡ɕan˧
กุมภา	kum˧.pʰaː˧
รามายณะ	raː˧.maː˧.ja˦˥.naʔ˦˥
เรือบรรทุกอากาศยาน	rɯa̯˧.ban˧.tʰuk̚˦˥.ʔaː˧.kaːt̚˨˩.sa˨˩.jaːn˧
รถเข็นเด็ก	rot̚˦˥.kʰen˩˩˦.dek̚˨˩
ภายใน	pʰaːj˧.naj˧
ปอบ	pɔːp̚˨˩
เท้าแขน	tʰaːw˦˥.kʰɛːn˩˩˦
งด	ŋot̚˦˥
ความอิจฉา	kʰwaːm˧.ʔit̚˨˩.t͡ɕʰaː˩˩˦
บาปกำเนิด	baːp̚˨˩.kam˧.nɤːt̚˨˩
ความโง่	kʰwaːm˧.ŋoː˥˩
เซลล์ไข่	seːl˧.kʰaj˨˩
คราง	kʰraːŋ˧
เจือ	t͡ɕɯa̯˧
เลื่อยยนต์	lɯa̯j˥˩.jon˧
มอลโดวา	mɔl˧.doː˧.waː˥˩
สิ้น	sin˥˩
แรงลอยตัว	rɛːŋ˧.lɔːj˧.tua̯˧
สำนึก	sam˩˩˦.nɯk̚˦˥
ใบปลิว	baj˧.pliw˧
ภูมิต้านทาน	pʰuːm˧.taːn˥˩.tʰaːn˧
ผู้ต้องสงสัย	pʰuː˥˩.tɔŋ˥˩.soŋ˩˩˦.saj˩˩˦
ตุน	tun˧
กระนั้น	kra˨˩.nan˦˥
แต่ว่า	tɛː˨˩.waː˥˩
เลื่องฦๅ	lɯa̯ŋ˥˩.lɯː˧
สมาส	sa˨˩.maːt̚˨˩
คลอง	kʰlɔːŋ˧
กระดานดำ	kra˨˩.daːn˧.dam˧
มวลมหาประชาชน	mua̯n˧.ma˦˥.haː˩˩˦.pra˨˩.t͡ɕʰaː˧.t͡ɕʰon˧
ข้อเสนอ	kʰɔː˥˩.sa˨˩.nɤː˩˩˦
คั่ง	kʰaŋ˥˩
สมาชิกรัฐสภา	sa˨˩.maː˧.t͡ɕʰik̚˦˥.rat̚˦˥.tʰa˨˩.sa˨˩.pʰaː˧
แม่น้ำ	mɛː˥˩.naːm˦˥
บอร์ด	bɔːt̚˨˩
สู้	suː˥˩
พะโล้แตก	pʰa˦˥.loː˦˥.tɛːk̚˨˩
พวงกุญแจ	pʰua̯ŋ˧.kun˧.t͡ɕɛː˧
คู่จิ้น	kʰuː˥˩.t͡ɕin˥˩
พนมเปญ	pʰa˦˥.nom˧.peːn˧
โคบอลต์	kʰoː˧.bɔl˦˥
กสิกรรม	ka˨˩.si˨˩.kam˧
ป่าโกงกาง	paː˨˩.koːŋ˧.kaːŋ˧
สารหนู	saːn˩˩˦.nuː˩˩˦
เอามา	ʔaw˧.maː˧
ฉบับ	t͡ɕʰa˨˩.bap̚˨˩
เพลา	pʰeː˧.laː˧,pʰlaw˧
โลหิตจาง	loː˧.hit̚˨˩.t͡ɕaːŋ˧
โอสถ	ʔoː˧.sot̚˨˩,ʔoː˧.sa˨˩.tʰa˨˩.,ʔoː˧.sot̚˨˩.tʰa˨˩.
ติมอร์ตะวันออก	ti˨˩.mɔː˧.ta˨˩.wan˧.ʔɔːk̚˨˩
คราว	kʰraːw˧
นักกีฬา	nak̚˦˥.kiː˧.laː˧
ห	hɔː˩˩˦
