гъогурыгъуазэ	ʁʷaɡʷrəʁʷaːza
ӏэпыгъэзын	ʔapəʁazən
джынджыф	d͡ʒənd͡ʒəf
ошъоку	waʃʷakʷ
гъогумаф	ʁʷaɡʷmaːf
шӏуабэ	ʃʷʔaːba
мэгушӏон	maɡʷəʃʷʼan
пытхъын	pətχən
гупыт	ɡʷəpət
пӏалъэ	pʼaːɬa
хьау	ħaw
сӏын	sʼən
гъэсэныгъэ	ʁasanəʁa
пхъэгулъ	bχaɡʷəɬ
пӏо	pʷʼa
зэпырыкӏын	zapərət͡ʃʼən
гъэтхъэжьын	ʁaːtχaʑən
лъфын	ɬfən
бэдзэжьын	bad͡zaʑən
мэтэкхъуайэ	mataχʷaːja
гъэзэжьын	ʁazaʑən
ерагъэу	jaraːʁaw
чэндж	t͡ʃand͡ʒ
зэпычын	zapət͡ʃən
джэуап	d͡ʒawaːp
армэу	aːrmaw
кӏэтӏэй	t͡ʃatʼaj
шӏобзын	ʃʷʼabzən
бжьаӏо	bʑaːʔʷa
зэпыдзын	zapəd͡zən
абан	aːbaːn
цӏыкӏу	t͡sʼəkʷʼ
тыгъэгъазэ	təʁaʁaːz
лъэныкъуащ	ɬanəqʷaːɕ
адыгэ	aːdəɣa
жьыуай	ʑəwaːj
ашъыу	aːʃʷʼəw
хьэжъу	ħaʐʷ
бгэрый	bɣərəj
алъмэкъ	aːɬmaq
дзыо	d͡zəwa
мэпӏэстхъэн	pʼasχan
мышъыпкъэ	məʂəpqa
зэуапӏэ	zawaːpʼa
къэлъфын	qaɬfən
шашыф	ʃaːʃəf
шъхьас	ʂħaːs
анэхь	aːnaħ
ӏэбжъэнэпыупкӏы	ʔabʐanapəwpt͡ʃə
пхъэнтӏэкӏущыхьэ	pχantʼakʷʼɕəħa
лачэ	laːt͡ʃa
зэчэрые	zat͡ʃarəja
быны	bənə
ӏэпэӏас	ʔapaʔaːs
есыпӏэ	jasəpʼa
гьэгун	ɡʲaɡʷən
кӏэӏэжьын	t͡ʃʼaʔaʑən
шъуабгъо	ʃʷaːbʁʷaː
бадэ	baːdam
пхъэ	pχa
щагу	ɕaɡʷ
кӏэгьэн	t͡ʃʼaɡʲan
тыгъэкъокӏыпӏ	təʁaqʷat͡ʃəpʼ
кӏэтыщх	kʲatəɕx
хьандзу	ħaːnd͡zʷə
къухьэбыб	qʷəħabəb
шамйэ	ʃaːmja
блэрыпс	blarəps
хафэ	xaːfa
зэкъошныгъ	zaqʷaʃnəʁ
мычӏы	mət͡ʃə
зиӏ	zəjʔ
тэрэз	taraz
къэсӏын	sʼən
къазмакъбзыу	qaːzmaːqbzəw
мэфэл	mafaɮ
лъхъанчэ	ɬχaːnt͡ʃa
гъусэн	ʁʷəsan
хэстыхьан	xastəħan
аджал	aːd͡ʒaːl
гьэч	ɡʲat͡ʃ
кӏэкӏьащын	t͡ʃʼakʲʼaːɕən
унэзэн	wnazan
бгынагъэ	bɣənaːʁa
гъашӏэ	ʁaːʃʼa
щыхьан	ɕəħaːn
зэӏыгъэхьан	zaʔaʁaħan
щхъырыб	ɕχərəb
щэгьагъо	ɕaɡʲaːʁʷa
белэ	bajla
дыйшъоутын	dəjʃʷawtən
ӏэндыкъ	ʔandəq
бгъэхэӏушъхь	bʁaxaʔʷəʂħ
тхьаркъо	tħaːrqʷa
дзапӏэ	d͡zaːpʼa
шъхьэпэкӏын	ʂħapat͡ʃʼən
чъыяпӏэ	t͡ʂəjaːpʼa
ехъонын	jaχʷanən
пхъы	pχə
нэшхъэин	naʃχajən
къыблэ	qəbla
ӏорытх	ʔʷarətx
пыгъэун	pəʁawən
пшъэрылъ	pʂarəɬ
такъэ	taːqa
бэджэндыку	bad͡ʒandakʷ
жэдэкӏэн	ʒadat͡ʃan
жъэу	ʐaw
нэшъу	naʂʷə
укӏытагъо	wət͡ʃʼətaːʁʷa
жьау	ʑaːwa
шъуакӏо	ʂʷaːkʷʼa
пӏун	pʷʼən
еоой	jawawaj
кӏэракӏ	t͡ʃʼaraːt͡ʃʼ
ушхъухьакӏо	wəʃχʷħaːkʷʼa
бгъусы	bʁʷəsə
пакӏо	paːkʷʼa
чӏыбжь	t͡ʃəbʑ
жъгъырыу	ʐʁərəw
зэпыгъэшхэн	zapəʁaʃxan
гъотын	ʁʷatən
декъыен	dajqəjan
тауташ	taːwtaːɕ
ӏэмал	ʔamaːl
мажьэ	maːʑa
бзыфы	bzəfə
чэтжъые	t͡ʃʼatʐəj
тегъэцӏырэн	tajʁat͡sʼəran
псыжъ	psəʐ
илъыгъу	jəɬəʁʷ
дежъыун	dajʐəwan
шъэджашъ	ʂad͡ʒaːʂ
пхъэн	pχan
жъыгъуай	ʐəʁʷaːj
къитхъун	qjətχʷən
ӏорышӏэджэн	ʔʷarʃʼad͡ʒan
щэхьын	ɕaħən
ахъчэдэфый	aːχt͡ʃadafəj
чэмахъо	t͡ʃamaːχʷa
къеджэн	qajd͡ʒan
кӏэтхъун	t͡ʃʼatχʷən
хъохъу	ɡʷəʃʷʼaːʁʷa
блэнэукъ	blanawq
зэӏэхьан	zaʔaħan
пщэрыхьакӏо	pɕarəħaːkʷʼa
хьаӏ	ħaːʔ
делэщ	dajlaɕ
гъэпщын	ʁapɕən
къэплъан	qapɬaːn
щапӏэ	ɕaːpʼa
кӏапсэ	t͡ʃʼaːpsa
блэгъожъ	blaʁʷaʐ
псэонгъэ	psawanʁa
пчъагъэ	pt͡ʃaːʁa
сэмэркъэу	samarqaw
ӏынджыр	ʔənd͡ʒər
пхын	pxən
емынэ	jaməna
хэщыжьын	xaɕəʑən
шӏои	ʃʷʼajə
пэщэн	paɕam
ӏэбжым	ʔabʒəmə
бзэу	bzaw
сэку	sakʷ
адырабгъу	aːdəraːbʁʷ
хэуцон	xawt͡sʷən
бзушхъу	bzəwʃχʷ
ӏэлъын	ʔaɬən
гъэпсыкӏьын	ʁapsəkʲʼən
жъоркъы	ʒʷarqə
пкӏантӏэ	pt͡ʃaːntʼa
къэркъэтэн	qarqatan
жакӏьэ	ʒaːkʲa
шъохътан	ʃʷaχtaːn
къашыкъ	qaːʃəq
ерыуадж	jarəwaːd͡ʒ
мэшӏощыхъу	sərnət͡ʃ
къолы	qʷalə
бэрджахь	bard͡ʒaːħ
фабэ	faːba
ешъорый	jaʃʷarəj
бгыбзэ	bɣəbza
шӏуалъэ	ʃʷʼaːɬa
итэкъохьын	jətaqʷaħən
къэщэгъу	qaɕaʁʷ
щыӏ	ɕəʔ
ӏукӏын	ʔʷat͡ʃʼən
игъуадж	jəʁʷaːd͡ʒ
езэгъын	jazaʁən
нэшхъэигъу	naʃχajəʁʷ
хэт	xat
онэгу	wanaɡʷ
хэкӏодэн	xaʁʷaɕan
дэгъэтын	daʁatən
чӏылъэтеплъ	t͡ʃəɬatajpɬ
зэгокӏьын	zaɡʷat͡ʃən
кӏоцӏыщыхьэн	kʷʼat͡sʼəɕəħan
лӏэкъолъэш	ɬaqʷaɬaʃ
хьэят	ħajaːt
зэплъэкӏын	zapɬat͡ʃʼən
ехъу	jaχʷ
унэкӏын	wənat͡ʃʼən
бахъсымэ	baːχsəma
икъун	jəqʷən
еӏорышӏэн	jaʔʷarʃʼan
шӏухьафтын	ʃʷʼəħaːftən
бжьыны	bʑənə
еӏункӏэн	jaʔʷənt͡ʃʼən
тегъэтӏэтӏэн	ʁajtʼatʼan
къэсшъхьэпкӏэтын	qasʂħapkʲʼatən
щыгушӏукӏын	ʃəɡʷəʃʷʼt͡ʃʼən
хэхъон	xaχʷan
ӏухьан	ʔʷəħaːn
хэузыкӏын	xawzət͡ʃən
нэшакӏэ	naʃaːkʲʼa
чӏылъ	t͡ʃʼəɬ
къухьэтӏысыпӏ	qʷəħatʼəsəpʼ
къурнэ	qʷərna
ӏэпыкӏын	ʔapət͡ʃʼən
ошъолъапсэ	waʃʷaɬaːpsa
зыгъэнэджэн	zəʁanad͡ʒan
бгъэӏас	bʁaʔaːs
алашэ	aːlaːʃa
ахъщэнэпцӏшӏ	aːχʃanapt͡sʼʃʼ
ӏорышӏэн	ʔʷarʃʼan
тхьакӏумкӏыхь	tħakʷʼmat͡ʃʼəħ
гупцӏанэ	ɡʷəpt͡sʼaːna
кӏоцӏылъхьэн	kʷʼat͡sʼəɬħan
ӏэубытыпӏэ	ʔawbətəpʼa
бгъэкӏыхь	bʁat͡ʃʼəħ
ӏэнэгъунэ	ʔanaʁʷəna
чӏыгу	t͡ʃʼəɡʷə
пцӏы	pt͡sʼə
бжьышӏо	bʑəʃʷʼa
жэукъыгъ	ʒawqəʁ
акъуш	aːqʷəʃ
шӏошӏун	ʃʷaʃʷən
чэтхъэн	t͡ʃʼatχan
лъэкӏоцӏ	ɬakʷʼat͡sʼ
щэрыу	ɕarəw
жьыкъыдэгъэкӏын	ʑəqədaʁat͡ʃən
фэгъэгъун	faʁaʁʷən
хьамлыу	ħamləw
цэхь	t͡saħ
зэдзэкӏакӏу	zad͡zat͡ʃaːkʷʼ
нэшэгъожь	naʃaʁʷaʑ
гъозалъ	ʁʷazaːɬ
зэгокӏьын	zaɡʷatkʲʼən
дыо	dəwa
шъуапэ	ʂʷaːpa
къулыкъу	qʷəɮəqʷ
гъэшъхъэшъхъэн	ʁaʂχaʂχan
хэӏэжьын	xaʔaʑən
гъэкъын	ʁaqən
тепӏо	tajpʷʼa
ымышӏахэу	əməʃʼaːxaw
ӏэпхъощ	ʔapχʷaɕ
гъуапэ	ʁʷaːpa
хэгъэон	xaʁawan
блашъхьэ	blaːʂħa
зыплъыхьан	zəpɬəħaːn
бгъэбзы	bʁabzə
мэхъыен	maχəjan
шъуялъэ	ʃʷəjaːɬa
хьэлъэбакъу	ħaɬawbaːq
гъэнэфэн	ʁanafan
гъэпцӏакӏо	ʁapt͡sʼaːkʷʼa
бэрэӏумаф	baraʔʷəmaːf
гупч	ɡʷəpt͡ʃ
губжыгъошӏу	ɡʷəbʒəʁʷaʃʷʼ
плъыжьы	pɬəʑə
жъогъорыплъ	ʐʷaʁʷarəpɬ
тӏолъфэныкъох	tʷʼaːzax
шэкӏ	ʃat͡ʃʼ
къэбэкъао	qabaqaːwa
апкӏхалъхь	aːpkʲxaːɬħ
мэцӏэлъэн	mat͡sʼaɬan
бзэбзэн	bzabzan
шъутыпцӏэ	ʃʷətəpsʼa
чӏылъэ	t͡ʃʼəɬa
щыгъозэн	ɕəʁʷazan
гъунджэ	ʁʷərd͡ʒa
лъэубакъу	ɬawbaːqʷ
къазгъыр	qaːzʁər
абас	aːbaːs
гъолагъу	ʁʷaɮaːʁ
агурджашъу	aːɡʷərd͡ʒaːʂʷ
бгырыпхышъхь	bɣərəpxəʂħ
тыгъурыгъу	təʁʷrəʁʷə
гъойщэен	ʁʷajɕajan
джэлъын	d͡ʒaɬən
джаур	d͡ʒaːwər
кӏоцӏыщыхьан	kʷʼat͡sʼəɕəħaːn
цыхьэ	t͡səħa
жэхэзыхьан	ʒaxazəħaːn
ачъэ	aːtʂa
лъы	ɬə
апкӏхьэн	aːpkʲħan
щэный	ɕanəj
деушъэн	dajʂan
пхэдж	pxad͡ʒ
иуж	jəwəʒ
тӏэкӏугъашӏэм	tʼakʷʼʁaːʃʼam
цӏыкӏунау	t͡sʼəkʷʼənaːw
лъэпэпсӏий	ɬapapsʼəj
жъотын	ʐʷatən
цыз	t͡səz
тэщтэу	taɕtaw
хакӏо	xaːkʷʼa
ӏэхъуамбэ	ʔaχʷaːmba
дэуахьы	dawaːħə
дыхьэщхын	dəħaɕxən
ӏэджэбыжэ	ʔad͡ʒabəʒa
унашъхьэ	wnaːʂħa
насып	naːsəp
хъопсэн	χʷapsan
жэрыплъ	ʒarəpɬ
фыцӏын	fət͡sʼən
гьи	ɡʲəj
быун	bəwən
гъэделэн	ʁadajlan
зыгъэсамбырын	zəʁasaːmbərən
джэгу	d͡ʒaɡʷ
кӏежьэжьын	ʔʷarəʃʼa
бэны	banə
хьэ	ħa
мэкуон	məkʷəwan
зэӏэгъэхьан	zaʔaʁaħaːn
пкьэн	pkʲan
хъыкӏы	χət͡ʃʼə
мэракӏуапцӏэ	maraːkʷʼaːt͡sʼa
гъо	ʁʷa
мэщы	maɕ
зыщэӏэн	zəɕaʔan
шыкъолэн	ʃəqʷalan
сандыкъ	saːndəq
къутамэ	qʷətaːma
мэзэон	mazawan
чъыгшъхьацыз	t͡ʃəɣʂħaːt͡ʃəz
тӏолъфэныкъо	tʷʼaɬfanəqʷa
щыхьэн	ɕəħan
акул	aːkʷəl
бзэгуп	bzaɡʷəp
дыщыпс	dəɕəps
ины	jənə
чӏыопс	t͡ʃəwaps
щэгьэгъож	ɕaɡʲaʁʷaʒ
чэщы	t͡ʃaɕə
джащыгъум	d͡ʒaːɕəʁʷəm
бзэшӏэныгъэлӏ	bzaʃʼanəʁaɬʼ
гъэгубжын	ʁaɡʷəbʒən
кукунэгъэбылъ	kʷəkʷnaʁabəɬ
зэйтынчъыг	zajtəntʂəɣ
плӏы	pɬʼə
лъэужьэу	ɬawʑəməj
кӏьасэ	kʲʼaːsa
пэцуй	pat͡sʷəj
бжъэкъожъый	bʐaqʷaʐəj
гъэунэзэн	ʁawnazan
былыхъу	bələχʷ
жэдэлъын	ʒadaxən
чыжьэу	t͡ʃəʑaw
шхэкӏын	ʃxat͡ʃʼən
тэцӏэшъутыкӏьын	tat͡sʼaʃʷtəkʲʼən
щтапхэ	ɕtaːpxa
пщэрыхь	pɕarəħ
джанэ	d͡ʒaːna
дэтэкъон	dataqʷan
егупшысэн	jaɡʷəpʃəsan
куамэ	kʷaːma
жэпкъ	ʒapq
лышъутӏэ	ləʃʷtʼa
мэлыгьын	maləɡʲən
тэуцон	tawt͡sʷən
зэкӏон	zakʷʼan
стын	stən
гукъэгъэкӏын	ɡʷəqaʁat͡ʃʼən
къыщыунэн	qəɕəwnan
къыдэкӏухьан	qədakʷʼəħaːn
шыблэ	ʃəbla
гужъыен	ɡʷəʐəjan
ныпчыхьэ	nəpt͡ʃəħa
гъэчъэхын	jaʁat͡ʂaxən
мэзыпчэн	mazəpt͡ʃan
антыр	aːntər
апкӏшъхьэтэт	aːpkʲʂħatat
сыдэу	sədaw
хъыбый	χəbəj
бжъакъо	bʐaːqʷa
цӏыфхэ	t͡sʼəfxa
блыгучӏ	bləɡʷt͡ʃ
мазэ	maːza
къэпшӏэжын	qapʃʼaʑən
ахъчэжъгъэй	aːχt͡ʃaʐʁaj
пыхьан	pəħaːn
пшъэдалхь	pʂadaːlħ
нэзэжъу	nazaʒʷ
жьыбгъэ	ʑəbʁa
сырэ	səra
шъуатэ	ʃʷaːta
хэӏалъ	xaʔaːɬ
шыдкъолэн	ʃədqʷalan
хэку	xakʷ
уӏэн	wəʔan
унагъоцӏэ	wnaːʁʷat͡sʼa
къэпчъын	qapt͡ʂən
узы	wəzə
хьэдэкъаз	ħadaqaːz
фын	fən
маӏьэ	maːʔʲa
ныбачъ	nəbaːt͡ʂ
шӏэхын	ʃʼaxən
гъэхьазырын	ħaːzərən
псэлъэн	psaɬan
джыхэпкӏэн	d͡ʒəxapt͡ʃʼan
лъэрыгъачъэ	ɬarəʁaːt͡ʂa
зэтэлъын	zataɬən
гъэпӏоркӏын	ʁapʷʼant͡ʃʼən
щэгъэпцӏагъэ	ɕaʁapt͡sʼaːʁa
къэугупшысын	qawɡʷəpʃəsən
махъчэ	maːχt͡ʃa
шъэ	ʂa
унагъо	wnaːʁʷa
фэшӏэн	faʃʷan
зыщыдзыен	zəɕəd͡zəjan
ӏэтэгъу	ʔataʁʷ
еры	jarə
къаум	qaːwəm
гопэгъу	ɡʷapaʁʷ
фэрэхьатын	faraħaːtən
едэхэшӏэн	jadaxaʃʼan
лэджэн	ɮad͡ʒan
унапчъэ	wənaːpt͡ʂa
хьашъо	ħaːʂʷa
отычыцэ	watət͡ʃət͡sa
жъугъэпащ	ʐʷəʁapaːɕ
зэфачъэ	zafaːt͡ʂa
шъхьадэхьан	ʂħaːdaħaːnn
пхъэнтӏэкӏу	pχantʼakʷʼ
къэгъэуцун	qaʁawt͡sʷən
бгъотагъэ	bʁʷataːʁa
чъыгай	tʂəɣaːj
мэпхъэпхъэн	mapχapχan
хьадагъэ	ħaːdaːʁa
жъопхъу	ʐʷapχʷ
блэбыбыкӏын	blabəbət͡ʃʼən
аргъэй	aːrʁaj
зэпыкӏын	zapət͡ʃʼən
нысэпхъапэ	nəsapχaːpa
дехын	dajxəx
кухьэ	kʷəħa
бзэмэ	bzaːma
къэгъэзэн	qaʁazan
губгъо	ɡʷəbʁʷa
тхылъыпӏэ	txəɬəpʼa
къырикӏон	qərəjkʷʼan
хъытыу	χətəw
мэубэн	mawban
ӏэпапцӏэ	ʔapaːpsʼa
есын	jasən
къеулэлэхын	qajɬaɬaxən
бгъэузы	bʁawəzə
атэ	aːta
лэжьын	ɮaʑən
къэхалъэ	qaxaːɬa
гъэлакӏо	ʁaɮaːkʷʼa
хьарыф	ħaːrəf
хэуцон	xawt͡ʃʷən
ехын	jaxə
джыхэупсӏэн	d͡ʒəxawpsʼan
шъхьэджашъу	ʂħad͡ʒaːʃʷ
бгъэны	bʁanə
дэхъун	daχʷən
лэблэбый	lablabəj
кӏэнэкӏэн	t͡ʃʼanat͡ʃʼan
пӏысыгъэжъ	pʼəsəʁaʐ
фае	faːja
мэцыгъон	mat͡səʁʷan
зэкӏэплъэн	zat͡ʃʼakʷʼan
зэхэхын	zaxaxən
цӏуцӏэ	ʃʷʼət͡sʼa
гуадз	ɡʷaːd͡z
ӏэгьы	ʔaɡʲə
лъэбакъу	ɬabaːqʷ
пӏын	pʼən
телӏэхьын	tajɬʼaħən
сэрай	saraːj
шӏыхьагъэ	ʃʼəħaːʁa
пхъэмбай	pχambaːj
сэмэркъэушӏыл	samarqawʃʼəɮ
дзэлӏы	d͡zaɬʼə
хьэцэ	ħat͡sa
жьэжьын	jaʑaʑən
псытхьэ	psətħa
гуапэ	ɡʷaːpa
пынэн	pənan
мыӏэрыс	məʔarəs
блэфын	bɮafən
мэгъолъын	maʁʷaɬən
амдэз	aːmdaz
егъэблэгъэн	jaʁablaʁan
хыуай	xəwaj
укӏэпхъэн	wt͡ʃʼapχan
кьэтыу	kʲatəw
абрагъу	aːbraːʁʷ
жъэбэкъ	ʐabaq
хъыен	χəjan
нэхъут	naχʷət
хабзэ	xaːbza
щыкӏэн	ɕət͡ʃʼan
хэщтыхьын	xaqaħən
армэ	aːrma
чэсэй	t͡ʃasaj
щырыкъу	ɕərəqʷ
ӏуашъхьэмафэ	ʔʷaːʂħamaːfa
плӏанэ	pɬʼaːna
нэхь	naħ
къэпшӏэн	qapʃʼan
пачъыхьагъо	paːt͡ʂəħaːʁʷa
тхыцӏэ	txət͡sʼa
бжъэкумыл	bʐakʷəməl
мытэрэз	mətaraz
гъэутэшъон	ʁawtaʃʷan
шъхьэпэкӏьын	ʂħapakʲʼən
бгырыс	bɣərəs
къэгъэзэгъу	qaʁazaʁʷ
гъэутхъон	ʁawtχʷan
джырыкъу	d͡ʒərəqʷ
тхъужъ	tχʷəʐ
елъэпэон	jaɬapawan
дэугощын	dawɡʷaɕən
пӏэсхъэн	pʼasχan
купсэ	kʷapsa
пшъэдэкӏыжъ	pʂadat͡ʃəʐ
гъэпхын	jaʁapxən
хэукъон	xawqʷan
тхьамыкӏ	tħaːmət͡ʃ
хьэмашэ	ħamaːʃa
бэкӏай	bakʲaːj
джынапцӏэ	d͡ʒənaːpt͡sʼa
жъапхъэ	ʐaːpχa
къиныгъу	qəjnəʁʷ
зэкӏэ	zat͡ʃʼa
нэшӏошӏ	naʃʷʼaʃʼ
шъхьэныкъо	ʂħanəqʷa
бэкъудадз	baqʷdaːd͡z
етӏапсӏэ	jatʼaːpt͡sʼa
шъыпкъэу	ʂəpqaw
мэухын	mawxən
бэджэщыр	bad͡ʒaɕər
джэгъучӏэлъ	d͡ʒaʁʷaɬ
мэпрэзэн	maprazan
зэокӏокъуашъу	zawkʷʼaqʷaʂʷə
бащэ	baːɕa
кӏэлъыун	t͡ʃʼaɬəwən
къурбэкъэй	qʷərbaqaj
анджэрэф	aːnd͡ʒaraf
тхыгъэ	txəʁa
фыжьы	fəʑə
сэпэон	ɬapawan
ку	kʷə
ӏуагъэ	ʔʷaːʁa
бгъундж	bʁʷənd͡ʒ
хэӏон	xaʔʷan
яужым	jaːwʒəm
бгылъэ	bɣəɬa
тегъэпкӏэн	tajəapt͡ʃʼan
ӏоен	ʔʷajan
чӏэухъумэн	t͡ʂʼawχʷəman
тенэн	tajnan
зэгочын	zaɡʷat͡ʃən
ипхъыхьан	jəpχəħaːn
ахъчэбэг	aːχt͡ʃabaɣ
ӏапӏэ	ʔaːpʼa
къэбастхъэ	qabaːstχa
шъхьэпылъапӏэ	ʂħapəɬaːpʼa
псыуцупӏэ	psəwət͡ʃʷəpʼa
хьасэтх	ħaːsatx
ӏэбычъу	ʔabət͡ʃʷ
къэгъэлъэгъоны	qaʁaɬaʁʷanə
благъо	blaːʁʷa
тхьамыкӏэгъо	tħaːmət͡ʃʼaːʁʷ
бжъэмый	bʐaməj
гъэкӏосэн	ʁakʷʼasan
шӏу	ʃʷʼə
къызбэч	qəzbaːkʲ
чъын	t͡ʂən
ныӏэ	nəʔa
лъежьэн	ɬajʑan
зэдзэкӏакӏо	zad͡zat͡ʃʼaːkʷʼa
егъэпхын	jaʁapxən
зэ	za
къухьэлъат	qʷəħaɬaːt
бгычӏэ	bɣətʂa
бэдзэр	bad͡zar
кӏэрэхъоцыкӏу	t͡ʃaraχʷat͡səkʷʼ
япэ	jaːpa
жэӏулэл	ʒaʔʷəlal
такъыр	taːqər
дашӏэ	daːʃʼa
дэщыен	daɕəjan
мэцӏэтхын	mat͡sʼatxən
пкӏыхь	pt͡ʃəħ
ткӏун	tkʷʼən
цакӏэ	t͡saːt͡ʃʼa
сыунэхъугъ	səwnaχʷəʁ
тыгъэпсы	təʁapsə
сӏэ	sʼa
шхъуатӏэ	ʃχʷaːtʼa
гъэушъэбын	ʁawʂabən
къуапэ	qʷaːpa
дэгъэкӏоен	daʁakʷʼajan
есэн	jasan
тепсэн	tajpsan
быдзытелъхьэ	bəd͡zətajɬħ
гъогын	ʁʷaɣən
тӏэпӏын	tʼsapʼən
ешъуакӏо	jaʃʷʼaːkʷʼa
уанэ	waːna
гьары	ɡʲaːrə
нэкӏын	nat͡ʃʼən
зэгокӏын	zaɡʷat͡ʃʼən
хьэлъэубакъу	ħaɬawbaːq
пӏэтын	pʼatən
къонцӏэу	qʷant͡sʼaw
ичӏыпӏэкӏэ	jət͡ʂʼəpʼat͡ʃʼa
кӏьэнлъэ	kʲʼanɬa
гъэшъуен	ʁaʂʷjan
жъышъо	ʐəʂʷa
псыкӏэты	psət͡ʃʼatə
тхьэкӏумэкӏэхьы	tħakʷʼmakʲʼaħə
кӏон	kʷʼan
цӏэжьын	t͡sʼaʑən
шыкъу	ʃəqʷ
бзако	bzaːkʷa
псыкьэт	psəkʲat
къын	qən
зыци	zət͡səj
нэгушӏу	naɡʷəʃʷʼ
ригъэчъэхын	jaʁat͡ʂaxən
хьаджыгъэпс	ħaːd͡ʒəʁaps
пкӏышъхьэмышъхьэ	pt͡ʃəʂħaməʂħa
кӏэгъожьын	t͡ʃaʁʷaʑən
лъэкӏэн	ɬat͡ʃan
дэптӏэн	daptʼan
цуэкъокӏэхь	t͡sʷaqʷat͡ʃʼaħ
ахъчэ	aːχt͡ʃa
тхыдэ	txəda
кушъэ	kʷəʂa
бырамыты	bəraːmətə
гукӏэн	ɡʷət͡ʃan
дэкӏогъу	dakʷʼaʁʷ
дэй	daj
шӏыкӏашӏу	ʃʼət͡ʃʼaːʃʷʼ
псэлъыхъо	psaɬəχʷa
идзэн	jəd͡zan
блихын	blajxən
пхъэхатӏэ	pχaxaːtʼa
кӏохъун	kʷʼaχʷən
гъэупыцӏэн	ʁawpsʼan
мэпыгьэн	mapəɡʲan
осыпсы	wasəpsə
щыкӏэгъэн	ɕət͡ʃʼaʁan
лъыфыгъэ	ɬfəʁa
ӏэгу	ʔaɡʷ
ӏэбэн	ʔaban
мэщтын	maqən
джэгуакӏо	d͡ʒaɡʷaːkʷʼa
тхьабыл	tħaːbəl
хъырцэ	χərt͡sa
лъэкӏын	ɬat͡ʃʼən
мыжъодэбыш	məʐʷadaməʃ
езэщын	jazaʃən
къыгъэ	qəʁa
ӏапэ	ʔaːpa
щыуанкъопс	ɕəwaːnqʷaps
мы	mə
уэрзэӏанэ	warzaʔaːna
мыджыр	məd͡ʒər
панэ	paːna
хытӏуал	xətʷʼal
лъэпхъабэ	ɬapχaːba
къэралыгъу	qaraːɮəʁʷ
уашъо	waːʃʷa
ахъщэбэдзэр	aːχʃabad͡zar
шӏуцӏагъэ	ʃʷʼt͡sʼaːʁa
ӏугъо	ʔʷəʁʷa
дэщэн	daɕan
кӏьашъо	kʲʼaːʃʷa
тӏуазэх	tʷʼaːzax
пхэ	pxa
игъолъхьан	taʁʷaɬħaːn
ӏупшӏэ	ʔʷəpʃʼa
чӏымэтх	t͡ʃəmatx
гъэщтэн	ʁaɕtan
мэкъуогъумаз	maqʷəwaʁʷəmaːz
нэшэбэгу	naʃabaɡʷ
щхыпцӏы	ɕxəpt͡sʼ
джэгъогъу	d͡ʒaʁʷəɡʷ
алырэгъу	aːləraʁʷ
джае	d͡ʒaːja
янэ	jaːna
кӏэух	t͡ʃʼawəx
ӏулэ	ʔʷəɮa
ӏазэ	ʔaːza
бжьэматэ	bʑamaːta
налъэ	naːɬa
ӏущэщэн	ʔʷəɕaɕan
лъэкъуапсӏ	ɬaqʷaːpsʼ
цӏэтхын	t͡sʼatxən
гухэкӏын	ɡʷəxat͡ʃʼən
къэин	qaqəjən
зыӏуамылъхьажь	zəʔʷaːməɬħaːʑ
пыукӏын	pəwt͡ʃʼən
теупӏэпӏэн	tajwpʼapʼan
шъхьарыгущыӏ	ʂħaːrəɡʷəɕəʔ
гъэхъужьын	ʁaχʷəʑən
текӏьэн	takʲʼan
дышъэчэт	dəʐat͡ʃat
хьаджыгъэ	ħaːd͡ʒəʁa
егьэн	jaɡʲan
лъэдакъэ	ɬadaːqa
шъхьэхъу	ʂħaχʷ
бзэутэ	bzawta
бзукӏэзэгох	bzəwt͡ʃazaɡʷax
гъу	ʁʷə
жэгъу	ʒaʁʷ
къэгъэнэн	qaʁanan
дэгу	daɡʷə
кӏэлэегъагь	t͡ʃʼalaʁaːɡʲ
хыкъохъу	xəqʷaχʷ
натыф	naːtəf
кӏуапӏэ	kʷʼaːpʼa
гъэкӏодын	ʁakʷʼadən
къыхэущыкӏын	qəxawɕət͡ʃʼən
корэн	kʷaran
лымышх	ləməʃx
къефэхын	qajfaxən
псычэт	psət͡ʃat
бгъэпс	bʁaps
псыхьэн	psəħan
жъоныгъу	ʐʷanəʁʷ
блэхын	blajxən
атакъэ	ʔataːqa
еӏун	jaʔʷən
гохьы	ɡʷaħə
аргъойпаӏу	aːrʁʷajaːʔʷ
нэӏаплъэкӏ	naʔaːpɬat͡ʃʼ
лэныстэ	lanəsta
дзын	d͡zən
еджакӏо	jad͡ʒaːkʷʼa
къошын	qʷaʃən
кӏэупхъухьан	t͡ʃawpχʷəħaːn
къолэжъ	qʷalaʐ
кӏэлэегьакӏо	t͡ʃʼalajaɡʲaːkʷʼa
пытэкъун	pətaqʷən
кӏэшӏыхьан	t͡ʃʼaʃʼəħaːn
фэмылъэгъун	faməɬaʁʷən
мэзэзэн	mazazan
шъыда	ʂədaː
зэхэон	qawan
дестэ	dajsta
икӏодыкӏын	jəkʷʼadət͡ʃʼəm
гогон	ɡʷaɡʷan
чан	t͡ʃaːn
гъэушӏоркъын	ʁawʃʷʼarqən
тӏамы	taːmə
гудэ	ɡʷəda
