بچووک	.bi.çûk
ژمارێکیان	.ji.ma.rêk.yan
وڵایەتە	.wi.ła.ye.te
تێرمینۆلۆژیی	.têr.mî.no.lo.jîy
ببینین	.bi.bî.nîn
گواسرایەوە	.gwas.ra.ye.we
خەو	.xew
دەکردن	.de.kir.din
نموونەیە	.ni.mû.ne.ye
تازەنووسەر	.ta.ze.nû.ser
بێوار	.bê.war
رخنەگیر	.rix.ne.gîr
بەلجیکا	.bel.cî.ka
ڕۆمانی	.řo.ma.nî
بەشداریکردنی	.beş.da.rî.kir.di.nî
بنووسە	.bi.nû.se
شارەوانی	.şa.re.wa.nî
بەڵێ	.be.łê
چاپ	.çap
وتووێژی	.wi.tu.wê.jî
ڕۆڵەی	.řo.łey
پرسی	.pir.sî
بەعسەکان	.beƹ.se.kan
ئەزموونە	.ʔez.mû.ne
بیانفرۆشن	.byan.fi.ro.şin
نەدەگرتن	.ne.de.gir.tin
سەرەکییەکەشی	.se.re.kî.ye.ke.şî
هاتبوو	.ha.ti.bû
ئیمەیلەوە	.ʔî.mey.le.we
مەجید	.me.cîd
شتەکان	.şi.te.kan
نووسەرانەی	.nû.se.ra.ney
دیارە	.dya.re
مانگەدا	.man.ge.da
بەرزنجی	.ber.zin.cî
نەقشبەندی	.neqş.ben.dî
ناویان	.naw.yan
هاویاریی	.haw.ya.rîy
خستە	.xis.te
بڕوانە	.biř.wa.ne
کەتەلۆگ	.ke.te.log
زانستی	.za.nis.tî
ئەڤ	.ʔev
زەحمەتکێشانی	.zeḧ.met.kê.şa.nî
نەنووسرابوو	.ne.nûs.ra.bû
ئەرمەنستانیش	.ʔer.me.nis.ta.nîş
گەڵ	.geł
ئەڵماندایە	.ʔeł.man.da.ye
شتێکی	.şi.tê.kî
گەورەکان	.gew.re.kan
ئاسایییە	.ʔa.sa.yî.ye
باسم	.ba.sim
بیستەم	.bîs.tem
ژنێک	.ji.nêk
فیلم	.fîlm
لەپاش	.le.paş
چەڵەمەیەوە	.çe.łe.me.ye.we
نەکەن	.ne.ken
لێکبوونەوەی	.lêk.bû.ne.wey
ترووسکاییی	.ti.rûs.ka.yîy
ڕژێمی	.ři.jê.mî
خستنە	.xis.ti.ne
دەدان	.de.dan
هۆکی	.ho.kî
خوێندنگەیەک	.xwên.din.ge.yek
تۆمارکرا	.to.mar.ki.ra
دەفرۆشرێ	.def.roş.rê
بدۆزمەوە	.bi.doz.me.we
زمانکوژییەک	.zi.man.ku.jî.yek
گەڵاڵەی	.ge.ła.łey
مالکی	.ma.li.kî
ئێستاکانێش	.ʔês.ta.ka.nêş
لایەک	.la.yek
دارا	.da.ra
نەکراونەتەوە	.ne.ki.raw.ne.te.we
رابردوویەکی	.ra.bir.dû.ye.kî
هاتنی	.ha.ti.nî
توێژینەوەیەکم	.twê.jî.ne.we.ye.kim
دەستی	.des.tî
هەڕەشەوگوڕەشەیە	.he.ře.şew.gu.ře.şe.ye
ئاوا	.ʔa.wa
ئەواندا	.ʔe.wan.da
خەریک	.xe.rîk
قوربانی	.qur.ba.nî
ترسناک	.tirs.nak
هەڵبەستی	.heł.bes.tî
لەچاپدراوی	.le.çap.di.ra.wî
چێچێنەکان	.çê.çê.ne.kan
دانیشتووایەتیدا	.da.nîş.tu.wa.ye.tî.da
ڕێگەیان	.řê.ge.yan
نیشانەی	.nî.şa.ney
زانیارییان	.zan.ya.rî.yan
یەکجاری	.yek.ca.rî
ئیتالی	.ʔî.ta.lî
هاوڕێیەکانیان	.haw.řê.ye.kan.yan
لایان	.la.yan
درۆ	.di.ro
سروودی	.si.rû.dî
سیاسی	.sya.sî
دواییی	.dwa.yîy
لێکۆڵینەوەیەکی	.lê.ko.łî.ne.we.ye.kî
دەسحەقێک	.des.ḧe.qêk
سیستمی	.sîs.ti.mî
نەوەک	.ne.wek
سەتان	.se.tan
سکاڵای	.si.ka.łay
ئەنجوومەنی	.ʔen.cû.me.nî
دەستگیرکراوەکانیش	.dest.gîr.ki.ra.we.ka.nîş
قۆناغەدا	.qo.na.ẍe.da
نەما	.ne.ma
بەئاسانی	.be.ʔa.sa.nî
نووسینگەکەیانەوە	.nû.sîn.ge.ke.ya.ne.we
وازی	.wa.zî
شۆڕش	.şo.řiş
گونجاو	.gun.caw
چاپخانەگەلی	.çap.xa.ne.ge.lî
رێپێنەدراو	.rê.pê.ne.di.raw
سرۆشتییەکان	.si.roş.tî.ye.kan
کەنداوی	.ken.da.wî
مارس	.mars
شارەداری	.şa.re.da.rî
ئاشنا	.ʔaş.na
کۆمەڵگای	.ko.meł.gay
سازدانی	.saz.da.nî
یاریی	.ya.rîy
بەختیار	.bext.yar
لەچاپدراوە	.le.çap.di.ra.we
ئەی	.ʔey
نهێنیانە	.ni.hên.ya.ne
ماڵئاوایی	.mał.ʔa.wa.yî
داکۆکی	.da.ko.kî
کێش	.kêş
بستێنن	.bis.tê.nin
بادینان	.ba.dî.nan
جەلادەت	.ce.la.det
شارەزایییەکی	.şa.re.za.yî.ye.kî
دەگات	.de.gat
ستەمبۆڵدایە	.si.tem.boł.da.ye
جۆر	.cor
تەلەفیزیۆنی	.te.le.fîz.yo.nî
نوێیەکان	.nwê.ye.kan
هەزاران	.he.za.ran
نەخایاند	.ne.xa.yand
ئینتێرنێتەوە	.ʔîn.têr.nê.te.we
گوڵان	.gu.łan
ڕاپۆرتێکی	.řa.por.tê.kî
دەزگە	.dez.ge
سیستمێکی	.sîs.ti.mê.kî
خوێندن	.xwên.din
دنیا	.din.ya
تورکمان	.tur.ki.man
کاربەدەستەکانیش	.kar.be.des.te.ka.nîş
جیایی	.cya.yî
خەیاڵی	.xe.ya.łî
ماڵپەڕی	.mał.pe.řî
دەردەکەوت	.der.de.kewt
عەبدوڵڵا	.ƹeb.duł.ła
زانکۆ	.zan.ko
خۆڵیان	.xoł.yan
ڕووخانی	.řû.xa.nî
بازاڕ	.ba.zař
زایینی	.za.yî.nî
تورکیای	.turk.yay
چێ	.çê
شێوازی	.şê.wa.zî
خوێندنەوەیان	.xwên.di.ne.we.yan
ت	.ti
ژمارەی	.ji.ma.rey
لێکۆڵینەوەکان	.lê.ko.łî.ne.we.kan
خوێندنگەیەکی	.xwên.din.ge.ye.kî
بڵاوکەرەوەی	.bi.ław.ke.re.wey
ئاوارە	.ʔa.wa.re
بەنێوی	.be.nê.wî
فۆرمی	.for.mî
هاو	.haw
گێڕامەوە	.gê.řa.me.we
وەردیانەکانی	.werd.ya.ne.ka.nî
هی	.hî
گوتبوویان	.gu.ti.bû.yan
سەرەکییەکانی	.se.re.kî.ye.ka.nî
لێکدانەوەکانی	.lêk.da.ne.we.ka.nî
دەیتوانی	.dey.twa.nî
پێشەکی	.pê.şe.kî
بەسەرۆکایەتی	.be.se.ro.ka.ye.tî
سەرینی	.se.rî.nî
زێڕینی	.zê.řî.nî
خەباتگێرەکانی	.xe.bat.gê.re.ka.nî
ئەسەد	.ʔe.sed
یاسایییەوە	.ya.sa.yî.ye.we
هوگۆ	.hu.go
پەیوەست	.pey.west
نووسەریش	.nû.se.rîş
سینەما	.sî.ne.ma
کتێبفرۆشییەکەم	.ki.têb.fi.ro.şî.ye.kem
گەرمەی	.ger.mey
ڕۆناڵدۆ	.řo.nał.do
بەمانەش	.be.ma.neş
بڕیاریدا	.biř.ya.rî.da
لێکۆڵینەوەیەک	.lê.ko.łî.ne.we.yek
ئوزچەلک	.ʔuz.çelk
خوەندەڤان	.xwen.de.van
بیرەوەری	.bî.re.we.rî
زاڵ	.zał
خوویان	.xû.yan
یەکسانی	.yek.sa.nî
ڕێکخستنی	.řêk.xis.ti.nî
دنیادا	.din.ya.da
تائێستاش	.ta.ʔês.taş
بەستنی	.bes.ti.nî
کارێک	.ka.rêk
واژۆ	.wa.jo
ئێلیۆت	.ʔêl.yot
دەمیشقیش	.de.mîş.qîş
دەبیست	.de.bîst
هەڵوێستە	.heł.wês.te
سوودی	.sû.dî
رادەگوێزن	.ra.de.gwê.zin
چالاکوانی	.ça.lak.wa.nî
بۆچوونەوە	.bo.çû.ne.we
لێدوانەکەیدا	.lêd.wa.ne.key.da
کارمەندانی	.kar.men.da.nî
جارە	.ca.re
سەرەوە	.se.re.we
پەشیمان	.pe.şî.man
زۆربوونەوەیە	.zor.bû.ne.we.ye
گەلە	.ge.le
فەرهەنگێکی	.fer.hen.gê.kî
جاروبار	.ca.ru.bar
بۆچوونەکانی	.bo.çû.ne.ka.nî
دەفرۆشن	.def.ro.şin
بیگاتێ	.bî.ga.tê
هۆرتەوبەرە	.hor.tew.be.re
سەربازیی	.ser.ba.zîy
دەشاردنەوە	.de.şar.di.ne.we
ناسر	.na.sir
خوێندنەوەی	.xwên.di.ne.wey
کوردستانەوە	.kur.dis.ta.ne.we
دەسەڵاتی	.de.se.ła.tî
ئەوتۆی	.ʔew.toy
ناکرێت	.na.ki.rêt
عەرز	.ƹerz
مرۆڤدا	.mi.rov.da
درابوویێ	.di.ra.bû.yê
نێودەوڵەتی	.nêw.dew.łe.tî
سێیەم	.sê.yem
بەڕێوەبەرانی	.be.řê.we.be.ra.nî
چالاکیی	.ça.la.kîy
موو	.mû
سووکایەتیی	.sû.ka.ye.tîy
بەندیخانەی	.ben.dî.xa.ney
دووەمیان	.du.wem.yan
بگرێتەوە	.bi.gi.rê.te.we
سەرژمێرییە	.ser.ji.mê.rî.ye
هەواڵ	.he.wał
وەرگێڕاوم	.wer.gê.řa.wim
پێستی	.pês.tî
فەرمانبەران	.fer.man.be.ran
روانگەی	.rwan.gey
رۆمان	.ro.man
تۆپی	.to.pî
نووسینی	.nû.sî.nî
سۆلژەنیتسین	.sol.je.nît.sîn
کارگێڕیی	.kar.gê.řîy
گەنج	.genc
دامەزرێنێ	.da.mez.rê.nê
ڕەفتاری	.řef.ta.rî
دۆلاری	.do.la.rî
چۆن	.çon
بێگانە	.bê.ga.ne
کوڕ	.kuř
رەچەڵاکەکانی	.re.çe.ła.ke.ka.nî
کاندیدی	.kan.dî.dî
حەقیقەت	.ḧe.qî.qet
دەگەڕێتەوە	.de.ge.řê.te.we
بچنە	.bi.çi.ne
بەکارکرد	.be.kar.kird
رستانە	.ris.ta.ne
خۆراکی	.xo.ra.kî
نایاسایییەکان	.na.ya.sa.yî.ye.kan
ئەودا	.ʔew.da
راستمان	.rast.man
تریش	.ti.rîş
هێناوەتە	.hê.na.we.te
سۆنگەی	.son.gey
وایە	.wa.ye
واتایەکی	.wa.ta.ye.kî
تازەلەچاپدراو	.ta.ze.le.çap.di.raw
ڕەئوف	.ře.ʔuf
شارانە	.şa.ra.ne
کوژراون	.kuj.ra.win
کارگێڕییەکی	.kar.gê.řî.ye.kî
ئیسلامیی	.ʔîs.la.mîy
تیرۆرکردنی	.tî.ror.kir.di.nî
نەناسراو	.ne.nas.raw
ئەمجارەیان	.ʔem.ca.re.yan
کردبا	.kir.di.ba
پێری	.pê.rî
هەواڵەکانی	.he.wa.łe.ka.nî
هەرزانترن	.her.zan.ti.rin
وێژە	.wê.je
نهێنی	.ni.hê.nî
مڕداین	.miř.dayn
گەڵاڵەیە	.ge.ła.łe.ye
کۆپییە	.ko.pî.ye
نایانگەنێ	.na.yan.ge.nê
وتووێژ	.wi.tu.wêj
ئەنیستیتووە	.ʔe.nîs.tî.tu.we
تائێستا	.ta.ʔês.ta
بەلای	.be.lay
سیاسەتەکانی	.sya.se.te.ka.nî
شەڕەکەدا	.şe.ře.ke.da
لەسەرتاسەری	.le.ser.ta.se.rî
گوتیشی	.gu.tî.şî
بێژم	.bê.jim
مەزهەبی	.mez.he.bî
لەکاتێکدایە	.le.ka.têk.da.ye
ئەستۆیە	.ʔes.to.ye
دەسەڵاتە	.de.se.ła.te
لەوانەیە	.le.wa.ne.ye
رۆڵێکی	.ro.łê.kî
لانی	.la.nî
هەڵاتن	.he.ła.tin
گشتییەکاندا	.giş.tî.ye.kan.da
هەفتەیەک	.hef.te.yek
پەروەردەیی	.per.wer.de.yî
گێڕانەوەی	.gê.řa.ne.wey
ئاواز	.ʔa.waz
سەرژمێرییەکاندا	.ser.ji.mê.rî.ye.kan.da
کەم‌کراوەکان	.kem.ki.ra.we.kan
ئەکرێت	.ʔe.ki.rêt
ئیسپانی	.ʔîs.pa.nî
قیژەی	.qî.jey
ئاستی	.ʔas.tî
خوێندکارەکان	.xwênd.ka.re.kan
تۆسقاڵێکیش	.tos.qa.łê.kîş
بکەوێتە	.bi.ke.wê.te
داڕووخانە	.da.řû.xa.ne
بڕوا	.biř.wa
بانگهێشتکراو	.bang.hêşt.ki.raw
واتا	.wa.ta
ن	.ni
پێدەکرێت	.pê.de.ki.rêt
بەخۆوە	.be.xo.we
کوڕان	.ku.řan
ئەبوبەکر	.ʔe.bu.be.kir
ڕۆیشتن	.řoyş.tin
فێرکردنی	.fêr.kir.di.nî
ڕاهێنەر	.řa.hê.ner
کەشتی	.keş.tî
مەراسیمی	.me.ra.sî.mî
جۆربەجۆریان	.cor.be.cor.yan
بەرەوڕووی	.be.rew.řûy
خەڵکدا	.xełk.da
بەداخەوە	.be.da.xe.we
کارن	.ka.rin
پارچەکانی	.par.çe.ka.nî
زۆرتربوونەوەشی	.zor.tir.bû.ne.we.şî
برای	.bi.ray
شانی	.şa.nî
دەرهێنەری	.der.hê.ne.rî
مەدەنی	.me.de.nî
یەمەن	.ye.men
بیسەلمێنن	.bî.sel.mê.nin
پە	.pe
نەدەهات	.ne.de.hat
هاتبوونە	.ha.ti.bû.ne
ڕۆژئاواش	.řoj.ʔa.waş
پەرلەمان	.per.le.man
پەیوەندیی	.pey.wen.dîy
نیشانی	.nî.şa.nî
پارچە	.par.çe
بەگوێرەی	.be.gwê.rey
خوێندەوارە	.xwên.de.wa.re
مەبەستێک	.me.bes.têk
کۆمپانیای	.kom.pan.yay
ئیسلامییەکان	.ʔîs.la.mî.ye.kan
ئاراوە	.ʔa.ra.we
وابوو	.wa.bû
ڕۆژنامەوانیدا	.řoj.na.me.wa.nî.da
ڕۆشنبیران	.řo.şin.bî.ran
تیرۆریستانی	.tî.ro.rîs.ta.nî
دووەمی	.du.we.mî
فۆتۆ	.fo.to
خۆشبەختانە	.xoş.bex.ta.ne
بەهای	.be.hay
دەنووسنەوە	.de.nû.si.ne.we
پرۆسەیە	.pi.ro.se.ye
لیستێکی	.lîs.tê.kî
گەلەکانی	.ge.le.ka.nî
لەلایەکی	.le.la.ye.kî
بەتایبەتیش	.be.tay.be.tîş
دار	.dar
قوتابخانەکان	.qu.tab.xa.ne.kan
بەندیخانەدا	.ben.dî.xa.ne.da
هەڵمەتی	.heł.me.tî
مۆسیقای	.mo.sî.qay
کۆمپانیاگەلی	.kom.pan.ya.ge.lî
یەکەمدا	.ye.kem.da
خێزانەکانیان	.xê.za.ne.kan.yan
رایەڵە	.ra.ye.łe
یەکەکانی	.ye.ke.ka.nî
لەچاپدەدا	.le.çap.de.da
ئۆگرەتیش	.ʔog.re.tîş
نووسراوەکانیان	.nûs.ra.we.kan.yan
زانیارییەکان	.zan.ya.rî.ye.kan
سنووری	.si.nû.rî
پێغەمبەری	.pê.ẍem.be.rî
شەپۆلی	.şe.po.lî
لەچاپدەرانێکی	.le.çap.de.ra.nê.kî
نێوەکوردییەکان	.nê.we.kur.dî.ye.kan
بنەماڵەکەی	.bi.ne.ma.łe.key
حەزی	.ḧe.zî
دەرخستم	.der.xis.tim
زانیومە	.za.nîw.me
نێونەتەوەیی	.nêw.ne.te.we.yî
هێنانەکەم	.hê.na.ne.kem
سود	.sud
دووپاتی	.dû.pa.tî
گرژی	.gir.jî
دیکەی	.dî.key
هەزیرکردنی	.he.zîr.kir.di.nî
دەبەخشێت	.de.bex.şêt
ئامادەکراوەکانی	.ʔa.ma.de.ki.ra.we.ka.nî
دەناسێنن	.de.na.sê.nin
فڕۆکەخانەی	.fi.řo.ke.xa.ney
دایکی	.day.kî
ناڕەزایەتی	.na.ře.za.ye.tî
داشکانەوە	.da.şi.ka.ne.we
پێشتر	.pêş.tir
هۆشیاری	.hoş.ya.rî
ئاینی	.ʔay.nî
سپای	.si.pay
پاڵەوانەکانی	.pa.łe.wa.ne.ka.nî
جۆربەجۆرەکان	.cor.be.co.re.kan
کۆمەڵایەتی	.ko.me.ła.ye.tî
پڕۆژەکان	.pi.řo.je.kan
چەتەکان	.çe.te.kan
س	.si
هەولێر	.hew.lêr
کتێبفرۆشێکی	.ki.têb.fi.ro.şê.kî
ئاخوندی	.ʔa.xun.dî
بەرهەمانێک	.ber.he.ma.nêk
سزا	.si.za
ئیمەیل	.ʔî.meyl
دەما	.de.ma
بڕیارێکی	.biř.ya.rê.kî
دەچووە	.de.çu.we
سیمینار	.sî.mî.nar
سازمانی	.saz.ma.nî
پێشوی	.pêş.wî
سەری	.se.rî
نڤیسکیی	.ni.vîs.kîy
ئایینییەکانە	.ʔa.yî.nî.ye.ka.ne
نووسراوەکاندا	.nûs.ra.we.kan.da
دڵنیام	.dił.nyam
چاپخانەیەکی	.çap.xa.ne.ye.kî
ئەنوەر	.ʔen.wer
شۆڕشە	.şo.ři.şe
دەنا	.de.na
چاپخانەگەلە	.çap.xa.ne.ge.le
دەنگەکانی	.den.ge.ka.nî
هەناردەکردنی	.he.nar.de.kir.di.nî
تەشهیر	.teş.hîr
ناسراوەکانی	.nas.ra.we.ka.nî
کتێبخانەکانم	.ki.têb.xa.ne.ka.nim
بەجێدەهێڵێ	.be.cê.de.hê.łê
ئەفسەری	.ʔef.se.rî
رۆیشتە	.royş.te
پێکهاتەیەکی	.pêk.ha.te.ye.kî
کەڕەت	.ke.řet
ئاسمان	.ʔas.man
لەوەدایە	.le.we.da.ye
شێرکۆ	.şêr.ko
خۆشم	.xo.şim
هەندێکیشیان	.hen.dê.kîş.yan
بەرهەمانە	.ber.he.ma.ne
رەوتی	.rew.tî
گومروک	.gum.ruk
تورکەکانیشدا	.tur.ke.ka.nîş.da
لەچاپدەر	.le.çap.der
بەڕێوەچوونی	.be.řê.we.çû.nî
قەدەغە	.qe.de.ẍe
لێکدانەوەی	.lêk.da.ne.wey
رێپێنەدراوەکان	.rê.pê.ne.di.ra.we.kan
بەدیهێنانی	.be.dî.hê.na.nî
تاریکی	.ta.rî.kî
کردبوو	.kir.di.bû
ماڵپەری	.mał.pe.rî
بانگەوازی	.ban.ge.wa.zî
دەبردن	.de.bir.din
بەهەمان	.be.he.man
مافەکانیان	.ma.fe.kan.yan
نوێیان	.nwê.yan
پێشووەکاندا	.pê.şu.we.kan.da
مانەوەم	.ma.ne.wem
ژنانی	.ji.na.nî
کارەسات	.ka.re.sat
ئانگژا	.ʔan.gi.ja
کۆراندمەوە	.ko.ran.di.me.we
چەڵەمەیەشدا	.çe.łe.me.yeş.da
ئەورووپادا	.ʔew.rû.pa.da
رێخۆشکەری	.rê.xoş.ke.rî
ئاب	.ʔab
هەرچەند	.her.çend
دەنگەکان	.den.ge.kan
لەمەودوا	.le.mew.dwa
مامۆستای	.ma.mos.tay
زێڕین	.zê.řîn
بارەوە	.ba.re.we
راگەیاندنی	.ra.ge.yan.di.nî
یە	.ye
پرسیم	.pir.sîm
منداڵ	.min.dał
تەقەی	.te.qey
دۆزیونەتەوە	.do.zîw.ne.te.we
پرسیار	.pirs.yar
خوازیاری	.xwaz.ya.rî
ئەشکەنجانە	.ʔeş.ken.ca.ne
ئەنجامدراوە	.ʔen.cam.di.ra.we
هێشت	.hêşt
تیرۆر	.tî.ror
کۆکردنەوەی	.ko.kir.di.ne.wey
مەودای	.mew.day
چاپەمەنیگەلێک	.ça.pe.me.nî.ge.lêk
زانیاریی	.zan.ya.rîy
نارد	.nard
بزاڤەکەدا	.bi.za.ve.ke.da
قازانجی	.qa.zan.cî
بیروبڕوایان	.bî.ru.biř.wa.yan
قسە	.qi.se
ئاوات	.ʔa.wat
بکرێتە	.bi.ki.rê.te
دیونەتەوە	.dîw.ne.te.we
زانین	.za.nîn
راگەیاندووە	.ra.ge.yan.du.we
کارەکەشیان	.ka.re.keş.yan
لەبەرامبەردا	.le.be.ram.ber.da
سەددام	.sed.dam
بەرنامە	.ber.na.me
رێگا	.rê.ga
سازدەکرێ	.saz.de.ki.rê
زیان	.zyan
ناخۆش	.na.xoş
دوای	.dway
رۆژنامەگەل	.roj.na.me.gel
چۆڵ	.çoł
زۆرکات	.zor.kat
بوارەکانی	.bwa.re.ka.nî
سا	.sa
ڕاهێنان	.řa.hê.nan
ببووی	.bi.bûy
سەرەخۆشی	.se.re.xo.şî
بێکاری	.bê.ka.rî
بەڕووی	.be.řûy
بنەما	.bi.ne.ma
بەحرەین	.beḧ.reyn
أجنَبی	.ʔec.ne.bî
ئافرەتان	.ʔaf.re.tan
دەخوازێت	.de.xwa.zêt
ڕێکخەری	.řêk.xe.rî
دکتۆر	.dik.tor
بگرێت	.bi.gi.rêt
یۆرۆ	.yo.ro
لاو	.law
قسەیە	.qi.se.ye
لەبەندیخاناندا	.le.ben.dî.xa.nan.da
قەرزدار	.qerz.dar
کتێبانم	.ki.tê.ba.nim
ولاتە	.wi.la.te
پرۆگرامانی	.pi.rog.ra.ma.nî
بەباشی	.be.ba.şî
چاودێرەکانی	.çaw.dê.re.ka.nî
سەڵەف	.se.łef
لێکۆڵینەوەی	.lê.ko.łî.ne.wey
پێمان	.pê.man
دەکرێن	.de.ki.rên
ماندووبوونی	.man.dû.bû.nî
هێدی	.hê.dî
ماڵپەڕان	.mał.pe.řan
نێوە	.nê.we
لێکراوە	.lê.ki.ra.we
چووەتە	.çu.we.te
سەرچاوکەی	.ser.çaw.key
رێی	.rêy
حاجی	.ḧa.cî
پۆلیسی	.po.lî.sî
شتەی	.şi.tey
ماڵپەڕ	.mał.peř
بەسەردەبا	.be.ser.de.ba
هەفتەی	.hef.tey
توندوتێژی	.tun.du.tê.jî
بەرەو	.be.rew
خۆیانە	.xo.ya.ne
رخنەگیرانە	.rix.ne.gî.ra.ne
کیلۆمەتر	.kî.lo.me.tir
ئاژانسی	.ʔa.jan.sî
پێشانگاکانی	.pê.şan.ga.ka.nî
دەتوانیت	.de.twa.nît
زۆرکارییە	.zor.ka.rî.ye
خۆیدا	.xoy.da
کوردییان	.kur.dî.yan
تورکەکاندا	.tur.ke.kan.da
بەرنامەگەلەش	.ber.na.me.ge.leş
هێنابوو	.hê.na.bû
بەدواداچوونی	.be.dwa.da.çû.nî
دایکیان	.dayk.yan
منیش	.mi.nîş
ئایینین	.ʔa.yî.nîn
بەبۆنەی	.be.bo.ney
دوابەدوای	.dwa.be.dway
پاشایەتی	.pa.şa.ye.tî
نەتەوەکاندا	.ne.te.we.kan.da
کوردستانیشدا	.kur.dis.ta.nîş.da
گۆڤارەکە	.go.va.re.ke
زڕوزا	.zi.řu.za
وڵاتانی	.wi.ła.ta.nî
دێموکرات	.dê.muk.rat
پێغەمبەر	.pê.ẍem.ber
گفتوگۆکردن	.gif.tu.go.kir.din
شوێنەی	.şwê.ney
عوسمان	.ƹus.man
تۆمارنەکردنی	.to.mar.ne.kir.di.nî
توانیاندا	.twan.yan.da
شەست	.şest
سەرەنجی	.se.ren.cî
دەهێنرێ	.de.hên.rê
ڕێکخراوەکانی	.řêk.xi.ra.we.ka.nî
ناتوانین	.na.twa.nîn
زۆربووەوە	.zor.bu.we.we
بنەماڵەی	.bi.ne.ma.łey
گووتی	.gû.tî
کۆپیگەلەیە	.ko.pî.ge.le.ye
بوونیان	.bûn.yan
کراوەکان	.ki.ra.we.kan
دەرکەوتوون	.der.kew.tûn
تاوانە	.ta.wa.ne
سەعات	.se.ƹat
حیزبی	.ḧîz.bî
جەلەولا	.ce.lew.la
ڕەوشتی	.ře.wiş.tî
دادەمەزرێندرێ	.da.de.mez.rên.di.rê
ڕێژەیە	.řê.je.ye
قۆڵبەستی	.qoł.bes.tî
رەنگ	.reng
ساکارتر	.sa.kar.tir
ماڵێ	.ma.łê
مانایە	.ma.na.ye
لەنێوبردنیان	.le.nêw.bir.din.yan
دیاربەکرە	.dyar.be.ki.re
زۆرینە	.zo.rî.ne
کۆبوونەوەکان	.ko.bû.ne.we.kan
پێوەندیی	.pê.wen.dîy
نووسراوەیان	.nûs.ra.we.yan
کارادەمر	.ka.ra.de.mir
بهێنرێ	.bi.hên.rê
نەچێت	.ne.çêt
بەلاوەنانی	.be.la.we.na.nî
وێران	.wê.ran
چارسانجاک	.çar.san.cak
ناوەند	.na.wend
ئاژەڵ	.ʔa.jeł
دەهێنا	.de.hê.na
چارە	.ça.re
نانی	.na.nî
بەمەش	.be.meş
کتێبخانە	.ki.têb.xa.ne
رۆژنامەیە	.roj.na.me.ye
پێشخستن	.pêş.xis.tin
دانەبەزێنن	.da.ne.be.zê.nin
بەهەموو	.be.he.mû
دەکەون	.de.ke.win,.de.kewn
ئێوەی	.ʔê.wey
دڵی	.di.łî
بەکارهێنەرەکانی	.be.kar.hê.ne.re.ka.nî
ساکار	.sa.kar
ماتۆڕ	.ma.toř
وەرگێڕاوانێک	.wer.gê.řa.wa.nêk
کێبەرکێیەکی	.kê.ber.kê.ye.kî
دەوڵەمەند	.dew.łe.mend
باشوور	.ba.şûr
کێشەیەی	.kê.şe.yey
چووکی	.çû.kî
عەبدولڵا	.ƹeb.dul.ła
بەشار	.be.şar
یەکێتیی	.ye.kê.tîy
بەڕێوەبردنی	.be.řê.we.bir.di.nî
خوێندگەکاندا	.xwênd.ge.kan.da
باتلێر	.bat.lêr
دەرفەتە	.der.fe.te
وزەی	.wi.zey
فێڵ	.fêł
هاتووە	.ha.tu.we
خوێنگەکاندا	.xwên.ge.kan.da
ئامانج	.ʔa.manc
هۆیەکی	.ho.ye.kî
رۆژنامە	.roj.na.me
مل	.mil
تۆماردەکرێن	.to.mar.de.ki.rên
ئەکەن	.ʔe.ken
کێشەیەک	.kê.şe.yek
سووبسید	.sûb.sîd
بدات	.bi.dat
زیادبوونی	.zyad.bû.nî
کردوە	.kir.dwe
وەرگرن	.wer.gi.rin
حدک	.ḧi.dik
سەتیی	.se.tîy
نەفت	.neft
کتێبفرۆشییەکاندا	.ki.têb.fi.ro.şî.ye.kan.da
کۆتای	.ko.tay
هەوا	.he.wa
سەربەخۆی	.ser.be.xoy
هێرشەکانی	.hê.ri.şe.ka.nî
کتێبفرۆشیگەلێکی	.ki.têb.fi.ro.şî.ge.lê.kî
دەرمانی	.der.ma.nî
بەپێچەوانەوە	.be.pê.çe.wa.ne.we
دەدرێ	.de.di.rê
تۆپ	.top
خوێنەرانیش	.xwê.ne.ra.nîş
بەرژەوەندییە	.ber.je.wen.dî.ye
راحەتتر	.ra.ḧet.tir
گوند	.gund
میللەتی	.mîl.le.tî
گومان	.gu.man
ڕێبەری	.řê.be.rî
میدیا	.mîd.ya
بەدەستهێناوە	.be.des.ti.hê.na.we
تورکیاش	.turk.yaş
سەرلەنوێ	.ser.le.nwê
نەبی	.ne.bî
مەترسیدار	.me.tir.sî.dar,[.met.ri.sî.dar]
پڕۆسەی	.pi.řo.sey
گوتوویەتی	.gu.tû.ye.tî
دەدا	.de.da
دڵەکاندا	.di.łe.kan.da
ئەگەریش	.ʔe.ge.rîş
حیزبە	.ḧîz.be
هەڤیارییەکان	.hev.ya.rî.ye.kan
ئاوارەکان	.ʔa.wa.re.kan
ئامانجەکانیان	.ʔa.man.ce.kan.yan
روونی	.rû.nî
پاشدا	.paş.da
تۆمارنەکراون	.to.mar.ne.ki.ra.win
بەرامبەردا	.be.ram.ber.da
تێپەڕینی	.tê.pe.řî.nî
کەم‌ئەزموونەوە	.kem.ʔez.mû.ne.we
ئەوەیش	.ʔe.weyş
ئەژمارێک	.ʔej.ma.rêk
کەمە	.ke.me
خولەکەکانی	.xu.le.ke.ka.nî
باتی	.ba.tî
کچەکە	.ki.çe.ke
سەرچاوەی	.ser.ça.wey
نمایشی	.ni.ma.yi.şî
