egypt	ɛɡipt
členok	t͡ʃlɛnɔk
hodža	hɔd͡ʒa
lenka	lɛŋka
vroclav	ʋrɔt͡sɫaw
bohumír	bɔɦumiːr
vlastný	vɫastniː
tatry	tatri
piano	pianɔ
ak	ak
mias	mi̯as
fazuľa	fazuʎa
koreňom	kɔrɛɲɔm
cnosť	t͡snɔsc
pondelok	pɔnɟɛɫɔk
poznaň	pɔznaɲ
večes	ʋetʃes
lesť	lɛsc
syntaxe	sintaksɛ
kolibrík	kɔlibriːk
justína	justiːna
jaternica	jacɛrɲit͡sa
riť	ric
próza	pro̞ːza
ťažký	caʃkiː
vdovy	vdɔvi
koreňmi	kɔrɛɲmi
bronislava	brɔɲislava
odhodlaný	odɦodlaniː
alibi	alibi
kmene	kmɛɲɛ
tokio	tɔkiɔ
srať	srac
grinda	ɡrinda
norbert	nɔrbɛrt
desiaty	ɟɛsi̯ati
jedného	jedneːɦo
drahoslav	draɦɔsɫau̯
afriky	afriki
váh	vaːx
zápcha	zaːpxa
viesť	vi̯ɛsc
opustiť	ɔpuscic
homosexualita	ɦɔmɔsɛksualita
snob	snɔp
loď	ɫɔc
angström	aŋɡstrɛm
vendelín	vɛndɛliːn
teta	cɛta
desať	ɟɛsac
hermína	ɦɛrmiːna
spŕška	spr̩ːʃka
erika	ɛrika
žiak	ʒi̯ak
kysličník	kislit͡ʃɲiːk
chlap	xlap
vrece	vrɛt͡sɛ
lechický	lɛxit͡skiː
nohavica	nɔɦavit͡sa
klamstvo	kɫamstvɔ
päta	pæta
polievka	pɔli̯ɛu̯ka
matka	matka
ahoj	aɦɔj
faerčan	faɛrt͡ʃan
páliť	paːlic
som	sɔm
snáď	snaːc
cech	t͡sɛx
storočie	storot͡ʃi̯e
turkyňa	turkiɲa
struk	struk
zeus	ze̞us
extáza	ɛkstaːza
záležitosť	zaːɫeʒitɔsc
neodým	nɛɔdiːm
chorvatistika	xɔrvatistika
ĺ	ɫ̩ː
strachy	straxi
synček	sint͡ʃɛk
oslobodiť	ɔsɫɔbɔɟic
strýc	striːt͡s
európu	ɛu̯rɔːpu
tanierik	taɲi̯ɛrik
podľa	pɔdʎa
ervín	ɛrviːn
šach	ʃax
narkomanka	narkɔmaŋka
fyzika	fizika
prezident	prɛzidɛnt
dunajec	dunajɛt͡s
technológia	tɛxnɔɫɔːɡia
pena	pɛna
nečujný	ɲɛt͡ʃujniː
nôžka	nu̯ɔʃka
štvrtý	ʃtvr̩tiː
ulica	uʎit͡sa
drahuša	drahuʃa
ľubľana	lʲublʲana
vrtuľník	vr̩tuʎɲiːk
škandinávie	ʃkandinaːviɛ
nielen	ɲi̯ɛlɛn
mesiac	mɛsi̯at͡s
horúci	ɦɔruːt͡si
delfín	dɛlfiːn
katapultov	katapuɫtɔu̯
ontogenéza	ɔntɔɡɛnɛːza
tlačiť	tɫat͡ʃic
svedomie	svɛdɔmi̯e
faktoch	faktox
ovčí	ɔu̯t͡ʃiː
žemľa	ʒɛmʎa
skorocel	skɔrɔt͡sɛɫ
pohľad	pɔɦʎat
tigris	tiɡris
osoby	ɔsɔbi
sepsa	sɛpsa
osemnásť	ɔsɛmnaːsc
galaxiami	ɡalaksiami
havran	ɦavran
móda	mɔːda
dievča	ɟi̯ɛu̯t͡ʃa
tuleň	tulɛɲ
socha	sɔxa
kryptón	kriptɔːn
ulicu	uɫit͡su
mitra	mitra
horúčava	ɦɔruːt͡ʃava
telefón	tɛlɛfɔːn
dubmi	dubmi
ty	ti
leto	lɛtɔ
počet	pɔt͡ʃɛt
pravda	prau̯da
pandeizmus	pandɛizmus
večera	vɛt͡ʃɛra
osôb	ɔsu̯op
esbjerg	ɛzbjɛrk
ctibor	t͡scibɔr
dcérsky	t͡sɛːrski
belasý	belasiː
dcéra	t͡sɛːra
september	sɛptɛmbɛr
víkend	ʋiːkent
monoteistický	mɔnɔtɛistit͡skiː
dušana	duʃana
nový	nɔviː
margita	marɡita
slovníkov	sɫoʋɲiːkou̯
architektúra	arxitɛktuːra
albín	aɫbiːn
tapeta	tapɛta
beňo	bɛɲɔ
podprsenka	pɔtpr̩sɛŋka
bieloruština	bi̯ɛɫɔruʃcina
znamenať	znamɛnac
mydlo	midɫɔ
bažant	baʒant
tvrdza	tvr̩d͡za
kočiš	kɔt͡ʃiʃ
nevädza	ɲɛvɛd͡za
škrupina	ʃkrupina
vetva	vɛtva
brazílski	braziːɫski
bukurešť	bukurɛʃc
ulíc	uɫiːt͡s
prsteň	pr̩scɛɲ
hnida	ɦɲida
taliančina	tali̯ant͡ʃina
samurajka	samurajka
liter	litɛr
motýľ	mɔtiːʎ
necht	ɲɛxt
počty	pɔt͡ʃti
podnikateľ	pɔdɲikacɛʎ
arnold	arnɔld
alan	aɫan
holub	ɦɔɫup
valach	vaɫax
sova	sɔva
voda	vɔda
novák	nɔvaːk
mozog	mɔzɔk
vdovami	vdɔvami
zmrzlina	zmr̩zɫina
hrudní	ɦrudniː
mrav	mrau̯
čaša	t͡ʃaʃa
inštrumentál	inʃtrumɛntaːɫ
bielizeň	bi̯ɛlizɛɲ
sirôtočka	siru̯ɔtɔt͡ʃka
homár	homaːr
že	ʒɛ
michal	mixaɫ
puma	puma
mliečny	mli̯ɛt͡ʃni
plamenček	pɫamɛnt͡ʃɛk
žiletka	ʒilɛtka
zoznam	zɔznam
metro	mɛtrɔ
gustáv	ɡustaːu̯
mládež	mɫaːɟɛʃ
raž	raʃ
bankovka	bankɔu̯ka
ves	ʋes
fotograf	fɔtɔɡraf
pani	paɲi
matematička	matɛmatit͡ʃka
renáta	rɛnaːta
zrno	zr̩nɔ
žgrloš	ʒɡr̩ɫɔs
pätnásť	pɛtnaːsc
lúka	ɫuːka
polievočka	pɔli̯ɛvɔt͡ʃka
albert	aɫbɛrt
stôl	stu̯ɔɫ
petra	pɛtra
dunajskí	dunajskiː
ornitológia	ɔrnitɔɫɔːɡia
sestrička	sɛstrit͡ʃka
maroš	marɔʃ
cárovič	t͡saːrɔvit͡ʃ
český	t͡ʃeskiː
erik	ɛrik
vďaka	vɟaka
hej	ɦɛj
ulica	uɫit͡sa
jún	juːn
jedna	jedna
databáza	databaːza
dánsko	daːnskɔ
pitjantjatjara	picancacara
mladý	mɫadiː
kôpor	ku̯ɔpɔr
sprcha	spr̩xa
dabing	dabiŋɡ
rad	rat
líce	liːt͡sɛ
dobrého	dɔbrɛːɦɔ
lečo	lɛt͡ʃɔ
klamať	kɫamac
xantipa	ksantipa
miriama	miriama
holandsko	ɦɔɫandskɔ
tibor	cibɔr
fakty	fakti
gibon	ɡibɔn
opica	ɔpit͡sa
budúci	buduːt͡si
cudzinka	t͡sud͡ziŋka
väčší	væt͡ʃʃi
nočný	nɔt͡ʃniː
američanka	amɛrit͡ʃaŋka
božtek	bɔʃcɛk
tanec	taɲet͡s
zlo	zɫɔ
braňa	braɲa
chorvátsko	xɔrvaːtskɔ
džbán	d͡ʒbaːn
ľudo	ʎudɔ
taliansko	tali̯anskɔ
chvost	xvɔst
kolegyňa	kɔlɛɡiɲa
deizmus	dɛizmus
rimanom	rimanɔm
gombík	ɡɔmbiːk
beátka	bɛaːtka
kraje	kraje
martina	martina
birmovka	birmɔu̯ka
finančný	finant͡ʃniː
írčina	iːrt͡ʃina
lídrami	liːdrami
listoch	listɔx
grónsko	ɡrɔːnskɔ
persefona	pɛrsɛfɔna
koreňu	kɔrɛɲu
mláďatko	mɫaːɟatkɔ
sviečok	svi̯ɛt͡ʃɔk
šáločka	ʃaɫɔt͡ʃka
cár	t͡saːr
mráz	mraːs
egypťanka	ɛɡipcanka
oslo	ɔsɫɔ
bolesť	bɔlɛsc
bernard	bɛrnard
povraz	pɔvras
chlapov	xɫapɔu̯
anaxagoras	anaksaɡoras
bohemizmus	bɔɦɛmizmus
sladký	sɫatkiː
starý	stariː
trhu	tr̩ɦu
shetlandy	ʃɛtlɛndi
záhada	zaːɦada
orgazmu	ɔrɡazmu
klišé	kliʃɛː
jablkový	jabɫ̩kɔviː
heliometer	ɦɛliɔmɛtɛr
ateizmus	atɛizmus
bedro	bɛːdrɔ
kobra	kɔbra
viola	viɔɫa
kremácia	krɛmaːt͡sia
kanada	kanada
okno	ɔknɔ
vtedy	ftɛdi
jablkách	jabɫ̩kaːx
slovo	sɫɔvɔ
všetci	fʃɛtt͡si
strojoch	strɔjɔx
ako	akɔ
ste	scɛ
niekoľko	ɲi̯ɛkɔʎkɔ
telo	cɛɫɔ
riečka	ri̯ɛt͡ʃka
sloní	sɫɔɲiː
nazdar	nazdar
terézia	tɛrɛːzia
jazda	jazda
boh	bɔx
katapulte	katapuɫcɛ
trávička	traːvit͡ʃka
noha	nɔɦa
meitnerium	mai̯tnɛrium
sendvič	sɛndvit͡ʃ
kvet	kvɛt
ťarchavý	carxaviː
oheň	ɔɦɛɲ
kalamár	kaɫamaːr
jedných	jedniːx
adamovi	adamɔvi
chlm	xɫ̩m
ženách	ʒɛnaːx
alena	alɛna
epir	ɛpir
my	mi
technécium	tɛxnɛːt͡sium
henrieta	ɦɛnri̯ɛta
helsinki	ɦɛɫsiŋki
štrajk	ʃtrajk
nemecký	ɲɛmɛt͡skiː
husí	ɦusiː
igor	iɡɔr
strmý	str̩miː
orlej	ɔrʎɛj
kapsula	kapsula
slovanský	sɫɔvanskiː
zoom	zuːm
červ	t͡ʃɛrw
anabela	anabɛɫa
adam	adam
džús	d͡ʒuːs
výnos	viːnɔs
bankami	baŋkami
slovníkoch	sɫoʋɲiːkox
dne	dɲɛ
chorobný	xɔrɔbniː
skupáň	skupaːɲ
vďačnosť	vɟat͡ʃnɔsc
rovnaký	rɔvnakiː
biotit	biotit
párny	paːrni
maltčina	maɫtt͡ʃina
uzbek	uzbek
rybár	ribaːr
malta	maɫta
slonica	slɔnit͡sa
štart	ʃtart
somár	sɔmaːr
bodka	bɔtka
klávesnica	kɫavɛsɲit͡sa
ulicou	uʎit͡sɔw
pieskoviská	pi̯ɛskɔviskaː
pipka	pipka
chudobný	xudɔbniː
ostriež	ɔstri̯ɛʃ
rytier	rici̯ɛr
ladislav	ɫaɟisɫau̯
jednoduchý	jɛdnɔduxiː
mezopotámia	mɛzɔpɔtaːmia
etymológia	ɛtimɔɫɔːɡia
bodnúť	bɔdnuːc
micheáš	mixɛaːʃ
fašistický	faʃistit͡skiː
srdiečko	sr̩ɟi̯ɛt͡ʃkɔ
lokomotíva	ɫɔkɔmɔtiːva
niób	niɔːp
stroje	strɔjɛ
začať	zat͡ʃac
tužka	tuʃka
jamôčka	jamu̯ɔt͡ʃka
najnižší	najɲiʃʃiː
mikuláš	mikuɫaːʃ
okna	ɔkna
vrkoč	vr̩kɔt͡ʃ
litovčina	litɔu̯t͡ʃina
vec	vɛt͡s
zelená	zɛlɛnaː
obláčik	ɔbɫaːt͡ʃik
cudzina	t͡sud͡zina
vychádzka	vixaːt͡ska
srdcu	sr̩t͡su
z	z
fidži	fid͡ʒi
čoskoro	t͡ʃɔskɔrɔ
lukostrelec	ɫukɔstrɛlɛt͡s
španielčina	ʃpaɲi̯ɛɫt͡ʃina
nebo	ɲɛbɔ
chýr	xiːr
ruda	ruda
druhý	druɦiː
múdrosť	muːdrɔsc
fliačik	fʎi̯at͡ʃik
elvíra	ɛlviːra
raňajkovať	raɲajkɔvac
pražan	praʒan
držať	dr̩ʒac
tiež	ci̯ɛʃ
uhorka	uɦɔrka
drahomír	draɦɔmiːr
vraní	vraɲiː
primusieť	primusi̯ɛc
kurva	kurva
ježiš	jɛʒiʃ
stela	stɛɫa
vodca	ʋɔt͡sːa
afrikou	afrikɔu̯
jednorožec	jɛdnɔrɔʒɛt͡s
xylofón	ksilɔfɔːn
prsia	pr̩si̯a
hier	ɦi̯er
košeľa	kɔʃɛʎa
vstupenka	fstupɛŋka
obrus	ɔbrus
mostík	mo̞sciːk
krk	kr̩k
bystrica	bistrit͡sa
flerovium	flɛrɔvium
zrak	zrak
vplyv	fpɫiw
lujza	ɫujza
doma	dɔma
triesočka	tri̯ɛsɔt͡ʃka
bunda	bunda
rumanček	rumant͡ʃɛk
iza	iza
lúč	ɫuːt͡ʃ
veľa	vɛʎa
galaxiám	ɡalaksiaːm
nahum	naɦum
písať	piːsac
ulici	uʎit͡si
párnokopytník	paːrnɔkɔpitɲiːk
česko	t͡ʃɛskɔ
rýchlosť	riːxlɔsc
bohyňa	boɦiɲa
deaktivovať	dɛaktivɔvac
do	dɔ
sobáš	sɔbaːʃ
rozhodnúť	rɔzɦɔdnuːc
hlahol	ɦɫaɦɔɫ
prešporok	prɛʃpɔrɔk
roh	rɔx
myšiu	miʃi̯u
čpavok	t͡ʃpavɔk
vaše	ʋaʃe
slovník	sloʋɲiːk
nehnuteľnosť	ɲɛɦnucɛʎnɔsc
žofia	ʒɔfia
jazierko	jazi̯ɛrkɔ
koza	kɔza
hradba	ɦradba
autom	au̯tɔm
cín	t͡siːn
autami	au̯tami
súostrovie	suːɔstrɔvi̯ɛ
pankrác	paŋkraːt͡s
terminológia	tɛrminɔɫɔːɡia
klus	kɫus
bezpečnosť	bɛspɛt͡ʃnɔsc
antisemita	antisɛmita
nemec	ɲɛmɛt͡s
albánsky	aɫbaːnski
zlatko	zɫatkɔ
jánov	jaːnɔu̯
viktória	viktɔːria
koreňoch	kɔrɛɲɔx
šamlík	ʃamliːk
rití	riciː
fujarôčka	fujaru̯ɔt͡ʃka
juno	junɔ
jebačka	jɛbat͡ʃka
európa	ɛu̯rɔːpa
strojom	strɔjɔm
lídri	liːdri
altruizmus	aɫtruizmus
štvrtok	ʃtvr̩tɔk
kúty	kuːti
práve	praːvɛ
andulka	anduɫka
dôležitý	du̯ɔlɛʒitiː
sláčik	sɫaːt͡ʃik
sviečky	svi̯ɛt͡ʃki
hovädzie	ɦɔvɛd͡zi̯ɛ
vanuatu	vanuatu
bejrút	bɛjruːt
kobru	kɔbru
jozue	jɔzuɛ
podpazušie	pɔtpazuʃi̯ɛ
sergej	sɛrɡɛj
život	ʒivɔt
röntgen	rœntɡɛn
bambus	bambus
kura	kura
neptúnium	nɛptuːnium
perspektíva	pɛrspɛktiːva
koreňov	kɔrɛɲɔu̯
vodič	vɔɟit͡ʃ
pršať	pr̩ʃac
žemlička	ʒɛmlit͡ʃka
srdcia	sr̩t͡si̯a
dubnium	dubnium
námestíčko	naːmɛsciːt͡ʃkɔ
víťazoslava	viːcazɔsɫava
zboží	zbɔʒiː
kmeňov	kmɛɲɔu̯
semeno	sɛmɛnɔ
kopije	kɔpijɛ
zdrobnenina	zdrɔbɲɛɲina
kôstkovina	ku̯ɔstkɔvina
kajak	kajak
július	juːlius
čínsky	t͡ʃiːnski
vtákopysk	ftaːkɔpisk
anežka	aɲɛʃka
autám	au̯taːm
práca	praːt͡sa
nepárnokopytník	ɲɛpaːrnɔkɔpitɲiːk
podmienka	pɔdmi̯ɛŋka
lenže	lɛnʒɛ
yterbium	itɛrbium
óda	ɔːda
doktormi	dɔktɔrmi
sušička	suʃit͡ʃka
litva	litva
chalan	xaɫan
správať	spraːvac
tráviaci	traːvi̯at͡si
kukurica	kukurit͡sa
tovar	tɔvar
jašterica	jaʃcɛrit͡sa
nikto	ɲiktɔ
svetu	svɛtu
slovníkom	sɫoʋɲiːkom
hrozienko	ɦrɔzi̯ɛŋkɔ
morča	mɔrt͡ʃa
ž	ʒ
izák	izaːk
jedny	jedni
meniny	mɛɲini
mužský	muʃskiː
fotogenický	fɔtɔɡɛnit͡skiː
more	mɔrɛ
deň	ɟɛɲ
írsko	iːrskɔ
dní	dɲiː
politik	pɔlitik
kobry	kɔbri
pieskovisko	pi̯ɛskɔviskɔ
marína	mariːna
španielsko	ʃpaɲi̯ɛɫskɔ
karolína	karɔliːna
prázdny	praːzdni
alka	aɫka
preukázať	prɛukaːzac
vypnúť	vipnuːc
tamhľa	tamɦʎa
dúha	duːɦa
žeriav	ʒɛri̯au̯
krajmi	krajmi
félix	fɛːliks
jesť	jɛsc
eleonóra	ɛlɛɔnɔːra
mantinel	mantinɛɫ
roztomilý	rɔstɔmiliː
rýchly	riːxli
sujet	syʒɛt
tágo	taːɡɔ
kríž	kriːʃ
heraldika	ɦɛraɫdika
dymoch	dimɔx
jarabica	jarabit͡sa
partizán	partizaːn
hlavný	ɦɫavniː
mliečko	mli̯ɛt͡ʃkɔ
zina	zina
treba	trɛba
epikuros	ɛpikurɔs
alebo	alɛbɔ
keď	kɛc
tmavý	tmaviː
čečensko	t͡ʃet͡ʃenskɔ
palác	paɫaːt͡s
pravdami	pravdami
angličtina	aŋɡlit͡ʃcina
curium	kyrium
bratislavou	bracisɫavɔu̯
júl	juːɫ
eduard	ɛduard
ytrium	itrium
tisíci	cisiːt͡si
vysvedčenie	ʋisʋett͡ʃeni̯e
rúž	ruːʃ
hilda	ɦiɫda
ázia	aːzia
príslovie	priːsɫɔvi̯ɛ
dvakrát	dvakraːt
ony	ɔni
dedinčanka	ɟɛɟint͡ʃaŋka
ďalekohľad	ɟalɛkɔɦʎat
pásomnica	paːsɔmɲit͡sa
vežička	vɛʒit͡ʃka
vietor	vi̯ɛtɔr
jogurtu	jɔɡurtu
nádražia	naːdraʒi̯a
kile	kilɛ
starec	starɛt͡s
dovolenka	dɔvɔlɛŋka
darmstadtium	darmʃtatium
malvína	maɫviːna
metla	mɛtɫa
rysy	risi
upír	upiːr
pamäť	pamæc
zmes	zmɛs
rozsobáš	rɔssɔbaːʃ
vlajočka	vɫajɔt͡ʃka
chlapec	xɫapɛt͡s
pieseň	pi̯eseɲ
ruksak	ruksak
vajce	vajt͡sɛ
dokázať	dɔkaːzac
nominatív	nɔminatiːu̯
baleáry	balɛaːri
bohumil	bɔɦumiɫ
námesačníctvo	naːmɛsat͡ʃɲiːt͡svɔ
rutherfordium	radzɛfɔrdium
nádražie	naːdraʒi̯ɛ
hviezda	ɦvi̯ɛzda
utorok	utɔrɔk
čad	t͡ʃat
žiačik	ʒi̯at͡ʃik
izidor	izidɔr
cica	t͡sit͡sa
uhličitý	uɦʎit͡ʃitiː
dunčo	dunt͡ʃɔ
lekár	lekaːr
kalifornium	kalifɔrnium
strážiť	straːʒic
jarmo	jarmɔ
ignác	iɡnaːt͡s
večer	vɛt͡ʃɛr
dubov	dubɔu̯
plece	plet͡se
líder	liːder
opilec	ɔpilɛt͡s
žene	ʒɛɲɛ
kečup	kɛt͡ʃup
rokov	rɔkɔu̯
kvapka	kvapka
pretekať	prɛcɛkac
smädný	smedniː
nórsko	nɔːrskɔ
fajčiar	fajt͡ʃi̯ar
ihličnan	iɦɫit͡ʃnan
röntgenovať	rœntɡɛnɔvac
olomoucký	olomou̯t͡skiː
drozd	drɔst
aljaška	alʲaʃka
roľa	rɔʎa
hrdina	ɦr̩ɟina
súkromný	suːkrɔmniː
bicykel	bit͡sikɛɫ
piatok	pi̯atok
temešvár	tɛmɛʃvaːr
starostlivosť	starɔstlivɔsc
fagot	faɡɔt
slávka	sɫaːu̯ka
černica	t͡ʃɛrɲit͡sa
monika	mɔnika
slovníky	sɫoʋɲiːki
koláč	koɫaːt͡ʃ
synáčik	sinaːt͡ʃik
morave	mɔravɛ
načervenkasto	nat͡ʃɛrvɛŋkastɔ
tlmočník	tɫ̩mɔt͡ʃɲiːk
nijaký	ɲijakiː
lopata	ɫɔpata
domáci	dɔmaːt͡si
kobalt	kɔbaɫt
osľa	ɔsʎa
pytón	pitɔːn
priečinok	pri̯ɛt͡ʃinɔk
piešťany	pi̯ɛʃcani
saša	saʃa
víchor	viːxɔr
valašský	vaɫaʃskiː
cesto	t͡sɛstɔ
kandidóza	kandidɔːza
ulicou	uɫit͡sɔw
determinant	dɛtɛrminant
čiapočka	t͡ʃi̯apɔt͡ʃka
chodník	xɔdɲiːk
exodus	ɛksɔdus
krokodíl	krɔkɔdiːɫ
vlaha	vɫaɦa
groznyj	ɡrɔzni
vedieť	vɛɟi̯ɛc
banán	banaːn
predkožka	prɛtkɔʃka
hadž	ɦat͡ʃ
pôvod	pu̯ɔvɔt
strojov	strɔjɔu̯
levoslav	lɛvɔsɫau̯
rabín	rabiːn
vanda	vanda
adrián	adriaːn
perzia	pɛrzia
dalimil	dalimiɫ
bomba	bɔmba
cól	t͡sɔːɫ
zápražka	zaːpraʃka
bulharčina	buɫɦart͡ʃina
česť	t͡ʃɛsc
sýria	siːria
nina	ɲina
číslo	t͡ʃiːsɫɔ
ruténium	rutɛːnium
tam	tam
parole	parɔɫ
urban	urban
dejepis	ɟɛjɛpis
matica	macit͡sa
teológia	tɛɔɫɔːɡia
rozmaznať	rɔzmaznac
adelka	adɛɫka
extáze	ɛkstaːzɛ
cér	t͡sɛːr
japončina	japɔnt͡ʃina
švédsko	ʃvɛːtskɔ
uliciam	uʎit͡si̯am
dobro	dobro
cigareta	t͡siɡarɛta
magnetický	maɡnɛtit͡skiː
kvetoslava	kvɛtɔsɫava
gregor	ɡrɛɡɔr
minca	mint͡sa
európium	ɛu̯rɔːpium
peň	pɛɲ
čo	t͡ʃɔ
oni	ɔɲi
šimpanz	ʃimpans
nahí	naɦiː
mangán	maŋɡaːn
chrúst	xruːst
amália	amaːlia
starena	starɛna
frederik	frɛdɛrik
chvíľočka	xviːʎɔt͡ʃka
mät	mɛt
tisa	cisa
spajvér	spajvɛːr
dáma	daːma
slnko	sɫ̩ŋkɔ
dobrú	dɔbruː
božidara	bɔʒidara
sôch	su̯ox
brusel	brusɛɫ
stále	staːlɛ
fajočka	fajɔt͡ʃka
štóla	ʃtɔːɫa
slovníku	sɫoʋɲiːku
chróm	xroːm
zmluva	zmɫuva
zomrieť	zɔmri̯ɛc
síra	siːra
jesienka	jɛsi̯ɛŋka
liste	liscɛ
šampión	ʃampiɔːn
viktor	viktɔr
meteorológia	mɛtɛɔrɔlɔːɡia
matúš	matuːʃ
nádraží	naːdraʒiː
petronela	pɛtrɔnɛɫa
cenník	t͡sɛnɲiːk
moľ	mɔʎ
ženám	ʒɛnaːm
kováč	kɔvaːt͡ʃ
emil	ɛmiɫ
sekera	sɛkɛra
belo	bɛɫɔ
náter	naːcɛr
priezvisko	pri̯ɛzviskɔ
ďateľ	ɟacɛʎ
nás	naːs
mendelevium	mɛndɛlɛvium
rys	ris
sakristia	sakristia
pochodovať	pɔxɔdɔvac
ženu	ʒenu
stalaktit	staɫaktit
niesť	ɲi̯ɛsc
aktualizácia	aktualizaːt͡sia
chladný	xɫadniː
striebro	stri̯ɛbrɔ
prvočíslo	pr̩vɔt͡ʃiːsɫɔ
spraviť	spravic
študent	ʃtudɛnt
viať	vi̯ac
hĺbkomer	ɦɫ̩ːpkɔmɛr
prasa	prasa
dvojitý	dvɔjitiː
adolf	adoɫf
čmeľ	t͡ʃmɛʎ
soňa	sɔɲa
hanoj	ɦanɔj
mexický	mɛksit͡skiː
časť	t͡ʃasc
ivona	ivɔn
tigriňa	tiɡriɲa
zunovať	zunɔvac
cieľ	t͡si̯ɛʎ
kúpeľ	kuːpɛʎ
základný	zaːkɫadniː
bonifác	bɔnifaːt͡s
cudzí	t͡sud͡ziː
politika	pɔlitika
lev	lɛu̯
sluha	sɫuɦa
pápež	paːpɛʃ
nepárny	ɲɛpaːrni
peha	pɛɦa
dvojbodka	dvɔjbɔtka
jozefína	jɔzɛfiːna
aute	au̯cɛ
tlstý	tɫ̩stiː
horší	ɦɔrʃiː
jeseň	jɛsɛɲ
čiže	t͡ʃiʒɛ
iračanka	irat͡ʃaŋka
benzínka	bɛnziːnka
amerícium	amɛriːt͡sium
agnesa	aɡnɛsa
cvikla	t͡svikla
sať	sac
utečenec	ucɛt͡ʃɛɲɛt͡s
hana	ɦana
žĺtok	ʒɫ̩ːtɔk
ŕ	r̩ː
oltár	oɫtaːr
tórium	tɔːrium
strela	strɛɫa
dubom	dubɔm
patriť	patric
šošovka	ʃɔʃɔu̯ka
určite	urt͡ʃicɛ
stromu	strɔmu
mestečko	mɛscɛt͡ʃkɔ
svadobný	svadɔbniː
telom	cɛɫɔm
čína	t͡ʃiːna
rudolf	rudɔɫf
jabĺk	jabɫ̩ːk
broskyňa	brɔskiɲa
adjektívum	adjɛktiːvum
ker	kɛr
okrem	ɔkrɛm
sedemnásť	sɛɟɛmnaːsc
kto	kto̞
lebo	lɛbɔ
zvyšok	zviʃɔk
siaha	si̯aɦa
vlkolak	vɫ̩kɔɫak
hodža	ɦɔd͡ʒa
dŕžava	dr̩ːʒava
emanuel	ɛmanuɛɫ
túlium	tuːlium
ujo	ujɔ
shetland	ʃɛtlɛnt
kohútik	kɔɦuːcik
hrdinoch	ɦr̩ɟinɔx
vagína	vaɡiːna
ulicami	uɫit͡sami
leopold	lɛɔpɔld
kórea	kɔːrɛa
východ	viːxɔt
olivu	ɔlivu
vaňa	vaɲa
cencúľ	t͡sɛnt͡suːʎ
konár	kɔnaːr
doktor	dɔktɔr
zoltán	zɔɫtaːn
karta	karta
ryža	riʒa
panteizmus	panteizmus
čierny	t͡ʃi̯erni
dobroslav	dɔbrɔsɫau̯
riadiť	ri̯aɟic
stryná	strinaː
dominikánsky	dɔminikaːnski
ríbezľa	riːbɛzʎa
želmíra	ʒɛɫmiːra
šípka	ʃiːpka
svätopluk	svɛtɔpɫuk
žreb	ʒrɛp
prísť	priːsc
korene	kɔrɛɲɛ
kábel	kaːbɛɫ
sviečkam	svi̯ɛt͡ʃkam
magdaléna	maɡdalɛːna
chorou	xɔrɔu̯
devätnásť	ɟɛvɛtnaːsc
voš	vɔʃ
modrý	mɔdriː
zápal	zaːpaɫ
nebohý	ɲɛbɔɦiː
guľôčka	ɡuʎu̯ɔt͡ʃka
letište	lɛciʃcɛ
sklo	skɫɔ
mŕtvola	mr̩ːtvɔɫa
päť	pæc
ten	tɛn
chvastúň	xvastuːɲ
rozumieť	rɔzumi̯ɛc
vianoce	vi̯anɔt͡sɛ
muška	muʃka
skala	skaɫa
zať	zac
kaša	kaʃa
moravský	mɔrau̯skiː
eva	ɛva
mandarínka	mandariːŋka
univerzitný	univɛrzitniː
kobyla	kɔbiɫa
benjamín	bɛnjamiːn
foyer	fɔajɛː
vnúčik	ʋnuːt͡ʃik
železo	ʒeʎezɔ
dedina	ɟɛɟina
mnoho	mnɔɦɔ
znezrady	zɲɛzradi
jakub	jakup
hnutie	ɦnuci̯ɛ
ábel	aːbɛɫ
junák	junaːk
vraj	vraj
urán	uraːn
nakoľko	nakɔʎkɔ
jablčný	jabɫ̩t͡ʃniː
maroko	marɔkɔ
hrob	ɦrɔp
turista	turista
afrikánec	afrikaːɲɛt͡s
raňajky	raɲajki
hovädzie	ɦɔvæd͡zi̯ɛ
napätie	napæci̯ɛ
cicka	t͡sit͡ska
srdciami	sr̩t͡si̯ami
božica	bɔʒit͡sa
príslovka	priːsɫɔu̯ka
driev	dri̯eu̯
majonéza	majɔnɛːza
faktami	faktami
napätie	napɛci̯ɛ
bór	bɔːr
jedlo	jɛdɫɔ
vladimír	vɫaɟimiːr
šíp	ʃiːp
ráb	raːp
gunár	ɡunaːr
branislav	braɲisɫau̯
lievik	li̯ɛvik
lipsko	lipskɔ
bodkočiarka	bɔtkɔt͡ʃi̯arka
matilda	matiɫda
