ἀγγελικόσ	aŋɡɛlikos
αἴρω	ǎi̯rɔː
διάψαλμα	diápsalma
ἀγγελέεται	aɲɟeleete
βίοι	βiy
ἀγαθοποιέοιτε	aɡatʰopoi̯éoi̯te
χωρίον	xorion
ἀγερεοίμην	aɡɛrɛymen
τοσαῦτα	tosafta
σκυθική	sciθici
δαίνυντο	ðɛnynto
λαγνεία	laɡnia
ἀλλά	alla
ἀγασίασ	aɡasias
πρόσ	prós
χρυσοῖο	xrisio
ἦτα	ɛ̂ːta
εἶμι	imi
ἔβαλεν	ɛbalɛn
τινα	tina
συστέλλω	sistelo
ἐπιών	epiɔ̌ːn
ῥάδιξ	r̥ǎːdiːks
πάρμυσ	parmis
ταίναροσ	tenaros
ἀριστόδημοσ	aristódɛːmos
στράτοσ	stratos
ἀγαθοποιήσασ	aɡatʰopoi̯ɛ̌ːsaːs
νάνοισ	nanys
περιστροφίσ	peristrofis
ὑπάκυρισ	ypakyris
νήπια	nɛ̌ːpia
ἴμεναι	imɛnɛ
παρακείμενοι	paracimeny
ξένουσ	ksɛnus
ὀδυσεύσ	oðyseɸs
τετρακόσιοι	tetrakosii
μνηστῆρασ	mnɛːstɛ̂ːras
ἔδωκαν	édɔːkan
πάγη	paɡe
σύστομοσ	systomos
ἠγαπησάτην	eɡapesaten
οἰκούμενοσ	oi̯kǒːmenos
ἀγαθοποιέουσι	aɣaθopieusi
μνηστήρων	mnistiron
πεπαιδευμένη	pepai̯deu̯ménɛː
εὔβοιαν	evvian
γινώσκω	ɡinɔ̌ːskɔː
θυμόσ	θimos
πολλή	polli
οἰνόη	ynoe
ἔναιον	enɛon
ἔχθραι	ɛkʰtʰra
φυσάω	fysao
μέμαα	mémaa
ἀγγελοίμην	aŋɡelymin
περιτομεύσ	peritomeɸs
σφετέροισ	sɸeterys
ἐμμανουήλ	emmanuil
ἔδωκεν	édɔːken
πάσησ	pǎːsɛːs
ἀροτήρ	arotɛ̌ːr
θυρεοειδήσ	θireoiðis
ὑγρόφθογγοσ	yɣrofθoŋɡos
ἁγία	haɡia
παιδεύεσθαι	peðevesθe
ἄσκυρον	áskyron
ἄναρχοσ	anarkʰos
κηφεύσ	kepʰeʍs
οἰκονόμοσ	ykonomos
πλῆτο	plito
μολοσσόσ	molossós
καφύαι	kapʰýai̯
αἴθ'	eθ
χωλόσ	kʰɔːlós
ἀγερεῖσθε	aɣerisθe
ἡμένα	hemɛna
ἠγείρατε	ɛːɡěːrate
νάρτη	narti
ἐκεῖ	ɛki
ἀγαθοποιέομεν	aɣaθopyeomen
τίθεμαι	titʰɛmɛ
πλάδοσ	plaðos
τυροκομεῖον	tyːrokomêːon
ἀγγελήσεσθε	aŋɡelɛ̌ːsestʰe
ἡμέραι	hɛːméraːi̯
ἀγύρριοσ	aʝirios
τρίφθογγοσ	tripʰtʰoŋɡos
ὑποδεδειγμένων	hypodedeːŋménɔːn
γλαύξ	ɡlaʍks
πίπτουσι	pǐːptoːsi
δαιμόνιε	ðɛmonie
ποίει	pǒi̯eː
τάρανδοσ	tarandos
μελέτω	meleto
ὑποπόδιον	hypopódion
ἐρεμνόσ	ɛrɛmnos
θρόνων	θronon
λάμπει	lámpeː
ἐρέπτομαι	ɛrɛptomɛ
θάσσων	tʰasson
ἀγαθοποιῶνται	aɣaθopyonte
βάναυσοσ	bánau̯sos
σφαγή	spʰaɡe
σώκρατεσ	sokratɛs
ἀποδύω	apoðio
ἔχουσ'	exus
ἐκκύκλημα	ecyklima
ἐνιπεύσ	ɛnipeʍs
εὐρώπασ	eβropas
τιμόξενοσ	timoksenos
ἀγαθοποιηθήσοιο	aɣaθopiiθisio
ἠγαθοποιοῦ	eɡatʰopyu
μόγησα	moɡesa
ἀγαθοποιεόμεθα	aɣaθopyeomeθa
γεννῆτορ	ʝenitor
μεχείρ	mɛkʰir
ἁγιάζει	aʝiazi
οὐδεμία	udɛmia
δανδάκη	dandákɛː
φαίνουσι	pʰɛnusi
ἀκροβάτησ	akroβatis
πλεόνων	pleónɔːn
τοιούτω	tyuto
ἐφορῶσα	epʰorɔ̂ːsa
πυκινῶσ	pykinɔ̂ːs
χοιρέαι	xyreɛ
προτέρου	proteru
παλαιοῦ	paleu
κοιτίδα	kytiða
δεδιώσ	dɛdios
τοὔνεκ'	tǒːnek
δεκέλεια	dɛkɛlia
ἀγανακτοίη	aɣanaktii
δεξιφάνησ	dɛksipʰanes
ῆ	ɛ̂ː
ἀγγειλήταισι	aɲɟilitesi
παιδοφύλαξ	peðofilaks
ἑτέρω	etero
ἐκκολάψεισ	ɛkkolapsis
ἠξιώσατε	eksiosatɛ
γεννήτορεσ	ʝennitores
παλαιῶν	paleon
καλουμένην	kalumenin
πλῆθοσ	pletʰos
βαλανεῖον	βalanion
ἀλφάβητα	alɸaβita
ἐφορᾶι	eɸora
ἄλλοθι	allotʰi
γυναῖκε	ɡynâi̯ke
πέμψω	pempso
ἀγαυοί	aɣavi
αὐτῆι	aɸti
ἁγιάζονται	haɡiazontɛ
ξεῖνοσ	ksêːnos
τινά	tiná
εὐρυάγυιαν	ewryaɡyan
μεγάλων	meɣalon
συνέλεξα	synéleksa
ἄλλυδισ	állydis
ῥάντισμα	rantizma
ἁρμάμαξα	armamaksa
ἐκινδύνευεν	ecindineven
δικαστήσ	dikastɛ̌ːs
παρέκαμψα	parɛkampsa
εἰλεόσ	eːleós
ἐπαιδεύσω	epai̯děu̯sɔː
πέτροσ	petros
βδελύγμασιν	bdɛlyɡmasin
ἀγερῶ	aʝero
ἐρύομαι	eriome
φήμιοσ	fimios
οἰνιάδησ	yniaðis
τενθρηδών	tenθriðon
πύξινοσ	piksinos
λευκομέλασ	leʍkomɛlas
μύκησ	mýkɛːs
χίμαιρα	kʰímai̯ra
κυήμασι	kyɛ̌ːmasi
τάχη	tákʰɛː
ἀγαπήσαισθον	aɣapisɛsθon
δολιχόσκιον	ðolixoscion
φυλακαῖσ	ɸylakɛs
ἠθολογέω	ɛːtʰoloɡéɔː
μηδικόν	miðikon
κρατέομαι	krateome
περιποιέω	pɛripyɛo
δημοσθένησ	ðimosθenis
μεγαλήτορεσ	meɣalitores
ἱκάνεισ	hikanis
σχῆμα	sçima
ἐγκλείομαι	ɛŋkliomɛ
ἀντίλοχ'	andilox
σταγειρίτησ	staɡirites
ἔλυτρον	élytron
ἀσεβειῶν	aseβion
ἐσόμενοσ	esomenos
σέντιοσ	sɛntios
ἐπισυνάπτομεν	episinaptomen
κέλεαι	kéleai̯
ἔμμεναι	emmene
ἑλένησ	elenis
ηὑρίσκετο	ivrisceto
μενεκράτησ	menekratis
ὄχημα	okʰema
ἁγιάζητον	aʝiaziton
εἰδότε	idotɛ
φίλαμα	ɸilama
παρασκευῆσ	paraskeβis
ἐργῖνοσ	erɣinos
ἀγεροῖτο	aʝerito
γαλλία	ɣallia
φύγεν	pʰýɡen
παρελθόντεσ	pareltʰóntes
διαλογή	dialoɡɛ̌ː
υἱόσ	hyːós
δημοβόροσ	ðimovoros
γέγωνα	ɡɛɡona
ὕμνοσ	hýmnos
παιδευσαίσθην	pai̯deu̯sǎi̯stʰɛːn
λίχασ	lixas
βοηθείαι	voiθia
ἀσίασ	asíaːs
παράδειγμα	paraðiɣma
ἐλιέζερ	eliːézder
κτιμένη	ktimeni
κῦμα	cyma
βῶλοσ	volos
ἠξιώθησαν	iksioθisan
ἀγαπάσθων	aɡapástʰɔːn
ὀστοκατεάκτησ	ostokatɛaktes
βοή	boe
ἠγγέλλου	iŋɡellu
ὀξύγονον	oksyɣonon
ὑψίστων	hypsístɔːn
πλείσταισ	plistes
ἐρχόμενα	ɛrkʰomɛna
σπυρίσ	spyris
πολίων	políɔːn
ἤγειρα	ɛ̌ːɡeːra
γοργόνιον	ɡorɡonion
ἡμένοισ	hemɛnys
φώτιοσ	pʰɔ̌ːtios
ῥάχισ	raxis
ἀχαιμενίδησ	akʰɛmɛnides
ὀχύρωσισ	okʰýrɔːsis
χεῖρον	xiron
ἀγγαρεύσουσα	aŋɡareʍsusa
ὠρείτησ	oritis
ἅλυσ	alis
βλωμόσ	vlomos
παντικάπαιον	pantikapɛon
ἀγεροῖμεν	aʝerymen
τετληότι	tetlɛːóti
δάκτυλοσ	daktylos
ἀβέρβηλον	abɛrbelon
ἀγαπήθητον	aɣapiθiton
ξενοδοχεῖον	ksenoðoxion
σφε	spʰe
κεκλεισμένοι	ceklizmeni
πεζομαχίασ	pɛzomakʰias
ἀγγελθησόμεθα	aɲɟelθisomeθa
ἀμία	amia
αἰθαλόσ	eθalos
κεκλεισμένηι	ceklizmeni
δοκῶ	dokɔ̂ː
πόδεσ	poðes
ἄγχ'	áŋkʰ
ἀγγελθησοίμεθα	aŋɡɛltʰesymɛtʰa
σφιγκτῶσ	sɸiŋktos
πυρῆσ	pyres
ἐνετόσ	ɛnɛtos
τρίγλυφοσ	triɡlypʰos
τριφυλία	trifylia
ἀγαπάοι	aɡapay
ψευδογράφοσ	pseu̯doɡrápʰos
ὑστέρησα	ysterisa
βουτόσ	butos
ἀγαλλιασθήσοισθον	aɣaliasθisisθon
γνώσεισ	ɣnosis
ἀθανάτοισι	aθanatysi
ἀγγέλληται	aŋɡellitɛ
τυράννουσ	tyrannus
γενόμενον	ʝenomenon
κεράννυμι	keránnyːmi
φορῶν	pʰoron
λάμαχοσ	lǎːmakʰos
δεξιόσ	ðeksios
κοινῶι	koi̯nɔ̂ːi̯
ἴσην	isin
διπλοῦσ	diplus
ἐπιπλέοντεσ	epipléontes
ἀγαπήσηι	aɡapɛ̌ːsɛːi̯
ἀγαθοποιεῖσθον	aɡatʰopyistʰon
φοίνισσα	fynissa
ἐμύδασ	emyðas
μῆνισ	mɛ̂ːnis
τυνδάρεοσ	tyndarɛos
ἔρυσοσ	erisos
βεβλημένον	vevlimenon
φάσ	pʰǎːs
θρασύμαχοσ	θrasymaxos
κατάλογοι	kataloʝi
πεζομαχία	pɛzomakʰia
χήλευμα	xileβma
ῥόπτρον	roptron
κυρτόσ	cirtos
ποππύζων	poppyzon
φαληρεύσ	pʰalereʍs
προσένταξισ	prosendaksis
δικαστῆι	dikastɛ̂ːi̯
ἰάκωβοσ	iakobos
βιθυνόσ	biːtʰyːnós
ἀγαλλιάωμαι	aɡalliaomɛ
διέπνευσα	ðiepneɸsa
διοίκησισ	ðiicisis
πίτα	pita
ἁγιάζεσθον	haɡiázdestʰon
μᾶρον	mâːron
ἐπίθυμον	epiθimon
πελιδνόσ	peliðnos
ἁγιάζωμεν	aɣiazomen
ἀνασκευαστικόσ	anaskeβastikos
παρατυχών	paratixon
ἠξιοῦμεν	iksiumen
ἀρτεμβάρησ	artembárɛːs
αὑτούσ	aftus
προσκαθεζόμενοσ	proskatʰezdómenos
ἠναγκάσθην	inaŋɡasθin
θανόντων	tʰanonton
ἀγαθοποιήσαιντο	aɣaθopyisento
μακεδόνα	makɛdona
φακιάλιον	ɸakialion
πολιῆσ	poliɛ̂ːs
ποιούμενοσ	piumenos
ὑπένερθε	ipenerθe
βιβλιοφύλαξ	vivliofilaks
πρόπαν	própan
ἀαόμεθα	aaómetʰa
δηλοῦσι	dɛːlôːsi
πέλται	pelte
σεμπρώνιοσ	semprɔ̌ːnios
γνοίησ	ɡnǒi̯ɛːs
ξενοκλῆσ	ksenoklɛ̂ːs
ἑκτεύσ	hɛkteʍs
συνορῶ	synoro
ψαμάθοισι	psamaθysi
ἄσκησισ	askesis
ἐπέθηκε	epeθice
ἱεροβοτάνη	ierovotani
μαντεία	mantia
πολύφημοσ	polyfimos
αὐτερέτησ	aʍtɛrɛtes
πρώτιστοσ	prɔ̌ːtistos
καταβαίνω	katabǎi̯nɔː
εἰλεοί	eːleǒi̯
μᾶρον	maron
κοίλησ	cylis
ἐχενηΐσ	ekʰenɛːís
γεννήτοροσ	ɡɛnnetoros
πάχυνοσ	paçynos
ἀθήρ	atʰɛ̌ːr
παρένθεσισ	paréntʰesis
ἀφορίζω	apʰorízdɔː
ἀμνίον	amnion
χρυσωματοθήκη	xrysomatoθiki
ἠγγέλμεθα	iŋɡelmeθa
ἀασάμην	aasamin
ἐπαίδευσασ	epeðefsas
ἐκδόσεισ	eɡðosis
γανυμήδησ	ɣanimiðis
ἄναλκισ	analcis
δάκτυλοσ	ðaktilos
ἀπορρίπτομεν	apor̥r̥iptomɛn
αὐλῆσ	aβlis
σχεδόθεν	skʰedótʰen
δημοκρατία	dɛːmokratíaː
ὑπερήφανοσ	yperiɸanos
σιγύνησ	siɡynes
παρασκευήν	paraskeβin
παῦσισ	paʍsis
βαίεσσα	bǎi̯essa
σκιόεισ	skióeːs
ἐρείδω	eriðo
ὄφελοσ	ofelos
ἄρβηλα	arvila
ἀσπίδασ	aspídas
ἕστο	hésto
γοργόσ	ɣorɣos
ἔειπεσ	eipes
θλῖψισ	θlipsis
σόλοι	sóloi̯
βρύω	bryo
καθιδρύω	katʰidry̌ːɔː
ἐχθροῦ	exθru
καθέλκομαι	katʰélkomai̯
κίννασ	cinnas
ἔχων	ɛkʰon
ἄξονα	áksona
ἔκγονοσ	eɡɣonos
οὖσον	ôːson
ἐφορᾶν	eɸoran
οἰκισθείσ	ykistʰis
πλείστη	plěːstɛː
ἑλεδώνη	hɛlɛdone
ἀποβασιλεύσ	apovasilefs
ἔρυμα	erima
κρούομαι	kruome
σικελαί	sikɛlɛ
οἴτυλοσ	ǒi̯tylos
ἠλακάτη	ɛːlakátɛː
παιδεύσουσι	pɛðeɸsusi
ἰχθυόεντα	ixθyoenta
ἠγαπήκεισ	ɛːɡapɛ̌ːkeːs
σκάλμη	skálmɛː
λάλημα	lálɛːma
σοφῶι	sopʰo
μᾶζα	mâːzda
ἀββᾶσ	avas
ἀρισταίνετοσ	aristɛnetos
ἀμορβεύω	amorβeβo
αὐτόθι	aʍtotʰi
νίννη	nínnɛː
παροῦσα	parôːsa
νεκρόμαντισ	nekromandis
πτόρθοσ	ptorθos
ἀγορεύσων	aɡoreʍson
ἰόππη	ioppi
κραῦροσ	kravros
σβέννυμι	zvenimi
ἄβληροσ	ableros
ἀντιτείχισμα	antitixizma
πήδασον	piðason
φρονέων	pʰronéɔːn
ὑποδείκνυμι	hypoděːknyːmi
παιδεύετε	pɛdewɛtɛ
τένεδοσ	ténedos
ζέλκια	zɛlkia
γάλλοσ	ɣallos
λύηι	lyi
ἕλικασ	hɛlikas
κόσμε	kozme
γεωργίαν	ʝeorʝian
ἀνάγκην	anaŋkin
κίτρινοσ	citrinos
στοιχείου	styxiu
φέρτεροι	fertery
φαιήκων	feikon
ἄλλοθι	alloθi
ἀγγαρευσάτων	aŋɡareɸsaton
ἡπατίζον	ipatizon
ἀφισταμένοισ	apʰistamɛnys
ἀρτάβη	artavi
οἰχομένοιο	yxomenyo
μετόπισθε	metopisθe
ἀγέρθητι	aʝeriti
φέρεσθαι	pʰérestʰai̯
ἐνθετικόσ	ɛntʰɛtikos
ἀγγαρεύσασθαι	aŋɡarefsasθe
ἀφίκετο	aɸiketo
ἰλλύριοσ	ilirios
ἀγγελησοίσθην	aɲɟelisisθin
ἐφάνησαν	epʰánɛːsan
ἀσφαλείασ	aspʰalias
οἰνοχόη	oi̯nokʰóɛː
μεγάλω	mɛɡalo
παρέχω	parékʰɔː
γόριλλαι	ɣorillɛ
μεταμορφώσεισ	metamorɸosis
ἀσπίδ'	aspid
μόψοσ	mópsos
σαμβύκη	sambyke
ἀγγαρευσώμεθα	aŋɡareʍsomɛtʰa
ὑψικλῆσ	hypsiklɛ̂ːs
μεγέθουσ	meɡétʰoːs
ζυγουλκόσ	zdyɡoːlkós
λαῖφοσ	lâi̯pʰos
ἀντιδιάταξισ	andiðiataksis
ἀργυρέοιο	arʝireio
σεαυτόν	seaɸton
ποτιδέγμενοι	potidéŋmenoi̯
δίκαισ	ðices
καθαπτόμενοσ	katʰaptomɛnos
πεντάστομοσ	pentastomos
φήμη	fimi
χυλόσ	xylos
βαλανάγρα	valanaɣra
εὐρεῖαν	ewrian
βραχύ	vraçi
ἰεριχώ	ierixo
ῥοία	rya
λάβε	laβe
διασκευαστήσ	diaskeu̯astɛ̌ːs
ὔμμε	ymmɛ
ἀγοραῖοσ	aɡorɛos
σαβαώθ	saβaoθ
οἰνάσ	ynas
ἐποίησεν	epiisen
ἠγαλλιάεσθε	eɡalliaɛstʰɛ
ἀγανακτεέσθων	aɡanaktɛɛstʰon
αὐτονόμωι	aɸtonomo
συνετρίβησαν	synetriβisan
ἐκλείψεισ	eklipsis
μείζονι	mizoni
γοργυθίων	ɡorɡytʰion
ὑριχόσ	hyrikʰos
παιδεύοιτε	peðevite
εὐχόμεθα	eɸxomeθa
περιοδικήν	pɛriodiken
πυρά	pyrá
ἀναστάσ	anastas
ἀάσθην	aasθin
οἷστισιν	hystisin
ζύγαινα	zdýɡai̯na
πέμπελοσ	pempelos
ἠγαπῶμεν	eɡapomɛn
πέρκη	perci
ἐπιστέλλω	epistelo
λίπα	lípa
ἀκατασκεύαστοσ	akataskewastos
χρόνοισ	xronys
ἔτυχε	ɛtykʰɛ
τερψιχόρα	tɛrpsikʰora
ἀλφάβητοι	alpʰabety
κάλεσσον	kalɛsson
ἐκάλυψεν	ekálypsen
ὑπόγλωσσον	hypóɡlɔːsson
ὕπιοσ	ypios
μυρηρόσ	myreros
ἐπαιδευσάμην	epeðefsamin
κατοικικόσ	katicikos
πολλοῖσιν	pollysin
κόλλα	kólla
ἀχιλλεῦ	açilev
ἀγανακτοῖτε	aɡanaktytɛ
παιδεύσοιτον	pɛðeɸsyton
ἁγίζουσι	aɣizusi
μέλασμα	melazma
κυρίτησ	kyrǐːtɛːs
ἐπαιδεύσατε	ɛpɛdeʍsatɛ
οἰκιστήσ	ykistis
εἰδείην	iðiin
πλαίσιον	plɛsion
προηγούμενοι	proeɡumɛny
μῖσοσ	mîːsos
γυῖον	ɡyon
νέκυν	nékyːn
ἄνδρον	ándron
ἠγγέλκωμεν	ɛːŋɡélkɔːmen
ἀγαλλιάσασθαι	aɣaliasasθe
χοράσμιοι	xorazmii
μενέλαοσ	menélaːos
εὐκτικόσ	eʍktikos
ἀγάμεμνον	aɣamemnon
ἀγανακτήσοισθον	aɣanaktisysθon
φέρομαι	ɸeromɛ
πολεμικέ	polɛmikɛ
φύω	fio
ἵππουρισ	ipuris
ἀγαλλιώμεθα	aɣaliomeθa
κελαρύζω	celaryzo
σικελοί	sikelǒi̯
ἀγήγερθον	aɣiɣerθon
ἠγγειλάμεσθα	iɲɟilamesθa
γέλασ	ɡélaːs
ἀγειροίμεθα	aɡeːrǒi̯metʰa
ὑδατίσ	hydatis
λιβύη	liβyi
βεβαιότερε	veveotere
ἀκή	aci
καταπελτικόσ	katapɛltikos
σιπταχόρασ	siptakʰoras
ἀθηναῖοσ	atʰenɛos
καλίγγαι	kalíŋɡai̯
φλέωσ	pʰlɛos
στοιχεῖον	stoi̯kʰêːon
πηδάλιον	pedalion
ἀγαπάεσθαι	aɣapaesθe
ἰχθυοειδήσ	ikʰtʰyoeːdɛ̌ːs
χρόνουσ	kʰronus
ἠμί	imi
ὑσσόσ	hyssós
τέμπη	témpɛː
ἀγανακτοῖσ	aɡanaktys
πατρόκλοιο	patroklyo
δωριῆσ	dɔːriɛ̂ːs
δνόφοσ	ðnoɸos
ἱέραξ	hiɛraks
ἐρυξίμαχοσ	eryksimaxos
λελυμένου	lelymenu
κάρυον	karyon
μύνδοσ	myndos
δηλοῦται	dɛːlôːtai̯
ὀξύγαλα	oksiɣala
ἁπάσησ	hapǎːsɛːs
ῥισκοφύλαξ	riskofilaks
ὀδυνάων	oðinaon
δημοβόροσ	dɛːmobóros
ἀπόφθεγμα	apoɸθeɣma
πάρνοψ	párnops
παιδεύεσθον	peðevesθon
σοφοί	sofy
κέρθιοσ	cerθios
κρονίδησ	kroniðis
παλαιτάτη	palai̯tátɛː
εἰλήλουθασ	ililuθas
ἀμαζονομαχία	amazonomakʰia
τευθίσ	teu̯tʰís
παραγγέλλω	paraɲɟello
ὅπλων	hoplon
πλωϊμωτέρων	ploimoteron
προηγουμένη	proiɣumeni
λυκίδασ	lykidas
πωσ	pɔːs
ἐνέπω	ɛnɛpo
κολόβωμα	koloboma
τῶιδε	todɛ
ἀγαπάοιμι	aɡapaymi
πρόβατα	provata
τρίβω	tribo
ἐμύδοσ	ɛmydos
κατέθηκε	katɛtʰekɛ
βρῦτοσ	βrytos
βλαστόσ	blastos
σπάνιοσ	spánios
χρῆσθαι	xrisθɛ
ἐμῆι	ɛme
ἔσαν	esan
κήδω	ciðo
τρῖμμα	trimma
ἔρβουλοσ	érboːlos
ὀρόντησ	orontes
πομπώνιοσ	pombonios
παλαιῶι	palɛo
ναζαρέθ	nazareθ
ὑπέκ	ipek
εὐλογέω	eu̯loɡéɔː
πουλυδάμασ	pulyðamas
λαμπρόν	lamprón
ἄρβα	arva
ἀαώμεθα	aaːɔ̌ːmetʰa
βοήν	βoin
οἶστροσ	ystros
χάλκων	kʰalkon
διαλελυμένωι	ðialelymeno
ὄϊσ	óis
εὐαγγέλιον	eβaŋɡelion
πέραν	pɛran
ἡγέομαι	iʝeome
ὑπερήφανον	hypɛrepʰanon
γάγγαμον	ɣaŋɡamon
πλατείασ	platias
σουλπίκιοσ	soːlpíkios
ἄκοντα	akonta
μύκλοσ	miklos
πομπωνία	pomponia
ζῆθοσ	ziθos
ἐφελκυστικόσ	ɛpʰɛlkystikos
δαιμονιακόσ	dai̯moniakós
φαυλία	ɸaβlia
συνοικία	synoi̯kíaː
ἀγανακτήσηι	aɡanaktese
πλουτοκρατέομαι	plutokrateomɛ
ἀγανακτέηται	aɣanakteite
δόμε	ðome
ἄνακτεσ	ánaktes
μύκοι	mýkoi̯
σιμωνίδησ	simɔːnídɛːs
ἰδίασ	idias
τιτρώσκω	titrosko
λίβελλοσ	libɛllos
θέτισ	θetis
λύδδα	lyðða
δύμη	ðimi
ὄργυια	orʝia
λόχον	loxon
ἀάονται	aaonte
μεγαρίσ	mɛɡaris
σκᾶποσ	skâːpos
ἴσασ	isas
λύκιον	lycion
πομπή	pompi
μογέω	moɡɛo
φρύξ	pʰrýks
ἀπορίαι	aporie
παρελθοῦσιν	parɛltʰusin
προσβαλών	prozvalon
ἀμφοτέραιν	ampʰotɛrɛn
δορκάσ	ðorkas
κατέπεφνεν	katepeɸnen
κίσθοσ	kisθos
τέλμα	tɛlma
σωληνάριον	solenarion
χρυσελεφαντίνων	kʰrysɛlɛpʰantinon
ποικίλωσ	pykilos
δρόπισ	drópis
συμεών	symeon
πόνοιο	ponyo
αἴθε	ɛtʰɛ
ὀτρύνει	otryni
φαντάζω	pʰantázdɔː
ὀργάω	orɣao
ἀγγελέτων	aɲɟeleton
ἀγγελθείησ	aɲɟelθiis
ἰουδαία	iuðɛa
προσβαλόντεσ	prozvalondes
ἀντίφωνοσ	andifonos
ἐκκλησίαισ	ekklisiɛs
ταλάντου	talántoː
ἀγαθοποιοῖσθον	aɣaθopiisθon
δρυοπτερίσ	dryopterís
ὑφή	ifi
σφαγή	spʰaɡɛ̌ː
παρεόντων	pareonton
σεμνολογία	semnoloɡíaː
ἡδύσαρον	iðysaron
ἠγαθοποιέομεν	ɛːɡatʰopoi̯éomen
βάλεν	bálen
ἴναχοσ	inaxos
κηφισόσ	cifisos
συμμετρία	symmetríaː
βαστάζω	bastázdɔː
παλαίτερα	palǎi̯tera
κάλχη	kalkʰe
ἁθύρ	aθyr
παιδευθέν	pai̯deu̯tʰén
ἑστία	hɛstia
σποδιάσ	spodiás
ἠγγελκοίη	eŋɡɛlkye
σοφά	sopʰá
ἀξιῶν	aksiɔ̂ːn
δηγῆ	ðiʝi
σπεύδω	spewdo
παιδεύσαιμι	pɛðeɸsɛmi
πλαγίασα	plaɣiasa
ἀγερέοισθε	aɣereysθe
ἰησοῦσ	iesus
γνύξ	ɣniks
ἐσσήν	essɛ̌ːn
μεγαθύμων	meɡatʰy̌ːmɔːn
γαῖαν	ɣɛan
κρείων	krion
ἀκανθίσ	akanθis
περιοδικοῖν	perioðicyn
ἀγείραιτο	aɣirɛto
ὅσον	hoson
προχωρήσασ	prokʰɔːrɛ̌ːsaːs
αὐτοεπιθυμία	aɸtoepiθymia
κινυρόσ	kinyrós
ὦτα	ota
πολεμίοισ	polemiys
ξύμπασ	ksimbas
θήρ	θir
σφύξισ	sfiksis
ἀάσωμεν	aǎːsɔːmen
ἑρμηνεύω	erminevo
ἔστιν	ɛstin
ἀνθολογία	anθoloɣia
διακονέω	diakonɛo
κέλλω	kéllɔː
ἰοφῶν	iopʰon
ἀγανακτούντων	aɡanaktǒːntɔːn
ἐπαγωγή	epaɣoʝi
βούνιον	βunion
διέκοψα	diékopsa
ἕλικασ	hélikas
ἄσιβα	asiβa
ἀγαπηθεῖτον	aɡapɛːtʰêːton
εὔδημοσ	ěu̯dɛːmos
ἐπικαλέω	epikaleo
ἐξελέγην	ekseleʝin
ἀγείρωμαι	aʝirome
ἀγκών	aŋkon
ψύγμα	psýŋma
ἀαρών	aarɔ̌ːn
τάφρουσ	tapʰrus
βορβορυγμόσ	vorvoriɣmos
θαλλόσ	tʰallós
ἠγγειλάμεθα	iɲɟilameθa
προσγράφομαι	prozɣraɸomɛ
παιδεύουσα	pɛdewusa
παρέγραψα	pareɣrapsa
ὑσμίνασ	yzminas
ἅψοσ	apsos
κοινοῦ	koi̯nôː
βουμελία	vumelia
κρῶμνοσ	kromnos
ἀνώνυμοσ	anɔ̌ːnymos
λῦε	lie
καρύκη	karyci
κάλινοσ	kǎːlinos
νόον	noon
πομφολυγοπαφλασμάτοιν	pomɸolyɣopaɸlazmatyn
λαβεάται	laβeatɛ
κῆρυξ	ciryks
εὐθυντηρία	efθindiria
τέκον	tɛkon
χαμαιλίβανοσ	xamɛliβanos
ἄργμα	árŋma
μέθυ	meθi
φάρσοσ	pʰársos
βομβυλιόσ	bombyliós
καλύπτω	kalypto
ἥλιοσ	ilios
σπάδιξ	spaðiks
διεσπαρμένων	ðiesparmenon
πήδινοσ	pedinos
τόχαροσ	tókʰaros
ἑκάστησ	hɛkastes
ἀγέρθητε	aʝerθite
πετεινοί	peteːnǒi̯
ἀμβροσία	ambrosíaː
κακοζηλία	kakozelia
ἕλκηθρον	hélkɛːtʰron
κλαστόσ	klastos
εἴητε	iite
ἀσχίον	asxion
ἠγγερευέτην	iŋɡereβetin
δύσισ	dýsis
ἕρπω	hɛrpo
μακροθυμίασ	makrotʰymias
βοῦρα	vura
ἀδιαβηνή	adiabene
ἐναυμάχουν	enau̯mákʰoːn
εἴσεσθαι	isesθe
παροικόπολισ	parikopolis
λαμπήνη	lambini
τριόπιον	triopion
σταφυλόδενδρον	stafiloðendron
παράβυστα	paravysta
φορέεσκε	ɸoreeske
ἀγγείλαιτον	aŋɡěːlai̯ton
ἐσθλούσ	ɛstʰlus
λοβόσ	lobós
δίφρου	dípʰroː
πολυμήχαν'	polymekʰan
ἦνοψ	inops
δραχμαῖσ	drakʰmâi̯s
παρωιδία	parodia
πεσόντα	pesonda
ἐκφεύγω	ekfevɣo
γέρων	ʝeron
διφρίσκοσ	ðifriskos
κυντίλιοσ	kyntilios
ἁλουργίδα	halurɡida
φολόη	pʰolóɛː
νέμοσ	nɛmos
ἱεραρχία	ierarxia
ἀρήνη	arɛ̌ːnɛː
ὑπερθύριον	hypɛrtʰyrion
φρουρίοισ	fruriys
ἰάομαι	iaomɛ
νέβρινοσ	nɛbrinos
ἀγρεύω	aɣrevo
ἕταροσ	etaros
ἐγρήγοροι	eɣriɣory
βαλάντιον	valantion
ὑδρία	yðria
ὑπηρεσία	ypiresia
γάζα	ɣaza
θράικη	tʰrake
ἀμύσσω	amysso
φυτεύω	pʰytewo
ταῦροσ	taβros
