турбуленција	turbulɛnt͡sija
преплови	prɛpɫɔvi
оро	ɔɾɔ
шлака	ʃɫaka
безбожнички	bɛzbɔʒnit͡ʃki
изрод	izrɔt
недоразбран	nɛdɔɾazbran
овчи	ɔft͡ʃi
превозник	prɛvɔznik
љубов	ʎubɔf
манипулативен	manipuɫativɛn
добиточен	dɔbitɔt͡ʃɛn
животно	ʒivɔtnɔ
уплашеност	upɫaʃɛnɔst
седларство	sɛdɫarstvɔ
рокер	rɔkɛr
заплакнува	zapɫaknuva
столови	stɔɫɔvi
ѓонови	ɟɔnɔvi
торба	tɔrba
прозодија	prɔzɔdija
века	vɛka
делотворност	dɛɫɔtvɔrnɔst
ненајавен	nɛnajavɛn
мечеви	mɛt͡ʃɛvi
поканува	pɔkanuva
омеѓува	ɔmɛɟuva
помпезност	pɔmpɛznɔst
доправа	dɔprava
раскрсти	raskr̩sti
соблазнивост	sɔbɫaznivɔst
читанка	t͡ʃitaŋka
лактациски	ɫaktat͡siski
самоодржлив	samɔɔdr̩ʒlif
полифонија	pɔlifɔnija
духовитост	duxɔvitɔst
недочистен	nɛdɔt͡ʃistɛn
исцрпност	ist͡sr̩pnɔst
пасинок	pasinɔk
тулиум	tulijum
крдо	kr̩dɔ
детство	dɛtstvɔ
арнотија	arnɔtija
зрнце	zr̩n̩t͡sɛ
опијанува	ɔpijanuva
неисправен	nɛispravɛn
врне	vr̩nɛ
кучиште	kut͡ʃiʃtɛ
мисиркин	misirkin
шамивче	ʃamift͡ʃɛ
орлов	ɔrɫɔf
бишкек	biʃkɛk
чичков	t͡ʃit͡ʃkɔf
бунарски	bunarski
еднозначност	ɛdnɔznat͡ʃnɔst
палавост	paɫavɔst
неизречен	nɛizrɛt͡ʃɛn
дотрошува	dɔtrɔʃuva
зијан	zijan
козметичарка	kɔzmɛtit͡ʃarka
уредност	uɾɛdnɔst
сантиметри	santimɛtri
ѕвечалка	d͡zvɛt͡ʃaɫka
испоначичка	ispɔnat͡ʃit͡ʃka
разнишаност	razniʃanɔst
неполнолетност	nɛpɔɫnɔlɛtnɔst
антонимија	antɔnimija
кварт	kvart
шпоретче	ʃpɔɾɛtt͡ʃɛ
апсеник	apsɛnik
ролерка	rɔlɛrka
ѓаволски	ɟavɔɫski
доскока	dɔskɔka
крикнува	kriknuva
ненаспан	nɛnaspan
математика	matɛmatika
стомна	stɔmna
поплете	pɔplɛtɛ
скитништво	skitniʃtvɔ
едностраност	ɛdnɔstranɔst
бакрдан	bakr̩dan
август	avɡust
кивнува	kivnuva
овца	ɔft͡sa
пајче	pajt͡ʃɛ
седумстотини	sɛdumstɔtini
едноударен	ɛdnɔudaɾɛn
пешкир	pɛʃkir
итербиум	itɛrbijum
неотуѓивост	nɛɔtuɟivɔst
ждригнува	ʒdriɡnuva
невистинитост	nɛvistinitɔst
згмечува	zɡmɛt͡ʃuva
љубителски	lubitɛɫski
џепче	d͡ʒɛpt͡ʃɛ
споредност	spɔɾɛdnɔst
недојаден	nɛdɔjadɛn
давеник	davɛnik
предупредува	prɛduprɛduva
неутрализација	nɛutralizat͡sija
испоснички	ispɔsnit͡ʃki
еже	ɛʒɛ
бездејност	bɛzdɛjnɔst
мапа	mapa
карти	karti
пренамени	prɛnamɛni
ревија	rɛvija
обезмастува	ɔbɛzmastuva
дни	dni
изгнаси	izɡnasi
хранливост	xranlivɔst
навредливост	navrɛdlivɔst
преслече	prɛslɛt͡ʃɛ
масленост	maslɛnɔst
владетелка	vɫadɛtɛɫka
лани	ɫani
железарски	ʒɛlɛzarski
багдадски	baɡdatski
ишне	iʃnɛ
презема	prɛzɛma
шерифов	ʃɛɾifɔf
недоверба	nɛdɔvɛrba
брзоплет	br̩zɔplɛt
подрумски	pɔdrumski
гласничка	ɡɫasnit͡ʃka
јазичар	jazit͡ʃar
актерски	aktɛrski
белучка	bɛɫut͡ʃka
ѕвоно	d͡zvɔnɔ
брадичка	bradit͡ʃka
бргу	br̩ɡu
безличност	bɛzlit͡ʃnɔst
љубовник	lubɔvnik
изостреност	izɔstrɛnɔst
мишка	miʃka
’рдоква	r̩dɔkva
многубројност	mnɔɡubrɔjnɔst
развратница	razvratnit͡sa
кљанка	klaŋka
ровчица	rɔft͡ʃit͡sa
твој	tvɔj
недвижност	nɛdviʒnɔst
доктрина	dɔktrina
одвртува	ɔdvr̩tuva
лондончанка	ɫɔndɔnt͡ʃaŋka
кајсија	kajsija
ѕирне	d͡zirnɛ
готован	ɡɔtɔvan
надвишува	nadviʃuva
создание	sɔzdanijɛ
плебеец	plɛbɛɛt͡s
измазнува	izmaznuva
претресува	prɛtrɛsuva
наденува	nadɛnuva
астронаутски	astrɔnautski
ѕвонлив	d͡zvɔnlif
црквичка	t͡sr̩kvit͡ʃka
сопотписник	sɔpɔtpisnik
певливост	pɛvlivɔst
пунктуација	puŋktuat͡sija
ќелави	cɛɫavi
охриѓанец	ɔxriɟanɛt͡s
заема	zaɛma
недозволивост	nɛdɔzvɔlivɔst
вест	vɛst
триесет	trijɛsɛt
годишник	ɡɔdiʃnik
каиш	kaiʃ
спечалува	spɛt͡ʃaɫuva
чивија	t͡ʃivija
прозор	prɔzɔr
селце	sɛɫt͡sɛ
затвор	zatvɔr
простор	prɔstɔr
ѕвечарка	d͡zvɛt͡ʃarka
потекло	pɔtɛkɫɔ
нетактичност	nɛtaktit͡ʃnɔst
лактација	ɫaktat͡sija
доигрува	dɔiɡruva
висост	visɔst
сувански	suvanski
уметнички	umɛtnit͡ʃki
легендарност	lɛɡɛndarnɔst
висне	visnɛ
шпионски	ʃpijɔnski
палестина	palɛstina
дедомразовци	dɛdɔmrazɔft͡si
фалсификација	faɫsifikat͡sija
учебник	ut͡ʃɛbnik
крајче	krajt͡ʃɛ
центрира	t͡sɛntriɾa
двоженство	dvɔʒɛnstvɔ
коњче	kɔɲt͡ʃɛ
покркори	pɔkr̩kɔɾi
подигнува	pɔdiɡnuva
анјон	anjɔn
железен	ʒɛlɛzɛn
презими	prɛzimi
криптологија	kriptɔɫɔɡija
неизбричен	nɛizbrit͡ʃɛn
земјичка	zɛmjit͡ʃka
прсторед	pr̩stɔɾɛt
испогради	ispɔɡradi
опсудува	ɔpsuduva
влијателност	vlijatɛɫnɔst
предосети	prɛdɔsɛti
подзаврти	pɔdzavr̩ti
кој	kɔj
антиобиотички	antijɔbijɔtit͡ʃki
сопруг	sɔpruk
венче	vɛnt͡ʃɛ
преброди	prɛbrɔdi
соборува	sɔbɔɾuva
преболи	prɛbɔli
електрика	ɛlɛktrika
затреперува	zatrɛpɛɾuva
рунтавост	runtavɔst
витешки	vitɛʃki
ненадоместливост	nɛnadɔmɛstlivɔst
прекршување	prɛkr̩ʃuvaɲɛ
снешко	snɛʃkɔ
поларизаторски	pɔɫaɾizatɔrski
критичар	kritit͡ʃar
тревичка	trɛvit͡ʃka
дада	dada
портретски	pɔrtrɛtski
шот	ʃɔt
пигментација	piɡmɛntat͡sija
англиски	aŋɡliski
нарација	narat͡sija
граматика	ɡramatika
хибернација	xibɛrnat͡sija
зборување	zbɔruvaɲɛ
континент	kɔntinɛnt
чешмичка	t͡ʃɛʃmit͡ʃka
лепило	lɛpiɫɔ
кајгана	kajɡana
лажичка	ɫaʒit͡ʃka
преименува	prɛimɛnuva
автостоперски	aftɔstɔpɛrski
деформација	dɛfɔrmat͡sija
преврнува	prɛvr̩nuva
преградува	prɛɡraduva
чорап	t͡ʃɔɾap
облачност	ɔbɫat͡ʃnɔst
слаткарство	sɫatkarstvɔ
вретено	vrɛtɛnɔ
термодинамика	tɛrmɔdinamika
педерка	pɛdɛrka
кујни	kujni
кандилце	kandiɫt͡sɛ
достојност	dɔstɔjnɔst
компактност	kɔmpaktnɔst
сонародничка	sɔnarɔdnit͡ʃka
тахикардија	taxikardija
нискост	niskɔst
тапанарка	tapanarka
лапсус	ɫapsus
негодува	nɛɡɔduva
доволно	dɔvɔɫnɔ
апстракција	apstrakt͡sija
глупавост	ɡɫupavɔst
сводник	svɔdnik
неспоредлив	nɛspɔɾɛdlif
набавка	nabafka
анорексија	anɔrɛksija
пронајдок	prɔnajdɔk
непрочистен	nɛprɔt͡ʃistɛn
иновација	inɔvat͡sija
крцкавост	kr̩t͡skavɔst
внедри	vnɛdri
клен	klɛn
јавност	javnɔst
здебелува	zdɛbɛɫuva
експедиција	ɛkspɛdit͡sija
складност	skɫadnɔst
забарство	zabarstvɔ
спасителен	spasitɛlɛn
физиономија	fizijɔnɔmija
курсен	kursɛn
шушкавост	ʃuʃkavɔst
недокршен	nɛdɔkr̩ʃɛn
активација	aktivat͡sija
ќешки	cɛʃki
родилка	rɔdiɫka
круна	kruna
жено	ʒɛnɔ
јајчен	jajt͡ʃɛn
неверничка	nɛvɛrnit͡ʃka
кафез	kafɛs
кокиче	kɔkit͡ʃɛ
автобиографија	aftɔbijɔɡrafija
чешмиче	t͡ʃɛʃmit͡ʃɛ
преглас	prɛɡɫas
најавувач	najavuvat͡ʃ
често	t͡ʃɛstɔ
изнастиска	iznastiska
брашноса	braʃnɔsa
величество	vɛlit͡ʃɛstvɔ
мечувалец	mɛt͡ʃuvalɛt͡s
петстотини	pɛtstɔtini
герунд	ɡɛɾunt
илјада	iljada
тениски	tɛniski
панкер	paŋkɛr
жичен	ʒit͡ʃɛn
зев	zɛf
дојденец	dɔjdɛnɛt͡s
велингтон	vɛliŋktɔn
булка	buɫka
глас	ɡɫas
предназначи	prɛdnaznat͡ʃi
дунав	dunaf
опасност	ɔpasnɔst
јон	jɔn
празноглавост	praznɔɡɫavɔst
московски	mɔskɔfski
награба	naɡraba
испостиска	ispɔstiska
сурат	suɾat
англија	aŋɡlija
мастика	mastika
автоматски	aftɔmatski
чембало	t͡ʃɛmbaɫɔ
голушка	ɡɔɫuʃka
разум	razum
ќупови	cupɔvi
сатана	satana
зборливост	zbɔrlivɔst
потсопне	pɔtsɔpnɛ
благонаклонетост	bɫaɡɔnakɫɔnɛtɔst
отпоздрави	ɔtpɔzdravi
изнудувач	iznuduvat͡ʃ
седуммина	sɛdummina
ветка	vɛtka
подобност	pɔdɔbnɔst
изнавари	iznavaɾi
седнува	sɛdnuva
перјаница	pɛrjanit͡sa
снисходливост	snisxɔdlivɔst
дечиња	dɛt͡ʃiɲa
пребришува	prɛbriʃuva
кревкост	krɛfkɔst
плаши	sɛpɫaʃi
преврие	prɛvrijɛ
соавторство	sɔaftɔrstvɔ
можеби	mɔʒɛbi
бранче	brant͡ʃɛ
јахта	jaxta
прешминка	prɛʃmiŋka
детево	dɛtɛvɔ
потпекува	pɔtpɛkuva
победи	pɔbɛdi
господин	ɡɔspɔdin
штекер	ʃtɛkɛr
кибрит	kibrit
бриселски	brisɛɫski
аба	aba
жонглер	ʒɔŋɡlɛr
патлиџан	patlid͡ʒan
впечатливост	fpɛt͡ʃatlivɔst
блудничи	bɫudnit͡ʃi
испозатвори	ispɔzatvɔɾi
кога	kɔɡa
вампирче	vampirt͡ʃɛ
распетла	raspɛtɫa
пантомимичен	pantɔmimit͡ʃɛn
намокрува	namɔkruva
бејзбол	bɛjzbɔɫ
отстои	ɔtstɔi
гулабов	ɡuɫabɔf
америка	amɛɾika
неопипливост	nɛɔpiplivɔst
пцост	pt͡sɔst
соединет	sɔɛdinɛt
гора	ɡɔɾa
петолиние	pɛtɔlinijɛ
подотпара	pɔdɔtpaɾa
козичка	kɔzit͡ʃka
преосетливост	prɛɔsɛtlivɔst
формулира	fɔrmuliɾa
испозаборави	ispɔzabɔɾavi
мушичка	muʃit͡ʃka
ем	ɛm
тешкотија	tɛʃkɔtija
јавен	javɛn
хомонимија	xɔmɔnimija
словенец	sɫɔvɛnɛt͡s
молчаливост	mɔɫt͡ʃalivɔst
губитнички	ɡubitnit͡ʃki
доплетува	dɔplɛtuva
обилност	ɔbiɫnɔst
битолчанка	bitɔɫt͡ʃaŋka
досега	dɔsɛɡa
заробенички	zaɾɔbɛnit͡ʃki
неподготвен	nɛpɔdɡɔtvɛn
небесен	nɛbɛsɛn
однародува	ɔdnarɔduva
импровизаторка	imprɔvizatɔrka
без	bɛs
појадок	pɔjadɔk
десет	dɛsɛt
магла	maɡɫa
сопственица	sɔpstvɛnit͡sa
бедност	bɛdnɔst
беспримерност	bɛsprimɛrnɔst
цветче	t͡svɛtt͡ʃɛ
недорасонет	nɛdɔrasɔnɛt
генетичарка	ɡɛnɛtit͡ʃarka
билетарници	bilɛtarnit͡si
угостителство	uɡɔstitɛɫstvɔ
џип	d͡ʒip
гајдаџија	ɡajdad͡ʒija
колекција	kɔlɛkt͡sija
натамошен	natamɔʃɛn
шарпланинче	ʃarpɫanint͡ʃɛ
двечки	dvɛt͡ʃki
гукнува	ɡuknuva
кактус	kaktus
координација	kɔɔrdinat͡sija
поддршка	pɔddr̩ʃka
ренде	rɛndɛ
жар	ʒar
гајди	ɡajdi
депонија	dɛpɔnija
глагол	ɡɫaɡɔɫ
изменува	izmɛnuva
пролетоска	prɔlɛtɔska
испокара	ispɔkaɾa
цол	t͡sɔɫ
нерасположеност	nɛɾaspɔɫɔʒɛnɔst
индексен	indɛksɛn
неприфатен	nɛprifatɛn
шапкарка	ʃapkarka
ништо	niʃtɔ
жртва	ʒr̩tva
тие	tijɛ
поднамали	pɔdnamali
магливост	maɡlivɔst
тактичност	taktit͡ʃnɔst
пропие	prɔpijɛ
изолациски	izɔɫat͡siski
беќарство	bɛcarstvɔ
орјатин	ɔrjatin
субвенција	subvɛnt͡sija
црногорец	t͡sr̩nɔɡɔɾɛt͡s
замазнува	zamaznuva
веројатно	vɛrɔjatnɔ
договори	dɔɡɔvɔɾi
кршливост	kr̩ʃlivɔst
јас	jas
чело	t͡ʃɛɫɔ
безбројност	bɛzbrɔjnɔst
вилин	vilin
методологија	mɛtɔdɔɫɔɡija
безглавост	bɛzɡɫavɔst
витез	vitɛs
афазија	afazija
близначе	bliznat͡ʃɛ
прслук	pr̩sɫuk
транзиција	tranzit͡sija
прегладни	prɛɡɫadni
поседник	pɔsɛdnik
и	i
кремен	krɛmɛn
бут	but
рекичка	rɛkit͡ʃka
шиптар	ʃiptar
чедност	t͡ʃɛdnɔst
премачкува	prɛmat͡ʃkuva
заштедува	zaʃtɛduva
’рчи	r̩t͡ʃi
ѕе	d͡zæ
јасминов	jasminɔf
проповедница	prɔpɔvɛdnit͡sa
литература	litɛɾatuɾa
орјатски	ɔrjatski
преодност	prɛɔdnɔst
џигерче	d͡ʒiɡɛrt͡ʃɛ
внатрешен	vnatrɛʃɛn
ослоански	ɔsɫɔanski
противзаконски	prɔtivzakɔnski
пазарче	pazart͡ʃɛ
згаснува	zɡasnuva
избраник	izbranik
пребирливост	prɛbirlivɔst
ластиче	ɫastit͡ʃɛ
преоптовареност	prɛɔptɔvaɾɛnɔst
авторизација	aftɔɾizat͡sija
благотворност	bɫaɡɔtvɔrnɔst
копанче	kɔpant͡ʃɛ
пискавост	piskavɔst
свеќичка	svɛcit͡ʃka
живот	ʒivɔt
образование	ɔbrazɔvanijɛ
пупунец	pupunɛt͡s
авиолинија	avijɔlinija
јаде	jadɛ
даночник	danɔt͡ʃnik
побркува	pɔbr̩kuva
јадничок	jadnit͡ʃɔk
стабилност	stabiɫnɔst
замирисува	zamirisuva
предикација	prɛdikat͡sija
ортопедија	ɔrtɔpɛdija
процветува	prɔt͡svɛtuva
пиштолче	piʃtɔɫt͡ʃɛ
превласт	prɛvɫast
може	mɔʒɛ
шмат	ʃmat
испооговара	ispɔɔɡɔvaɾa
мушмула	muʃmuɫa
телесност	tɛlɛsnɔst
сувост	suvɔst
сопатничка	sɔpatnit͡ʃka
грло	ɡr̩ɫɔ
пишуваме	piʃuvamɛ
тројца	trɔjt͡sa
аукција	aukt͡sija
заспие	zaspijɛ
снесува	snɛsuva
варварин	varvaɾin
учкур	ut͡ʃkur
заржува	zarʒuva
овенува	ɔvɛnuva
деменција	dɛmɛnt͡sija
узурпаторски	uzurpatɔrski
па	pa
ракав	rakaf
зеленчук	zɛlɛnt͡ʃuk
неизлупен	nɛizɫupɛn
дивизма	divizma
просјачки	prɔsjat͡ʃki
неумност	nɛumnɔst
фанатичен	fanatit͡ʃɛn
комика	kɔmika
денеска	dɛnɛska
актерство	aktɛrstvɔ
едренце	ɛdrɛnt͡sɛ
наочарчиња	naɔt͡ʃart͡ʃiɲa
препакува	prɛpakuva
игла	iɡɫa
рекатегоризација	rɛkatɛɡɔɾizat͡sija
вторник	ftɔrnik
непосредност	nɛpɔsrɛdnɔst
археолог	arxɛɔɫɔk
гори	ɡɔɾi
читателка	t͡ʃitatɛɫka
џакарта	d͡ʒakarta
бетер	bɛtɛr
неприкриен	nɛprikrijɛn
информатика	iɱfɔrmatika
совпадливост	sɔfpadlivɔst
брестов	brɛstɔf
биполарност	bipɔɫarnɔst
преврска	prɛvr̩ska
вреќиште	vrɛciʃtɛ
пролазува	prɔɫazuva
ѓубри	ɟubri
сметка	smɛtka
соларен	sɔɫaɾɛn
ја	ja
енклитика	ɛnklitika
вилнуски	viɫnuski
дакански	dakanski
дафинов	dafinɔf
смрчак	smr̩t͡ʃak
дипли	dipli
бескрајност	bɛskrajnɔst
надоградува	nadɔɡraduva
момиче	mɔmit͡ʃɛ
срце	sr̩t͡sɛ
предводник	prɛdvɔdnik
отпакува	ɔtpakuva
супичка	supit͡ʃka
испообеси	ispɔɔbɛsi
симпозиум	simpɔzijum
чума	t͡ʃuma
јазовичар	jazɔvit͡ʃar
благајничка	bɫaɡajnit͡ʃka
колокациски	kɔɫɔkat͡siski
пластичарски	pɫastit͡ʃarski
поцрнетост	pɔt͡sr̩nɛtɔst
спојка	spɔjka
казненик	kaznɛnik
нечесност	nɛt͡ʃɛsnɔst
оптимистичност	ɔptimistit͡ʃnɔst
посвири	pɔsviɾi
грмушест	ɡr̩muʃɛst
забодува	zabɔduva
вилнус	viɫnus
испоуништи	ispɔuniʃti
перо	pɛɾɔ
сечило	sɛt͡ʃiɫɔ
труд	trut
нужност	nuʒnɔst
младоликост	mɫadɔlikɔst
набира	nabiɾa
народен	naɾɔdɛn
поморски	pɔmɔrski
денешен	dɛnɛʃɛn
скулптурен	skuɫptuɾɛn
маков	makɔf
тбилиси	dbilisi
трауматичност	traumatit͡ʃnɔst
беспорочност	bɛspɔɾɔt͡ʃnɔst
учебен	ut͡ʃɛbɛn
превртува	prɛvr̩tuva
веровит	vɛɾɔvit
сочувствителност	sɔt͡ʃufstvitɛɫnɔst
сполај	spɔɫaj
ѕидина	d͡zidina
достудува	dɔstuduva
семестар	sɛmɛstar
исцртува	ist͡sr̩tuva
јагнуле	jaɡnulɛ
портрет	pɔrtrɛt
градина	ɡradina
акустика	akustika
дарителка	daritɛɫka
ѓеврече	ɟɛvrɛt͡ʃɛ
музичарка	muzit͡ʃarka
џиновски	d͡ʒinɔfski
ергенува	ɛrɡɛnuva
забележителност	zabɛlɛʒitɛɫnɔst
купче	kupt͡ʃɛ
изведба	izvɛdba
црешов	t͡srɛʃɔf
подвиткува	pɔdvitkuva
забавност	zabavnɔst
немиен	nɛmijɛn
соединетост	sɔɛdinɛtɔst
израел	izraɛɫ
пекиншки	pɛkinʃki
противвоспалителен	prɔtivvɔspalitɛlɛn
наочари	naɔt͡ʃaɾi
шпорет	ʃpɔɾɛt
шашавост	ʃaʃavɔst
провинциски	prɔvint͡siski
непрочитан	nɛprɔt͡ʃitan
подистури	pɔdistuɾi
напротив	naprɔtif
владар	vɫadar
чајџилница	t͡ʃajd͡ʒiɫnit͡sa
катче	katt͡ʃɛ
килимарство	kilimarstvɔ
бујност	bujnɔst
влакнест	vɫaknɛst
бебуле	bɛbulɛ
слушателка	sɫuʃatɛɫka
медарски	mɛdarski
фитнес	fitnɛs
мечувалство	mɛt͡ʃuvaɫstvɔ
малкуцка	maɫkut͡ska
споредлив	spɔɾɛdlif
депортација	dɛpɔrtat͡sija
допливува	dɔplivuva
подмножество	pɔdmnɔʒɛstvɔ
непријателка	nɛprijatɛɫka
карта	karta
компјутеризација	kɔmpjutɛɾizat͡sija
дендрохронологија	dɛndrɔxrɔnɔɫɔɡija
цикличност	t͡siklit͡ʃnɔst
инвестициски	iɱvɛstit͡siski
стопеност	stɔpɛnɔst
задутре	zadutrɛ
варшава	varʃava
замастува	zamastuva
ццц	ǀǀǀ
токио	tɔkijɔ
ломотење	ɫɔmɔtɛɲɛ
телефон	tɛlɛfɔn
наспроти	nasprɔti
змијуле	zmijulɛ
мечувалки	mɛt͡ʃuvaɫki
конексија	kɔnɛksija
неотстранливост	nɛɔtstranlivɔst
поднови	pɔdnɔvi
глобализација	ɡɫɔbalizat͡sija
вообичајува	vɔɔbit͡ʃajuva
лук	ɫuk
аљкавост	alkavɔst
ветрови	vɛtrɔvi
бунтовништво	buntɔvniʃtvɔ
тупав	tupaf
шегобиство	ʃɛɡɔbistvɔ
процедува	prɔt͡sɛduva
такса	taksa
изврива	izvriva
шеснаесет	ʃɛsnaɛsɛt
изнаготви	iznaɡɔtvi
кале	kalɛ
одважност	ɔdvaʒnɔst
пренапрегнатост	prɛnaprɛɡnatɔst
челенки	t͡ʃɛlɛŋki
чистачки	t͡ʃistat͡ʃki
загризува	zaɡrizuva
ербиум	ɛrbijum
барателка	baratɛɫka
благоглаголивост	bɫaɡɔɡɫaɡɔlivɔst
балон	baɫɔn
уфрлен	ufr̩lɛn
таблица	tablit͡sa
повратност	pɔvratnɔst
дно	dnɔ
жени	ʒɛni
утро	utrɔ
наследност	naslɛdnɔst
бестија	bɛstija
замразува	zamrazuva
недоискажан	nɛdɔiskaʒan
гадливост	ɡadlivɔst
догорува	dɔɡɔɾuva
лажност	ɫaʒnɔst
му	mu
модуларен	mɔduɫaɾɛn
клема	klɛma
еж	ɛʃ
јадец	jadɛt͡s
батак	batak
извидник	izvidnik
бојлер	bɔjlɛr
вазал	vazaɫ
дотолчува	dɔtɔɫt͡ʃuva
јадровит	jadrɔvit
поплука	pɔpɫuka
голтнички	ɡɔɫtnit͡ʃki
благозвучност	bɫaɡɔzvut͡ʃnɔst
прочитува	prɔt͡ʃituva
водете	vɔdɛtɛ
претне	prɛtnɛ
смет	smɛt
презасити	prɛzasiti
поларност	pɔɫarnɔst
претпразничен	prɛtpraznit͡ʃɛn
педерастија	pɛdɛrastija
арамиски	aramiski
душа	duʃa
проникливост	prɔniklivɔst
здодевност	zdɔdɛvnɔst
печурче	pɛt͡ʃurt͡ʃɛ
газенце	ɡazɛnt͡sɛ
преброи	prɛbrɔi
плиткост	plitkɔst
дооблекува	dɔɔblɛkuva
наклонетост	nakɫɔnɛtɔst
храбар	xrabar
циметов	t͡simɛtɔf
влакно	vɫaknɔ
смрдливост	smr̩dlivɔst
осамне	ɔsamnɛ
колкав	kɔɫkaf
огноотпорност	ɔɡnɔɔtpɔrnɔst
потточка	pɔttɔt͡ʃka
белград	bɛɫɡrat
снеже	snɛʒɛ
непровидност	nɛprɔvidnɔst
шумичка	ʃumit͡ʃka
лиценце	lit͡sɛnt͡sɛ
ненасаден	nɛnasadɛn
алегорија	alɛɡɔɾija
оцет	ɔt͡sɛt
златарство	zɫatarstvɔ
платненце	pɫatnɛnt͡sɛ
шилест	ʃilɛst
лихварство	lixvarstvɔ
иницијаторка	init͡sijatɔrka
насилничка	nasiɫnit͡ʃka
епилепсија	ɛpilɛpsija
испоколе	ispɔkɔlɛ
костимче	kɔstimt͡ʃɛ
навреденост	navrɛdɛnɔst
промрморува	prɔmr̩mɔɾuva
кнежевства	knɛʒɛfstva
ѓум	ɟum
подои	pɔdɔi
маскенбал	maskɛmbaɫ
врева	vrɛva
ѕвонче	d͡zvɔnt͡ʃɛ
дену	dɛnu
трици	trit͡si
немечко	nɛmɛt͡ʃkɔ
ѕвездалија	d͡zvɛzdalija
текстил	tɛkstiɫ
крилце	kriɫt͡sɛ
запржува	zapr̩ʒuva
државичка	dr̩ʒavit͡ʃka
марка	marka
бранов	branɔf
закаже	zakaʒɛ
уво	uvɔ
ветерче	vɛtɛrt͡ʃɛ
добие	dɔbijɛ
братче	bratt͡ʃɛ
онде	ɔndɛ
единство	ɛdinstvɔ
неоздравен	nɛɔzdravɛn
стакленички	staklɛnit͡ʃki
ледник	lɛdnik
плик	plik
потркала	pɔtr̩kaɫa
степенува	stɛpɛnuva
деверов	dɛvɛɾɔf
одработува	ɔdrabɔtuva
маска	maska
божественост	bɔʒɛstvɛnɔst
приватизација	privatizat͡sija
одмерува	ɔdmɛɾuva
затајува	zatajuva
лешинарски	lɛʃinarski
дихотомија	dixɔtɔmija
препород	prɛpɔɾɔt
дремнува	drɛmnuva
вечерашен	vɛt͡ʃɛɾaʃɛn
грк	ɡr̩k
одбива	ɔdbiva
желбен	ʒɛɫbɛn
раскрепости	raskrɛpɔsti
испукува	ispukuva
мажов	maʒɔf
набрашни	nabraʃni
пријателче	prijatɛɫt͡ʃɛ
ѓомлезе	ɟɔmlɛzɛ
соколар	sɔkɔɫar
град	ɡrat
унгарија	unɡaɾija
оптегнатост	ɔptɛɡnatɔst
таксирлија	taksirlija
привременост	privrɛmɛnɔst
пречувствителност	prɛt͡ʃufstvitɛɫnɔst
воздух	vɔzdux
излижува	izliʒuva
бугар	buɡar
изнемоштеност	iznɛmɔʃtɛnɔst
берберство	bɛrbɛrstvɔ
цап	t͡sap
бубаче	bubat͡ʃɛ
акцентираност	akt͡sɛntiɾanɔst
њоки	ɲɔki
иконописец	ikɔnɔpisɛt͡s
метличе	mɛtlit͡ʃɛ
уредничка	urɛdnit͡ʃka
дехидрација	dɛxidrat͡sija
зачешла	zat͡ʃɛʃɫa
достоинственост	dɔstɔinstvɛnɔst
канберски	kambɛrski
изнасади	iznasadi
џбунови	d͡ʒbunɔvi
прегризува	prɛɡrizuva
сојузништво	sɔjuzniʃtvɔ
лепрозен	lɛprɔzɛn
баба	baba
ургентен	urɡɛntɛn
габеров	ɡabɛɾɔf
команда	kɔmanda
современост	sɔvrɛmɛnɔst
септички	sɛptit͡ʃki
шегаџиски	ʃɛɡad͡ʒiski
чифлиг	t͡ʃiflik
разблажува	razbɫaʒuva
азбука	azbuka
два	dva
желкин	ʒɛɫkin
еленче	ɛlɛnt͡ʃɛ
одметник	ɔdmɛtnik
ласица	ɫasit͡sa
потстопли	pɔtstɔpli
забест	zabɛst
индија	indija
брзак	br̩zak
капнатост	kapnatɔst
затворски	zatvɔrski
политика	pɔlitika
технологија	tɛxnɔɫɔɡija
еднобојност	ɛdnɔbɔjnɔst
наводенува	navɔdɛnuva
несразмерност	nɛsrazmɛrnɔst
провалничка	prɔvaɫnit͡ʃka
таму	tamu
различност	razlit͡ʃnɔst
сопственички	sɔpstvɛnit͡ʃki
џин	d͡ʒin
изгали	izɡali
расчешла	raʃt͡ʃɛʃɫa
дете	dɛtɛ
похотливост	pɔxɔtlivɔst
оса	ɔsa
скита	skita
набрашнува	nabraʃnuva
човеку	t͡ʃɔvɛku
орнитологија	ɔrnitɔɫɔɡija
дистопија	distɔpija
стакларка	stakɫarka
учење	ut͡ʃɛɲɛ
прерија	prɛɾija
прорти	prɔrti
реторика	rɛtɔɾika
спорност	spɔrnɔst
скокнува	skɔknuva
презира	prɛziɾa
генералисимус	ɡɛnɛɾalisimus
нараторски	naratɔrski
интерен	intɛɾɛn
свињарка	sviɲarka
ведрост	vɛdrɔst
застапнички	zastapnit͡ʃki
загинува	zaɡinuva
дупчуле	dupt͡ʃulɛ
испливува	isplivuva
потрошува	pɔtrɔʃuva
македонки	makɛdɔŋki
сланиница	sɫaninit͡sa
напрашува	napraʃuva
ненавикнат	nɛnaviknat
овдека	ɔvdɛka
реставрација	rɛstavrat͡sija
зголеменост	zɡɔlɛmɛnɔst
чорбичка	t͡ʃɔrbit͡ʃka
недооценет	nɛdɔɔt͡sɛnɛt
