ayam	ʔajɐm
brodkaster	bɾodkɐsteɾ
tiamson	t͡ʃamson
sinturon	sɪntʊɾon
langgotse	lɐŋɡot͡ʃe
isangla	ʔɪsɐŋlaʔ
arestado	ʔɐɾestado
ipangako	ʔɪpɐŋaxoʔ
bahagan	bɐhɐɰan
estasyon	ʔestɐʃon
casal	kxasɐl
ligoy	liɰoɪ̯
akademya	ʔɐxɐdemjɐ
laga	laɰɐʔ
baynilya	baɪ̯niljɐ
hawa	hawɐʔ
baga	baɰɐʔ
bantil	bɐntil
binta	bintɐ
konseho	kxonseho
gamboa	ɡɐmboɐ
liwanag	lɪwanɐɡ
peke	pexeʔ
bagyuhin	bɐɡjʊhin
borlas	boɾlɐs
mahalaga	mɐhɐlɐɰa
kadugo	kxɐdʊɰoʔ
guzman	ɡʊsman
lozada	losadɐ
kangkungan	kxɐŋkuŋɐn
manabat	mɐnabɐt
pananawagan	pɐnɐnɐwaɰɐn
mabalot	mɐbalot
kutsara	kxʊt͡sɐɾɐ
likop	lixop
ligalig	lɪɰalɪɡ
dokumentaryo	doxʊmentaɾjo
kimiko	kximɪxo
astaka	ʔɐstaxɐʔ
likuran	lɪxʊɾan
babaan	bɐbɐʔan
galaiti	ɡɐlɐʔitɪ
ampaw	ʔɐmpaʊ̯
imbento	ʔɪmbento
aranya	ʔɐɾɐɲa
paa	pɐʔa
daktinig	dɐktinɪɡ
hinayupak	hɪnɐjupɐk
mansanas	mɐnsanɐs
la	lɐ
hinlalato	hɪnlɐlatoʔ
bibliya	biblja
kamangmangan	kxɐmɐŋmɐŋan
araw	ʔɐɾaʊ̯
ulnungkuro	ʔʊlnʊŋkuɾoʔ
ponema	ponemɐ
bilangan	bɪlɐŋan
trangkaso	tɾɐŋkaso
kiyampong	kjɐmpoŋ
pakla	pɐkla
landrito	lɐndɾito
magtalo	mɐɡtalo
pag	pɐɡ
sumemplang	sʊmemplɐŋ
isyu	ʔiʃʊ
kalansay	kxɐlɐnsaɪ̯
barquilla	bɐɾkiljɐ
lusay	lʊsaɪ̯
samaniego	sɐmɐɲeɰo
aam	ʔɐʔam
huk	hʊk
fung	fʊŋ
halimuyak	hɐlɪmujɐk
ragudo	ɾɐɰudo
gawak	ɡawɐk
imperensiya	ʔɪmpeɾenʃa
kalabog	kxɐlɐboɡ
sinag	sinɐɡ
pananim	pɐnɐnim
alpay	ʔalpaɪ̯
olanda	ʔolandɐ
isaulo	ʔɪsɐʔulo
lusot	lʊsot
dian	dɪʔan
entusyasmo	ʔentʊʃɐsmo
lila	lilɐʔ
hanggang	hɐŋɡaŋ
isip	ʔisɪp
bukaka	bʊxɐkaʔ
adhikain	ʔɐdhɪxaʔɪn
pisngi	pɪsŋi
biyanan	bɪɐnan
saquing	saxɪŋ
deskubri	deskʊbɾi
barok	bɐɾok
alkansiya	ʔɐlkɐnʃa
malaluan	mɐlalʊɐn
wag	wɐɡ
hulog	hʊloɡ
minami	mɪnamɪ
kilates	kxɪlates
misako	mɪsaxo
maghiyas	mɐɡhɪas
pagmamadali	pɐɡmɐmɐdɐliʔ
binabasa	bɪnɐbasɐ
lamukos	lɐmuxos
magallanes	mɐɰɐljanes
dingal	diŋɐl
arañas	ʔɐɾaɲɐs
dahan	dahɐn
dumpit	dumpɪt
deskuwento	deskwento
bawang	bawɐŋ
ikalawa	ʔɪxɐlɐwa
condez	kxondes
pala	palɐ
ilustre	ʔɪlustɾe
bito	bɪtoʔ
alalay	ʔɐlalaɪ̯
insulto	ʔɪnsulto
halangan	hɐlaŋɐn
mahikaw	mɐhixaʊ̯
callao	kaʎaʊ
balete	bɐlete
asahan	ʔɐsahɐn
gilyotina	ɡɪljotinɐ
kantot	kxɐntot
eksplanasyon	ʔeksplɐnɐʃon
iskedyul	ʔɪsked͡ʒʊl
hitsura	hɪt͡ʃuɾɐ
kaagulo	kxɐʔɐɰulo
magbanua	mɐɡbanʊɐ
kalangay	kxɐlaŋaɪ̯
anonas	ʔɐnonɐs
buti	butɪ
kopya	kxopjɐ
balkonahe	bɐlkonahe
arroyo	ʔɐɾojo
gawalagad	ɡɐwɐlɐɰad
fonacier	fonasɪeɾ
anito	ʔɐnɪto
acierto	ʔɐʃeɾto
lakihan	lɐxɪhan
barikod	bɐɾɪxod
burges	bʊɾɡes
kakilala	kxɐxɪlalɐ
kumbensiyon	kxumbenʃon
dagsin	dɐɡsin
dinuguan	dɪnʊɰʊʔan
ibig	ʔibɪɡ
villablanca	bɪllɐblaŋkɐ
sawa	sawɐʔ
droga	dɾoɰɐ
kabaka	kxɐbaxɐ
katang	kxatɐŋ
husay	hʊsaɪ̯
sapok	sɐpok
sisi	sisɪ
manaog	manɐoɡ
aralin	ʔɐɾalɪn
baligtarin	bɐlɪɡtɐɾin
limon	lɪmon
dili	dilɪ
bulgaro	bʊlɡɐɾo
gaseta	ɡɐsetɐ
wala	walɐʔ
mabasa	mɐbɐsa
lata	latɐ
abandonado	ʔɐbɐndonado
seremonya	seɾemoɲɐ
masaker	mɐsaxeɾ
henerasyon	heneɾɐʃon
despedida	despedidɐ
baywang	baɪ̯waŋ
busina	bʊsinɐ
tapulaw	tɐpulaʊ̯
laquindanum	lɐxɪndanʊm
bilang	bɪlaŋ
bilanggo	bɪlɐŋɡoʔ
buwelta	bweltɐ
beki	bexɪ
inda	ʔɪndaʔ
islobenya	ʔɪslobeɲɐ
galitin	ɡɐlitɪn
natae	nɐtɐʔe
istres	ʔɪstɾes
balido	balɪdo
puyat	pʊjat
lagot	lɐɰot
dilis	dilɪs
hardinera	hɐɾdɪneɾɐ
heko	hexo
agsikap	ʔɐɡsixɐp
eskandalo	ʔeskandɐlo
agimatan	ʔɐɰɪmatɐn
aguilar	ʔɐɰɪlaɾ
bersikulo	beɾsixʊlo
brandi	bɾandɪ
hira	hɪɾaʔ
artiaga	ʔɐɾʃɐɰɐ
garupa	ɡɐɾupɐ
kabig	kxabɪɡ
lubid	lʊbid
capinpin	kxɐpinpɪn
hukot	hʊxot
igik	ʔɪɰik
haha	hahɐʔ
balino	bɐlino
parada	pɐɾadɐ
himbak	hɪmbak
bihis	bihɪs
nako	nɐxo
himig	himɪɡ
lundo	lʊndoʔ
magbabaon	nɐɡbaʔon
aakyat	ʔɐʔɐkjat
labada	lɐbadɐ
villacarlos	bɪllɐxaɾlos
lapyad	lɐpjad
plais	plaɪ̯s
lawin	lawɪn
buhagsigan	bʊhɐɡsiɰɐn
kapsula	kxapsʊla
baklas	bɐklas
bawang	bɐwaŋ
panirahan	panɪɾahɐn
kalis	kxalɪs
diitan	dɪʔɪtan
lapat	lɐpat
lubot	lʊbot
miyuki	mjʊxɪ
digmaan	dɪɡmaʔɐn
baluyot	bɐlujot
magpaubaya	mɐɡpaʊ̯bajɐʔ
karupukan	kxɐɾʊpʊxan
maglalako	mɐɡlɐlaxoʔ
lubo	lʊboʔ
baunan	bɐʔʊnan
plawta	plaʊ̯tɐ
ibabaw	ʔɪbabaʊ̯
baklain	bɐklaʔɪn
insidente	ʔɪnsɪdente
daing	dɐʔiŋ
lanay	lɐnaɪ̯
hawayano	hɐwɐjano
awtorisasyon	ʔotoɾɪsɐʃon
iyan	jɐn
dipolog	dɪpoloɡ
puwes	pwes
hari	haɾɪ
halimbawa	hɐlɪmbawɐʔ
basuka	bɐsuxɐ
durugista	dʊɾʊɰistɐ
macaspac	mɐxaspɐk
abayan	ʔɐbajɐn
manghalik	mɐŋhɐlik
tinda	tindɐ
ganap	ɡɐnap
villavicencio	bɪllɐbɪsenʃo
isisi	ʔɪsisɪ
parusa	pɐɾusɐ
hoy	hoɪ̯
peklat	peklɐt
langib	lɐŋib
inspeksiyunin	ʔɪnspeksɪʊ̯nin
buod	bʊʔod
eskinita	ʔeskɪnitɐ
perera	peɾeɾɐ
bakit	baxɪt
villaverde	bɪllɐbeɾde
lohuwa	lohʊa
ampunan	ʔɐmpʊnan
lait	laʔɪt
bombero	bumbeɾo
gimik	ɡimɪk
macalindong	mɐxɐlindoŋ
kabiling	kxɐbilɪŋ
hugot	hʊɰot
kartero	kxɐɾteɾo
kondisyoner	kxondɪʃoneɾ
labuyo	lɐbujoʔ
liberalisasyon	lɪbeɾɐlɪsɐʃon
magbababoy	mɐɡbɐbɐboɪ̯
karakter	kxaɾɐkteɾ
irlanda	ʔɪɾlandɐ
kemikal	kxemɪxal
bulay	bulaɪ̯
ibahaw	ʔɪbahaʊ̯
listahan	lɪstɐhan
sakuna	sɐxʊna
instruksiyon	ʔɪnstɾʊkʃon
bentaha	bentahɐ
mulapik	mʊlapɪk
arpiya	ʔɐɾpiɐ
alahas	ʔɐlahɐs
pangako	pɐŋaxoʔ
kabarkada	kxɐbɐɾkadɐ
zuñiga	sʊɲɪɰɐ
atribido	ʔɐtɾɪbido
iskuwater	ʔɪskwɐteɾ
gansal	ɡɐnsal
isigan	ʔisiɰɐn
ehersisyo	ʔeheɾsiʃo
dawdaw	daʊ̯daʊ̯
beneswela	beneswelɐ
iyon	ʔɪon
penikula	penixʊla
init	ʔinɪt
balian	bɐliʔɐn
hamil	hamɪl
diyosa	d͡ʒosɐ
laso	lɐsoʔ
mainit	mɐʔinɪt
hawi	hɐwiʔ
arangkada	ʔɐɾɐŋkadɐ
aghambuhay	ʔɐɡhambuhaɪ̯
mabalahibo	mɐbɐlɐhibo
suot	sʊot
makulog	mɐxʊloɡ
laktaw	lɐktaʊ̯
aproba	ʔɐpɾoba
kaserola	kxɐseɾolɐ
lantak	lɐntak
salap	salɐp
dalubtalain	dɐlʊbtalain
maalintana	mɐʔɐlɪntanɐ
ambubuyog	ʔɐmbʊbujoɡ
lamat	lamɐt
isauli	ʔɪsɐʔulɪʔ
saing	saʔɪŋ
dukado	dʊxado
irlandes	ʔɪɾlɐndes
bawtisteryo	baʊ̯tɪsteɾjo
lodi	lodɪ
armalayt	ʔaɾmɐlaɪ̯t
lagikway	lɐɰɪkwaɪ̯
huli	hulɪ
lumakad	lʊmaxɐd
malbarosa	mɐlbɐɾosɐ
baluga	bɐluɰɐ
diglap	dɪɡlap
acuña	ʔɐxuɲɐ
panitikan	panɪtɪxan
iwan	ʔiwɐn
ipagawa	ʔɪpɐɰɐwaʔ
armenya	ʔɐɾmeɲɐ
katigbak	kxɐtiɡbɐk
dumagsin	dʊmɐɡsin
inday	ʔɪndaɪ̯
haling	hɐliŋ
aguhilya	ʔɐɰʊhiljɐ
montoya	montojɐ
magbihis	mɐɡbihɪs
bungkos	bʊŋkos
hatimbilang	hɐtɪmbilɐŋ
lagitlit	lɐɰɪtlit
sala	salɐ
basakay	bɐsaxaɪ̯
andaderas	ʔɐndɐdeɾɐs
habitsuwelas	hɐbɪt͡ʃʊelɐs
banda	bandɐ
britanya	bɾɪtaɲɐ
likod	lɪxod
maglalako	mɐɡlɐlɐxoʔ
insekto	ʔɪnsekto
ilohiko	ʔɪlohɪxo
gacusan	ɡɐxusɐn
gradweyt	ɡɾadweɪ̯t
busal	bʊsal
lapnis	lɐpnis
hanggan	hɐŋɡan
dayalogo	dɐjaloɰo
impakto	ʔɪmpakto
bulawan	bʊlawɐn
lapat	lapɐt
babat	babɐt
lamuymoy	lɐmʊɪmoɪ̯
kuliti	kxʊlitɪʔ
godoy	ɡodoɪ̯
almario	ʔɐlmaɾɪo
baguntao	bɐɰʊntaʔo
legazpi	leɰaspɪ
katang	kxɐtaŋ
baligtad	bɐlɪɡtad
gumalaw	ɡʊmɐlaʊ̯
tulad	tulɐd
latok	lɐtok
andora	ʔɐndoɾɐ
baang	baʔɐŋ
langal	lɐŋal
mahamog	mɐhɐmoɡ
almaden	ʔɐlmɐden
gatang	ɡatɐŋ
hilatsa	hɪlat͡ʃɐ
tamiko	tɐmixo
baluktot	bɐlʊktot
riyan	ɾjan
diskuwalipika	dɪskʊɐlɪpɪxa
humatsing	hʊmɐt͡ʃiŋ
aguho	ʔɐɰuhoʔ
granada	ɡɾɐnadɐ
biak	bɪʔak
iloko	ʔɪloxo
iskultura	ʔɪskʊltuɾɐ
k	x
mamamayan	mɐmɐmɐjan
bakunahan	bɐxʊnahɐn
asoge	ʔɐsoɰe
malibiran	mɐlɪbiɾɐn
disiotso	dɪsɪʔot͡ʃo
kapalit	kxɐpɐlit
hipnosis	hɪpnosɪs
kilusan	kxɪlusɐn
danyos	daɲos
bikig	bɪxiɡ
aprikana	ʔɐpɾɪxanɐ
laganap	lɐɰanɐp
manikin	mɐnɪxin
lalagyan	lɐlɐɡjan
nobleza	noblesɐ
artikulo	ʔɐɾtixʊlo
kalakaran	kxɐlɐxɐɾan
lelang	lelɐŋ
bakya	bɐkjaʔ
gresya	ɡɾeʃɐ
babuyan	bɐbujɐn
dalaw	dalaʊ̯
kumiko	kxʊmixo
brillantes	bɾɪljantes
impeksiyon	ʔɪmpekʃon
landas	landɐs
asngal	ʔɐsŋal
huwad	hʊad
kapon	kxɐpon
ladrilyo	lɐdɾiljo
hiram	hɪɾam
mangikil	mɐŋixɪl
gusgos	ɡʊsɡos
estruktura	ʔestɾʊktuɾɐ
interseksiyon	ʔɪnteɾsekʃon
palahaw	pɐlahaʊ̯
ligaw	lɪɰaʊ̯
saranggola	sɐɾɐŋɡolɐ
tagtuyot	tɐɡtʊjot
alkohol	ʔɐlkohol
pabor	pɐboɾ
mauleon	maʊ̯leon
binokulo	bɪnoxʊlo
madalas	mɐdɐlas
anuhin	ʔɐnʊhin
amonya	ʔɐmoɲɐ
lingad	liŋɐd
apula	ʔɐpulɐʔ
apostol	ʔɐpostol
bantayog	bɐntajoɡ
giit	ɡɪit
marupok	mɐɾʊpok
dutdutin	dʊtdʊtin
abla	ʔɐbla
apyak	ʔɐpjak
pg	pid͡ʒɪ
pinagtalunan	pɪnaɡtɐlʊnan
adyo	ʔɐd͡ʒo
tawanan	tawanɐn
apilado	ʔɐpɪlado
kastigo	kxɐstiɰo
pamahiin	pɐmɐhɪʔin
maghanda	mɐɡhɐndaʔ
implasyon	ʔɪmplɐʃon
lahad	lɐhad
dulugan	duluɰɐn
dulog	dʊloɡ
ambi	ʔɐmbiʔ
biyolon	bɪolon
kaibigan	kxaɪ̯bɪɰan
calalo	kxɐlalo
laway	lɐwaɪ̯
gumimik	ɡʊmimɪk
anor	ʔɐnoɾ
langgas	lɐŋɡas
huyad	hujɐd
basyo	bɐʃo
spg	ʔespid͡ʒɪ
ambisyon	ʔɐmbɪʃon
ikuha	ʔɪxuhɐ
papagtaluhan	papɐɡtɐluhɐn
lalagyan	lalɐɡjan
gahasa	ɡɐhasɐʔ
lagabag	lɐɰɐbaɡ
lakad	lɐxad
caguiat	kxaɡjɐt
igapos	ʔɪɰapos
hilata	hɪlatɐʔ
bataan	bɐtɐʔan
isama	ʔɪsɐmaʔ
ligalig	lɪɰɐliɡ
litang	lɪtaŋ
badayos	bɐdajos
bataw	bɐtaʊ̯
abangan	ʔɐbɐŋan
buhat	buhɐt
gabi	ɡabɪ
galagala	ɡɐlɐɰalɐ
abukay	ʔɐbʊxaɪ̯
buriko	bʊɾixo
limpa	lɪmpaʔ
dyologin	d͡ʒoloɰɪn
asta	ʔɐstaʔ
buntala	bʊntalɐʔ
kilo	kxɪloʔ
pasukan	pɐsuxɐn
kuliglig	kxʊlɪɡliɡ
lutad	lʊtad
alcaide	ʔɐlkaɪ̯de
bulkan	bʊlkan
saksihan	sɐksɪhan
bansi	bɐnsiʔ
tira	tiɾɐ
lugaw	luɰaʊ̯
labasan	labasɐn
bilugin	bɪluɰɪn
guham	ɡʊham
guwatemala	ɡʊɐtemalɐ
bumigay	bʊmɪɰaɪ̯
balingot	bɐlɪŋot
labindalawa	lɐbindɐlɐwa
garalde	ɡɐɾalde
mangilit	mɐŋilɪt
lalagukan	lɐlɐɰʊxan
laro	lɐɾoʔ
ingles	ʔɪŋɡles
kumpiska	kxumpɪska
jamisola	d͡ʒɐmɪsolɐ
initan	ʔɪnɪtan
bituka	bɪtuxɐ
ketsap	kxet͡ʃɐp
opyum	ʔopjʊm
gutay	ɡʊtaɪ̯
makatulog	mɐxɐtuloɡ
yarda	jaɾdɐ
gahak	ɡɐhak
anayad	ʔɐnajɐd
lagom	laɰom
bakulaw	bɐxulaʊ̯
banas	bɐnas
bendisyon	bendɪʃon
ip	ʔɪp
abella	ʔɐbellɐ
lonta	lontɐ
baktaw	bɐktaʊ̯
balayi	bɐlajɪ
diyeta	d͡ʒetɐ
sabon	sɐbon
basa	bɐsa
syota	ʃotɐʔ
ibay	ʔibaɪ̯
kalagitnaan	kxɐlɐɰitnɐʔɐn
lalaban	lɐlabɐn
himas	hɪmas
duhol	dʊhol
paghahabol	pɐɡhɐhabol
apila	ʔɐpɪla
balnibalngawsipatan	bɐlnɪbɐlŋaʊ̯sɪpatɐn
ignacio	ʔɪɡnaʃo
andam	ʔɐndam
denggoy	deŋɡoɪ̯
hinto	hɪntoʔ
busol	bʊsol
bantiti	bɐntitɪʔ
dahil	dahɪl
gala	ɡalɐʔ
disisais	dɪsɪsɐʔis
dampa	dɐmpaʔ
labi	labɪʔ
aywan	ʔewɐn
hango	hɐŋoʔ
peninsula	peninsʊla
macababbad	mɐxɐbabbɐd
biglaan	bɪɡlaʔɐn
benepisyaryo	benepɪʃɐɾjo
diwang	diwɐŋ
tugade	tʊɰade
alambre	ʔɐlambɾe
propesyonal	pɾopeʃonal
dyip	d͡ʒɪp
intindihin	ʔɪntɪndɪhin
bunso	bʊŋsoʔ
konsumido	kxonsʊmido
aprikot	ʔapɾɪxot
bait	bɐʔit
inano	ʔɪnanoʔ
biaya	biɐjɐʔ
magbibigas	mɐɡbɪbɪɰas
bula	bʊlaʔ
malisyoso	mɐlɪʃoso
camiguin	kxɐmɪɰin
atenas	ʔɐtenɐs
gadya	ɡɐd͡ʒa
akba	ʔakbɐ
siping	sipɪŋ
linaw	linaʊ̯
abenida	ʔɐbenidɐ
nganga	ŋɐŋa
tumbalik	tumbalɪk
sabunutan	sɐbʊnutɐn
bunsod	bʊnsod
sisihan	sɪsɪhan
talavera	tɐlɐbeɾɐ
balda	baldɐ
biskuwit	bɪskwit
maalon	maɐlon
anomalya	ʔɐnomɐlja
ketongin	kxetoŋɪn
depresasyon	depɾesɐʃon
banos	bɐnos
abenturero	ʔɐbentʊɾeɾo
limpik	lɪmpik
libtos	lɪbtos
hiroko	hɪɾoxo
lakwatsa	lɐkwat͡ʃɐ
libak	lɪbak
isakay	ʔɪsaxaɪ̯
aksaya	ʔɐksɐja
lalanghutan	lɐlɐŋhutɐn
imahinasyon	ʔɪmɐhɪnɐʃon
maghabla	mɐɡhɐbla
kasuy	kxɐsuɪ
regala	ɾeɰalɐ
laboy	laboɪ̯
bandurya	bɐnduɾjɐ
ihaw	ʔihaʊ̯
galakgak	ɡɐlɐkɡak
biha	bihɐ
kaplastikan	kxɐplɐstɪxan
kasalungat	kxɐsɐlʊŋat
idealismo	ʔɪdejɐlismo
durog	dʊɾoɡ
sampaloc	sɐmpalok
brodkast	bɾodkɐst
malindol	mɐlɪndol
tirada	tɪɾadɐ
eskriba	ʔeskɾibɐ
lakbay	lɐkbaɪ̯
dalag	dɐlaɡ
caparas	kxɐpaɾɐs
guho	ɡʊhoʔ
balangay	bɐlɐŋaɪ̯
kagitingan	kxɐɰɪtiŋɐn
dugong	duɰoŋ
litak	lɪtak
hototay	hototaɪ̯
angaw	ʔaŋaʊ̯
bigwas	bɪɡwas
hiling	hɪliŋ
pintakasi	pɪntɐxasɪ
tumae	tʊmaʔe
binting	bɪntiŋ
villaseñor	bɪllɐseɲoɾ
iso	ʔɪso
pensiyonado	penʃonado
daluyong	dɐlujoŋ
ipagbilin	ʔɪpɐɡbilɪn
lango	lɐŋo
bakod	baxod
hagulgol	hɐɰʊlɡol
halaga	hɐlɐɰa
dekwat	dekwɐt
estapa	ʔestapɐ
hain	haʔɪn
gitata	ɡɪtɐtaʔ
hagak	hɐɰak
malta	maltɐ
atang	ʔatɐŋ
bughaw	bʊɡhaʊ̯
bumitiw	bʊmɪtiʊ̯
gahasa	ɡɐhɐsaʔ
aling	ʔalɪŋ
custodio	kxʊstod͡ʒo
gambala	ɡɐmbalɐʔ
gaffud	ɡaffʊd
bilyon	bɪljon
quisumbing	kxɪsumbɪŋ
yan	jɐn
hunos	hʊnos
ikatlo	ʔɪxɐtlo
mamigay	mɐmiɰaɪ̯
alonto	ʔɐlonto
baliling	bɐlɪliŋ
virata	bɪɾatɐ
babasagin	bɐbɐsaɰɪn
magdede	mɐɡdede
mangobra	mɐŋobɾɐ
adbokasiya	ʔɐdboxɐsiɐ
laba	lɐbaʔ
isnabera	ʔɪsnɐbeɾɐ
imahe	ʔɪmahe
helikoptero	helɪxopteɾo
aras	ʔaɾɐs
hung	hʊŋ
sobrepeña	sobɾepeɲɐ
halaan	hɐlaʔɐn
gatlang	ɡɐtlaŋ
basahin	bɐsahɪn
ebak	ʔebɐk
akit	ʔaxɪt
lungkot	lʊŋkot
ligata	lɪɰatɐʔ
coo	kxʊ
bidbiran	bɪdbiɾɐn
manang	manɐŋ
atendido	ʔɐtendido
barik	baɾɪk
iba	ʔɪba
franco	fɾaŋko
hanako	hɐnaxo
pagtawanan	paɡtɐwanɐn
lipumpon	lɪpumpon
atungal	ʔɐtuŋɐl
agaas	ʔɐɰɐʔas
kiko	kxixo
tabla	tɐbla
asido	ʔasɪdo
hagibis	hɐɰibɪs
magbasa	mɐɡbɐsaʔ
adik	ʔadɪk
hipno	hɪpnoʔ
iting	ʔitɪŋ
agbarugan	ʔɐɡbɐɾuɰɐn
manuntok	mɐnʊntok
dakol	dɐxol
diko	dixo
lambo	lɐmbo
gilid	ɡilɪd
bosnya	bosɲɐ
mamakyaw	mɐmakjaʊ̯
bumagyo	bʊmɐɡjo
alugin	ʔɐlʊɰin
tuba	tʊbaʔ
kasalanan	kxɐsɐlanɐn
gigil	ɡiɰɪl
aguda	ʔɐɰudɐ
guwantes	ɡwɐntes
mabolo	mɐbolo
almuwada	ʔɐlmwɐdɐ
lusok	lʊsok
lanaw	lɐnaʊ̯
lungas	lʊŋas
anak	ʔanɐk
segui	seɰɪ
roxas	ɾohɐs
kanduli	kxɐndulɪʔ
makina	maxɪnɐ
banyos	bɐɲos
himatay	hɪmɐtaɪ̯
agalya	ʔɐɰaljɐ
bigtiin	bɪɡtɪʔin
banyas	bɐɲas
hupiter	hupɪteɾ
litik	litɪk
disenteriya	dɪsenteɾiɐ
hayok	hɐjok
barberya	bɐɾbeɾja
lambitin	lɐmbitɪn
awang	ʔɐwaŋ
magbabalot	mɐɡbɐbɐlot
kikyam	kxɪkjam
atsoy	ʔɐt͡ʃoɪ̯
landit	lɐndit
linga	lɪŋa
bilog	bɪloɡ
barado	bɐɾado
damak	dɐmak
inat	ʔɪnat
hanapbuhay	hɐnɐpbuhaɪ̯
latik	lɐtik
bentilasyon	bentɪlɐʃon
kristiyanismo	kxɾɪstɪɐnismo
manliligaw	mɐnlɪliɰaʊ̯
ganiyan	ɡɐɲan
kalandak	kxɐlɐndak
depensahan	depensɐhan
lukban	lʊkban
punerarya	pʊneɾaɾjɐ
duldol	dʊldol
libay	lɪbaɪ̯
interbiyu	ʔinteɾbju
mindanao	mɪndanaʊ̯
lamba	lɐmba
buklaw	bʊklaʊ̯
amoranto	ʔɐmoɾanto
gabya	ɡabjɐ
doktrina	doktɾinɐ
lawlaw	laʊ̯laʊ̯
manamantala	mɐnɐmɐntɐla
adopsyon	ʔɐdopʃon
gayumahin	ɡɐjʊmahɪn
garil	ɡaɾɪl
akurdiyon	ʔɐxʊɾd͡ʒon
edisyon	ʔedɪʃon
hira	hiɾɐ
bilyaran	bɪljaɾɐn
magbisikleta	mɐɡbɪsɪkletɐ
bumulong	bʊmʊloŋ
awak	ʔɐwak
bikaryo	bɪxaɾjo
dilawan	dɪlawɐn
bersiyon	beɾʃon
ata	ʔatɐʔ
dabarkads	dabɐɾkads
antilope	ʔɐntilope
libingan	lɪbɪŋan
mantika	mɐntixɐʔ
abueg	ʔɐbweɡ
espada	ʔespadɐ
bus	bɐs
gitla	ɡɪtlaʔ
lata	lɐtaʔ
saway	sawaɪ̯
malicsi	mɐliksɪ
usman	ʔusmɐn
bantiti	bɐntɪtiʔ
maagap	mɐʔaɰɐp
dekada	dexadɐ
eskapularyo	ʔeskɐpʊlaɾjo
añonuevo	ʔɐɲonuebo
talunan	tɐlʊnan
dokumento	doxʊmento
antok	ʔɐntok
langitngit	lɐŋɪtŋit
acorda	ʔɐxoɾdɐ
lako	laxoʔ
dalawin	dɐlawɪn
malubak	mɐlʊbak
batas	bɐtas
lapuz	lapʊs
lutas	lutɐs
demolisyon	demolɪʃon
dalahikan	dɐlɐhixɐn
kasingkahulugan	kxɐsɪŋkɐhʊlʊɰan
kahero	kxɐheɾo
breslavia	bɾeslabjɐ
isnabin	ʔɪsnɐbin
adidas	ʔɐdidɐs
gutom	ɡʊtom
alam	ʔalɐm
gaslaw	ɡɐslaʊ̯
niyog	ɲoɡ
dilawan	dɪlɐwan
lula	lʊlaʔ
iritasyon	ʔɪɾɪtɐʃon
kampeonato	kxɐmpeonato
lumayo	lʊmajoʔ
asenso	ʔɐsenso
cacdac	kxakdɐk
angkat	ʔɐŋkat
ilap	ʔɪlap
peninsulares	peninsʊlaɾes
imahen	ʔɪmahen
manigarilyo	mɐnɪɰɐɾiljo
indibidwalismo	ʔɪndɪbɪdwɐlismo
bato	bɐto
lulot	lʊlot
menorca	menoɾkɐ
heswita	heswitɐ
datapwa	dɐtɐpwaʔ
gumapang	ɡʊmapɐŋ
balana	bɐlɐnaʔ
luzuriaga	lʊsʊɾjaɰɐ
gotiko	ɡotɪxo
balakid	bɐlɐxid
koredor	kxoɾedoɾ
kondom	kxondom
diris	diɾɪs
kuba	kxubɐʔ
pagtakpan	pɐɡtɐkpan
aw	ʔaʊ̯
apaw	ʔapaʊ̯
gunaw	ɡʊnaʊ̯
higante	hɪɰante
dilaan	dɪlaʔɐn
kampeon	kxɐmpeon
mananahi	mɐnɐnahɪʔ
kemistri	kxemɪstɾi
iskul	ʔɪskul
imbita	ʔɪmbɪta
inggo	ʔɪŋɡoʔ
likha	lɪkhaʔ
saha	sahɐʔ
arquiza	ʔɐɾkisɐ
crisostomo	kxɾɪsostomo
tigas	tɪɰas
buya	bujɐʔ
gusgusin	ɡʊsɡusɪn
biyolin	bɪolin
katakawan	kxɐtɐxawɐn
bolta	boltɐ
intindi	ʔɪntɪndi
ninang	ninɐŋ
umawit	ʔʊmawɪt
tupa	tupɐ
bituin	bɪtwin
lumanglas	lʊmaŋlɐs
astig	ʔɐstiɡ
baritono	bɐɾɪtono
kupas	kxʊpas
ubasan	ʔʊbɐsan
layno	laɪ̯no
kalusugan	kxɐlʊsʊɰan
hatsuko	hɐt͡ʃuxo
hinlalaki	hɪnlɐlɐxi
impinitibo	ʔɪmpɪnɪtibo
kaklase	kxɐklase
indignasyon	ʔɪndɪɡnɐʃon
desilitro	desɪlitɾo
inuman	ʔɪnʊman
lipas	lipɐs
iwak	ʔiwɐk
gayundin	ɡɐjʊndin
buntonghininga	bʊntoŋhɪnɪŋa
babaero	bɐbɐʔeɾo
gulyasan	ɡʊljasɐn
cagayan	kxɐɰɐjan
bagang	bɐɰaŋ
awtorisado	ʔaʊ̯toɾɪsado
limlim	lɪmlim
giwang	ɡiwɐŋ
halang	halɐŋ
agihap	ʔɐɰihɐp
balikan	balixɐn
bagay	baɰaɪ̯
bumuwelta	bʊmweltɐ
dingding	dɪŋdiŋ
pugo	puɰoʔ
libumbon	lɪbumbon
luha	luhɐʔ
dakip	dɐxip
tas	tɐs
gaong	ɡɐʔoŋ
arya	ʔaɾjɐ
tubuhan	tʊbʊhan
plakard	plaxɐɾd
manghuhula	mɐŋhʊhulɐʔ
diyan	dɪʔan
