medd	meːð
ngwanwyn	ŋwanwɨ̞n
mantais	mantɛs
chyrraedd	χərɛð
pymtheg	pəmθɛɡ
rhanddeiliaid	r̥anðei̯ljai̯d
halen	halɛn
amgyffred	amɡəfrɛd
eiriadurwyr	ei̯rjadɨ̞rwɨ̞r
mhibgorn	m̥ɪbɡɔrn
lle	ɬeː
mewn chwinciad	mɛu̯nχwɪŋkjad
fory	vɔrɨ
cofio	kɔvjɔ
rhestrau	r̥ɛsdra
ei	ei̯
gorfodtref	ɡɔrvɔtrɛv
llundain	ɬɨ̞ndai̯n
gweithluoedd	ɡwei̯θlɨːɔɨ̯ð
neiliaid	nei̯ljai̯d
conwy	kɔnʊɨ̯
bachan	baχan
christ	χriːst
rho	r̥oː
nos sadwrn	nɔsadʊrn
y gofid mawr	əɡɔvɪdmau̯r
gydag	ɡɨ̞daɡ
lestr	lɛstr
peiriant arian parod	pei̯rjantarjamparɔd
telynoresau	tɛlənɔrɛsaɨ̯
celwydd	kɛlwɨ̞ð
gorchudd	ɡɔrχɨ̞ð
nhadau	n̥adɛ
theisen	θei̯sɛn
amrywiaeth	amrɪu̯jaɨ̯ð
plethau	plɛθɛ
gâl	ɡaːl
undebau	ɨ̞ndɛba
heno	hɛnɔ
rhudd	r̥ɨːð
aelwyd	eɨ̯lʊɨ̯d
torchau	tɔrχa
chares	χarɛs
teulu brenhinol	teɨ̯lɨbrɛnhɪnɔl
nerth	nɛrθ
anafais	anavai̯s
tudno	tɨ̞dnɔ
stemars	sdɛmars
peren	pɛrɛn
allforiwr	aɬvɔrjʊr
angylesau	aŋəlɛsɛ
paffio	pafjɔ
hunain	hɨ̞nai̯n
croen	kroːɨ̯n
mynachdy	mənaχdɨ
union	ɪnjɔn
niwlog	nɪu̯lɔɡ
ebol	ɛbɔl
garest	ɡarɛst
tŷ bwyta	tɨːbʊɨ̯ta
megis	mɛɡɪs
terfynu	tɛrvənɨ
metelegwr	mɛtɛlɛɡʊr
deuddeg	deɨ̯ðaɡ
defnyddio	dɛvnəðjɔ
recordiad	rɛkɔrdjad
rhestr	r̥ɛsdr
o	oː
llysieuyn	ɬəʃeɨ̯ɨ̞n
trist	triːst
amffibiad	amfɪbjad
conyn	kɔnɨ̞n
dihareb	dɪharɛb
oleuadau	ɔleɨ̯adaɨ̯
pheiriannwr	fei̯rjanʊr
strach	sdraːχ
lleianaidd	ɬei̯anai̯ð
h	aːɨ̯tʃ
thân	θaːn
cath	kaːθ
bocsiwr	bɔkʃʊr
cywydd	kəu̯ɨ̞ð
ffwng	fʊŋ
chyfforddus	χəfɔrðɨ̞s
goleuedig	ɡɔleɨ̯ɛdɪɡ
dyn	dɨːn
teisennau	tei̯sɛnɛ
letys	lɛtɨs
croesffordd	krɔɨ̯sfɔrð
ceisio	kei̯ʃɔ
amrywiol	amrɨu̯jɔl
frenin	vrɛnɪn
ngwybod	ŋʊbɔd
faen	vaːɨ̯n
cynllunio	kənɬɨ̞njɔ
eraill	ɛrɪɬ
dw	dʊ
cyfeirio	kəvei̯rjɔ
chyfoethog	χəvɔɨ̯θɔɡ
myfyriwr	məvərjʊr
cyhydnos y gwanwyn	kəhədnɔsəɡwanwɨ̞n
cydymdeimlad	kɨːdəmdei̯mlad
fôr	voːr
llanelli	ɬanɛɬi
reit	rei̯t
gelai	ɡɛlai̯
bwrw	bʊru
ffeindiaf	fei̯ndjav
mynachod	mənaχɔd
cymdeithasol	kəmdei̯θasɔl
caer	kaːɨ̯r
trôi	troːi̯
banjo	band͡ʒɔ
benthyg	bɛnθɨ̞ɡ
cynnydd	kənɨ̞ð
eisoes	ei̯ʃɔɨ̯s
diwethaf	dwɛθa
golygu	ɡɔləɡɨ̞
gweinyddesau	ɡwei̯nəðɛsa
daled	dalɛd
gwylliaid	ɡʊɨ̯ɬjai̯d
bawdd	bau̯ð
drawant	drau̯ant
pîn	piːn
alannon	alanɔn
hadwaenent	hadweɨ̯nɛnt
meddiannau	mɛðjana
galed	ɡalɛd
cacennau cri	kakɛnɛkriː
pathew	paθɛu̯
hydrefau	hədrɛvaɨ̯
estrys	ɛsdrɨ̞s
gwddwg	ɡʊðʊɡ
fflworin	flʊɔrɪn
uniongyrchol	ɨ̞njɔŋɡərχɔl
syflyd	səvlɨ̞d
geiriau	ɡei̯rjaɨ̯
ddegfed	ðɛɡvɛd
allai	aɬɛ
ysbrydion	əsbrədjɔn
clwb te	klʊbteː
ngelyn	ŋɛlɨ̞n
adwaenant	adweɨ̯nant
llungopïwr	ɬɨːŋɡɔpiːʊr
tharianau	θarjanaɨ̯
gystadlu	ɡəsdadlɨ
chopa	χɔpa
nheledu	n̥ɛlɛdɨ
ngwylio	ŋwɨ̞ljɔ
harth	harθ
papaia	papai̯a
barbeciwio	barbɛkɪu̯jɔ
taith	tai̯θ
anoddaf	anɔðav
dydd mercher	dɨ̞ðmɛrχar
brysur	brəsɨ̞r
men siarl	mɛnʃarl
gweriniaethau	ɡwɛrɪnjeɨ̯θa
gornestwr	ɡɔrnɛsdʊr
thematig	θɛmatɪɡ
marnwr	marnʊr
carfil bach	karvɪlbaːχ
cyfamser	kəvamsar
posteri	pɔsdɛri
gwaith	ɡwai̯θ
credu	krɛdɨ
adflasau	advlasaɨ̯
pert	pɛrt
rhy	r̥ɨː
adwaenem	adweɨ̯nɛm
glöyn	ɡlɔɨ̞n
wŷn	wɨːn
clwb	kluːb
pioden	piɔdan
cymhleth	kəmlaθ
anifail	anɪvai̯l
llosg	ɬɔsɡ
agweddi	aɡwɛðɪ
dau ar hugain	daɨ̯arhɪɡai̯n
ŵyl	uːɨ̯l
asesiadau	asɛʃadɛ
celynna	kɛləna
bongorff	bɔŋɡɔrf
abwydyn	abʊɨ̯dɨ̞n
achwyniad	aχʊɨ̯njad
chana	χana
canais	kanɛs
gerddoriaeth	ɡɛrðɔrjɛθ
buddug	bɨ̞ðɨ̞ɡ
achwyn	aχʊɨ̯n
saesneg	seɨ̯snaɡ
peiriannau arian	pei̯rjanɛarjan
croes	kroːɨ̯s
cennin sifi	kɛnhɪnɛnsɪvɪ
tor	tɔr
neng	neːŋ
rhos	r̥oːs
rywun	rɪu̯ɨ̞n
ngharwr	ŋ̊arʊr
mhont	m̥ɔnt
agerlong	aɡɛrlɔŋ
doedden	dɔɨ̯ðɛn
nythfa	nəθva
peth	peːθ
cyfrifiadur	kəvrɪvjadɨ̞r
chwarae	χwarɛ
wedyn	wɛdɨ̞n
ngweriniaeth	ŋwɛrɪnjaɨ̯θ
lladin	ɬadɪn
habwydyn	habʊɨ̯dɨ̞n
nghathod	ŋ̊aθɔd
llursod	ɬɨ̞rsɔd
yn achlysurol	ənaχləsɨ̞rɔl
aberteifi	abɛrtei̯vi
fynyddoedd	vənəðɔɨ̯ð
terfysgwr	tɛrvəsɡʊr
cerwyn	kɛruɨ̯n
nhrydanwr	n̥rədanʊr
dosbarthiadau	dɔsbarθjada
rhestri	r̥ɛsdri
ieithydd	jei̯θɨ̞ð
taliadau	taljada
dychmygu	dəχməɡɨ
ar dân	ardaːn
cafodd	kavɔð
gwella	ɡwɛɬa
berf	bɛrv
delent	dɛlɛnt
sarhad	sarhaːd
felyn	vɛlɨ̞n
wythfed	ʊɨ̯θvad
gwall	ɡwaɬ
plaid	plai̯d
nadolig	nadɔlɪɡ
gweithio	ɡwei̯θjɔ
eistedd	ei̯sdɛð
fferm	fɛrm
coch	koːχ
rydw	rədu
mhrif	m̥riːv
chwarren	χwarɛn
adferol	advɛrɔl
argoelion	arɡɔi̯ljɔn
chaeredin	χaɨ̯rɛdɨ̞n
banllawr	banɬau̯r
cysgaf	kəsɡav
dafad	davad
wys	wɨːs
hirsgwariau	hɪrsɡwarja
amodi	amɔdi
deri	dɛri
gwŷl	ɡwɨːl
gwddf	ɡʊðu
men siarlmaen	mɛnʃarlmaɨ̯n
bûm	bɨːm
ciwcymbrau	kɪu̯kəmbra
ffens	fɛns
cywir	kəu̯ɪr
mewnblyg	mɛu̯nblɨ̞ɡ
boncyff	bɔŋkɨ̞f
nghanlyniad	ŋ̊anlənjad
chaffer	χafɛr
huno	hɨ̞nɔ
eangderau	ɛaŋdɛraɨ̯
cotiau	kɔtja
gachais	ɡaχai̯s
twyllwr du	tʊɨ̯ɬʊrdɨː
ffroenuchel	frɔɨ̯nɨ̞χɛl
wyth deg	uɨ̯θdɛɡ
gemau	ɡɛmaɨ̯
gwin newydd	ɡwiːnnɛu̯ɨ̞ð
eirinen fair	ei̯rɪnanvai̯r
nest	nɛsd
nes	neːs
ciwcymbrau	kɪu̯kəmbraɨ̯
olau	ɔla
barf	barv
delem	dɛlɛm
baned	banad
aflafar	avlavar
caersallog	kaɨ̯rsaɬɔɡ
pentref	pɛntra
chant	χant
tarianau	tarjanaɨ̯
heisteddfodau	hei̯sdɛðvɔda
dyddio	dəðjɔ
agerddlong	aɡɛrðlɔŋ
ffilmiau	fɪlmjɛ
padell	padaɬ
nheyrnas	n̥eɨ̯rnas
mwyd	muːɨ̯d
pysen	pəsɛn
marnau	marna
golosg	ɡɔlɔsɡ
gorff	ɡɔrf
drysleoedd	drəsleːɔɨ̯ð
penfelyn	pɛnvɛlɨ̞n
peiriannau arian	pei̯rjanaɨ̯arjan
arddangosfeydd	arðaŋɡɔsveɨ̯ð
be'	beː
clefyd y galon	klɛvɨ̞dəɡalɔn
nhaliadau	n̥aljadɛ
cannwyll	kanʊɨ̯ɬ
chychwyn	χəχwɨ̞n
cenhedlu	kɛnhɛdlɨ̞
bore da	bɔrɛdaː
crychau	krəχɛ
mri	mriː
dolur	dɔlɨ̞r
hwylbren	hʊɨ̯lbrɛn
weddïo	wɛðɪɔ
bleidleisio	blei̯dlei̯ʃɔ
llyfrgell genedlaethol cymru	ɬəvrɡɛɬɡɛnɛdleɨ̯θɔlkəmrɨ
feirysau	vei̯rəsa
mewnol	mɛu̯nɔl
barotach	barɔtaχ
teiar	tei̯ar
peintiau	pei̯ntjɛ
rith	riːθ
taten	tatan
allanol	aɬanɔl
dawnsio	dau̯nʃɔ
cryched	krəχɛd
annwyl	anʊɨ̯l
llawlyfr	ɬau̯lɨ̞vɨ̞r
carwr	karʊr
arhoswch	arhɔsʊχ
brwydro	brʊɨ̯drɔ
rasel	rasɛl
gweriniaethau	ɡwɛrɪnjeɨ̯θaɨ̯
copa	kɔpa
chwerwddwr	χwɛrðʊr
penbleth	pɛmblɛθ
pryd	prɨːd
cyfrwng	kəvrʊŋ
golygfeydd	ɡɔləɡveɨ̯ð
côd	koːd
cathau	kaθɛ
gosteg	ɡɔsdɛɡ
cwsmeriaid	kʊsmɛrjɛd
breifat	brei̯vat
animeiddiad	anɪmei̯ðjad
ogystal	ɔɡəstal
llundain	ɬɨ̞ndɛn
wiwer	wɪu̯ɛr
meddwl	mɛðʊl
deuddegfed	deɨ̯ðɛɡvɛd
gwanwynau	ɡwanwənɛ
swyn	suːɨ̯n
colfen	kɔlvɛn
loc	lɔk
goleuo	ɡɔleɨ̯ɔ
dirmygus	dɪrməɡɨ̞s
sychnant	səχnant
gneuen	ɡneɨ̯ɛn
cadarn	kadarn
peiriannau	pei̯rjanaɨ̯
gweinyddesau	ɡwei̯nəðɛsaɨ̯
talem	talɛm
sìl	sɪl
copyn	kɔpɨ̞n
mhen	m̥ɛn
cwar	kwar
rhufeiniwr	r̥ɨ̞vei̯njʊr
ofergoel	ɔvɛrɡɔi̯l
cwpla	kʊpla
toiled	tɔi̯lad
rhychau	r̥əχaɨ̯
seliau	sɛljaɨ̯
phinc	fɪŋk
aem	aːɨ̯m
golau	ɡɔlɛ
rhwystredigaeth	r̥ʊɨ̯sdrɛdɨ̞ɡaθ
llygru	ɬəɡrɨ
er	ɛr
rhwyllau	r̥ʊɨ̯ɬaɨ̯
chwarae	χwara
cymhleth	kəmlɛθ
pentis	pɛntɪs
adargraffiad	adarɡrafjad
mynych	mənɨ̞χ
nghoed	ŋ̊oːɨ̯d
ymrafael	əmravaɨ̯l
deses	dɛsɛs
adolygu	adɔləɡɨ̞
treisio	trei̯ʃɔ
gwisga	ɡwɪsɡa
plethedig	plɛθɛdɪɡ
anfanteision	anvantei̯ʃɔn
gwahodd	ɡwahoːð
blynyddoedd	blənəðɔɨ̯ð
gymru	ɡəmrɨ̞
tri	triː
gymaint	ɡəmɛnt
gweles	ɡwɛlɛs
ceri	kɛrɪ
ngwychach	ŋwəχaχ
corneli	kɔrnɛli
bws	bʊs
helygen	hɛləɡan
sglodion	sɡlɔdjɔn
calchfaen	kalχvaɨ̯n
trigeiniau	trɪɡei̯njaɨ̯
tynnu	tənɨ
dewed	dɛu̯ɛd
adnabod	adnabɔd
cecraeth	kɛkraɨ̯θ
deusaith	deɨ̯sai̯θ
barus	barɨ̞s
rhwystro	r̥ʊɨ̯sdrɔ
carthenni	karθɛnɪ
wythnos	ʊsnɔs
gydbreswylwyr	ɡɨːdbrɛsʊɨ̯lwɨ̞r
croglen	krɔɡlɛn
arwerthwr	arwɛrθʊr
pedwar	pɛdwar
caeir	keɨ̯ɪr
ddweud	ðweɨ̯d
gorchaw	ɡɔrχau̯
llasen	ɬasɛn
dewr	dɛu̯r
craf y geifr	kraːvəɡei̯vr
awen	au̯ɛn
cedor	kɛdɔr
lyf	lɨːv
cerddor	kɛrðɔr
biau	biːɛ
bodd	boːð
cobra	kɔbra
coeden afalau	kɔɨ̯dɛnavalaɨ̯
tadau	tadaɨ̯
deisen	dei̯sɛn
hadeilad	hadei̯lad
twrf	tʊrv
rhin	r̥iːn
dysglaid	dɨ̞sɡlɛd
asesiadau	asɛʃadaɨ̯
glynu	ɡlənɨ̞
cenhinen	kɛnhɪnan
gylch	ɡɨ̞lχ
casnewydd	kaːsnɛu̯ɨ̞ð
epidemigau	ɛpɪdɛmɪɡɛ
meddai	mɛðɛ
tôn	toːn
nwfr	nʊvr
pỳg	pəɡ
iddo	ɪðɔ
nabod	nabɔd
undebau	ɨ̞ndɛbɛ
absen	absɛn
yn hyn o beth	ənhɨ̞nɔbeːθ
gwahaniaeth	ɡwanjɛθ
llwybr	ɬʊɨ̯br
llafariaid	ɬavarjɛd
moliant	mɔljant
cwerylau	kwɛrəla
llatai	ɬatai̯
llungopïau	ɬɨːŋɡɔpiːaɨ̯
llid	ɬiːd
ynysoedd dedwydd	ənəsɔɨ̯ðdɛdwɨ̞ð
taliadau	taljadaɨ̯
celai	kɛlai̯
treigladau	treiɡladaɨ̯
sallwyr	saɬʊɨ̯r
gwylio	ɡwɪljɔ
sgert	sɡɛrt
cysylltair	kəsəɬdai̯r
nghymaint	ŋ̊əmai̯nt
ngwrando	ŋwrandɔ
cacynen feirch	kakənanvei̯rχ
anghyfreithlon	aŋhəvrei̯θlɔn
gweithdy	ɡwəi̯θdɨ
nudd	nɨːð
cyfnodolyn	kəvnɔdɔlɨ̞n
doet	doːɨ̯t
deiliadaethau	dei̯ljadeɨ̯θaɨ̯
nheisen	n̥ei̯ʃan
arhosaf	arhɔsav
maneg	manaɡ
amrywedd	amrɪu̯jɛð
ffôn	foːn
cyfrif	kəvrɪv
nghastell	ŋ̊asdɛɬ
nheyrnaddoliant	n̥eɨ̯rnaðɔljant
frawd	vrau̯d
elfed	ɛlvɛd
genweiriau	ɡɛnwei̯rjaɨ̯
gwenynen wyllt	ɡwenənaŋwɨːɬd
chlyw	χlɪu̯
nathlu	naθlɨ
unedau	ɨ̞nɛda
cregynna	krɛɡəna
ngroeg	ŋroːɨ̯ɡ
ddeud	ðeɨ̯d
gano	ɡanɔ
pryder	prədar
talon	talɔn
cyfandir	kəvandɪr
troseddu	trɔsɛðɨ
uchel	əχal
gweinyddwr	ɡwei̯nəðʊr
ciw	kɪu̯
cwsg	kuːsɡ
hosbisau	hɔsbɪsa
rwyd	ruːɨ̯d
teitlau	tei̯tlaɨ̯
animeiddiadau	anɪmei̯ðjjada
gôt	ɡoːt
flaidd	vlai̯ð
go iawn	ɡɔjau̯n
deiliadaethau	dei̯ljadeɨ̯θa
pori	pɔri
gythraul	ɡəθrɛl
gwelen	ɡwɛlɛn
gwared	ɡwarɛd
dolis	dɔlɪs
lygod	ləɡɔd
snwcer	snʊkar
dolïau	dɔlɪaɨ̯
lliw	ɬɪu̯
phengwiniaid	fɛŋɡwɪnjai̯d
gwastraff	ɡwasdraf
diod	diːɔd
tryferu	trəvɛrɨ̞
tarian	tarjan
gwarchod	ɡwarχɔd
allforion	aɬvɔrjɔn
cyfrifoldebau	kəvrɪvɔldɛbaɨ̯
deuddegfed	deɨ̯ðɛɡvad
gorchymyn	ɡɔrχəmɨ̞n
magnelau	maɡnɛlɛ
mrân	mraːn
brexit	brɛksɪt
fychan	fəχan
pisyn grôt	pɪsɨ̞ŋɡroːt
cais	kai̯s
lydan	lədan
roedden	rɔɨ̯ðan
teisen	tei̯ʃɛn
deugeiniau	dei̯ɡei̯njaɨ̯
mhortiwgal	m̥ɔrtjʊɡal
caernarfon	kaɨ̞rnarvɔn
corn	kɔrn
leicio	lei̯kjɔ
pinc	pɪŋk
ysguthan	əsɡɨ̞θan
adfydus	advədɨ̞s
rhywle	r̥ɨu̯la
arolygon	arɔləɡɔn
dau ar bymtheg	daɨ̯arbəmθaɡ
cacen gri	kakɛŋɡriː
diobaith	diɔbai̯θ
sidan	sɪdan
wele	wɛlɛ
help llaw	hɛlpɬau̯
mawr	mau̯r
masgau	masɡa
cynt	kɨ̞nt
cymysgedd	kəməsɡɛð
phencampwriaeth	fɛŋkampʊrjɛθ
chnwd	χnuːd
torres	tɔrɛs
tîm	tiːm
mwyalchen	muɨ̯alχɛn
nghosyn	ŋ̊ɔsɨ̞n
mwydyn	mʊɨ̯dɨ̞n
gweld	ɡwɛld
blychau llwch	bləχaɬuːχ
theyrnas	θeɨ̯rnas
ciwdod	kɪu̯dɔd
gof	ɡoːv
gwaethaf	ɡweɨ̯θav
cil	kiːl
tywyll	təu̯ɨ̞ɬ
llythrennau	ɬəθrɛnɛ
athrawesau	aθrau̯ɛsɛ
ddim	ðɪm
teisen radell	tei̯sanradɛɬ
bengwin	bɛŋɡwɪn
hwngari	hʊŋɡari
nghell	ŋ̊ɛɬ
atalfa	atalva
cacennau	kakɛnaɨ̯
weled	wɛlɛd
yw	ɪu̯
addysg	aðɨ̞sɡ
darllen	darɬan
canslo	kanslɔ
lol	lɔl
telais	tɛlai̯s
iorwg	jɔrʊɡ
sy	sɨː
deyrnas	deɨ̯rnas
ffionau	fɪɔnaɨ̯
gwerinwr	ɡwɛrɪnʊr
nghythreuliaid	ŋ̊əθreɨ̯ljai̯d
helfen	hɛlvɛn
cas	kaːs
newyn	nɛu̯ɨ̞n
cryddion	krəðjɔn
picen ar y maen	pɪkɛnarəmaːɨ̯n
deiliaid	dei̯ljɛd
euro	eɨ̯rɔ
big	biːɡ
trefedigaeth	trɛvɛdɪɡɛθ
chythreuliaid	χəθreɨ̯ljɛd
daeargryn	deɨ̯arɡrɨ̞n
telynau	tɛlənaɨ̯
bleiddiau	blei̯ðjɛ
rhywsut	r̥ɨu̯sɨ̞t
chalan	χalan
offer	ɔfɛr
adar y bwn	adarəbʊn
eleni	lɛnɪ
plethdorch	plɛθdɔrχ
datod	datɔd
afiach	avjaχ
nghlywed	ŋ̊ləu̯ad
anweddu	anwɛðɨ
arhosfa	arhɔsva
moliannau	mɔljanaɨ̯
hedyn	hɛdɨ̞n
gegin	ɡɛɡɪn
phei	fei
aelod seneddol	eɨ̯lɔdsɛnɛðɔl
sefyll	sɛvɨ̞ɬ
mlodau	mlɔdɛ
rhyngrwyd pethau	r̥əŋrʊɨ̯dpɛθɛ
cafas	kavas
almaenwr	almeɨ̯nʊr
thewed	θɛu̯ɛd
chacha	χaχa
hirsgwarau	hɪrsɡwaraɨ̯
paent	paːɨ̯nt
neuaddau	neɨ̯aða
llwythau	ɬʊɨ̯θa
olaf	ɔla
sgriau	sɡriːaɨ̯
haeddel fawr	heɨ̯ðɛlvau̯r
fasen	san
aromatherapydd	arɔmaθɛrapɨ̞ð
aeronen	eɨ̯rɔnɛn
academïau	akadɛmiːaɨ̯
caf	kaːv
gwlad belg	ɡwlaːdbɛlɡ
gofalus	ɡɔvalɨ̞s
torlannau	tɔrlanɛ
hynny	hənɨ
gelli	ɡɛɬɪ
clwt	klʊt
cynghori	kəŋhɔri
oer	oːɨ̯r
cyn	kɨn
cwbl	kʊbl
aethant	eɨ̯θant
gornestwyr	ɡɔrnɛsdwɨ̞r
sinc	sɪŋk
mae	maːɨ̯
heog	hɛɔɡ
jaciau	dʒakja
doedd	doːɨ̯ð
traed	traːɨ̯d
gwyddon	ɡwəðɔn
drud	drɨːd
rod	roːd
pumdegau	pɨ̞mdɛɡa
lliwyddion	ɬɪu̯əðjɔn
pandai	pandai̯
coeg	koːɨ̯ɡ
ngwario	ŋwarjɔ
llusen america	ɬɨ̞sanamɛrɪka
coeden afalau	kɔɨ̯dɛnvalɛ
cwta	kʊta
tybaco	təbakɔ
nghwrw	ŋ̊ʊru
pasteiod	pasdei̯ɔd
wybodaeth	wɨ̞bɔdɛθ
caem	kaːɨ̯m
ymdeimlad	əmdei̯mlad
tadau	tadɛ
homan	hɔman
llenyddol	ɬɛnəðɔl
ymyl	əmɨ̞l
bob	boːb
ymwneud	əmneɨ̯d
tywod	təu̯ɔd
corfflunio	kɔrflɨ̞njɔ
lesau	lɛsɛ
cysgu fel clawdd	kəsɡɨ̞vɛlklau̯ð
cyfddydd	kəvðɨ̞ð
dydd iau	dɨ̞ðjaɨ̯
un ar ddeg	ɨːnarðeːɡ
fach	vaːχ
chyfiawnder	χəvjau̯ndɛr
gwyryf	ɡwərɨv
trigeiniau	trɪɡei̯njɛ
tanwydd	tanwɨ̞ð
cneuen ffrengig	kneɨ̯anfrɛŋɪɡ
nheisen	n̥ei̯sɛn
cangarŵ	kaŋɡaruː
medro	mɛdrɔ
llynedd	ɬənɛð
yn sgil	ənsɡiːl
mrenin	mrɛnɪn
gwefan	ɡwɛvan
munudau	mɨ̞nɨ̞daɨ̯
symud	səmɨ̞d
afalau	avalaɨ̯
gwenllian	ɡwɛnɬiːan
adwaenynt	adweɨ̯nɨ̞nt
dyddiad	dəðjad
gwledd	ɡwleːð
atborth	atbɔrθ
atebaf	atɛbav
cref	kreː
dalfa	dalva
safbwynt	savbʊɨ̯nt
rhwydd	r̥uːɨ̯ð
sylfaen	səlvaɨ̯n
nawn	nau̯n
tenau	tɛnaɨ̯
america	amɛrɪka
mewn	mɨ̞u̯n
rhodiwch	r̥ɔdjʊχ
ardaloedd	ardalɔɨ̯ð
cynhorthwy	kənhɔrθʊɨ̯
sut	sɨ̞d
fflwcs	flʊks
amgylch	amɡɨ̞lχ
baths	baθs
cael	kaːl
lysiau	ləʃɛ
gallant	ɡaɬant
biolegydd	bjɔlɛɡɨð
adferaf	advɛra
rhwydwaith	r̥ʊɨ̯dwai̯θ
hoen	hoːɨ̯n
gwlân	ɡwlaːn
ffoniaf	fɔnjav
seintiau	sei̯ntjɛ
pymthegfed	pəmθɛɡvad
llinynnau	ɬɪnənaɨ̯
iti	ɪti
rhegen	r̥ɛɡɛn
cwstardiau	kʊsdardjaɨ̯
mynachaeth	mənaχaɨ̯θ
ffon gof	fɔŋɡoːv
ffraeau	freɨ̯a
cyhyd	kəhɨːd
nage	naɡɛ
gynnwrf	ɡənʊrv
llandudno	ɬandɨ̞dnɔ
heddlu	hɛðlɨ
ocsiwn	ɔkʃʊn
pleidleisio	plei̯dlei̯ʃɔ
fab	vaːb
daliadaethau	daljadeɨ̯θa
dynfeirch	dənvei̯rχ
gorllewin	ɡɔrɬɛu̯ɪn
chestyll	χɛsdɨ̞ɬ
rhentu	r̥ɛntɨ
sbwriel	sbʊrjɛl
ffionau	fɪɔna
gylfinir	ɡəlvɪnɪr
cwerylau	kwɛrəlaɨ̯
ugain	ɪɡai̯n
lygad	lɨ̞ɡad
carneddi	karnɛði
urddau	ɨ̞rða
ailosod	ai̯lɔsɔd
fforc	fɔrk
ymddwyn	əmðʊɨ̯n
gwerdd	ɡwɛrð
deffry	dɛfrɨ
poptai	pɔptai̯
gweinyddol	ɡwei̯nəðɔl
clywed	kləu̯ad
eurgylch	eɨ̯rɡɨ̞lχ
eidal	ei̯dal
melltith	mɛɬdɪθ
diogel	dɪɔɡɛl
tudalen we	tɨ̞dalanweː
nghadair	ŋ̊adɛr
cystadleuol	kəsdadleɨ̯ɔl
ffoniodd	fɔnjɔð
saib	sai̯b
pharotach	farɔtaχ
ariannin	ərarjanɪn
selotep	sɛlɔtɛp
hyrwyddo	hərʊɨ̯ðɔ
teisen gri	tei̯ʃaŋɡriː
pryf copyn	prɨːvkɔpɨ̞n
ngwain	ŋwai̯n
genedlaethol	ɡɛnɛdleɨ̯θɔl
pedair	pɛdɛr
geir	ɡei̯r
oni	ɔni
baet	baːɨ̯t
berthynas	bɛrθənas
rhodri	r̥ɔdri
tair ar ddeg	tai̯rarðeːɡ
phortiwgal	fɔrtɪu̯ɡal
gwrthwynebwyr	ɡʊrθwɨ̞nɛbwɨ̞r
gysgu	ɡəsɡɨ
prifiau	prɪvja
gên	ɡeːn
tyndra	təndra
godi	ɡɔdɪ
chaint	χai̯nt
alltud	aɬdɨ̞d
ffugenwau	fɨ̞ɡɛnwɛ
arwerthiannau	arwɛrθjana
wddf	ʊðv
dylan	dəlan
derwydd	dɛrwɨ̞ð
copii	kɔpiːi
thaclus	θaklɨ̞s
ngheffyl	ŋ̊ɛfɨ̞l
tato	tatɔ
cenhinen bedr	kɛnhɪnɛmbɛdr
ngaeaf	ŋeɨ̯av
chlyw	χlɨu̯
triongl	triːɔŋl
cofiais	kɔvjai̯s
nhyrrau	n̥əraɨ
mi	miː
nwy	nuːɨ̯
clefyd y sul	klɛvɨ̞dəsɨːl
brochion	brɔχjɔn
santesau	santɛsa
fwg	vuːɡ
hirddydd haf	hɪrðɨ̞ðhaː
sgarff	sɡarf
anghyflogaeth	aŋhəvlɔɡɛθ
siop	ʃɔp
rheoliad	r̥ɛɔljad
iasoer	jasɔɨ̯r
all	aɬ
bur	bɨːr
aberafan	abɛravan
adeiladwr	adei̯ladʊr
deledu	dɛlɛdɨ
rywbeth	rʊbaθ
cyfforddus	kəfɔrðɨ̞s
gwŷn	ɡwɨːn
munudau	mɨ̞nɨ̞da
parth	parθ
chweugain	χwei̯ɡai̯n
ystiflogod	əsdɪflɔɡɔd
awydd	au̯ɨ̞ð
nos iau	nɔsjaɨ̯
afocado	avɔkadɔ
welsh cêcs	wɛlʃkeːks
leihau	lei̯haɨ̯
apêl	apeːl
gorfod	ɡɔrɔd
cofiais	kɔvɪʃ
heddluoedd	hɛðlɨ̞ɔɨð
elfen	ɛlvɛn
iddewig	ɪðɛu̯ɪɡ
heliwm	hɛljʊm
ngwddf	ŋʊðʊv
cymhleth	kəmhlɛθ
llysiau	ɬəʃa
rhyfelwyr	r̥əvɛlwɨ̞r
ywen	əu̯ɛn
lemon	lɛmɔn
ailwampio	ai̯lwampjɔ
cyfathrach	kəvaθraχ
lleihau	ɬei̯haɨ̯
arolygiadau	arɔləɡjadaɨ̯
beichiog	bei̯χjɔɡ
coedwig	kɔɨ̯dwɪɡ
cymaint	kəmɛnt
eirinen wlanog	ei̯rɪnɛŋwlanɔɡ
sut	sɨ̞t
cana	kana
argraffwyr	arɡrafwɨ̞r
math	maːθ
pwy wyt ti	puːɨ̯uːɨ̯tiː
pengwiniaid	pɛŋɡwɪnjɛd
archebion	arχɛbjɔn
dosbarthiadau	dɔsbarθjadɛ
mefusen	mɛvɨ̞san
raff	raːf
argoelion	arɡɔɨ̯ljɔn
llên	ɬeːn
creisionllyd	krei̯ʃɔnɬɨ̞d
picen	pɪkɛn
cyfatebol	kəvatɛbɔl
ymlaen	mlaːɨ̯n
