spesialisointi	ˈspesiˌɑliˌsointi
opetuslapsi	ˈopeˌtuslɑpsi
purjehdussää	ˈpurjehˌdussææ
kiinankaali	ˈkiinɑnˌkɑɑli
pietisti	ˈpietisti
leikkijuna	ˈleikkiˌjunɑ
tehtävä	ˈtehtævæ
otsikkokoe	ˈotsikˌkokoe
mummola	ˈmummolɑ
niitto	ˈniitto
virta-avain	ˈvirtɑɑvɑin
automaattinen	ˈɑutoˌmɑɑttinen
ympäristötekijä	ˈympæˌristøˌtekijæ
hulmahdella	ˈhulmɑhˌdellɑ
purilainen	ˈpuriˌlɑinen
voitontahto	ˈvoitonˌtɑhto
tanssiryhmä	ˈtɑnssiˌryhmæ
hengästyä	ˈhengæsˌtyæ
ruiskusuolata	ˈruiskuˌsuolɑtɑ
kilowattituntimittari	ˈkiloˌwɑttiˌtuntiˌmittɑri
askartelu	ˈɑskɑrˌtelu
heijasteinen	ˈheijɑsˌteinen
kuumasinkitys	ˈkuumɑˌsinkitys
tyrskyaallokko	ˈtyrskyˌɑɑllokko
faasi	ˈfɑɑsi
anakonda	ˈɑnɑˌkondɑ
mäystin	ˈmæystin
piruuttaan	ˈpiruuttɑɑn
epäjohdonmukainen	ˈepæˌjohdonmuˌkɑinen
tahraamaton	ˈtɑhrɑɑˌmɑton
unohtua	ˈunohˌtuɑ
tessalonikalaiskirje	ˈtessɑˌlonikɑˌlɑiskirje
taidevalimo	ˈtɑideˌvɑlimo
lähetyssihteeri	ˈlæheˌtyssihˌteeri
läpinäkymättömyys	ˈlæpiˌnækyˌmættømyys
kahvipapu	ˈkɑhviˌpɑpu
leimakirves	ˈleimɑˌkirves
romista	ˈromistɑ
lieri	ˈlieri
sivustovastaava	ˈsivustoˌvɑstɑɑvɑ
runomitta	ˈrunoˌmittɑ
pesupulveri	ˈpesuˌpulveri
bulldoggi	ˈbulldoggi
järjestyslukusana	ˈjærjesˌtysluˌkusɑnɑ
hermottua	ˈhermotˌtuɑ
uimarakko	ˈuimɑˌrɑkko
mattimyöhäinen	ˈmɑttiˌmyøhæinen
joukkosiirto	ˈjoukkoˌsiirto
asialinja	ˈɑsiɑˌlinjɑ
lehtokurppa	ˈlehtoˌkurppɑ
kahlehtia	ˈkɑhlehˌtiɑ
kynsisieni	ˈkynsiˌsieni
videotaide	ˈvideoˌtɑide
myöntyväisyys	ˈmyøntyˌvæisyys
summaarisesti	ˈsummɑɑriˌsesti
valmistavasti	ˈvɑlmistɑˌvɑsti
makkarapala	ˈmɑkkɑˌrɑpɑlɑ
tiedelehti	ˈtiedeˌlehti
tuonnempaa	ˈtuonnempɑɑ
ainutlaatuisuus	ˈɑinutˌlɑɑtuisuus
lumikerros	ˈlumiˌkerros
hehkeys	ˈhehkeys
ohimennen	ˈohiˌmennen
korventua	ˈkorvenˌtuɑ
atavistinen	ˈɑtɑˌvistinen
käteismaksu	ˈkæteisˌmɑksu
vehnäkorppu	ˈvehnæˌkorppu
nimeke	ˈnimeke
lemmenjumala	ˈlemmenˌjumɑlɑ
puhelinvaihteenhoitaja	ˈpuhelinˌvɑihteenˌhoitɑjɑ
tehtäväkenttä	ˈtehtævæˌkenttæ
oppilaanohjaus	ˈoppiˌlɑɑnohˌjɑus
suomi	ˈsuomi
askelma	ˈɑskelmɑ
radiosuuntiminen	ˈrɑdioˌsuuntiˌminen
laji	ˈlɑji
tuonnempana	ˈtuonnemˌpɑnɑ
sielullisesti	ˈsielulliˌsesti
raihnainen	ˈrɑihnɑinen
pergamiinipaperi	ˈpergɑˌmiiniˌpɑperi
sepittäjä	ˈsepitˌtæjæ
tarkkailla	ˈtɑrkkɑillɑ
kiivailija	ˈkiivɑiˌlijɑ
kierrätyskuitu	ˈkierrætysˌkuitu
novellisti	ˈnovelˌlisti
puhelinkaapeli	ˈpuhelinˌkɑɑpeli
salpa	ˈsɑlpɑ
latinan kieli	ˈlɑtinɑnˈkieli
sinikettu	ˈsiniˌkettu
trilogia	ˈtriloˌgiɑ
moitteeton	ˈmoitteeton
varastoluettelo	ˈvɑrɑsˌtoluˌettelo
purjelauta	ˈpurjeˌlɑutɑ
pirskahdus	ˈpirskɑhdus
haluttava	ˈhɑlutˌtɑvɑ
etenemismuoto	ˈeteneˌmismuoto
maatuskanukke	ˈmɑɑtuskɑˌnukke
voimistella	ˈvoimisˌtellɑ
asfalttiasema	ˈɑsfɑltˌtiɑˌsemɑ
kengännumero	ˈkengænˌnumero
juoppous	ˈjuoppous
yltä päältä	ˈyltæˈpææltæ
uudisviljelys	ˈuudisˌviljelys
tölkkiolut	ˈtølkkiˌolut
dralon	ˈdrɑlon
sydänala	ˈsydæˌnɑlɑ
replika	ˈreplikɑ
polvekepisto	ˈpolvekeˌpisto
pestausraha	ˈpestɑˌusrɑhɑ
kammiovesi	ˈkɑmmiˌovesi
tunnottomasti	ˈtunnottoˌmɑsti
kiistakirjoitus	ˈkiistɑkirˌjoitus
leyhähdys	ˈleyhæhdys
pylvässänky	ˈpylvæsˌsænky
epäkohtelias	ˈepæˌkohteˌliɑs
arkittain	ˈɑrkittɑin
atomivoimala	ˈɑtomiˌvoimɑlɑ
auringonpalvoja	ˈɑurinˌgonpɑlˌvojɑ
mielenterveystyö	ˈmielenˌterveˌystyø
moodi	ˈmoodi
juupeli	ˈjuupeli
hoitovaste	ˈhoitoˌvɑste
etsinkuva	ˈetsinˌkuvɑ
tuppeuma	ˈtuppeumɑ
matkaeväs	ˈmɑtkɑˌevæs
ajatukseton	ˈɑjɑˌtukseton
huolehdinta	ˈhuolehˌdintɑ
raati	ˈrɑɑti
latausjännite	ˈlɑtɑˌusjænˌnite
säännöstelymääräys	ˈsæænnøsˌtelyˌmææræys
pintarouta	ˈpintɑˌroutɑ
kemiallisesti	ˈkemiˌɑlliˌsesti
jumalolento	ˈjumɑloˌlento
bändi	ˈbændi
haittatekijä	ˈhɑittɑˌtekijæ
sälähdys	ˈsælæhdys
esivaihe	ˈesiˌvɑihe
kiertotähti	ˈkiertoˌtæhti
ahkeruus	ˈɑhkeruus
sahateollisuus	ˈsɑhɑteˌollisuus
tieteiskirja	ˈtieteisˌkirjɑ
auttaja	ˈɑutˌtɑjɑ
primaarius	ˈprimɑɑˌrius
mäihä	ˈmæihæ
rakennusryhmä	ˈrɑkenˌnusryhmæ
kyntökilpailu	ˈkyntøkilˌpɑilu
privaatti	ˈprivɑɑtti
lellittely	ˈlellitˌtely
lainsäädäntöneuvos	ˈlɑinsææˌdæntøˌneuvos
merkkihenkilö	ˈmerkkiˌhenkilø
ruokatarvike	ˈruokɑˌtɑrvike
taitamattomuus	ˈtɑitɑˌmɑttomuus
ajanmukainen	ˈɑjɑnmuˌkɑinen
ote	ˈote
metsätalousteknikko	ˈmetsæˌtɑloˌustekˌnikko
ruuvailla	ˈruuvɑillɑ
tervehtää	ˈtervehtææ
oudonnäköinen	ˈoudonnæˌkøinen
toimeentuleva	ˈtoimeenˌtulevɑ
arkipäiväistyä	ˈɑrkiˌpæivæisˌtyæ
pienoiskuunnelma	ˈpienoisˌkuunnelmɑ
kääriintyä	ˈkææriinˌtyæ
käänteinen	ˈkæænteinen
illatiivi	ˈillɑˌtiivi
lemmenyö	ˈlemmenyø
kalahyppy	ˈkɑlɑˌhyppy
mausteseos	ˈmɑusˌteseos
brutaalius	ˈbrutɑɑˌlius
metsänhoito	ˈmetsænˌhoito
editio	ˈediˌtio
jumittaa	ˈjumittɑɑ
rekisterinpitäjä	ˈrekisteˌrinpiˌtæjæ
verijuotikas	ˈveriˌjuotikɑs
sukaatti	ˈsukɑɑtti
kentänvoimakkuus	ˈkentænˌvoimɑkkuus
joukkolähetys	ˈjoukˌkolæˌhetys
pelottomasti	ˈpelottoˌmɑsti
nesteytyä	ˈnesteyˌtyæ
villaröijy	ˈvillɑˌrøijy
aspartaami	ˈɑspɑrˌtɑɑmi
hempeämielinen	ˈhempeæˌmielinen
herkkusienikeitto	ˈherkkuˌsieniˌkeitto
kuolemankolari	ˈkuoleˌmɑnkoˌlɑri
radiologia	ˈrɑdiˌoloˌgiɑ
läksy	ˈlæksy
inkerikko	ˈinkeˌrikko
pintavika	ˈpintɑˌvikɑ
kauluskäänne	ˈkɑulusˌkæænne
lipasto	ˈlipɑsto
astelu	ˈɑstelu
syöpötellä	ˈsyøpøˌtellæ
parsi	ˈpɑrsi
puolinaisuus	ˈpuoliˌnɑisuus
myski	ˈmyski
meinata	ˈmeinɑtɑ
loistavasti	ˈloistɑˌvɑsti
hartiahuivi	ˈhɑrtiɑˌhuivi
systeeminsuunnittelija	ˈsysteeminˌsuunnitˌtelijɑ
neljäkäs	ˈneljækæs
öljypohja	ˈøljyˌpohjɑ
tuolleen	ˈtuolleen
uupumattomuus	ˈuupuˌmɑttomuus
jyrkentyä	ˈjyrkenˌtyæ
ripsinen	ˈripsinen
röyhistys	ˈrøyhistys
kahdeksikko	ˈkɑhdekˌsikko
redusoida	ˈreduˌsoidɑ
eteentaivutus	ˈeteenˌtɑivutus
laikkupintainen	ˈlɑikkupinˌtɑinen
maailmanperintöluettelo	ˈmɑɑilˌmɑnpeˌrintøluˌettelo
milloinkin	ˈmilloinkin
järripeippo	ˈjærriˌpeippo
tervehenkinen	ˈterveˌhenkinen
keitos	ˈkeitos
adsorboida	ˈɑdsorˌboidɑ
suojata	ˈsuojɑtɑ
hunningolla	ˈhunninˌgollɑ
ukkoikä	ˈukkoikæ
viekas	ˈviekɑs
reagointi	ˈreɑˌgointi
ulkokierre	ˈulkoˌkierre
mongerrus	ˈmongerrus
remontointi	ˈremonˌtointi
öljyvaranto	ˈøljyvɑˌrɑnto
viskoosinen	ˈviskooˌsinen
agnostisismi	ˈɑgnostiˌsismi
ankkurointi	ˈɑnkkuˌrointi
kyhnyttää	ˈkyhnyttææ
koukkupyynti	ˈkoukkuˌpyynti
rusehtava	ˈrusehˌtɑvɑ
kovametalli	ˈkovɑmeˌtɑlli
koettaa	ˈkoettɑɑ
olutteltta	ˈolutˌtelttɑ
mulatti	ˈmulɑtti
hiukka	ˈhiukkɑ
aivohermo	ˈɑivoˌhermo
tuppukylä	ˈtuppuˌkylæ
puoluekokous	ˈpuoluˌekoˌkous
uutistenlukija	ˈuutisˌtenluˌkijɑ
eksplisiittisesti	ˈekspliˌsiittiˌsesti
sivuhuomautus	ˈsivuˌhuomɑutus
paranoia	ˈpɑrɑˌnoiɑ
käännynnäinen	ˈkæænnynˌnæinen
organisoida	ˈorgɑniˌsoidɑ
seisottaa	ˈseisottɑɑ
savipohja	ˈsɑviˌpohjɑ
suuntavaikutelma	ˈsuuntɑˌvɑikuˌtelmɑ
nukenvaate	ˈnukenˌvɑɑte
sulittaa	ˈsulittɑɑ
visautua	ˈvisɑuˌtuɑ
kikpapu	ˈkikpɑpu
ruuhka-alue	ˈruuhkɑɑˌlue
kaunopuheinen	ˈkɑunopuˌheinen
hapattaa	ˈhɑpɑttɑɑ
käyrädiagrammi	ˈkæyræˌdiɑˌgrɑmmi
tutkimusmatkailija	ˈtutkiˌmusmɑtˌkɑilijɑ
kanervikko	ˈkɑnerˌvikko
puija	ˈpuijɑ
polveilla	ˈpolveillɑ
niinipuu	ˈniinipuu
polla	ˈpollɑ
epävapaa	ˈepæˌvɑpɑɑ
nuoruus	ˈnuoruus
asutustoiminta	ˈɑsutusˌtoimintɑ
alemmuuskompleksi	ˈɑlemˌmuuskomˌpleksi
kouruuntua	ˈkouruunˌtuɑ
sekoitevilla	ˈsekoiteˌvillɑ
tehdasmaistua	ˈtehdɑsˌmɑistuɑ
laavajärvi	ˈlɑɑvɑˌjærvi
identiteetti	ˈidentiˌteetti
nivelreuma	ˈnivelˌreumɑ
säännöttää	ˈsæænnøttææ
hammastahna	ˈhɑmmɑsˌtɑhnɑ
top	top
mittasakset	ˈmittɑˌsɑkset
pidätin	ˈpidætin
maailmallinen	ˈmɑɑilˌmɑllinen
käsipakka	ˈkæsiˌpɑkkɑ
helppous	ˈhelppous
taituri	ˈtɑituri
kerjuusauva	ˈkerjuuˌsɑuvɑ
muoti-	ˈmuoti
laivalaituri	ˈlɑivɑˌlɑituri
itsepetos	ˈitseˌpetos
suokasvi	ˈsuokɑsvi
karsintakilpailu	ˈkɑrsintɑˌkilpɑilu
röntgentutkimus	ˈrøntgenˌtutkimus
nulju	ˈnulju
kruununtila	ˈkruununˌtilɑ
naamiaisasu	ˈnɑɑmiˌɑisɑsu
tosioleva	ˈtosiˌolevɑ
arvata	ˈɑrvɑtɑ
höyläytyä	ˈhøylæyˌtyæ
paituli	ˈpɑituli
osa	ˈosɑ
pinsetit	ˈpinsetit
kipeästi	ˈkipeˌæsti
dementti	ˈdementti
metelöinti	ˈmeteˌløinti
erityisasema	ˈeriˌtyisɑˌsemɑ
ennakointi	ˈennɑˌkointi
perunamuusi	ˈperunɑˌmuusi
kato	ˈkɑto
järki-ihminen	ˈjærkiihˌminen
botanisti	ˈbotɑˌnisti
sekahedelmäkeitto	ˈsekɑheˌdelmæˌkeitto
karnevaaliaika	ˈkɑrneˌvɑɑliˌɑikɑ
liikunnanohjaus	ˈliikunnɑˌnohjɑus
itkupilli	ˈitkuˌpilli
sydämeenkäypä	ˈsydæˌmeenkæypæ
seinäalmanakka	ˈseinæˌɑlmɑˌnɑkkɑ
kuitukimppu	ˈkuituˌkimppu
videoelokuva	ˈvideˌoeˌlokuvɑ
polaarinen	ˈpolɑɑˌrinen
syyläjuuri	ˈsyylæˌjuuri
pajunkissa	ˈpɑjunˌkissɑ
viisipiikkinen	ˈviisiˌpiikkinen
bensiiniasema	ˈbensiiˌniɑˌsemɑ
sijoittelu	ˈsijoitˌtelu
päätyseinä	ˈpæætyˌseinæ
kieroontua	ˈkieroonˌtuɑ
opintovapaa	ˈopinˌtovɑpɑɑ
tekoäly	ˈtekoˌæly
viinabasso	ˈviinɑˌbɑsso
yleissävy	ˈyleisˌsævy
fosforilannoite	ˈfosforiˌlɑnnoite
röhöttää	ˈrøhøttææ
organisoitua	ˈorgɑniˌsoituɑ
mullistus	ˈmullistus
rajakkainen	ˈrɑjɑkˌkɑinen
mykkyys	ˈmykkyys
tuontikielto	ˈtuontiˌkielto
käpysuomu	ˈkæpyˌsuomu
lehmänpolku	ˈlehmænˌpolku
kouludemokratia	ˈkouluˌdemoˌkrɑtiɑ
vaistonvaraisesti	ˈvɑistonvɑˌrɑisesti
dekki	ˈdekki
hännänheilutus	ˈhænnænˌheilutus
kylpytakki	ˈkylpyˌtɑkki
taksonomia	ˈtɑksoˌnomiɑ
kipsijäljennös	ˈkipsiˌjæljennøs
yksilevyinen	ˈyksileˌvyinen
silkkisametti	ˈsilkkisɑˌmetti
kahvinporo	ˈkɑhvinˌporo
hurjastella	ˈhurjɑsˌtellɑ
kohaus	ˈkohɑus
horisontaalitaso	ˈhorisonˌtɑɑliˌtɑso
pilajuttu	ˈpilɑˌjuttu
vääjäämätön	ˈvææjææˌmætøn
ensiviulu	ˈensiˌviulu
väännyksissä	ˈvæænnykˌsissæ
lenko	ˈlenko
synodaalikokous	ˈsynoˌdɑɑliˌkokous
barokkiaika	ˈbɑrokkiˌɑikɑ
otsahius	ˈotsɑˌhius
tiirikoida	ˈtiiriˌkoidɑ
skientismi	ˈskientismi
yhdistys	ˈyhdistys
attasea	ˈɑttɑˌseɑ
palveluskunta	ˈpɑlveˌluskuntɑ
väsymisilmiö	ˈvæsymiˌsilmiø
alaikäraja	ˈɑlɑiˌkærɑjɑ
heittouistin	ˈheittouistin
skannata	ˈskɑnnɑtɑ
vihkikuva	ˈvihkiˌkuvɑ
herttaisesti	ˈherttɑiˌsesti
kenttävoimakkuus	ˈkenttæˌvoimɑkkuus
lämpökemia	ˈlæmpøˌkemiɑ
junaemäntä	ˈjunɑeˌmæntæ
verotuskohde	ˈveroˌtuskohde
tutkiva	ˈtutkivɑ
silkinpehmeä	ˈsilkinˌpehmeæ
säteilytysannos	ˈsæteiˌlytyˌsɑnnos
suuruus	ˈsuuruus
laskos	ˈlɑskos
syöpäläinen	ˈsyøpæˌlæinen
leuhkasti	ˈleuhˌkɑsti
mehuinen	ˈmehuinen
ikkunantiiviste	ˈikkunɑnˌtiiviste
höpsistä	ˈhøpsistæ
aksiomaattinen	ˈɑksioˌmɑɑttinen
pahiten	ˈpɑhiten
äänialue	ˈææniˌɑlue
matkallelähtö	ˈmɑtkɑlleˌlæhtø
muukalaisuus	ˈmuukɑˌlɑisuus
kaasuputki	ˈkɑɑsuˌputki
näyteikkunaostos	ˈnæyteikˌkunɑˌostos
pulttikiinnitys	ˈpulttiˌkiinnitys
viivasto	ˈviivɑsto
liitu	ˈliitu
alla	ˈɑllɑ
projektiorganisaatio	ˈprojektiˌorgɑniˌsɑɑtio
maaliton	ˈmɑɑliton
tomu	ˈtomu
hymistä	ˈhymistæ
apulais-	ˈɑpulɑis
tyrnimehu	ˈtyrniˌmehu
nippulauttaus	ˈnippulɑˌuttɑus
infraääni	ˈinfrɑˌææni
juottotina	ˈjuottoˌtinɑ
kiehunta	ˈkiehuntɑ
syyspimeä	ˈsyyspiˌmeæ
hukuksissa	ˈhukukˌsissɑ
kuplia	ˈkupliɑ
pyriitti	ˈpyriitti
muuttumattomuus	ˈmuuttuˌmɑttomuus
vesinen	ˈvesinen
revolutionisti	ˈrevoˌlutioˌnisti
yhteiskunnallistaa	ˈyhteisˌkunnɑlˌlistɑɑ
kyllä	ˈkyllæ
täristys	ˈtæristys
apulaisoikeusasiamies	ˈɑpuˌlɑisoiˌkeusɑˌsiɑmies
isopurje	ˈisoˌpurje
pakkotoimi	ˈpɑkkoˌtoimi
karibu	ˈkɑribu
lihoa	ˈlihoɑ
diletantti	ˈdileˌtɑntti
höyry	ˈhøyry
hyveellisyys	ˈhyveelˌlisyys
prinssimakkara	ˈprinssiˌmɑkkɑrɑ
eksponenttifunktio	ˈekspoˌnenttiˌfunktio
läikyntä	ˈlæikyntæ
sytkäri	ˈsytkæri
kiinnike	ˈkiinnike
rokahtua	ˈrokɑhˌtuɑ
liettyä	ˈliettyæ
vetoliike	ˈvetoˌliike
työkalulaatikko	ˈtyøkɑluˌlɑɑtikko
huuhtoja	ˈhuuhtojɑ
seppeleensitojaiset	ˈseppeˌleensitoˌjɑiset
ministeristö	ˈministeˌristø
kotiinpäin	ˈkotiinpæin
teikata	ˈteikɑtɑ
heiluriliikenne	ˈheiluriˌliikenne
maanraja	ˈmɑɑnrɑjɑ
kakku	ˈkɑkku
kalvosin	ˈkɑlvosin
pippurikasvi	ˈpippuriˌkɑsvi
varpajaiset	ˈvɑrpɑˌjɑiset
rinnastua	ˈrinnɑsˌtuɑ
himmennin	ˈhimmennin
formalistinen	ˈformɑˌlistinen
jyskyttää	ˈjyskyttææ
sairaala	ˈsɑirɑɑlɑ
kulttuuripääkaupunki	ˈkulttuuriˌpæækɑuˌpunki
muistojumalanpalvelus	ˈmuistoˌjumɑˌlɑnpɑlˌvelus
harkinnanvarainen	ˈhɑrkinˌnɑnvɑˌrɑinen
ratifioimisasiakirja	ˈrɑtifiˌoimiˌsɑsiɑˌkirjɑ
rivittäin	ˈrivittæin
antura	ˈɑnturɑ
rahanahne	ˈrɑhɑˌnɑhne
terveysoppi	ˈterveyˌsoppi
puhdistusjauhe	ˈpuhdistusˌjɑuhe
spasmi	ˈspɑsmi
reagoida	ˈreɑˌgoidɑ
autoteollisuus	ˈɑutoteˌollisuus
omakustanne	ˈomɑˌkustɑnne
kurkkusalaatti	ˈkurkkusɑˌlɑɑtti
säästölinja	ˈsææstøˌlinjɑ
glaseerata	ˈglɑseeˌrɑtɑ
nanosekunti	ˈnɑnoseˌkunti
lipsahdella	ˈlipsɑhˌdellɑ
paikallistie	ˈpɑikɑlˌlistie
magneettivoimaviiva	ˈmɑgneettiˌvoimɑˌviivɑ
lihottaa	ˈlihottɑɑ
summa	ˈsummɑ
kynänterä	ˈkynænˌteræ
toistotyö	ˈtoistotyø
defekti	ˈdefekti
tähtikuvio	ˈtæhtiˌkuvio
luonnonheinä	ˈluonnonˌheinæ
parittaa	ˈpɑrittɑɑ
kiemurainen	ˈkiemuˌrɑinen
tukkumyynti	ˈtukkuˌmyynti
rokonarpi	ˈrokoˌnɑrpi
keiholehti	ˈkeihoˌlehti
kuitu	ˈkuitu
muuttuja	ˈmuuttujɑ
samanhintainen	ˈsɑmɑnhinˌtɑinen
sankaritar	ˈsɑnkɑˌritɑr
torjuva	ˈtorjuvɑ
letkeys	ˈletkeys
tulitikkutehdas	ˈtuliˌtikkuˌtehdɑs
tirehtööri	ˈtirehˌtøøri
nimikkohevonen	ˈnimikˌkoheˌvonen
sahanterä	ˈsɑhɑnˌteræ
imettäjä	ˈimetˌtæjæ
jyrkkäpiirteinen	ˈjyrkkæˌpiirteinen
hupaisasti	ˈhupɑiˌsɑsti
tykitys	ˈtykitys
päällystä	ˈpæællystæ
teloilta	ˈteloiltɑ
paloluukku	ˈpɑloˌluukku
liikenteenjakaja	ˈliikenˌteenjɑˌkɑjɑ
nilkkapituinen	ˈnilkkɑpiˌtuinen
kermanvalkoinen	ˈkermɑnvɑlˌkoinen
riistanistutus	ˈriistɑˌnistutus
annostelupumppu	ˈɑnnosˌteluˌpumppu
koordinoija	ˈkoordiˌnoijɑ
rikosetsivä	ˈrikoˌsetsivæ
kuuromykkyys	ˈkuuroˌmykkyys
raivokkuus	ˈrɑivokkuus
ulkohankain	ˈulkoˌhɑnkɑin
tarpeettomuus	ˈtɑrpeetˌtomuus
epäilyttävyys	ˈepæiˌlyttævyys
sinkoilla	ˈsinkoillɑ
rapajuoppo	ˈrɑpɑˌjuoppo
alkukirkko	ˈɑlkuˌkirkko
käyttötunti	ˈkæyttøˌtunti
köpitellä	ˈkøpiˌtellæ
vedenkestävä	ˈvedenˌkestævæ
syrjäytys	ˈsyrjæytys
rakastella	ˈrɑkɑsˌtellɑ
takavyöheitto	ˈtɑkɑˌvyøheitto
ihmeellisyys	ˈihmeelˌlisyys
liotus	ˈliotus
puhallutus	ˈpuhɑlˌlutus
lojahtaa	ˈlojɑhtɑɑ
tarkkuus	ˈtɑrkkuus
tiputtaa	ˈtiputtɑɑ
kaksinaamainen	ˈkɑksiˌnɑɑmɑinen
piilokärki	ˈpiiloˌkærki
killitellä	ˈkilliˌtellæ
palovakuutus	ˈpɑlovɑˌkuutus
nokkeluus	ˈnokkeluus
keskemmäs	ˈkeskemmæs
lisäkustannus	ˈlisæˌkustɑnnus
määräaikaishuolto	ˈmææræˌɑikɑisˌhuolto
neuvottelukunta	ˈneuvotˌteluˌkuntɑ
metsuri	ˈmetsuri
luonnonilmiö	ˈluonnoˌnilmiø
keplottelu	ˈkeplotˌtelu
kulttuurivaikutus	ˈkulttuuriˌvɑikutus
haipua	ˈhɑipuɑ
suute	ˈsuute
väliaste	ˈvæliˌɑste
päättäjäisistunto	ˈpæættæˌjæisisˌtunto
playboy	ˈplɑyˌboy
silmänpalvoja	ˈsilmænˌpɑlvojɑ
kultanahka	ˈkultɑˌnɑhkɑ
jäntevästi	ˈjænteˌvæsti
kalapaikka	ˈkɑlɑˌpɑikkɑ
vauvaikä	ˈvɑuvɑikæ
surku	ˈsurku
tienpenger	ˈtienpenger
omiste	ˈomiste
parittainen	ˈpɑritˌtɑinen
hammastanko	ˈhɑmmɑsˌtɑnko
rannikkolaivuri	ˈrɑnnikkoˌlɑivuri
fanaatikko	ˈfɑnɑɑˌtikko
hyväntuulinen	ˈhyvænˌtuulinen
kaksoiskupera	ˈkɑksoisˌkuperɑ
munuaiskivi	ˈmunuˌɑiskivi
intiimiys	ˈintiiˌmiys
tahdoton	ˈtɑhdoton
murikka	ˈmurikkɑ
perussana	ˈperusˌsɑnɑ
vihantalannoitus	ˈvihɑntɑˌlɑnnoitus
itsensäpaljastaminen	ˈitsensæˌpɑljɑsˌtɑminen
pituusmitta	ˈpituusˌmittɑ
epämuotoinen	ˈepæˌmuotoinen
kurssiero	ˈkurssiero
pohjoisosa	ˈpohjoiˌsosɑ
kunniaton	ˈkunniˌɑton
yllätyksellisesti	ˈyllæˌtykselliˌsesti
riipputeline	ˈriippuˌteline
suihkuallas	ˈsuihkuˌɑllɑs
paikallismurre	ˈpɑikɑlˌlismurre
kohtuudenmukainen	ˈkohtuuˌdenmuˌkɑinen
mitenkään	ˈmitenkææn
poutajakso	ˈpoutɑˌjɑkso
efesolaiskirje	ˈefesoˌlɑiskirje
kokoaja	ˈkokoˌɑjɑ
sedimentti	ˈsediˌmentti
aniliini	ˈɑniˌliini
liikahtaa	ˈliikɑhtɑɑ
eläinkanta	ˈelæinˌkɑntɑ
syntivelka	ˈsyntiˌvelkɑ
kiinnostus	ˈkiinnostus
seitsemänlainen	ˈseitsemænˌlɑinen
lohkopinta	ˈlohkoˌpintɑ
haitek	ˈhɑitek
pohjemmalla	ˈpohjemˌmɑllɑ
kulloinenkin	ˈkulloiˌnenkin
nelitoistavuotias	ˈneliˌtoistɑˌvuotiɑs
voittovarat	ˈvoittoˌvɑrɑt
lampaanlapahiha	ˈlɑmpɑɑnˌlɑpɑˌhihɑ
diplomatia	ˈdiploˌmɑtiɑ
selikkäin	ˈselikkæin
huolinta	ˈhuolintɑ
leimaaja	ˈleimɑɑjɑ
täyskorjaus	ˈtæysˌkorjɑus
viisirivinen	ˈviisiˌrivinen
karista	ˈkɑristɑ
epäsuora	ˈepæˌsuorɑ
täyteaine	ˈtæyteˌɑine
käsityönopettaja	ˈkæsiˌtyønoˌpettɑjɑ
heinäväki	ˈheinæˌvæki
kuolemansäde	ˈkuoleˌmɑnsæde
sipinä	ˈsipinæ
savimaa	ˈsɑvimɑɑ
ratakierros	ˈrɑtɑˌkierros
huvitoimikunta	ˈhuviˌtoimiˌkuntɑ
riidellä	ˈriidellæ
metka	ˈmetkɑ
tabletti	ˈtɑbletti
rannempana	ˈrɑnnemˌpɑnɑ
uushopeinen	ˈuushoˌpeinen
dalai-lama	ˈdɑlɑiˌlɑmɑ
laakerikasvi	ˈlɑɑkeriˌkɑsvi
ääliömäisyys	ˈææliøˌmæisyys
kertosäe	ˈkertoˌsæe
itsenäisyyspäivä	ˈitseˌnæisyysˌpæivæ
vaatimattomuus	ˈvɑɑtiˌmɑttomuus
laulelma	ˈlɑulelmɑ
sivuilmiö	ˈsivuilˌmiø
voimaperäisesti	ˈvoimɑpeˌræisesti
painotus	ˈpɑinotus
hyväsydämisesti	ˈhyvæˌsydæmiˌsesti
piilotyöttömyys	ˈpiiloˌtyøttømyys
kuilu	ˈkuilu
metsätila	ˈmetsæˌtilɑ
kangastella	ˈkɑngɑsˌtellɑ
midiliitäntä	ˈmidiˌliitæntæ
palettiveitsi	ˈpɑlettiˌveitsi
sydäntauti	ˈsydænˌtɑuti
räkäkänni	ˈrækæˌkænni
häirintä	ˈhæirintæ
devalvointi	ˈdevɑlˌvointi
kieliyhteisö	ˈkieliyhˌteisø
hintaindeksi	ˈhintɑinˌdeksi
itsehoitolääke	ˈitseˌhoitoˌlææke
resitaatio	ˈresiˌtɑɑtio
anoppimuori	ˈɑnoppiˌmuori
halvaus	ˈhɑlvɑus
kuutiometreittäin	ˈkuutioˌmetreittæin
kautta	ˈkɑuttɑ
metriikka	ˈmetriikkɑ
liikepankki	ˈliikeˌpɑnkki
tasa-arvoasia	ˈtɑsɑɑrˌvoɑˌsiɑ
viiri	ˈviiri
ensiarvoinen	ˈensiɑrˌvoinen
hyytelöityä	ˈhyyteˌløityæ
maailmanensi-ilta	ˈmɑɑilmɑˌnensiiltɑ
taidesalonki	ˈtɑidesɑˌlonki
ääneen	ˈææneen
esillä	ˈesillæ
lobbailla	ˈlobbɑillɑ
hyökkäyskäsky	ˈhyøkkæˌyskæsky
karenssi	ˈkɑrenssi
kohdentaa	ˈkohdentɑɑ
