atiduodančiosioms	ɐtʲɪduɔdɐnʲtʲʃʲosʲoms
stebintieji	sʲtʲæːbʲɪnʲtʲjɛjɪ
žiūrinčias	ʒʲuːrʲɪnʲtʲʃʲɛs
vaistais	ʋaːjstɐjs
mįslingos	mʲiːsʲlʲɪnɡos
šypsena	ʃʲiːpʲsʲɛnɐ
žvaigždiškesniam	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲæːm
estiškuoju	ɛsʲtʲɪʃkʊojʊ
nebeprisikiškiakopūsteliaudavusiosiomis	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊdɐʋʊsʲosʲomʲɪs
sapnuodavusiajame	sɐpnuɔdɐʋʊsʲɛjɛmʲɛ
duodančiu	duɔdɐnʲtʲʃʲʊ
mylėjusioms	mʲiːlʲeːjʊsʲoms
bedieviškesniais	bʲɛdʲjɛʋʲɪʃʲkʲɛsʲnʲɛjs
turėdavusiuosius	tʊrʲeːdɐʋʊsʲʊosʲʊs
blogame	bloɡɐmʲɛ
slovėnišku	sloʋʲeːnʲɪʃkʊ
turėtinas	tʊrʲeːtʲɪnɐs
duodavusiųjų	duɔdɐʋʊsʲuːjuː
sapnuodavusiuosius	sɐpnuɔdɐʋʊsʲʊosʲʊs
rumuniškuose	rʊmʊnʲɪʃkʊosʲɛ
iškalbiausiuose	ɪʃkɐlbʲæːʊsʲʊosʲɛ
smulkmeniškiausio	smʊlʲkʲmʲɛnʲɪʃʲkʲæːʊsʲo
ejakuliavusiesiems	ɛjɛkʊlʲæːʋʊsʲjɛsʲjɛms
kalbėsiančioms	kɐlbʲeːsʲɛnʲtʲʃʲoms
meniškesne	mʲɛnʲɪʃʲkʲɛsʲnʲɛ
ugningesnė	ʊɡʲnʲɪnʲɡʲɛsʲnʲeː
izotopams	ɪzotopɐms
netvarkingaisiais	nʲɛtʋɐɾʲkʲɪnɡɐjsʲɛjs
lietuviškuoju	lʲjɛtʊʋʲɪʃkʊojʊ
mįslingojo	mʲiːsʲlʲɪnɡojo
daniškose	daːnʲɪʃkosʲɛ
pornografiškosiomis	pornoɡraːfʲɪʃkosʲomʲɪs
mįslingesniosioms	mʲiːsʲlʲɪnʲɡʲɛsʲnʲoːsʲoms
slovakiškus	sloʋaːkʲɪʃkʊs
lytinėmis	lʲiːtʲɪnʲeːmʲɪs
erotiškąja	ɛɾotʲɪʃkaːjɛ
tave	tɐʋʲɛ
pornografiškos	pornoɡraːfʲɪʃkos
saugiojo	sɐuɡʲojo
orchidėja	oɾʲxʲɪdʲeːjɐ
haliucinavusiais	hɐlʲʊtʲsʲɪnaːʋʊsʲɛjs
laukimas	lɐʊkʲɪmɐs
dieviškesniajam	dʲjɛʋʲɪʃʲkʲɛsʲnʲæːjɛm
blogiausiame	bloɡʲæːʊsʲɛmʲɛ
daniško	daːnʲɪʃko
estiškais	ɛsʲtʲɪʃkɐjs
haliucinuodavote	hɐlʲʊtʲsʲɪnuodɐʋotʲɛ
lietuviškosiomis	lʲjɛtʊʋʲɪʃkosʲomʲɪs
paslaptingesnįjį	pɐslɐptʲɪnʲɡʲɛsʲnʲiːjiː
duodančiosiomis	duɔdɐnʲtʲʃʲosʲomʲɪs
bėgančiuosiuose	bʲeːɡɐnʲtʲʃʲʊosʲʊosʲɛ
haliucinavusiaisiais	hɐlʲʊtʲsʲɪnaːʋʊsʲɛjsʲɛjs
tvarkingesniojo	tʋɐɾʲkʲɪnʲɡʲɛsʲnʲojo
kalbios	kɐlbʲoːs
kalbėsiančiosiose	kɐlbʲeːsʲɛnʲtʲʃʲosʲosʲɛ
gražiausiame	ɡɾɐʒʲæːʊsʲɛmʲɛ
gražesnių	ɡɾɐʒʲɛsʲnʲuː
anos	ɐnos
žvaigždūnėmis	ʒʋɐjɡʒduːnʲeːmʲɪs
meniškesniąją	mʲɛnʲɪʃʲkʲɛsʲnʲæːjæː
duosite	duɔsʲɪtʲɛ
šokančioji	ʃoːkɐnʲtʲʃʲojɪ
abejingesnį	ɐbʲɛjɪnɡʲɛsʲnʲiː
balčiausiuoju	bɐlʲtʲʃʲæːʊsʲʊojʊ
turėjusią	tʊrʲeːjʊsʲæː
įdomioje	iːdomʲojɛ
prielipų	pʲrʲiɛlʲɪpuː
dieviškojoje	dʲjɛʋʲɪʃkojojɛ
galinčioje	ɡaːlʲɪnʲtʲʃʲojɛ
iškalbiausio	ɪʃkɐlbʲæːʊsʲo
bedieviškiausiąjį	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲæːjiː
tarną	tɐrnaː
paslaptingoje	pɐslɐptʲɪnɡojɛ
įspūdingesniame	iːspuːdʲɪnʲɡʲɛsʲnʲɛmʲɛ
klaidingesnės	klɐjdʲɪnʲɡʲɛsʲnʲeːs
nebeprisikiškiakopūsteliavusio	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲo
klaidingesniojo	klɐjdʲɪnʲɡʲɛsʲnʲojo
atkeliaujančiosios	ɐtkʲɛlʲæʊjɛnʲtʲʃʲosʲos
paupiniame	pɐʊpʲɪnʲɛmʲɛ
kalbėsiančiąsias	kɐlbʲeːsʲɛnʲtʲʃʲæsʲɛs
sapnavę	sɐpnaːʋʲæː
degu	dʲɛɡʊ
rusiškasis	rʊsʲɪʃkɐsʲɪs
orgiškiausiąjį	orʲɡʲɪʃʲkʲæːʊsʲæːjiː
vaizdingiausiuosius	ʋɐjzʲdʲɪnʲɡʲæːʊsʲʊosʲʊs
kalbančiąsias	kɐlbɐnʲtʲʃʲæsʲɛs
gilesnėje	ɡʲɪlʲɛsʲnʲeːjɛ
turėdavusiaisiais	tʊrʲeːdɐʋʊsʲɛjsʲɛjs
asmeniniuose	ɐsʲmʲɛnʲɪnʲʊosʲɛ
pusaklę	pʊsɐkʲlʲæː
pusaklės	pʊsɐkʲlʲeːs
gilesnį	ɡʲɪlʲɛsʲnʲiː
liūtuku	lʲuːtʊkʊ
esančiosios	ɛsɐnʲtʲʃʲosʲos
erotiškojoje	ɛɾotʲɪʃkojojɛ
tylinčioje	tʲiːlʲɪnʲtʲʃʲojɛ
valgantiems	ʋaːlɡɐnʲtʲjɛms
siuvantis	sʲʊʋɐnʲtʲɪs
duodantys	duɔdɐnʲtʲiːs
varlių	vɐɾʲlʲuː
abejingesnėse	ɐbʲɛjɪnɡʲɛsʲnʲeːsʲɛ
slovakiškojo	sloʋaːkʲɪʃkojo
švelniajam	ʃʲʋʲɛlnʲæːjɛm
paslaptingose	pɐslɐptʲɪnɡosʲɛ
nuodingą	nuɔdʲɪnɡaː
tvarkingiausiosiomis	tʋɐɾʲkʲɪnʲɡæːʊsʲosʲomʲɪs
pornografiškesniems	pornoɡrɐfʲɪʃʲkʲɛsʲnʲjɛms
čekiškosioms	tʲʃʲɛkʲɪʃkosʲoms
haliucinuojančiajame	hɐlʲʊtʲsʲɪnuojɛnʲtʲʃʲɛjɛmʲɛ
latviškoji	laːtʲʋʲɪʃkojɪ
nebeprisikiškiakopūsteliavusiosiose	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲosʲosʲɛ
ugningi	ʊɡʲnʲɪnʲɡʲɪ
tylinčiųjų	tʲiːlʲɪnʲtʲʃʲuːjuː
kelionė	kɛlʲoːneː
meniškajam	mʲæːnʲɪʃkɐjɛm
pornografiškajam	pornoɡraːfʲɪʃkɐjɛm
meniškesnėse	mʲɛnʲɪʃʲkʲɛsʲnʲeːsʲɛ
būsiančiųjų	busʲɛnʲtʲʃʲuːjuː
žvaigždininkas	ʒʋɐjɡʲʒʲdʲɪnʲɪnkɐs
atkeliaujančia	ɐtkʲɛlʲæʊjɛnʲtʲʃʲɛ
svastiką	sʋaːsʲtʲɪkaː
kalnyno	kɐlʲnʲiːno
nuodingąją	nuɔdʲɪnɡaːjæː
airija	ajrʲɪjɛ
bėgančiai	bʲeːɡɐnʲtʲʃʲɛj
kapšeliui	kɐpʲʃʲæːlʲʊɪ
nebeprisikiškiakopūsteliausiančiaisiais	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊsʲɛnʲtʲʃʲɛjsʲɛjs
esame	æːsɐmʲɛ
įduosiančiuosiuose	iːduɔsʲɛnʲtʲʃʲʊosʲʊosʲɛ
abejingesnėms	ɐbʲɛjɪnɡʲɛsʲnʲeːms
įspūdingesniuose	iːspuːdʲɪnʲɡʲɛsʲnʲʊosʲɛ
meni	mʲɛnʲɪ
žvaigždiškesni	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲɪ
žmoniškesniuosius	ʒmonʲɪʃʲkʲɛsʲnʲuɔsʲʊs
žiūrinčiuosiuose	ʒʲuːrʲɪnʲtʲʃʲʊosʲʊosʲɛ
lytiniu	lʲiːtʲɪnʲʊ
nebeprisikiškiakopūsteliaujančius	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲʊs
žmoniškiausiais	ʒmonʲɪʃʲkʲæːʊsʲɛjs
nuduosiančiuosiuose	nʊduɔsʲɛnʲtʲʃʲʊosʲʊosʲɛ
šiknalaižiai	ʃʲɪknɐlɐjʒʲɛj
netvarkingesniuosius	nʲɛtʋɐɾʲkʲɪnʲɡʲɛsʲnʲuɔsʲʊs
liūtukuose	lʲuːtʊkʊosʲɛ
smulkmeniškesniąja	smʊlʲkʲmʲɛnʲɪʃʲkʲɛsʲnʲæːjɛ
prancūziškaisiais	prɐntsuːzʲɪʃkɐjsʲɛjs
ypatingesniaisiais	iːpɐtʲɪnʲɡʲɛsʲnʲɛjsʲɛjs
įspūdingiausius	iːspuːdʲɪnʲɡʲæːʊsʲʊs
turkiškų	tʊrʲkʲɪʃkuː
nuduosiančia	nʊduɔsʲɛnʲtʲʃʲɛ
orgiškesniaisiais	orʲɡʲɪʃʲkʲɛsʲnʲɛjsʲɛjs
šiknarankiai	ʃʲɪknɐɾɐnʲkʲɛj
ugningumus	ʊɡʲnʲɪnɡʊmʊs
įdomioms	iːdomʲoːms
bėgdavusiosios	bʲeːɡdɐʋʊsʲosʲos
žvaigždiškiausiojo	ʒʋɐjɡʲʒʲdʲɪʃʲkʲæːʊsʲojo
pornografines	poɾnoɡɾaːfʲɪnʲɛs
erotiškesnė	ɛɾotʲɪʃʲkʲɛsʲnʲeː
mįslingosios	mʲiːsʲlʲɪnɡosʲos
įkalbėti	iːkɐlʲbʲeːtʲɪ
ejakuliuodavusias	ɛjɛkʊlʲuodɐʋʊsʲɛs
albaniškosioms	ɐlbaːnʲɪʃkosʲoms
išnaudotojus	ɪʃnɐʊdoːtojʊs
šokusiojo	ʃoːkʊsʲojo
mylinčių	mʲiːlʲɪnʲtʲʃʲuː
žvaigždiškesniais	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲɛjs
žmogiškiausiajam	ʒmoɡʲɪʃʲkʲæːʊsʲɛjɛm
ypatingais	iːpɐtʲɪŋɡɐjs
vengriškosiomis	ʋʲɛnʲɡʲrʲɪʃkosʲomʲɪs
paslaptingiausi	pɐslɐptʲɪnʲɡʲæːʊsʲɪ
minti	mʲɪnʲtʲɪ
paslaptingesnes	pɐslɐptʲɪnʲɡʲɛsʲnʲɛs
stuburams	stʊbʊɾaːms
žmogiškumas	ʒmoɡʲɪʃkʊmɐs
rojaliui	ɾojæːlʲʊɪ
įspūdingiausiaisiais	iːspuːdʲɪnʲɡʲæːʊsʲɛjsʲɛjs
ejakuliuodavusiai	ɛjɛkʊlʲuodɐʋʊsʲɛj
dieviškiausiais	dʲjɛʋʲɪʃʲkʲæːʊsʲɛjs
bėgdavusiąja	bʲeːɡdɐʋʊsʲæːjɛ
graikiškajai	ɡrɐjkʲɪʃkɐjɛj
šeške	ʃʲɛʃʲkʲɛ
pisančiose	pʲɪsɐnʲtʲʃʲosʲɛ
turinčiuosius	tʊrʲɪnʲtʲʃʲʊosʲʊs
pisančiąja	pʲɪsɐnʲtʲʃʲæːjɛ
kalbančiame	kɐlbɐnʲtʲʃʲɛmʲɛ
mažesnieji	mɐʒʲɛsʲnʲjɛjɪ
bučiuosiančioje	bʊtʲʃʲuɔsʲɛnʲtʲʃʲojɛ
albaniškosiose	ɐlbaːnʲɪʃkosʲosʲɛ
nebeprisikiškiakopūsteliaujančias	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲɛs
įkeliaujančiojoje	iːkʲɛlʲæʊjɛnʲtʲʃʲojojɛ
iškalbiausiosios	ɪʃkɐlbʲæːʊsʲosʲos
pornografiškosios	pornoɡraːfʲɪʃkosʲos
atidavusiajame	ɐtʲɪdaːʋʊsʲɛjɛmʲɛ
dainuojančiąja	dɐjnuɔjɛnʲtʲʃʲæːjɛ
nebeprisikiškiakopūsteliavusiesiems	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲjɛsʲjɛms
knygas	kʲnʲiːɡɐs
orgiškiausiojo	orʲɡʲɪʃʲkʲæːʊsʲojo
meniškiausiąja	mʲɛnʲɪʃʲkʲæːʊsʲæːjɛ
sapnuodavusių	sɐpnuɔdɐʋʊsʲuː
bulgariškame	bʊlɡaːrʲɪʃkɐmʲɛ
švelniu	ʃʲʋʲɛlnʲʊ
erkėse	æːɾʲkʲeːsʲɛ
olandiškuosius	olaːnʲdʲɪʃkʊosʲʊs
graikiškąja	ɡrɐjkʲɪʃkaːjɛ
gėlei	ɡʲeːlʲeːj
klaidingame	klɐjdʲɪnɡɐmʲɛ
galinčiuoju	ɡaːlʲɪnʲtʲʃʲʊojʊ
maltietiškus	mɐlʲtʲjɛtʲɪʃkʊs
medžiojančiajam	mʲɛdʲʒʲoːjɛnʲtʲʃʲɛjɛm
latviškos	laːtʲʋʲɪʃkos
eik	ɛɪ̯ˑk
žmogiškiausiu	ʒmoɡʲɪʃʲkʲæːʊsʲʊ
sėklinis	sʲeːkʲlʲɪnʲɪs
slovakiškais	sloʋaːkʲɪʃkɐjs
ypatingos	iːpɐtʲɪŋɡos
ispaniškosioms	ɪspaːnʲɪʃkosʲoms
upinę	ʊpʲɪnʲæː
ejakuliuosiantysis	ɛjɛkʊlʲuosʲɛnʲtʲiːsʲɪs
vaizdingesni	ʋɐjzʲdʲɪnʲɡʲɛsʲnʲɪ
gėlė	ɡʲeːlʲeː
nuosmukio	nuɔsmʊkʲo
atidavusiojoje	ɐtʲɪdaːʋʊsʲojojɛ
graži	ɡɾɐʒʲɪ
smulkmeniškiausiame	smʊlʲkʲmʲɛnʲɪʃʲkʲæːʊsʲɛmʲɛ
rusiškosios	rʊsʲɪʃkosʲos
antakis	ɐntɐkʲɪs
ejakuliavusiu	ɛjɛkʊlʲæːʋʊsʲʊ
haliucinuojančiuose	hɐlʲʊtʲsʲɪnuojɛnʲtʲʃʲʊosʲɛ
žmoniškesnėmis	ʒmonʲɪʃʲkʲɛsʲnʲeːmʲɪs
netvarkingai	nʲɛtʋɐɾʲkʲɪnɡɐj
aukštaitėmis	ɐʊkʃtɐjtʲeːmʲɪs
nebeprisikiškiakopūsteliaudavusiam	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊdɐʋʊsʲɛm
įbrolis	iːbrolʲɪs
švediškomis	ʃʲʋʲɛdʲɪʃkomʲɪs
nuodingesniu	nuɔdʲɪnʲɡʲɛsʲnʲʊ
turinčiam	tʊrʲɪnʲtʲʃʲɛm
pardavėjau	pɐɾdɐʋʲeːjɛʊ
angelų	ɐnɡʲɛluː
pušis	pʊʃʲɪs̪
sapnuodavusiam	sɐpnuɔdɐʋʊsʲɛm
bedieviškoje	bʲɛdʲjɛʋʲɪʃkojɛ
ištatuiruosi	ɪʃtɐtʊɪɾuosʲɪ
bėgdavusį	bʲeːɡdɐʋʊsʲiː
smulkmeniškiausiomis	smʊlʲkʲmʲɛnʲɪʃʲkʲæːʊsʲomʲɪs
tvarkingąją	tʋɐɾʲkʲɪnɡaːjæː
matančiąją	maːtɐnʲtʲʃʲæːjæː
įduosiančiose	iːduɔsʲɛnʲtʲʃʲosʲɛ
tatuiruojančiąsias	tɐtʊɪruɔjɛnʲtʲʃʲæːsʲɛs
blogesniąsias	bloɡʲɛsʲnʲæːsʲɛs
blogosiomis	bloɡoːsʲomʲɪs
ištatuiruojančiomis	ɪʃtɐtʊɪɾuɔjɛnʲtʲʃʲomʲɪs
daniškąjį	daːnʲɪʃkaːjiː
švelniausiąja	ʃʲʋʲɛlnʲæːʊsʲæːjɛ
meniškuose	mʲæːnʲɪʃkʊosʲɛ
švyturys	ɕvʲiːt̪ʊrʲiːs
išbučiuosiančių	ɪʃbʊtʲʃʲuɔsʲɛnʲtʲʃʲuː
baltąja	bɐltaːjɛ
abejingesnėje	ɐbʲɛjɪnɡʲɛsʲnʲeːjɛ
tylinčioms	tʲiːlʲɪnʲtʲʃʲoms
pusaklis	pʊsɐkʲlʲɪs
matantis	maːtɐnʲtʲɪs
kalbėsiančius	kɐlbʲeːsʲɛnʲtʲʃʲʊs
mylėsiantysis	mʲiːlʲeːsʲɛnʲtʲiːsʲɪs
saugios	sɐʊɡʲoːs
erotiškesnių	ɛɾotʲɪʃʲkʲɛsʲnʲuː
žvaigždiškesnius	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲʊs
švelniaisiais	ʃʲʋʲɛlnʲɛjsʲɛjs
armėniškųjų	ɐrʲmʲeːnʲɪʃkuːjuː
žemaitei	ʒʲɛmɐjtʲɛj
nuodingesniajai	nuɔdʲɪnʲɡʲɛsʲnʲɛjɛj
turėjusiajam	tʊrʲeːjʊsʲɛjɛm
šiknarankėms	ʃʲɪknɐɾɐnʲkʲeːms
smulkmeniškesniems	smʊlʲkʲmʲɛnʲɪʃʲkʲɛsʲnʲjɛms
žiūrinčius	ʒʲuːrʲɪnʲtʲʃʲʊs
graikiškai	ɡrɐjkʲɪʃkɐj
žmoniškesnis	ʒmonʲɪʃʲkʲɛsʲnʲɪs
nuodingesniuoju	nuɔdʲɪnʲɡʲɛsʲnʲuɔjʊ
asmeniniame	ɐsʲmʲɛnʲɪnʲɛmʲɛ
įspūdingąjį	iːspuːdʲɪnɡaːjiː
paslaptingesniąsias	pɐslɐptʲɪnʲɡʲɛsʲnʲæːsʲɛs
erotiškajame	ɛɾotʲɪʃkɐjɛmʲɛ
žiūrinčiais	ʒʲuːrʲɪnʲtʲʃʲɛjs
brolį	bɾoːlʲiː
siuvančia	sʲʊʋɐnʲtʲʃʲɛ
bulgariškiems	bʊlɡaːrʲɪʃʲkʲjɛms
erotiško	ɛɾotʲɪʃko
paslaptingieji	pɐslɐptʲɪnʲɡʲjɛjɪ
ejakuliuodavusioms	ɛjɛkʊlʲuodɐʋʊsʲoms
lenkiškame	lʲæːnʲkʲɪʃkɐmʲɛ
vaizdingesniojoje	ʋɐjzʲdʲɪnʲɡʲɛsʲnʲoːjojɛ
kalbančiosioms	kɐlbɐnʲtʲʃʲosʲoms
iškalbieji	ɪʃkɐlbʲjɛjɪ
sraute	srɐʊtʲɛ
norvegiškosiomis	norʋʲɛɡʲɪʃkosʲomʲɪs
nuosmukiu	nuɔsmʊkʲʊ
vengriškai	ʋʲɛnʲɡʲrʲɪʃkɐj
klaidingoms	klɐjdʲɪnɡoms
tatuiruojančios	tɐtʊɪruɔjɛnʲtʲʃʲos
mįslingesnysis	mʲiːsʲlʲɪnʲɡʲɛsʲnʲiːsʲɪs
šypsenas	ʃʲiːpʲsʲɛnɐs
nuodingajam	nuɔdʲɪnɡɐjɛm
įkeliaujančiaisiais	iːkʲɛlʲæʊjɛnʲtʲʃʲɛjsʲɛjs
turėsiantysis	tʊrʲeːsʲɛnʲtʲiːsʲɪs
abate	ɐbɐtʲɛ
išbučiuodavo	ɪʃbʊtʲʃʲuodɐʋo
galinčiaisiais	ɡaːlʲɪnʲtʲʃʲɛjsʲɛjs
valgančiuose	ʋaːlɡɐnʲtʲʃʲʊosʲɛ
vartojančiam	ʋɐrtoːjɛnʲtʲʃʲɛm
pornografiškieji	pornoɡraːfʲɪʃʲkʲjɛjɪ
atkeliaujančiame	ɐtkʲɛlʲæʊjɛnʲtʲʃʲɛmʲɛ
vaizdingiausiais	ʋɐjzʲdʲɪnʲɡʲæːʊsʲɛjs
netvarkingajame	nʲɛtʋɐɾʲkʲɪnɡɐjɛmʲɛ
meniškesni	mʲɛnʲɪʃʲkʲɛsʲnʲɪ
skylėse	sʲkʲiːlʲeːsʲɛ
apkeliaujančiojoje	ɐpkʲɛlʲæʊjɛnʲtʲʃʲojojɛ
klaidingiems	klɐjdʲɪnʲɡʲjɛms
duoną	duɔna
meniškesniajame	mʲɛnʲɪʃʲkʲɛsʲnʲæːjɛmʲɛ
dainuojančioji	dɐjnuɔjɛnʲtʲʃʲojɪ
žmogiškojo	ʒmoːɡʲɪʃkojo
avinis	ɐʋɪnɪs
žodžiu	ʒodʲʒʲʊ
izoterminėse	ɪzotʲɛrʲmʲɪnʲeːsʲɛ
įduodančio	iːduɔdɐnʲtʲʃʲo
siuvančiai	sʲʊʋɐnʲtʲʃʲɛj
žole	ʒoːlʲɛ
gražiausius	ɡɾɐʒʲæːʊsʲʊs
krūtinėje	kɾuːtʲɪnʲeːjɛ
knygoms	kʲnʲiːɡoms
rusiškąja	rʊsʲɪʃkaːjɛ
įspūdinguosius	iːspuːdʲɪnɡʊosʲʊs
aukštaitiška	ɐʊkʃtɐjtʲɪʃkɐ
žmoniškuose	ʒmoːnʲɪʃkʊosʲɛ
spenelyje	sʲpʲɛnʲæːlʲijɛ
kompiuteri	komʲpʲʊtʲɛrʲɪ
atiduodančiuoju	ɐtʲɪduɔdɐnʲtʲʃʲʊojʊ
keliauti	kʲɛlʲæʊtʲɪ
šokančios	ʃoːkɐnʲtʲʃʲos
tehaliucinuoja	tʲɛhɐlʲʊtʲsʲɪnuojɛ
angliškuose	ɐnʲɡʲlʲɪʃkʊosʲɛ
panaudotojoms	pɐnɐʊdoːtojoms
žvaigždynų	ʒʋɐjɡʲʒʲdʲiːnuː
valgančiojoje	ʋaːlɡɐnʲtʲʃʲojojɛ
tvarkingesniais	tʋɐɾʲkʲɪnʲɡʲɛsʲnʲɛjs
dainuojančių	dɐjnuɔjɛnʲtʲʃʲuː
švelnesniuosiuose	ʃʲʋʲɛlʲnʲɛsʲnʲʊoːsʲʊosʲɛ
ugningame	ʊɡʲnʲɪnɡɐmʲɛ
pusseserėje	pʊsʲɛsʲɛrʲeːjɛ
nuduosiančiomis	nʊduɔsʲɛnʲtʲʃʲomʲɪs
balsai	bɐlsɐj
mylėsiančiosios	mʲiːlʲeːsʲɛnʲtʲʃʲosʲos
išžiūrinčiąją	ɪʃʲʒʲuːrʲɪnʲtʲʃʲæːjæː
orgiškesnis	orʲɡʲɪʃʲkʲɛsʲnʲɪs
slovėniškas	sloʋʲeːnʲɪʃkɐs
žvaigždiškesniuoju	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲuɔjʊ
ypatingiausiosiomis	iːpɐtʲɪnʲɡʲæːʊsʲosʲomʲɪs
įdomu	iːdomʊ
žvaigždiškiausieji	ʒʋɐjɡʲʒʲdʲɪʃʲkʲæːʊsʲjɛjɪ
nuodinguosius	nuɔdʲɪnɡʊosʲʊs
siūlai	sʲuːlɐj
haliucinuodavusiuosius	hɐlʲʊtʲsʲɪnuodɐʋʊsʲʊosʲʊs
spermatozoidai	sʲpʲɛɾmɐtozojdɐj
žmogiškiausių	ʒmoɡʲɪʃʲkʲæːʊsʲuː
bėgsiantys	bʲeːɡʲsʲɛnʲtʲiːs
gražioje	ɡɾɐʒʲojɛ
savęs	sɐvʲæːs
išžiūrinčią	ɪʃʲʒʲuːrʲɪnʲtʲʃʲæː
įbroliui	iːbrolʲʊɪ
japoniškus	jɛponʲɪʃkʊs
ištatuiruojantys	ɪʃtɐtʊɪɾuɔjɛnʲtʲiːs
kalnyną	kɐlʲnʲiːnaː
dilgėlė	dʲɪlʲɡʲeːlʲěː
išžiūrinčiųjų	ɪʃʲʒʲuːrʲɪnʲtʲʃʲuːjuː
balčiausiosios	bɐlʲtʲʃʲæːʊsʲosʲos
mylįs	mʲiːlʲiːs
medžiojantiesiems	mʲɛdʲʒʲoːjɛnʲtʲjɛsʲjɛms
tylintiems	tʲiːlʲɪnʲtʲjɛms
mylėdavusiuoju	mʲiːlʲeːdɐʋʊsʲʊojʊ
įduodančiosios	iːduɔdɐnʲtʲʃʲosʲos
smulkmeniškesne	smʊlʲkʲmʲɛnʲɪʃʲkʲɛsʲnʲɛ
ejakuliuosiančiajai	ɛjɛkʊlʲuosʲɛnʲtʲʃʲɛjɛj
davusiuose	daːʋʊsʲʊosʲɛ
ypatingiausiąja	iːpɐtʲɪnʲɡʲæːʊsʲæːjɛ
keistas	kʲɛjstɐs
kroatiškosiose	kroaːtʲɪʃkosʲosʲɛ
haliucinuojame	hɐlʲʊtʲsʲɪnuojɛmʲɛ
greitam	ɡɾɛjtaːm
valgantieji	ʋaːlɡɐnʲtʲjɛjɪ
išbučiuosiančiaisiais	ɪʃbʊtʲʃʲuɔsʲɛnʲtʲʃʲɛjsʲɛjs
ejakuliuosiančių	ɛjɛkʊlʲuosʲɛnʲtʲʃʲuː
erotinį	ɛɾotʲɪnʲiː
moteriškajam	moːtʲɛɾʲɪʃkɐjɛm
upėtakyje	ʊpʲeːtɐkʲiːjɛ
klaidingą	klɐjdʲɪnɡaː
parkeliaujančiomis	pɐrʲkʲɛlʲæʊjɛnʲtʲʃʲomʲɪs
angliškomis	aːnʲɡʲlʲɪʃkomʲɪs
balčiausiame	bɐlʲtʲʃʲæːʊsʲɛmʲɛ
vaistui	ʋaːjstʲʊɪ
dainuojančiajai	dɐjnuɔjɛnʲtʲʃʲɛjɛj
sėklinės	sʲeːkʲlʲɪnʲeːs
atiduodančiajame	ɐtʲɪduɔdɐnʲtʲʃʲɛjɛmʲɛ
netvarkingesniesiems	nʲɛtʋɐɾʲkʲɪnʲɡʲɛsʲnʲjɛsʲjems
erotiškesnėje	ɛɾotʲɪʃʲkʲɛsʲnʲeːjɛ
buvusiojoje	bʊʋʊsʲojojɛ
galinčioji	ɡaːlʲɪnʲtʲʃʲojɪ
tylinčiai	tʲiːlʲɪnʲtʲʃʲɛj
tylinčiąsias	tʲiːlʲɪnʲtʲʃʲæːsʲɛs
broliui	bɾoːlʲʊɪ
nuodingiausieji	nuɔdʲɪnʲɡʲæːʊsʲjɛjɪ
ežero	æːʒʲɛɾo
bedieviškiausiąsias	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲæːsʲɛs
slovakišką	sloʋaːkʲɪʃkaː
gražesniam	ɡɾɐʒʲɛsʲnʲæːm
orgiškesnėse	orʲɡʲɪʃʲkʲɛsʲnʲeːsʲɛ
atkeliaujantieji	ɐtkʲɛlʲæʊjɛnʲtʲjɛjɪ
vartojanti	ʋɐrtoːjɛnʲtʲɪ
ejakuliuojantys	ɛjɛkʊlʲuojɛnʲtʲiːs
nuodingiausio	nuɔdʲɪnʲɡʲæːʊsʲo
ugnikalniui	ʊɡʲnʲɪkɐlʲnʲʊɪ
serbiškajame	sʲɛrʲbʲɪʃkɐjɛmʲɛ
netvarkingųjų	nʲɛtʋɐɾʲkʲɪnɡuːjuː
keliaujančiąją	kʲɛlʲæʊjɛnʲtʲʃʲæːjæː
paramos	paːɾɐmos
gruzijos	ɡrʊzʲɪjos
angliškiems	ɐnʲɡʲlʲɪʃʲkʲjɛms
