heilum	heiːlʏm
braggana	prakana
jónas	jouːnas
vegfarenda	vɛxfarɛnta
siglingasambandi	sɪkliŋkasampantɪ
roluleg	rɔːlʏlɛɣ
fröken	frœːkɛn
farsa	far̥sa
ónýtan	ouːnitan
landforms	lantfɔrms
skrifborði	skrɪvpɔrðɪ
móð	mouːð
fínna	fitna
hjóna	çouːna
leikfangabúðina	lɛjkfauŋkapuːðɪna
hölluðust	hœtlʏðʏst
lengd	leiŋt
meðtalinni	mɛðtalɪnɪ
ölvunarakstur	œlvʏnarakstʏr
sjúklingur	sjuhkliŋkʏr
menntamálaráðuneytinu	mɛn̥tamaularauːðʏneiːtɪnʏ
klukku	kʰlʏhkʏ
óþvinguð	ouːθviŋkʏð
myndastyttur	mɪntastɪhtʏr
moldinni	mɔltɪnɪ
ættarmót	aihtarmouːt
japönsku	jaːpœnskʏ
konunga	kʰɔːnuŋka
oftsinnis	ɔftsɪnɪs
norðurlandamóti	nɔrðʏrlantamouːtɪ
bermúda	pɛrmuta
títt	tʰiht
ungrar	uŋkrar
endurnýtt	ɛntʏrniht
rökum	rœːkʏm
fyrstur	fɪr̥stʏr
heildarlaun	heiltarlœiːn
svipaðan	svɪːpaðan
rýrnun	rirtnʏn
tiltrú	tʰɪltʰru
rabbi	rapɪ
brilljant	prɪljan̥t
slög	stlœːɣ
sjónvarpsleikrit	sjounvar̥stleiːkrɪt
sambland	samplant
heimsstyrjöldin	heimstɪrjœltɪn
verkalýðsins	vɛr̥kaliðsɪns
héldum	çɛltʏm
foldaskóla	fɔltaskouːla
klifurs	kʰlɪːvʏr̥s
auðnaðist	œiðnaðɪst
ljósmyndunar	ljouːsmʏntʏnar
handknattleiksmaður	hantknahtleiksmaːðʏr
verkferla	vɛr̥kfɛrtla
myndast	mɪntast
víðtæka	viðtaika
viðstadda	vɪðstata
óþolandi	ouːθɔlantɪ
forfeðranna	fɔr̥fɛðrana
sönglar	sœiŋlar
breytingar	preiːtiŋkar
silfur	sɪlvʏr
tónmáli	tʰounmaulɪ
mannlegur	manlɛɣʏr
elskuð	ɛlskʏð
nakti	naxtɪ
atvinnugreinin	aːtvɪnʏkreiːnɪn
skólastarfsins	skouːlastarvsɪns
starfsfólk	starsfoul̥k
servíettu	sɛrvijɛhtʏ
snilldarlega	stnɪltarlɛɣa
eitur	eiːtʏr
önug	œːnʏɣ
ræddar	raitar
elsu	ɛlsʏ
hraut	r̥œiːt
pakistanar	pʰaːcɪstanar
innar	ɪnar
mjóafirði	mjɔːuafɪrðɪ
þaktar	θaxtar
dýrlingi	tirliɲcɪ
færeyja	faiːreija
lokun	lɔːkʏn
þörfin	θœrvɪn
þagnarinnar	θaknarɪnar
svínadal	sviːnataːl
mörkin	mœr̥cɪn
mercedes	mɛr̥sɛtɛːs
skilaboð	scɪːlapɔːð
kúla	kʰuːla
dult	tʏl̥t
hlauptu	l̥œiftʏ
hreinsiefni	r̥ɛjnsɪɛpnɪ
verksmiðjuhúss	vɛr̥ksmɪðjʏhuːs
viktorsson	vɪxtɔr̥sɔːn
örsmáum	œr̥smauʏm
heildarfjárfesting	hɛjltar̥fjaur̥fɛstiŋk
eldabuskuna	ɛltapʏskʏna
kærði	cʰairðɪ
krónur	kʰrouːnʏr
hollendingum	hɔlɛntiŋkʏm
álag	auːlaɣ
akfeitur	aːkfeitʏr
glampi	klam̥pɪ
upphefst	ʏhphɛfst
dæsti	taistɪ
nethópvinnu	nɛːthoupvɪnʏ
skiltið	scɪl̥tɪð
hreif	r̥eiːv
ógnir	ouknɪr
skákfélag	skauːkfjɛlaɣ
skotmörk	skɔːtmœr̥k
ulla	ʏla
kynslóðum	cʰɪnstlouðʏm
svíkja	sviːca
mannréttindabrot	manrjɛhtɪntaprɔːt
fets	fɛːts
sóknarleikinn	souhknarleiːcɪn
þvottaherbergi	θvɔhtahɛrpɪcɪ
talhólf	tʰaːlhoulv
raunveruleiki	rœinvɛrʏleiːcɪ
bráðabana	prauːðapaːna
kálf	kʰaulv
raunneyslu	rœjnɛjstlʏ
mergurinn	mɛrkʏrɪn
sleikja	stleiːca
hálsklút	haulsklut
slegist	stleijɪst
vöðva	vœðva
reiðir	reiːðɪr
vertinn	vɛr̥tɪn
fínu	fiːnʏ
sjúkraþjálfara	sjuːkraθjaulvara
stapa	staːpa
japanskra	jaːpanskra
leikgrind	lɛjkrɪnt
ráðleggingum	rauðlɛciŋkʏm
snakillur	stnaːkitlʏr
dekkin	tɛhcɪn
prjónles	pʰrjounlɛs
skarðið	skarðɪð
býtta	pihta
gleri	klɛːrɪ
vændiskvenna	vaintɪskʰvɛna
endum	ɛntʏm
kunningja	kʰʏniɲca
leysti	leistɪ
angistar	auɲcɪstar
fokhelt	fɔːkhɛl̥t
sunnuhlíð	sʏnʏl̥iːð
fjölvaútgáfan	fjœlvaːutkauvan
vella	vɛtla
fjarvinnslu	fjarvɪnstlʏ
hrærivélarnar	r̥aːjrɪvjɛːlatnar
ergilegt	ɛrcɪlɛxt
öfunduðu	œːvʏntʏðʏ
merlín	mɛrlin
spennist	spɛnɪst
almennilegur	almɛnɪlɛɣʏr
strákarnir	strauːkatnɪr
kúrekastígvélunum	kʰuːrɛkastiɣvjɛlɔnʏm
áþreifanlega	auːθreivanlɛɣa
sparkandi	spar̥kantɪ
fráskilinn	frauːscɪlɪn
taumana	tʰœiːmana
bölvuðum	pœlvʏðʏm
símtalið	simtalɪð
ættbálka	aihtpaul̥ka
nemendahópnum	nɛːmɛntahouhpnʏm
þakklátar	θahklautar
sigurgöngu	sɪːɣʏrkœiŋkʏ
fréttaflutning	frjɛhtaflʏhtniŋk
fæddar	faitar
deildina	teiltɪna
leikina	leiːcɪna
gröfuna	krœːvʏna
hvelfingu	kʰvɛlviŋkʏ
sjónvarpsauglýsinga	sjounvar̥sœjɣlisiŋka
fjölhæfur	fjœːlhaivʏr
sumardegi	sʏːmarteijɪ
nágrannana	nauːkranana
stórrar	stourar
orðavalið	ɔrðavaːlɪð
kærasta	cʰaiːrasta
guðlega	kvʏðlɛɣa
sýkna	sihkna
breskar	prɛskar
fréttunum	frjɛhtɔnʏm
verksmiðjum	vɛr̥ksmɪðjʏm
vandséð	vantsjɛð
filter	fɪl̥tɛr
ólympíuleikanna	ouːlɪmpijʏleiːkana
hollum	hɔtlʏm
skitið	scɪːtɪð
sterkasta	stɛr̥kasta
höfðingjanum	hœvðiɲcanʏm
framsóknarflokkurinn	framsouhknarflɔhkʏrɪn
túristabúðir	tʰuːrɪstapuːðɪr
trafala	tʰraːvala
gamalmennum	kaːmalmɛnʏm
fákeppni	fauːcɛhpnɪ
texti	tʰɛkstɪ
bessastaðaá	pɛsastaðaaːu
utanlandsferðir	ʏːtanlantsfɛrðɪr
klukkustunda	kʰlʏhkʏstʏnta
fjölbreyttar	fjœlpreihtar
höft	hœft
læknasími	laihknasiːmɪ
endurgera	ɛntʏrcɛːra
fórstu	four̥stʏ
vinnustaðir	vɪnʏstaːðɪr
útihátíðir	uːtɪhauːtiðɪr
kaupfélagsstjóri	kʰœifjɛlaxstjouːrɪ
dvínandi	tviːnantɪ
mannlífsins	manlifsɪns
sjóferðir	sjouːfɛrðɪr
fjandi	fjantɪ
íbúðarhúsi	iːpuðarhuːsɪ
leikmunageymslu	leiːkmʏnakeimstlʏ
launavinnu	lœinavɪnʏ
borgarastéttin	pɔrkarastjɛhtɪn
þrungin	θruɲcɪn
fagradal	faɣrataːl
framangreindum	fraːmankreintʏm
skoðanir	skɔːðanɪr
frjálslyndra	frjaulstlɪntra
einlægar	einlaiɣar
hollenska	hɔlɛnska
óðu	ouːðʏ
elliðavatn	ɛtlɪðavahtn̥
margvíslegt	markvistlɛxt
tækist	tʰaiːcɪst
blóminu	plouːmɪnʏ
skífur	sciːvʏr
fjallað	fjatlað
gluggatjöldum	klʏkatjœltʏm
ígrunda	iːkrʏnta
greifi	kreiːvɪ
fasteignaeigendum	fasteiknaeiːɣɛntʏm
drykkjarhæft	trɪhcarhajft
velferðarkerfi	vɛlfɛrðarcʰɛrvɪ
plöntu	pʰlœn̥tʏ
dýpkuðu	tifkʏðʏ
miðkjúkur	mɪðcʰukʏr
gunnhildi	kʏnhɪltɪ
formennskulandið	fɔrmɛnskʏlantɪð
hróksins	r̥ouksɪns
dallinn	tatlɪn
frægustu	fraiːɣʏstʏ
beikon	peiːkɔn
eltum	ɛl̥tʏm
innandyra	ɪnantɪːra
mörkunum	mœr̥kɔnʏm
fiskveiðar	fɪskveiðar
þjóðskránni	θjouðskraunɪ
myrkvuð	mɪr̥kvʏð
léttur	ljɛhtʏr
persónulegum	pʰɛr̥sounʏlɛɣʏm
garðastræti	karðastraiːtɪ
vegfaranda	vɛxfaranta
óendanleika	ouːɛntanleiːka
márarnir	mauːratnɪr
kormáksson	kʰɔrmauksɔːn
svitnað	svɪhtnað
milljóna	mɪljouna
soddan	sɔtan
breta	prɛːta
kynhneigð	cʰɪːn̥eiɣð
efnistöku	ɛpnɪstœːkʏ
stigum	stɪːɣʏm
eplatrén	ɛhplatrjɛːn
snefil	stnɛːvɪl
orginalinn	ɔrcɪnalɪn
teljara	tʰɛljara
úkraínu	uːkrainʏ
þeytibakur	θɛːjtɪpakʏr
fiskmarkaði	fɪskmar̥kaðɪ
ilskóna	ɪːlskouna
afhuga	aːfhʏɣa
beygjubúnaðurinn	pɛjʏpuːnaðʏrɪn
penna	pʰɛtna
þjóðlag	θjouðlaɣ
samstarfsnefndar	samstarsnɛmtar
tæmast	tʰaiːmast
kallakvöld	kʰatlakʰvœlt
vein	veiːn
stilklöng	stɪl̥hklœjŋk
peningur	pʰɛːniŋkʏr
banni	panɪ
einkarekin	eiŋ̊karɛːcɪn
efldist	ɛltɪst
ólífur	ouːlivʏr
stórum	stouːrʏm
öddi	œtɪ
innflutnings	ɪnflʏhtniŋs
alþjóðlegir	alθjouðleijɪr
heilsunni	heilsʏnɪ
teiknun	tʰeihknʏn
bergmála	pɛrkmaula
róður	rouːðʏr
fái	fauːɪ
skrattinn	skrahtɪn
gölluð	kœtlʏð
útlagi	uːtlaijɪ
amerískum	aːmɛriskʏm
sólu	souːlʏ
barnamessa	patnamɛsa
unglingi	uŋliɲcɪ
óforvarandis	ouːfɔrvarantɪs
toppsætið	tʰɔhpsaitɪð
hengja	heiɲca
hött	hœht
endurmagnast	ɛntʏrmaknast
vopnum	vɔhpnʏm
munnur	mʏnʏr
tengsl	tʰeiŋstl̥
hamstur	hamstʏr
þvergarðinum	θvɛrkarðɪnʏm
kærkomin	cʰair̥kʰɔmɪn
guðrún	kvʏðrun
lesandi	lɛːsantɪ
sveitin	sveiːtɪn
daufri	tœivrɪ
flugfélaga	flʏxfjɛlaɣa
húsabakki	huːsapahcɪ
hlerann	l̥ɛːran
gunni	kʏnɪ
miðvikudaginn	mɪðvɪkʏtaːjɪn
raunir	rœiːnɪr
ingibergur	iɲcɪpɛrkʏr
einangrari	ɛːjnauŋkrarɪ
lántöku	launtœkʏ
árganga	aurkauŋka
loftnet	lɔftnɛːt
lilla	lɪla
eiginmann	eiːjɪnman
öfugsnúið	œːvʏɣstnuːɪð
riga	riːka
dirfist	tɪrvɪst
tóma	tʰouːma
smell	smɛtl̥
tímabilið	tʰiːmapɪːlɪð
stjórnmálaflokkanna	stjourtn̥maulaflɔhkana
ævidaga	aiːvɪtaːɣa
selfosskirkja	sɛlfɔscɪr̥ca
ýmsan	imsan
leiða	leiːða
skattalækkanir	skahtalaihkanɪr
hafnarsand	hapnarsant
spena	spɛːna
tunglið	tʰuŋlɪð
umhverfisstefnu	ʏmkʰvɛrvɪstɛpnʏ
lúkarnum	luːkartnʏm
sæplast	saiːplast
offramleiðslu	ɔframlɛjðstlʏ
hreyfiþroskann	r̥ɛːjvɪθrɔskan
spæld	spailt
fjórðungnum	fjourðuŋknʏm
símnet	simnɛt
miðbær	mɪðpair
heimahögum	heiːmahœːɣʏm
leikkona	leiːkʰɔna
sólin	souːlɪn
magnúsar	maknusar
blessaðir	plɛsaðɪr
grafar	kraːvar
trúmennsku	tʰruːmɛnskʏ
tilvitnun	tʰɪlvɪhtnʏn
óstyrkur	ouːstɪr̥kʏr
andað	antað
endurtekningar	ɛntʏrtʰɛhkniŋkar
margvíslegar	markvistlɛɣar
aðalheiður	aːðalheiːðʏr
bragðað	praɣðað
atburða	aːtʏrða
detti	tɛhtɪ
skotspónum	skɔːtspounʏm
útað	uːtað
sjómanni	sjouːmanɪ
goði	kɔːðɪ
sköpum	skœːpʏm
athyglina	aːtɪklɪna
fjallshlíðarnar	fjalsl̥iðatnar
ástæðulaust	auːstaiðʏlœist
heimsathygli	heimsatɪklɪ
grænhöfðaeyjum	kraiːnhœvðaeiːjʏm
dauður	tœiːðʏr
skáldatíma	skaultatʰiːma
vesturlanda	vɛstʏrlanta
kliður	kʰlɪːðʏr
stéttum	stjɛhtʏm
fölu	fœːlʏ
körfur	kʰœrvʏr
krunki	kʰruŋ̊kɪ
atvinnuhluti	aːtvɪnʏl̥ʏːtɪ
könum	kʰœːnʏm
rannsóknastofa	ransouhknastɔːva
grasi	kraːsɪ
brynka	priŋ̊ka
svangur	svauŋkʏr
raunveruleikinn	rœinvɛrʏleiːcɪn
deildar	teiltar
ósnertanleg	ouːstnɛr̥tanlɛɣ
sandsparstl	santspar̥stl
ofbeldi	ɔvpɛltɪ
ríkissjónvarpsins	riːcɪsjoumvar̥psɪns
deildarinnar	teiltarɪnar
kínversk	cʰinvɛr̥sk
réttlætanleg	rjɛhtlaitanlɛɣ
gáfaða	kauːvaða
bandaríkjadala	pantariːcataːla
brunn	prʏn
varð	varð
sendiboði	sɛntɪpɔːðɪ
færeyingar	faiːreijiŋkar
minkagreni	miŋ̥kakrɛːnɪ
æviloka	aiːvɪlɔːka
þorrablót	θɔraplouːt
veggjum	vɛcʏm
eldroðnaði	ɛltrɔðnaðɪ
lesinn	lɛːsɪn
ræðst	raiːðst
hó	houː
efnisins	ɛpnɪsɪns
frelsarans	frɛlsarans
fórnarlömbum	fourtnarlœmpʏm
fjaðrahamur	fjaðrahaːmʏr
kærunefnd	cʰaiːrʏnɛmt
þurrlendissvæðinu	θʏrlɛntɪsvaːjðɪnʏ
félagslegum	fjɛːlaxstlɛɣʏm
grafarvog	kraːvarvɔːɣ
finnir	fɪnɪr
rifjaði	rɪvjaðɪ
rammgerum	ramcɛrʏm
hugrekki	hʏɣrɛhcɪ
fiskar	fɪskar
gengisins	ceiɲcɪsɪns
einfaldasta	ɛjnfaltasta
vestanhafs	vɛstanhafs
akureyrarbær	aːkʏreirarpaiːr
strympu	strɪm̥pʏ
búsetu	puːsɛtʏ
atburður	aːtpʏrðʏr
haginn	haːjɪn
hrópgjarnir	r̥oupʰcatnɪr
skiptingu	scɪftiŋkʏ
lásnum	laustnʏm
gítarsins	ciːtar̥sɪns
fífill	fiːvɪtl̥
niðurlægja	nɪːðʏrlaija
írar	iːrar
skrúfblýantur	skruːplian̥tʏr
yfirfærslu	ɪːvɪrfair̥stlʏ
höfuðborgar	hœːvʏðpɔrkar
borgarar	pɔrkarar
fylginn	fɪlcɪn
eilífur	eiːlivʏr
þrá	θrauː
markmiðið	mar̥kmɪðɪð
eiginmaður	eijɪnmaːðʏr
vorhúsum	vɔːrhusʏm
fæddust	faitʏst
orðrómur	ɔrðroumʏr
skeljungs	scɛljuŋs
verksins	vɛr̥ksɪns
varmárlaug	varmaurlœiːɣ
tröppum	tʰrœhpʏm
esa	ɛːsa
fréttastofa	frjɛhtastɔːva
útgefinna	uːtcɛvɪna
fjarlægja	fjarlaija
hlutabréfamörkuðum	l̥ʏːtaprjɛːvamœr̥kʏðʏm
mistökum	mɪːstœkʏm
kraga	kʰraːɣa
svigi	svɪjɪ
golfviðburður	kɔlvɪðpʏrðʏr
engli	eiŋklɪ
sápu	sauːpʏ
fóstureyðinga	foustʏreiːðiŋka
kaupinu	kʰœiːpɪnʏ
fræðslu	fraiðstlʏ
endurskoðaðar	ɛntʏrskɔːðaðar
óhreinindi	ouːr̥einɪntɪ
rámum	rauːmʏm
þórsson	θour̥sɔn
árabili	auːrapɪlɪ
börkur	pœr̥kʏr
skorpu	skɔr̥pʏ
mánaða	mauːnaða
ræðinn	raiːðɪn
miklubraut	mɪhklʏprœiːt
tónleikagestum	tʰounleikacɛstʏm
byggingariðnaðarins	pɪciŋkarɪðnaðarɪns
ógleymdu	ouːkleimtʏ
svokallaði	svɔːkatlaðɪ
mótþróa	moutθroua
framsóknarflokknum	framsouhknarflɔhknʏm
sáran	sauːran
unnarsdóttir	ʏnar̥stouhtɪr
atvinnugreinar	aːtvɪnʏkreiːnar
kollurinn	kʰɔtlʏrɪn
heiði	heiːðɪ
rufu	rʏːvʏ
atburðina	aːtpʏrðɪna
smá	smauː
amman	aman
fordæma	fɔrtaima
felmtruð	fɛl̥m̥trʏð
brauðtertum	prœjðtʰɛr̥tʏm
drottningin	trɔhtniɲcɪn
jöðruð	jœðrʏt
dregist	treijɪst
hurfum	hʏrvʏm
starfsaðferðir	starvsaðfɛrðɪr
sosum	sɔːsʏm
dvala	tvaːla
erlingsdóttir	ɛrliŋkstouhtɪr
fyrirhugaða	fɪːrɪrhʏːɣaða
sölunnar	sœːlʏnar
fisks	fɪsks
jákvæður	jauːkʰvaiðʏr
gáir	kauːɪr
hlutastarfi	l̥ʏːtastarvɪ
stærsta	stair̥sta
dökknað	tœhknað
litríku	lɪːtrikʏ
mývatnssveit	miːvasveiːt
neina	neiːna
söknuðinn	sœhknʏðɪn
systkinin	sɪscɪnɪn
gerðubergskórinn	cɛrðʏpɛrkskʰouːrɪn
undirlagi	ʏntɪrlaːjɪ
höfundar	hœːvʏntar
algerar	alcɛrar
dansverk	tansvɛr̥k
ávala	auːvala
skrárnar	skrautnar
safanum	saːvanʏm
þingmanns	θiŋkmans
suðurnesjadeildar	sʏːðʏrnɛsjatɛjltar
halds	halts
vefmiðlar	vɛvmɪðlar
darri	tarɪ
dýrabúðina	tiːrapuːðɪna
rúnna	runa
þrútinn	θruːtɪn
veruleiki	vɛːrʏleiːcɪ
leiksviðinu	leiːksvɪðɪnʏ
fuðraði	fʏðraðɪ
dama	taːma
lás	lauːs
jarðarbúa	jarðarpuːa
dreifilykli	trɛːjvɪlɪhklɪ
náttúrufegurð	nauhturʏfɛːɣʏrð
hjúkrunarheimilið	çuːkrʏnarheiːmɪlɪð
óviðkomandi	ouːvɪðkʰɔmantɪ
skelfingu	scɛlviŋkʏ
brottfall	prɔhtfatl̥
eyjólfi	eijoulvɪ
sporð	spɔrð
heiðursverðlaun	heiːðʏr̥svɛlœin
elísabetar	ɛːlisapɛtar
staddar	statar
lái	lauːɪ
endanleg	ɛntanlɛɣ
rithöfundarins	rɪːthœvʏntarɪns
veður	vɛːðʏr
flagið	flajɪð
þustu	θʏstʏ
þaninn	θaːnɪn
flautara	flœitara
hróbjartsson	r̥ouːpjar̥tsɔn
laggott	laɣkɔht
algjörri	alcœrɪ
trúverðugt	tʰruːvɛrðʏxt
trúboði	tʰruːpɔðɪ
húnaflóa	huːnaflouːa
veðragný	vɛðrakn̥i
kútnum	kʰuhtnʏm
hlýja	l̥iːja
liprari	lɪːprarɪ
neiti	neiːtɪ
tökurnar	tʰœːkʏtnar
hrjúfa	r̥juːva
orðið	ɔrðɪð
myndavélum	mɪntavjɛːlʏm
straumurinn	strœimʏrɪn
veitukerfum	veiːtʏcʰɛrvʏm
dansgólf	tanskoulv
ánni	aunɪ
rómantískir	rouːmantʰiscɪr
stöðustilla	stœːðʏstɪtla
aftraði	aftraðɪ
rofinn	rɔːvɪn
vagnarnir	vaknatnɪr
litrófs	lɪːtroufs
aðgangseyri	aðkauŋkseiːrɪ
íhugull	iːhʏɣʏtl̥
atvinnumál	aːtvɪnʏmauːl
firnindi	fɪrtnɪntɪ
sigfússynir	sɪxfusɪːnɪr
leyndi	leintɪ
færið	faiːrɪð
fagnaðarfundur	faknaðarfʏntʏr
grunnskólabraut	krʏnskoulaprœit
sálfræðilega	saulfraiðɪlɛɣa
haglastærð	haklastajrð
endanlegt	ɛntanlɛxt
feykisterkt	fɛːjcɪstɛr̥t
sópran	souːpran
röppurum	rœhpʏrʏm
kynnin	cʰɪnɪn
hjónabandi	çouːnapantɪ
kólumbíu	kʰoulʏmpijʏ
deplaði	tɛhplaðɪ
kreppan	kʰrɛhpan
fötunum	fœːtɔnʏm
minningarrölti	mɪniŋkarœl̥tɪ
samstarfsfyrirtæki	samstarsfɪrɪrtʰaːjcɪ
smelli	smɛtlɪ
norðurbandalagsins	nɔrðʏrpantalaxsɪns
mannvænleg	manvainlɛɣ
kjarnakonur	cʰartnakʰɔːnʏr
fækkun	faihkʏn
taumurinn	tʰœimʏrɪn
krananum	kʰraːnanʏm
stafninn	stapnɪn
sjókvíaeldi	sjouːkvijaɛltɪ
hlóðir	l̥ouːðɪr
sama	saːma
dagskrá	taxskrau
nær	naiːr
verklagsreglum	vɛr̥klaxsrɛklʏm
aðstaðan	aðstaðan
bergstein	pɛrkstɛjn
heimspekingar	heimspɛciŋkar
þingeyjarsýslu	θiŋkeijarsistlʏ
hámaði	hauːmaðɪ
samfellu	samfɛtlʏ
fimmtán	fɪm̥taun
leiðni	lɛjðnɪ
dýrð	tirð
draug	trœiːɣ
snúruna	stnuːrʏna
mótaðar	mouːtaðar
höfðar	hœvðar
sameiningarinnar	saːmeiniŋkarɪnar
suðar	sʏːðar
uppgjörs	ʏhpcœr̥s
frakkland	frahklant
reykholtsdal	reiːkhɔl̥tstaːl
vatnsorku	vasɔr̥kʏ
valdhafa	valthava
stelpurnar	stɛl̥pʏrtnar
hjúpur	çuːpʏr
sniglast	stniklast
réttlætið	rjɛhtlaitɪð
verkfræðideildinni	vɛr̥kfrajðɪtɛjltɪnɪ
hverfisgötunni	kʰvɛrvɪskœːðʏnɪ
matreiða	maːtreiða
hjólinu	çouːlɪnʏ
ræskir	raiscɪr
útvarpsgeislunin	uːtvar̥scɛjstlʏnɪn
níræð	niːraið
fundurinn	fʏntʏrɪn
skáksnillinga	skaukstnɪtliŋka
hjörleifsson	çœrleifsɔːn
keppt	cʰɛft
töluð	tʰœːlʏð
trúnaði	tʰruːnaðɪ
ársreikningum	aur̥sreihkniŋkʏm
húsgögnunum	huːskœknɔnʏm
skjótbúnir	scouːtpunɪr
drjúgt	trjuxt
langþráð	lauŋkθrauð
þreifuðu	θreiːvʏðʏ
undraði	ʏntraðɪ
eyjastelpu	ɛjastɛl̥pʏ
náttskyrtunni	nauhtskɪrtʏnɪ
buxnaklaufina	pʏkstnaklœiːvɪna
heilsteyptur	heilsteiftʏr
ófeigs	ouːfeixs
tökin	tʰœːcɪn
bakkanum	pahkanʏm
verðbréfaviðskipti	vɛrðprjɛvavɪðscɪftɪ
emblu	ɛmplʏ
kalmar	kʰalmar
mikilvægari	mɪːcɪlvaiːɣarɪ
frjálsa	frjaulsa
seðla	sɛðla
löppunum	lœhpɔnʏm
munað	mʏːnað
ragnarsson	raknar̥sɔːn
birkiplanta	pɪr̥cɪplan̥ta
bakdyrnar	paːktɪtnar
stolinn	stɔːlɪn
jóel	jouːɛl
sástu	saustʏ
sultuna	sʏl̥tʏna
andes	antɛs
karen	kʰaːrɛn
bassaleikara	pasaleiːkara
seilast	seiːlast
pólsk	pʰoulsk
þiggja	θɪca
réttunum	rjɛhtɔnʏm
fruma	frʏːma
everestfjall	ɛːvrɛstfjatl̥
speglun	speiklʏn
tíðar	tʰiːðar
páskadagur	pʰauskataːɣʏr
gagnstæða	kakstaiða
látir	lauːtɪr
siðmenningu	sɪðmɛniŋkʏ
heimspekiskorinni	hɛjmspɛcɪskɔːrɪnɪ
ljóðanna	ljouːðana
gleraugum	klɛːrœiɣʏm
grunnskólanefndar	krʏnskoulanɛmtar
blikastúlkna	plɪːkastul̥kna
borgarverkfræðingi	pɔrkarvɛr̥kfraiðiɲcɪ
óvanalegt	ouːvanalɛxt
ódýra	ouːtira
óánægja	ouːaunaija
valdimar	valtɪmar
göfuga	kœːvʏɣa
verðmætar	vɛrðmaitar
borgarhverfi	pɔrkarkʰvɛrvɪ
ósvikna	ouːsvɪhkna
aldar	altar
kvöldverður	kʰvœltvɛrðʏr
prísundinni	pʰriːsʏntɪnɪ
matmálstímum	maːtmaulstiːmʏm
hnitunartækis	n̥ɪːtʏnartʰajːcɪs
keppnisskráningunni	cʰɛhpnɪskraːuniŋkʏnɪ
bárðarson	paurðarsɔːn
ódýrar	ouːtirar
óhikað	ouːhɪkað
korti	kʰɔr̥tɪ
rommi	rɔmɪ
lag	laːɣ
plögg	pʰlœk
úthellt	uːthɛl̥t
do	tɔː
langra	lauŋkra
körpuðu	kʰœr̥pʏðʏ
svosem	svɔːsɛm
þjóðkirkjunnar	θjouðcɪr̥cʏtnar
veififórn	vɛːjvɪfourtn̥
unglinginn	uŋliɲcɪn
ættbálki	ajhtpaul̥cɪ
brennheitu	prɛnheitʏ
dómaranefndar	touːmaranɛmtar
þingsköpum	θiŋkskœpʏm
hinriks	hɪnrɪks
laxi	laksɪ
kalypsó	kʰaːlɪpsou
kuldalegt	kʰʏltalɛxt
önuglega	œːnʏɣlɛɣa
munnum	mʏnʏm
þakglugga	θaːklʏka
komnu	kʰɔmnʏ
fjölskylduuppskrift	fjœlscɪltʏʏhpskrɪft
karlsvagninn	kʰalsvaknɪn
stressuna	strɛsʏna
einveldi	einvɛltɪ
harmleikur	harmleikʏr
efnisleg	ɛpnɪstlɛɣ
sjafnargötu	sjapnarkœːtʏ
hnébeygjulyftu	n̥jɛːpɛjʏlɪftʏ
kammerkór	kʰamɛrkouːr
fjármálaráðuneytinu	fjaurmaularauːðʏneiːtɪnʏ
sérsveitir	sjɛr̥sveitɪr
æsing	aiːsiŋk
tónlistin	tʰounlɪstɪn
þyngja	θiɲca
umferðaróhappi	ʏmfɛrðarouːhahpɪ
bergþór	pɛrkθour
þormóður	θɔrmouðʏr
innlyksa	ɪnlɪksa
ambátt	ampauht
sjóð	sjouːð
ákvæðið	auːkvaiðɪð
rannsóknum	ransouhknʏm
skálholtskirkju	skauːlhɔl̥tscɪr̥cʏ
kasettu	kʰaːsɛhtʏ
marr	mar
íþróttir	iːθrouhtɪr
tengdadóttir	tʰeiŋtatouhtɪr
sérvisku	sjɛrvɪskʏ
vinnuumhverfi	vɪnʏʏmkʰvɛrvɪ
guðlast	kvʏðlast
hópa	houːpa
ástands	auːstants
vörubíll	vœːrʏpitl̥
sjálfsmynd	sjaulsmɪnt
kok	kʰɔːk
leigubílstjóranum	leiːɣʏpilstjouranʏm
eftirminnilegar	ɛftɪrmɪnɪlɛɣar
svifryk	svɪvrɪk
myndataka	mɪntataːka
úthlutunarkvóta	uːtl̥ʏtʏnar̥kʰvouːta
tveimur	tʰvɛːmʏr
skinka	scɪŋ̥ka
ja	jaː
dreyri	trɛːjrɪ
neptúnusar	nɛftunʏsar
þjóðfélaginu	θjouðfjɛlaijɪnʏ
ferðalang	fɛrðalauŋk
boxleik	pɔkslɛjk
geislandi	ceistlantɪ
gikksnúru	cɪhkstnurʏ
hnyttin	n̥ɪhtɪn
ebba	ɛpa
áherslan	auːhɛr̥stlan
undangenginni	ʏntanceiɲcɪnɪ
reykjavíkurlistans	reiːcavikʏrlɪstans
steindepill	stɛjntɛpɪtl̥
athyglisverðustu	aːtɪklɪsvɛrðʏstʏ
vingaðist	vɪŋkaðɪst
laugavegur	lœiːɣavɛːɣʏr
ekka	ɛhka
ferli	fɛrtlɪ
öxin	œksɪn
reykinga	reiːciŋka
bjarta	pjar̥ta
sál	sauːl
ísraelsk	iːsraɛlsk
fest	fɛst
heimsmeistaramótinu	heimsmeistaramouːtɪnʏ
dökkrauðu	tœhkrœiðʏ
gæðatónlist	caiːðatounlɪst
