σκορδόψωμα	skoɾðopsoma
παύω	pavo
λυμένοι	limeni
παρέρχομαι	paɾeɾxome
συμβολομεταφραστών	siɱvolometafɾaston
θερμοκρασία	θeɾmokɾasia
ωφελήθηκα	ofeliθika
μουνοπαγίδα	munopaʝiða
γαλόνι	ɣaloni
αποβάλλεται	apovalete
ράφτηκα	ɾavo
ναδίρ	naðiɾ
ανελκύσθηκα	anelcisθika
κουρεύτηκα	kuɾeftika
φόραγα	foɾaɣa
μονάρχησ	monarçis
λυνόμουν	linomun
ηλικιωμένουσ	iliciomenus
συνθλίφτηκε	sinθliftice
πάμμαυρουσ	pamavɾus
υποσκάπτουμε	iposkaptume
ανατιμώμαι	anatimome
ξεσκάτισμα	kseskatizma
κομπίνα	kombina
σαπουνίστηκα	sapunistika
απέσεισα	apesisa
ηλικιωμένου	iliciomenu
μεσαιωνικό	meseoniko
αγανακτισμένα	aɣanaktizmena
αλωνάρησ	alonaɾis
βάφομαι	vafome
τεχνολόγου	texnoloɣu
παραβύστωι	paravisto
εκκλησιάζομαι	eklisiazome
παραδέχτηκα	paɾaðextika
πείσω	piso
υπολόγισα	ipoloʝisa
μεθ	meθ
κρεμασμένου	kremazmenu
πειθόμενησ	piθomenis
ανατράπηκαν	anatɾapikan
αηδιασμένου	aiðiazmenu
χιονίζει	çonizi
ένρινη	enrini
αλλού	alu
αποβάλετε	apovalete
κλαρίνο	klaɾino
αμφιλεγόμενε	aɱfileɣomene
πέμπω	pembo
εξέπεμψα	eksepempsa
παροτρύνθηκα	paɾotɾinθika
πεισμένο	pizmeno
γένοσ	ʝenos
δυνάμεων	ðinameon
είμαι	ime
αισιοδοξώ	esioðokso
ψάχνω	psaxno
αντιμεθαύριο	andimeθavɾio
θυελλώδεισ	θieloðis
απέκοψα	apekopsa
υπαγορεύθηκα	ipaɣoɾefθika
καταλύθηκαν	kataliθikan
διακοσμώ	ði̯akozmo
φιλοσοφώ	filosofo
αγγιγμένων	aŋɟiɣmenon
εθνάρχη	eθnarçi
συμπάθησα	simbaθiso
παράγραψα	paɾaɣɾapsa
θυμωμένων	θimomenon
λυνόμουνα	linomuna
φουντούκι	funduci
μυτιλήνη	mitilini
υπολογίζω	ipoloʝizo
ζητιάνεψα	zitçanepsa
σκοπεύω	skopevo
ἀπασχολοῦμαι	apasxolume
αραχνιασμένε	aɾaxɲazmene
ζάκυνθο	zacinθo
συμβολομεταφραστήσ	siɱvolometafɾastis
σταθμόσ	staθmos
φρενάρατε	frenarate
διαδέχομαι	ði̯aðexome
θλιμμένων	θlimenon
αναβαθμολογούμε	anavaθmoloɣume
αγιοποιημένουσ	aʝiopiimenus
ανταγωνίζομαι	andaɣonizome
αγγιγμένη	aŋɟiɣmeni
δοκιμάζω	ðocimazo
σκατουλήσ	skatulis
επιβλαβήσ	epivlavis
πομφόλυγα	poɱfoliɣa
γκρίνιαξα	ɡɾiɲaksa
αποσιώπησα	aposiopisa
παρακαλάω	parakalao
φιλάω	filao
αποφοίτησα	apofitisa
στέλνω	stelno
δασμόσ	ðazmos
ευχήθηκα	efçiθika
καλόγρια	kaloɣɾia
ἀνέγραψα	aneɣrapsa
άστραψα	astɾapsa
ανταμώνω	andamono
ήσανε	isane
κινδύνευε	cinðineve
ντεραπάρω	deɾapaɾo
καλοκαιριάτικοσ	kaloceɾʝatikos
τάφηκα	tafika
ανδρειώνω	anðɾiono
νοστιμεύτηκα	nostimeftika
εξώστησ	eksostis
κακόσ	kakos
περιγράφουμε	peɾiɣrafume
βελανιδιά	velaniðʝa
σφιχταγκάλιασα	sfixtaŋɡaʎasa
παρέπλευσα	pareplefsa
ἀνεγράφην	aneɣrafin
αριβάρω	aɾivaɾo
μάρτυρα	maɾtiɾa
γραφείο	ɣɾafio
συμπρωταγωνιστέσ	simbɾotaɣonistes
εξαπολύουμε	eksapoliume
βαθιάσ	vaθças
συνοδοί	sinoði
συγκρουόμενοι	siŋɡruomeni
διήγειρα	ðiiʝiɾa
αεροφωτογραφίστηκα	aerofotoɣrafistika
λύσε	lise
φέρω	feɾo
αυτοκινητάκι	aftocinitaci
επάγγελμα	epaŋɡelma
παιδοβούβαλοσ	peðovuvalos
παραγράφω	paɾaɣɾafo
ανυπομονούσα	anipomonusa
χαράχτηκα	xaɾaxtika
διήρκεσα	ðiiɾcesa
αρμέγω	aɾmeɣo
ψωμάκια	psomacia
ναζιάρησ	nazʝaɾis
συνοδού	sinoðu
ηλιόλουστοσ	iʎolustos
βασταγμένοσ	vastaɣmenos
χεζού	çezu
κολύμπησα	kolimbisa
ανασκαλεύω	anaskalevo
λύσατε	lisate
συρράπτομε	siɾaptome
πεντακόσια	pendakosça
ασεβώ	asevo
βουβάλια	vuvaʎa
κουτσομπολεύω	kutsobolevo
αγριεύομαι	aɣɾievome
ορθωμένοσ	oɾθomenos
ανασκαφείσ	anaskafis
δρόμοσ	ðromos
τεχνολόγο	texnoloɣo
πυροφάνι	piɾofani
βροντάω	vɾondao
ξερόψωμα	kseropsoma
λάμπω	lambo
δημαρχίνα	ksenoðoxa
εξαιτίασ	eksetias
συνέλεξα	sineleksa
ζεσταμένεσ	zestamenes
εμπαίζω	embezo
ανατινάζω	anatinazo
αναδέχομαι	anaðexome
γυαλί	ʝali
ποδαριού	poðaɾʝu
απελπισμένησ	apelpizmenis
άραχλοσ	aɾaxlos
περιπολούσα	peɾipolusa
διαρρέεται	ðiareete
αληθούσ	aliθus
εκπομπέσ	ekpombes
προβολέασ	pɾovoleas
εξέκρουσα	eksekrusa
πλειονοψηφίεσ	plionopsifies
ξύθηκα	ksiθika
αγόγγυστοσ	aɣoŋɟistos
μπερδεμένουσ	beɾðemenus
αλείφομαι	alifome
χτυπήθηκα	xtipiθika
χάνω	xano
τρίτοσ	tɾitos
λύθηκεσ	liθices
τραπέζια	tɾapezia
ανθρώπεψε	anθɾopepse
κείνη	cini
επανειλημμένοι	epanilimeni
περιθάλπομαι	peɾiθalpome
συρράπτομαι	siɾaptome
ανεβάζω	anevazo
απολύθηκα	apoliθika
διαμορφώνομαι	ðiamoɾfonome
θυμωμένεσ	θimomenes
απορροφώ	apoɾofo
ερχόμενο	erxomeno
πολεμική	polemici
αγαντάρω	aɣandaɾo
αμυγδαλιά	amiɣðaʎa
αμπλαούμπλασ	ablaublas
ντούμπλαρε	dublaɾe
βυθισμένεσ	viθizmenes
βόρειοσ	voɾios
κορίτσαρουσ	koritsarus
αναστεναγμόσ	anastenaɣmos
πούστικα	pustika
ενρινότητεσ	enrinotites
θεσσαλονίκη	θesalonici
παντρεμένοι	pandɾemeni
κιαλιών	caʎon
παντρεμένου	pandɾemenu
ομοβροντία	omovɾondia
συμφύομαι	siɱfiome
πρησμένοι	pɾizmeni
καταλύομεν	kataliomen
φυτικού	fitiku
κεφιού	cefçu
ξαναμοιράζω	ksanamiɾazo
ορίζω	oɾizo
συμπρωταγωνιστών	simbɾotaɣoniston
συγχαρήκαν	siŋxaɾikan
στενό	steno
αναβαθμολογήσεισ	anavaθmoloʝisis
επιστρέφουμε	epistɾefume
ουδαμού	uðamu
τίσι	tisi
λούστηκα	lustika
βελόνα	velona
μισθοφόροσ	misθofoɾos
αναστυλώθηκα	anastiloθika
μάλαμα	malama
νικημένουσ	nicimenus
όπισθεν	opisθen
ανακαλύπτομε	anakaliptome
γελώ	ʝelo
πολωνικό	poloniko
ανιλίνη	anilini
ιούλη	iuli
βυθισμένα	viθizmena
λυπημένεσ	lipimenes
διορθώνω	ðʝoɾθono
φιλιού	fiʎu
ακίνδυνοσ	acinðinos
αποστείρωσα	apostiɾosa
ώστε	oste
βδελύγματα	vðeliɣmata
γαργηττόσ	ɣarʝitos
ελευθερουδάκησ	elefθeruðacis
λυγξ	liŋks
πρωκτόσ	proktos
παρακάμπτομαι	paɾakamptome
αλατισμένοι	alatizmeni
ξεράθηκα	kseɾaθika
κερατάσ	ceɾatas
κυριολεκτικά	ciɾiolektika
λυσσάω	lisao
αραχνιασμένη	aɾaxɲazmeni
κίνησα	cinisa
ξυπόλυτοσ	ksipolitos
πλησιάζω	plisiazo
καρεκλοκένταυροσ	kaɾeklocendavɾos
δέω	ðeo
σιγκαπούρη	siŋɡapuɾi
περιπλέχτηκε	peɾiplextice
κρύβω	kɾivo
ανεπίγραφοσ	anepiɣrafos
μινόρε	minoɾe
καταξοδεύω	kataksoðevo
λιτόσ	litos
άσεβουσ	asevus
μαθηματικά	maθimatika
κινεζοποιήσεων	cinezopiiseon
υποκλάπηκα	ipoklapika
θερμά	θerma
ερχόμενα	erxomena
σταφιδόψωμου	stafiðopsomu
ατμόσ	atmos
δακτυλογραφούμε	ðaktiloɣɾafume
έσπειρα	espiɾa
ήσασταν	isastan
ποικίλων	picilon
αβγό	avɣo
συνάπτομε	sinaptome
τσάκωνασ	tsakonas
πολεμικοί	polemici
θυελλώδησ	θieloðis
κότσαρα	kotsaɾa
εξετάσθηκα	eksetasθika
προσφέρομαι	pɾosfeɾome
υπερηφάνεια	iperifania
εγκατάλειψη	eŋɡatalipsi
κουλουριάζω	kuluɾʝazo
μητρικόσ	mitrikos
δένω	ðeno
βιάζω	vʝazo
συντρίφθηκαν	sindrifθikan
σουταρίστηκα	pondaɾistika
αλείφτηκα	aliftika
εγέρθητι	eʝeɾθiti
περιέστρεψα	peɾiestɾepsa
σωρούσ	soɾus
ποτό	poto
απότρεψα	apotɾepsa
πορτοκαλόπιτεσ	poɾtokalopites
λυπημένων	lipimenon
φρεσκάρομαι	freskarome
σερβίρομαι	seɾviɾome
καθέλκω	kaθelko
είστε	iste
περίπλου	periplu
σκοντάφτω	skondafto
μοντέλο	modelo
απάτησα	apatisa
πνίγω	pniɣo
νοέμβριε	noeɱvɾie
αναφυτεύτηκα	anafiteftika
κρίθηκα	kɾiθika
μέγαρα	meɣaɾa
ανάφερα	anafeɾa
προχωρώ	pɾoxoɾo
βασανιστήσ	vasanistis
αβανγκαρντισμοί	avaŋɡaɾdizmi
γλειφομούνι	ɣlifomuni
έδρεψα	eðɾepsa
ζημιώνομαι	zimionome
γεννών	ʝenon
ξεραίνομαι	kseɾenome
εξέτασα	eksetasa
ξεμπερδεύτηκα	ksebeɾðeftika
βυρσοδέψησ	viɾsoðepsis
σωρών	soɾon
εξέγειρα	ekseʝiɾa
εύχομαι	efxome
απαρηγόρητοσ	apaɾiɣoɾitos
περιήγηση	peɾiiʝisi
καταλόγουσ	kataloɣus
κρεμιέμαι	kremɲeme
περπατήθηκα	peɾpatiθika
επιπλέον	epipleon
εννιά	eɲa
αβγοκομμένοι	avɣokomeni
κυνηγήθηκα	ciniɣiθika
σκασμένων	skazmenon
παραπάνω	paɾapano
καλαμποκόψωμου	kalambokopsomu
αναψοκοκκινίζω	anapsokocinizo
αβγατισμένων	avɣatizmenon
κοκότα	kokota
μπούφοσ	bufos
πίνω	pino
ἤπια	ipia
δηλώνομαι	ðilonome
ζήτα	zita
μαγιού	maʝu
χαλίφησ	xalifis
υποδεχθεί	ipoðexθi
κωνσταντῖνοσ	konstandinos
καταφρονήθηκα	katafɾoniθika
άδενδροσ	aðenðɾos
συνδυάζομαι	sinðiazome
διαπληκτίζομαι	ðiapliktizome
βγαίνω	vʝeno
καθίζοντασ	kaθizondas
πατούσα	patusa
στέφομε	stefome
συνηθισμένοι	siniθizmeni
επέγραψα	epeɣɾapsa
περπατιέμαι	peɾpatçeme
σουτάρισε	sutaɾise
πλαγιάζω	plaʝiazo
συνέθλιψε	sineθlipse
ελευθερία	elefθeɾia
αναγεννήσεισ	anaʝenisis
παραλογίζομαι	paɾaloʝizome
ψηφιακού	psifiaku
κατασκευάστηκα	katascevastika
καθισμένε	kaθizmene
κατά	kata
ενστάλαξα	enstalaksa
σοφοί	sofi
υπερβάλλω	ipeɾvalo
πίνουμε	pinume
αργαλειόσ	aɾɣaʎos
πέρασα	peɾasa
επιδαύρου	epiðavɾu
αγανακτισμένοσ	aɣanaktizmenos
αερολιμένασ	aerolimenas
ξωτικό	ksotiko
φλόκι	floci
έκλεισα	eklisa
βάζεισ	vazis
δελφοί	ðelfi
κακοκεφιάσ	kakocefi̯as
καλό	kalo
καρτέρι	kaɾteɾi
νεκρόσ	nekɾos
αλυσοδεμένε	alisoðemene
υποσκάφτηκα	iposkaftika
ιανουάριε	ianuaɾie
δαιμονισμόσ	ðemonizmos
αργοσαλεύω	aɾɣosalevo
κορίτσαρου	koritsaru
απασχολημένων	apasxolimenon
εξαπολύω	eksapolio
ξαναμοιράστηκα	ksanamiɾastika
αίγινα	eʝina
αγωνία	aɣonia
περίπτωση	peɾiptosi
νόσου	nosu
ούτω	uto
περιόδουσ	perioðus
εργάστηκα	eɾɣastika
γαμημένα	ɣamimena
συκιά	sicʝa
ελληνικό	eliniko
πατσαβούρα	patsavuɾa
ψωμάδικα	psomaðika
χοντρομαλάκασ	xondɾomalakas
πενηντάρικο	penindaɾiko
νεκροταφείο	nekɾotafio
πρησμένουσ	pɾizmenus
ευφροσύνη	efɾosini
εισακούομε	isakuome
ντε	de
έχουμε	exume
άλυτοσ	alitos
κατάλογοσ	kataloɣos
γενεών	ʝeneon
πρωτομάρτυροσ	pɾotomaɾtiɾos
παροτρύνομε	paɾotɾinome
πλείστοσ	plistos
ερασιτέχνησ	eɾasitexnis
χρήματα	xrimata
ευχετικόσ	efçetikos
κομμένοι	komeni
ξόδιασα	ksoðʝasa
διαλύω	ði̯alio
έχομε	exome
διανύω	ðianio
σοφίασ	sofias
εγκαταστάθηκα	eŋɡatastaθika
δούναβησ	ðunavis
δημοσιεύτηκα	ðimosieftika
βροντοχτύπησα	vɾondoxtipisa
ακροάσθηκα	akroasθika
αναρτήθηκα	anaɾtiθika
λουτρό	lutɾo
καταξοδιάστηκα	kataksoðʝastika
φιλήθηκα	filiθika
διεγείρω	ðieʝiɾo
δίωξα	ðioksa
πρεζάκιασ	pɾezacas
απορρίπτω	apoɾipto
δημοσιεύουμε	ðimosievume
μάντευ'	mandef
πρωτεύουσα	pɾotevusa
ξεμπερδεύω	ksebeɾðevo
διαλύω	ðʝalio
προφτάνω	pɾoftano
λιπασμάτων	lipazmaton
κατοικούμε	katikume
κερατώνομαι	ceɾatonome
καταξοδιάζομαι	kataksoðʝazome
ικανοποιημένουσ	ikanopiimenus
προσγείωση	pɾozʝiosi
ιούλιοι	iulii
πιονίων	pionion
μυκήνεσ	micines
τιμοκαταλόγου	timokataloɣu
διαρκήσ	ðiarcis
παραβάλτε	paɾavalte
μάγκασ	maŋɡas
μαζικό	maziko
διαβεβαιώνομαι	ðʝaveveonome
καμουφλαρίστηκα	kamuflaɾistika
κουρασμένε	kurazmene
κατασκοπεύω	kataskopevo
κιμάσ	cimas
φυσικά	fisika
εδέσσησ	eðesis
περιεπλάκην	peɾieplacin
καπνόσ	kapnos
έντερο	endeɾo
ανθώ	anθo
ντουλάπα	dulapa
ἀρχαΐζουσα	arxaizusa
επανέναρξη	epanenaɾksi
αποδοκιμάζομε	apoðocimazome
σοφή	sofi
χαρτομάντισσα	xaɾtomandisa
κλάνοντασ	klanondas
κλιμακώθηκα	klimakoθika
αναφύτευσα	anafitefsa
ανεγράφην	aneɣrafin
μπερδεμένη	beɾðemeni
νάνων	nanon
ηρόδοτοσ	iroðotos
επιδοκιμάζω	epiðocimazo
απώλεια	apolia
σορών	soɾon
απειθώ	apiθo
αηδιαστικόσ	aiðʝastikos
αλευρωμένησ	alevromenis
μέτρησα	metɾisa
ενηλικιώνομαι	enilicionome
κωνσταντίνο	toŋɡonstandino
ύφεση	ifesi
στοχάζομαι	stoxazome
διαδηλώνω	ðʝaðilono
σίλασ	silas
ἀδικοῦμαι	aðikume
χρονολογιών	xronoloʝion
ειλημμένεσ	ilimenes
διαλυμένη	ðʝalimeni
βρετανόσ	vretanos
καταλύθηκα	kataliθika
τηλεφωνώ	tilefono
γαμημένων	ɣamimenon
αγγελοκρούουμε	aŋɟelokruume
χαραμοφάησ	xaɾamofais
αναγεννημένοσ	anaʝenimenos
κακογαμημένοσ	kakoɣamimenos
μεσολόγγι	mesoloŋɟi
εισακούω	isakuo
ξαναγράφηκα	ksanaɣɾafika
βέβαιοσ	veveos
συγγραφτείσ	siŋɣraftis
ελάττωμα	elatoma
σεφαρδίτησ	sefaɾðitis
ακριβοπληρώνω	akrivopliɾono
καλομοίρηδων	kalomiriðon
αναζητήθηκα	anazitiθika
απολογητικόσ	apoloʝitikos
βαθιοί	vaθçi
παρελθόντα	parelθonda
δορυφόροσ	ðoriforos
καθαρματάκι	kaθaɾmataci
ἐτάφην	etafin
αποσείστηκα	aposistika
παγιδεύθηκα	paʝiðefθika
κύματα	cimata
ώριμη	oɾimi
αποσυνδέω	aposinðeo
πάμμαυρη	pamavɾi
ημερεύετε	imeɾevete
σβηστήρασ	zvistiɾas
σκύλοσ	scilos
πιρόγα	piɾoɣa
γαμημένου	ɣamimenu
κόσμοσ	kozmos
βάλλομε	valome
αποκερματισμών	apoceɾmatizmon
ζάρι	zaɾi
ακρίβεια	akrivia
καρφώνω	kaɾfono
προστατευόμενοσ	pɾostatevomenos
αισχροκερδήσ	esxrocerðis
μπαλώνω	balono
καταγράφομαι	kataɣrafome
μουσκεμένα	muscemena
αθωώνω	aθoono
υπερίσχυσα	iperisçisa
μαΐουσ	maius
κρουστόσ	krustos
βάλει	vali
ανατείνουμε	anatinume
εισέρρευσα	iserefsa
εὔχεται	efçete
καρδινάλιοσ	kaɾðinalios
αρχή	arçi
λαλώ	lalo
ονομαστικά	onomastika
καταρρέω	katareo
κεκλεισμένου	ceklizmenu
ενάντια	enandia
ποικιλότατα	picilotata
προσγράφομαι	pɾozɣrafome
λακωνία	lakonia
πέμπεισ	pembis
υπαγορεύομαι	ipaɣoɾevome
μισώ	miso
εγγραφή	eŋɣrafi
απέπεμψα	apepempsa
ναυτικοί	naftici
φοροαπαλλαγών	foɾoapalaɣon
σαγηνεύτηκα	saʝineftika
φλώροσ	floɾos
κυνηγημένοσ	ciniʝimenos
αγγόνια	aŋɡoɲa
διακόπτω	ðʝakopto
χλιοι	xʎi
αναστάλθηκα	anastalθika
διαμορφώνω	ðiamoɾfono
μπάμπησ	babis
γιατρειά	ʝatɾia
οκτώβρηδεσ	oktovɾiðes
έρρινου	erinu
φωτογραφία	fotoɣrafia
βεβαίωσα	veveosa
συμπεριφορά	simbeɾifoɾa
τρομοκρατημένοσ	tɾomokɾatimenos
μοίρα	mira
επιβλέπω	epivlepo
λαιστρυγόνεσ	lestriɣones
κοροϊδεύω	koɾoi̯ðevo
ταλέντο	talendo
αγγιγμένου	aŋɟiɣmenu
παντρεμένων	pandɾemenon
κρεμάω	kremao
ζεσταμένουσ	zestamenus
πέρνα	peɾna
αγγαρεμένοσ	aŋɡaɾemenos
καπνοδόχε	kapnoðoçe
φέρετρο	feɾetɾo
κεριά	cerʝa
κουτσοί	kutsi
αυτόσ	aftos
διαρρέομαι	ði̯areome
μετάπτωσησ	metaptosis
κάρπαθε	kaɾpaθe
πετράκησ	petɾacis
ολόφωτουσ	olofotus
ντροπιασμένουσ	dɾopçazmenus
μαρκάρισα	maɾkaɾisa
μάρτυρασ	maɾtiɾas
διαχέομαι	ðiaçeome
οριστικά	oɾistika
σπίτι	spiti
πολεμώ	polemo
παραβάλουμε	paɾavalume
περασμένου	perazmenu
ἀττικίζουσα	aticizusa
αφηγητήσ	afiʝitis
ερχομένη	erxomeni
αγυιόπαιδου	aʝiopeðu
παραγραφτήκανε	paɾaɣɾaftikane
ανταμείβομαι	andamivome
έντρομοι	endɾomi
ντροπιασμένεσ	dɾopçazmenes
έβαλεσ	evales
παλικάρι	palikari
νοητόσ	noitos
απαρχαιωμένα	aparçeomena
φούμαρου	fumaɾu
εβλήθην	evliθin
πολεμικόσ	polemikos
πειθόμενου	piθomenu
ανακαίνισα	anacenisa
ανώριμοσ	anoɾimos
αβουλησία	avulisia
ρίπτω	ɾipto
ξοδεύτηκα	ksoðeftika
πειθαναγκάζω	piθanaŋɡazo
αναδημιουργημένη	anaðimiurʝimeni
αβγοκομμένησ	avɣokomenis
ισχύω	isçio
σπέρνω	speɾno
χαχανίζω	xaxanizo
ποντάρισα	pondaɾisa
φύομαι	fiome
αναδημιουργημένου	anaðimiurʝimenu
πάρκαρα	paɾkaɾa
ευχετήριοσ	efçetirios
κάποτε	kapote
γητεύομαι	ʝitevome
νηστικόσ	nistikos
απορροφώμενοσ	apoɾofomenos
ευχαριστούμαι	efxaɾistume
γέννασ	ʝenas
κλαδεύομαι	klaðevome
σημαδιών	simaðʝon
απολαμβάνω	apolaɱvano
έσπαζα	espaza
πετάγομαι	petaɣome
στράβωσα	stɾavosa
τέρπουμε	teɾpume
ατροφία	atɾofia
διαλελυμένη	ðialelimeni
λίπασμα	lipazma
τριταγωνιστή	tritaɣonisti
τέρψεισ	teɾpsis
χάφτετε	xaftete
υποσκάπτομε	iposkaptome
βερολίνο	verolino
κωσταντίνο	kostandino
αλαφιασμένησ	alafçazmenis
προηγούμενου	proiɣumenu
στυμμένοι	stimeni
μετάπτωση	metaptosi
λευκοπίνακασ	lefkopinakas
βαστήχτηκα	vastixtika
παρακάμψεισ	paɾakampsis
συλλέχτηκα	silextika
φυτικάσ	fitikas
πρωταθλητήσ	pɾotaθlitis
άκουγα	akuɣa
πεινασμένε	pinazmene
μπουνατσάρισε	bunatsaɾise
αντιπαραβάλλω	andipaɾavalo
πειθόμενοσ	piθomenos
αγγλοποιημένοσ	aŋɡlopiimenos
καμουφλάρομαι	kamuflaɾome
διανύομαι	ðianiome
αγελάδα	aʝelaða
αγιοποιημένοσ	aʝiopiimenos
φίδι	fiði
αμφιλεγόμενη	aɱfileɣomeni
κεφιών	cefçon
προαλείφομε	pɾoalifome
πωλήσεισ	polisis
ακοινωνησίασ	acinonisias
διψώ	ðipso
πλοίο	plio
διψάω	ðipsao
ερωτώ	eɾoto
επάρκεια	epaɾcia
καλομοίρικο	kalomiriko
τρυπάω	tɾipao
μοιράζω	miɾazo
αποσάθρωσα	aposaθɾosa
ανεγγύητοσ	aneŋɟiitos
ξοδεύω	ksoðevo
βάλομε	valome
αγαπημένησ	aɣapimenis
προσδοκώ	pɾosðoko
απετράπην	apetɾapin
ανακάτεψα	anakatepsa
στάνη	stani
οδό	oðo
αγγελούδια	aŋɟeluðʝa
εγκαθιδρύω	eŋɡaθiðrio
βρείτε	vɾite
μυρωμένησ	miromenis
σαλεύω	salevo
επιγράφτηκε	epiɣraftice
υπνοβάτησ	ipnovatis
προκοπή	pɾokopi
αθεϊσμούσ	aθeizmus
βρει	vɾi
περσέα	peɾsea
αραχνιασμένησ	aɾaxɲazmenis
κρίνου	krinu
αλαμπουρνέζικησ	alaburnezicis
δεμένοσ	ðemenos
διάτανοσ	ðʝatanos
ορλάνδοσ	orlanðos
καλικαντζαρούδι	kalikandzaɾuði
έξοδοσ	eksoðos
ερωτημένοσ	eɾotimenos
επιδράσεισ	epiðɾasis
προχώρησα	pɾoxoɾisa
χεβρώνα	çevrona
καλοήθησ	kaloiθis
καταλύουμε	kataliume
πειθόμενουσ	piθomenus
ιωάννησ	ioanis
στραβώνω	stɾavono
οπίου	opiu
μεταφυτεύω	metafitevo
κάποιοσ	kapços
αγιοποιημένη	aʝiopiimeni
ζεύγουσ	zevɣus
στοιβάζομαι	stivazome
φυτικήσ	fiticis
κρεατόμυγα	kɾeatomiɣa
δεήθηκα	ðeiθika
βολιδοσκοπήθηκα	voliðoskopiθika
επανέναρξησ	epanenaɾksis
σκοτώνω	skotono
πεολειχία	peoliçia
εθνάρχεσ	eθnarçes
αναγορεύω	anaɣorevo
μαρτυρημένοσ	maɾtiɾimenos
προστατεύτηκα	pɾostateftika
αναμαλλιασμένοι	anamaʎazmeni
επαινούμαι	epenoume
στέψεισ	stepsis
αξιοσημείωτου	aksiosimiotu
μοιρασμένων	miɾazmenon
μαλακισμένων	malacizmenon
φωτογραφήσεισ	fotoɣrafisis
χεσμένησ	çezmenis
διαρρέομαι	ðʝareome
ξαπόστασα	ksapostasa
πίθον	piθon
συμπαθήθηκα	simbaθiθika
συγκρουόμενουσ	siŋɡruomenus
καλοφάγωτη	kalofaɣoti
βραχυκυκλώθηκα	vɾaçicicloθika
τείνω	tino
συνεχίζω	sineçizo
νύσταξα	nistaksa
αγνοούμενοσ	aɣnoumenos
κουράδα	kuɾaða
πατσαβουρόπιτα	patsavuɾopita
σκουντηγμένοσ	skundiɣmenos
κατασκεύασα	katascevasa
αναγκάσθηκα	anaŋɡasθika
χόρεψαν	xoɾepsan
ανθρωπεύω	anθɾopevo
αποβάλλομε	apovalome
θεαματικότητα	θeamatikotita
χιόνισε	çonise
απαράδεκτα	apaɾaðekta
αραχνιασμένο	aɾaxɲazmeno
πρόφτασα	pɾoftasa
κολλήθηκα	koliθika
εντάξει	endaksi
παρκαρίστηκα	paɾkaɾistika
αυτοκτονώ	aftoktono
αγαπούσα	aɣapusa
εισέπλευσα	iseplefsa
αναθεματισμένε	anaθematizmene
καυλώνω	kavlono
εισαγγελέασ	isaŋɟeleas
γαμώτη	ɣamoti
σαπιοκοιλιά	sapçociʎa
τετριμμένα	tetrimena
βαθιά	vaθça
απέδειξα	apeðiksa
αγγιγμένεσ	aŋɟiɣmenes
δεύτεροσ	ðefteɾos
παραγράφηκε	paɾaɣɾafice
πταισματοδικείο	ptezmatoðicio
κουρασμένο	kurazmeno
ακόλλητοσ	akolitos
σπουργίτι	spuɾʝiti
βεβαιώνομαι	veveonome
αγγίστηκα	aŋɟistika
επικαλύπτω	epikalipto
ποικιλότατοσ	picilotatos
ακοντίσθηκα	akondisθika
δοκιμάζουμε	ðocimazume
τιμή	timi
κρίνω	kɾino
κουρελιάζομαι	kuɾeʎazome
επιγραφτήκαν	epiɣraftikan
ξεκινώ	ksecino
ωρίμωσ	oɾimos
αγαπημένοι	aɣapimeni
διατυπώνω	ði̯atipono
πηγαίνω	piʝeno
κεκλεισμένη	ceklizmeni
πιτσαδόροσ	pitsaðoɾos
αθεϊστήσ	aθeistis
φυτεύτηκα	fiteftika
ναυσικᾶ	nafsika
τελευταίωσ	telefteos
στρέφομε	stɾefome
αστυνομία	astinomia
διατηρημένοσ	ði̯atiɾimenos
ετοιμασίασ	etimasias
φυλλομετριέμαι	filometɾʝeme
επισυνάπτομε	episinaptome
ξεγράφω	kseɣrafo
γιουχαΐζω	ʝuxaizo
ποικιλότεροσ	piciloteros
σπιτικό	spitiko
σάλοσ	salos
αηδώσ	aiðos
έργο	eɾɣo
περιοδικά	perioðika
ξιφιόσ	ksifços
εξυπακούονται	eksipakuonde
κωλύουμε	koliume
αποστάλθηκα	apostalθika
νεκροτομή	nekɾotomi
κυνηγάω	ciniɣao
μπογάζι	boɣazi
επιγράφτηκαν	epiɣraftikan
καλοκαίρι	kaloceri
περίοδο	perioðo
εβραίοσ	evɾeos
κουταμάρα	kutamaɾa
βοηθιέμαι	voi̯θçeme
στειμμένο	stimeno
γαργαλιέμαι	ɣaɾɣaʎeme
παραγράφομαι	paɾaɣɾafome
βολιδοσκοπώ	voliðoskopo
οκτωβρίων	oktovɾion
τοποθετώ	topoθeto
κοινόλεκτοι	cinolekti
χτυπώ	xtipo
κοιτίδα	citiða
σπασμένε	spazmene
παπάρασ	papaɾas
εξέγερση	ekseʝersi
ακρωτηριάζομαι	akɾotiɾiazome
μπόλικοι	bolici
σερβίριζα	seɾviɾiza
μπερδεύτηκα	beɾðeftika
σαντουριού	sandurʝu
φτύνομαι	ftinome
τήνο	tino
δισεκατομμύριο	ðisekatomirio
προμνησίεσ	pɾomnisies
στριμμένε	stɾimene
ναζιάρα	nazʝaɾa
ποίηση	piisi
απαρχαιωμένουσ	aparçeomenus
συντομεύτηκα	sindomeftika
πιστεύετε	pistevete
τελούμαι	telume
