vocero	vosˈero
impuestonan	impwestˈonan
barancanan	barankˈanan
entrenamento	entrenamˈento
solo	sˈolo
Alemania	alemˈanja
mas	mˈas
met	mˈet
contaminacion	kontaminasjˈoŋ
promer	promˈer
Toets	tˈuts
fabor	fabˈor
intenta	intˈenta
felis	felˈis
combersacion	kombersasjˈoŋ
Parkietenbos	parkjetenbˈos
protocol	protokˈol
caminda	kamˈinda
AGA	ˈaɡa
gara	ɡˈara
Articulo	artikˈulo
Anthony	anthˈoni
Mira	mˈira
Fuerte	fwˈerte
esaki	esˈaki
huicio	hˈujsjo
Winklaar	winklˈaːr
capacidad	kapasidˈad
candidatonan	kandidatˈonan
Webb	wˈebb
comerciantenan	komersjantˈenan
Trinidad	trinidˈad
facilita	fasilˈita
felicitacion	felisitasjˈoŋ
captura	kaptˈura
Jorge	jˈorxe
ciudad	sjudˈad
werksternan	werkstˈernan
Wever	wevˈer
Ruben	rubˈeŋ
Ernesto	ernˈesto
decisivo	desisˈivo
estatal	estatˈal
atardi	atˈardi
laso	lˈaso
maart	mˈaːrt
donacionnan	donasjˈonnan
incumplimento	inkumplimˈento
artikel	artikˈel
chekeo	t͡ʃekˈeo
Milo	mˈilo
inmediatamente	inmedjatamˈente
bentaha	bentˈaha
links	lˈinks
conseho	konsˈeho
cumbini	kumbˈini
personan	persˈonan
comenta	komˈenta
Home	hˈome
balia	bˈalja
bishita	biʃˈita
proyeccion	projeksjˈoŋ
condenabel	kondenabˈel
biahamento	bjahamˈento
voucher	vowt͡ʃˈer
structuralmente	strukturalmˈente
notifica	notifˈika
OCCA	ˈokka
caretera	karetˈera
retiro	retˈiro
cumplimento	kumplimˈento
rumannan	rumˈannan
fundeshi	fundˈeʃi
windshield	windʃjˈeld
lo	lˈo
Parokia	parˈokja
documentonan	dokumentˈonan
interveni	intervˈeni
viaheronan	vjaherˈonan
Obispado	obispˈado
pero	pˈero
Mahestad	mahestˈad
recepcion	resepsjˈoŋ
DIP	dˈip
deficit	defisˈit
Punto	pˈunto
Desaroyo	desarˈojo
adkiri	adkˈiri
positivismo	positivˈismo
Day	dˈaj
Piedra	pjˈedra
Whatsapp	whatsˈapp
suma	sˈuma
biento	bjˈento
gosa	ɡˈosa
versus	versˈus
involucra	involˈukra
ambulante	ambulˈante
PPP	pˌepˌepˈe
Corporation	korporatjˈoŋ
Superfood	superfˈoːd
brug	brˈuɡ
hipoteca	hipotˈeka
mondkapje	mondkˈapje
Parke	pˈarke
B	bˈe
meti	mˈeti
corta	kˈorta
Maritimo	maritˈimo
palo	pˈalo
Auto	aˈuto
and	ˈand
gas	ɡˈas
ordo	ˈordo
Sagrado	saɡrˈado
teatro	teˈatro
Parlamento	parlamˈento
gigante	xiɡˈante
bakinan	bakˈinan
matanan	matˈanan
transcurso	transkˈurso
Duarte	dwˈarte
puro	pˈuro
mientrastanto	mjentrastˈanto
instructornan	instruktˈornan
Cannabis	kannabˈis
ATA	ˈata
Angela	anxˈela
sa	sˈa
genero	xenˈero
complicacion	komplikasjˈoŋ
paralisa	paralˈisa
Cura	kˈura
implementa	implemˈenta
dus	dˈus
Decreto	dekrˈeto
mediador	medjadˈor
Esunnan	esˈunnan
produccion	produksjˈoŋ
trafico	trafˈiko
pidi	pˈidi
tanda	tˈanda
specialmente	spesjalmˈente
schoolnan	st͡ʃˈoːlnan
presentacion	presentasjˈoŋ
menor	menˈor
monton	montˈoŋ
artistanan	artistˈanan
procesa	prosˈesa
malesanan	malesˈanan
subsidia	subsˈidja
saco	sˈako
Weststraat	weststrˈaːt
reparacion	reparasjˈoŋ
caida	kˈa͡ɪda
Americano	amerikˈano
Tumba	tˈumba
Mesora	mesˈora
fiansanan	fjansˈanan
Kamay	kamˈaj
Diabetes	djabetˈes
University	universˈiti
liga	lˈiɡa
sterilisa	sterilˈisa
buscando	buskˈando
insistencia	insistˈensja
Net	nˈet
WCA	wkˈa
cendi	sˈendi
construi	konstrˈuj
Divi	dˈivi
socede	sosˈede
certidumbre	sertidˈumbre
poco	pˈoko
ainda	ˈa͡ɪnda
calamidad	kalamidˈad
gesto	xˈesto
samenscholingsverbod	samenst͡ʃolinɡsverbˈod
State	stˈate
candidata	kandidˈata
ciudadano	sjudadˈano
Cuerpo	kwˈerpo
cuero	kwˈero
obligatorio	obliɡatˈorjo
papia	pˈapja
Monumentenfonds	monumentenfˈonds
fasenan	fasˈenan
observa	obsˈerva
cabesantenan	kabesantˈenan
testigo	testˈiɡo
Kapel	kapˈel
dolor	dolˈor
mediacion	medjasjˈoŋ
anteriormente	anterjormˈente
heridonan	heridˈonan
trankil	trankˈil
conhunto	konhˈunto
Samenscholingsverbod	samenst͡ʃolinɡsverbˈod
sport	spˈort
Kibaima	kibˈa͡ɪma
Republicano	republikˈano
OK	ˈok
rector	rektˈor
asuntonan	asuntˈonan
reenforsa	reːnfˈorsa
SCP	ˌɛssˌepˈe
mihor	mihˈor
Johnson	johnsˈoŋ
Señora	seɲˈora
comienzo	komjˈenzo
support	suppˈort
Orman	ormˈaŋ
bao	bˈao
actonan	aktˈonan
investigashon	investiɡaʃˈoŋ
kontakto	kontˈakto
KIA	kjˈa
practicamente	praktikamˈente
hiba	hˈiba
abismo	abˈismo
casino	kasˈino
negligencia	neɡlixˈensja
enfermedad	enfermedˈad
Specialista	spesjalˈista
cuidador	kujdadˈor
conclusion	konklusjˈoŋ
Gobiernonan	ɡobjernˈonan
mayan	majˈaŋ
cortesia	kortˈesja
Shariska	ʃarˈiska
monetario	monetˈarjo
terminal	terminˈal
tercel	tersˈel
muda	mˈuda
Industria	indˈustrja
extende	ekstˈende
malo	mˈalo
Peter	petˈer
bestianan	bestjˈanan
Card	kˈard
Sneek	snˈeːk
memey	memˈej
ambulans	ambulˈans
spuit	spˈujt
mita	mˈita
agentenan	axentˈenan
proyecta	projˈekta
advies	advjˈes
determina	determˈina
digital	dixitˈal
huntu	hˈuntu
tucson	tuksˈoŋ
hit	hˈit
trip	trˈip
creatividad	kreatividˈad
Linda	lˈinda
Productions	produktjˈons
antemano	antemˈano
Integridad	inteɡridˈad
Wiki	wˈiki
ma	mˈa
horibel	horibˈel
afdeling	afdelˈinɡ
gravedad	ɡravedˈad
huramenta	huramˈenta
totalmente	totalmˈente
cannabis	kannabˈis
rebelde	rebˈelde
Mundial	mundjˈal
Run	rˈuŋ
Kibrahacha	kibrahˈat͡ʃa
rato	rˈato
debati	debˈati
Hubenil	hubenˈil
trayectoria	trajektˈorja
proyeccionnan	projeksjˈonnan
salario	salˈarjo
compornde	kompˈornde
use	ˈuse
refinerianan	refinerjˈanan
selecciona	seleksjˈona
Oceano	oseˈano
eherce	ehˈerse
envolvi	envˈolvi
positivity	positivˈiti
Politica	politˈika
vice	vˈise
nabega	nabˈeɡa
miembronan	mjembrˈonan
registra	rexˈistra
error	errˈor
opvang	opvˈanɡ
bononan	bonˈonan
Katholiek	katholjˈek
hotelero	hotelˈero
PR	pˌeˈɛr
explosion	eksplosjˈoŋ
especialmente	espesjalmˈente
comunismo	komunˈismo
vehiculonan	vehikulˈonan
tropical	tropikˈal
Benjamin	benjamˈiŋ
opone	opˈone
Nel	nˈel
excepcional	ekssepsjonˈal
Hasta	hˈasta
Castigo	kastˈiɡo
Ministerio	ministˈerjo
comestible	komestˈible
hemchi	hˈemt͡ʃi
obra	ˈobra
MiniMega	mˈinimˈeɡa
emocion	emosjˈoŋ
huur	hˈyr
horeca	horˈeka
reflexion	refleksjˈoŋ
disposicion	disposisjˈoŋ
bentana	bentˈana
Pablo	pˈablo
acercando	aserkˈando
Passions	passjˈons
Mesa	mˈesa
tercer	tersˈer
buske	bˈuske
Balashi	balˈaʃi
Hopi	hˈopi
transferi	transfˈeri
Vehiculo	vehikˈulo
consequencianan	konsekwensjˈanan
apesar	apesˈar
banconan	bankˈonan
multa	mˈulta
organisacionnan	orɡanisasjˈonnan
adopta	adˈopta
libremente	libremˈente
rapport	rappˈort
rescata	reskˈata
bishitante	biʃitˈante
weso	wˈeso
ancra	ˈankra
Haag	hˈaːɡ
Schwengle	st͡ʃwˈenɡle
Na	nˈa
patientnan	patjˈentnan
Cacique	kasˈikwe
ruta	rˈuta
analisa	analˈisa
Exxon	eksksˈoŋ
Roza	rˈoza
Scoop	skˈoːp
by	bˈi
geel	xˈeːl
teamnan	teˈamnan
discurso	diskˈurso
Daniel	danjˈel
batayon	batajˈoŋ
Yama	jˈama
Pashentnan	paʃˈentnan
Sostenemi	sostenˈemi
veterinario	veterinˈarjo
refuerzo	refwˈerzo
aportando	aportˈando
acomodacionnan	akomodasjˈonnan
considerabel	konsiderabˈel
Figaroa	fiɡarˈoa
Financieel	finansjˈeːl
debit	debˈit
husga	hˈusɡa
presencia	presˈensja
civil	sivˈil
Advies	advjˈes
Brandweer	brandwˈeːr
sugerencia	suxerˈensja
Uni	ˈuni
invisibel	invisibˈel
combustible	kombustˈible
culminacion	kulminasjˈoŋ
turistanan	turistˈanan
online	onlˈine
regulacionnan	reɡulasjˈonnan
Sky	skˈi
rifnan	rˈifnan
pickup	pikkˈup
piedra	pjˈedra
over	ovˈer
Colorado	kolorˈado
Fondo	fˈondo
dividendo	dividˈendo
software	softwˈare
boluntario	boluntˈarjo
boton	botˈoŋ
niun	njˈuŋ
binidero	binidˈero
iluminacion	iluminasjˈoŋ
disponibel	disponibˈel
pos	pˈos
reconstruccion	rekonstruksjˈoŋ
representante	representˈante
ciere	sjˈere
integrantenan	inteɡrantˈenan
Ras	rˈas
enorme	enˈorme
blvd	bˌeˌɛlvˌedˈe
saliente	saljˈente
dialoga	djalˈoɡa
Network	netwˈork
Ruyter	rujtˈer
aereo	aerˈeo
Night	nˈiɡht
eybao	ejbˈao
Cuminda	kumˈinda
Cuatro	kwˈatro
America	amerˈika
Guillermo	ɡjllˈermo
Informacionnan	informasjˈonnan
bora	bˈora
caba	kˈaba
famia	fˈamja
yudanza	judˈanza
MAS	mˈas
Solange	solˈanxe
aliento	aljˈento
directiva	direktˈiva
Inmigracion	inmiɡrasjˈoŋ
mondi	mˈondi
arma	ˈarma
HIV	hˈiv
bendemento	bendemˈento
constant	konstˈant
piscamento	piskamˈento
hobencita	hobensˈita
curiculo	kurikˈulo
Departamentonan	departamentˈonan
cardinal	kardinˈal
Beverage	beverˈaxe
Mientras	mjentrˈas
crusero	krusˈero
cantantenan	kantantˈenan
practica	praktˈika
tawatin	tawatˈiŋ
Lotto	lˈotto
PG	pˌeɡˈe
siman	simˈaŋ
muri	mˈuri
strategianan	stratexjˈanan
transporta	transpˈorta
Moko	mˈoko
berdad	berdˈad
tino	tˈino
mala	mˈala
revela	revˈela
abo	ˈabo
viola	vjˈola
socialisa	sosjalˈisa
Qredits	kredˈits
alternativo	alternatˈivo
Meteorologico	meteoroloxˈiko
Eddie	ˈeddje
Gobernador	ɡobernadˈor
mantene	mantˈene
indicacion	indikasjˈoŋ
file	fˈile
marcha	mˈart͡ʃa
out	ˈowt
capacita	kapasˈita
impresion	impresjˈoŋ
autonomia	autonˈomja
Ocupacion	okupasjˈoŋ
triunfo	trjˈunfo
Travel	travˈel
acomoda	akomˈoda
problematico	problematˈiko
Economische	ekonomˈist͡ʃe
masalmente	masalmˈente
continuo	kontˈinwo
Nos	nˈos
rolluik	rollˈujk
ofreciendo	ofresjˈendo
deportista	deportˈista
Vrolijk	vrolˈe͡ɪk
bibo	bˈibo
obstaculo	obstakˈulo
aporta	apˈorta
residentenan	residentˈenan
tolerancia	tolerˈansja
horta	hˈorta
AVP	ˈavp
Chines	t͡ʃinˈes
vacacion	vakasjˈoŋ
anhela	anhˈela
Debit	debˈit
Maske	mˈaske
Ambos	ambˈos
complicacionnan	komplikasjˈonnan
SMAC	smˈak
opcion	opsjˈoŋ
aceptacion	aseptasjˈoŋ
boa	bˈoa
nunka	nˈunka
hungadornan	hunɡadˈornan
Eynan	ˈejnan
conocirnan	konosˈirnan
enseñansa	enseɲˈansa
meta	mˈeta
caduca	kadˈuka
necesidadnan	nesesidˈadnan
oficialnan	ofisjˈalnan
sentencia	sentˈensja
informacion	informasjˈoŋ
cuanto	kwˈanto
invitacion	invitasjˈoŋ
situacionnan	sitwasjˈonnan
ocupacion	okupasjˈoŋ
informashon	informaʃˈoŋ
Roberto	robˈerto
nacemento	nasemˈento
Instancianan	instansjˈanan
Excelencia	eksselˈensja
JZP	jˌezˌɛtpˈe
desmenti	desmˈenti
Croes	krˈus
violando	vjolˈando
dimension	dimensjˈoŋ
cabay	kabˈaj
siguransa	siɡurˈansa
pushi	pˈuʃi
violento	vjolˈento
cla	klˈa
indice	indˈise
recordatorio	rekordatˈorjo
Conservation	konservatjˈoŋ
essencial	essensjˈal
iniciativanan	inisjativˈanan
motibo	motˈibo
Nacion	nasjˈoŋ
Visa	vˈisa
Area	arˈea
pensionado	pensjonˈado
agricultornan	aɡrikultˈornan
bosonan	bosˈonan
Subway	subwˈaj
poz	pˈoz
Holiday	holidˈaj
dominio	domˈinjo
Aldrich	aldrˈit͡ʃ
Ademas	ademˈas
dispuesto	dispwˈesto
descubri	deskˈubri
atake	atˈake
logra	lˈoɡra
mercancia	merkˈansja
poko	pˈoko
divorcio	divˈorsjo
Oriente	orjˈente
resort	resˈort
institutonan	institutˈonan
pare	pˈare
santana	santˈana
staciona	stasjˈona
entrega	entrˈeɡa
cultural	kulturˈal
Wheels	whˈeːls
Aruparking	aruparkˈinɡ
Sportsubsidie	sportsubsˈidje
ata	ˈata
impresiona	impresjˈona
Asuntonan	asuntˈonan
Ambtenaar	ambtenˈaːr
tirando	tirˈando
demas	demˈas
Dande	dˈande
trastorno	trastˈorno
religion	relixjˈoŋ
realmente	realmˈente
lusnan	lˈusnan
realisa	realˈisa
tardando	tardˈando
Dabian	dabjˈaŋ
Radisson	radissˈoŋ
directora	direktˈora
fundamental	fundamentˈal
pacifico	pasifˈiko
tripulantenan	tripulantˈenan
detayenan	detajˈenan
interno	intˈerno
crypto	krˈipto
ja	jˈa
Comisario	komisˈarjo
planificacion	planifikasjˈoŋ
rutanan	rutˈanan
Rico	rˈiko
fotografo	fotoɡrˈafo
klasnan	klˈasnan
ocupantenan	okupantˈenan
autorisa	autorˈisa
short	ʃˈort
seguridad	seɡuridˈad
infraccion	infraksjˈoŋ
marca	mˈarka
Staten	statˈeŋ
inventa	invˈenta
disertacion	disertasjˈoŋ
Market	markˈet
Massive	massˈive
kisas	kisˈas
angustia	anɡˈustja
Communicatie	kommunikˈatje
unda	ˈunda
VWO	vwˈo
Rosa	rˈosa
Caribisch	karibˈist͡ʃ
planea	planˈea
Women	womˈeŋ
spearfishing	spearfiʃˈinɡ
laboratorio	laboratˈorjo
Cria	krjˈa
Ex	ˈeks
sectornan	sektˈornan
Iglesia	iɡlˈesja
actua	ˈaktwa
protestanan	protestˈanan
march	mˈart͡ʃ
suceso	susˈeso
canalnan	kanˈalnan
tsunami	tsunˈami
Tres	trˈes
dictadura	diktadˈura
Financien	finansjˈeŋ
abusa	abˈusa
kens	kˈens
aseguradonan	aseɡuradˈonan
drive	drˈive
rekisitonan	rekisitˈonan
alegra	alˈeɡra
saka	sˈaka
Docternan	doktˈernan
prestigioso	prestixjˈoso
educa	edˈuka
El	ˈel
full	fˈull
votonan	votˈonan
contrata	kontrˈata
Cabay	kabˈaj
soledad	soledˈad
regalonan	reɡalˈonan
extendi	ekstˈendi
modelonan	modelˈonan
conflicto	konflˈikto
Antes	antˈes
Fund	fˈund
simplemente	simplemˈente
friu	frjˈu
atravez	atravˈez
Miguel	miɡˈel
Airlines	a͡ɪrlinˈes
ranca	rˈanka
tres	trˈes
partidonan	partidˈonan
significante	siɡnifikˈante
Molina	molˈina
respet	respˈet
distanciamento	distansjamˈento
femenino	femenˈino
ceremonia	seremˈonja
preventivo	preventˈivo
navega	navˈeɡa
AWG	ˈawɡ
chofer	t͡ʃofˈer
stoel	stˈul
Rond	rˈond
visual	viswˈal
Masnoticia	masnotˈisja
medidanan	medidˈanan
pesar	pesˈar
discrimina	diskrimˈina
maneranan	manerˈanan
educacional	edukasjonˈal
automobilista	automobilˈista
Groningen	ɡroninxˈeŋ
obvio	ˈobvjo
Activo	aktˈivo
coperacion	koperasjˈoŋ
fayecido	fajesˈido
idioma	idjˈoma
Miyon	mijˈoŋ
dies	djˈes
pueblo	pwˈeblo
adultonan	adultˈonan
aplicando	aplikˈando
am	ˈam
TUR	tˈur
baldadi	baldˈadi
Jean	jeˈaŋ
Citgo	sˈitɡo
palonan	palˈonan
motornan	motˈornan
manifestacionnan	manifestasjˈonnan
euro	ˈewro
casa	kˈasa
Dorp	dˈorp
Lago	lˈaɡo
Enseñansa	enseɲˈansa
trafica	trafˈika
South	sˈowth
simbolico	simbolˈiko
alarma	alˈarma
optimismo	optimˈismo
aclaracion	aklarasjˈoŋ
Dentista	dentˈista
preso	prˈeso
usando	usˈando
asisti	asˈisti
Monseigneur	monse͡ɪɡnˈewr
Maestronan	maestrˈonan
pabien	pabjˈeŋ
interupcion	interupsjˈoŋ
reunionnan	rewnjˈonnan
Shaba	ʃˈaba
abusonan	abusˈonan
negosacionnan	neɡosasjˈonnan
sigi	sˈixi
ventilacion	ventilasjˈoŋ
yamado	jamˈado
contempla	kontˈempla
druk	drˈuk
vitamina	vitamˈina
ganado	ɡanˈado
tarda	tˈarda
Pasaheronan	pasaherˈonan
Uzi	ˈuzi
stress	strˈess
Unit	unˈit
Teniendo	tenjˈendo
formulanan	formulˈanan
Hefe	hˈefe
PCR	pˌesˌeˈɛr
website	websˈite
vital	vitˈal
Lito	lˈito
solidario	solidˈarjo
Grecia	ɡrˈesja
truck	trˈukk
topa	tˈopa
Moderna	modˈerna
pertenencia	pertenˈensja
Falcon	falkˈoŋ
libera	libˈera
pone	pˈone
Esta	ˈesta
rifa	rˈifa
eventualmente	eventwalmˈente
Parada	parˈada
crecemento	kresemˈento
wordo	wˈordo
amistad	amistˈad
Registro	rexˈistro
decisionan	desisjˈonan
socionan	sosjˈonan
direccion	direksjˈoŋ
scucha	skˈut͡ʃa
inclui	inklˈuj
studiando	studjˈando
perdida	perdˈida
Fase	fˈase
adiccion	adiksjˈoŋ
coordinacion	koːrdinasjˈoŋ
pirata	pirˈata
pe	pˈe
bebida	bebˈida
terenonan	terenˈonan
Docter	doktˈer
despedida	despedˈida
Birgen	birxˈeŋ
regala	reɡˈala
profesionalnan	profesjonˈalnan
Goshen	ɡoʃˈeŋ
Ady	ˈadi
declaracion	deklarasjˈoŋ
Leadership	leaderʃˈip
Organization	orɡanizatjˈoŋ
confiabel	konfjabˈel
migrante	miɡrˈante
droga	drˈoɡa
crece	krˈese
enbes	enbˈes
oficial	ofisjˈal
Catolico	katolˈiko
Ministronan	ministrˈonan
docternan	doktˈernan
redaccion	redaksjˈoŋ
Hamas	hamˈas
Mobile	mobˈile
pasa	pˈasa
obstaculonan	obstakulˈonan
warda	wˈarda
Utilities	utilitjˈes
desaroyadornan	desarojadˈornan
elogia	elˈoxja
Inspectie	inspˈektje
ARUBIANO	arubjˈano
Nicolas	nikolˈas
drentando	drentˈando
alma	ˈalma
divulga	divˈulɡa
gobierno	ɡobjˈerno
saludable	saludˈable
progreso	proɡrˈeso
respiratorio	respiratˈorjo
Naturalesa	naturalˈesa
bienestar	bjenestˈar
president	presidˈent
inovacion	inovasjˈoŋ
reglamento	reɡlamˈento
cargo	kˈarɡo
contesta	kontˈesta
alimento	alimˈento
loonbelasting	loːnbelastˈinɡ
mete	mˈete
pura	pˈura
formacion	formasjˈoŋ
un	ˈuŋ
parehanan	parehˈanan
Vondellaan	vondellˈaːŋ
rechaza	ret͡ʃˈaza
Virma	vˈirma
refugiado	refuxjˈado
scapa	skˈapa
intercambia	interkˈambja
himno	hˈimno
innecesariamente	innesesarjamˈente
tono	tˈono
incidente	insidˈente
scarsedad	skarsedˈad
intensiva	intensˈiva
erfpacht	erfpˈat͡ʃt
circo	sˈirko
buena	bwˈena
Negoshi	neɡˈoʃi
limita	limˈita
Smartphone	smartphˈone
Mester	mestˈer
Preto	prˈeto
Atardi	atˈardi
contratista	kontratˈista
ataca	atˈaka
de	dˈe
profesor	profesˈor
mencion	mensjˈoŋ
UN	ˈuŋ
Dus	dˈus
om	ˈom
Gezaghebber	xezaɡhebbˈer
pulmon	pulmˈoŋ
pobreza	pobrˈeza
falso	fˈalso
yerba	jˈerba
Aparentemente	aparentemˈente
mapa	mˈapa
Procurador	prokuradˈor
Corsou	korsˈow
Noord	nˈoːrd
Cada	kˈada
porta	pˈorta
maestra	maˈestra
Coach	koˈat͡ʃ
origen	orixˈeŋ
amplio	ˈampljo
bolo	bˈolo
conocir	konosˈir
clapchi	klˈapt͡ʃi
Prison	prisˈoŋ
Señor	seɲˈor
hospitalisa	hospitalˈisa
urgentemente	urxentemˈente
Banda	bˈanda
Masterplan	masterplˈaŋ
interactivo	interaktˈivo
Olimpico	olimpˈiko
impeachment	impeat͡ʃmˈent
marihuana	marihwˈana
encamina	enkamˈina
zodiacal	zodjakˈal
storia	stˈorja
klasse	klˈasse
confusion	konfusjˈoŋ
Gonzalez	ɡonzalˈez
halto	hˈalto
pia	pjˈa
sr	ˌɛsˈɛr
screening	skreːnˈinɡ
Seyo	sˈejo
sigaria	siɡˈarja
NV	ˌɛnvˈe
controlnan	kontrˈolnan
fe	fˈe
campo	kˈampo
tiro	tˈiro
Virus	virˈus
Marsman	marsmˈaŋ
avance	avˈanse
receta	resˈeta
construccion	konstruksjˈoŋ
sportage	sportˈaxe
prijs	prˈe͡ɪs
sangura	sanɡˈura
pretende	pretˈende
uit	ˈujt
solar	solˈar
Flamingo	flamˈinɡo
partido	partˈido
huurgrond	hyrɡrˈond
interes	interˈes
webinar	webinˈar
variedad	varjedˈad
Dominicana	dominikˈana
jeep	jˈeːp
task	tˈask
facilidadnan	fasilidˈadnan
CMB	sˌeˌɛmbˈe
Natuur	natˈyr
Nacionnan	nasjˈonnan
ATM	ˈatm
isola	isˈola
disgusta	disɡˈusta
activamente	aktivamˈente
Autismo	autˈismo
DNA	dnˈa
proteccion	proteksjˈoŋ
ilumina	ilumˈina
Resort	resˈort
zonido	zonˈido
Laboral	laborˈal
sabiduria	sabidˈurja
particularmente	partikularmˈente
concretisa	konkretˈisa
plantacion	plantasjˈoŋ
Importante	importˈante
funeraria	funerˈarja
tantisimo	tantisˈimo
porciento	porsjˈento
menasa	menˈasa
cuestion	kwestjˈoŋ
corant	korˈant
listramento	listramˈento
atractivo	atraktˈivo
Care	kˈare
hobenan	hobˈenan
solicita	solisˈita
move	mˈove
electricidad	elektrisidˈad
anciano	ansjˈano
Servicio	servˈisjo
FPNA	fpnˈa
surgi	sˈurxi
persecucion	persekusjˈoŋ
normal	normˈal
Alivio	alˈivjo
refineria	refinˈerja
daño	dˈaɲo
capital	kapitˈal
Cambionan	kambjˈonan
timeshare	timeʃˈare
comestibel	komestibˈel
rabia	rˈabja
votado	votˈado
elemento	elemˈento
costa	kˈosta
Congreso	konɡrˈeso
drenta	drˈenta
historia	histˈorja
Hyundai	hjˈunda͡ɪ
inteligencia	intelixˈensja
simple	sˈimple
condicion	kondisjˈoŋ
Brokke	brˈokke
transforma	transfˈorma
apoyo	apˈojo
baile	bˈa͡ɪle
dirigentenan	dirixentˈenan
intensivo	intensˈivo
Seroe	sˈeru
institucionnan	institusjˈonnan
genetico	xenetˈiko
republica	republˈika
colaborador	kolaboradˈor
Dakota	dakˈota
categoria	kateɡˈorja
documentacion	dokumentasjˈoŋ
compania	kompˈanja
Problemanan	problemˈanan
amplia	ˈamplja
mantencion	mantensjˈoŋ
juli	jˈuli
Wernet	wernˈet
media	mˈedja
plania	plˈanja
gobernacion	ɡobernasjˈoŋ
intencionalmente	intensjonalmˈente
Aworaki	aworˈaki
rasonnan	rasˈonnan
ey	ˈej
pro	prˈo
presonan	presˈonan
desapunta	desapˈunta
nos	nˈos
tambe	tˈambe
tiplijn	tiplˈe͡ɪŋ
Tico	tˈiko
RED	rˈed
salbaguardia	salbaɡwˈardja
Inteligencia	intelixˈensja
conferencia	konferˈensja
comunitario	komunitˈarjo
Tanto	tˈanto
cierto	sjˈerto
Personal	personˈal
diseño	disˈeɲo
SDGs	ˌɛsdˌeɡˌeˈɛs
transporte	transpˈorte
pariba	parˈiba
Tanten	tantˈeŋ
Nissan	nissˈaŋ
debidamente	debidamˈente
sosode	sosˈode
supermercado	supermerkˈado
Financiero	finansjˈero
diploma	diplˈoma
controle	kontrˈole
It	ˈit
Pickup	pikkˈup
Movies	movjˈes
Coca	kˈoka
Montenegro	montenˈeɡro
Naturalisacion	naturalisasjˈoŋ
FADA	fˈada
awendia	awˈendja
Recupera	rekupˈera
asiento	asjˈento
Duque	dˈukwe
forensyco	forensˈiko
purbando	purbˈando
inocente	inosˈente
MFA	mfˈa
originalmente	orixinalmˈente
scarcedad	skarsedˈad
du	dˈu
cancer	kansˈer
Premier	premjˈer
resa	rˈesa
contagia	kontˈaxja
padilanti	padilˈanti
Cachi	kˈat͡ʃi
riesgo	rjˈesɡo
nissan	nissˈaŋ
run	rˈuŋ
yama	jˈama
Turista	turˈista
aclarea	aklarˈea
Aparte	apˈarte
igualdad	iɡwaldˈad
Arutram	arutrˈam
vergunning	verɡunnˈinɡ
favorito	favorˈito
persigui	persˈiɡj
muestra	mwˈestra
augustus	auɡustˈus
subiendo	subjˈendo
contribui	kontribˈuj
Gold	ɡˈold
IT	ˈit
Entrante	entrˈante
Snor	snˈor
profundamente	profundamˈente
mundial	mundjˈal
baña	bˈaɲa
bahando	bahˈando
pronostico	pronostˈiko
carni	kˈarni
desespera	desespˈera
BBQ	bˌebˌekˈy
personal	personˈal
eventual	eventwˈal
cen	sˈeŋ
celebracion	selebrasjˈoŋ
contractonan	kontraktˈonan
embarazo	embarˈazo
cune	kˈune
Holding	holdˈinɡ
oracion	orasjˈoŋ
util	utˈil
motor	motˈor
encarcela	enkarsˈela
raspa	rˈaspa
asina	asˈina
encarecidamente	enkaresidamˈente
moda	mˈoda
TdQ	tˌedˈekˈy
cualnan	kwˈalnan
tawata	tawˈata
habri	hˈabri
taxistanan	taksistˈanan
normanan	normˈanan
funcionnan	funsjˈonnan
infeccionnan	infeksjˈonnan
debernan	debˈernan
plachi	plˈat͡ʃi
Boliviastraat	bolivjastrˈaːt
del	dˈel
limitacion	limitasjˈoŋ
foto	fˈoto
implementando	implementˈando
mangel	manxˈel
carera	karˈera
loteria	lotˈerja
Relaciona	relasjˈona
iresponsabel	iresponsabˈel
representacion	representasjˈoŋ
Caribbean	karibbeˈaŋ
quorum	kworˈum
exihi	eksˈihi
SOGA	sˈoɡa
instituto	institˈuto
pasashi	pasˈaʃi
Reyes	rejˈes
Dia	djˈa
market	markˈet
sanitizer	sanitizˈer
Mantene	mantˈene
Tjon	tjˈoŋ
Tur	tˈur
numbernan	numbˈernan
region	rexjˈoŋ
completo	komplˈeto
kiermeen	kjermˈeːŋ
mira	mˈira
tragedia	traxˈedja
reclama	reklˈama
humanidad	humanidˈad
escolar	eskolˈar
motivacion	motivasjˈoŋ
Pakico	pakˈiko
extraordinario	ekstraordinˈarjo
screen	skrˈeːŋ
juf	jˈuf
prestamonan	prestamˈonan
UAV	wˈav
palabracionnan	palabrasjˈonnan
anuncio	anˈunsjo
procede	prosˈede
Trump	trˈump
naci	nˈasi
line	lˈine
Jetblue	jˈetblwe
transferencianan	transferensjˈanan
Marina	marˈina
Speransa	sperˈansa
cabesante	kabesˈante
Scan	skˈaŋ
posible	posˈible
periodistico	perjodistˈiko
heridanan	heridˈanan
entrevista	entrevˈista
semper	sempˈer
Kamer	kamˈer
cantidad	kantidˈad
anualmente	anwalmˈente
notificacion	notifikasjˈoŋ
Reina	rˈe͡ɪna
bisindario	bisindˈarjo
violencia	vjolˈensja
buelo	bwˈelo
