porowini	pˌɔrɔwˈini
papapaki	pˌapapˈaki
Hōne	hˈɔːne
matakite	mˌatakˈite
manatū	manˈatu"ː
reia	reˈia
Whakaatu	fˌakaˈatu"
pukapuka	pˌu"kapˈu"ka
makawe	makˈawe
Tame	tˈame
ataata	ˌataˈata
kaiuiui	kˌa͡ɪu"iˈu"i
punanga	pu"nˈaŋa
manukanuka	mˌanu"kanˈu"ka
mōrahi	mɔːrˈahi
pohehe	pɔhˈehe
makuku	makˈu"ku"
Tūhono	tu"ːhˈɔnɔ
turaki	tu"rˈaki
Rūnaka	ru"ːnˈaka
karu	kˈaru"
pura	pˈu"ra
waewae	wˈa͡ɪwa͡ɪ
rērere	reːrˈere
Āpiti	aːpˈiti
uara	u"ˈara
takahi	takˈahi
kakahu	kakˈahu"
Keepa	keˈepa
kōhine	kɔːhˈine
nukua	nu"kˈu"a
kōpaka	kɔːpˈaka
Whakarewarewa	fˌakarˌewarˈewa
Tiamani	tˌiamˈani
marea	marˈea
haeretanga	hˌa͡ɪretˈaŋa
Tikitiki	tˌikitˈiki
tautono	tˌau"tˈɔnɔ
pōwhiri	pɔːfˈiri
katipoo	kˌatipˈɔɔ
mōwhiti	mɔːfˈiti
tepe	tˈepe
whakamātao	fˌakamˈaːta͡ʊ
whakakorenga	fˌakakɔrˈeŋa
pipi	pˈipi
mohio	mɔhˈiɔ
reorua	rˌeɔrˈu"a
Hana	hˈana
tānga	tˈaːŋa
hokinga	hɔkˈiŋa
Whakamahinga	fˌakamahˈiŋa
kaiwhakamāori	kˌa͡ɪfakˌamaːˈɔri
maramataka	mˌaramatˈaka
rāpihi	raːpˈihi
hāngū	hˈaːŋu"ː
whakatuwheratanga	fˌakatˌu"feratˈaŋa
hewa	hˈewa
Uara	u"ˈara
titoa	titˈɔa
pitopito	pˌitɔpˈitɔ
Tāpiritanga	tˌaːpiritˈaŋa
taetae	tˈa͡ɪta͡ɪ
Mātaatua	mˌaːtaatˈu"a
mohiotanga	mˌɔhiɔtˈaŋa
hukahuka	hˌu"kahˈu"ka
kirirarau	kˌirirarˈau"
Neke	nˈeke
ngaarara	ŋˌaarˈara
turu	tˈu"ru"
pūrongo	pu"ːrˈɔŋɔ
pīrangi	piːrˈaŋi
nga	ŋˈa
kaporeihana	kˌapɔrˌeihˈana
kati	kˈati
Takawaenga	tˌakawˈa͡ɪŋa
pāpono	paːpˈɔnɔ
tūponotanga	tˌu"ːpɔnɔtˈaŋa
kaiwawao	ka͡ɪwˈawa͡ʊ
huamoni	hˌu"amˈɔni
aho	ˈahɔ
maire	mˈa͡ɪre
Whaiaro	fa͡ɪˈarɔ
harore	harˈɔre
Rapanga	rapˈaŋa
tuara	tu"ˈara
whakatā	fakˈataː
Haimona	ha͡ɪmˈɔna
Tara	tˈara
Waka	wˈaka
hapū	hˈapu"ː
aroturuki	ˌarɔtu"rˈu"ki
Ruapekapeka	rˌu"apˌekapˈeka
Rerenga	rerˈeŋa
Uropi	u"rˈɔpi
hoatu	hɔˈatu"
Ratana	ratˈana
Ruma	rˈu"ma
omaoma	ɔmˈa͡ʊma
Io	ˈiɔ
Ian	ˈian
pia	pˈia
raihana	ra͡ɪhˈana
Kainga	kˈa͡ɪŋa
tapere	tapˈere
Opening	ɔpˈeniŋ
ētehi	eːtˈehi
taote	tˈa͡ʊte
Kawanatanga	kˌawanatˈaŋa
tohungia	tˌɔhu"ŋˈia
mahau	mahˈau"
panga	pˈaŋa
haerenga	ha͡ɪrˈeŋa
kaitono	ka͡ɪtˈɔnɔ
houhia	hˌou"hˈia
Pipi	pˈipi
mirumiru	mˌiru"mˈiru"
ngohengohe	ŋˌɔheŋˈɔhe
porotiti	pˌɔrɔtˈiti
ngātahi	ŋaːtˈahi
whakauru	fˌakaˈu"ru"
Purapura	pˌu"rapˈu"ra
kaute	kaˈu"te
takuta	takˈu"ta
tūtuki	tu"ːtˈu"ki
ngāherehere	ŋˌaːherehˈere
Poneke	pɔnˈeke
maioha	ma͡ɪˈɔha
whakapā	fakˈapaː
takiuru	tˌakiˈu"ru"
tākiri	taːkˈiri
pākeke	paːkˈeke
whakaroto	fˌakarˈɔtɔ
tahataha	tˌahatˈaha
Hangarau	hˌaŋarˈau"
kōrua	kɔːrˈu"a
Marau	marˈau"
Ingarangi	ˌiŋarˈaŋi
ritamano	rˌitamˈanɔ
kōkōwai	kɔːkˈɔːwa͡ɪ
pēnā	pˈeːnaː
Meiha	meˈiha
meneti	menˈeti
whakarākei	fˌakaraːkˈei
kī	kˈiː
matapae	matˈapa͡ɪ
wāwāhitanga	wˌaːwaːhitˈaŋa
matao	mˈata͡ʊ
Kurī	kˈu"riː
raumati	rˌau"mˈati
Otautahi	ˌɔtau"tˈahi
matarua	mˌatarˈu"a
rakatira	rˌakatˈira
kawa	kˈawa
pupuritia	pˌu"pu"ritˈia
uriuri	ˌu"riˈu"ri
Waharoa	wˌaharˈɔa
tākupu	taːkˈu"pu"
pūmahara	pˌu"ːmahˈara
hiwa	hˈiwa
pito	pˈitɔ
Wiki	wˈiki
rare	rˈare
rerehua	rˌerehˈu"a
Katahi	katˈahi
one	ˈɔne
Whiu	fˈiu"
taupoki	tˌau"pˈɔki
Korea	kɔrˈea
pōuri	pɔːˈu"ri
tūtakitanga	tˌu"ːtakitˈaŋa
īnoi	ˈiːno͡ɪ
Kāinga	kaːˈiŋa
whakatauki	fˌakataˈu"ki
Rokohanga	rˌɔkɔhˈaŋa
Rapu	rˈapu"
Muaūpoko	mˌu"au"ːpˈɔkɔ
pirihimana	pˌirihimˈana
Tīpene	tiːpˈene
mihia	mihˈia
karukaru	kˌaru"kˈaru"
Tautoru	tˌau"tˈɔru"
kaka	kˈaka
hanumi	hanˈu"mi
Inā	ˈinaː
horapa	hɔrˈapa
toanga	tɔˈaŋa
pakiwaituhi	pˌakiwa͡ɪtˈu"hi
whakahēngia	fˌakaheːŋˈia
whakatematau	fˌakatˌematˈau"
ngoi	ŋˈo͡ɪ
ritenga	ritˈeŋa
Matua	matˈu"a
takawaenga	tˌakawˈa͡ɪŋa
Work	wˈɔrk
Roroa	rɔrˈɔa
rahui	rahˈu"i
māwhaiwhai	maːfˈa͡ɪfa͡ɪ
hararei	hˌararˈei
Ruatāhuna	rˌu"ataːhˈu"na
Timoti	timˈɔti
tāmia	taːmˈia
Waihau	wa͡ɪhˈau"
weriweri	wˌeriwˈeri
tangata	taŋˈata
whatu	fˈatu"
hōiho	hɔːˈihɔ
iro	ˈirɔ
tokowhitu	tˌɔkɔfˈitu"
Maia	mˈa͡ɪa
Ihu	ˈihu"
ohinga	ɔhˈiŋa
whakawhiwhinga	fˌakafifˈiŋa
whanaketanga	fˌanaketˈaŋa
huahua	hˌu"ahˈu"a
Komiti	kɔmˈiti
pīni	pˈiːni
tautitotito	tˌau"tˌitɔtˈitɔ
tokowhā	tɔkˈɔfaː
whakawhiti	fˌakafˈiti
Taake	taˈake
whakatūpato	fˌakatu"ːpˈatɔ
poupou	pˌou"pˈou"
tautohetohe	tˌau"tˌɔhetˈɔhe
Pīpī	pˈiːpiː
whakahoahoa	fˌakahˌɔahˈɔa
Waaka	waˈaka
tokohia	tˌɔkɔhˈia
huakore	hˌu"akˈɔre
hāngi	hˈaːŋi
pakaru	pakˈaru"
Paetae	pˈa͡ɪta͡ɪ
matenga	matˈeŋa
Whakapā	fakˈapaː
unga	ˈu"ŋa
pātai	pˈaːta͡ɪ
whakaawe	fˌakaˈawe
Rāngai	rˈaːŋa͡ɪ
kaurori	kˌau"rˈɔri
hautanga	hˌau"tˈaŋa
taunekeneke	tˌau"nˌekenˈeke
whakawhiwhi	fˌakafˈifi
urupare	ˌu"ru"pˈare
ārani	aːrˈani
wanawana	wˌanawˈana
whakaarotia	fˌakaˌarɔtˈia
Nāna	nˈaːna
Piripi	pirˈipi
Māramatanga	mˌaːramatˈaŋa
whakamātauria	fˌakamˌaːtau"rˈia
wawetia	wˌawetˈia
Hūrae	hˈu"ːra͡ɪ
onamata	ˌɔnamˈata
ngutuawa	ŋˌu"tu"ˈawa
Atua	atˈu"a
whakae	fˈaka͡ɪ
Whakauru	fˌakaˈu"ru"
tineia	tˌineˈia
Panguru	paŋˈu"ru"
Pere	pˈere
retireti	rˌetirˈeti
rarangi	rarˈaŋi
Tiro	tˈirɔ
Mahia	mahˈia
Kitea	kitˈea
raho	rˈahɔ
hēkeretari	hˌeːkeretˈari
huru	hˈu"ru"
hapa	hˈapa
Puta	pˈu"ta
Tohunga	tɔhˈu"ŋa
Manawatū	mˌanawˈatu"ː
hiranga	hirˈaŋa
tuatini	tˌu"atˈini
Peihopa	pˌeihˈɔpa
Whakaue	fˌakaˈu"e
Makaawhio	mˌakaafˈiɔ
Nau	nˈau"
Miro	mˈirɔ
rekoata	rˌekɔˈata
Kihai	kˈiha͡ɪ
puna	pˈu"na
Rito	rˈitɔ
Rātana	raːtˈana
Tamihana	tˌamihˈana
kaiahuwhenua	kˌa͡ɪahˌu"fenˈu"a
māia	maːˈia
akiaki	ˌakiˈaki
aroaro	ˌarɔˈarɔ
hinonga	hinˈɔŋa
inati	inˈati
tunutunu	tˌu"nu"tˈu"nu"
tōpū	tˈɔːpu"ː
whānau	faːnˈau"
Pāremata	pˌaːremˈata
tuituia	tˌu"itu"ˈia
o	ˈɔ
muka	mˈu"ka
huarākau	hˌu"araːkˈau"
Whakahoki	fˌakahˈɔki
waiwai	wˈa͡ɪwa͡ɪ
whakawhāiti	fˌakafaːˈiti
aria	arˈia
aa	ˈaa
Kiekie	kˌiekˈie
tuu	tˈu"u"
karo	kˈarɔ
tuia	tu"ˈia
poroporoaki	pˌɔrɔpˌɔrɔˈaki
whakapeto	fˌakapˈetɔ
pakeke	pakˈeke
hekenga	hekˈeŋa
wahie	wahˈie
kōanga	kɔːˈaŋa
mawehe	mawˈehe
Karu	kˈaru"
tūmataiti	tˌu"ːmatˈa͡ɪti
Kāi	kˈaːi
whakarite	fˌakarˈite
pōhara	pɔːhˈara
Ngake	ŋˈake
matimati	mˌatimˈati
wūru	wˈu"ːru"
paari	paˈari
notemea	nˌɔtemˈea
pākiki	paːkˈiki
rakau	rakˈau"
tūkinotia	tˌu"ːkinɔtˈia
Pā	pˈaː
raiti	rˈa͡ɪti
huri	hˈu"ri
Whanau	fanˈau"
ho	hˈɔ
manahau	mˌanahˈau"
tohora	tɔhˈɔra
Tāke	tˈaːke
Rukuhia	rˌu"ku"hˈia
Maui	maˈu"i
kake	kˈake
Whakaurua	fˌakau"rˈu"a
karetao	karˈeta͡ʊ
rēhita	reːhˈita
whakahī	fakˈahiː
Pēnei	peːnˈei
wahapū	wahˈapu"ː
Taea	tˈa͡ɪa
Whakaae	fakˈaa͡ɪ
paitini	pa͡ɪtˈini
Ākarana	ˌaːkarˈana
tūtaki	tu"ːtˈaki
Parihaka	pˌarihˈaka
Wenerei	wˌenerˈei
mounu	moˈu"nu"
houra	hoˈu"ra
Kāreti	kaːrˈeti
Tama	tˈama
Maritime	mˌaritˈime
tumu	tˈu"mu"
kapahaka	kˌapahˈaka
Tuakana	tˌu"akˈana
Māna	mˈaːna
kāpō	kˈaːpɔː
kōwhaiwhai	kɔːfˈa͡ɪfa͡ɪ
orokati	ˌɔrɔkˈati
nohopuku	nˌɔhɔpˈu"ku"
kōkiritanga	kˌɔːkiritˈaŋa
tetahi	tetˈahi
Kohinga	kɔhˈiŋa
haunga	haˈu"ŋa
wha	fˈa
whakakāhore	fˌakakaːhˈɔre
pōuritanga	pˌɔːu"ritˈaŋa
pupuru	pu"pˈu"ru"
pūira	pu"ːˈira
ikeike	ˌikeˈike
nōhanga	nɔːhˈaŋa
koiwi	kˈo͡ɪwi
tae	tˈa͡ɪ
takohanga	tˌakɔhˈaŋa
Tuatahi	tˌu"atˈahi
Ākuhata	ˌaːku"hˈata
taone	tˈa͡ʊne
tīkina	tiːkˈina
rautō	raˈu"tɔː
marino	marˈinɔ
tautau	tˌau"tˈau"
iriiri	ˌiriˈiri
raweke	rawˈeke
taitai	tˈa͡ɪta͡ɪ
ina	ˈina
Totara	tɔtˈara
Whārangi	faːrˈaŋi
apu	ˈapu"
Rāniera	rˌaːniˈera
tatahi	tatˈahi
nawai	nˈawa͡ɪ
ngare	ŋˈare
pūrere	pu"ːrˈere
awatea	ˌawatˈea
Oro	ˈɔrɔ
tāroaroa	tˌaːrɔarˈɔa
Aho	ˈahɔ
kawenga	kawˈeŋa
PouakoHe	pˌou"ˈakɔhˈe
pūtoi	pˈu"ːto͡ɪ
raupapa	rˌau"pˈapa
kererū	kerˈeru"ː
rorohiko	rˌɔrɔhˈikɔ
whakatinanahia	fˌakatˌinanahˈia
Whātua	faːtˈu"a
whakahihi	fˌakahˈihi
raupapatanga	rˌau"pˌapatˈaŋa
koke	kˈɔke
mōhio	mɔːhˈiɔ
an	ˈan
ātaahua	ˌaːtaahˈu"a
Papa	pˈapa
whakamāherehere	fˌakamˌaːherehˈere
the	thˈe
mö	mˈɔ
Ruka	rˈu"ka
Whanganui	fˌaŋanˈu"i
tirotiro	tˌirɔtˈirɔ
matou	matˈou"
Hau	hˈau"
ha	hˈa
hurumanu	hˌu"ru"mˈanu"
rāua	raːˈu"a
kuao	kˈu"a͡ʊ
motupaika	mˌɔtu"pˈa͡ɪka
kakati	kakˈati
maka	mˈaka
whakawa	fakˈawa
ohonga	ɔhˈɔŋa
Tenei	tenˈei
amorangi	ˌamɔrˈaŋi
whakahokia	fˌakahɔkˈia
toronga	tɔrˈɔŋa
Tokowhitu	tˌɔkɔfˈitu"
korero	kɔrˈerɔ
whakarerekē	fˌakarerˈekeː
tauākī	tˌau"ˈaːkiː
pare	pˈare
tuhia	tu"hˈia
timu	tˈimu"
kawana	kawˈana
taunaki	tˌau"nˈaki
Waihou	wa͡ɪhˈou"
koanga	kɔˈaŋa
meka	mˈeka
Taonui	ta͡ʊnˈu"i
matikara	mˌatikˈara
kaipūrongo	kˌa͡ɪpu"ːrˈɔŋɔ
whakaoho	fakˈa͡ʊhɔ
whakapuakina	fˌakapˌu"akˈina
whakamamae	fˌakamˈama͡ɪ
puhuruhurutanga	pˌu"hu"rˌu"hu"ru"tˈaŋa
Tautake	tˌau"tˈake
whakaea	fakˈa͡ɪa
oma	ˈɔma
waiū	wˈa͡ɪu"ː
hīmene	hiːmˈene
hunga	hˈu"ŋa
koinā	kˈo͡ɪnaː
whakangungua	fˌakaŋu"ŋˈu"a
teneti	tenˈeti
ahau	ahˈau"
whiu	fˈiu"
Māori	maːˈɔri
nunumi	nu"nˈu"mi
āhuarangi	ˌaːhu"arˈaŋi
whakaangi	fˌakaˈaŋi
Rangahau	rˌaŋahˈau"
taiao	tˈa͡ɪa͡ʊ
Roopu	rɔˈɔpu"
aukati	ˌau"kˈati
take	tˈake
Kiki	kˈiki
Matapakia	mˌatapakˈia
whakamuri	fˌakamˈu"ri
tonutanga	tˌɔnu"tˈaŋa
Waimamaku	wˌa͡ɪmamˈaku"
ahumoana	ˌahu"mɔˈana
whakaingoa	fˌaka͡ɪŋˈɔa
püoru	pu"ˈɔru"
Kauwhata	kˌau"fˈata
hāwhe	hˈaːfe
motumotu	mˌɔtu"mˈɔtu"
pūataata	pˌu"ːataˈata
ka	kˈa
tapahi	tapˈahi
Tāhūhū	taːhˈu"ːhu"ː
Hami	hˈami
moumou	mˌou"mˈou"
hohoro	hɔhˈɔrɔ
papatuhituhi	pˌapatˌu"hitˈu"hi
haria	harˈia
kīhini	kiːhˈini
maungārongo	mˌau"ŋaːrˈɔŋɔ
Kōmiti	kɔːmˈiti
ūhia	u"ːhˈia
Hongi	hˈɔŋi
matua	matˈu"a
Ruatapu	rˌu"atˈapu"
amio	amˈiɔ
Hauauru	hˌau"aˈu"ru"
takitoru	tˌakitˈɔru"
Tiwhikete	tˌifikˈete
Kānata	kaːnˈata
ranga	rˈaŋa
raumata	rˌau"mˈata
arotahinga	ˌarɔtahˈiŋa
pūmua	pu"ːmˈu"a
hiringa	hirˈiŋa
Ohu	ˈɔhu"
pūnaha	pu"ːnˈaha
pūkoro	pu"ːkˈɔrɔ
timata	timˈata
tāia	taːˈia
tuawhā	tu"ˈafaː
Kāore	kaːˈɔre
rēhia	reːhˈia
nāianei	nˌaːianˈei
whakatupuranga	fˌakatˌu"pu"rˈaŋa
mataora	matˈa͡ʊra
Hore	hˈɔre
Tīmoti	tiːmˈɔti
on	ˈɔn
wāhitanga	wˌaːhitˈaŋa
whakapuaki	fˌakapu"ˈaki
tupu	tˈu"pu"
pēhea	peːhˈea
raki	rˈaki
Pepuere	pˌepu"ˈere
methamphetamine	mˌethamphˌetamˈine
no	nˈɔ
maikuku	ma͡ɪkˈu"ku"
pürongo	pu"rˈɔŋɔ
Hei	hˈei
tokotoru	tˌɔkɔtˈɔru"
hukea	hu"kˈea
kiri	kˈiri
paipa	pˈa͡ɪpa
Whakamātauria	fˌakamˌaːtau"rˈia
ngeri	ŋˈeri
Whakarae	fakˈara͡ɪ
Iron	ˈirɔn
Opera	ɔpˈera
hakinakina	hˌakinakˈina
Tino	tˈinɔ
Inia	inˈia
puni	pˈu"ni
Ma	mˈa
ōritenga	ˌɔːritˈeŋa
Arthur	ˈarthu"r
Poutama	pˌou"tˈama
Union	u"nˈiɔn
Nihoniho	nˌihɔnˈihɔ
Tangata	taŋˈata
Haratua	hˌaratˈu"a
Wharekahika	fˌarekahˈika
Mate	mˈate
Whakautua	fˌakau"tˈu"a
pekepeke	pˌekepˈeke
ānō	ˈaːnɔː
mua	mˈu"a
Waea	wˈa͡ɪa
Ngāti	ŋˈaːti
tua	tˈu"a
titia	titˈia
mau	mˈau"
Tangihōro	tˌaŋihˈɔːrɔ
meremere	mˌeremˈere
Whakaaetanga	fˌakaa͡ɪtˈaŋa
mataara	mˌataˈara
heeki	heˈeki
whakapaea	fˌakapˈa͡ɪa
tūhonotanga	tˌu"ːhɔnɔtˈaŋa
mohoao	mɔhˈɔa͡ʊ
pāpātanga	pˌaːpaːtˈaŋa
whakawakanga	fˌakawakˈaŋa
whakakotahitanga	fˌakakˌɔtahitˈaŋa
nuku	nˈu"ku"
kirikā	kirˈikaː
out	ˈou"t
hoake	hɔˈake
Rangatahi	rˌaŋatˈahi
whakaakongia	fˌakaˌakɔŋˈia
tāpoi	tˈaːpo͡ɪ
puihi	pu"ˈihi
rautaki	rˌau"tˈaki
Taurangi	tˌau"rˈaŋi
Maru	mˈaru"
tino	tˈinɔ
whaiaro	fa͡ɪˈarɔ
pāpāhua	pˌaːpaːhˈu"a
tāniko	taːnˈikɔ
whakaoranga	fˌaka͡ʊrˈaŋa
korenga	kɔrˈeŋa
Kerikeri	kˌerikˈeri
Makino	makˈinɔ
Turi	tˈu"ri
Emma	ˈemma
Inaianei	ˌina͡ɪanˈei
Aupouri	ˌau"poˈu"ri
mimiti	mimˈiti
Aratohu	ˌaratˈɔhu"
tāngata	taːŋˈata
Pōwhiri	pɔːfˈiri
poipoia	po͡ɪpˈo͡ɪa
Puketeraki	pˌu"keterˈaki
tokomaha	tˌɔkɔmˈaha
whakapākehātanga	fˌakapˌaːkehaːtˈaŋa
whakawehenga	fˌakawehˈeŋa
koia	kˈo͡ɪa
Tē	tˈeː
kōpu	kˈɔːpu"
tūhura	tu"ːhˈu"ra
korerorero	kˌɔrerɔrˈerɔ
poropiti	pˌɔrɔpˈiti
Tainui	ta͡ɪnˈu"i
kōwae	kˈɔːwa͡ɪ
ēngari	eːŋˈari
whakawhiu	fˌakafˈiu"
weri	wˈeri
whakamaua	fˌakamaˈu"a
pāuna	paːˈu"na
huaina	hu"ˈa͡ɪna
parehe	parˈehe
Ahakoa	ˌahakˈɔa
pakihi	pakˈihi
whakakai	fakˈaka͡ɪ
whāwhā	fˈaːfaː
Hape	hˈape
Kerēme	kerˈeːme
Noema	nwˈema
Ēngari	eːŋˈari
takotoranga	tˌakɔtɔrˈaŋa
ngētehi	ŋeːtˈehi
whakaawhiwhi	fˌakaafˈifi
kātua	kaːtˈu"a
niu	nˈiu"
tōia	tɔːˈia
whāki	fˈaːki
kaitohu	ka͡ɪtˈɔhu"
tana	tˈana
ōnā	ˈɔːnaː
Tamaiti	tamˈa͡ɪti
pahore	pahˈɔre
whāea	faːˈea
powhiri	pɔfˈiri
kōhungahunga	kˌɔːhu"ŋahˈu"ŋa
mā	mˈaː
KO	kˈɔ
āmati	aːmˈati
NEMP	nˈemp
kakano	kakˈanɔ
roko	rˈɔkɔ
Uri	ˈu"ri
whakakitea	fˌakakitˈea
Ae	ˈa͡ɪ
ngaherehere	ŋˌaherehˈere
iranga	irˈaŋa
penihana	pˌenihˈana
aratakina	ˌaratakˈina
Rāwhiti	raːfˈiti
matatau	mˌatatˈau"
kumara	ku"mˈara
kōhao	kˈɔːha͡ʊ
It	ˈit
Hauora	hˌau"ˈɔra
Hītori	hiːtˈɔri
whakaekenga	fˌaka͡ɪkˈeŋa
matahuhua	mˌatahu"hˈu"a
Pehi	pˈehi
parekareka	pˌarekarˈeka
Tāwhirimātea	tˌaːfirˌimaːtˈea
Tatari	tatˈari
arataki	ˌaratˈaki
Tangohanga	tˌaŋɔhˈaŋa
pūkei	pu"ːkˈei
ngota	ŋˈɔta
tātahi	taːtˈahi
toku	tˈɔku"
waenganui	wˌa͡ɪŋanˈu"i
whakaekea	fˌaka͡ɪkˈea
Kāwana	kaːwˈana
kaokao	kˈa͡ʊka͡ʊ
tekau	tekˈau"
whakapaingia	fˌakapa͡ɪŋˈia
āhukahuka	ˌaːhu"kahˈu"ka
Māoritanga	mˌaːɔritˈaŋa
Pūrehuroa	pˌu"ːrehu"rˈɔa
hīkoikoi	hiːkˈo͡ɪko͡ɪ
Power	pˈɔwer
taria	tarˈia
pūtau	pu"ːtˈau"
kaimoana	kˌa͡ɪmɔˈana
kōiwi	kɔːˈiwi
Pēnā	pˈeːnaː
horo	hˈɔrɔ
rua	rˈu"a
tūroa	tu"ːrˈɔa
tango	tˈaŋɔ
konohete	kˌɔnɔhˈete
matawhenua	mˌatafenˈu"a
pūkohu	pu"ːkˈɔhu"
kihai	kˈiha͡ɪ
raatou	rˌaatˈou"
Ōtākou	ˌɔːtaːkˈou"
kākahu	kaːkˈahu"
Hāpara	haːpˈara
tete	tˈete
Koura	koˈu"ra
repo	rˈepɔ
Wanganui	wˌaŋanˈu"i
aio	ˈa͡ɪɔ
whānui	faːnˈu"i
Tini	tˈini
Pāora	paːˈɔra
Tatou	tatˈou"
Whāngārā	faːŋˈaːraː
kapi	kˈapi
The	thˈe
Wera	wˈera
whakaritenga	fˌakaritˈeŋa
whakamauru	fˌakamaˈu"ru"
ākona	aːkˈɔna
ahiahi	ˌahiˈahi
pangarau	pˌaŋarˈau"
whakatikatikahia	fˌakatˌikatˌikahˈia
matara	matˈara
tahitia	tˌahitˈia
Raihania	rˌa͡ɪhanˈia
Tāmati	taːmˈati
mō	mˈɔː
kokoti	kɔkˈɔti
huhua	hu"hˈu"a
Kopu	kˈɔpu"
Aurere	ˌau"rˈere
Whakarewa	fˌakarˈewa
huka	hˈu"ka
Puhiwahine	pˌu"hiwahˈine
kapoa	kapˈɔa
whakamahia	fˌakamahˈia
kōharinga	kˌɔːharˈiŋa
māua	maːˈu"a
Pakeha	pakˈeha
Kumara	ku"mˈara
tama	tˈama
tonu	tˈɔnu"
Herewini	hˌerewˈini
Kaua	kaˈu"a
kōwhai	kˈɔːfa͡ɪ
uaratanga	ˌu"aratˈaŋa
hine	hˈine
Awakairangi	ˌawaka͡ɪrˈaŋi
horoia	hɔrˈo͡ɪa
Mataora	matˈa͡ʊra
Pākehā	paːkˈehaː
waahi	waˈahi
moemoea	mwemwˈea
Whakataetae	fˌakatˈa͡ɪta͡ɪ
angitūtanga	ˌaŋitu"ːtˈaŋa
tautohetia	tˌau"tˌɔhetˈia
whakawhitihia	fˌakafˌitihˈia
iii	iˈii
Hapani	hapˈani
pūmatua	pˌu"ːmatˈu"a
angaanga	ˌaŋaˈaŋa
konutai	kɔnˈu"ta͡ɪ
kaingākau	kˌa͡ɪŋaːkˈau"
Nāwai	nˈaːwa͡ɪ
punaha	pu"nˈaha
hoenga	hwˈeŋa
Akau	akˈau"
More	mˈɔre
Mei	mˈei
hurihuri	hˌu"rihˈu"ri
paku	pˈaku"
patupaiarehe	pˌatu"pˌa͡ɪarˈehe
ririki	rirˈiki
whakahaeretia	fˌakahˌa͡ɪretˈia
koi	kˈo͡ɪ
atamai	atˈama͡ɪ
tare	tˈare
Weka	wˈeka
tari	tˈari
akina	akˈina
tuarua	tˌu"arˈu"a
katahi	katˈahi
Nohotima	nˌɔhɔtˈima
tö	tˈɔ
aromātai	ˌarɔmˈaːta͡ɪ
anō	ˈanɔː
puta	pˈu"ta
Puanga	pu"ˈaŋa
whakarārangi	fˌakaraːrˈaŋi
koeko	kwˈekɔ
kaitā	kˈa͡ɪtaː
Whakatohea	fˌakatɔhˈea
Haki	hˈaki
Erangi	erˈaŋi
ngana	ŋˈana
hākari	haːkˈari
ama	ˈama
Mangere	maŋˈere
Maioha	ma͡ɪˈɔha
kāwai	kˈaːwa͡ɪ
Ākene	aːkˈene
Rangiātea	rˌaŋiaːtˈea
pekanga	pekˈaŋa
pania	panˈia
tētē	tˈeːteː
Ema	ˈema
tuhinga	tu"hˈiŋa
Hokowhitu	hˌɔkɔfˈitu"
whakapakari	fˌakapakˈari
reiti	reˈiti
Timi	tˈimi
hī	hˈiː
mea	mˈea
Parker	pˈarker
kotahitanga	kˌɔtahitˈaŋa
maui	maˈu"i
Pōkiha	pɔːkˈiha
mahitahi	mˌahitˈahi
hāpori	haːpˈɔri
rewena	rewˈena
totoka	tɔtˈɔka
Tere	tˈere
Huata	hu"ˈata
tauhohe	tˌau"hˈɔhe
whakahiki	fˌakahˈiki
kitehia	kˌitehˈia
Rāwhitiroa	rˌaːfitirˈɔa
three	thrˈee
Noho	nˈɔhɔ
main	mˈa͡ɪn
hira	hˈira
werohia	wˌerɔhˈia
waihoki	wa͡ɪhˈɔki
Kawenga	kawˈeŋa
mēra	mˈeːra
whātoro	faːtˈɔrɔ
Ipurangi	ˌipu"rˈaŋi
koropuku	kˌɔrɔpˈu"ku"
kōrerorero	kˌɔːrerɔrˈerɔ
Whakawhiti	fˌakafˈiti
ohanga	ɔhˈaŋa
tahia	tahˈia
awheawhe	ˌafeˈafe
Pine	pˈine
hainahia	hˌa͡ɪnahˈia
Kaimai	kˈa͡ɪma͡ɪ
hātepe	haːtˈepe
Ōtautahi	ˌɔːtau"tˈahi
peenei	pˌeenˈei
takea	takˈea
tini	tˈini
maatau	mˌaatˈau"
wairehu	wa͡ɪrˈehu"
āpitihanga	ˌaːpitihˈaŋa
kimi	kˈimi
tiwhikete	tˌifikˈete
Hāriata	hˌaːriˈata
hauwai	haˈu"wa͡ɪ
whānuitia	fˌaːnu"itˈia
hui	hˈu"i
Peter	pˈeter
whakatairite	fˌakata͡ɪrˈite
horahia	hˌɔrahˈia
ngari	ŋˈari
Koroni	kɔrˈɔni
pungapunga	pˌu"ŋapˈu"ŋa
tūhāhā	tu"ːhˈaːhaː
kōwhiringa	kˌɔːfirˈiŋa
Taurahere	tˌau"rahˈere
hokihoki	hˌɔkihˈɔki
atamira	ˌatamˈira
Tireiniamu	tˌireˌiniˈamu"
Tihema	tihˈema
Tina	tˈina
Tāpiripiri	tˌaːpiripˈiri
mihimihi	mˌihimˈihi
Kao	kˈa͡ʊ
Otiia	ˌɔtiˈia
haerehia	hˌa͡ɪrehˈia
īnanga	iːnˈaŋa
huapae	hu"ˈapa͡ɪ
kaiako	ka͡ɪˈakɔ
pēwhea	peːfˈea
mānukanuka	mˌaːnu"kanˈu"ka
Mārama	maːrˈama
Kōwhiri	kɔːfˈiri
taaea	taˈa͡ɪa
