lô cốt	lo˧˧kok͡p˦˥
linh thiêng	lin˧˧tʰiəŋ˧˧
điện thoại viên	diəŋ˨˩˨tʰwaj˨˩˨jiəŋ˧˧
phát đoan	fat˦˥dwaŋ˧˧
tám xá	tam˦˥sa˦˥
chơi vơi	cɤj˧˧jɤj˧˧
nghêu	ŋɛu˧˧
cái ách bỏ dây, cái cày bỏ đó	kaj˦˥at˦˥bɔ˨˩˦jɤ̆j˧˧kaj˦˥kăj˧˨bɔ˨˩˦dɔ˦˥
thuở	tʰuə˨˩˦
dửng	jɯŋ˨˩˦
bánh cóc	ban˦˥kɔk͡p˦˥
đau lưng	dăw˧˧lɯŋ˧˧
oăn oại	wăŋ˧˧waj˨˩˨
tiểu não	tiəw˨˩˦naw˨˩˦
nguyên nhân	ŋwiəŋ˧˧ɲɤ̆ŋ˧˧
suối bau	ʂuəj˦˥băw˧˧
lan trùng	laŋ˧˧ʈuŋ͡m˧˨
nói thác	nɔj˦˥tʰak˦˥
đỏ quạch	dɔ˨˩˦wat˨˩˨
chưa	cɯə˧˧
cờ tiên rượu thánh	kɤ˧˨tiəŋ˧˧ʐɯəw˨˩˨tʰan˦˥
moóc-chê	mɔk͡p˦˥-ce˧˧
hư phí	hɯ˧˧fi˦˥
buồm lòng	bum˧˨lɔŋ͡m˧˨
ôm chân	om˧˧cɤ̆ŋ˧˧
đồ lề	do˧˨le˧˨
khó sạch rách thơm	xɔ˦˥ʂat˨˩˨ʐat˦˥tʰɤm˧˧
đói cơm	dɔj˦˥kɤm˧˧
thức thức	tʰɯk˦˥tʰɯk˦˥
tròng lọng	ʈɔŋ͡m˧˨lɔŋ͡m˨˩˨
ngồi khuất bóng	ŋoj˧˨xwɤ̆k˦˥bɔŋ͡m˦˥
bánh bột đậu	ban˦˥bok͡p˨˩˨dɤ̆w˨˩˨
gạch non	ɣat˨˩˨nɔŋ͡m˧˧
kháng sinh	xaŋ˦˥ʂin˧˧
tiện kỹ	tiəŋ˨˩˨ki˨˩˦
rậm người hơn rậm của	ʐɤ̆m˨˩˨ŋɯəj˧˨hɤŋ˧˧ʐɤ̆m˨˩˨kuə˨˩˦
cái khó tỏ cái khôn	kaj˦˥xɔ˦˥tɔ˨˩˦kaj˦˥xoŋ͡m˧˧
lý dịch	li˦˥jit˨˩˨
sơn xuân	ʂɤŋ˧˧swɤ̆ŋ˧˧
kiết cú	kiək˦˥ku˦˥
ngư lôi	ŋɯ˧˧loj˧˧
khó nhai	xɔ˦˥ɲaj˧˧
giơ-tông	jɤ˧˧-toŋ͡m˧˧
có hứng	kɔ˦˥hɯŋ˦˥
cải ác qui thiện	kaj˨˩˦ak˦˥wi˧˧tʰiəŋ˨˩˨
đàn nam giao	daŋ˧˨nam˧˧jaw˧˧
ghen tị	ɣɛŋ˧˧ti˨˩˨
buồn bã	buəŋ˧˨ba˨˩˦
kiếm chác	kim˦˥cak˦˥
cơ quan quyền lực nhà nước	kɤ˧˧waŋ˧˧wiɛŋ˧˨lɯk˨˩˨ɲa˧˨nɯək˦˥
quạu	wăw˨˩˨
tiên thủ	tiəŋ˧˧tʰu˨˩˦
gái giang hồ	ɣaj˦˥jaŋ˧˧ho˧˨
chửi lắm mỏi mồm	cɯj˨˩˦lăm˦˥mɔj˨˩˦mom˧˨
gan sành dạ sỏi	ɣaŋ˧˧ʂan˧˨ja˨˩˨ʂɔj˨˩˦
toà soạn	twa˧˨ʂwaŋ˨˩˨
rét cắt da cắt thịt	ʐɛt˦˥kăk˦˥ja˧˧kăk˦˥tʰit˨˩˨
bùa mê thuốc lú	buə˧˨me˧˧tʰuək˦˥lu˦˥
ăn non	ăŋ˧˧nɔŋ͡m˧˧
gỗ dát	ɣo˨˩˦jat˦˥
nựng nịu	nɯŋ˨˩˨niw˨˩˨
phạm vi	fam˨˩˨ji˧˧
chín hồi	cin˦˥hoj˧˨
lem lém	lɛm˧˧lɛm˦˥
gan gà	ɣaŋ˧˧ɣa˧˨
đặc trị	dăk˨˩˨ʈi˨˩˨
tây đằng	tɤ̆j˧˧dăŋ˧˨
ngậm nước	ŋɤ̆m˨˩˨nɯək˦˥
lòi ruột	lɔj˧˨ʐuək˨˩˨
bến gối	ben˦˥ɣoj˦˥
bóp xổi	bɔp˦˥soj˨˩˦
cơm khê tại lửa	kɤm˧˧xe˧˧taj˨˩˨lɯə˨˩˦
chua lòm	cuə˧˧lɔm˧˨
thoán vị	tʰwaŋ˦˥ji˨˩˨
rửa thù	ʐɯə˨˩˦tʰu˧˨
bấm ngọn	bɤ̆m˦˥ŋɔŋ͡m˨˩˨
ca-bi-nê	ka˧˧-bi˧˧-ne˧˧
ngày hoá	ŋăj˧˨hwa˦˥
ăn có	ăŋ˧˧kɔ˦˥
già dặn	ja˧˨jăŋ˨˩˨
sang sổ	ʂaŋ˧˧ʂo˨˩˦
phối nhạc	foj˦˥ɲak˨˩˨
bích qui	bit˦˥wi˧˧
cực khổ	kɯk˨˩˨xo˨˩˦
chuệch choạc	cwet˨˩˨cwak˨˩˨
xong	sɔŋ͡m˧˧
nhón gót	ɲɔŋ͡m˦˥ɣɔk͡p˦˥
day	jăj˧˧
to	tɔ˧˧
nghỉ đông	ŋi˨˩˦doŋ͡m˧˧
linh cảm	lin˧˧kam˨˩˦
làu	lăw˧˨
bu nó	bu˧˧nɔ˦˥
xuyên tâm	swiəŋ˧˧tɤ̆m˧˧
tớn táo	tɤŋ˦˥taw˦˥
gậy tầm vông	ɣɤ̆j˨˩˨tɤ̆m˧˨joŋ͡m˧˧
nghìn vàng khôn chuộc	ŋin˧˨jaŋ˧˨xoŋ͡m˧˧cuək˨˩˨
trật lất	ʈɤ̆k˨˩˨lɤ̆k˦˥
tả lủng	ta˨˩˦luŋ͡m˨˩˦
quỉ	wi˨˩˦
cho đang	cɔ˧˧daŋ˧˧
chó vện	cɔ˦˥jen˨˩˨
lủng liểng	luŋ͡m˨˩˦liəŋ˨˩˦
tổng động binh	toŋ͡m˨˩˦doŋ͡m˨˩˨bin˧˧
ngụp lặn	ŋup˨˩˨lăŋ˨˩˨
bỗng nhưng	boŋ͡m˨˩˦ɲɯŋ˧˧
giát lò	jat˦˥lɔ˧˨
cao nung	kaw˧˧nuŋ͡m˧˧
ỉ oi	i˨˩˦ɔj˧˧
tanh	tan˧˧
xuất gia	swɤ̆k˦˥ja˧˧
đánh xi	dan˦˥si˧˧
trừ diệt	ʈɯ˧˨jiək˨˩˨
lúa chiêm quái vụ	luə˦˥cim˧˧waj˦˥ju˨˩˨
đồng dân	doŋ͡m˧˨jɤ̆ŋ˧˧
quảng thành	waŋ˨˩˦tʰan˧˨
cằn nhằn	kăŋ˧˨ɲăŋ˧˨
trắc thủ	ʈăk˦˥tʰu˨˩˦
thụ chức	tʰu˨˩˨cɯk˦˥
phân bố	fɤ̆ŋ˧˧bo˦˥
bạch huyết cầu	bat˨˩˨hwiək˦˥kɤ̆w˧˨
hấp dẫn	hɤ̆p˦˥jɤ̆ŋ˨˩˦
đã khát	da˨˩˦xat˦˥
tối ưu hóa	toj˦˥ɯw˧˧hwa˦˥
trước khi	ʈɯək˦˥xi˧˧
chương hướng	cɯəŋ˧˧hɯəŋ˦˥
cắng	kăŋ˦˥
bác lãm	bak˦˥lam˨˩˦
sàm	ʂam˧˨
xướng ca	sɯəŋ˦˥ka˧˧
hở chuyện	hɤ˨˩˦cwiəŋ˨˩˨
kiểm ngư	kim˨˩˦ŋɯ˧˧
khoá chữ	xwa˦˥cɯ˨˩˦
ôn dịch	oŋ͡m˧˧jit˨˩˨
nam sử	nam˧˧ʂɯ˨˩˦
kim ngân	kim˧˧ŋɤ̆ŋ˧˧
ướt sũng	ɯək˦˥ʂuŋ͡m˨˩˦
hoà điệu	hwa˧˨diəw˨˩˨
bung búng như ngậm hột thị	buŋ͡m˧˧buŋ͡m˦˥ɲɯ˧˧ŋɤ̆m˨˩˨hok͡p˨˩˨tʰi˨˩˨
tiêm truyền	tim˧˧ʈwiəŋ˧˨
bộ ba	bo˨˩˨ba˧˧
nô-en	no˧˧-ɛŋ˧˧
nguồn gốc	ŋuəŋ˧˨ɣok͡p˦˥
nhất thống	ɲɤ̆k˦˥tʰoŋ͡m˦˥
nhác nhớn	ɲak˦˥ɲɤŋ˦˥
cá chiên	ka˦˥ciəŋ˧˧
sùi sùi	ʂuj˧˨ʂuj˧˨
quyết minh	wiɛt˦˥min˧˧
loai ngoai	lwaj˧˧ŋwaj˧˧
kia mà	kiə˧˧ma˧˨
bể trời	be˨˩˦ʈɤj˧˨
chiêng trống	ciəŋ˧˧ʈoŋ͡m˦˥
lóng rày	lɔŋ͡m˦˥ʐăj˧˨
chôn cất	coŋ͡m˧˧kɤ̆k˦˥
có ngần	kɔ˦˥ŋɤ̆ŋ˧˨
khí vận	xi˦˥jɤ̆ŋ˨˩˨
phải cách	faj˨˩˦kat˦˥
được ăn cả ngã về không	dɯək˨˩˨ăŋ˧˧ka˨˩˦ŋa˨˩˦je˧˨xoŋ͡m˧˧
khi đầu	xi˧˧dɤ̆w˧˨
toán lí	twaŋ˦˥li˦˥
luông luốc	luəŋ˧˧luək˦˥
vân canh	jɤ̆ŋ˧˧kan˧˧
o-xýt	ɔ˧˧-sit˦˥
mộc già	mok͡p˨˩˨ja˧˨
kể lại	ke˨˩˦laj˨˩˨
sậm sịch	ʂɤ̆m˨˩˨ʂit˨˩˨
xệch xạc	set˨˩˨sak˨˩˨
luỹ giảm	lwi˨˩˦jam˨˩˦
ống dẫn	oŋ͡m˦˥jɤ̆ŋ˨˩˦
chó biển	cɔ˦˥biəŋ˨˩˦
giạng	jaŋ˨˩˨
đàn nhật	daŋ˧˨ɲɤ̆k˨˩˨
nguyên canh	ŋwiəŋ˧˧kan˧˧
toét nhèm	twet˦˥ɲɛm˧˨
hây	hɤ̆j˧˧
đồng thiếp	doŋ͡m˧˨tʰip˦˥
đường trường	dɯəŋ˧˨ʈɯəŋ˧˨
vùi đầu vùi cổ	juj˧˨dɤ̆w˧˨juj˧˨ko˨˩˦
con bận con mọn	kɔŋ͡m˧˧bɤ̆ŋ˨˩˨kɔŋ͡m˧˧mɔŋ͡m˨˩˨
biếm họa	bim˦˥hwa˨˩˨
ghi lòng tạc dạ	ɣi˧˧lɔŋ͡m˧˨tak˨˩˨ja˨˩˨
dằn lòng	jăŋ˧˨lɔŋ͡m˧˨
quan bán	waŋ˧˧baŋ˦˥
xéo xẹo	seo˦˥seo˨˩˨
đánh liều	dan˦˥liəw˧˨
đấu bò	dɤ̆w˦˥bɔ˧˨
thụt nhuận tràng	tʰuk͡p˨˩˨ɲwɤ̆ŋ˨˩˨ʈaŋ˧˨
quỳnh nhai	win˧˨ɲaj˧˧
ấn đường	ɤ̆ŋ˦˥dɯəŋ˧˨
đoạn mại	dwaŋ˨˩˨maj˨˩˨
rảnh việc	ʐan˨˩˦jiək˨˩˨
thủ thành	tʰu˨˩˦tʰan˧˨
gác sân	ɣak˦˥ʂɤ̆ŋ˧˧
thuận	tʰwɤ̆ŋ˨˩˨
trang đài	ʈaŋ˧˧daj˧˨
công nợ	koŋ͡m˧˧nɤ˨˩˨
tụ bạ	tu˨˩˨ba˨˩˨
tự vệ	tɯ˨˩˨je˨˩˨
nước nôi	nɯək˦˥noj˧˧
áo gi-lê	aw˦˥ji˧˧-le˧˧
gò gẫm	ɣɔ˧˨ɣɤ̆m˨˩˦
xiêu lòng	siəw˧˧lɔŋ͡m˧˨
khét lẹt	xɛt˦˥lɛt˨˩˨
xấu dạ	sɤ̆w˦˥ja˨˩˨
tẩn	tɤ̆ŋ˨˩˦
vĩnh mỹ	jin˨˩˦mi˨˩˦
cơ cấu	kɤ˧˧kɤ̆w˦˥
rôm rốp	ʐom˧˧ʐop˦˥
trần quốc khang	ʈɤ̆ŋ˧˨wok͡p˦˥xaŋ˧˧
trâu bò húc nhau ruồi muỗi chết	ʈɤ̆w˧˧bɔ˧˨huk͡p˦˥ɲăw˧˧ʐuəj˧˨muəj˨˩˦cet˦˥
gộ	ɣo˨˩˨
quả xanh nanh sắc	wa˨˩˦san˧˧nan˧˧ʂăk˦˥
oi ả	ɔj˧˧a˨˩˦
quý hiếm	wi˦˥him˦˥
quan tâm	waŋ˧˧tɤ̆m˧˧
phởn chí	fɤŋ˨˩˦ci˦˥
muỗi cát	muəj˨˩˦kat˦˥
nhần nhận	ɲɤ̆ŋ˧˨ɲɤ̆ŋ˨˩˨
nhiều làm phúc, ít làm duyên	ɲiəw˧˨lam˧˨fuk͡p˦˥it˦˥lam˧˨jwiəŋ˧˧
gốc nguồn	ɣok͡p˦˥ŋuəŋ˧˨
phá trinh	fa˦˥ʈin˧˧
đồi bại	doj˧˨baj˨˩˨
bóp tầm phơ	bɔp˦˥tɤ̆m˧˨fɤ˧˧
ba ngày	ba˧˧ŋăj˧˨
dải màn	jaj˨˩˦maŋ˧˨
khu vực ảnh hưởng	xu˧˧jɯk˨˩˨an˨˩˦hɯəŋ˨˩˦
chê cười	ce˧˧kɯəj˧˨
ngẫm âu	ŋɤ̆m˨˩˦ɤ̆w˧˧
chất đệm	cɤ̆k˦˥dem˨˩˨
bơ ngơ	bɤ˧˧ŋɤ˧˧
thủ từ	tʰu˨˩˦tɯ˧˨
lênh láng	len˧˧laŋ˦˥
nùng	nuŋ͡m˧˨
thượng đế	tʰɯəŋ˨˩˨de˦˥
làm phép	lam˧˨fɛp˦˥
buồn	buəŋ˧˨
mông-ta	moŋ͡m˧˧-ta˧˧
dày công	jăj˧˨koŋ͡m˧˧
dân viện	jɤ̆ŋ˧˧jiəŋ˨˩˨
đối lưu	doj˦˥lɯw˧˧
không chiến	xoŋ͡m˧˧ciəŋ˦˥
nội tạng	noj˨˩˨taŋ˨˩˨
trùn	ʈuŋ͡m˧˨
vòn vọt	jɔŋ͡m˧˨jɔk͡p˨˩˨
sư đoàn bộ	ʂɯ˧˧dwaŋ˧˨bo˨˩˨
đồng cảm	doŋ͡m˧˨kam˨˩˦
gián phân	jaŋ˦˥fɤ̆ŋ˧˧
ngang bướng	ŋaŋ˧˧bɯəŋ˦˥
quờ quào	wɤ˧˨waw˧˨
giáng họa	jaŋ˦˥hwa˨˩˨
sinh sự, sự sinh	ʂin˧˧ʂɯ˨˩˨ʂɯ˨˩˨ʂin˧˧
ảnh kế	an˨˩˦ke˦˥
vô niệu	jo˧˧niəw˨˩˨
trống đánh xuôi	ʈoŋ͡m˦˥dan˦˥suəj˧˧
tòa án	twa˧˨aŋ˦˥
chư tướng	cɯ˧˧tɯəŋ˦˥
y-lơng	i˧˧-lɤŋ˧˧
nói trại	nɔj˦˥ʈaj˨˩˨
bặt tăm	băk˨˩˨tăm˧˧
cung chúc tân xuân	kuŋ͡m˧˧cuk͡p˦˥tɤ̆ŋ˧˧swɤ̆ŋ˧˧
tá tràng	ta˦˥ʈaŋ˧˨
cấp tập	kɤ̆p˦˥tɤ̆p˨˩˨
bửu đảo	bɯw˨˩˦daw˨˩˦
mã lai-đa đảo	ma˨˩˦laj˧˧-da˧˧daw˨˩˦
cờ bạc khát nước	kɤ˧˨bak˨˩˨xat˦˥nɯək˦˥
bỉnh bút	bin˨˩˦buk͡p˦˥
sân cỏ	ʂɤ̆ŋ˧˧kɔ˨˩˦
thiên sứ	tʰiəŋ˧˧ʂɯ˦˥
lận đận	lɤ̆ŋ˨˩˨dɤ̆ŋ˨˩˨
tâm hồn	tɤ̆m˧˧hoŋ͡m˧˨
nắng	năŋ˦˥
nhắp	ɲăp˦˥
tô điểm	to˧˧dim˨˩˦
trưởng kho	ʈɯəŋ˨˩˦xɔ˧˧
sô-lít	ʂo˧˧-lit˦˥
một ngày mai	mok͡p˨˩˨ŋăj˧˨maj˧˧
thanh âm	tʰan˧˧ɤ̆m˧˧
sụm	ʂum˨˩˨
sài cẩu	ʂaj˧˨kɤ̆w˨˩˦
phù phép	fu˧˨fɛp˦˥
chè chén	cɛ˧˨cɛŋ˦˥
tiều tuỵ	tiəw˧˨twi˨˩˨
rợ	ʐɤ˨˩˨
đại hạn gặp mưa rào	daj˨˩˨haŋ˨˩˨ɣăp˨˩˨mɯə˧˧ʐaw˧˨
trắng bệch	ʈăŋ˦˥bet˨˩˨
thi	tʰi˧˧
thế mà	tʰe˦˥ma˧˨
lả tả	la˨˩˦ta˨˩˦
đậm đà	dɤ̆m˨˩˨da˧˨
làm rể	lam˧˨ʐe˨˩˦
động đất động cát	doŋ͡m˨˩˨dɤ̆k˦˥doŋ͡m˨˩˨kat˦˥
thuốc sắc	tʰuək˦˥ʂăk˦˥
vĩnh đại	jin˨˩˦daj˨˩˨
dịch xuôi	jit˨˩˨suəj˧˧
báo ảnh	baw˦˥an˨˩˦
sạt	ʂat˨˩˨
bải hải	baj˨˩˦haj˨˩˦
tháo thân	tʰaw˦˥tʰɤ̆ŋ˧˧
biện sự xứ	biəŋ˨˩˨ʂɯ˨˩˨sɯ˦˥
bể trần	be˨˩˦ʈɤ̆ŋ˧˨
thợ đúc	tʰɤ˨˩˨duk͡p˦˥
đức hạnh	dɯk˦˥han˨˩˨
vị ngữ	ji˨˩˨ŋɯ˨˩˦
nguyện ước ba sinh	ŋwiəŋ˨˩˨ɯək˦˥ba˧˧ʂin˧˧
ô tô	o˧˧to˧˧
trâu bò	ʈɤ̆w˧˧bɔ˧˨
bẻ hoẹ	bɛ˨˩˦hwe˨˩˨
về sau	je˧˨ʂăw˧˧
hoàng chủng	hwaŋ˧˨cuŋ͡m˨˩˦
hàn luật	haŋ˧˨lwɤ̆k˨˩˨
bỗng nhiên	boŋ͡m˨˩˦ɲiəŋ˧˧
cá đé	ka˦˥dɛ˦˥
rút tiền	ʐuk͡p˦˥tiəŋ˧˨
vận luật	jɤ̆ŋ˨˩˨lwɤ̆k˨˩˨
giấy vệ sinh	jɤ̆j˦˥je˨˩˨ʂin˧˧
đề nghị	de˧˨ŋi˨˩˨
gau gáu	ɣăw˧˧ɣăw˦˥
hết sức	het˦˥ʂɯk˦˥
tắt nghỉn	tăk˦˥ŋin˨˩˦
bánh nậm	ban˦˥nɤ̆m˨˩˨
của người bồ tát, của ta lạt buộc	kuə˨˩˦ŋɯəj˧˨bo˧˨tat˦˥kuə˨˩˦ta˧˧lat˨˩˨buək˨˩˨
hâm	hɤ̆m˧˧
đến mức	den˦˥mɯk˦˥
chăn đơn	căŋ˧˧dɤŋ˧˧
dụng nhân như dụng mộc	juŋ͡m˨˩˨ɲɤ̆ŋ˧˧ɲɯ˧˧juŋ͡m˨˩˨mok͡p˨˩˨
thông tỏ	tʰoŋ͡m˧˧tɔ˨˩˦
tu-lơ-khơ	tu˧˧-lɤ˧˧-xɤ˧˧
giơ mặt	jɤ˧˧măk˨˩˨
bờ ngoong	bɤ˧˨ŋɔŋ͡m˧˧
từ trong trứng nước	tɯ˧˨ʈɔŋ͡m˧˧ʈɯŋ˦˥nɯək˦˥
ngòi lửa	ŋɔj˧˨lɯə˨˩˦
nhất thì	ɲɤ̆k˦˥tʰi˧˨
tài sơ trí thiển	taj˧˨ʂɤ˧˧ʈi˦˥tʰiəŋ˨˩˦
xui giục	suj˧˧juk͡p˨˩˨
hạ thử	ha˨˩˨tʰɯ˨˩˦
bê trễ	be˧˧ʈe˨˩˦
phẳng	făŋ˨˩˦
hết nước	het˦˥nɯək˦˥
sống ngâm da, chết ngâm xương	ʂoŋ͡m˦˥ŋɤ̆m˧˧ja˧˧cet˦˥ŋɤ̆m˧˧sɯəŋ˧˧
chân ý	cɤ̆ŋ˧˧i˦˥
có lỗi	kɔ˦˥loj˨˩˦
pháo đùng	faw˦˥duŋ͡m˧˨
lon	lɔŋ͡m˧˧
nước gội đầu	nɯək˦˥ɣoj˨˩˨dɤ̆w˧˨
bệnh dại	ben˨˩˨jaj˨˩˨
him	him˧˧
đất mùn	dɤ̆k˦˥muŋ͡m˧˨
hôn	hoŋ͡m˧˧
bụng trên	buŋ͡m˨˩˨ʈen˧˧
viễn phố	jiəŋ˨˩˦fo˦˥
chớp nhoáng đảo nhoàng	cɤp˦˥ɲwaŋ˦˥daw˨˩˦ɲwaŋ˧˨
rã ngũ	ʐa˨˩˦ŋu˨˩˦
chiêu vũ	ciəw˧˧ju˨˩˦
bản nhạc	baŋ˨˩˦ɲak˨˩˨
mũi dọc dừa	muj˨˩˦jɔk͡p˨˩˨jɯə˧˨
chõm chọe	cɔm˨˩˦cwe˨˩˨
củi đòn	kuj˨˩˦dɔŋ͡m˧˨
hoa mỹ	hwa˧˧mi˨˩˦
mây mưa	mɤ̆j˧˧mɯə˧˧
giặt giũ	jăk˨˩˨ju˨˩˦
tác gia	tak˦˥ja˧˧
quề quà	we˧˨wa˧˨
gươm kề cổ	ɣɯm˧˧ke˧˨ko˨˩˦
cờ lâm thế bí	kɤ˧˨lɤ̆m˧˧tʰe˦˥bi˦˥
trom-pét	ʈɔm˧˧-pɛt˦˥
thu	tʰu˧˧
nụ áo thực	nu˨˩˨aw˦˥tʰɯk˨˩˨
bắc sài hồ	băk˦˥ʂaj˧˨ho˧˨
hùng hoàng	huŋ͡m˧˨hwaŋ˧˨
pít	pit˦˥
tuỳ cơ	twi˧˨kɤ˧˧
trùng cửu	ʈuŋ͡m˧˨kɯw˨˩˦
thần khí	tʰɤ̆ŋ˧˨xi˦˥
núng nính	nuŋ͡m˦˥nin˦˥
mái che	maj˦˥cɛ˧˧
en	ɛŋ˧˧
đút tiền	duk͡p˦˥tiəŋ˧˨
thóc  lúa	tʰɔk͡p˦˥luə˦˥
võ sĩ đạo	jɔ˨˩˦ʂi˨˩˦daw˨˩˨
gạo tám	ɣaw˨˩˨tam˦˥
thổn thức	tʰoŋ͡m˨˩˦tʰɯk˦˥
bây bả	bɤ̆j˧˧ba˨˩˦
chứng giải	cɯŋ˦˥jaj˨˩˦
phao tiêu	faw˧˧tiəw˧˧
quán sở lầu tần	waŋ˦˥ʂɤ˨˩˦lɤ̆w˧˨tɤ̆ŋ˧˨
sơn điền	ʂɤŋ˧˧diəŋ˧˨
ngoại khoá	ŋwaj˨˩˨xwa˦˥
trung thế kỷ	ʈuŋ͡m˧˧tʰe˦˥ki˨˩˦
muôn sự	muəŋ˧˧ʂɯ˨˩˨
héc-to	hɛk˦˥-tɔ˧˧
môn đệ	moŋ͡m˧˧de˨˩˨
thủng nồi trôi rế	tʰuŋ͡m˨˩˦noj˧˨ʈoj˧˧ʐe˦˥
tam đoạn luận	tam˧˧dwaŋ˨˩˨lwɤ̆ŋ˨˩˨
trướng hùm	ʈɯəŋ˦˥hum˧˨
xấu gỗ tốt nước sơn	sɤ̆w˦˥ɣo˨˩˦tok͡p˦˥nɯək˦˥ʂɤŋ˧˧
ngộ	ŋo˨˩˨
lán trại	laŋ˦˥ʈaj˨˩˨
tùng xẻo	tuŋ͡m˧˨seo˨˩˦
quảng lộc	waŋ˨˩˦lok͡p˨˩˨
cá thể hoá	ka˦˥tʰe˨˩˦hwa˦˥
cẩm	kɤ̆m˨˩˦
ống điếu	oŋ͡m˦˥diəw˦˥
cải dầu	kaj˨˩˦jɤ̆w˧˨
tục tử	tuk͡p˨˩˨tɯ˨˩˦
cây leo	kɤ̆j˧˧leo˧˧
úng	uŋ͡m˦˥
thiếu bảo	tʰiəw˦˥baw˨˩˦
nói giấu	nɔj˦˥jɤ̆w˦˥
mó	mɔ˦˥
sáng dạ	ʂaŋ˦˥ja˨˩˨
rau mùi	ʐăw˧˧muj˧˨
giựt	jɯk˨˩˨
noãn cầu	nwaŋ˨˩˦kɤ̆w˧˨
hoa xưa ong cũ	hwa˧˧sɯə˧˧ɔŋ͡m˧˧ku˨˩˦
giậu nát chó ỉa	jɤ̆w˨˩˨nat˦˥cɔ˦˥iə˨˩˦
hoá tệ	hwa˦˥te˨˩˨
tá sự	ta˦˥ʂɯ˨˩˨
tân lộc	tɤ̆ŋ˧˧lok͡p˨˩˨
nhây nhớt	ɲɤ̆j˧˧ɲɤk˦˥
sử  xanh	ʂɯ˨˩˦san˧˧
cầu siêu	kɤ̆w˧˨ʂiəw˧˧
sơm lâm	ʂɤm˧˧lɤ̆m˧˧
yên ắng	iɛŋ˧˧ăŋ˦˥
yêu thầm nhớ vụng	iəw˧˧tʰɤ̆m˧˨ɲɤ˦˥juŋ͡m˨˩˨
nhơ	ɲɤ˧˧
hỗn canh hỗn cư	hoŋ͡m˨˩˦kan˧˧hoŋ͡m˨˩˦kɯ˧˧
phổ thông	fo˨˩˦tʰoŋ͡m˧˧
thuỷ đông	tʰwi˨˩˦doŋ͡m˧˧
nức lòng	nɯk˦˥lɔŋ͡m˧˨
có hoa sói tình phụ hoa ngâu	kɔ˦˥hwa˧˧ʂɔj˦˥tin˧˨fu˨˩˨hwa˧˧ŋɤ̆w˧˧
hòm thư	hɔm˧˨tʰɯ˧˧
bươn chải	bɯəŋ˧˧caj˨˩˦
dạo nọ	jaw˨˩˨nɔ˨˩˨
khoa kì	xwa˧˧ki˧˨
phân quyền	fɤ̆ŋ˧˧wiɛŋ˧˨
trứng gà	ʈɯŋ˦˥ɣa˧˨
mía tơ	miə˦˥tɤ˧˧
giáp	jap˦˥
bạc đãi	bak˨˩˨daj˨˩˦
rửa trôi	ʐɯə˨˩˦ʈoj˧˧
giá dụ	ja˦˥ju˨˩˨
sa thạch	ʂa˧˧tʰat˨˩˨
lăn xả	lăŋ˧˧sa˨˩˦
dạng bản	jaŋ˨˩˨baŋ˨˩˦
xá xị	sa˦˥si˨˩˨
đấm bóp	dɤ̆m˦˥bɔp˦˥
chọc ghẹo	cɔk͡p˨˩˨ɣeo˨˩˨
thung dung	tʰuŋ͡m˧˧juŋ͡m˧˧
ông tự	oŋ͡m˧˧tɯ˨˩˨
cảm hàn	kam˨˩˦haŋ˧˨
đơn tiết	dɤŋ˧˧tiək˦˥
trích điển	ʈit˦˥diəŋ˨˩˦
ăn hàng	ăŋ˧˧haŋ˧˨
thực tay	tʰɯk˨˩˨tăj˧˧
nuốm	num˦˥
ngồi lì	ŋoj˧˨li˧˨
kỳ ngộ	ki˧˨ŋo˨˩˨
giao thoa (lí)	jaw˧˧tʰwa˧˧li˦˥
nguồi nguội	ŋuəj˧˨ŋuəj˨˩˨
dàn đế	jaŋ˧˨de˦˥
chuyển động đều	cwiəŋ˨˩˦doŋ͡m˨˩˨dɛu˧˨
mả	ma˨˩˦
cao xạ pháo	kaw˧˧sa˨˩˨faw˦˥
tư cách	tɯ˧˧kat˦˥
tối đèn	toj˦˥dɛŋ˧˨
tòng phu	tɔŋ͡m˧˨fu˧˧
ứ hơi	ɯ˦˥hɤj˧˧
nhộn nhịp	ɲoŋ͡m˨˩˨ɲip˨˩˨
cái bè	kaj˦˥bɛ˧˨
tái giá	taj˦˥ja˦˥
trung trực	ʈuŋ͡m˧˧ʈɯk˨˩˨
đánh đai	dan˦˥daj˧˧
nhồi	ɲoj˧˨
uất hận	wɤ̆k˦˥hɤ̆ŋ˨˩˨
khúc khắc	xuk͡p˦˥xăk˦˥
phá của	fa˦˥kuə˨˩˦
quan bất cần, dân bất nhiễu	waŋ˧˧bɤ̆k˦˥kɤ̆ŋ˧˨jɤ̆ŋ˧˧bɤ̆k˦˥ɲiəw˨˩˦
tai họa	taj˧˧hwa˨˩˨
nghèo khó	ŋeo˧˨xɔ˦˥
chũi	cuj˨˩˦
đáng đời	daŋ˦˥dɤj˧˨
tử sĩ	tɯ˨˩˦ʂi˨˩˦
thân tộc	tʰɤ̆ŋ˧˧tok͡p˨˩˨
binh khố	bin˧˧xo˦˥
đứng sững	dɯŋ˦˥ʂɯŋ˨˩˦
ngôn ngổn	ŋoŋ͡m˧˧ŋoŋ͡m˨˩˦
khoáng dật	xwaŋ˦˥jɤ̆k˨˩˨
duy linh	jwi˧˧lin˧˧
