sanjuanēnsis	s̠anjʊanẽːs̠ɪs̠
selgovae	s̠ɛɫ̪ɡɔwae̯
dēgustō	d̪eːɡʊs̠t̪oː
fosī	fɔs̠iː
aefula	ae̯fʊɫ̪a
arcadia	arkad̪ia
hierācītis	hiɛɾaːkiːt̪ɪs̠
teurnia	t̪eu̯rnia
melanōpus	mɛɫ̪anoːpʊs̠
nasō	nas̠oː
thrāx	t̪ʰɾaːks̠
īnsignissimus	ĩːs̠ɪŋnɪs̠s̠ɪmʊs̠
prōflīgō	pɾoːfl̪iːɡoː
patrōnymicus	pat̪ɾoːnʏmɪkʊs̠
sēscūncia	s̠eːs̠kuːŋkia
glande	ɡɫ̪an̪d̪ɛ
almus	aɫ̪mʊs̠
dandōs	d̪an̪d̪oːs̠
revīsiō	rɛwiːs̠ioː
agitātor	aɡɪt̪aːt̪ɔr
ēvertō	eːwɛrt̪oː
tābidulus	t̪aːbɪd̪ʊɫ̪ʊs̠
sānctiō	s̠aːŋkt̪ioː
helluor	hɛl̠l̠ʊɔr
hāmifōrmis	haːmɪfoːrmɪs̠
vormatia	wɔrmat̪ia
absimilis	aps̠ɪmɪl̪ɪs̠
curta	kʊrt̪aː
forōiūlicus	fɔɾoːjuːl̪ɪkʊs̠
inceptīvus	ɪŋkɛpt̪iːwʊs̠
ostiārius	ɔs̠t̪iaːɾiʊs̠
reprobus	rɛpɾɔbʊs̠
mastichē	mas̠t̪ɪkʰeː
affriō	affɾioː
nūperus	nuːpɛɾʊs̠
fallō	fal̠l̠oː
peripheriālis	pɛɾɪpʰɛɾiaːl̪ɪs̠
spērātus	s̠peːɾaːt̪ʊs̠
buxīdum	bʊks̠iːd̪ʊ̃ˑ
geminī	ɡɛmɪniː
spargō	s̠parɡoː
septimus	s̠ɛpt̪ɪmʊs̠
pūnīveris	puːniːwɛɾiːs̠
hunnī	hʊnnɪ
sagiatta	s̠aɡiat̪t̪a
trisētus	t̪ɾɪs̠eːt̪ʊs̠
bellulus	bɛl̠l̠ʊɫ̪ʊs̠
decimō	d̪ɛkɪmoː
trānseō	t̪ɾãːs̠eoː
aperta	apɛrt̪a
saba	s̠aba
religiōsī	rɛl̪ɪɡioːs̠iː
bisōmum	bɪs̠oːmʊ̃ˑ
mētās	meːt̪aːs̠
salventibus	s̠aɫ̪wɛn̪t̪ɪbʊs̠
spēlēa	s̠peːɫ̪eːa
apocryphus	apɔkɾʏpʰʊs̠
contribūlis	kɔn̪t̪ɾɪbuːl̪ɪs̠
versiculus	wɛrs̠ɪkʊɫ̪ʊs̠
acharis	akʰaɾɪs̠
orgia	ɔrɡia
computātrum	kɔmpʊt̪aːt̪ɾʊ̃ˑ
chernītis	kʰɛrniːt̪ɪs̠
zēlotypa	zeːɫ̪ɔt̪ʏpa
plūtarchum	pɫ̪uːt̪arkʰʊ̃ˑ
cavifrōns	kawɪfɾõːs̠
aurēscō	au̯reːs̠koː
īnsēnsātus	ĩːs̠ẽːs̠aːt̪ʊs̠
vipiō	wɪpioː
indigitō	ɪn̪d̪ɪɡɪt̪oː
cellulāris	kɛl̠l̠ʊɫ̪aːɾɪs̠
frangulus	fɾaŋɡʊɫ̪ʊs̠
pyretus	pʏɾɛt̪ʊs̠
ēlūdō	eːɫ̪uːd̪oː
pōtiōnō	poːt̪ioːnoː
indicandō	ɪn̪d̪ɪkan̪d̪oː
badissō	bad̪ɪs̠s̠oː
plinthus	pl̪ɪn̪t̪ʰʊs̠
grāta	ɡraːt̪a
montāna	mɔn̪t̪aːna
tenebricō	t̪ɛnɛbɾɪkoː
etrūria	ɛt̪ɾuːɾiaː
adventō	ad̪wɛn̪t̪oː
annuālis	annʊaːl̪ɪs̠
flāveolus	fɫ̪aːweɔɫ̪ʊs̠
itūraea	ɪt̪uːɾae̯a
succumbō	s̠ʊkkʊmboː
succendō	s̠ʊkkɛn̪d̪oː
thunnus	t̪ʰʊnnʊs̠
tenebrōsō	t̪ɛnɛbɾoːs̠oː
nāvicula	naːwɪkʊɫ̪a
cōnsociō	kõːs̠ɔkioː
molossus	mɔɫ̪ɔs̠s̠ʊs̠
subhastātus	s̠ʊbas̠t̪aːt̪ʊs̠
extrūdent	ɛks̠t̪ɾuːd̪ɛn̪t̪
nōtus	noːt̪ʊs̠
uspiam	ʊs̠piãˑ
obtrūdō	ɔpt̪ɾuːd̪oː
paerisadēs	pae̯rɪs̠ad̪eːs̠
vinxerimus	wɪŋks̠ɛɾiːmʊs̠
libya	l̪ɪbya
īnsurrēctōs	ĩːs̠ʊrreːkt̪oːs̠
lēma	ɫ̪eːma
castanārius	kas̠t̪anaːɾiʊs̠
dissēminās	d̪ɪs̠s̠eːmɪnaːs̠
latīnam	ɫ̪at̪iːnãˑ
longaō	ɫ̪ɔŋɡaoː
fulciō	fʊɫ̪kioː
brevipennis	bɾɛwɪpɛnnɪs̠
morbidus	mɔrbɪd̪ʊs̠
vēnum	weːnʊ̃ˑ
duodēquīnquāgintā	d̪ʊɔd̪eːkᶣiːŋkʷaːɡɪn̪t̪aː
dēcertātiō	d̪eːkɛrt̪aːt̪ioː
sēnseris	s̠ẽːs̠ɛɾiːs̠
piceus	pɪkeʊs̠
praecipitō	pɾae̯kɪpɪt̪oː
obtueor	ɔpt̪ʊeɔr
oenoē	oe̯nɔeː
dīgressiō	d̪iːɡrɛs̠s̠ioː
ovāverimus	ɔwaːwɛɾiːmʊs̠
crepida	kɾɛpɪd̪a
carcinophagus	karkɪnɔpʰaɡʊs̠
pelendos	pɛɫ̪ɛn̪d̪ɔs̠
īstis	iːs̠t̪ɪs̠
inhibitiō	ɪnɪbɪt̪ioː
ĭādera	iaːd̪ɛɾa
attrahō	at̪t̪ɾahoː
vīnicius	wiːnɪkiʊs̠
aliphēra	al̪ɪpʰeːɾa
diffīdō	d̪ɪffiːd̪oː
pullārius	pʊl̠l̠aːɾiʊs̠
sikkimēnsis	s̠ɪkkɪmẽːs̠ɪs̠
caelifluus	kae̯l̪ɪfɫ̪ʊʊs̠
baicalēnsis	baɪkaɫ̪ẽːs̠ɪs̠
spēcula	s̠peːkʊɫ̪a
ascalō	as̠kaɫ̪oː
gabalī	ɡabal̪iː
assentor	as̠s̠ɛn̪t̪ɔr
scoedius	s̠koe̯d̪iʊs̠
mēlō	meːɫ̪oː
impulsor	ɪmpʊɫ̪s̠ɔr
nārrāverimus	naːrraːwɛɾiːmʊs̠
impetīx	ɪmpɛt̪iːks̠
endovellicus	ɛn̪d̪ɔwɛl̠l̠ɪkʊs̠
colōrius	kɔɫ̪oːɾiʊs̠
errāta	ɛrraːt̪aː
telendos	t̪ɛɫ̪ɛn̪d̪ɔs̠
penthesilēa	pɛn̪t̪ʰɛs̠ɪɫ̪eːa
dentipēs	d̪ɛn̪t̪ɪpeːs̠
inrītō	ɪnriːt̪oː
sistō	s̠ɪs̠t̪oː
vomitōrius	wɔmɪt̪oːɾiʊs̠
laudārī	ɫ̪au̯d̪aːɾiː
ēiaculātus	eːjakʊɫ̪aːt̪ʊs̠
volturius	wɔɫ̪t̪ʊɾiʊs̠
moritūrī	mɔɾɪt̪uːɾiː
tōnsillae	t̪õːs̠ɪl̠l̠ae̯
conditiōnālis	kɔn̪d̪ɪt̪ioːnaːl̪ɪs̠
capita	kapɪt̪a
asēitās	as̠eːɪt̪aːs̠
moscham	mɔs̠kʰãˑ
orbiculāris	ɔrbɪkʊɫ̪aːɾɪs̠
excitus	ɛks̠kɪt̪ʊs̠
dissecārem	d̪ɪs̠s̠ɛkaːɾɛ̃ˑ
citātiō	kɪt̪aːt̪ioː
austēritās	au̯s̠t̪eːɾɪt̪aːs̠
melaeneae	mɛɫ̪ae̯neae̯
recapitulō	rɛkapɪt̪ʊɫ̪oː
reliquiae	rɛl̪ɪkᶣiae̯
borysthenēs	bɔɾʏs̠t̪ʰɛneːs̠
dēterminā	d̪eːt̪ɛrmɪnaː
excreō	ɛks̠kɾeoː
peritus	pɛɾɪt̪ʊ̃ˑ
ducenta	d̪ʊkɛn̪t̪a
cōnābilis	koːnaːbɪl̪ɪs̠
kururiēnsis	kʊɾʊɾiẽːs̠ɪs̠
praesaepiō	pɾae̯s̠ae̯pioː
tataricus	t̪at̪aɾɪkʊs̠
exscindō	ɛks̠kɪn̪d̪oː
arcticus	arkt̪ɪkʊs̠
īnsimulāveris	ĩːs̠ɪmʊɫ̪aːwɛɾiːs̠
subūra	s̠ʊbuːɾa
erōtylus	ɛɾoːt̪ʏɫ̪ʊs̠
exaequō	ɛks̠ae̯kʷoː
mors	mɔrs̠
cebrēnia	kɛbɾeːnia
paedagōgātus	pae̯d̪aɡoːɡaːt̪ʊs̠
dercetis	d̪ɛrkɛt̪ɪs̠
arēna	aɾeːna
vitiōsus	wɪt̪ioːs̠ʊs̠
palmētum	paɫ̪meːt̪ʊ̃ˑ
audītus	au̯d̪iːt̪ʊs̠
psalmicen	ps̠aɫ̪mɪkɛn
turpiloquium	t̪ʊrpɪɫ̪ɔkᶣiʊ̃ˑ
conturbō	kɔn̪t̪ʊrboː
aspera	as̠pɛɾa
tonabaeī	t̪ɔnabae̯iː
diphyēs	d̪ɪpʰyeːs̠
palpitātum	paɫ̪pɪt̪aːt̪ʊ̃ˑ
dēnūdātiō	d̪eːnuːd̪aːt̪ioː
quassus	kʷas̠s̠ʊs̠
comportō	kɔmpɔrt̪oː
operiō	ɔpɛɾioː
adnūtātum	ad̪nuːt̪aːt̪ʊ̃ˑ
quīnquevirālis	kᶣiːŋkᶣɛwɪɾaːl̪ɪs̠
inclūsiō	ɪŋkɫ̪uːs̠ioː
polīmenta	pɔl̪iːmɛn̪t̪a
quīntīnō	kᶣiːn̪t̪iːnoː
īnfōrmāns	ĩːfoːrmãːs̠
praetendō	pɾae̯t̪ɛn̪d̪oː
conciō	kɔŋkioː
āsa	aːs̠a
āgrārius	aːɡraːɾiʊs̠
intercidere	ɪn̪t̪ɛrkɪd̪ɛɾɛ
pāgānus	paːɡaːnʊs̠
multiplicō	mʊɫ̪t̪ɪpl̪ɪkoː
milvius	mɪɫ̪wiʊs̠
lēgulēius	ɫ̪eːɡʊɫ̪eːjʊs̠
glaciāle	ɡɫ̪akiaːɫ̪ɛ
adōrārēs	ad̪oːɾaːɾeːs̠
auscultō	au̯s̠kʊɫ̪t̪oː
ūnūnquadium	uːnuːŋkʷad̪iʊ̃ˑ
psētta	ps̠eːt̪t̪a
orbō	ɔrboː
volscius	wɔɫ̪s̠kiʊs̠
carnivorus	karnɪwɔɾʊs̠
azōtus	azzoːt̪ʊs̠
cooperātīvus	kɔɔpɛɾaːt̪iːwʊs̠
ōrāveritis	oːɾaːwɛɾɪt̪ɪs̠
causidicus	kau̯s̠ɪd̪ɪkʊs̠
circumplectō	kɪrkʊmpɫ̪ɛkt̪oː
netium	nɛt̪iʊ̃ˑ
carpatinus	karpat̪ɪnʊs̠
sophonība	s̠ɔpʰɔniːba
plagium	pɫ̪aɡiʊ̃ˑ
ēlīminō	eːl̪iːmɪnoː
pāscēbātur	paːs̠keːbaːt̪ʊr
impetrātīs	ɪmpɛt̪ɾaːt̪iːs̠
paratuberculosis	paɾat̪ʊbɛrkʊɫ̪ɔs̠ɪs̠
euntō	eʊn̪t̪oː
benjamītae	bɛnjamiːt̪ae̯
phȳrāma	pʰyːɾaːma
praemonitiō	pɾae̯mɔnɪt̪ioː
inquiētāveris	ɪŋkᶣieːt̪aːwɛɾiːs̠
lēgifer	ɫ̪eːɡɪfɛr
nōscitō	noːs̠kɪt̪oː
anticipāta	an̪t̪ɪkɪpaːt̪aː
īnsāniō	ĩːs̠aːnioː
concupīscēns	kɔŋkʊpiːs̠kẽːs̠
figūrābilis	fɪɡuːɾaːbɪl̪ɪs̠
naufragus	nau̯fɾaɡʊs̠
dissolvō	d̪ɪs̠s̠ɔɫ̪woː
datīvus	d̪at̪iːwʊs̠
sūmptuōsus	s̠uːmpt̪ʊoːs̠ʊs̠
cassīnēnsis	kas̠s̠iːnẽːs̠ɪs̠
nam	nãˑ
inductīvē	ɪn̪d̪ʊkt̪iːweː
fueris	fʊɛɾɪs̠
lectuārius	ɫ̪ɛkt̪ʊaːɾiʊs̠
castricius	kas̠t̪ɾɪkiʊs̠
ānulāris	aːnʊɫ̪aːɾɪs̠
investīgō	ɪnwɛs̠t̪iːɡoː
iuvenēscō	jʊwɛneːs̠koː
alsa	aɫ̪s̠a
facinus	fakɪnʊs̠
siccō	s̠ɪkkoː
dēprōmō	d̪eːpɾoːmoː
nāscor	naːs̠kɔr
brevicornis	bɾɛwɪkɔrnɪs̠
pseudochristus	ps̠eu̯d̪ɔkʰɾɪs̠t̪ʊs̠
tamyraca	t̪amʏɾaka
nigriventris	nɪɡrɪwɛn̪t̪ɾɪs̠
carbōnium	karboːniʊ̃ˑ
autaridae	au̯t̪aɾɪd̪ae̯
crāpulōsus	kɾaːpʊɫ̪oːs̠ʊs̠
humor	hʊmɔr
senescalcus	s̠ɛnɛs̠kaɫ̪kʊs̠
perfluus	pɛrfɫ̪ʊʊs̠
cōnfluō	kõːfɫ̪ʊoː
vaccula	wakkʊɫ̪a
thymelaea	t̪ʰʏmɛɫ̪ae̯a
aquītānia	akᶣiːt̪aːnia
irrītāta	ɪrriːt̪aːt̪a
pressulus	pɾɛs̠s̠ʊɫ̪ʊs̠
circumveniō	kɪrkʊmwɛnioː
dīluviī	d̪iːɫ̪ʊwiiː
boer	bɔɛr
vestrius	wɛs̠t̪ɾiʊs̠
irrequiēta	ɪrrɛkᶣieːt̪a
inberbis	ɪmbɛrbɪs̠
cōnsuādeō	kõːs̠waːd̪eoː
libanus	l̪ɪbanʊs̠
fantasia	fan̪t̪as̠ia
cōs	koːs̠
astātō	as̠t̪aːt̪oː
andrachnē	an̪d̪ɾakʰneː
totus	t̪ɔt̪ʊs̠
aegīdius	ae̯ɡiːd̪iʊs̠
compācta	kɔmpaːkt̪a
congregātiō	kɔŋɡrɛɡaːt̪ioː
doguricus	d̪ɔɡʊɾɪkʊs̠
rabīrius	rabiːɾiʊs̠
compositō	kɔmpɔs̠ɪt̪oː
reneō	rɛneoː
pōclum	poːkɫ̪ʊ̃ˑ
sēmitārius	s̠eːmɪt̪aːɾiʊs̠
circuit	kɪrkʊɪt̪
tritaea	t̪ɾɪt̪ae̯a
hydaspēs	hʏd̪as̠peːs̠
nucifrangibulum	nʊkɪfɾaŋɡɪbʊɫ̪ʊ̃ˑ
tūtāmen	t̪uːt̪aːmɛn
supertrahō	s̠ʊpɛrt̪ɾahoː
recuperātōrius	rɛkʊpɛɾaːt̪oːɾiʊs̠
mereō	mɛɾeoː
pedica	pɛd̪ɪka
indemnis	ɪn̪d̪ɛmnɪs̠
pūnītor	puːniːt̪ɔr
spīculum	s̠piːkʊɫ̪ʊ̃ˑ
comprehendō	kɔmpɾɛhɛn̪d̪oː
istōnē	ɪs̠t̪oːneː
vinciō	wɪŋkioː
valentīniānōs	waɫ̪ɛn̪t̪iːniaːnoːs̠
inodiō	ɪnɔd̪ioː
coryphantis	kɔɾʏpʰan̪t̪ɪs̠
bajulātiō	bajjʊɫ̪aːt̪ioː
dēceptīvus	d̪eːkɛpt̪iːwʊs̠
trānsierimus	t̪ɾãːs̠iɛɾɪmʊs̠
compēnsārās	kɔmpẽːs̠aːɾaːs̠
cēlāre	keːɫ̪aːɾɛ
trānsplantō	t̪ɾãːs̠pɫ̪an̪t̪oː
allēctīve	al̠l̠eːkt̪iːwɛ
hiemātis	hiɛmaːt̪ɪs̠
falacrīnum	faɫ̪akɾiːnʊ̃ˑ
orānī	ɔɾaːniː
cervīcātus	kɛrwiːkaːt̪ʊs̠
dominicāna	d̪ɔmɪnɪkaːnaː
natātiō	nat̪aːt̪ioː
octaëdricus	ɔkt̪aɛd̪ɾɪkʊs̠
subtorquātus	s̠ʊpt̪ɔrkʷaːt̪ʊs̠
simplificārī	s̠ɪmpl̪ɪfɪkaːɾiː
crās	kɾaːs̠
resolvō	rɛs̠ɔɫ̪woː
nūnciātīvus	nuːŋkiaːt̪iːwʊs̠
mandātīs	man̪d̪aːt̪iːs̠
famulor	famʊɫ̪ɔr
citor	kɪt̪ɔr
nīliacus	niːl̪iakʊs̠
patricīda	pat̪ɾɪkiːd̪a
senāpis	s̠ɛnaːpɪs̠
essēmus	ɛs̠s̠eːmʊs̠
dīluvium	d̪iːɫ̪ʊwiʊ̃ˑ
nāvigāveris	naːwɪɡaːwɛɾɪs̠
avāritiēs	awaːɾɪt̪ieːs̠
abaliēnātō	abal̪ieːnaːt̪oː
senibus	s̠ɛnɪbʊs̠
curculiō	kʊrkʊl̪ioː
simulō	s̠ɪmʊɫ̪oː
molischiānus	mɔl̪ɪs̠kʰiaːnʊs̠
nāsiterna	naːs̠ɪt̪ɛrna
aduātuca	ad̪ʊaːt̪ʊka
bimbellī	bɪmbɛl̠l̠iː
summergō	s̠ʊmmɛrɡoː
casventum	kas̠wɛn̪t̪ʊ̃ˑ
nebula	nɛbʊɫ̪a
murmurāverimus	mʊrmʊɾaːwɛɾɪmʊs̠
pullātus	pʊl̠l̠aːt̪ʊs̠
inops	ɪnɔps̠
recipiō	rɛkɪpioː
pȳthopolis	pyːt̪ʰɔpɔl̪ɪs̠
dōra	d̪oːɾa
inlūdō	ɪnɫ̪uːd̪oː
apertīvus	apɛrt̪iːwʊs̠
natrīcis	nat̪ɾiːkɪs̠
sēbācis	s̠eːbaːkɪs̠
anniceris	annɪkɛɾɪs̠
senātus	s̠ɛnaːt̪ʊs̠
fētor	feːt̪ɔr
commordeō	kɔmmɔrd̪eoː
discalceō	d̪ɪs̠kaɫ̪keoː
vatius	wat̪iʊs̠
calde	kaɫ̪d̪ɛ
zephyre	zɛpʰʏɾɛ
vēnditiō	weːn̪d̪ɪt̪ioː
imputātis	ɪmpʊt̪aːt̪ɪs̠
spurcus	s̠pʊrkʊs̠
incūsāveris	ɪŋkuːs̠aːwɛɾɪs̠
vulpēs	wʊɫ̪peːs̠
circumplicō	kɪrkʊmpl̪ɪkoː
fragilis	fɾaɡɪl̪ɪs̠
sypalēttus	s̠ʏpaɫ̪eːt̪t̪ʊs̠
vonōnēs	wɔnoːneːs̠
isaeus	ɪs̠ae̯ʊs̠
acascomarcī	akas̠kɔmarkiː
longipinnis	ɫ̪ɔŋɡɪpɪnnɪs̠
circumlegō	kɪrkʊmɫ̪ɛɡoː
ratiatum	rat̪iat̪ʊ̃ˑ
ēgelidus	eːɡɛl̪ɪd̪ʊs̠
dēserticolus	d̪eːs̠ɛrt̪ɪkɔɫ̪ʊs̠
dēcīsōria	d̪eːkiːs̠oːɾiaː
hermēs	hɛrmeːs̠
spēs	s̠peːs̠
commentīcius	kɔmmɛn̪t̪iːkiʊs̠
ebusus	ɛbʊs̠ʊs̠
cācus	kaːkʊs̠
extentus	ɛks̠t̪ɛn̪t̪ʊs̠
simulācrum	s̠ɪmʊɫ̪aːkɾʊ̃ˑ
fremō	fɾɛmoː
dōma	d̪oːma
caspasum	kas̠pas̠ʊ̃ˑ
praevenīmus	pɾae̯weːnɪmʊs̠
natalēnsis	nat̪aɫ̪ẽːs̠ɪs̠
obstipēscō	ɔps̠t̪ɪpeːs̠koː
ināmissibilis	ɪnaːmɪs̠s̠ɪbɪl̪ɪs̠
exasperantō	ɛks̠as̠pɛɾan̪t̪oː
armāta	armaːt̪aː
decetia	d̪ɛkɛt̪ia
indiculus	ɪn̪d̪ɪkʊɫ̪ʊs̠
iners	ɪnɛrs̠
orosinēs	ɔɾɔs̠ɪneːs̠
pella	pɛl̠l̠a
peruānōs	pɛɾʊaːnoːs̠
turmālis	t̪ʊrmaːl̪ɪs̠
testātrīx	t̪ɛs̠t̪aːt̪ɾiːks̠
cōntiōnor	koːn̪t̪ioːnɔr
īnsultō	ĩːs̠ʊɫ̪t̪oː
alcis	aɫ̪kiːs̠
vasconice	was̠kɔnɪkɛ
mōnstrōsus	mõːs̠t̪ɾoːs̠ʊs̠
moltō	mɔɫ̪t̪oː
albicostus	aɫ̪bɪkɔs̠t̪ʊs̠
iūdicātus	juːd̪ɪkaːt̪uːs̠
immolāveritis	ɪmmɔɫ̪aːwɛɾiːt̪ɪs̠
arcas	arkas̠
betasiī	bɛt̪as̠iiː
vīteus	wiːt̪eʊs̠
orobiās	ɔɾɔbiaːs̠
termitem	t̪ɛrmɪt̪ɛ̃ˑ
blanda	bɫ̪an̪d̪a
adventātum	ad̪wɛn̪t̪aːt̪ʊ̃ˑ
rhizūs	rɪzzuːs̠
vicis	wɪkɪs̠
pervēnerimus	pɛrweːnɛɾɪmʊs̠
īnsenēscō	ĩːs̠ɛneːs̠koː
lībera	l̪iːbɛɾa
cōnsubstantiālis	kõːs̠ʊps̠t̪an̪t̪iaːl̪ɪs̠
lūxuriēs	ɫ̪uːks̠ʊɾieːs̠
absynthītēs	aps̠ʏn̪t̪ʰiːt̪eːs̠
sabāria	s̠abaːɾia
speciōsus	s̠pɛkioːs̠ʊs̠
sexāgēsima	s̠ɛks̠aːɡeːs̠ɪma
umbrātilis	ʊmbɾaːt̪ɪl̪ɪs̠
triennis	t̪ɾiɛnnɪs̠
riccus	rɪkkʊs̠
suellēnī	s̠ʊɛl̠l̠eːniː
barde	bard̪ɛ
mantō	man̪t̪oː
aliēnārās	al̪ieːnaːɾaːs̠
īnscrībō	ĩːs̠kɾiːboː
grātē	ɡraːt̪eː
nūdāveritis	nuːd̪aːwɛɾiːt̪ɪs̠
tordȳlion	t̪ɔrd̪yːl̪iɔn
quantum	kʷan̪t̪ʊ̃ˑ
vernīx	wɛrniːks̠
aguntum	aɡʊn̪t̪ʊ̃ˑ
adjectīvālis	ad̪jɛkt̪iːwaːl̪ɪs̠
polyphēmus	pɔl̪ʏpʰeːmʊs̠
mortārium	mɔrt̪aːɾiʊ̃ˑ
abietārius	abiɛt̪aːɾiʊs̠
thī	t̪ʰiː
graecīnus	ɡrae̯kiːnʊs̠
charbrusa	kʰarbɾʊs̠a
partam	part̪ãˑ
irrogās	ɪrrɔɡaːs̠
obstetrīcō	ɔps̠t̪ɛt̪ɾiːkoː
harrius	harriʊs̠
caementum	kae̯mɛn̪t̪ʊ̃ˑ
excidere	ɛks̠kɪd̪ɛɾɛ
obligātōria	ɔbl̪ɪɡaːt̪oːɾiaː
saturante	s̠at̪ʊɾan̪t̪ɛ
juxtapapillāris	jʊks̠t̪apapɪl̠l̠aːɾɪs̠
explicāssem	ɛks̠pl̪ɪkas̠s̠ɛ̃ˑ
ingaevōnēs	ɪŋɡae̯woːneːs̠
rūminātūrus	ruːmɪnaːt̪uːɾʊs̠
indiscussibilis	ɪn̪d̪ɪs̠kʊs̠s̠ɪbɪl̪ɪs̠
blattārius	bɫ̪at̪t̪aːɾiʊs̠
collactāneus	kɔl̠l̠akt̪aːneʊs̠
contendō	kɔn̪t̪ɛn̪d̪oː
ophis	ɔpʰɪs̠
inartificiālis	ɪnart̪ɪfɪkiaːl̪ɪs̠
fumaroxidāns	fʊmaɾɔks̠ɪd̪ãːs̠
lamia	ɫ̪amia
azurīnus	azzʊɾiːnʊs̠
moneō	mɔneoː
apportō	appɔrt̪oː
integellus	ɪn̪t̪ɛɡɛl̠l̠ʊs̠
ēlixus	eːl̪ɪks̠ʊs̠
miseria	mɪs̠ɛɾia
aduste	ad̪ʊs̠t̪ɛ
fortuītī	fɔrt̪ʊiːt̪iː
racēmārius	rakeːmaːɾiʊs̠
adōrnō	ad̪oːrnoː
raecius	rae̯kiʊs̠
carinus	kaɾɪnʊs̠
ferīnē	fɛɾiːneː
prōvocātōria	pɾoːwɔkaːt̪oːɾia
adtribuō	at̪t̪ɾɪbʊoː
burnum	bʊrnʊ̃ˑ
reflectō	rɛfɫ̪ɛkt̪oː
megellus	mɛɡɛl̠l̠ʊs̠
iūdaeogermānicus	juːd̪ae̯ɔɡɛrmaːnɪkʊs̠
praerogō	pɾae̯rɔɡoː
equester	ɛkᶣɛs̠t̪ɛr
obiectāveris	ɔbjɛkt̪aːwɛɾiːs̠
peiōrō	pɛjjoːɾoː
byzantīnus	bʏzzan̪t̪iːnʊs̠
conresurgō	kɔnrɛs̠ʊrɡoː
vopiscus	wɔpɪs̠kʊs̠
farīna	faɾiːna
pampinārius	pampɪnaːɾiʊs̠
oscinum	ɔs̠kɪnʊ̃ˑ
apitāmī	apɪt̪aːmiː
perimetros	pɛɾɪmɛt̪ɾɔs̠
īnfēcundus	ĩːfeːkʊn̪d̪ʊs̠
dēdō	d̪eːd̪oː
cōnsanguinius	kõːs̠aŋɡᶣɪniʊs̠
vīpereī	wiːpɛɾeiː
anguīlla	aŋɡᶣiːl̠l̠a
mōse	moːs̠ɛ
advehō	ad̪wɛhoː
ubicumque	ʊbɪkʊŋkᶣɛ
missilis	mɪs̠s̠ɪl̪ɪs̠
trōia	t̪ɾɔjja
recollocō	rɛkɔl̠l̠ɔkoː
reversō	rɛwɛrs̠oː
gemmārius	ɡɛmmaːɾiʊs̠
auctrīx	au̯kt̪ɾiːks̠
habitāveritis	habɪt̪aːwɛɾiːt̪ɪs̠
nummulāriōs	nʊmmʊɫ̪aːɾioːs̠
submoveō	s̠ʊbmɔweoː
obnūntiō	ɔbnuːn̪t̪ioː
cāsuī	kaːs̠ʊiː
planō	pɫ̪anoː
īnspērātus	ĩːs̠peːɾaːt̪ʊs̠
geōgraphicus	ɡeoːɡrapʰɪkʊs̠
orīgināria	ɔɾiːɡɪnaːɾia
pertenuis	pɛrt̪ɛnʊɪs̠
amphibius	ampʰɪbiʊs̠
antenātus	an̪t̪ɛnaːt̪ʊs̠
relevō	rɛɫ̪ɛwoː
corsa	kɔrs̠a
penātiger	pɛnaːt̪ɪɡɛr
pantomīma	pan̪t̪ɔmiːma
canifōrmis	kanɪfoːrmɪs̠
hydrogenum	hʏd̪ɾɔɡɛnʊ̃ˑ
populābundum	pɔpʊɫ̪aːbʊn̪d̪ʊ̃ˑ
dēstināre	d̪eːs̠t̪ɪnaːɾɛ
myrīna	mʏɾiːna
rogāte	rɔɡaːt̪ɛ
reclūsa	rɛkɫ̪uːs̠a
vāniloquus	waːnɪɫ̪ɔkʊs̠
hicetās	hɪkɛt̪aːs̠
brevisētis	bɾɛwɪs̠eːt̪ɪs̠
hypasis	hʏpas̠ɪs̠
affigūrāte	affɪɡuːɾaːt̪ɛ
perīnfāmis	pɛɾĩːfaːmɪs̠
dījūdicātiō	d̪iːjuːd̪ɪkaːt̪ioː
lassunnī	ɫ̪as̠s̠ʊnniː
zōdiacus	zoːd̪iakʊs̠
crūditās	kɾuːd̪ɪt̪aːs̠
thymniās	t̪ʰʏmniaːs̠
praeēmineō	pɾae̯eːmɪneoː
obturbāveris	ɔpt̪ʊrbaːwɛɾiːs̠
sclingō	s̠kl̪ɪŋɡoː
chalcis	kʰaɫ̪kɪs̠
servīveris	s̠ɛrwiːwɛɾiːs̠
vadīs	waːd̪ɪs̠
salūtārī	s̠aɫ̪uːt̪aːɾiː
īnstringō	ĩːs̠t̪ɾɪŋɡoː
seniscalcus	s̠ɛnɛs̠kaɫ̪kʊs̠
traumaticīs	t̪ɾau̯mat̪ɪkiːs̠
pecūniārius	pɛkuːniaːɾiʊs̠
tenuipēs	t̪ɛnʊɪpeːs̠
requiētēs	rɛkᶣieːt̪eːs̠
suffītīs	s̠ʊffiːt̪iːs̠
furfurāceus	fʊrfʊɾaːkeʊs̠
bispīnōsus	bɪs̠piːnoːs̠ʊs̠
menotharus	mɛnɔt̪ʰaɾʊs̠
tiberēius	t̪ɪbɛɾeːjʊs̠
caenum	kae̯nʊ̃ˑ
acanthocladus	akan̪t̪ʰɔkɫ̪ad̪ʊs̠
īnflātus	ĩːfɫ̪aːt̪ʊs̠
frūctus	fɾuːkt̪ʊs̠
abbreviātūrus	abbɾɛwiaːt̪uːɾʊs̠
