nbt	niːbat
šsꜣw	ʃɛsɑuː
ẖꜣr	çɑr
mtrt	mitɾat
wꜥḥ	wɑːħ
jꜣmw	iɑmuː
šbw	ʃɛbuː
smꜣ	sɛmɑ
ḏbꜥ	tʼabaʕ
jmntt	ʔamentə
hꜣkr	hɑkɛr
ḫnms	xɛnmɛs
ꜥpr	ɑːpɛr
jmj	jamij
ḥtpt	ħɛtɛpɛt
jḥ	iħ
jt	jaːtij
dšrt	dɛʃrɛt
sḫpj	sɛxɛpi
ꜣḥt	ɑħɛt
ms	mis
kꜣ	kaʔ
gstj	kʼast
wꜣb	wɑb
ḏꜣhꜣ	d͡ʒɑhɑ
šnj	ʃɛni
jtrw	jaʔɾaw
wnwt	wVnaːwat
ḫtm	xɛtɛm
tꜣwj	taːwəʔ
zbn	zɛbɛn
ꜥmm	ɑːmɛm
jꜣtt	iɑtɛt
ḏꜥ	d͡ʒɑː
ḏbꜥ	cʼuːbaʕ
psḏ	pɛsɛd͡ʒ
ḏmꜥ	t͡ʃʼaːmiʕ
sd	soːtʼ
psj	pɛsi
kꜣ	køʔ
jtrw	jaʔɾ
zjnw	zijnVw
dgm	tʼeːkʼəm
jꜣqt	iɑkɛt
smw	sɛmuː
jḥw	ʔəħoːw
prwypwsꜣ	pɛruːiːpuːsɑ
dpt	tʼiːpVʔ
nḫꜣw	nɛxɑuː
jnr	jaːnaʔ
jtnw	itɛnuː
st	sɛt
sk	sɛk
mw	muː
kꜣ	kaʀ
ẖzj	çɛzi
ḥḏ	ħeːtʼ
ꜣdw	ʔaːtʼəʔ
mḏwtj	mut͡ʃʼawaːtaj
ꜣbḏw	ɑbɛd͡ʒuː
nꜣyw	nɑiːuː
zfṯ	zɛfɛt͡ʃ
jꜣrrt	jaʀlaljaʔ
wtḫ	wɛtɛx
wꜥw	wiːʕəʔ
dnd	dɛnɛd
hbnj	hɛbni
jrj	ʔiːɾaʔ
kš	kɛʃ
ꜣb	ɑb
jsqꜣrwnj	iskɑruːni
mꜥḥꜥt	mɑːħɑːt
pr	poːɾ
ṯm	t͡ʃɛm
rrj	ɾiːɾəʔ
sḏt	sɛd͡ʒɛt
mšꜥ	maʃʕaj
ꜣwj	ʀaːwaj
msḫtyw	mɛsxɛtiːuː
ḥtpw	ħaʔp
sjnj	sini
wbꜣyt	wɛbɑiːt
nḥbt	nɛħbɛt
hnw	hiːnaw
jzft	ʔasaːfaʔ
ḥbsw	ħɛbɛsuː
sn	sɛn
wḏꜥ	waːt͡ʃʼəʕ
wḏj	wɛd͡ʒi
jwꜥw	jawʕ
jꜣdw	iɑduː
pꜣḏ	pɑd͡ʒ
ṯw	t͡ʃuː
sḏm	saːtʼam
ḏw	cʼaw
wzf	woːsəf
sḥḏw	siħcʼVw
mnj	manij
ḥnw	ħɛnuː
pnw	piːnaw
ḥmsj	ħemsə
šꜥd	ʃɑːd
šꜣsw	ʃɑsuː
wšr	wɛʃɛr
wdfj	wɛdɛfi
šsr	ʃɛsɛr
jrj	ʔiːɾə
ꜥbꜣ	ɑːbɑ
gbtjw	ɡɛbtiuː
ḏbt	d͡ʒɛbɛt
ꜥšꜣ	ʕaʃej
gr	ɡɛr
dmḏ	dɛmɛd͡ʒ
bn	bɛn
ḫtḫt	xɛtxɛt
rd	ɾitʼ
ḏd	t͡ʃʼoːʔ
smn	simiːnit
rṯnw	rɛt͡ʃɛnuː
qs	qʼis
pꜣqt	pɑkɛt
jnpwt	inpuːɛt
ẖnmt	çanmaʔ
msjꜣt	mɛsiɑt
r	ɝ
ḫpš	χoːpəʃ
snwj	sənuwwəʔ
snfj	sɛnɛfi
spdḏ	saptʼaʔ
ḫprj	xɛpri
pẖrt	pɛçrɛt
ꜣs	ɑs
swꜥb	sɛwɑːb
rrj	ɾiːɾij
jꜥnw	iɑːnuː
ꜥbw	ɑːbuː
ꜥ	ʕeːj
jnpw	ʔanoːp
bꜣẖw	baːçəʔ
ꜣwsw	ɑuːsuː
qdj	qʼitʼjiʔ
mnj	məneʔ
sbꜣyt	sabaʀjaʔ
sḥd	sɛħɛd
mkt	mɛkɛt
ḫrw.fj	xɛruːʔfi
nḫbḫb	nɛxɛbxɛb
zẖꜣw	saçʔəʔ
wsr	wɛsɛr
sjꜣ	saːjaʀ
qꜣr	kɑr
jfdw	jaftʼaw
msn	mɛsɛn
ẖpꜣ	çəple
ꜥrq	ɑːrɛk
ꜣmm	ɑmɛm
nꜣy	nɑiː
pꜣy	pɑiː
jqḥw	ikɛħuː
ḫnsw	χansəʔ
h	hɛ
jpf	ipɛf
rḥwj	rɛħuːi
wt	wɛt
ḫnm	xɛnɛm
ꜥntj	ɑːnti
jbj	jiːbit
ꜥwt	ɑːuːt
ꜥḥꜣwtj	ʕaħʀawtij
zḫj	zɛxi
mꜣj	moːj
mꜣwj	mɑuːi
mrt	mɛrɛt
jmnt	jamaːnut
ḥḏ	ħɛd͡ʒ
swḏꜣ	sɛwɛd͡ʒɑ
rḫ	rɛx
sṯjt	sɛt͡ʃit
djw	tʼiːwəʔ
jḫ	ʔøχ
nb	nib
grḥ	kʼoːɾəħ
hrw	haʔwuw
ḏꜣḏꜣ	t͡ʃʼaːt͡ʃʼəʔ
mswt	misjaːwaʔ
mdt	mɛdɛt
ṯrt	caːɾat
hrw	haɾwuw
psḏjw	piscʼijjaw
šn	ʃɛn
ḥqꜣt	ħɛkɑt
jwn	ʔawin
qd	qʼoːtʼ
mnj	mɛni
wꜣwꜣt	wɑuːɑt
ḥmw	ħəmeʔ
jbj	ibi
ḏdꜣ	d͡ʒɛdɑ
sjꜣ	siɑ
mwt	maːwaʔ
.sw	ʔsuː
nṯrj	nətɾeʔ
dyw	tʼijjaw
twꜣwt	tuːɑuːt
grgt	kʼəɾuːkʼaʔ
dšr	tʼoːɾəʃ
sḫꜣj	siχʀit
z	zuʀ
ḥꜣtj	ħuʀiːtij
sꜣngꜣr	sɑnɡɑr
šꜥt	ʃɑːt
sbḥ	sɛbɛħ
nnw	naːnaw
dmj	tʼiːmə
kmbjṯt	kɛmbit͡ʃɛt
jꜣt	iɑt
ꜣwr	ɑuːr
tf	tif
nfrwt	nɛfruːt
ꜥqw	ɑːkuː
tjw	tiuː
hrw	həɾøww
wdfj	witʼfiʔ
wꜥ	wuʕʕəʔ
pt	pit
wšb	waːʃab
n	ne
fn	fɛn
wjn	win
rmn	rɛmɛn
jšš	iʃɛʃ
wbḫ	wɛbɛx
jrp	ʔeːɾəp
jz	iz
mswt	misjaːwat
wpwt	wapwuʔ
šꜣd	ʃɑd
ḥbs	ħabas
dwn	tʼoːwən
šmꜥ	ʃɛmɑː
nfrt	nɛfɛrɛt
sjsnw	sisnuː
mꜣj	maːjəʔ
ḫprw	χøpɾ
nẖs	nɛçɛs
pḏtj	pɛd͡ʒɛti
sḏd	sicʼtʼit
šzpt	ʃɛzpɛt
nmꜣrṯ	nɛmɑrɛt͡ʃ
jwh	iuːh
zšn	zɛʃɛn
ḥꜣbj	ħiːβə
wpwt	wɛpuːt
ḫftj	xɛfti
ḏꜥnt	d͡ʒɑːnɛt
psḏt	pisiːtʼaʔ
mjw	miʀjuw
jḥ	ʔəħeww
ktt	kətaʔ
wbnt	wɛbnɛt
ꜣḫ	ʔiːχəʔ
nḫj	nɛxi
ḥzmn	ħɛzmɛn
wdfj	wetʼfə
ẖrj	çuɾij
ḫn	xɛn
sjsw	i
stp	saːtap
znbt	zɛnbɛt
fḫ	fɛx
mꜣt	maːʀit
tpj	təpej
ḫm	xɛm
sḏ	sɛd͡ʒ
ꜥḥ	ɑːħ
mꜥbꜣ	mɑːbɑ
snq	sɛnɛk
ḥtpw	ħɛtɛpuː
ḥkꜣ	ħɛkɑ
jnr	inɛr
ꜥnḫ	ɑːnx
wnmt	wɛnmɛt
zẖj	zɛçi
jꜣbtt	iɑbɛtɛt
ksj	kɛsi
jwf	juwfuw
jdmj	jVtʼuːmVj
ꜣkr	ɑkɛr
jmꜣt	imɑt
wrr	wəɾaʔ
ꜥnq	ɑːnɛk
nnšm	nanʃVw
nṯrw	nɛt͡ʃɛruː
mz	mɛz
šꜣqw	ʃɑkuː
ꜣ	ɑ
.kw	ku
mꜣwt	mɑuːt
spdt	sɛpɛdɛt
ḫprw	xɛpɛruː
šmsw	ʃɛmsuː
mnhz	manhas
pšn	pɛʃɛn
wzf	waːzaf
ṯnwt	t͡ʃɛnuːt
smwn	sɛmuːn
mꜣqt	moːqʼə
wꜣḏ	waːʀicʼ
psštj	pɛsʃɛti
ḫnj	xɛni
jmntj	ʔəment
ḫt	χit
wdpw	wɛdpuː
ꜣṯpw	ɑt͡ʃɛpuː
ẖpꜣw	çɛpɑuː
špsj	ʃipsiʔ
wsrw	wɛsɛruː
wpwtj	wɛpuːti
snḏ	sinicʼ
zẖꜣw	saçʀaːwaw
šrr	ʃɛrɛr
bꜣk	baːʀak
rsj	rɛsi
gmj	kʼiːmiʔ
msꜣḏt	maswiʀtʼiʔ
šn	ʃuːnəʔ
sḏfꜣ	sɛd͡ʒɛfɑ
ẖnmw	çanaːmaw
z	suʔ
mjn	min
sjꜣt	sɛiɑt
ḏḥꜥ	d͡ʒɛħɑː
sfṯ	sɛfɛt͡ʃ
kꜣr	kɑr
srḫ	sɛrɛx
ꜣṯyt	ɑt͡ʃiːt
dšr	tʼuːʃVʔ
wrryt	wɛrɛriːt
wtṯ	wɛtɛt͡ʃ
nḥmn	nɛħmɛn
dmḏj	tʼimcʼit
wḥꜣt	wɛħɑt
jnr	ʔoːnə
pzḫ	pɛzɛx
ṯpḥt	t͡ʃɛpħɛt
ꜥꜣ	ʕaʔ
wḫꜣ	wiːχiʀ
pt	puːwat
rtḥtj	rɛtħɛti
sšp	sɛʃɛp
km	kɛm
thm	tɛhɛm
mn	maːn
mẖtw	mɛçtuː
mdwj	mitʼwiʔ
nfr	noːfə
mjnb	minɛb
msḏr	mest͡ʃʼə
bꜥḥj	biʕħiʔ
.j	t
sṯzj	sɛt͡ʃɛzi
nrt	noːɾə
ꜣdw	ɑduː
ẖr	çɛr
wršy	wɛrʃiː
ḫmtw	xɛmɛtuː
ḥr	ħaɾ
wdfj	witʼfit
ꜥꜣnbpꜣjr	ɑːʔɑnɛbpɑir
ḫrt	xɛrɛt
wnḫwj	wɛnɛxuːi
jꜣrw	iɑruː
pẖr	pɛçɛr
ḥꜥb	ħɑːb
mjgꜣdn	miɡɑdɛn
wn	wan
tnṯ	tɛnɛt͡ʃ
ḏꜣḏꜣw	d͡ʒɑd͡ʒɑuː
sspd	sɛsɛpɛd
.tn	ʔtɛn
stp	sɛtɛp
sḏm	sacʼma
ḫbs	xɛbɛs
jmn	ʔamiːn
ḫpr	χoːpə
ꜣpd	ʔoːpətʼ
jbꜣ	ibɑ
swꜣj	suːɑi
ḏḥwtj	tʼəħawtəʔ
snt	sɛnɛt
šms	ʃimsij
ꜥnḫ	ʕanaχ
smsw	sɛmɛsuː
ꜣḫ	ʔoːχ
ꜣbw	ɑbuː
wꜥ	wøʕʕ
dng	dɛnɛɡ
ꜥnḏw	ʕantʼawwuw
ḥfꜣw	ħəfoːj
msj	miːsə
ꜣmm	ʔəmam
.j	ɾ
nht	noːhə
tjt	tit
jwꜣ	iuːɑ
sgnn	saʔkʼən
prj	piːɾit
jmj	ʔəmeʔ
sꜥsꜥ	sɑːsɑː
sšd	sɛʃɛd
prj	pɛri
mḏt	mɛd͡ʒɛt
dꜣ	dɑ
mdw	moːtʼ
jwwj	iuːʔuːi
ḥtpw	ħaʔpaw
mrḥt	məɾeħʔə
zj	zi
mꜣt	moːʔ
jꜥf	iɑːf
ḫꜣjw	xɑiuː
wfꜣ	woːfə
ꜣjwj	ɑiuːi
ẖpꜣ	çɛpɑ
jrj	jiːɾiʔ
ḥmt	ħiːmat
šn	ʃuːnVj
hrw	hɛruː
ntṯn	nətoːtən
ꜣjs	ɑis
rḏj	ɾətʼiːʔəʔ
ntt	ɛntɛt
mrḥt	mVɾiħjat
ꜣwt	ɑuːt
sḫt	sɛxɛt
ḏꜥm	d͡ʒɑːm
nts	ɛntɛs
rmṯt	rɛmɛt͡ʃɛt
ꜣꜥw	ɑʔɑːuː
gp	kʼeːp
ꜣṯp	ɑt͡ʃɛp
ꜣpd	ɑpɛd
ꜥmꜥm	ɑːmɑːm
jwnw	iuːnuː
ẖrd	çaɾatʼ
mnḫt	mɛnxɛt
snḏ	sɛnɛd͡ʒ
tp	cʼap
jnq	inɛk
sn	sanuːwaw
ḥtp	ħoːtəp
tꜣ	tiʀ
dwn	tʼaːwan
nḥm	naːħam
nkw	nɛkuː
tꜣw	taʀwaw
qrs	qʼaːʔs
zjnw	sijnVw
šꜣbꜣkꜣ	ʃɑbɑkɑ
mwjbw	muːibuː
psḏt	pisiːcʼat
zẖꜣw	səçoːj
sḏd	ʔ
šnj	ʃiːniʔ
gs	ɡɛs
nwdw	nuːduː
pꜣ	pə
nnw	noːn
jnj	jiːnit
mjnj	mijniʔ
jst	isɛt
ꜥšꜣt	ɑːʃɑt
kꜣt	kɑt
nšp	nɛʃɛp
ḏd	cʼitʼnu
srf	sɛrɛf
ḫnmw	xɛnɛmuː
jꜣrrt	jaʀlaljat
grg	ɡɛrɛɡ
wfꜣ	wɛfɑ
sbk	sɛbɛk
jwdnb	iuːdnɛb
spdt	saptʼə
sꜣq	saːʔəqʼ
nrt	naːɾaʔ
tꜣhꜣrqꜣ	tɑhɑrkɑ
nb	nep
sbꜣgj	sɛbɑɡi
ḥꜣt	ħeːʔə
gbb	kʼeːβ
tm	tɛm
ḏbt	cʼaːbVt
ntf	nVtaf
hj	hi
fnṯ	fent
ksw	kɛsuː
nḏyt	nɛd͡ʒiːt
ḏd	d͡ʒɛd
snm	sɛnɛm
zꜣṯw	zɑt͡ʃuː
mḥsḥs	məħasħəs
ꜥmr	ɑːmɛr
jḥ	jaħij
dmḏj	tʼimtʼiʔ
zwr	zuːr
sfḫw	safχəʔ
jꜥrt	iɑːrɛt
sḫdḫd	sɛxɛdxɛd
wnwt	wənoːwə
ḫmnjw	xɛmniuː
jkm	ikɛm
jšst	iʃɛsɛt
jmḏr	imd͡ʒɛr
ꜥnt	ɑːnɛt
ẖnmw	çɛnmuː
nṯrj	nucɾij
zfṯ	zaːfac
rd	ɾetʼ
ꜥnḏ	ɑːnɛd͡ʒ
sksj	sɛksi
zt	zut
gmgm	kʼamkʼəm
ꜣḫ	ʀiːχuw
ꜣwj	ʔoːw
hꜣj	hiʀjiʔ
ḫdj	χiːtʼə
ꜣhmt	ɑhmɛt
nkt	nukuʔ
ḫꜣꜥ	xɑʔɑː
hrw	haɾuwwaw
zmyt	zɛmiːt
twꜣ	tuːɑ
spr	sɛpɛr
nḥtj	niħtit
ḥṯṯt	ħaʔt͡ʃaʔ
nk	nɛk
kftyw	kɛftiːuː
ḥmꜣt	ħɛmɑt
jb	ib
sdm	sɛdɛm
snbj	sɛnbi
ꜣd	ʔaːtʼ
ꜥnḏw	ʕancʼawwuw
sfḫjw	sɛfxiuː
jbṯt	ibt͡ʃɛt
nṯrj	nɛt͡ʃɛri
šꜥwt	ʃɑːuːt
sꜥb	sɑːb
ḥnmnm	ħɛnɛmnɛm
ḫꜣḫꜣ	xɑxɑ
rnpj	ɾenpə
wmwt	wɛmuːt
ṯꜣw	t͡ʃiːwə
snḫbḫb	sɛnɛxɛbxɛb
nḏꜣw	nɛd͡ʒɑuː
nṯr	naːcaɾ
ḫntyt	xɛntiːt
ḫtj	χiːtaʔ
ḏḥwtt	cʼaħawtat
sḫn	sɛxɛn
prt	pəɾaːʔəʔ
ṯwfj	t͡ʃawf
nswt	nisiːwaʔ
wšd	wɛʃɛd
ḥṯṯt	ħaccat
sw	suː
ḏnnt	d͡ʒɛnɛnɛt
mr	moːɾ
znḥm	sənħeːm
ptr	pɛtɛr
sḥḏw	seħtʼ
ḫrwyw	xɛruːiːuː
rḏw	rɛd͡ʒuː
dgꜣj	dɛɡɑi
jqdw	ikɛduː
rḥw	rɛħuː
rwḏ	ruːd͡ʒ
sṯꜣt	sɛt͡ʃɑt
mṯn	mɛt͡ʃɛn
ttj	tɛti
dqr	dɛkɛr
wꜥw	wiːʕiw
ꜣst	ʔuːsaʔ
nṯrj	nɛt͡ʃri
msyt	mɛsiːt
ꜣwj	ɑuːi
ngꜣw	nɛɡɑuː
psḏj	pestʼə
ḏbꜣt	d͡ʒɛbɑt
sꜣgꜣ	sɛɡ
zt	suʔ
mr	miʔ
smw	siːmiw
n	ɛn
štw	ʃɛtuː
zꜣwtj	sVʀjawtVj
msḏr	mist͡ʃʼiʔ
jꜥḥ	jaʔħ
wsn	wɛsɛn
.j	ʔi
.k	k
sḥḏ	sɛħɛd͡ʒ
šsp	ʃɛsɛp
ṯrp	t͡ʃɛrɛp
ẖrt	çuɾit
ṯḥnt	t͡ʃɛħnɛt
mꜣꜥ	mɑʔɑː
ḥm	ħɛm
dwꜣ	duːɑ
ꜥꜣmt	ɑːʔɑmɛt
tfꜣ	tɛfɑ
.kj	ʔɛki
tyts	tiːtɛs
ꜣḫ	ʔiːχ
prt	pɛrɛt
wꜥꜣ	wɑːʔɑ
ꜣbw	ʀuːbaw
twy	tuːiː
mdt	maːtʼaʔ
ḥrrt	ħɛrɛrɛt
šnft	j
sꜣḥ	sɑħ
grgt	kʼaɾuːkʼVt
mfkꜣt	mafakʀaʔ
ḫrwy	xɛruːiː
snnw	sɛnɛnuː
qꜥḥ	kɑːħ
fnḫw	fɛnɛxuː
ꜣfjw	ɑfiuː
ntj	ɛnti
sꜣḫꜣḫ	sɛɑxɑx
wnn	wənan
bjt	bijaʔ
mry	mɛriː
ḥr	ħaːɾəʔ
ꜣwšꜣmm	ʔuʀuʃalimum
ḫmnw	xɛmɛnuː
tḫj	tiːχit
jdmj	idmi
mjtt	mitɛt
wsḫt	wisχaʔ
wḫꜣ	wiːχəʔ
pḥtj	peħtə
jwnw	jaːnaw
ṯz	t͡ʃiːsuw
ḥmsj	ħimsit
hnn	hɛnɛn
sd	sitʼ
zmꜣ	zamaʀ
zft	ziːfat
ntṯn	nɛtɛt͡ʃɛn
mnḫt	mawnaːχiʔ
bꜣẖw	baʀçaw
mḥj	mɛħi
jmjtw	imituː
bꜣt	baːʀaʔ
šꜣꜥ	ʃɑʔɑː
thw	tɛhuː
nqꜥwt	nɛkɑːuːt
m	ma
ꜥẖm	ʕaçaːmaw
jp	ip
ḥtp	ħotɛp
ḥꜣt	ħuːʀiʔ
ꜥꜣj	ʕiʀjit
jpwj	ipuːi
snsn	sɛnsɛn
rhn	ɾihniʔ
ꜥbj	ɑːbi
prt	paɾaːjit
nḏrj	nɛd͡ʒɛri
pꜣ	pɑ
ṯnm	t͡ʃɛnɛm
sḏm	saːcʼam
nfꜣ	nɛfɑ
ꜥꜣw	ɑːʔɑuː
mꜣꜥtj	mɑʔɑːti
nwḥ	nuːħ
bjk	bik
bjtj	βəjatə
spdḏ	saptʼə
mryt	maɾaːjat
ḏbꜥwt	d͡ʒɛbɑːuːt
jmꜣḫ	imɑx
mdt	moːtʼə
ḥḏw	ħɛd͡ʒuː
.w	ʔuː
wḏb	waːtʼab
.k	ʔɛk
ntk	nɛtɛk
jzr	ʔasɾ
nḥrj	nɛħri
msj	miːsiʔ
wnjs	wɛnis
ꜥḥꜥw	ɑːħɑːuː
ḥrj	ħəɾej
wrr	waɾaʔ
ṯꜣtt	t͡ʃɑtɛt
nḥtj	neħtə
sḫw	sɛxuː
spdḏ	saptʼacʼ
mdw	matʼuww
ḏꜥnt	cʼuʕnat
jḫḫw	ixɛxuː
mḫꜣt	mɛxɑt
ntsnj	nɛtɛsɛni
ḏꜣḏꜣ	t͡ʃʼaʀt͡ʃʼaʀ
ꜣmwt	ɑmuːt
pt	peʔ
nṯrj	nutɾij
ḥnꜥj	ħɛnɑːi
sḏm	sacʼmiw
jwn	iuːn
rnpwt	ɾinpiːwat
qdt	kɛdɛt
jꜣbt	jaʀbat
bbr	bɛbɛr
mꜣqt	mɑkɛt
št	ʃit
psš	pɛsɛʃ
ꜥrq	ʕaloːqʼ
tp	tʼap
prt	pəɾøʔ
sš	sɛʃ
ḥwj	ħuːi
ḏꜣyw	d͡ʒɑiːuː
ꜣbw	ʔaːbəʔ
ḥns	ħɛnɛs
jmntt	jamintiʔ
ḫmw	xɛmuː
ntsn	ɛntɛsɛn
wrrt	wɛrɛrɛt
jhm	ihɛm
msqt	masqʼaːɾiʔ
wḫdt	wɛxdɛt
snsn	sansan
tw.k	tuːʔɛk
jwjt	iuːit
ntsn	nɛtɛsɛn
rnp	rɛnɛp
dšrt	tʼaʃɾə
jt	jatjaw
js	is
z	suʀ
zꜣt	ziːʀut
mjt	mit
ḫrw	χaɾaw
ḫꜣ	xɑ
jꜣqt	juʀqʼat
jḫmt	ixmɛt
jwf	jawfaːwaw
hj	hij
jt	joːt
mḥ	mɛħ
ꜥ	ʕiːj
dbnt	dɛbnɛt
jfd	ifɛd
wrt	weːɾə
wꜥrt	wɑːrɛt
špsj	ʃɛpɛsi
ky	kiː
ḫmnw	χamaːnaw
mdwj	metʼwə
ḫwzj	χiwzit
mtrt	mɛtrɛt
psḏw	pəsiːtʼəʔ
zwr	saːwəʔ
fḫt	fɛxɛt
jdbwj	idɛbuːi
sḫt	saːχaʔ
nꜥꜥ	nɑːʔɑː
ḫt	xɛt
mꜥḥꜥt	majħiʕwaʔ
ḥꜥj	ħɑːi
ḥꜣtj	ħeːt
ꜥnb	ɑːnɛb
ḥꜥw	ħɑːuː
ꜥmꜥt	ɑːmɑːt
bꜣ	bɑ
ḥꜣb	ħɑb
jꜣjw	iɑiuː
mṯwn	mɛt͡ʃuːn
bꜣs	bɑs
hbj	hijbaw
mmj	mɛmi
ḫꜥj	χiʕjiʔ
gmj	kʼiːmə
qdj	kɛdi
ršwt	ɾaʃwaʔ
psj	piːsiʔ
jbhyt	ibhiːt
ḏdft	d͡ʒɛdfɛt
jtrw	itɛruː
nfr	naːfiʔ
sbꜣyt	sɛbɑiːt
jmj	jiːmiʔ
mnḏ	mɛnɛd͡ʒ
rnpj	rɛnɛpi
nfr	nɛfɛr
wḥmt	wɛħmɛt
ꜣꜥꜥwj	ɑʔɑːɑːuːi
ꜥpj	ɑːpi
ꜥnḫ.tj	ɑːnxʔti
zt	søʔ
wꜣj	wɑi
ẖꜣyt	çɑiːt
bẖbẖ	bɛçbɛç
mḥyt	maħuːjVt
ḏfꜣ	d͡ʒɛfɑ
ḥꜣtj	ħɑti
ntṯn	nVtaːcan
mḥtt	mɛħtɛt
wḥm	wɛħɛm
ꜣbd	ʀabuːtʼaw
gmgm	ɡɛmɡɛm
znḥm	zunħuːmVw
.snj	ʔsɛni
tšꜣ	tɛʃɑ
ḫꜣz	xɑz
wngbw	wɛnɛɡbuː
ḏbt	tʼoːβə
sḏꜣ	sɛd͡ʒɑ
gmt	ɡɛmɛt
ḫm	χaːm
nḥsj	nɛħsi
dmḏj	tʼaːmacʼ
nhm	nɛhɛm
mẖꜥqt	maçʕaːqʼiʔ
ḏꜣf	d͡ʒɑf
dwꜣt	duːɑt
psḏj	pɛsɛd͡ʒi
msḏj	mɛsɛd͡ʒi
smdt	sɛmdɛt
wnwt	wVnaːwaʔ
njk	nik
ḫsbd	xɛsbɛd
ꜣmj	ɑmi
sšmm	sɛʃɛmɛm
ṯzt	t͡ʃɛzɛt
srd	sɛrɛd
ḥts	ħɛtɛs
ḥmt	ħəjamwə
smꜣwj	sɛmɑuːi
rḏj	ɾVtʼiːjiʔ
mꜣwt	moːwə
wḥꜥ	wɛħɑː
wꜥtj	wuʕtij
nḥḏt	nøtʃʼħə
jꜣr	iɑr
ẖdb	çɛdɛb
ꜣwḥ	ɑuːħ
ḫftw	xɛfɛtuː
ꜣt	ɑt
