vitamiene	vitɐminə
Gemsbok	xɛmsbɔk
besige	biəsəxə
administrateur	ɐtmənəstrɐtøər
sorgvuldig	sɔrxfœldəx
iPhone	iphʊənə
dom	dɔm
Voorlopig	fʊərlʊəpəx
SPUR	spœr
alkoholiste	ɐlkuɔləstə
weggekom	væxəkɔm
Hoofkampus	hʊəfkɐmpœs
Knobel	knʊəbəl
lyntjies	lɛɪŋcis
verkleuring	fərkløərəŋ
Sanctuary	sɐŋktyɐrɛɪ
Omgewingsake	ɔmxiəvəŋsɑːkə
tafeltjie	tɑːfəlci
gebedel	xəbiədəl
ME	miə
trans	trɐns
geheim	xəhɛɪm
verdaging	fərdɑːxəŋ
NGKA	ŋkɑː
kunstenaars	kœnstənɑːrs
Justine	jœstinə
kleef	kliəf
agtergelaat	ɐxtərxəlɑːt
Borg	bɔrx
Jirre	jərə
afskrik	ɐfskrək
bakermat	bɑːkərmɐt
sosiaal	suʃiɑːl
Opname	ɔpnɑːmə
vermag	fərmɐx
genietinge	xənitəŋə
terugbring	trœxbrəŋ
naai	nɑɪ
Bijl	bɛɪl
koolhidraat	kʊəlhidrɑːt
afgryslike	ɐfxrɛɪsləkə
vooropgestel	fʊərɔpxəstæl
aanmaning	ɑːnmɑːnəŋ
Wilde	vəldə
roubeklaers	rəʊbəklɑːrs
member	mɛmbər
diktator	dəktɑːtɔr
opgeloste	ɔpxəlɔstə
Responses	rəspɔnsəs
gewaad	xəvɑːt
souterige	səʊtərəxə
grondstowwe	xrɔːntstɔvə
gekwyt	xəkwɛɪt
mengsels	mɛŋsəls
renjaer	rɛnjɑːr
origanum	ʊərəxɑːnœm
arrogansie	ɐruxɐnsi
oppervlakkigheid	ɔpərflɐkəxɛɪt
bysê	bɛɪseː
Luisteraars	løystərɑːrs
test	tɛst
Strategiese	strɐtiəxisə
Elsenburg	ælsənbœrx
Kommunisme	kɔmynəsmə
Koepel	kupəl
positiewe	pʊəsətivə
Aandeelhouers	ɑːndiəlhəʊərs
voëlvlug	fuːəlflœx
sertifiseer	særtifisiər
droëwors	druːəvɔrs
arres	ɐrɛs
Levinas	ləfinɐs
Hongaarse	hɔŋxɑːrsə
Canada	kɑːnɑːdɐ
interhoër	əntərhuːər
kosbaarste	kɔsbɑːrstə
Daarop	dɑːrɔp
beplande	bəplɐndə
padfiets	pɐtfits
juniorspan	jyniɔrspɐn
goudstandaard	xəʊtstɐndɑːrt
skoolhoofde	skʊəlhʊəfdə
vertaling	fərtɑːləŋ
Nikki	nəki
meesterstukke	miəstərstœkə
Persiese	pærsisə
sigaar	səxɑːr
Greene	xriənə
ontstellende	ɔntstæləndə
DRIE	dri
Aswoensdag	ɐswunsdɐx
Eseg	iəsæx
treffersparade	trɛfərspərɑːdə
Orals	ʊərɐls
Be	bə
Elsa	ælsɑː
Carlton	kɐrltɔn
Dierbare	diːrbɑːrə
inskrywings	ənskrɛɪvəŋs
lagune	lɐxynə
deurvloei	døərfluɪ
padveiligheid	pɐtfɛɪləxɛɪt
ingeboet	ənxəbut
matrikulante	mɐtrikylɐntə
Aangrypende	ɑːnxrɛɪpəndə
Afrikanerfront	ɐfrikɑːnərfrɔnt
gebliksem	xəbləksəm
Arbeidsterapie	ɐrbɛɪtstɛrɐpi
sewentig	siəvəntəx
posgeld	pɔsxælt
Bird	bərt
oorsien	ʊərsin
gemarginaliseer	xəmɐrxinɐlisiər
October	ɔktʊəbər
huisgesin	høysxəsən
Stories	stʊəris
Inligtingstegnologie	ənləxtəŋstæxnuluxi
Okahandja	ʊəkɑːhɐntjɑː
eensgesindheid	iənsxəsənthɛɪt
koppelvlak	kɔpəlflɐk
vegetariër	fiəxətɑːriəiər
fondsinsamelingsprojek	fɔntsənsɑːmələŋsprujɛk
Middeleeuse	mədəliuːsə
handsakke	hɐntsɐkə
College	kɔləxə
Martiens	mɐrtins
hardnekkig	hɐrtnækəx
hommeltuie	hɔməltøyə
VREDE	friədə
Kavango	kɑːfɐŋu
beterwete	biətərviətə
Norbert	nɔrbərt
kwaliteit	kwɐlitɛɪt
plasenta	plɐsɛntɐ
fabrikaat	fɐbrikɑːt
buk	bœk
doenlik	dunlək
bemoei	bəmuɪ
stamper	stɐmpər
HIER	hiːr
ongewild	ɔnxəvəlt
Truman	trymɐn
towenaar	tʊəvənɑːr
naat	nɑːt
ydele	ɛɪdələ
plaaseienaar	plɑːsɛɪənɑːr
Lutherane	lytərɑːnə
Nkomo	ŋkʊəmu
astronoom	ɐstrunʊəm
spraakvryheid	sprɑːkfrɛɪhɛɪt
uitgangspunte	øytxɐŋspœntə
Aldo	ɐldu
Freeman	friəmɐn
buitestort	bøytəstɔrt
belange	bəlɐŋə
eksplorasie	ɛksplʊərɑːsi
toegewydheid	tuxəvɛɪthɛɪt
versoeningswerk	fərsunəŋsværk
wringkrag	vrəŋkrɐx
wenkombinasie	vɛŋkɔmbinɑːsi
bevrydend	bəfrɛɪdənt
affair	ɐfaɪr
beskut	bəskœt
Dae	dɑː
huurders	hyrdərs
So	sʊə
Bo	bʊə
Sekondes	səkɔndəs
aangewese	ɑːnxəviəsə
Oranjemund	ʊərɐnjəmœnt
ooie	ʊɪə
nuanses	nyɐnsəs
burgerskap	bœrɡərskɐp
Sibiya	sibiɛɪɑː
gedig	xədəx
Viktor	fəktɔr
waaiers	vɑɪərs
konsekwensies	kɔnsəkwɛnsis
Nonnie	nɔni
Movember	mʊəfəmbər
knegte	knæxtə
gejubel	xəjybəl
ernstige	ærənstəxə
uitgerafel	øytxərɑːfəl
voorlaaste	fʊərlɑːstə
Lark	lɐrk
XLT	ɛksæltiə
voedselproduksie	futsəlprudœksi
BO	bʊə
Beide	bɛɪdə
uitbuit	øytbøyt
bederfie	bədærfi
Archie	ɐrxi
bergstrome	bærxstrʊəmə
verpletterende	fərplɛtərəndə
tool	tʊəl
Tipies	tipis
afwesigheid	ɐfviəsəxhɛɪt
uitgepraat	øytxəprɑːt
verbeeldingryke	fərbiəldəŋrɛɪkə
Kliprivier	kləprəfiːr
maatjies	mɑɪcis
War	vɐr
oortreding	ʊərtriədəŋ
beskrywing	bəskrɛɪvəŋ
Klasie	klɑːsi
woordelys	vʊərdəlɛɪs
verifieer	vɛrifiiər
Class	klɐs
migrante	məxrɐntə
meelmengsel	miəlmɛŋsəl
vlesige	fliəsəxə
Katedraal	kɐtədrɑːl
kinderdoop	kəndərdʊəp
formaat	fɔrmɑːt
toegelate	tuxəlɑːtə
Km	kɑːɛm
daglig	dɐxləx
Trekkerverkope	trækərfərkʊəpə
geursel	xøərsəl
agterpant	ɐxtərpɐnt
gebroei	xəbruɪ
Reënval	riənfɐl
Sodom	sʊədɔm
Witwatersrandse	vətvɑːtərsrɐntsə
uitgehaal	øytxəhɑːl
aanvuur	ɑːnfyr
Oe	u
starter	stɐrtər
Piper	pipər
Wayde	vɑːɛɪdə
bucket	bœkɛt
Ink	əŋk
PH	piəhɑː
nasionalisering	nɐʃiunɐlisiərəŋ
krone	krʊənə
vervullende	fərfœləndə
Altwee	ɐltwiə
rondswaai	rɔntswɑɪ
Lone	lʊənə
gradeplegtigheid	xrɑːdəplæxtəxɛɪt
vibrator	vibrɑːtɔr
toedig	tudəx
reekse	riəksə
Johannesburg	juhɐnəsbœrx
lont	lɔnt
enkeles	ɛŋkələs
Currently	kœrɛntlɛɪ
ontneming	ɔntniəməŋ
leêr	liəæːr
Talk	tɐlk
biomassa	biʊəmɐsɐ
mik	mək
ontleed	ɔntliət
air	aɪr
omelet	ɔməlɛt
kure	kyrə
helium	hiəliœm
Fundamentele	fœndɐmɛntiələ
laas	lɑːs
kossoorte	kɔsʊərtə
gegewe	xəxiəvə
fiemies	fimis
Milner	məlnər
groentetuine	xruntətøynə
houtkapper	həʊtkɐpər
bevooroordeeld	bəfʊərʊərdiəlt
breedste	briətstə
sjokoladekoek	ʃɔkəlɑːdəkuk
bygelowe	bɛɪxəlʊəvə
Kies	kis
Rustyd	rœstɛɪt
kombersies	kɔmbæːrsis
Noodkas	nʊətkɐs
hekse	hɛksə
interhuis	əntərhøys
Kempen	kɛmpɛn
neergeslaan	niərxəslɑːn
Akker	ɐkər
wysigings	vɛɪsəxəŋs
voorstad	fʊərstɐt
afgeslaan	ɐfxəslɑːn
Eiffeltoring	ɛɪfəltʊərəŋ
skrikbewind	skrəkbəvənt
pligsgetrou	pləxsxətrəʊ
eeste	iəstə
Barberton	bɑːbərtɔn
veranderlik	fərɐndərlək
strokiesprente	strʊəkisprɛntə
polemiek	pɔləmik
RSA	rsɑː
Dra	drɑː
Schuster	ʃustər
skitter	skətər
volksmusiek	fɔlksmœsik
langdradig	lɐŋdrɑːdəx
spietkop	spitkɔp
Vreemd	friəmt
banger	bɐŋər
spoggerig	spɔxərəx
treinongeluk	trɛɪnõŋxəlœk
range	rɐŋə
geïnsemineer	xəənsiəminiər
optimale	ɔptimɑːlə
vrykom	frɛɪkɔm
agent	ɐxɛnt
onderwys	ɔnərvɛɪs
rykste	rɛɪkstə
eienaarskap	ɛɪənɑːrskɐp
hofuitspraak	hɔføytsprɑːk
opvatting	ɔpfɐtəŋ
piëtisme	piəiəətəsmə
veiligheidshek	fɛɪləxɛɪtshæk
Windpomp	vəntpɔmp
vervlak	fərflɐk
normale	nɔrmɑːlə
kersgeskenk	kærsxəskɛŋk
praktisyns	prɐktisɛɪns
stigtingsvergadering	stəxtəŋsfərxɑːdərəŋ
Project	prujəkt
okkasie	ɔkɑːsi
Cummins	kœməns
wegbly	væxblɛɪ
verstar	fərstɐr
verloorspan	fərlʊərspɐn
flukse	flœksə
indiwiduele	əndəvədyiələ
verbysterende	fərbɛɪstərəndə
opgawes	ɔpxɑːvəs
gruwelike	xryvələkə
broodmes	brʊətmɛs
omgesien	ɔmxəsin
Bene	biənə
drek	dræk
Landelike	lɐndələkə
aparte	ɐpɐrtə
vasgeklem	fɐsxəklɛm
kunssinnige	kœnsənəxə
Aangeleenthede	ɑːnxəliənthiədə
vergete	fərxiətə
uitstallings	øytstɐləŋs
Hoewel	huvæl
Swarts	swɐrts
swak	swɐk
eerbied	iərbit
intik	əntək
saamhang	sɑːmhɐŋ
Agt	ɐxt
pizzas	pitsɐs
mondelinge	mɔndələŋə
verkoeler	fərkulər
garde	xɐrdə
samel	sɑːməl
teenmekaar	tiənməkɑːr
oneindig	ɔnɛɪndəx
gekant	xəkɐnt
gewandel	xəvɐndəl
welbekende	vælbəkɛndə
agterplase	ɐxtərplɑːsə
nuwigheid	nyvəxɛɪt
Cravenweek	krɑːfənviək
skynheilig	skɛɪnhɛɪləx
Genoeg	xənux
ru	ry
losweg	lɔsvæx
Kort	kɔrt
Soen	sun
Te	tə
rooie	rʊɪə
Gebrekkige	xəbrækəxə
Vyfde	fɛɪfdə
tegnologies	tæxnulʊəxis
vasslaan	fɐslɑːn
Elisa	iəlisɐ
boesem	busəm
tyre	tɛɪrə
meerderheidsregering	miərdərhɛɪtsrəxiərəŋ
lektore	lɛktʊərə
volheid	fɔlhɛɪt
nuutjie	nyci
Heb	hɛp
Lange	lɐŋə
Skop	skɔp
roering	ruːrəŋ
Etios	iətiɔs
aanmelding	ɑːnmældəŋ
stoeltjies	stulcis
Vaselinetjie	vɐsəlinci
redes	riədəs
selfstandige	sælfstɐndəxə
Centurionsangers	sɛntyriɔnsɐŋərs
Akteur	ɐktøər
feitelik	fɛɪtələk
Maatreëls	mɑːtriəls
verkrummel	fərkrœməl
gestol	xəstɔl
Hierso	hiːrsɔ
gemaskerde	xəmɐskərdə
verbondsdoop	fərbɔntsdʊəp
Tower	tʊəvər
Wandel	vɐndəl
sedes	siədəs
kinderpartytjie	kəndərpɐrtɛɪci
skurf	skœrf
opvolging	ɔpfɔlxəŋ
wortels	vɔrtəls
roosterelement	rʊəstərɛləmɛnt
kneukels	knøəkəls
Rooster	rʊəstər
Marken	mɐrkən
niggie	nəxi
Leiding	lɛɪdəŋ
Istanbul	əstɐnbœl
ophaal	ɔphɑːl
oopgesluit	ʊəpxəsløyt
vriendskappe	frintskɐpə
Woordbediening	vʊərtbədinəŋ
bystand	bɛɪstɐnt
Zinchem	zəŋxəm
Missio	məʃiʊə
dierevoeding	diːrəfudəŋ
Honderde	hɔnərdə
Litaue	litəʊə
herstelproses	hærstælprusɛs
onderhouding	ɔnərhəʊdəŋ
ontrou	ɔntrəʊ
kommerwekkend	kɔmərvɛkənt
lokale	lukɑːlə
Jukskei	jœkskɛɪ
vergeet	fərxiət
Champs	xɐmps
kunswerk	kœnsværk
liturg	litœrx
markdag	mɐrkdɐx
Eersterivier	iərstərəfiːr
Regulasie	rɛxylɑːsi
krake	krɑːkə
skadelike	skɑːdələkə
lokval	lɔkfɐl
pdf	piədiəɛf
valslik	fɐlslək
voortgebou	fʊərtxəbəʊ
Delia	diəliɐ
halfeeu	hɐlfiuː
sorgelose	sɔrxəlʊəsə
eShop	iəʃɔp
dwalings	dwɑːləŋs
motiveer	mʊətifiər
realisering	riɐlisiərəŋ
argeoloë	ɐrxiuluə
Sensus	sɛnsœs
Continue	kɔntinyə
slang	slɐŋ
veskillende	fɛskələndə
oorlogsverklaring	ʊərlɔxsfərklɑːrəŋ
Vertroue	fərtrəʊə
Visekanselier	fisikɑ̃nsəliːr
nuuskonferensie	nyskɔnfərɛnsi
Digtersfees	dəxtərsfiəs
bekoor	bəkʊər
rangskik	rɐŋskək
Werkgroep	værkxrup
religie	rələxi
skuiwergat	skøyvərxɐt
mistieke	məstikə
heiligdom	hɛɪləxdɔm
verloëning	fərluːənəŋ
Porto	pɔrtʊə
Linette	linɛtə
verdraaide	fərdrɑɪdə
Byron	bɛɪrɔn
Adobe	ɑːdʊəbə
Pietie	piti
Mikayla	mikɑːɛɪlɐ
Bruggen	brœxən
blydskap	blɛɪtskɐp
Malans	mɑːlɑ̃ns
Build	bøylt
Laurent	ləʊrɛnt
kopdoek	kɔpduk
geruis	xərøys
hulpeloosheid	hœlpəlʊəshɛɪt
opgeblase	ɔpxəblɑːsə
landmassa	lɐntmɐsɐ
doel	dul
korporasies	kɔrpʊərɑːsis
sederhout	siədərhəʊt
fatsoen	fɐtsun
Maat	mɑːt
Natan	nɑːtɐn
caps	kɐps
Ervaar	ærfɑːr
Reddersburg	rɛdərsbœrx
uitdagend	øydɑːxənt
heelpad	hiəlpɐt
Nkwe	ŋkwiə
jeugsorgsentrum	jøəxsɔrxsɛntrœm
Caravaggio	kɑːrɑːfɐxiʊə
gerammel	xərɐməl
onderdrukte	ɔnərdrœktə
huisvriende	høysfrində
vangste	fɐŋstə
vegetariërs	fiəxətɑːriəiərs
Mining	minəŋ
Waaroor	vɑːrʊər
Mariene	mɐrinə
Verlig	fərləx
brute	brytə
inlaat	ənlɑːt
rating	rɑːtəŋ
Skrywersvereniging	skrɛɪvərsfəriənəxəŋ
crazy	krɐzɛɪ
slenter	slɛntər
leuenaar	løəənɑːr
vakansieseisoen	fəkɐnsisɛɪsun
Stefaans	stəfɑ̃ns
lippies	ləpis
eksepsie	ɛksɛpsi
noordelike	nʊərdələkə
sonlig	sɔnləx
simptoom	səmtʊəm
owerpriesters	ʊəvərpristərs
mediator	miːdiːjɐtɔr
ruolie	ryʊəli
geouditeerde	xəəʊditiərdə
Lofprysing	lɔfprɛɪsəŋ
Chemie	xiəmi
word	vɔrt
alfabeties	ɐlfɐbiətis
SR	ɛsær
wesenlik	viəsənlək
Kontakpersoon	kɔntɐkpərsʊən
Wonderlik	vɔnərlək
Vaarwel	fɑːrvæl
RTA	rtɑː
badwater	bɐtvɑːtər
Beloftes	bəlɔftəs
aflei	ɐflɛɪ
pittig	pətəx
regulasie	rɛxylɑːsi
drif	drəf
talm	tɐləm
eksentriek	ɛksɛntrik
Nene	niənə
pynloos	pɛɪnlʊəs
beloof	bəlʊəf
omsien	ɔmsin
gesigte	xəsəxtə
Deluxe	diəlyksə
insidente	ənsədɛntə
herstellende	hærstæləndə
oorgedoen	ʊərxədun
kry	krɛɪ
vasgeslaan	fɐsxəslɑːn
braak	brɑːk
Ceylon	səlɔn
grimering	xrəmiərəŋ
kroeë	kruːə
Bedieninge	bədinəŋə
koud	kəʊt
Witte	vətə
Middelaar	mədəlɑːr
panele	pɐniələ
Duvenage	dyvənɑːxə
toegewyde	tuxəvɛɪdə
postkoloniale	pəʊstkuluniɑːlə
meenthuise	miənthøysə
grondboontjies	xrɔːntbʊɪŋkis
Sakkie	sɐki
gedronge	xədrɔŋə
tjoklits	tʃɔkləts
set	sɛt
brig	brəx
onbekwaamheid	ɔnbəkwɑːmhɛɪt
Sasha	sɐshɑː
ResensiesHet	rəsɛnsishɛt
Hardloop	hɐrtlʊəp
nefies	niəfis
profyt	prufɛɪt
rondval	rɔntfɐl
byvoorbeeld	bɛɪfʊərbiəlt
hoed	hut
beroepsopleiding	bərupsɔplɛɪdəŋ
mét	mɛt
uitruk	øytrœk
vloekwoord	flukvʊərt
skilferkorsdeeg	skəlfərkɔrsdiəx
ingebou	ənxəbəʊ
wellustige	vælœstəxə
verontskuldiging	fərɔntskœldəxəŋ
toesig	tusəx
sakke	sɐkə
ekstaties	ɛkstɑːtis
PS	piəɛs
spane	spɑːnə
meestersgraad	miəstərsxrɑːt
sektor	sɛktɔr
Ursula	œrsylɐ
Dahl	dɑːl
maalkolk	mɑːlkɔlk
wedstryd	vɛtstrɛɪt
verruklik	fərrœklək
oorname	ʊərnɑːmə
moorde	mʊərdə
blootlê	blʊətleː
amptenaar	ɐmptənɑːr
dehidrasie	diəhidrɑːsi
palet	pɐlɛt
wingerdbou	vəŋərtbəʊ
oorgenooi	ʊərxənʊɪ
Damaras	dɑːmɑːrɐs
kontrole	kɔntrʊələ
Wanderers	vɐndərərs
waagmoed	vɑːxmut
strek	stræk
gekraai	xəkrɑɪ
Building	bøyldəŋ
Hettema	hɛtiəmɐ
liefhebber	lifhɛbər
intellek	əntælɛk
toenemende	tuniəməndə
vakansiebestemming	fəkɐnsibəstɛməŋ
beklemtoon	bəklɛmtʊən
Terugvoer	trœxfuːr
visuele	viʒyiələ
Straaten	strɑːtən
sekstonele	sɛkstuniələ
alfa	ɐlfɑː
digwerk	dəxværk
Verbondsgod	fərbɔntsxɔt
skubaduik	skybɐdøyk
onaanvaarbare	ɔnɑːnfɑːrbɑːrə
weef	viəf
gestorm	xəstɔrəm
Terug	trœx
kriewel	krivəl
Anneli	ɐnəli
beleg	bəlæx
Gilfillan	xəlfəlɐn
jeuglede	jøəxliədə
morsdood	mɔrsdʊət
pyl	pɛɪl
Kaapland	kɑːplɐnt
gemaan	xəmɑːn
skryfbehoefte	skrɛɪfbəhuftə
weke	viəkə
tekort	təkɔrt
aanpas	ɑːnpɐs
dissipline	dəsəplinə
Japan	jɐpɐn
rem	rɛm
simbiose	səmbiʊəsə
Prentjies	prɛːiŋkis
dilemma	dəlɛmɐ
gedeeltes	xədiəltəs
dryfhout	drɛɪfhəʊt
ondersoeker	ɔnərsukər
hoog	hʊəx
vertikale	færtikɑːlə
HH	hɑːhɑː
Daarvolgens	dɑːrfɔlxəns
Notule	nutylə
Kaas	kɑːs
Pie	pi
oopgevou	ʊəpxəfəʊ
okkerneute	ɔkərnøətə
Mars	mɐrs
geblameer	xəblɐmiər
wedywering	vɛtɛɪvərəŋ
verbygegaan	fərbɛɪxəxɑːn
WKOD	vkɔt
Anatot	ɐnɐtɔt
sot	sɔt
vernietiging	fərnitəxəŋ
rasseskeiding	rɐsəskɛɪdəŋ
Krone	krʊənə
Rad	rɐt
Bid	bət
Ora	ʊərɐ
onwaarskynlike	ɔnvɑːrskɛɪnləkə
sportman	spɔrtmɐn
gewil	xəvəl
Wolk	vɔlk
Teorie	tiʊəri
Kykers	kɛɪkərs
natuurwetenskap	nɐtyrviətənskɐp
Ten	tɛn
teef	tiəf
Oelofse	ulɔfsə
bedrieër	bədriːər
wildboerdery	vəltbuːrdərɛɪ
aangehou	ɑːnxəhəʊ
Welvaart	vælfɑːrt
konsekwensie	kɔnsəkwɛnsi
Verlede	fərliədə
messiaanse	mɛsiɑ̃nsə
Kaapjag	kɑːpjɐx
insettinge	ənsɛtəŋə
ideologiese	idiəulʊəxisə
Leyds	lɛɪts
randjie	raɪŋci
patriargale	pɐtriɐrxɑːlə
dwelms	dwæləms
fisiek	fəsik
soektog	suktɔx
teelepel	tiəliəpəl
tuistes	tøystəs
sysagte	sɛɪsɐxtə
annale	ɐnɑːlə
toegangspaaie	tuxɐŋspɑɪə
ramings	rɑːməŋs
Sardis	sɐrdəs
basketbal	bɐskɛtbɐl
daders	dɑːdərs
ENIGSTE	iənəxstə
geskuif	xəskøyf
omliggende	ɔmləxəndə
Balkie	bɐlki
Mafia	mɑːfiɐ
gepraktiseer	xəprɐktisiər
veertienjarige	fiərtinjɑːrəxə
prestasie	prəstɑːsi
naamgenoot	nɑːmxənʊət
toertjie	tuːrci
Pofadder	pɔfɐdər
opgaartenks	ɔpxɑːrtæŋks
halfeindronde	hɐlfɛɪndrɔndə
terapie	tɛrɐpi
beetgepak	biətxəpɐk
te	tə
trompop	trɔmpɔp
LEKKER	lækər
Mooinooi	mʊɪnʊɪ
Jaftha	jɐfthɑː
sotte	sɔtə
soverre	sʊəfærə
sorgeenheid	sɔrxiənhɛɪt
DD	diədiə
silwer	səlvər
bergagtige	bærxɐxtəxə
Gobabeb	xʊəbɑːbəp
Aankoms	ɑːŋkɔms
Elysium	iəlɛɪsiœm
trol	trɔl
implementeer	əmpliəmɛntiər
Tswana	tswɑːnɐ
Emma	ɛmɐ
mee	miə
familiegeskiedenis	fɐmilixəskidənəs
boereverenigings	buːrəfəriənəxəŋs
weerkantoor	viərkɐntʊər
ry	rɛɪ
vel	fæl
TR	tiəær
Begryp	bəxrɛɪp
middelklas	mədəlklɐs
onstabiliteit	ɔnstɐbilitɛɪt
hindernisse	həndərnəsə
voorkeur	fʊərkøər
teruggeslaan	trœxəslɑːn
uitlag	øytlɐx
jurie	jyri
afgeskil	ɐfxəskəl
Skoppensboer	skɔpənsbuːr
hieroor	hiːrʊər
selfverheffing	sælffərhɛfəŋ
krukkelys	krœkəlɛɪs
spelterapeut	spæltɛrɐpøət
baadjiesak	bɑɪcisɐk
ingevolge	ənxəfɔlɡə
Skuur	skyr
Walus	vɑːlœs
VinPro	fənprʊə
verbrokkel	fərbrɔkəl
Onse	ɔnsə
Plaag	plɑːx
DIY	diɛɪ
verkeer	fərkiər
substansies	sœpstɐnsis
beskrywe	bəskrɛɪvə
star	stɐr
Lars	lɐrs
Meestal	miəstɐl
Daan	dɑːn
drukkende	drœkəndə
Maan	mɑːn
skend	skɛnt
hoofspreker	hʊəfspriəkər
breedtegraad	briətəxrɑːt
volhoubare	fɔlhəʊbɑːrə
Erfenisstigting	ærfənəsstəxtəŋ
Lodder	lɔdər
roudiens	rəʊdins
Van	fɐn
Bongolethu	bɔŋɡuləthy
ASM	ɐsm
alreeds	ɐlriəts
verantwoordbaar	fərɐntvʊərtbɑːr
Leonora	liəʊənʊərɐ
miskruiers	məskrøyərs
regbank	ræxbɐŋk
rampspoedige	rɐmpspudəxə
verwysingsveld	fərvɛɪsəŋsfælt
Russian	rœsiɐn
ligtoring	ləxtʊərəŋ
honeymoon	hunɛɪmʊən
kospotte	kɔspɔtə
Min	mən
ondersteuningspersoneel	ɔnərstøənəŋspærsuniəl
Schweizer	ʃvɛɪzər
radio	rɑːdiuː
Kathrada	kɐtrɑːdɐ
Christene	xrəstənə
dirigeer	dərəxiər
aanvoerder	ɑːnfuːrdər
verneder	fərniədər
gedagtegang	xədɐxtəxɐŋ
Finn	fən
speenpersentasie	spiənpərsɛntɑːsi
Working	vɔrkəŋ
interne	əntærnə
brandmerk	brɐntmærk
Urija	yrijɐ
wankelende	vɐŋkələndə
skuldgevoel	skœltxəful
staatshulp	stɑːtshœlp
christelike	xrəstələkə
ouderdom	əʊdərdɔm
doek	duk
intieme	əntimə
verlustig	fərlœstəx
uitvind	øytfənt
intertekste	əntərtɛkstə
Heiland	hɛɪlɐnt
blyspel	blɛɪspæl
leeskringe	liəskrəŋə
horlosie	hɔrlʊəsi
substasies	sœbstɑːsis
verbrokkelende	fərbrɔkələndə
alte	ɐltə
Poes	pus
teaterstuk	tiɑːtərstœk
Chobe	xʊəbə
vang	fɐŋ
Zanele	zɑːniələ
hofdokumente	hɔfdɔkymɛntə
Agge	ɐxə
keelaf	kiəlɐf
spiritualiteite	spirətyɐlitɛɪtə
Soektog	suktɔx
Zola	zʊəlɐ
gemoedelik	xəmudələk
wynroetes	vɛɪnrutəs
frase	frɑːsə
knieg	knix
beperkende	bəpærkəndə
Hoofsaaklik	hʊəfsɑːklək
opskuif	ɔpskøyf
grou	xrəʊ
blymoedigheid	blɛɪmudəxɛɪt
soorte	sʊərtə
Oct	ɔkt
Bederf	bədærf
Bulawayo	bylɐvɑːɛɪʊə
terugflitse	trœxflətsə
Kid	kət
heimat	haɪmɐt
welgeval	vælxəfɐl
sig	səx
opgestyg	ɔpxəstɛɪx
Scarlett	skɐrlɛt
vrugtige	frœxtəxə
IX	rumɛɪnsəniəxə
Wimpy	wəmpi
gevoelige	xəfuləxə
lewensbeskouing	liəvənsbəskəʊəŋ
Blykbaar	blɛɪkbɑːr
Tegniese	tæxnisə
Oosthuysen	ʊəsthøysən
buurlande	byrlɐndə
Spanne	spɐnə
wynkelders	vɛɪnkældərs
saamsmelt	sɑːmsmælt
godsdienstige	xɔtsdinstəxə
Handelaar	hɐndəlɑːr
gesnap	xəsnɐp
JLP	jiəælpiə
nesmaak	nɛsmɑːk
Lolla	lɔlɐ
stadige	stɑːdəxə
derms	dærəms
getransformeerde	xətrɐnsfɔrmiərdə
impakte	əmpɐktə
weggeskram	væxəskrɐm
Akademia	ɐkədiəmiɐ
regterkant	ræxtərkɐnt
stront	strɔnt
vrind	frənt
kruisbande	krøysbɐndə
Clos	klɔs
Duidelike	døydələkə
Camp	kɐmp
Andrea	ɐndriəɑː
bruid	brøyt
Moord	mʊərt
Watermeyer	vɑːtərmɛɪər
Sorita	sʊəritɐ
beraadslaag	bərɑːtslɑːx
Jock	jɔk
Spoorweë	spʊərviə
ondergaande	ɔnərxɑːndə
luidrugtig	løydrœxtəx
oortrek	ʊərtræk
Herlewing	hærliəvəŋ
kompartement	kɔmpɐrtəmɛnt
Beginsels	bəxənsəls
begraafplaas	bəxrɑːfplɑːs
soetrissie	sutrəsi
erektiele	iərəktilə
trust	trœst
Jarah	jɑːrɐ
dadelik	dɑːdələk
Cheree	xiəriə
gelykes	xəlɛɪkəs
veragtelike	fərɐxtələkə
ouderdomsbeperking	əʊdərdɔmsbəpærkəŋ
verminkte	fərməŋktə
Majiedt	mɑːjit
Wenners	vɛnərs
Desire	diəsirə
diaspora	diɐspʊərɐ
opgesit	ɔpxəsət
dinosourus	dinusəʊrœs
uitspel	øytspæl
Wal	vɐl
Costa	kɔstɐ
IEMAND	imɐnt
Sullivan	sœlifɐn
departementshoof	dəpɐrtəmɛntshʊəf
AfriForumMeningstukke	ɐfrifʊərœmmiənəŋstœkə
Austin	əʊstən
graagte	xrɑːxtə
agv	ɐxf
geskiedkundig	xəskitkœndəx
prosedurele	prɔsədyriələ
kontraste	kɔntrɐstə
tweegesprek	twiəxəspræk
Fisiologie	fiʃiuluxi
voorreg	fʊəræx
elektrisiteitsverbruik	ilɛktrisitɛɪtsfərbrøyk
onreëlmatige	ɔnriəlmɑːtəxə
skrikkeljaar	skrəkəljɑːr
teruggestuur	trœxəstyːr
Others	ɔthərs
owerheid	ʊəvərhɛɪt
buitelyne	bøytəlɛɪnə
kruisies	krøysis
Heyns	hɛɪns
ooms	ʊəms
Stage	stɑːxə
grafika	xrɑːfikɐ
vervolgers	fərfɔlxərs
Wa	vɑː
Waaier	vɑɪər
haarverlies	hɑːrfərlis
