Зенги	zˈɛŋɡɪ
слушалаца	slˈuʃɐlˌɐt͡sɐ
Крисом	krˈisom
дозвољавајући	dˈozvoʎˌɐvɑjˌʊt͡ɕɪ
Хорватовић	xˈorvɐtˌovɪt͡ɕ
одгој	ˈodɡoj
артеријском	ˈɑrtɛrˌɪjskom
будућом	bˈudʊt͡ɕom
јаловине	jˈalovˌɪnɛ
Притоке	prˈitokɛ
интерконтиненталних	ˈintɛrkˌontɪnˌɛntɐlnɪh
обарањем	ˈobɑrˌɐɲem
одвела	ˈodvɛlɐ
Силва	sˈilvɐ
помоћница	pˈomot͡ɕnˌɪt͡sɐ
уздрмао	ˈuzdrmɐo
посредовање	pˈosrɛdˌovɐɲe
Дао	dˈao
лигнита	lˈiɡnɪtɐ
полицама	pˈolɪt͡sˌɐmɐ
Приватна	prˈivɐtnɐ
одбрани	ˈodbrɐnɪ
папског	pˈapskoɡ
гледати	ɡlˈɛdɐtɪ
иселио	ˈisɛlˌɪo
прошириле	prˈoʃɪrˌɪlɛ
прегледност	prˈɛɡlɛdnost
бут	bˈut
повељама	pˈovɛʎˌɐmɐ
Антон	ˈanton
абдомена	ˈabdomˌɛnɐ
образован	ˈobrɐzˌovɐn
раскида	rˈaskɪdɐ
претплатника	prˈɛtplɐtnˌɪkɐ
инхибитора	ˈinhɪbˌɪtorɐ
снагама	snˈaɡɐmɐ
гранчице	ɡrˈant͡ʃɪt͡sɛ
Ернест	ˈɛrnɛst
побуњени	pˈobʊɲˌenɪ
скенира	skˈɛnɪrɐ
Драшко	drˈaʃko
фирмом	fˈirmom
словеначке	slˈovɛnˌɐt͡ʃkɛ
визуелног	vˈizʊˌɛlnoɡ
дуалне	dˈuɐlnɛ
произилази	prˈoɪzˌɪlɐzɪ
Успон	ˈuspon
мати	mˈatɪ
Риге	rˈiɡɛ
Савезничке	sˈavɛznˌɪt͡ʃkɛ
патила	pˈatɪlɐ
послушни	pˈoslʊʃnɪ
модификацију	mˈodɪfˌɪkɐt͡sˌɪjʊ
разболи	rˈazbolɪ
лунарног	lˈunɑrnoɡ
пуцало	pˈut͡sɐlo
Морнаричке	mˈornɑrˌɪt͡ʃkɛ
одједном	ˈodjednom
лежећи	lˈɛʒɛt͡ɕɪ
Америчког	ˈamɛrˌɪt͡ʃkoɡ
једну	jˈednʊ
квартова	kvˈɑrtovɐ
бодове	bˈodovɛ
донатор	dˈonɐtor
мучењима	mˈut͡ʃɛɲˌɪmɐ
арх	ˈɑrh
зарађују	zˈɑrɐd͡ʑˌʊjʊ
Сјогреновог	sjˈoɡrɛnˌovoɡ
ветеранима	vˈɛtɛrˌɐnɪmɐ
Сандерс	sˈandɛrs
убрзало	ˈubrzɐlo
словенског	slˈovɛnskoɡ
зарастање	zˈɑrɐstˌɐɲe
тона	tˈonɐ
систематских	sˈistɛmˌɐtskɪh
Лив	lˈiv
импресиониста	ˈimprɛsˌɪonˌɪstɐ
житница	ʒˈitnɪt͡sɐ
разрађују	rˈazrɐd͡ʑˌʊjʊ
Враћен	vrˈat͡ɕɛn
Стогодишњи	stˈoɡodˌɪʃɲɪ
Style	stˈilɛ
Butterfly	bˈuttɛrflɪ
изгледи	ˈizɡlɛdɪ
робу	rˈobʊ
награђиван	nˈaɡrɐd͡ʑˌɪvɐn
истражи	ˈistrɐʒɪ
инвестиција	ˈinvɛstˌɪt͡sɪjɐ
одговорности	ˈodɡovˌornostɪ
Ватанабе	vˈatɐnˌɐbɛ
људско	ʎˈutsko
Џес	d͡ʒˈɛs
махали	mˈahɐlɪ
мотиву	mˈotɪvʊ
учврстити	ˈut͡ʃvrstɪtɪ
мирнодопским	mˈirnodˌopskɪm
властито	vlˈastɪto
Слатини	slˈatɪnɪ
Караула	kˈɑrɐˌʊlɐ
кастиљански	kˈastɪʎˌɐnskɪ
откупили	ˈotkʊpˌɪlɪ
командује	kˈomɐndˌʊje
сарађују	sˈɑrɐd͡ʑˌʊjʊ
Дора	dˈorɐ
хармонични	xˈɑrmonˌɪt͡ʃnɪ
Пожаревац	pˈoʒɑrˌɛvɐt͡s
онемогућен	ˈonɛmˌoɡʊt͡ɕɛn
украсио	ˈukrɐsˌɪo
круном	krˈunom
благајника	blˈaɡɑjnˌɪkɐ
такмичио	tˈakmɪt͡ʃˌɪo
ослободилачког	ˈoslobˌodɪlˌɐt͡ʃkoɡ
Јања	jˈaɲɐ
приближавао	prˈiblɪʒˌɐvɐo
публициста	pˈublɪt͡sˌɪstɐ
мапу	mˈapʊ
критичке	krˈitɪt͡ʃkɛ
Антонија	ˈantonˌɪjɐ
велодрому	vˈɛlodrˌomʊ
покривачи	pˈokrɪvˌɐt͡ʃɪ
Роне	rˈonɛ
олимпијски	ˈolɪmpˌɪjskɪ
репресалијама	rˈɛprɛsˌɐlɪjˌɐmɐ
независну	nˈɛzɐvˌɪsnʊ
Сточарство	stˈot͡ʃɑrstvo
захтеву	zˈahtɛvʊ
витрине	vˈitrɪnɛ
семинарима	sˈɛmɪnˌɑrɪmɐ
нејасна	nˈejɐsnɐ
сивој	sˈivoj
дућани	dˈut͡ɕɐnɪ
интернацију	ˈintɛrnˌɐt͡sɪjʊ
уљане	ˈuʎɐnɛ
семинаре	sˈɛmɪnˌɑrɛ
струјањем	strˈujɐɲem
промените	prˈomɛnˌɪtɛ
позоришне	pˈozorˌɪʃnɛ
откључа	ˈotkʎʊt͡ʃɐ
нацртати	nˈat͡srtɐtɪ
Одлучено	ˈodlʊt͡ʃˌɛno
пливач	plˈivɐt͡ʃ
ромску	rˈomskʊ
Богатић	bˈoɡɐtɪt͡ɕ
измисли	ˈizmɪslɪ
сумњичави	sˈumɲɪt͡ʃˌɐvɪ
Дружина	drˈuʒɪnɐ
студентских	stˈudɛntskɪh
напомиње	nˈapomˌɪɲe
домаћицу	dˈomɐt͡ɕˌɪt͡sʊ
Самсунг	sˈamsʊŋɡ
прорекао	prˈorɛkˌɐo
израђивао	ˈizrɐd͡ʑˌɪvɐo
надимком	nˈadɪmkom
велико	vˈɛlɪko
Улици	ˈulɪt͡sɪ
Утар	ˈutɑr
парализа	pˈɑrɐlˌɪzɐ
протонске	prˈotonskɛ
атрактивног	ˈatrɐktˌɪvnoɡ
одмаралишту	ˈodmɑrˌɐlɪʃtʊ
динамит	dˈinɐmɪt
предратној	prˈɛdrɐtnoj
Дуарте	dˈuɑrtɛ
Санто	sˈanto
Семјон	sˈɛmjon
увели	ˈuvɛlɪ
ИБФ	ˈipf
умешност	ˈumɛʃnost
кумом	kˈumom
плеса	plˈɛsɐ
патолошким	pˈatolˌoʃkɪm
номиновани	nˈomɪnˌovɐnɪ
Малча	mˈalt͡ʃɐ
прескочи	prˈɛskot͡ʃɪ
показао	pˈokɐzˌɐo
Криза	krˈizɐ
дотадашњем	dˈotɐdˌɐʃɲem
скратити	skrˈatɪtɪ
процјенама	prˈot͡sjenˌɐmɐ
пропусни	prˈopʊsnɪ
Градашчевић	ɡrˈadɐʃt͡ʃˌɛvɪt͡ɕ
руне	rˈunɛ
антисемитизма	ˈantɪsˌɛmɪtˌɪzmɐ
Доктора	dˈoktorɐ
Сребренице	srˈɛbrɛnˌɪt͡sɛ
ed	ˈɛd
програмерима	prˈoɡrɐmˌɛrɪmɐ
задужбине	zˈadʊʒbˌɪnɛ
вечност	vˈɛt͡ʃnost
изложба	ˈizloʒbɐ
практиковати	prˈaktɪkˌovɐtɪ
норвешки	nˈorvɛʃkɪ
плача	plˈat͡ʃɐ
споменика	spˈomɛnˌɪkɐ
подизао	pˈodɪzˌɐo
заљубљеника	zˈaʎʊbʎˌenɪkɐ
мучити	mˈut͡ʃɪtɪ
Машине	mˈaʃɪnɛ
радиоактивног	rˈadɪˌoɐktˌɪvnoɡ
књижевног	kɲˈiʒɛvnoɡ
етернета	ˈɛtɛrnˌɛtɐ
Карловац	kˈɑrlovɐt͡s
заштити	zˈaʃtɪtɪ
имају	ˈimɑjʊ
спадала	spˈadɐlɐ
Михаиловићеве	mˈihɐˌɪlovˌɪt͡ɕɛvɛ
расположива	rˈaspolˌoʒɪvɐ
акцијама	ˈakt͡sɪjˌɐmɐ
дугогодишњој	dˈuɡoɡˌodɪʃɲoj
једанпут	jˈedɐnpʊt
Конвента	kˈonvɛntɐ
уживале	ˈuʒɪvˌɐlɛ
Народа	nˈɑrodɐ
украјинској	ˈukrɑjˌɪnskoj
погодити	pˈoɡodˌɪtɪ
празнина	prˈaznɪnɐ
Отвореном	ˈotvorˌɛnom
комунално	kˈomʊnˌɐlno
седиштем	sˈɛdɪʃtɛm
окретали	ˈokrɛtˌɐlɪ
развиле	rˈazvɪlɛ
диспозицији	dˈispozˌɪt͡sɪjɪ
пријетња	prˈijetɲɐ
редакцију	rˈɛdɐkt͡sˌɪjʊ
конзервисања	kˈonzɛrvˌɪsɐɲɐ
Чехословачку	t͡ʃˈɛhoslˌovɐt͡ʃkʊ
компензације	kˈompɛnzˌɐt͡sɪje
испаљен	ˈispɐʎen
нечему	nˈɛt͡ʃɛmʊ
укључена	ˈukʎʊt͡ʃˌɛnɐ
расположиви	rˈaspolˌoʒɪvɪ
оближњим	ˈoblɪʒɲɪm
коментатор	kˈomɛntˌɐtor
Антића	ˈantɪt͡ɕɐ
аристократијом	ˈɑrɪstˌokrɐtˌɪjom
Топола	tˈopolɐ
евакуацију	ˈɛvɐkˌʊɐt͡sˌɪjʊ
замишљао	zˈamɪʃʎˌɐo
афери	ˈafɛrɪ
покретних	pˈokrɛtnɪh
новајлије	nˈovɑjlˌɪje
уништи	ˈunɪʃtɪ
Јак	jˈak
Рота	rˈotɐ
Ухапшени	ˈuhɐpʃˌɛnɪ
таксијем	tˈaksɪjem
мазива	mˈazɪvɐ
Бачку	bˈat͡ʃkʊ
утицајну	ˈutɪt͡sˌɑjnʊ
серијским	sˈɛrɪjskɪm
најснажније	nˈɑjsnɐʒnˌɪje
кинеске	kˈinɛskɛ
харала	xˈɑrɐlɐ
учествовање	ˈut͡ʃɛstvˌovɐɲe
Плодна	plˈodnɐ
цевоводима	t͡sˈɛvovˌodɪmɐ
републици	rˈɛpʊblˌɪt͡sɪ
режиму	rˈɛʒɪmʊ
Лазаревића	lˈazɑrˌɛvɪt͡ɕɐ
коња	kˈoɲɐ
Јесенице	jˈesɛnˌɪt͡sɛ
Европске	ˈɛvropskɛ
цртају	t͡srtˈɑjʊ
Лутер	lˈutɛr
оплакује	ˈoplɐkˌʊje
патената	pˈatɛnˌɐtɐ
алге	ˈalɡɛ
издвајају	ˈizdvɑjˌɑjʊ
Журнал	ʒˈurnɐl
својине	svˈojɪnɛ
улазни	ˈulɐznɪ
удесно	ˈudɛsno
приметивши	prˈimɛtˌɪfʃɪ
течну	tˈɛt͡ʃnʊ
оперативној	ˈopɛrˌɐtɪvnoj
привредној	prˈivrɛdnoj
скромни	skrˈomnɪ
стабилног	stˈabɪlnoɡ
бригаде	brˈiɡɐdɛ
Хадријан	xˈadrɪjɐn
путописе	pˈutopˌɪsɛ
верну	vˈɛrnʊ
искључене	ˈiskʎʊt͡ʃˌɛnɛ
Релативно	rˈɛlɐtˌɪvno
поставила	pˈostɐvˌɪlɐ
оспособљен	ˈosposˌobʎen
претпоставка	prˈɛtpostˌɐfkɐ
разлагања	rˈazlɐɡˌɐɲɐ
побољшава	pˈoboʎʃˌɐvɐ
дисциплинске	dˈist͡sɪplˌɪnskɛ
евидентирани	ˈɛvɪdˌɛntɪrˌɐnɪ
канџама	kˈand͡ʒɐmɐ
пропорција	prˈoport͡sˌɪjɐ
осталима	ˈostɐlˌɪmɐ
изграђују	ˈizɡrɐd͡ʑˌʊjʊ
уназад	ˈunɐzɐd
пљускова	pʎˈuskovɐ
Гвинеји	ɡvˈinejɪ
Обласни	ˈoblɐsnɪ
трпезе	trpˈɛzɛ
вежбању	vˈɛʒbɐɲʊ
називана	nˈazɪvˌɐnɐ
Честа	t͡ʃˈɛstɐ
Culture	t͡sˈultʊrɛ
шпекулације	ʃpˈɛkʊlˌɐt͡sɪje
Лапчевић	lˈapt͡ʃɛvɪt͡ɕ
четвороугла	t͡ʃˈɛtvorˌo͡ʊɡlɐ
квота	kvˈotɐ
Молер	mˈolɛr
Трајање	trˈɑjɐɲe
манастирском	mˈanɐstˌɪrskom
зеленаша	zˈɛlɛnˌɐʃɐ
живце	ʒˈift͡sɛ
Ртња	rtɲˈa
Постављао	pˈostɐvljˌɐo
показивање	pˈokɐzˌɪvɐɲe
летењу	lˈɛtɛɲʊ
горки	ɡˈorkɪ
полазни	pˈolɐznɪ
добијеног	dˈobɪjˌenoɡ
Вероне	vˈɛronɛ
различитом	rˈazlɪt͡ʃˌɪtom
привукао	prˈivʊkˌɐo
струјама	strˈujɐmɐ
шипком	ʃˈipkom
темељну	tˈɛmɛʎnʊ
Покрета	pˈokrɛtɐ
поздравља	pˈozdrɐvljɐ
скупљали	skˈupʎɐlɪ
функционалну	fˈuŋkt͡sɪˌonɐlnʊ
грнчарија	ɡrnt͡ʃˈɑrɪjɐ
Хауса	xˈaʊsɐ
склапања	sklˈapɐɲɐ
Швајцараца	ʃvˈɑjt͡sɑrˌɐt͡sɐ
судови	sˈudovɪ
материјализам	mˈatɛrˌɪjɐlˌɪzɐm
већа	vˈɛt͡ɕɐ
свратишта	svrˈatɪʃtɐ
прекршаји	prˈɛkrʃɑjɪ
Ингланд	ˈiŋɡlɐnd
Шулман	ʃˈulmɐn
отказане	ˈotkɐzˌɐnɛ
Речника	rˈɛt͡ʃnɪkɐ
нагласио	nˈaɡlɐsˌɪo
учинци	ˈut͡ʃɪnt͡sɪ
прекрије	prˈɛkrɪje
примаоцу	prˈimɐˌot͡sʊ
Културе	kˈultʊrɛ
тела	tˈɛlɐ
магнезијум	mˈaɡnɛzˌɪjʊm
персоналну	pˈɛrsonˌɐlnʊ
Шахин	ʃˈahɪn
такси	tˈaksɪ
услуга	ˈuslʊɡɐ
строгог	strˈoɡoɡ
љубавницом	ʎˈubɐvnˌɪt͡som
остати	ˈostɐtɪ
Радничком	rˈadnɪt͡ʃkom
Равашол	rˈavɐʃol
шлемова	ʃlˈɛmovɐ
нервним	nˈɛrvnɪm
Евагрије	ˈɛvɐɡrˌɪje
вијећа	vˈijet͡ɕɐ
конверзије	kˈonvɛrzˌɪje
Ланки	lˈaŋkɪ
врховно	vrhˈovno
именовати	ˈimɛnˌovɐtɪ
полако	pˈolɐko
ди	dˈi
архив	ˈɑrhɪv
самосталан	sˈamostˌɐlɐn
наилази	nˈaɪlˌɐzɪ
бина	bˈinɐ
нејасне	nˈejɐsnɛ
показавши	pˈokɐzˌɐfʃɪ
плодношћу	plˈodnoʃt͡ɕʊ
руди	rˈudɪ
замерили	zˈamɛrˌɪlɪ
новајлију	nˈovɑjlˌɪjʊ
наређења	nˈɑrɛd͡ʑˌɛɲɐ
Процењено	prˈot͡sɛɲˌeno
лаици	lˈaɪt͡sɪ
енергично	ˈɛnɛrɡˌɪt͡ʃno
Демостена	dˈɛmostˌɛnɐ
дјеловала	djˈelovˌɐlɐ
стављале	stˈavljɐlɛ
писало	pˈisɐlo
коса	kˈosɐ
траума	trˈaʊmɐ
текстилних	tˈɛkstɪlnɪh
Исламски	ˈislɐmskɪ
формату	fˈormɐtʊ
продукција	prˈodʊkt͡sˌɪjɐ
израчунати	ˈizrɐt͡ʃˌʊnɐtɪ
десници	dˈɛsnɪt͡sɪ
чинилац	t͡ʃˈinɪlɐt͡s
Седишта	sˈɛdɪʃtɐ
Програм	prˈoɡrɐm
занимљивим	zˈanɪmʎˌɪvɪm
Сиде	sˈidɛ
класног	klˈasnoɡ
обилази	ˈobɪlˌɐzɪ
Феранти	fˈɛrɐntɪ
афрички	ˈafrɪt͡ʃkɪ
Чаки	t͡ʃˈakɪ
захваћене	zˈahvɐt͡ɕˌɛnɛ
Писана	pˈisɐnɐ
Истраживања	ˈistrɐʒˌɪvɐɲɐ
изгубио	ˈizɡʊbˌɪo
постале	pˈostɐlɛ
немогуће	nˈɛmoɡˌʊt͡ɕɛ
обавестила	ˈobɐvˌɛstɪlɐ
паметна	pˈamɛtnɐ
Персијанцима	pˈɛrsɪjˌɐnt͡sɪmɐ
рангирање	rˈaŋɡɪrˌɐɲe
корупцијом	kˈorʊpt͡sˌɪjom
Songs	sˈoŋks
купљен	kˈupʎen
изазован	ˈizɐzˌovɐn
олтар	ˈoltɑr
СКЈ	sˈəkˌəjˌə
војнику	vˈojnɪkʊ
богатстава	bˈoɡɐtstˌɐvɐ
начињена	nˈat͡ʃɪɲˌenɐ
квалитети	kvˈalɪtˌɛtɪ
суседног	sˈusɛdnoɡ
Царству	t͡sˈɑrstvʊ
подижући	pˈodɪʒˌʊt͡ɕɪ
Општинске	ˈopʃtɪnskɛ
Шаље	ʃˈaʎe
канцерогених	kˈant͡sɛrˌoɡɛnɪh
напустиле	nˈapʊstˌɪlɛ
ослањала	ˈoslɐɲˌɐlɐ
полумесец	pˈolʊmˌɛsɛt͡s
генетску	ɡˈɛnɛtskʊ
временско	vrˈɛmɛnsko
испитивана	ˈispɪtˌɪvɐnɐ
копирања	kˈopɪrˌɐɲɐ
животну	ʒˈivotnʊ
потпуна	pˈotpʊnɐ
индустријализација	ˈindʊstrˌɪjɐlˌɪzɐt͡sˌɪjɐ
среске	srˈɛskɛ
земљотреса	zˈɛmʎotrˌɛsɐ
Председник	prˈɛtsɛdnɪk
адута	ˈadʊtɐ
варирања	vˈɑrɪrˌɐɲɐ
франачких	frˈanɐt͡ʃkɪh
узорку	ˈuzorkʊ
приклонио	prˈiklonˌɪo
склопиле	sklˈopɪlɛ
поклапати	pˈoklɐpˌɐtɪ
Фрескоа	frˈɛskoɐ
квалификационе	kvˈalɪfˌɪkɐt͡sˌɪonɛ
Рамбла	rˈamblɐ
лучке	lˈut͡ʃkɛ
Чен	t͡ʃˈɛn
Кертис	kˈɛrtɪs
преузело	prˈɛʊzˌɛlo
пиринчем	pˈirɪnt͡ʃɛm
гондолама	ɡˈondolˌɐmɐ
онколошких	ˈoŋkolˌoʃkɪh
креме	krˈɛmɛ
послератних	pˈoslɛrˌɐtnɪh
превела	prˈɛvɛlɐ
назначено	nˈaznɐt͡ʃˌɛno
ратници	rˈatnɪt͡sɪ
Теодор	tˈɛodor
грађом	ɡrˈad͡ʑom
Грк	ɡrk
боци	bˈot͡sɪ
помене	pˈomɛnɛ
ризику	rˈizɪkʊ
Творац	tvˈorɐt͡s
шоу	ʃˈo͡ʊ
Млави	mlˈavɪ
овалним	ˈovɐlnɪm
морнаричка	mˈornɑrˌɪt͡ʃkɐ
спартанске	spˈɑrtɐnskɛ
супротстављене	sˈuprotstˌɐvljenɛ
допустио	dˈopʊstˌɪo
Боксер	bˈoksɛr
Мажино	mˈaʒɪno
Перуа	pˈɛrʊɐ
правој	prˈavoj
Меза	mˈɛzɐ
Царства	t͡sˈɑrstvɐ
оштру	ˈoʃtrʊ
клиничку	klˈinɪt͡ʃkʊ
структуру	strˈuktʊrʊ
психичким	psˈihɪt͡ʃkɪm
оправдава	ˈoprɐvdˌɐvɐ
полно	pˈolno
срчана	srt͡ʃˈanɐ
Практични	prˈaktɪt͡ʃnɪ
Тешић	tˈɛʃɪt͡ɕ
Фулк	fˈulk
Саграђен	sˈaɡrɐd͡ʑɛn
Београдски	bˈɛoɡrˌɐtskɪ
прерана	prˈɛrɐnɐ
Пеј	pˈej
идентитет	ˈidɛntˌɪtɛt
Никита	nˈikɪtɐ
морбидитет	mˈorbɪdˌɪtɛt
окретати	ˈokrɛtˌɐtɪ
хришћани	xrˈiʃt͡ɕɐnɪ
овога	ˈovoɡɐ
давно	dˈavno
кундаком	kˈundɐkom
нечије	nˈɛt͡ʃɪje
опсадне	ˈopsɐdnɛ
Тан	tˈan
претрпјела	prˈɛtrpjelɐ
погрешио	pˈoɡrɛʃˌɪo
колекцији	kˈolɛkt͡sˌɪjɪ
списима	spˈisɪmɐ
руковети	rˈukovˌɛtɪ
Природни	prˈirodnɪ
Бет	bˈɛt
обезбедиле	ˈobɛzbˌɛdɪlɛ
Карпати	kˈɑrpɐtɪ
Дат	dˈat
Антониа	ˈantonˌɪɐ
Срећом	srˈɛt͡ɕom
правоугаоне	prˈavo͡ʊɡˌɐonɛ
Чак	t͡ʃˈak
описи	ˈopɪsɪ
соларно	sˈolɑrno
сер	sˈɛr
британске	brˈitɐnskɛ
неопажено	nˈɛopˌɐʒɛno
случајним	slˈut͡ʃɑjnɪm
пророчиште	prˈorot͡ʃˌɪʃtɛ
усвојеника	ˈusvojˌenɪkɐ
Хундертвасер	xˈundɛrtvˌɐsɛr
цртица	t͡srtˈit͡sɐ
локомотива	lˈokomˌotɪvɐ
фењер	fˈɛɲer
Harvard	xˈɑrvɑrd
чворића	t͡ʃvˈorɪt͡ɕɐ
заједничкој	zˈɑjednˌɪt͡ʃkoj
специјалитетима	spˈɛt͡sɪjˌɐlɪtˌɛtɪmɐ
уопштено	ˈuopʃtˌɛno
префиксом	prˈɛfɪksom
Везе	vˈɛzɛ
Рите	rˈitɛ
португалској	pˈortʊɡˌɐlskoj
Мајклс	mˈɑjkl̩s
настављало	nˈastɐvljˌɐlo
Северин	sˈɛvɛrɪn
давана	dˈavɐnɐ
покрсте	pˈokrstɛ
Опероса	ˈopɛrˌosɐ
вегетаријанац	vˈɛɡɛtˌɑrɪjˌɐnɐt͡s
издржљивости	ˈizdrʒʎɪvˌostɪ
младим	mlˈadɪm
непокретност	nˈɛpokrˌɛtnost
Антиохију	ˈantɪˌohɪjʊ
муж	mˈuʒ
поднебље	pˈodnɛbʎe
инспирисала	ˈinspɪrˌɪsɐlɐ
Марч	mˈɑrt͡ʃ
збацивања	zbˈat͡sɪvˌɐɲɐ
сензацију	sˈɛnzɐt͡sˌɪjʊ
седиментних	sˈɛdɪmˌɛntnɪh
LithTech	lˈithtˈɛt͡sh
најистакнутијих	nˈɑjɪstˌɐknʊtˌɪjɪh
разноврсну	rˈaznovrsnʊ
непознату	nˈɛpoznˌɐtʊ
прокопан	prˈokopɐn
Калемегдану	kˈalɛmˌɛɡdɐnʊ
величанствених	vˈɛlɪt͡ʃˌɐnstvɛnɪh
Унапред	ˈunɐprɛd
координирао	kˈoordˌɪnɪrˌɐo
трговцима	trɡˈoft͡sɪmɐ
сунчаних	sˈunt͡ʃɐnɪh
Србадија	srbˈadɪjɐ
заплениле	zˈaplɛnˌɪlɛ
Извор	ˈizvor
испасти	ˈispɐstɪ
грехова	ɡrˈɛhovɐ
Хобс	xˈops
Месић	mˈɛsɪt͡ɕ
аргументима	ˈɑrɡʊmˌɛntɪmɐ
младалачки	mlˈadɐlˌɐt͡ʃkɪ
пуча	pˈut͡ʃɐ
винова	vˈinovɐ
Покемон	pˈokɛmon
Жуте	ʒˈutɛ
оклопне	ˈoklopnɛ
висове	vˈisovɛ
дијаграма	dˈijɐɡrˌɐmɐ
бијелу	bˈijelʊ
ауторитетом	ˈaʊtˌorɪtˌɛtom
пореклу	pˈorɛklʊ
прекидао	prˈɛkɪdˌɐo
Нацистички	nˈat͡sɪstˌɪt͡ʃkɪ
Saint	sˈaɪnt
одузме	ˈodʊzmɛ
торпедне	tˈorpɛdnɛ
прошаран	prˈoʃɑrɐn
Генералштаба	ɡˈɛnɛrˌɐlʃtɐbɐ
мешавине	mˈɛʃɐvˌɪnɛ
поменутог	pˈomɛnˌʊtoɡ
одвајање	ˈodvɑjˌɐɲe
хипертензију	xˈipɛrtˌɛnzɪjʊ
умакне	ˈumɐknɛ
офу	ˈofʊ
случајног	slˈut͡ʃɑjnoɡ
знатним	znˈatnɪm
оригинали	ˈorɪɡˌɪnɐlɪ
рестауриран	rˈɛstɐˌʊrɪrɐn
силуете	sˈilʊˌɛtɛ
Паркови	pˈɑrkovɪ
послијератном	pˈoslɪjˌerɐtnom
Жарка	ʒˈɑrkɐ
Египатски	ˈɛɡɪpˌɐtskɪ
дародаваца	dˈɑrodˌɐvɐt͡sɐ
Кандахар	kˈandɐhɑr
потпомогнуте	pˈotpomˌoɡnʊtɛ
проститутки	prˈostɪtˌʊtkɪ
Желим	ʒˈɛlɪm
новооснованом	nˈovoˌosnovˌɐnom
мекани	mˈɛkɐnɪ
уградње	ˈuɡrɐdɲe
комбиновање	kˈombɪnˌovɐɲe
казивању	kˈazɪvˌɐɲʊ
циљао	t͡sˈiʎɐo
предвиђено	prˈɛdvɪd͡ʑˌɛno
Одбору	ˈodborʊ
скокове	skˈokovɛ
Такмичио	tˈakmɪt͡ʃˌɪo
гужва	ɡˈuʒvɐ
постављана	pˈostɐvljˌɐnɐ
Одавде	ˈodɐvdɛ
шакама	ʃˈakɐmɐ
сломом	slˈomom
Едмунд	ˈɛdmʊnd
РК	rˈəkˌə
Кнежево	knˈɛʒɛvo
критичарима	krˈitɪt͡ʃˌɑrɪmɐ
Србија	srbˈijɐ
беглербег	bˈɛɡlɛrbɛɡ
падови	pˈadovɪ
ПОЈ	pˈoj
лозинку	lˈozɪŋkʊ
учеснице	ˈut͡ʃɛsnˌɪt͡sɛ
Арслан	ˈɑrslɐn
опустошена	ˈopʊstˌoʃɛnɐ
лонцу	lˈont͡sʊ
Токугава	tˈokʊɡˌɐvɐ
кадетском	kˈadɛtskom
поспешују	pˈospɛʃˌʊjʊ
дјеци	djˈet͡sɪ
Лиму	lˈimʊ
држе	drʒˈɛ
алкохола	ˈalkohˌolɐ
угледних	ˈuɡlɛdnɪh
Шефа	ʃˈɛfɐ
Изјаслав	ˈizjɐslɐv
ађутанта	ˈad͡ʑʊtˌɐntɐ
обрачунао	ˈobrɐt͡ʃˌʊnɐo
старогрчком	stˈɑroɡrt͡ʃkom
Такво	tˈakvo
третира	trˈɛtɪrɐ
послодавци	pˈoslodˌɐft͡sɪ
заузимали	zˈaʊzˌɪmɐlɪ
Дршка	drʃkˈa
Македоније	mˈakɛdˌonɪje
филозофског	fˈilozˌofskoɡ
парабола	pˈɑrɐbˌolɐ
мир	mˈir
узроковано	ˈuzrokˌovɐno
деломично	dˈɛlomˌɪt͡ʃno
округла	ˈokrʊɡlɐ
дуван	dˈuvɐn
жртвован	ʒrtvˈovɐn
времена	vrˈɛmɛnɐ
Титовог	tˈitovoɡ
миљеник	mˈiʎenɪk
крајолику	krˈɑjolˌɪkʊ
поре	pˈorɛ
репе	rˈɛpɛ
Серси	sˈɛrsɪ
реактанса	rˈɛɐktˌɐnsɐ
концертној	kˈont͡sɛrtnoj
Минга	mˈiŋɡɐ
тонским	tˈonskɪm
конектора	kˈonɛktˌorɐ
устројства	ˈustrojstvɐ
чиниоцима	t͡ʃˈinɪˌot͡sɪmɐ
прикупљени	prˈikʊpʎˌenɪ
Тјен	tjˈen
филтрирањем	fˈiltrɪrˌɐɲem
међувремену	mˈɛd͡ʑʊvrˌɛmɛnʊ
Класа	klˈasɐ
администратори	ˈadmɪnˌɪstrɐtˌorɪ
Ахила	ˈahɪlɐ
надземни	nˈad͡ʑɛmnɪ
пресвучене	prˈɛsvʊt͡ʃˌɛnɛ
лименом	lˈimɛnom
чинити	t͡ʃˈinɪtɪ
Пек	pˈɛk
примарни	prˈimɑrnɪ
Hollywood	xˈollɪvˌood
Гренадина	ɡrˈɛnɐdˌɪnɐ
техничар	tˈɛhnɪt͡ʃɑr
Регуламент	rˈɛɡʊlˌɐmɛnt
ироније	ˈironˌɪje
аритметици	ˈɑrɪtmˌɛtɪt͡sɪ
Направљене	nˈaprɐvljˌenɛ
најактивнијих	nˈɑjɐktˌɪvnɪjɪh
резервом	rˈɛzɛrvom
Wars	vˈɑrs
препирки	prˈɛpɪrkɪ
пенетрација	pˈɛnɛtrˌɐt͡sɪjɐ
хоризонталног	xˈorɪzˌontɐlnoɡ
слатком	slˈatkom
калифат	kˈalɪfɐt
дисање	dˈisɐɲe
