گاڏڙ	ɡaːɖˈʌr.
ناني	nˈaːni
گهراڻن	ɡˌəhəraːɳˈʌn
ڀاڻس	bʰaːɳˈʌs
ميجر	meːɟˈʌr
اڏاوت	ˌaɖaːˈoːt̪
پوپٽي	poːpˈʌʈi
ڀيل	bʰˈeːl
لب	lˈʌb
نظريو	naʐˈarjoː
تناظر	t̪ˌənaːʐˈʌr
ھئا	hˈʌaː
بلندي	bəlˈʌndi
منشور	mˌənʃˈuːr
غيرآباد	ɣˌeːraːbˈaːd
ورتو	ʋərˈʌt̪oː
ڪارخانا	kˌaːrxˈaːnaː
ضلعي	zəlˈaːi
پڙھڻ	pər.hˈʌɳ
طنزيه	tˌənzˈiːh
پاسيرو	paːsˈiːroː
ورتائين	ʋˌərt̪aːˈiːn
اوج	ˈuːɟ
ھليو	hˈʌljoː
بين	bˈeːn
ورھائجي	ʋˌərhaːˈɪɟi
پورچوگيز	pˌoːrcoːɡˈiːz
وزن	ʋəzˈʌn
شاھہ	ʃaːhˈʌh
پبلڪيشن	pˌəbəlkiʃˈʌn
مهرون	mˌəhərˈuːn
شالا	ʃˈaːlaː
ڪنگ	kˈʌnɡ
اڻ	ˈaɳ
ناسي	nˈaːsi
ڀريا	bʰˈʌrjaː
کوٽ	kʰˈoːʈ
اداڪارائن	ˌadaːkˌaːraːˈɪn
بالڪل	bˈaːləkˌəl
وڄايو	ʋəɟˈaːjoː
ٿينديون	tʰĩːdjˈoːn
بدلائڻ	bˌədlaːˈɪɳ
برساتن	bˌərsaːt̪ˈʌn
نٽشي	nəʈˈʌʃi
پسندن	pˌəsəndˈʌn
سببان	sˌəbbˈaːn
ڪيرائڻ	kˌeːraːˈɪɳ
مايو	mˈaːjoː
اونهي	uːnˈʌhi
اوائل	ˌuːaːˈɪl
وڌندڙ	ʋˌədʰəndˈʌr.
ڇاڻ	cʰˈaːɳ
ايٽم	eːʈˈʌm
سچل	səcˈʌl
ڪنٽرول	kˌənəʈrˈoːl
گھيري	ɡʰˈeːri
ضلع	zˈʌlaː
توهان	t̪oːhˈaːn
ملھ	məlˈʌh
مقالات	mˌəqaːlˈaːt
ڦاهي	pʰˈaːhi
سهڪار	sˌəhəkˈaːr
تعاون	t̪aːˈoːn
ٿيٽر	tʰeːʈˈʌr
اسد	asˈʌd
انتظامي	ˌɪntɪʐˈaːmi
ديس	dˈeːs
دلڪش	dˌələkˈʌʃ
ملايو	məlˈaːjoː
رھندا	rəhˈʌndaː
جارجيا	ɟaːrˈʌɟjaː
کري	kʰˈʌri
مشڪل	mˌəʃəkˈʌl
ڪعب	kˈaːb
پڇاڙي	pəcʰˈaːr.i
پانڊون	paːnɖˈoːn
اڳواڻي	aɡʋˈaːɳi
ڪر	kˈʌr
آيون	aːjˈoːn
اوزار	uːzˈaːr
ناڪام	naːkˈaːm
توحيد	t̪oːhˈiːd
ڪچهريون	kˌəcəhərjˈoːn
ماھوار	maːhʋˈaːr
زخمن	zˌəxəmˈʌn
ڪرائون	kˌəraːˈoːn
نوراني	noːrˈaːni
جوڙيل	ɟˈoːr.jal
دور	dˈoːr
ظفر	ʐəfˈʌr
حڪيمن	hˌəkimˈʌn
ٻهراڙين	bˌəhəraːr.ˈiːn
آشرم	ˌaːʃərˈʌm
رستو	rˈʌst̪oː
پهچ	pəhˈʌc
مخصوص	mˌəxʂˈuːʂ
اقتصادي	ˌɪqtɪʂˈaːdi
ڳالھائيندا	ɡˌaːlhaːˈiːndaː
وائي	ʋˈaːi
يونان	joːnˈaːn
مد	mˈʌd
ثابتي	saːbˈʌt̪i
کوجنا	kʰoːɟˈʌnaː
صفر	ʂəfˈʌr
ٺهرائڻ	ʈʰˌəhəraːˈɪɳ
اڃان	aɲˈaːn
عبدالغفور	ˌabdˌaːləɣfˈoːr
ڪلھوڙا	kˌəlhˈuːr.aː
گلابي	ɡˌəlaːbˈiː
ڏهون	ɖəhˈoːn
وسلم	ʋˌəsəlˈʌm
ليمي	lˈeːmi
چڪاس	cəkˈaːs
معقول	maːqˈoːl
ڊگھا	ɖˈʌɡʰaː
خاموش	xaːmˈoːʃ
والٽئر	ʋˌaːləʈˈʌr
نظرن	naʐˈarn
موبائيل	moːbˈaːjal
کاڌو	kʰˈaːdʰoː
نرالو	nərˈaːloː
راڻو	rˈaːɳoː
جوڙجڪ	ɟˌoːr.əɟˈʌk
اھميت	ˌahmˈiːt̪
سالڪ	saːlˈʌk
فوٽان	foːʈˈaːn
چانھن	cˈaːnhn
ٺاهيو	ʈʰˈaːhjoː
جوڊيشل	ɟˌoːɖiʃˈʌl
ڏهن	ɖəhˈʌn
ڪتو	kˈʌt̪oː
صفائي	ʂəfˈaːi
آئينو	aːˈiːnoː
صلاح	ʂˈʌlaːh
مدرسن	mˌədərəsˈʌn
دهلي	dəhˈʌli
بلاڪ	bəlˈaːk
پڪين	pəkˈiːn
شعور	ʃaːˈoːr
ٽڪراء	ʈəkˈʌraː
سوڀي	sˈoːbʰi
ڪيلو	kˈeːloː
الطاف	ˌaltˈaːf
ڪوچ	kˈoːc
لغاري	ləɣˈaːri
چھري	cəhˈʌri
وچڙ	ʋəcˈʌr.
هانگ	hˈaːnɡ
گذارڻ	ɡˌəzaːrˈʌɳ
ساهي	sˈaːhi
عيد	aˈiːd
دريائن	dˌərjaːˈɪn
بانسري	bˈaːnsərˌiː
جميل	ɟˈʌmjal
ڪالوني	kaːlˈoːni
اسود	asˈoːd
سوراخن	sˌoːraːxˈʌn
چال	cˈaːl
مهارت	mˌəhaːrˈʌt̪
موتمار	mˌoːt̪mˈaːr
هٽائي	həʈˈaːi
ٽنگن	ʈənɡˈʌn
چندن	cəndˈʌn
پيداوار	pˌeːdaːʋˈaːr
اسٽائيل	ˌasʈˈaːjal
لهي	lˈʌhi
لوهي	lˈoːhi
خداآباد	xˌədaːaːbˈaːd
مودي	mˈoːdi
سڏجن	sˌəɖəɟˈʌn
بيهاريو	bˈeːhaːrjˌoː
موجد	moːɟˈʌd
ھوا	hʋˈaː
سارا	sˈaːraː
سمجهاڻي	sˌəməɟhˈaːɳi
لنڊن	lənɖˈʌn
وڏيون	ʋəɖjˈoːn
پانيل	pˈaːnjal
راتيون	raːt̪jˈoːn
مشترڪه	mˌəʃt̪ərəkˈʌh
اوڀر	uːbʰˈʌr
الفابيٽ	ˌalfaːbˈiːʈ
صفراوي	ʂˌəfrˈaːʋi
چپن	cəpˈʌn
تحريڪن	t̪ˌəhrikˈʌn
هجن	hˈʊɟan
رفتي	rˈafətˌiː
جيوت	ɟjˈoːt̪
پيون	pjˈoːn
بلال	bəlˈaːl
دراني	dərˈaːni
پناهگيرن	pˌənaːhˌəɡirˈʌn
گھر	ɡʰˈʌr
رابطو	raːbˈʌtoː
عمرڪوٽ	ˈʊmrkoːʈ
دستن	dəst̪ˈʌn
انڊلٺ	ˌɪnɖəlˈʌʈʰ
ڇڏيائون	cʰˌəɖjaːˈoːn
وڍ	ʋˈʌɖʰ
اوچي	ˈuːci
ڏيکاريندا	ɖˌeːkʰaːrˈiːndaː
مجسمو	mˌəɟəsˈʌmoː
مشهور	mˌəʃhˈuːr
ڳوٺاڻي	ɡoːʈʰˈaːɳi
ساڳئي	saːɡˈʌi
کڻڻ	kʰəɳˈʌɳ
مشڪلاتن	mˌəʃəklaːt̪ˈʌn
شھادت	ʃˌəhaːdˈʌt̪
ٻوٽو	bˈoːʈoː
ريپبلڪ	rˌeːpəbəlˈʌk
ساٿ	sˈaːʈ
ٻاھرين	bˌaːhrˈiːn
عدالت	ˌadaːlˈʌt̪
چيلهه	cˌeːləhˈʌh
ائٽم	aʈˈʌm
مختيار	məxt̪jˈaːr
نئشنل	nˌəʃənˈʌl
نسبت	nˌəsəbˈʌt̪
ھندوستان	hˌənduːst̪ˈaːn
سهولت	sˌəhoːlˈʌt̪
انفرادي	ˌanəfrˈaːdi
اينگلو	eːnɡˈʌloː
غريب	ɣərˈiːb
گوادر	ɡʋaːdˈʌr
سائنسز	sˌaːɪnsˈʌz
آمدورفت	ˌaːmdˌoːrəfˈʌt̪
ورڪ	ʋərˈʌk
نيوڪليائي	njˌoːkljˈaːi
فيسٽيول	fˌeːsʈjˈoːl
عمارتن	ˌamaːrət̪ˈʌn
هلايو	həlˈaːjoː
وڪري	ʋəkˈʌri
افسانا	ˌafsˈaːnaː
رڪاوٽ	rˌəkaːˈoːʈ
موروثي	moːrˈoːsi
دوائون	dʋaːˈoːn
سعادت	saːdˈʌt̪
والاري	ʋaːlˈaːri
ترڪي	t̪ərˈʌki
ميسوپوٽيميا	mˌeːsoːpoːʈˈiːmjaː
مورثي	moːrˈʌsi
قسطن	qˈɪstn
بشمول	bˌəʃmˈuːl
مهذب	mˌəhəzˈʌb
پنهنجا	pˈʌ̃hnɟaː
ٿوهر	tʰoːhˈʌr
پهڻ	pəhˈʌɳ
وقت	ʋˈaqt
نيڪال	neːkˈaːl
پوڄاري	poːɟˈaːri
رکيل	rˈʌkʰjal
لقب	ləqˈʌb
غازي	ɣˈaːzi
اکرن	ˌakʰərˈʌn
قبرص	qˌəbərˈʌʂ
تصورن	t̪ˌəʂoːrˈʌn
دانشور	dˌaːnʃˈoːr
پاس	pˈaːs
ذهني	zəhˈʌni
غلبي	ɣˌəlbˈiː
نظم	nəʐˈʌm
ڪراس	kərˈaːs
فرقو	fərˈʌqoː
مسواڙ	məsʋˈaːr.
ڏھين	ɖəhˈiːn
بت	bˈʌt̪
سڳوري	səɡˈoːri
گاني	ɡˈaːni
سدائين	sˌədaːˈiːn
سائمن	sˌaːɪmˈʌn
ڳنڍيو	ɡənˈʌɖʰjoː
شپ	ʃˈʌp
جهنڊ	ɟəhˈʌnɖ
ڳالهائيندا	ɡˌaːlhaːˈiːndaː
لفظ	lˈafʐa
جيئي	ɟˈeːi
ڪنس	kˈʌns
جھوڪ	ɟəhˈoːk
ڪهڙو	kəhˈʌr.oː
جڳهن	ɟˌəɡəhˈʌn
ڳائيندا	ɡaːˈiːndaː
مقبرن	mˌəqəbərˈʌn
تنت	t̪ənˈʌt̪
زم	zˈʌm
بندوبست	bˌənduːbˈʌst̪
آيتون	ˌaːit̪ˈoːn
ملڪه	mˌələkˈʌh
انڌو	ˈandʰoː
چيائون	cjaːˈoːn
سهاري	səhˈaːri
خاڪو	xˈaːkoː
ماحولياتي	mˌaːhoːljˈaːt̪i
الدين	ˌaldˈiːn
ڳائبي	ɡˌaːɪbˈiː
رومي	rˈoːmi
حلف	həlˈʌf
دٻدٻي	dˌəbədˈʌbi
بهرام	bˌəhərˈaːm
ڪليات	kˌəliˈaːt
ٻارهن	bˌaːrəhˈʌn
مزور	məzˈoːr
البته	ˌaləbət̪ˈʌh
علی	ˈali
هٿياربند	hˌətʰjaːrəbˈʌnd
رجسٽرڊ	rˌəɟəsˌəʈərˈʌɖ
تعميراتي	t̪ˌaːmirˈaːt̪i
جوڌپور	ɟˌoːdʰpˈoːr
ٻانهن	bˌaːnəhˈʌn
تباھ	t̪əbˈaːh
ساقي	sˈaːqi
سوچڻ	soːcˈʌɳ
سمجھيو	sˈamɟʰjoː
خالق	xaːlˈʌq
ڪهڙا	kəhˈʌr.aː
مڪو	mˈʌkoː
سيوهڻ	sjoːhˈʌɳ
تختگاهه	t̪ˌəxt̪əɡaːhˈʌh
تند	t̪ˈʌnd
سھولت	sˌəhoːlˈʌt̪
اصلوڪا	ˌaʂlˈoːkaː
مشھوري	mˌəʃhˈuːri
غفار	ɣəfˈaːr
گهاري	ɡəhˈaːri
پابندي	paːbˈʌndi
مقابلو	mˌəqaːbˈʌloː
ٺارو	ʈʰˈaːroː
زبانون	zəbˈaːnoːn
اليڪشن	ˌalikəʃˈʌn
تاحيات	t̪ˌaːhiˈaːt
مالٽا	maːlˈʌʈaː
ٻچا	bˈʌcaː
مري	mˈʌri
پاتل	paːt̪ˈʌl
صاحبه	ʂˌaːhəbˈʌh
تاريخون	t̪ˌaːrixˈoːn
مڙني	mər.ˈʌni
ڪرين	kərˈiːn
دائري	daːˈɪri
اسپيس	ˌaspˈiːs
ڄاري	ɟˈaːri
ڦرندي	pʰərˈʌndi
وبا	ʋəbˈaː
حڪومتون	hˌəkoːmt̪ˈoːn
مرمت	mˌərəmˈʌt̪
جوانن	ɟˈaʋaːnˌən
رسالو	rəsˈaːloː
ماپن	maːpˈʌn
پلو	pˈʌloː
ٽوڙ	ʈˈoːr.
افروز	ˌafrˈoːz
حيثيت	heːsˈiːt̪
بابت	bˈaːbɪt̪
باد	bˈaːd
وڏو	ʋˈʌɖoː
ويهه	ʋeːhˈʌh
فھرست	fˌəhərˈʌst̪
ڪلھوڙي	kˌəlhˈuːr.i
چارج	caːrˈʌɟ
صغير	ʂəɣˈiːr
انتظام	ˌɪntɪʐˈaːm
ٻہ	bˈʌh
فيصلو	feːʂˈʌloː
جڳھ	ɟəɡˈʌh
فوجي	fˈoːɟi
مها	mˈʌhaː
رشوت	rəʃˈoːt̪
عاشق	aːʃˈʌq
تندن	t̪əndˈʌn
نانو	nˈaːnoː
ثاني	sˈaːni
رحمان	rˌəhmˈaːn
بار	bˈaːr
وفاق	ʋəfˈaːq
نثر	nəsˈʌr
وآله	ʋaːlˈʌh
قومي	qˈoːmi
پرچار	pərcˈaːr
پهرين	pˌəhərˈiːn
ايڊيوڪيشنل	ˌeːɖjoːkˌiːʃənˈʌl
چيئر	ceːˈɪr
نانگن	naːnɡˈʌn
آرڪڊ	ˌaːrəkˈʌɖ
پهلو	pəhˈʌloː
ٽيهه	ʈeːhˈʌh
محيط	məhˈiːt
بينظير	bˈeːnʐˌiːr
اپ	ˈap
مدي	mˈʌdi
ساون	saːˈoːn
مودودي	moːdˈoːdi
نڀايو	nəbʰˈaːjoː
چترال	cˌət̪rˈaːl
ٿڙ	ʈˈʌr.
ليٽويا	lˈeːʈʋjaː
ملازم	mˌəlaːzˈʌm
مصطفي	mˌəʂətˈʌfi
ڏاڙهون	ɖˌaːr.hˈoːn
شھري	ʃəhˈʌri
آخرين	ˌaːxrˈiːn
آسمان	ˌaːsmˈaːn
سائيٽ	saːˈiːʈ
ملڪيت	mˌəlkˈiːt̪
پلان	pəlˈaːn
ڇڪ	cʰˈʌk
بابو	bˈaːbˈoː
اداڪار	ˌadaːkˈaːr
نشي	nˈʌʃi
جهڙو	ɟəhˈʌr.oː
وڇوڙي	ʋəcʰˈoːr.i
يڪدم	jˌəkədˈʌm
لارڊ	laːrˈʌɖ
الخط	ˌaləxˈʌt
نام	nˈaːm
ٻاھر	baːhˈʌr
ڀٽائي	bʰəʈˈaːi
ذاتيون	zaːt̪jˈoːn
تعين	t̪aːˈiːn
دالين	daːlˈiːn
اسڪالرشپ	ˌaskˌaːlərəʃˈʌp
سنگل	sənɡˈʌl
سائوٿ	saːˈoːʈ
هندي	hˈɪndi
کڻندڙ	kʰˌəɳəndˈʌr.
بخشڻ	bˌəxəʃˈʌɳ
تجارت	t̪ˌəɟaːrˈʌt̪
ڊپلوما	ɖˌəplˈuːmaː
ڀيرو	bʰˈeːroː
گاهه	ɡaːhˈʌh
گوري	ɡˈoːri
منصوبي	mˌənʂuːbˈiː
جل	ɟˈʌl
مياڻ	mjˈaːɳ
قديم	qədˈiːm
ٽيبل	ʈeːbˈʌl
قباچي	qəbˈaːci
دهشت	dəhˈʌʃt̪
گهراڻي	ɡˌəhərˈaːɳi
ٻاهريان	bˌaːhərjˈaːn
جيڪڏهن	ɟˌeːkəɖəhˈʌn
انسائيڪلو	ˌansaːikˈʌloː
واضع	ʋˈaːzeː
زال	zˈaːl
بي	bˈeː
خشڪ	xəʃˈʌk
صبغت	ʂˌəbəɣˈʌt̪
چٽا	cˈʌʈaː
فساد	fəsˈaːd
افسانن	ˌafsaːnˈʌn
وڃان	ʋəɲˈaːn
ڪرمنل	kˌərəmənˈʌl
ماڻڪاڻي	mˌaːɳkˈaːɳi
آرامگاهه	ˌaːraːmɡaːhˈʌh
ڪوئپر	koːˈɪpər
ڪاپيون	kaːpjˈoːn
مهن	məhˈʌn
آرٽس	ˌaːrəʈˈʌs
ادائگي	ˌadaːˈɪɡi
خدمت	xˌədəmˈʌt̪
ٻاھران	bˌaːhrˈaːn
ڏوري	ɖˈoːri
لنگهه	lˌənɡəhˈʌh
آڇ	ˈaːcʰ
رھندڙ	rˌəhəndˈʌr.
وايو	ʋˈaːjoː
فرد	fˈʌrd
منصوري	mˌənʂˈuːri
عابد	aːbˈʌd
ريڪجاويڪ	rˌeːkɟaːʋˈiːk
يار	jˈaːr
مندر	məndˈʌr
فهم	fəhˈʌm
جمهوري	ɟˌəmhˈuːri
نيشنل	nˌeːʃənˈʌl
گيڙو	ɡˈeːr.oː
بدل	bədˈʌl
خزاني	xəzˈaːni
لڪل	ləkˈʌl
اٽڪ	aʈˈʌk
ريلوي	rˈeːlʋi
جهڙين	ɟˌəhər.ˈiːn
هڏين	həɖˈiːn
ڊويزنن	ɖʋˌeːzənˈʌn
اترين	ˌat̪rˈiːn
پلوٽو	pəlˈoːʈoː
ٽڪيٽ	ʈəkˈiːʈ
شھابا	ʃˌəhaːbˈaː
گهريو	ɡəhˈʌrjoː
سامي	sˈaːmi
برقعو	bˌərqˈaːoː
بيٺا	bˈeːʈʰaː
رکندڙ	rˌəkʰəndˈʌr.
اوهين	uːhˈiːn
پڳدار	pˌəɡdˈaːr
توسيع	t̪ˈoːsi
فياض	fjˈaːz
هاڻي	hˈaːɳi
تشبيهه	t̪ˌəʃbˈiːhəh
موھن	moːhˈʌn
مهمان	mˌəhəmˈaːn
پھريون	pˌəhrjˈoːn
امرت	ˌamərˈʌt̪
جٿي	ɟˈʌtʰi
ڪڙيو	kˈʌr.joː
پرچو	pˈʌrcoː
بينڪ	bˈeːnək
اولمپڪ	ˌuːləmpˈʌk
ساوا	sˈaːʋaː
نورمحمد	nˌoːrəmˌəhəmˈʌd
وڌنديون	ʋˌədʰndjˈoːn
سميت	səmˈiːt̪
غنيمت	ɣˌənimˈʌt̪
خوردبيني	xʊɾdbˈiːni
ڏنيون	ɖˈɪnjũː
ريجنل	rˌeːɟənˈʌl
ڊگها	ɖəɡˈʌhaː
ڏنائين	ɖˌənaːˈiːn
سيزن	seːzˈʌn
العلوم	ˌalaːlˈoːm
ڏاهي	ɖˈaːhi
هاٿي	hˈaːtʰi
هينري	heːnˈʌri
ڪنيت	kənˈiːt̪
موهي	mˈoːhi
ضرب	zərˈʌb
آرو	ˈaːroː
پراجيڪٽ	pˌəraːɟikˈʌʈ
پراڻا	pərˈaːɳaː
مڃائي	məɲˈaːi
مٿانهين	mˌətʰaːnhˈiːn
علامتي	ˌalaːmˈʌt̪i
نويسن	nʋeːsˈʌn
تماڪ	t̪əmˈaːk
ڪاراڻ	kaːrˈaːɳ
درخت	dərˈʌxt̪
جاسوسي	ɟaːsˈoːsi
گڏجي	ɡəɖˈʌɟi
کيرٿر	kʰˌeːrəʈˈʌr
ميدن	meːdˈʌn
ماستر	maːst̪ˈʌr
شينهن	ʃˌeːnəhˈʌn
نڙي	nˈʌr.i
گهڙيل	ɡəhˈʌr.jal
سپر	səpˈʌr
مقدمي	mʊqˈadmi
سعيدآباد	sˌaːidaːbˈaːd
گهڻائي	ɡˌəhəɳˈaːi
چيون	cjˈoːn
ميئر	meːˈɪr
وارھ	ʋaːrˈʌh
لکن	ləkʰˈʌn
مذڪر	mʊzˈakːar
جنرل	ɟˌənərˈʌl
هٽائڻ	hˌəʈaːˈɪɳ
باني	bˈaːni
هميشه	hˌəmiʃˈʌh
اهڙي	ahˈʌr.i
چيو	cˈajoː
کوج	kʰˈoːɟ
ماحوليات	mˌaːhoːliˈaːt
مٽر	məʈˈʌr
تاري	t̪ˈaːri
اسٽوپا	ˌasʈˈoːpaː
کرج	kʰərˈʌɟ
ساڙ	sˈaːr.
حصن	həʂˈʌn
ليز	lˈeːz
ھيٺيون	heːʈʰjˈoːn
ساراهه	sˌaːraːhˈʌh
يڪسان	jˌəksˈaːn
ڪٿان	kətʰˈaːn
اجتماع	ɪɟtˈɪmaː
ڪميشن	kˌəmiʃˈʌn
چشمن	cˌəʃəmˈʌn
اخلاقي	ˌaxlˈaːqi
جي	ɟˈeː
ٽوپ	ʈˈoːp
حرم	hərˈʌm
سينا	sˈeːnaː
عهديدار	ˌahədidˈaːr
ڪلامن	kˌəlaːmˈʌn
سڀئي	səbʰˈʌi
معدني	maːdˈʌni
درٻيلي	dˌərbˈiːli
ٽاڊ	ʈˈaːɖ
قيدين	qeːdˈiːn
ٽڪنڊي	ʈəkˈʌnɖi
ڇٽي	cʰˈʌʈi
تڪڙ	t̪əkˈʌr.
ڪيترين	kˌeːt̪rˈiːn
چوٿون	coːtʰˈoːn
پھچائي	pˌəhcˈaːi
سائنسدانن	sˌaːɪnsˌədaːnˈʌn
رکبو	rˌəkʰbˈoː
سرپرست	sˌərəpərˈʌst̪
ڏاھر	ɖaːhˈʌr
داني	dˈaːni
تاريخ	t̪aːrˈiːx
گاڏيون	ɡaːɖjˈoːn
نڪي	nˈʌki
صدي	ʂˈʌdi
يڪتاري	jˌəkt̪ˈaːri
ھڏڪي	həɖˈʌki
دوهن	doːhˈʌn
اڪبر	ˌakəbˈʌr
منتشر	mˌənət̪əʃˈʌr
وڳي	ʋˈʌɡi
مثنوي	məsˈʌnʋi
سائينداد	sˌaːindˈaːd
حالانڪ	hˌaːlaːnˈʌk
ڪيرت	keːrˈʌt̪
جمعيت	ɟˌəmaːˈiːt̪
وڌائي	ʋədʰˈaːi
لاڳاپيل	laːɡˈaːpjal
اخر	axˈʌr
آهن	ˈaːhɪn
وفاداري	ʋˌəfaːdˈaːri
پڙهائيندو	pˌər.haːˈiːndoː
چپلن	cˌəpəlˈʌn
وراثت	ʋˌəraːsˈʌt̪
گروھ	ɡərˈoːh
رٿا	rˈʌtʰaː
تنظيمن	t̪ˌənʐimˈʌn
توڻي	t̪ˈoːɳi
هندستان	hɪnɖˈʊstaːn
وجهندا	ʋˌəɟəhˈʌndaː
جهونا	ɟəhˈoːnaː
سفرناما	sˌəfərnˈaːmaː
ملهائيندا	mˌəlhaːˈiːndaː
درسي	dərˈʌsi
مدرسه	mˌədərəsˈʌh
حقيقتون	hˌəqiqt̪ˈoːn
بلا	bˈʌlaː
جنون	ɟənˈoːn
راغب	raːɣˈʌb
شڌ	ʃˈʌdʰ
فلسطيني	fˌələstˈiːni
لا	lˈaː
جوڙيندو	ɟoːr.ˈiːndoː
يوروپي	joːrˈoːpi
انسائيڪلوپيڊيا	ˌansaːˌiːkloːpˈiːɖjaː
جوڙايو	ɟoːr.ˈaːjoː
پنٿ	pənˈʌʈ
پيروڪار	pˌeːroːkˈaːr
گھڻن	ɡʰəɳˈʌn
سلفر	sˌələfˈʌr
سوامي	sʋˈaːmi
بڻائڻ	bˌəɳaːˈɪɳ
طب	tˈʌb
پيٽر	peːʈˈʌr
ڪوٺيو	kˈoːʈʰjoː
لائينز	lˌaːinˈʌz
اوترو	uːt̪ˈʌroː
شخصي	ʃˈaxʂi
منھن	mˈʌnhn
ايٽلانٽڪ	ˌeːʈlˌaːnəʈˈʌk
نوڪر	noːkˈʌr
ڀڄ	bʰˈʌɟ
خودڪشي	xˈʊdkəʃˌiː
دھلي	dəhˈʌli
پٽ	pˈʌʈ
ڳالھھ	ɡˌaːləhˈʌh
ويڪسين	ʋˌeːksˈiːn
حوالن	haʋˈaːln
مروان	mərʋˈaːn
جوڙيا	ɟˈoːr.jaː
راجسٿان	rˌaːɟəstʰˈaːn
مبلغ	mˌəbəlˈʌɣ
سپريم	sˌəprˈiːm
مدو	mˈʌdoː
نيم	nˈeːm
جوش	ɟˈoːʃ
رنگي	rˈʌnɡi
گاڏي	ɡˈaːɖi
بيهندا	bˈeːhəndˌaː
کٽڻ	kʰəʈˈʌɳ
درگاھ	dˌərɡˈaːh
ويو	ʋˈajoː
نگران	nˌəɡrˈaːn
رنگن	rənɡˈʌn
ڪوٺائي	koːʈʰˈaːi
اجلاس	ˌaɟlˈaːs
جوڙا	ɟˈoːr.aː
آ	ˈaː
لهر	ləhˈʌr
ڪرڻا	kərˈʌɳaː
آڪسفورڊ	ˌaːkəsfoːrˈʌɖ
ماڻڪ	maːɳˈʌk
آرمينيائي	ˌaːrminjˈaːi
مائٽن	maːʈˈʌn
وراڻي	ʋərˈaːɳi
تفسير	t̪ˌəfsˈiːr
اومان	uːmˈaːn
ھلندي	həlˈʌndi
جنم	ɟənˈʌm
هند	hˈɪnd
فارم	faːrˈʌm
سيزر	seːzˈʌr
ڪاوڙجي	kˌaːoːr.ˈʌɟi
معاملا	maːmˈʌlaː
فيبروري	fˌeːbrˈoːri
سماٽ	səmˈaːʈ
خام	xˈaːm
سوراخ	soːrˈaːx
پروٽان	pˌəroːʈˈaːn
زميني	zəmˈiːni
تان	t̪ˈaːn
سجدو	səɟˈʌdoː
امروٽ	ˌamrˈoːʈ
بڻ	bˈʌɳ
گهوڙو	ɡəhˈoːr.oː
لساني	ləsˈaːni
ٿري	ʈˈʌri
سپاهي	səpˈaːhi
فلسفي	fˌələsˈʌfi
اسٽيفن	ˌasʈifˈʌn
فنڊ	fˈʌnɖ
بجيٽ	bəɟˈiːʈ
اثرن	ˌasərˈʌn
تنظيمون	t̪ˌənʐimˈoːn
مرهم	mˌərəhˈʌm
مسیح	mˈʌsih
بنجي	bənˈʌɟi
آڏ	ˈaːɖ
ٻوڏ	bˈoːɖ
ايسوسيئيٽ	ˌeːsoːsiˈiːʈ
رپيا	rˈʌpjaː
ٻيهر	beːhˈʌr
باقاعده	bˈaːqˈaːjdh
الاقوامي	ˌalaːqʋˈaːmi
پائلٽ	pˌaːɪlˈʌʈ
سماع	sˈʌmaː
پاڙي	pˈaːr.i
آنا	ˈaːnaː
عدالتن	ˌadaːlət̪ˈʌn
ڇڄ	cʰˈʌɟ
خاتمي	xaːt̪ˈʌmi
اخبار	ˌaxbˈaːr
بيٺل	bˈeːʈʰəl
سافٽ	saːfˈʌʈ
ڌنڌ	dʰˈʌndʰ
اثر	asˈʌr
وادين	ʋaːdˈiːn
غور	ɣˈoːr
اٿڻ	aʈˈʌɳ
وارن	ʋaːrˈʌn
بچل	bəcˈʌl
ڀاتين	bʰaːt̪ˈiːn
ستارن	sɪtˈaːrn
حديث	hədˈiːs
اڏايو	aɖˈaːjoː
مستقبل	mˌəst̪əqəbˈʌl
مغربي	mˈaɣrˌɪbi
ڇپر	cʰəpˈʌr
ڍانچي	ɖʰˈaːnci
ڦليلي	pʰəlˈiːli
کؤنر	kʰˌəa͡ʊnˈʌr
تسلط	t̪ˌəsəlˈʌt
عادي	ˈaːdi
چنانچه	cˌənaːncˈʌh
آڻ	ˈaːɳ
شيون	ʃjˈoːn
لنڪن	lˌənəkˈʌn
پنجابي	pˌənɟaːbˈiː
منش	mənˈʌʃ
ٽيون	ʈjˈoːn
سجاول	sˌəɟaːˈoːl
پوٽن	poːʈˈʌn
تڪليف	t̪ˌəklˈiːf
ساٿين	saːtʰˈiːn
رقم	rəqˈʌm
اتساهه	ˌat̪saːhˈʌh
نيٽورڪ	nˌeːʈoːrˈʌk
موسيقي	moːsˈiːqi
پوندا	pˈoːndaː
عرض	arˈʌz
خوابن	xʋaːbˈʌn
بک	bˈʌkʰ
هن	hˈɪna
چونس	cˈoːns
لڳايون	lˌəɡaːjˈoːn
طريقو	tərˈiːqoː
زيب	zˈeːb
ھتي	hˈʌt̪i
چونڊيندا	coːnɖˈiːndaː
گروپ	ɡərˈoːp
بهاري	bəhˈaːri
ادو	ˈadoː
محب	məhˈʌb
مقرر	mˌəqərˈʌr
ونسي	ʋˈʌnsi
اڄڪلهه	ˌaɟəkˌələhˈʌh
پبلڪ	pˌəbəlˈʌk
حديثون	hˌədisˈoːn
ڦيرڦار	pʰˌeːrpʰˈaːr
