呼呼	xu˥˥xu˥˥
品行端正	pʰɪn˨˩˦ɕɪŋ˧˥twan˥˥ʈʂɤŋ˥˩,pʰɪn˨˩˦ɕɪŋ˥˩twan˥˥ʈʂɤŋ˥˩
隨時隨地	sweɪ˧˥ʂɚ˧˥sweɪ˧˥ti˥˩
㘋	ɕjɛn˧˥
惾	tsʊŋ˥˥
胰島素	i˧˥tɑʊ˨˩˦su˥˩
硿	kʰʊŋ˥˥
捉拿	ʈʂuɔ˥˥na˧˥
鈴鐺	lɪŋ˧˥tɑŋ˧
大反派	ta˥˩fan˨˩˦pʰaɪ˥˩
棝	ku˥˩
䡐	tʰuɔ˧˥
燻製臘肉	ɕyn˥˥ʈʂɚ˥˩la˥˩ʐoʊ˥˩
悾	kʰʊŋ˥˥
㥞	sweɪ˥˩,tɕʰjɛn˥˩,tsʰweɪ˥˩
供養	kʊŋ˥˥jɑŋ˨˩˦,kʊŋ˥˩jɑŋ˨˩˦
射擊	ʂɤ˥˩tɕi˧˥,ʂɤ˥˩tɕi˥˥
籀	ʈʂoʊ˥˩
夯	pən˥˩,xɑŋ˥˥
將令	tɕjɑŋ˥˩lɪŋ˥˩
觘	ʈʂʰɑʊ˥˩
本地口音	pən˨˩˦ti˥˩kʰoʊ˨˩˦ɪn˥˥
舐犢情深	ʂɚ˥˩tu˧˥tɕʰɪŋ˧˥ʂən˥˥
家喻戶曉	tɕja˥˥y˥˩xu˥˩ɕjɑʊ˨˩˦
固	ku˥˩
卯足了勁	mɑʊ˨˩˦tsu˧˥lɤ˧tɕɪn˥˩
扷	ɑʊ˥˩
割讓	kɤ˥˥ʐɑŋ˥˩
䐤	tsʰuɔ˧˥,ʈʂʰɚ˧˥,ʈʂan˥˩,tɕʰi˥˩
涓涓	tɕɥœn˥˥tɕɥœn˥˥
膜拜	mɔ˧˥paɪ˥˩
溜	ljoʊ˥˩,ljoʊ˥˥,ljoʊ˧˥
襑	ɕɪn˧˥
大哥	ta˥˩kɤ˥˥
淵	ɥœn˥˥
瞎子	ɕja˥˥tsɯ˧
䊂	sɤ˥˩,tsʰɤ˥˩
㔠	xɤ˧˥,tɕja˧˥
涙	leɪ˥˩
擂臺賽	leɪ˥˩tʰaɪ˧˥saɪ˥˩
另外	lɪŋ˥˩uaɪ˥˩
生悶氣	ʂɤŋ˥˥mən˥˩tɕʰi˥˩
雲麾勳章	yn˧˥xweɪ˥˥ɕyn˥˥ʈʂɑŋ˥˥
萬里長城	wan˥˩li˨˩˦ʈʂʰɑŋ˧˥ʈʂʰɤŋ˧˥
新聞工作者	ɕɪn˥˥uən˧˥kʊŋ˥˥tsuɔ˥˩ʈʂɤ˨˩˦
每個人	meɪ˨˩˦kɤ˧ʐən˧˥
蔎	ʂɤ˥˩
潛	tɕʰjɛn˧˥
儳	ʈʂʰan˥˩
付錢	fu˥˩tɕʰjɛn˧˥
衛兵	weɪ˥˩pɪŋ˥˥
部分	pu˥˩fən˥˩,pu˥˩fən˧
騷馬	sɑʊ˥˥ma˨˩˦
㾿	lɑŋ˨˩˦,lɑŋ˧˥
鷪	ɪŋ˥˥
忤逆	u˨˩˦ni˥˩
咨	tsɯ˥˥
咖啡豆	kʰa˥˥feɪ˥˥toʊ˥˩
枺	mɔ˥˩
得力幹部	tɤ˧˥li˥˩kan˥˩pu˥˩
媞	ti˥˩,tʰi˧˥
蠱惑	ku˨˩˦xuɔ˥˩
心跳	ɕɪn˥˥tʰjɑʊ˥˩
面目	mjɛn˥˩mu˥˩
攪弄	tɕjɑʊ˨˩˦nʊŋ˥˩
揁	ʈʂən˥˥
䴾	ʈʂən˨˩˦,jɛ˥˩,tsʰuɔ˧˥,tsɯ˨˩˦,tsʰuɔ˥˩
䥟	jɛ˥˩
動議	tʊŋ˥˩i˥˩
激靈	tɕi˥˥lɪŋ˧
㵔	ʈʂʰɤ˥˩,ʈʂʰɤ˨˩˦
那邊	na˥˩pjɛn˥˥,neɪ˥˩pjɛn˥˥
莫此為甚	mɔ˥˩tsʰɯ˨˩˦weɪ˧˥ʂən˥˩
視而不見	ʂɚ˥˩aɻ˧˥pu˧˥tɕjɛn˥˩
岘	ɕjɛn˥˩
鋒利	fɤŋ˥˥li˥˩
上個星期	ʂɑŋ˥˩kɤ˧ɕɪŋ˥˥tɕʰi˥˥,ʂɑŋ˥˩kɤ˧ɕɪŋ˥˥tɕʰi˧˥
杌子	u˥˩tsɯ˧
切身大事	tɕʰjɛ˥˩ʂən˥˥ta˥˩ʂɚ˥˩
刨刀	pɑʊ˥˩tɑʊ˥˥
莽	mɑŋ˨˩˦,mɑŋ˧˥
釅	jɛn˥˩
泣不成聲	tɕʰi˥˩pu˥˩ʈʂʰɤŋ˧˥ʂɤŋ˥˥
麲	ɕjɛn˥˩
踴	jʊŋ˨˩˦
噁心	ɤ˨˩˦ɕɪn˥˥
禽獸	tɕʰɪn˧˥ʂoʊ˥˩
騎驢覓驢	tɕʰi˧˥ly˧˥mi˥˩ly˧˥
霢	maɪ˥˩
解析	tɕjɛ˨˩˦ɕi˥˥
䢡	ɕjɛ˥˩
懷才不遇	xuaɪ˧˥tsʰaɪ˧˥pu˧˥y˥˩
保住烏紗帽	pɑʊ˨˩˦ʈʂu˥˩u˥˥ʂa˥˥mɑʊ˥˩
㬭	ʂan˨˩˦,tɕjɑʊ˥˩,jɑʊ˨˩˦
軞	mɑʊ˧˥
知識老化	ʈʂɚ˥˥ʂɚ˧lɑʊ˨˩˦xwa˥˩,ʈʂɚ˥˥ʂɚ˥˩lɑʊ˨˩˦xwa˥˩
輕佻	tɕʰɪŋ˥˥tʰjɑʊ˥˥
摜	kwan˥˩
星槎	ɕɪŋ˥˥ʈʂʰa˧˥
撟	tɕjɑʊ˨˩˦
皭	tɕjɑʊ˥˩
粗製濫造	tsʰu˥˥ʈʂɚ˥˩lan˥˩tsɑʊ˥˩
𧋍	ʈʂɤ˧˥
䀬	tɕʰɥœn˧˥
高爾夫球場	kɑʊ˥˥aɻ˨˩˦fu˥˥tɕʰjoʊ˧˥ʈʂʰɑŋ˨˩˦
包	pɑʊ˥˥
挺立	tʰɪŋ˨˩˦li˥˩
潛能	tɕʰjɛn˧˥nɤŋ˧˥
合而為一	xɤ˧˥aɻ˧˥weɪ˧˥i˥˥
莛	tʰɪŋ˨˩˦,tʰɪŋ˧˥
奔雷	pən˥˥leɪ˧˥
䣆	ɕɪŋ˧˥
液果	jɛ˥˩kuɔ˨˩˦
茜	ɕi˥˥,tɕʰjɛn˥˩,tɕʰjɛn˥˥
瓳	xu˧˥
霍亂	xuɔ˥˩lwan˥˩
颶風	tɕy˥˩fɤŋ˥˥
䯰	tɕjɛ˥˩
炌	kʰaɪ˥˩
舉國上下	tɕy˨˩˦kuɔ˧˥ʂɑŋ˥˩ɕja˥˩
光溜溜	kwɑŋ˥˥ljoʊ˥˥ljoʊ˥˥
謬誤	mjoʊ˥˩u˥˩
娸	tɕʰi˥˥
文藝作品	uən˧˥i˥˩tsuɔ˥˩pʰɪn˨˩˦
賭債	tu˨˩˦ʈʂaɪ˥˩
男中音	nan˧˥ʈʂʊŋ˥˥ɪn˥˥
邌	li˧˥
川流不息	ʈʂʰwan˥˥ljoʊ˧˥pu˥˩ɕi˧˥,ʈʂʰwan˥˥ljoʊ˧˥pu˥˩ɕi˥˥
梟首	ɕjɑʊ˥˥ʂoʊ˨˩˦
舊貌換新顏	tɕjoʊ˥˩mɑʊ˥˩xwan˥˩ɕɪn˥˥jɛn˧˥
化敵為友	xwa˥˩ti˧˥weɪ˧˥joʊ˨˩˦
膶	ʐuən˥˩
闉	ɪn˥˥
著筆	ʈʂuɔ˧˥pi˨˩˦
豹紋	pɑʊ˥˩uən˧˥
縞帶	kɑʊ˨˩˦taɪ˥˩
正取	ʈʂɤŋ˥˩tɕʰy˨˩˦
橡皮筋	ɕjɑŋ˥˩pʰi˧˥tɕɪn˥˥
㺐	ʈʂɑʊ˨˩˦
鰳	lɤ˥˩
騡	tɕʰɥœn˧˥
草根	tsʰɑʊ˨˩˦kən˥˥
涬	ɕɪŋ˥˩
圾	tɕi˥˥,tɕi˧˥
𩋘	ɕjɛ˧˥,wa˥˥
㢞	i˥˩
自鳴得意	tsɯ˥˩mɪŋ˧˥tɤ˧˥i˥˩
金融期權	tɕɪn˥˥ʐʊŋ˧˥tɕʰi˥˥tɕʰɥœn˧˥,tɕɪn˥˥ʐʊŋ˧˥tɕʰi˧˥tɕʰɥœn˧˥
瓤子	ʐɑŋ˧˥tsɯ˧
癰	jʊŋ˥˥
血肉之軀	ɕɥœ˥˩ʐoʊ˥˩ʈʂɚ˥˥tɕʰy˥˥
䡢	pjɛn˥˩
蹺課	tɕʰjɑʊ˥˥kʰɤ˥˩
儘	tɕɪn˨˩˦
磨礪	mɔ˧˥li˥˩
搩	tɕjɛ˧˥
變本加厲	pjɛn˥˩pən˨˩˦tɕja˥˥li˥˩
機關槍	tɕi˥˥kwan˥˥tɕʰjɑŋ˥˥
艵	pʰɪŋ˧˥
偑	fɤŋ˥˥
感慨	kan˨˩˦kʰaɪ˥˩,kan˨˩˦kʰaɪ˨˩˦
郪	tsʰɯ˥˥,tɕʰi˥˥
昭彰	ʈʂɑʊ˥˥ʈʂɑŋ˥˥
情節	tɕʰɪŋ˧˥tɕjɛ˧˥
盬	ku˨˩˦
蛤蚌	kɤ˧˥pɑŋ˥˩
婉	wan˨˩˦
糾紛	tɕjoʊ˥˥fən˥˥
箑	tɕjɛ˧˥,ʂa˥˩
幸好	ɕɪŋ˥˩xɑʊ˨˩˦
阹	tɕʰy˥˥
培植勢力	pʰeɪ˧˥ʈʂɚ˧˥ʂɚ˥˩li˥˩
罥	tɕɥœn˥˩
霣	yn˨˩˦
取保釋放	tɕʰy˨˩˦pɑʊ˨˩˦ʂɚ˥˩fɑŋ˥˩
公交	kʊŋ˥˥tɕjɑʊ˥˥
刈熟	i˥˩ʂu˧˥
僿	saɪ˥˩
玬	tan˨˩˦
䣤	tɕɥœ˧˥,tɕjɑʊ˥˩
疤	pa˥˥
䍫	tʰuɔ˧˥
限	uən˨˩˦,ɕjɛn˥˩
厬	kweɪ˨˩˦
毒	tu˧˥,taɪ˥˩
陠	pʰu˥˥
烞	pʰɔ˥˩
裹腳	kuɔ˨˩˦tɕjɑʊ˨˩˦
分文不取	fən˥˥uən˧˥pu˥˩tɕʰy˨˩˦
隃	jɑʊ˧˥,y˧˥
好奇心	xɑʊ˥˩tɕʰi˧˥ɕɪn˥˥
女王	ny˨˩˦wɑŋ˧˥
袀	tɕyn˥˥
拳術高強	tɕʰɥœn˧˥ʂu˥˩kɑʊ˥˥tɕʰjɑŋ˧˥
伈	ɕɪn˨˩˦
關節痛	kwan˥˥tɕjɛ˧˥tʰʊŋ˥˩
寀	tsʰaɪ˥˩
禍首	xuɔ˥˩ʂoʊ˨˩˦
畫虎不成反類犬	xwa˥˩xu˨˩˦pu˥˩ʈʂʰɤŋ˧˥fan˨˩˦leɪ˥˩tɕʰɥœn˨˩˦
寡	kwa˨˩˦
箆	pi˥˩
微小	weɪ˥˥ɕjɑʊ˨˩˦,weɪ˧˥ɕjɑʊ˨˩˦
弐	aɻ˥˩
先輩	ɕjɛn˥˥peɪ˥˩
魚缸	y˧˥kɑŋ˥˥
骺	xoʊ˧˥,koʊ˥˩
漲價	ʈʂɑŋ˨˩˦tɕja˥˩
霋	tɕʰi˥˥
聿	y˥˩
䢤	ʂu˥˩
戫	y˥˩
馨香	ɕɪn˥˥ɕjɑŋ˥˥
可謂	kʰɤ˨˩˦weɪ˥˩
岕	tɕjɛ˥˩
橘營	tɕy˧˥ɪŋ˧˥
㻶	pi˥˩,pi˨˩˦
彼岸	pi˨˩˦an˥˩
英	jɑŋ˥˥,ɪŋ˥˥
乖戾	kuaɪ˥˥li˥˩
愈戰愈勇	y˥˩ʈʂan˥˩y˥˩jʊŋ˨˩˦
䅳	ʈʂʰu˧˥
䋔	pi˥˩
焍	ti˥˩
囈	i˥˩
援引條文	ɥœn˧˥ɪn˨˩˦tʰjɑʊ˧˥uən˧˥
洗劫ㄧ空	ɕi˨˩˦tɕjɛ˧˥i˥˩kʰʊŋ˥˥
捉拿逃犯	ʈʂuɔ˥˥na˧˥tʰɑʊ˧˥fan˥˩
大黃	taɪ˥˩xwɑŋ˧˥
煡	ɕɪn˥˩
隆起	lʊŋ˧˥tɕʰi˨˩˦
祓	feɪ˥˩,fu˧˥
頑固	wan˧˥ku˥˩
遪	tsʰɤ˥˩
倒塌	tɑʊ˨˩˦tʰa˥˥
㖀	lɤ˥˩,luɔ˥˩
夝	tɕʰɪŋ˧˥
貿易逆差	mɑʊ˥˩i˥˩ni˥˩ʈʂʰa˥˥
諥	ʈʂʊŋ˥˩
殅	ʂɤŋ˥˥
悳	tuɔ˧˥
河埒	xɤ˧˥ljɛ˥˩,xɤ˧˥lɤ˥˩
梎	joʊ˥˩,ɑʊ˥˥
圀	kuɔ˧˥
䍮	ʈʂɑʊ˥˩
㬯	ljɛ˥˩
旗	tɕʰi˧˥
青天霹靂	tɕʰɪŋ˥˥tʰjɛn˥˥pʰi˥˥li˥˩
㢆	ʈʂʰan˧˥
秀麗	ɕjoʊ˥˩li˥˩
堅貞	tɕjɛn˥˥ʈʂən˥˥
砸壞	tsa˧˥xuaɪ˥˩
璉	ljɛn˨˩˦,ljɛn˧˥
䛌	pʰɑʊ˧˥,tʰɑʊ˧˥
䌓	fan˧˥
㮚	li˥˩
媱	jɑʊ˧˥
土著	tʰu˨˩˦ʈʂu˥˩
引領	ɪn˨˩˦lɪŋ˨˩˦
圍剿	weɪ˧˥tɕjɑʊ˨˩˦
鵦	lu˥˩
賃	ʐən˥˩,lɪn˥˩
水泥	ʂweɪ˨˩˦ni˧˥
柀	pi˨˩˦
敏銳	mɪn˨˩˦ʐweɪ˥˩
病從口入	pɪŋ˥˩tsʰʊŋ˧˥kʰoʊ˨˩˦ʐu˥˩
貖	ɤ˥˩
䅐	tɕʰjɛn˧˥,tɕjɛn˨˩˦
通都大邑	tʰʊŋ˥˥tu˥˥ta˥˩i˥˩
镺	ɑʊ˨˩˦,ɑʊ˥˩
蟨	tɕɥœ˧˥
線	ɕjɛn˥˩
空虛	kʰʊŋ˥˥ɕy˥˥
陣陣作痛	ʈʂən˥˩ʈʂən˥˩tsuɔ˥˩tʰʊŋ˥˩
敇	tsʰɤ˥˩
急性人	tɕi˧˥ɕɪŋ˥˩ʐən˧˥
桹	lɑŋ˧˥
鄰居	lɪn˧˥tɕy˥˥
蔿	weɪ˧˥
廛	ʈʂʰan˧˥
栊	lʊŋ˧˥
鮣	ɪn˥˩
禹	y˨˩˦
兩極化	ljɑŋ˨˩˦tɕi˧˥xwa˥˩
鏂	oʊ˥˥,kʰoʊ˥˥
遺忘	i˧˥wɑŋ˥˩
新陳代謝	ɕɪn˥˥ʈʂʰən˧˥taɪ˥˩ɕjɛ˥˩
削梨	ɕjɑʊ˥˥li˧˥
鼉	tʰuɔ˧˥
成宿	ʈʂʰɤŋ˧˥ɕjoʊ˨˩˦
䡛	ɪn˥˩
㻗	peɪ˥˩
趌	tɕjɛ˧˥
綿軟	mjɛn˧˥ʐwan˨˩˦
緫	tsʊŋ˨˩˦,tsʰʊŋ˥˥,tsʊŋ˥˥
盡忠報國	tɕɪn˥˩ʈʂʊŋ˥˥pɑʊ˥˩kuɔ˧˥
弉	ʈʂwɑŋ˨˩˦,tsɑŋ˥˩
聽任	tʰɪŋ˥˥ʐən˥˩,tʰɪŋ˥˩ʐən˥˩
寃	ɥœn˥˥
挈	tɕʰjɛ˥˩,tɕʰi˥˩
冰塊	pɪŋ˥˥kʰuaɪ˥˩
㵊	ʈʂɤ˧˥,ʂən˨˩˦
稛	kʰuən˨˩˦
丼	tɕɪŋ˨˩˦
同位素	tʰʊŋ˧˥weɪ˥˩su˥˩
喘息	ʈʂʰwan˨˩˦ɕi˥˥,ʈʂʰwan˨˩˦ɕi˧˥
茱	ʈʂu˥˥
淺露	tɕʰjɛn˨˩˦lu˥˩
䎓	tʰa˥˩
披露	pʰi˥˥lu˥˩
我輩	uɔ˨˩˦peɪ˥˩
啂	noʊ˥˩
堛	pi˥˩
𪔂	tɪŋ˨˩˦
潝	ɕi˥˥,ɕi˥˩
公畝	kʊŋ˥˥mu˨˩˦
知名度	ʈʂɚ˥˥mɪŋ˧˥tu˥˩
闕	tɕʰɥœ˥˩,tɕɥœ˧˥,tɕʰɥœ˥˥
愛好	aɪ˥˩xɑʊ˥˩
欠佳	tɕʰjɛn˥˩tɕja˥˥
瀑	pʰu˥˩,pɔ˧˥,pɑʊ˥˩
拋	pʰɑʊ˥˥
賭場	tu˨˩˦ʈʂʰɑŋ˨˩˦
輛	ljɑŋ˥˩
篂	ɕɪŋ˥˥
生態學	ʂɤŋ˥˥tʰaɪ˥˩ɕɥœ˧˥
鶤	kʰuən˥˥,yn˥˩
鏨	tɕjɛn˥˩,tsan˥˩
車	ʈʂʰɤ˥˥,tɕy˥˥
暢達	ʈʂʰɑŋ˥˩ta˧˥
堋	pɤŋ˥˩,pʰɤŋ˧˥
䡿	lɪŋ˧˥
江米	tɕjɑŋ˥˥mi˨˩˦
舉國	tɕy˨˩˦kuɔ˧˥
秵	ɪn˥˥
嵛	y˧˥
罄竭	tɕʰɪŋ˥˩tɕjɛ˧˥
耋	tjɛ˥˩
典當	tjɛn˨˩˦tɑŋ˥˩
䞂	ʐwan˨˩˦
疲沓	pʰi˧˥tʰa˧
矯枉過正	tɕjɑʊ˨˩˦wɑŋ˨˩˦kuɔ˥˩ʈʂɤŋ˥˩
檸檬汁	nɪŋ˧˥mɤŋ˧˥ʈʂɚ˥˥
項	ɕjɑŋ˥˩
蕃薯	fan˥˥ʂu˨˩˦
粰	fu˥˥,fu˧˥
㹒	pʰu˨˩˦
暈頭轉向	yn˥˥tʰoʊ˧˥ʈʂwan˨˩˦ɕjɑŋ˥˩
流氓頭子	ljoʊ˧˥mɑŋ˧˥tʰoʊ˧˥tsɯ˧
溦	weɪ˧˥
災禍	tsaɪ˥˥xuɔ˥˩
㛧	man˨˩˦
耏	aɻ˧˥,naɪ˥˩
慌裡慌張	xwɑŋ˥˥li˧xwɑŋ˥˥ʈʂɑŋ˥˥
鬮	tɕjoʊ˥˥
摹仿	mɔ˧˥fɑŋ˨˩˦
㿜	pjɛ˨˩˦
磬管	tɕʰɪŋ˥˩kwan˨˩˦
聽其言而觀其行	tʰɪŋ˥˥tɕʰi˧˥jɛn˧˥aɻ˧˥kwan˥˥tɕʰi˧˥ɕɪŋ˧˥
考	kʰɑʊ˨˩˦
韊	lan˧˥
大白鯊	ta˥˩paɪ˧˥ʂa˥˥
西施	ɕi˥˥ʂɚ˥˥
哰	lɑʊ˧˥
荘	ʈʂwɑŋ˥˥
裝填	ʈʂwɑŋ˥˥tʰjɛn˧˥
㺿	i˧˥
血崩症	ɕɥœ˥˩pɤŋ˥˥ʈʂɤŋ˥˩
齎志	tɕi˥˥ʈʂɚ˥˩
畫眉	xwa˥˩meɪ˧˥
嵝	ly˨˩˦,loʊ˨˩˦
氖	naɪ˨˩˦
煓	tʰwan˥˥
蘾	xuaɪ˥˩
遺留	i˧˥ljoʊ˧˥
咎由自取	tɕjoʊ˥˩joʊ˧˥tsɯ˥˩tɕʰy˨˩˦
大戟	ta˥˩tɕi˨˩˦
坫	tjɛn˥˩
聲勢	ʂɤŋ˥˥ʂɚ˥˩
睺	xoʊ˧˥
咣	kwɑŋ˥˥
隼	ʈʂuən˨˩˦,suən˨˩˦
要嘛	jɑʊ˥˩ma˧˥
兩頰	ljɑŋ˨˩˦tɕja˧˥
心口不一	ɕɪn˥˥kʰoʊ˨˩˦pu˥˩i˥˥
罪	tsweɪ˥˩
彙集，滙集	xweɪ˥˩tɕi˧˥
䈓	kɤ˧˥
䬶	ən˥˩
黿	ɥœn˧˥
得不到	tɤ˧˥pu˧tɑʊ˥˩
峝	tʊŋ˥˩,tʰʊŋ˧˥
鐍	tɕɥœ˧˥
遊逛	joʊ˧˥kwɑŋ˥˩
戊戌年	u˥˩ɕy˥˥njɛn˧˥
砬	la˧˥,li˥˩
棂	lɪŋ˧˥
恫嚇	tʊŋ˥˩xɤ˥˩
嘟嘴	tu˥˥tsweɪ˨˩˦
瘧疾	nɥœ˥˩tɕi˧˥
乶	fu˨˩˦
迸	pʰɤŋ˥˥,pɤŋ˥˩,pɪŋ˨˩˦
令狐	lɪŋ˧˥xu˧˥
描紅	mjɑʊ˧˥xʊŋ˧˥
眼科	jɛn˨˩˦kʰɤ˥˥
過癮	kuɔ˥˩ɪn˨˩˦
興	ɕɪŋ˥˥,ɕɪŋ˥˩
金闕	tɕɪn˥˥tɕʰɥœ˥˩
嗔詬	ʈʂʰən˥˥koʊ˥˩
筋	tɕɪn˥˥,tɕʰjɛn˧˥
資源	tsɯ˥˥ɥœn˧˥
玉液瓊漿	y˥˩jɛ˥˩tɕʰjʊŋ˧˥tɕjɑŋ˥˥
崡	xan˧˥
菅茅	tɕjɛn˥˥mɑʊ˧˥
嫢	kweɪ˥˥
炙熱	ʈʂɚ˥˩ʐɤ˥˩
彙報	xweɪ˥˩pɑʊ˥˩
久違	tɕjoʊ˨˩˦weɪ˧˥
桠	ja˧˥
燻茶葉	ɕyn˥˥ʈʂʰa˧˥jɛ˥˩
鬧洞房	nɑʊ˥˩tʊŋ˥˩fɑŋ˧˥
盒子炮	xɤ˧˥tsɯ˧pʰɑʊ˥˩
堀	kʰu˥˥
賓客	pɪn˥˥kʰɤ˥˩
口頭禪	kʰoʊ˨˩˦tʰoʊ˧˥ʈʂʰan˧˥
無微不至	u˧˥weɪ˧˥pu˧˥ʈʂɚ˥˩,u˧˥weɪ˥˥pu˧˥ʈʂɚ˥˩
一塵不染	i˥˩ʈʂʰən˧˥pu˥˩ʐan˨˩˦
紮行李	tsa˥˥ɕɪŋ˧˥li˧
完善	wan˧˥ʂan˥˩
茻	mɑŋ˨˩˦
靗	ʈʂʰɤŋ˥˩
葛衫	kɤ˧˥ʂan˥˥
譈	tweɪ˥˩
雜誌	tsa˧˥ʈʂɚ˥˩
肋間	leɪ˥˩tɕjɛn˥˥,lɤ˥˩tɕjɛn˥˥
毱	tɕy˧˥
㲥	tʰɑŋ˧˥
呵欠	xɤ˥˥tɕʰjɛn˥˩
誠招	ʈʂʰɤŋ˧˥ʈʂɑʊ˥˥
筍雞	suən˨˩˦tɕi˥˥
出類拔萃	ʈʂʰu˥˥leɪ˥˩pa˧˥tsʰweɪ˥˩
䨠	aɪ˨˩˦
盾牌	tuən˥˩pʰaɪ˧˥
箤	tɕy˧˥
秸	tɕjɛ˥˥,tɕi˧˥
居	tɕi˥˥,tɕy˥˥
不見不散	pu˧˥tɕjɛn˥˩pu˧˥san˥˩
牀	ʈʂʰwɑŋ˧˥
驊騮	xwa˧˥ljoʊ˧˥
一家之長	i˥˩tɕja˥˥ʈʂɚ˥˥ʈʂɑŋ˨˩˦
康乃馨	kʰɑŋ˥˥naɪ˨˩˦ɕɪn˥˥
疏水性	ʂu˥˥ʂweɪ˨˩˦ɕɪŋ˥˩
戙	tʊŋ˥˩
知子莫若父	ʈʂɚ˥˥tsɯ˨˩˦mɔ˥˩ʐuɔ˥˩fu˥˩
乙基	i˨˩˦tɕi˥˥
姷	joʊ˥˩
補助金	pu˨˩˦ʈʂu˥˩tɕɪn˥˥
㽷	ʂweɪ˥˩
倒掛	tɑʊ˥˩kwa˥˩
血管擴張	ɕɥœ˥˩kwan˨˩˦kʰuɔ˥˩ʈʂɑŋ˥˥
兩	ljɑŋ˨˩˦,ljɑŋ˥˩
膠著	tɕjɑʊ˥˥ʈʂuɔ˧˥
界定	tɕjɛ˥˩tɪŋ˥˩
愧不敢當	kʰweɪ˥˩pu˥˩kan˨˩˦tɑŋ˥˥
第一名	ti˥˩i˥˩mɪŋ˧˥
㔕	i˥˩,tɕi˧˥
撗	xwɑŋ˧˥
釰	ʐɚ˥˩
嘖	tsɤ˧˥
一朝被蛇咬，十年怕井繩	i˥˩ʈʂɑʊ˥˥peɪ˥˩ʂɤ˧˥jɑʊ˨˩˦ʂɚ˧˥njɛn˧˥pʰa˥˩tɕɪŋ˨˩˦ʂɤŋ˧˥
㛏	tɕʰjoʊ˧˥,oʊ˥˩
䬁	i˧˥
箖	lɪn˧˥
上場	ʂɑŋ˥˩ʈʂʰɑŋ˨˩˦
弱項	ʐuɔ˥˩ɕjɑŋ˥˩
齊全	tɕʰi˧˥tɕʰɥœn˧˥
璭	kuən˥˩
數典忘祖	ʂu˨˩˦tjɛn˨˩˦wɑŋ˥˩tsu˨˩˦
順序入坐	ʂuən˥˩ɕy˥˩ʐu˥˩tsuɔ˥˩
篜	ʈʂɤŋ˥˥
權宜婚姻	tɕʰɥœn˧˥i˧˥xuən˥˥ɪn˥˥
雷人	leɪ˧˥ʐən˧˥
辜	ku˥˥
淡季	tan˥˩tɕi˥˩
捨生取義	ʂɤ˨˩˦ʂɤŋ˥˥tɕʰy˨˩˦i˥˩
騯	pʰɑŋ˧˥
䂕	xweɪ˥˩
䅚	tsɤ˧˥,tɕʰɥœn˨˩˦,tɕʰjɑŋ˨˩˦
屈指	tɕʰy˥˥ʈʂɚ˨˩˦
糝	san˥˥,san˨˩˦
揱	ɕjɑʊ˥˥,ʂuɔ˥˩
奉公守法	fɤŋ˥˩kʊŋ˥˥ʂoʊ˨˩˦fa˨˩˦
㕷	xwa˥˩
牙籤	ja˧˥tɕʰjɛn˥˥
逍	ɕjɑʊ˥˥
悱惻	feɪ˨˩˦tsʰɤ˥˩
血管造影	ɕɥœ˥˩kwan˨˩˦tsɑʊ˥˩ɪŋ˨˩˦
右掖	joʊ˥˩jɛ˥˩
㨈	tɕi˨˩˦
寶藏	pɑʊ˨˩˦tsɑŋ˥˩
賠款	pʰeɪ˧˥kʰwan˨˩˦
尕	ka˨˩˦
負荊請罪	fu˥˩tɕɪŋ˥˥tɕʰɪŋ˨˩˦tsweɪ˥˩
仹	fɤŋ˥˥
伸	ʂən˥˥
生活無著	ʂɤŋ˥˥xuɔ˧˥u˧˥ʈʂuɔ˧˥
公寓	kʊŋ˥˥y˥˩
䡹	ʈʂɚ˥˩
塓	mi˥˩
無望	u˧˥wɑŋ˥˩
跱	ʂɚ˥˩,ʈʂɚ˥˩
偷懶	tʰoʊ˥˥lan˨˩˦
攻擊	kʊŋ˥˥tɕi˥˥,kʊŋ˥˥tɕi˧˥
籠罩	lʊŋ˧˥ʈʂɑʊ˥˩,lʊŋ˨˩˦ʈʂɑʊ˥˩
赨	tʰʊŋ˧˥,ɕjʊŋ˧˥
當口	tɑŋ˥˥kʰoʊ˧
㔄	su˥˩
弣	fu˨˩˦
機靈	tɕi˥˥lɪŋ˧,tɕi˥˥lɪŋ˧˥
桃李盈門	tʰɑʊ˧˥li˨˩˦ɪŋ˧˥mən˧˥
侴	ʈʂʰoʊ˨˩˦
以己度人	i˨˩˦tɕi˨˩˦tuɔ˧˥ʐən˧˥
出洋相	ʈʂʰu˥˥jɑŋ˧˥ɕjɑŋ˥˩
鄈	kʰweɪ˧˥
隔壁	kɤ˧˥pi˥˩
䇸	ʈʂʰɤŋ˧˥,tsɤŋ˥˩,ʂɤŋ˥˩
琁	ɕɥœn˧˥
茕	tɕʰjʊŋ˧˥
參議	tsʰan˥˥i˥˩
胳肢窩	kɤ˥˥ʈʂɚ˥˥uɔ˥˥
䋴	ʐu˨˩˦,ʐʊŋ˨˩˦,njoʊ˥˩,ʐoʊ˧˥
蒜泥	swan˥˩ni˧˥
購物	koʊ˥˩u˥˩
蔠	ʈʂʊŋ˥˥
遠慮	ɥœn˨˩˦ly˥˩
吊銷	tjɑʊ˥˩ɕjɑʊ˥˥
醇	ʈʂʰuən˧˥
