ܚܠܘܠܐ	ħəlulɑʔ
ܕܓܠ	daɡɡɑl
ܢܣܘܒܐ	nɑsoveʔ
ܛܘܦܬܐ	tˤawpəθɑʔ
ܙܝܙܢܐ	zizɑneʔ
ܦܬܩܐ	pəθɑqɑʔ
ܩܘܛܢܐ	qutˤnɑʔ
ܣܘܓܐܐ	soɣʔeʔ
ܐܘܡܬܐ	ʔumməθɑ
ܟܦܪܘܢܐ	kafronɑ
ܫܛܝܦܬܐ	ʃɑtˤifɑθɑʔ
ܩܛܐ	qɑtˤeʔ
ܡܛܪܐ	metˤrɑʔ
ܛܚܠܐ	tˤəħɑle
ܩܪܩܦܬܐ	qarqafəθɑ
ܗܝܡܢܘܬܐ	hajmɑnwɑθɑʔ
ܐܢܬܝ	ʔat
ܩܦܣܐ	qɛfse
ܐܟܠܢܐ	ʔɑxlɑneʔ
ܐܠܥܐ	ʔɛlʕe
ܙܩܐ	zɛqqe
ܪܙܩܐ	rɛzqe
ܡܘܙܓܐ	muzzɑɣɑ
ܐܡܪܬܐ	ʔɛmrəθɑʔ
ܦܘܠܚܢܐ	pulħɑneʔ
ܚܠܒܐ	xalwɑ
ܒܘܪܟܬܐ	burkɑθɑʔ
ܐܒܠܐ	ʔɛbbɑlɑ
ܛܗܪܐ	tˤahrɑ
ܢܘܠܐ	nawlɑʔ
ܫܘܡܪܐ	ʃummɑrɑ
ܘܝܠܐ	welas
ܚܪܘܫܬܐ	ħarroʃɑθɑʔ
ܟܒܕܐ	kɛvdɑʔ
ܢܡܠܐ	namle
ܚܝܛܬܐ	ħajjɑtˤɑθɑ
ܐܪܙܐ	ʔərɑzɑ
ܫܓܐ	ʃɑɣɑ
ܢܝܪܐ	nirɑʔ
ܓܘܦܐ	ɡawpɑ
ܡܕܢܚܐ	maðnəħɑ
ܛܠܝܐ	tˤɛllɑjɑ
ܣܝܓܐ	səjɑɣɑ
ܝܒܢܐ	javneʔ
ܙܡܪܓܕܐ	zəmarɡɑðɑʔ
ܦܠܓܡܐ	pəlɛɣmeʔ
ܠܩܚܐ	laqħɑ
ܚܘܟܐ	ħawke
ܢܓܡܐ	naɣmeʔ
ܬܢܝܢܐ	tɛnjɑnɑ
ܓܘܪܐ	ɡurɑ
ܕܗܒܐ	dahhɑvɑ
ܩܢܘܢܐ	qɑnonas
ܓܘܒܝܐ	ɡubbɑjɑ
ܩܪܝܬܐ	qərɑjɑθɑʔ
ܫܪܛܐ	ʃɑrtˤɑʔ
ܛܝܙܬܐ	tˤizɑθɑʔ
ܠܘܪܐ	lɑwɑreʔ
ܬܪܥܐ	tarrɑʕɑʔ
ܦܝܣܐ	piseʔ
ܡܠܐܟܐ	malʔăxɑʔ
ܟܝܠܐ	kajjɑlɑʔ
ܢܥܒܐ	naʕəveʔ
ܡܐܣܪܝܬܐ	mɑʔsɑrjɑθɑʔ
ܚܠܘܠܐ	ħɑloleʔ
ܓܙܒܪܐ	ɡezavreʔ
ܡܟܣܐ	mɑxseʔ
ܩܘܠܣܐ	qullɑseʔ
ܒ	v
ܫܘܚܐ	ʃuħe
ܪܘܝܐ	rəwajjɑʔ
ܟܫܟܝܬܐ	kaʃkjəɑθɑʔ
ܥܝܒܐ	ʕajbe
ܟܫܛܐ	kaʃtˤeʔ
ܗܪܗܪܐ	harhɑreʔ
ܕܒܐ	dɛbbeʔ
ܩܢܐ	qɛnnɑʔ
ܦܪܥܘܢ	pɛrʕon
ܦܥܪܐ	pɑʕreʔ
ܥܢܘܝܬܐ	ʕənawjɑθɑ
ܬܦܐ	tappeʔ
ܙܝܢܐ	zajnɑʔ
ܪܘܒܐ	rawbɑʔ
ܥܕܢܐ	ʕɛddɑneʔ
ܦܠܓܐ	pəlaɡɡɑʔ
ܒܝܣܬܐ	bisɑθɑʔ
ܚܘܠܕܐ	ħuldɑ
ܪܦܫܐ	rafʃɑʔ
ܐܪܘܢܝܬܐ	ʔarwɑniθɑʔ
ܢܥܢܥ	naʕnaʕ
ܐܡܒܝܩܐ	ʔambiqɑ
ܫܪܓܐ	ʃərɑɣɑʔ
ܓܘܡܪܪܐ	ɡumrɑrɑʔ
ܝܘܙܘܬܐ	jawzawwɑθɑʔ
ܓܡܘܪܬܐ	ɡəmurtɑ
ܡܓܠܬܐ	məɣalləθɑ
ܡܕܢܐ	maddɑnɑ
ܩܘܪܩܒܢܐ	qurqəvɑneʔ
ܝܥܠܐ	jaʕlɑʔ
ܫܡܥ	ʃəmaʕ
ܢܘܡܐ	numaʔs
ܣܝܦܐ	sajpɑ
ܨܠܘܬܐ	sˤəloθɑ
ܟܠܒܐ	kalbeʔ
ܦܠܥܐ	pɛlʕɑʔ
ܚܠܕܘܕܐ	ħalduðeʔ
ܡܟܪܐ	maxrɑ
ܫܘܡܗܐ	ʃummɑheʔ
ܚܢܐ	ħɛnnɑʔ
ܐܣܛܘܟܣܐ	ʔɛstˤukseʔ
ܬܫܥܝܬܐ	taʃʕiθɑʔ
ܫܩܡܐ	ʃaqme
ܒܪܘܬܐ	bəruθɑ
ܚܨܘܕܐ	ħɑsˤoðɑ
ܩܘܥܐ	quʕɑʔ
ܐܘܚܕܢܐ	ʔuħdɑneʔ
ܓܦܬܐ	ɡəfɛttɑ
ܣܘܡܩܐ	summɑqe
ܒܪܩܐ	bərɑqɑ
ܝܪܬܐ	jɑrtɑʔ
ܝܘܙܐ	jozɑʔ
ܥܘܠܐ	ʕawwɑleʔ
ܢܐܪܒܐ	neʔrəvɑʔ
ܟܪܘܬܐ	kərawwɑθɑʔ
ܫܪܟܐ	ʃərɑxeʔ
ܩܕܡܐ	qaðmeʔ
ܝܘܡܬܐ	jawmɑθɑʔ
ܐܡܐ	ʔɑmɑʔ
ܐܨܘܬܐ	ʔɑsˤəwɑθɑ
ܥܘܪܒܐ	ʕurbɑ
ܦ	p
ܣܓܘܠܐ	səɣuleʔ
ܩܢܦܐ	qənappeʔ
ܚܪܫܐ	ħarrɑʃɑ
ܙܒܕܐ	zɛvdɑʔ
ܝܠܘܕܘܬܐ	jɑloðuθɑʔ
ܙ	zajn
ܫܘܢܝܐ	ʃunje
ܫܝܫܐ	ʃiʃeʔ
ܐܡܢܐ	ʔamnɑʔ
ܢܘܫܩܬܐ	nuʃqəθɑʔ
ܒܪܒܪܝܐ	barbarrɑjɑʔ
ܒܘܟܢܐ	buxɑne
ܛܘܦܬܐ	tˤuftɑʔ
ܕܝܙܐ	dizɑ
ܚܘܛܐ	ħutˤɑ
ܓܙܪܐ	ɡɛzzɑre
ܕܘܢܒܐ	dunbɑθɑʔ
ܦܘܚܕܐ	puħdɑ
ܩܨܪܐ	qɛsˤreʔ
ܕܪܓܐ	droɣo
ܕܓܢܐ	dəɣɑne
ܕܦܢܐ	dafneʔ
ܚܡܪܐ	ħəmɑre
ܐܫܟܬܐ	ʔɛʃkəθɑʔ
ܡܒܠܘܥܝܬܐ	mɑwluʕiθo
ܥܩܪܐ	ʕaqrɑʔ
ܣܒܬܐ	sabbɑθɑʔ
ܣܟܪܐ	səxɑrɑʔ
ܓܡܘܫܐ	ɡɑmoʃɑ
ܝܠܘܕܘܬܐ	jalluðuθɑʔ
ܟܐܦܐ	keʔfeʔ
ܦܩܥܬܐ	paqʕɑθɑʔ
ܐܘܦܢܐ	ʔofneʔ
ܫܘܡܕܐ	ʃummɑðe
ܚܪܝܥܐ	ħarriʕe
ܛܪܦܢܣܐ	tˤarpɑnse
ܣܥܪܐ	saʕreʔ
ܡܪܫܐ	marʃəʃɑ
ܫܛܝܦܬܐ	ʃɑtˤiftɑʔ
ܚܘܡܫܐ	ħumʃe
ܦܠܝܛܐ	pallitˤɑʔ
ܓܒܪܐ	ɡavre
ܥܪܒܐ	ʕərɑvɑ
ܦܠܚܬܐ	pɑlħəθɑʔ
ܝܕܝܕܐ	jaðjɑðe
ܟܦܘܪܐ	kɑforeʔ
ܗܘܢܐ	hawnɑʔ
ܥܘܪܢܝܛܐ	ʕurnitˤeʔ
ܬܫܢܝܩܐ	taʃniqɑʔ
ܒܘܟܪܐ	buxrɑʔ
ܬܬܐ	tettɑʔ
ܦܪܙܠܐ	parzəlɑʔ
ܝܗܒ	ʔihɑv
ܐܬܠܝܛܐ	ʔaθle̝tˤeʔ
ܪܕܦܐ	rəðɑfɑʔ
ܦܪܕܝܣܐ	pardajseʔ
ܚܠܬܐ	ħallɑθɑ
ܦܠܚܬܐ	pallɑħtɑʔ
ܙܘܓܠܐ	zuɣallɑʔ
ܚܘܪܐ	ħɛworo
ܥܪܒܐ	ʕrɑwɑ
ܥܩܒܐ	ʕɛqəveʔ
ܟܪܛܝܣܐ	kartˤisɑʔ
ܣܟܝܢܐ	sakkinjɑθɑ
ܕܡܐ	dəmɑʔ
ܪܘܡܚܐ	rumħɑʔ
ܒܒܓܐ	babbaɡɡɑʔ
ܣܝܡܬܐ	səjɑmtɑʔ
ܐܣܩܦܐ	ʔɛsqəfɑʔ
ܢܒܐ	nɑveʔ
ܥ	ʕ
ܦܪܟܐ	pɛrkɑ
ܫܡܝܪܐ	ʃɑmireʔ
ܡܝܢܐ	majjɑne
ܐܝܠܐ	ʔajle
ܚܓܠܐ	ħaɣlɑ
ܛܒܚܐ	tˤabbɑħɑ
ܟܟܪܝܬܐ	kakkɑriθɑʔ
ܡܬܝ	mattaj
ܚܠܦ	ħulɑf
ܙܠܐ	zalleʔ
ܠܚܫܐ	ləħɑʃɑʔ
ܬܥܠܐ	taʕleʔ
ܓܠܘܣܩܡܐ	ɡəlusqəmɑʔ
ܩܪܢܐ	qarneʔ
ܠܘܥܐ	lawʕɑʔ
ܓܪܒܐ	ɡɑrwo
ܕܝܪܐ	dajjɑreʔ
ܕܒܪܐ	davrɑʔ
ܕܠܦܝܢܐ	dɛlpinas
ܐܣܟܘܠܐ	ʔɛskolɑʔ
ܥܐܕܐ	ʕeʔðeʔ
ܟܢܫܐ	kənɑʃeʔ
ܪܘܒܐ	rubbeʔ
ܢܟܠܐ	nɛxleʔ
ܦܦܐ	pɑpəpeʔ
ܗܒܒܐ	habbɑveʔ
ܐܝܣܘܢ	ʔijɑson
ܡܠܩܛܐ	məlaqqətˤɑʔ
ܢܫܪܐ	nɛʃrɑʔ
ܥܠܥܠܐ	ʕalʕɑleʔ
ܓܙܐ	ɡɛzzɑ
ܦܬܚܐ	pɛθħɑʔ
ܡܙܬܐ	mɛzzəθɑ
ܟܪܬܐ	kɑrtɑʔ
ܩܦܝܐ	qəfɑjɑʔ
ܝܘܙܘܬܐ	jozawwɑθɑʔ
ܩܘܙܐ	quzɑʔ
ܐܬܪܐ	ʔaθrɑ
ܬܪܡܠܐ	tarmɑleʔ
ܡܝܠܐ	milɑʔ
ܣܢܕܠܐ	sɛndɑlɑʔ
ܐܘܠܝܬܐ	ʔoljɑθɑʔ
ܝܘܡܐ	jawmɑʔ
ܩܥܬܐ	qəʕɑjeʔ
ܒܚܪܐ	baħħɑreʔ
ܩܘܪܒܢܐ	qurbɑneʔ
ܢܫܡܬܐ	nɛʃmɑθɑ
ܫܘܬܦܐ	ʃawtɑfeʔ
ܐܣܝܐ	ʔɑsjɑ
ܫܘܪܐ	ʃurrɑʔ
ܛܟܣܐ	tˤaksɑʔ
ܐܬܘܬܐ	ʔɑθwɑθɑʔ
ܟܠܙܘܙܐ	kəlɑzuzeʔ
ܓܘܝܐ	ɡojeʔ
ܩܦܝܐ	qɛfjeʔ
ܡܣܓܕܐ	masɡəðeʔ
ܟܢܫܐ	kɛnʃɑʔ
ܦܝܠܐ	fijɑlɑ
ܫܝܫܐ	ʃeːʃɑʔ
ܛܘܢܒܐ	tˤunəveʔ
ܪܝܫܢܐ	rejʃɑnawwɑθɑ
ܪܘܩܐ	ruqqɑʔ
ܙܘܡܐ	zome
ܫܘܪܝܐ	ʃurrɑjɑʔ
ܣܦܪܬܐ	sɑfarəθɑʔ
ܐܡܒܝܩܐ	ʔambiqe
ܙܘܡܐ	zɑwmɑ
ܥܘܠܘܬܐ	ʕawwɑlwɑθɑʔ
ܐܛܪܘܓܐ	ʔatˤruɡɡɑ
ܩܝܡܬܐ	qɑjɛmtɑ
ܟܢܪܐ	kɛnnɑrɑ
ܫܘܚܬܐ	ʃuħtɑʔ
ܫܡܪܐ	ʃəmɑrɑ
ܡܬܠܐ	maθlɑʔ
ܬܘܣܦܬܐ	tawsəfɑθɑʔ
ܙܘܓܠܐ	zuɣalleʔ
ܒ	bejθ
ܥܘܡܪܐ	ʕumrɑʔ
ܥܓܠܬܐ	ʕɑɣɛləθɑ
ܦܠܓܡܐ	pəlɛɣmɑʔ
ܐܟܣܢܝܐ	ʔaksənɑjɑʔ
ܛ	tˤ
ܦܐܪܐ	peʔreʔ
ܓܪܓܐ	ɡɛrɡeʔ
ܪܬܝܬܐ	rattiθeʔ
ܩܝܣܘܢܐ	qajsonɑʔ
ܪܨܦܐ	rɑsˤpeʔ
ܡܣܪܐ	massɑreʔ
ܡܥܝܐ	maʕjɑʔ
ܬܘܪܬܐ	tawrəθɑʔ
ܙܪܥܐ	zərɑʕɑʔ
ܚܘܪܒܐ	ħorəve
ܓܙܪܐ	ɡazzɑre
ܠܩܢܐ	lɛqneʔ
ܥܩܒܐ	ʕɛqəvɑʔ
ܥܩܪܐ	ʕaqqɑrɑʔ
ܣܟܐ	sɑxe
ܫܢܝܐ	ʃɛnjɑʔ
ܫܩܐ	ʃqe
ܚܠܬܐ	ħɛlləθɑ
ܝܪܘܩܐ	yɑroqeʔ
ܡܪܐ	marrɑ
ܪܘܩܐ	rawqɑʔ
ܝܘܒܠܐ	jubbɑleʔ
ܩܫܬܐ	qɛʃtɑ
ܪܛܢܐ	rɪtˤnɑ
ܠܘܛܬܐ	lawtˤɑθɑ
ܐܒܢܐ	ʔɪbbɑne
ܕܪܡܐ	dərɑmɑʔ
ܝܨܪܐ	jasˤreʔ
ܠܘܥܐ	lawʕeʔ
ܢܦܠ	nəfal
ܐܦܩܐ	ʔafqe
ܒܝܣܬܐ	bisjɑθɑʔ
ܢܝܫܐ	niʃeʔ
ܚܘܪܐ	ħawwərɑ
ܝܡܬܐ	jamməθɑʔ
ܕܘܒܪܐ	dubbɑrɑʔ
ܝܠܘܕܐ	jɑloðeʔ
ܐܒܢܐ	ʔɑbone
ܚܫܟܐ	ħɛʃkɑʔ
ܟܟܪܝܬܐ	kakkɑrjɑθɑʔ
ܓܪܓܐ	ɡɛrɡɑʔ
ܚܬܐ	ħɑθɑʔ
ܘܪܙܐ	warzɑʔ
ܙܒܕܐ	zɛvdeʔ
ܚܪܝܐ	ħərajjɑ
ܐܟܠܘܣ	ʔɑxlos
ܩܪܝܬܐ	qərɑjtɑʔ
ܒܘܕܚܐ	buddɑħɑ
ܢܐܪܒܐ	neʔrəveʔ
ܘܣܐ	wassɑ
ܠܒܐ	lɛbo
ܐܨܘܬܐ	ʔɑsˤuθɑ
ܫܒܛܐ	ʃavtˤɑʔ
ܓܘܣܐ	ɡawsɑ
ܓܕܘܦܐ	ɡɑðofɑ
ܚܝܐ	ħajjeʔ
ܪܬܡܐ	rɑθmɑʔ
ܟܪܘܒܐ	kɑrovɑʔ
ܢܥܡܐ	naʕʕɑmeʔ
ܕܡܟ	dəmɛx
ܚܘܝܒܐ	ħujjɑveʔ
ܟܪܒܐ	kərabbɑʔ
ܟܪܦܬܐ	kərɑfɑθɑʔ
ܩܪܢܐ	qarnɑθɑʔ
ܪܥܡܐ	raʕme
ܦܐܬܐ	peʔθɑʔ
ܦܠܓܘܬܐ	palɡuθɑʔ
ܢܣܝܘܢܐ	nɛsjonɑʔ
ܡܪܝܐ	mɑrajjɑʔ
ܒܙܐ	bɑzeʔ
ܙܡܪܓܕܐ	zəmarraɣdeʔ
ܝܗܠܐ	jahleʔ
ܢܓܘܕܐ	nəɣuðeʔ
ܡܫܠܡܢܐ	maʃləmɑnɑʔ
ܢܨܐ	nɛsˤsˤeʔ
ܙܓܐ	zɑɡɡɑ
ܣܘܡܟܐ	summɑxeʔ
ܣܠܩܐ	səlɑqɑʔ
ܕܘܟܪܢܐ	duxrɑneʔ
ܡܪܥܐ	mɛrʕɑʔ
ܚܘܠܦܐ	ħulpeʔ
ܫܡܪܐ	ʃammɑre
ܚܚܐ	ħaħħe
ܒܐܪܐ	beʔrɑʔ
ܐܠܦܐ	ʔalfɑʔ
ܬܫܒܘܚܬܐ	tɛʃboħtɑʔ
ܡܢܝܘܬܐ	mɑnɑjuθɑʔ
ܬܕܡܪܬܐ	tɛðmərɑθɑʔ
ܚܙܘܢܐ	ħɛzwɑnɑʔ
ܥܩܠܐ	ʕaqlɑʔ
ܡܣܘܪܩܐ	massurqɑʔ
ܪܟܢܐ	rɛxnɑʔ
ܓܘܢܐ	ɡɑwno
ܦܬܢܐ	pɛθne
ܡܛܘܚܬܐ	matˤtˤoħɑθɑʔ
ܐܦܩܪܣܐ	ʔɑfqərɑse
ܒܥܘܛܬܐ	bəʕutˤəθɑʔ
ܚܘܩܐ	ħawqeʔ
ܒܪܩܐ	bɑroqo
ܡܬܬܐ	mɑθɑθɑʔ
ܟܝܡܐ	kimɑ
ܢܘܗܪܐ	nuhrɑʔ
ܡܪܥܝܬܐ	marʕiθɑʔ
ܬܩܠܐ	təqɑleʔ
ܡܛܪܐ	matˤtˤəreʔ
ܟܪܦܬܐ	kərɑftɑʔ
ܢܘܣܐ	nawsɑʔ
ܪܫܝܢܐ	rɛʃjɑneʔ
ܬܠܝܐ	tɛllɑjeʔ
ܥܘܪܦܐ	ʕurrɑfɑʔ
ܥܠܝܡܘܬܐ	ʕəlajməwɑθɑʔ
ܟܬܒܐ	kəθɑvɑʔ
ܐܡܘܡܐ	ʔammumeʔ
ܢܟܝܢܐ	nɛxjɑnɑ
ܣܘܣܝܐ	sussɑjeʔ
ܐܣܦܪܣܐ	ʔɛspəresɑʔ
ܣܦܪܐ	sɑfrɑʔ
ܐܓܪܬܐ	ʔɛɡɡarəθɑ
ܪܡܟܐ	raməxɑʔ
ܐܘܕܐ	ʔuðeʔ
ܡܠܥܣܬܐ	malʕastɑʔ
ܙܘܪܢܐ	zurnɑʔ
ܫܠܦܐ	ʃɛlpɑ
ܡܟܢܫܬܐ	maxnaʃtɑ
ܙܘܒܢܐ	zubbɑnɑʔ
ܚܡܫܒܫܒܐ	ħammɛʃbəʃabbɑ
ܓܘܒܐ	ɡuvɑ
ܢܓܘܕܐ	nɑɣoðeʔ
ܦܪܐ	parreʔ
ܡܕܝܪܐ	mɛðjɑrɑʔ
ܪܘܟܟܐ	rukkɑxɑʔ
ܚܙܝܐ	ħəzɑjɑʔ
ܪܐܬܐ	raʔθɑʔ
ܡܟܘܬܐ	makkəwɑθɑʔ
ܢܡܠܐ	nəmɑlɑ
ܩܪܝܬܐ	qurjɑʔ
ܓܪܓܫܬܐ	ɡarɡɛʃtɑ
ܡܣܬܐ	məsɑθɑʔ
ܓܛܐ	ɡɑtˤo
ܓܦܦܐ	ɡəfɑfeʔ
ܚܘܪܒܐ	ħurbɑ
ܚܡܪܬܐ	ħammɑrɑθɑʔ
ܡܘܚܐ	muħɑʔ
ܚܝܠܐ	ħajlawwɑθɑʔ
ܝܒܫܐ	javʃɑʔ
ܢܫܪܐ	nɛʃreʔ
ܬܘܬܐ	tuθɑ
ܢܘܪܐ	nawreʔ
ܦܩܥܐ	pɛqʕɑʔ
ܚܙܘܪܐ	ħazzure
ܪܚܫܐ	rɑħʃo
ܟܦܘܪܘܬܐ	kɑforwɑθɑʔ
ܒܢܝܐ	bənɑjɑʔ
ܦܛܠ	pətˤal
ܛܘܦܐܙܝܘܢ	tˤoppɑzjon
ܬܢܚܬܐ	tɛnħɑθɑʔ
ܩܛܪܩܐ	qətˤerqɑʔ
ܐܪܕܘܦܝܐ	ʔardufjeʔ
ܐܟܠܢܐ	ʔaxlɑneʔ
ܐܢܐ	ʔɛ̆nɑʔ
ܡܪܓܐ	marəɣe
ܗܘ	haw
ܩܢܦܐ	qɛnpɑʔ
ܢܓܘܕܐ	nəɣuðɑʔ
ܛܒܥܐ	tˤəvɑʕɑʔ
ܟܣܣܬܐ	kəsɑseʔ
ܡܙܡܘܪܐ	mazmorɑʔ
ܪܘܒܥܐ	ruvʕeʔ
ܟܘܟܒܐ	kawkəve
ܠ	lɑmað
ܚܙܝܐ	ħazzɑjɑʔ
ܩܠܥܐ	qalʕeʔ
ܬܢܝܢܐ	tɛnjɑne
ܡܢ	man
ܡܡܘܠܐ	mɑmoleʔ
ܥܘܛܫܬܐ	ʕutˤʃɑθɑ
ܦܢܝܬܐ	pənɑjɑθɑʔ
ܚܝܛܐ	ħəjɑtˤɑ
ܡܓܢܐ	məɣenɑ
ܥܣܩܘܬܐ	ʕasqəwɑθɑʔ
ܦܪܚܬܐ	pɑraħəθɑ
ܙܡܪܓܕܐ	zəmarraɣdɑʔ
ܟܒܫܐ	kəvɑʃɑʔ
ܫܠܡܐ	ʃalmɑ
ܬܕܡܘܪܬܐ	tɛðmurɑθɑʔ
ܡܥܦܪܐ	maʕpəreʔ
ܛܘܒܐ	tˤuveʔ
ܠܒܫܐ	ləvɑʃɑʔ
ܣܒܬܐ	sɑvtɑʔ
ܡܥܪܦܢܐ	məʕarpɑneʔ
ܡܫܥܐ	maʃʕɑʔ
ܠܝܛܪܐ	litˤreʔ
ܩܢܛܪܘܢܐ	qɛntˤronɑʔ
ܒܕܘܠ	bəðol
ܚܪܕܢܐ	ħardɑnɑ
ܒܪܕܐ	barəðɑʔ
ܩܨܪܐ	qesˤreʔ
ܓܕܝܫܐ	ɡəðiʃɑ
ܨܦܬܐ	sˤɛfəθɑʔ
ܟܒܫܐ	kavʃeʔ
ܓܙܪܐ	ɡazzɑrɑ
ܡܚܘܬܐ	məħoθɑʔ
ܚܕܝܐ	ħaðjɑʔ
ܐܒܐ	ʔăvɑ
ܟܟܐ	kakkɑʔ
ܫܘܫܡܢܐ	ʃawʃəmɑneʔ
ܝܪܚܐ	jarħɑʔ
ܩܛܥܐ	qətˤɑʕɑʔ
ܓܘܒܐ	ɡubbɑ
ܘܠܝܬܐ	wɑliθɑ
ܓܢܒܪܐ	ɡabbɑrɑ
ܩܪܩܣܐ	qarqɑseʔ
ܠܚܡܐ	laħmɑʔ
ܚܝܠܐ	ħajleʔ
ܦܪܐ	pɑrɑʔ
ܙܡܡܐ	zəmɑmɑʔ
ܣܟܠܘܬܐ	saxluθɑʔ
ܢܘܗܪܐ	nuhhɑreʔ
ܥܕܥܐܕܐ	ʕaðʕeʔðɑʔ
ܩܒܘܪܬܐ	qəvurɑθɑʔ
ܪܬܝܬܐ	rattiθɑʔ
ܡܥܦܪܐ	məʕafreʔ
ܥܒܐ	ʕɑve
ܥܣܩܘܬܐ	ʕasquθɑʔ
ܪܟܫܐ	raxʃeʔ
ܚܘܩܐ	ħawqɑʔ
ܣܡܠܐ	sɛmmɑlɑʔ
ܕܩܠܐ	dɛqleʔ
ܣܦܝܢܬܐ	səfinjɑθɑ
ܝܠܘܕܬܐ	jalluðɑθɑ
ܢܩܫ	nəqaʃ
ܓܙܪܐ	ɡɛzzɑrɑ
ܓܝܣܐ	ɡajse
ܐܟܠܐ	ʔaxleʔ
ܡܩܘܪܐ	moquro
ܪܘܡܐ	rumeʔ
ܟܪܡܐ	kɑrmɑʔ
ܕܚܫܐ	daħʃɑʔ
ܡܢܝܢܐ	mɑninɑʔ
ܪܩܒܐ	raqəve
ܒܪܩܐ	barrɑqɑ
ܐܡ	ʔɛm
ܫܚܬܐ	ʃɛħtɑʔ
ܪܚܡܢܘܬܐ	raħmɑnuθɑʔ
ܩܫܬܐ	qɑʃɑθɑ
ܦܝܠܘܣܘܦܐ	pilosofeʔ
ܘܪܫܢܐ	warʃɑnɑ
ܩܬܐ	qɑθɑʔ
ܒܪܐ	barreʔ
ܬܦܝܐ	təfawwɑθɑʔ
ܐܡܪܐ	ʔɛmrɑʔ
ܙܘܡܐ	zumɑ
ܐܝܙܓܕܘܬܐ	ʔizɡadduθɑʔ
ܨܒܥܐ	sˤɛvʕɑθɑʔ
ܒܪܝܬܐ	barrəjɑθɑʔ
ܡܪܕܐ	mɛrdɑʔ
ܒܬܘܠܘܬܐ	bəθuluθɑ
ܛܘܒܐ	tˤuvɑʔ
ܚܣܕܢܐ	ħɛsdɑneʔ
ܐܬܠܝܐ	ʔaθlijɑ
ܪܘܚܐ	ruxɑ
ܒܛܡܬܐ	bɛtˤməθɑʔ
ܩܪܢܐ	qarnɑʔ
ܐܘܣܠܐ	ʔusallɑʔ
ܙܘܥܐ	zawʕɑ
ܚܒܫܘܫܬܐ	ħavʃuʃtɑʔ
ܢܚܬܐ	nəħɑθɑʔ
ܢܥܠܐ	naʕleʔ
ܦܩܚܐ	pɛqħɑʔ
ܦܠܓܘܬܐ	pɛlɡəwɑθɑʔ
ܚܘܪܐ	xorrɑ
ܡܘܪܐ	morɑʔ
ܡܣܪܩܐ	məsarqeʔ
ܪܨܦܐ	rəsˤɑfeʔ
ܩܛܐ	qatˤtˤeʔ
ܐܣܦܪܓܠܐ	ʔɛsparɡəlɑ
ܐܢܟܐ	ʔɑnəxɑ
ܩܢܦܐ	qənappɑʔ
ܐܟܠܐ	ʔakkɑleʔ
ܒܝܠܕܪܐ	bildɑrɑʔ
ܫܝܢܐ	ʃajnɑʔ
ܨܘܪܐ	sˤawrɑ
ܒܘܙܝܩܐ	buziqeʔ
ܕܝܘܐ	dajwe
ܫܘܡܗܐ	ʃummɑhɑʔ
ܫܘܢܝܐ	ʃuːnɑjɑ
ܟܪܬܐ	kərɑθɑʔ
ܩܝܡܬܐ	qəjɑmtɑ
ܕܒܫܐ	dɪwʃɑ
ܡܥܒܪܬܐ	maʕbərɑθɑʔ
ܗܓܝܢܐ	hɛɣjɑne
ܢܩܡܬܐ	nqamθɑ
ܐܓܢܐ	ʔaɡɡɑnɑʔ
ܡܪܙܦܬܐ	marzaftɑʔ
ܐܨܚܬܐ	ʔasˤaħħəθɑʔ
ܦܘܠܚܢܐ	pulħɑnɑʔ
ܡܘܬܒܐ	mawtəvɑʔ
ܝܩܪܘܪܐ	jaqrureʔ
ܦܘܫܩܐ	puʃʃɑqɑʔ
ܐܒܘܒܐ	ʔabbuve
ܥܝܠܐ	ʕileʔ
ܡܕܝܢܬܐ	məðittɑ
ܛܘܬ	tˤəwɑθ
ܒܨܪܐ	bɛsˤrɑʔ
ܐܟܣܢܝܬܐ	ʔaksənɑjtɑʔ
ܓܒܝܘܬܐ	ɡavjəwɑθɑ
ܟܘܪܗܢܐ	kurhɑnɑʔ
ܓܡܠܐ	ɡamlɑne
ܝܠܝܕܘܬܐ	ʔiliðuθɑʔ
ܫܡܐ	ʃəmɑʔ
ܟܦܢܐ	kafnɑʔ
ܬܢܘܪܐ	tanwɑrɑ
ܡܪܬܐ	mɛrrəθɑ
ܬܝܡܢܐ	tajmənɑʔ
ܐܓܪܐ	ʔaɣre
ܡܘܪܐ	moreʔ
ܝܪܝܥܬܐ	jɑriʕəθɑʔ
ܬܐܢܬܐ	teʔntɑ
ܝܪܩܢܐ	jarqɑnɑʔ
ܕܒܘܪܬܐ	dɛbbortɑʔ
ܟܫܛܐ	kəʃɑtˤɑʔ
ܥܘܩܒܪܐ	ʕuqɛvreʔ
ܕܝܠܝܘܬܐ	dilɑjwɑθɑ
ܒܙܚܐ	bɛzħe
ܢܙܝܬܐ	nɑziθɑʔ
ܩܫܝܫܐ	qaʃʃiʃɑ
ܣܢܚܪܝܒ	sanħɛrriv
ܩܒܘܪܐ	qɑvorɑʔ
ܡܠܠܐ	mallɑlɑʔ
ܐܣܝܬܐ	ʔɑsjɑθɑ
ܦܪܟܐ	pərɑxɑ
ܢܦܠ	nəfɛl
ܐܪܙܦܬܐ	ʔarzəfɑθɑʔ
