የሌሎች	jˈəlelot͡ʃ
ብረት	bˈɨrət
መስቀል	mˈəsɨk`əl
ደራስያን	dˈərasɨjan
የተሰኙት	jˈətəsəɲut
ኢትዮጵያን	ʔˈitɨjop`ɨjan
ኢንተርኔት	ʔˈinɨtərɨnet
የሚውሉ	jˈəmiwɨlu
ልጁ	lˈɨd͡ʒu
የመጣ	jˈəmət`a
ከቦታ	kˈəβota
ከሰው	kˈəsəw
በመጽሐፉ	bˈəmətsɨhafu
ተነስተው	tˈənəsɨtəw
ስደት	sˈɨdət
ሥፍራ	sˈɨfɨra
አረቢያ	ʔˈarəβija
ተረት	tˈərət
ኣጠቃቀም	ʔˈat`ək`ak`əm
የግንባታ	jˈəɡɨnɨβata
የብርሃንን	jˈəβɨrɨhanɨn
መልኩ	mˈəlɨku
ሰዎች	sˈəwot͡ʃ
ሰንሰለት	sˈənɨsələt
እንስሳት	ʔˈɨnɨsɨsat
ያልሆነ	jˈalɨhonə
ዘር	zˈər
እስቲ	ʔˈɨsɨti
ልምድ	lˈɨmɨd
መልክ	mˈəlɨk
በእንግሊዝኛ	bˈəʔɨnɨɡɨlizɨɲa
ባቡር	bˈaβur
ወሳኝ	wˈəsaɲ
ቆምጬ	k`ˈomɨt͡ʃ`e
መጫወት	mˈət͡ʃ`awət
ትንሽ	tˈɨnɨʃ
ብሔራዊ	bˈɨherawi
በርሳቸው	bˈərɨsat͡ʃəw
ሊኖሩ	lˈinoru
ከአሥራ	kˈəʔasɨra
ሕዝቡን	hˈɨzɨβun
ግምገማ	ɡˈɨmɨɡəma
ሁከት	hˈukət
የንግድ	jˈənɨɡɨd
በብዙ	bˈəβɨzu
ለሁለተኛ	lˈəhulətəɲa
የሚከተሉት	jˈəmikətəlut
መሀል	mˈəhal
ብሔሮች	bˈɨherot͡ʃ
ካረፈ	kˈarəfə
ዋነኛ	wˈanəɲa
በተካሄደው	bˈətəkahedəw
ክስተቶች	kˈɨsɨtətot͡ʃ
ንግሥት	nˈɨɡɨsɨt
ሻይ	ʃˈaj
ባጭሩ	bˈat͡ʃ`ɨru
ብሩስ	bˈɨrus
ይሠራ	jˈɨsəra
አስተዋፅኦ	ʔˈasɨtəwatsɨʔo
እንዴ	ʔˈɨnɨde
የሚሆኑ	jˈəmihonu
በባቢሎን	bˈəβaβilon
የክርስቶስ	jˈəkɨrɨsɨtos
የሚባለው	jˈəmiβaləw
ጀኔራል	d͡ʒˈəneral
የንጉሥ	jˈənɨɡus
ጌታችን	ɡˈetat͡ʃɨn
ይሙት	jˈɨmut
ፈንታ	fˈənɨta
ሁኔታ	hˈuneta
በሮማውያን	bˈəromawɨjan
የሚናገር	jˈəminaɡər
ጳጳሳት	p`ˈap`asat
ብላታ	bˈɨlata
ኬጥያውያን	kˈet`ɨjawɨjan
ኮከብ	kˈokəb
አርማ	ʔˈarɨma
ግብዣ	ɡˈɨβɨʒa
ቁመቱ	k`ˈumətu
ትራምፕ	tˈɨramɨp
ንግግር	nˈɨɡɨɡɨr
ሰሌዳ	sˈəleda
እዚህ	ʔˈɨziç
ምርምር	mˈɨrɨmɨr
ቫይረስ	vˈajɨrəs
ብርቱካን	bˈɨrɨtukan
በ	bˈə
ትምና	tˈɨmɨna
የጌታችን	jˈəɡetat͡ʃɨn
የትም	jˈətɨm
የጥበብ	jˈət`ɨβəb
የህክምና	jˈəhɨkɨmɨna
በተፈጥሮ	bˈətəfət`ɨro
ዮሐንስ	jˈohanɨs
ሴቶቹ	sˈetot͡ʃu
ሲኖሩ	sˈinoru
እየጨመረ	ʔˈɨjət͡ʃ`əmərə
ፈር	fˈər
የሚል	jˈəmil
በተደረገ	bˈətədərəɡə
የመሆን	jˈəməhon
ሄርኩሌስ	hˈerɨkules
ሐብለ	hˈaβɨlə
ዋሚ	wˈami
ኤላማውያን	ʔˈelamawɨjan
የግዴታ	jˈəɡɨdeta
ገነት	ɡˈənət
ንጉሣዊ	nˈɨɡusawi
በሆነ	bˈəhonə
በቃል	bˈək`al
ፋብሪካ	fˈaβɨrika
መምህር	mˈəmɨhɨr
ግምገማዎች	ɡˈɨmɨɡəmawot͡ʃ
ሰ	sˈə
ሥርወ	sˈɨrɨwə
ሲሰጥ	sˈisət`
የሚገኙ	jˈəmiɡəɲu
ወዴት	wˈədet
ከተማዎች	kˈətəmawot͡ʃ
የታተመው	jˈətatəməw
ለማወቅ	lˈəmawək`
በታሪካዊ	bˈətarikawi
ስለዚህም	sˈɨləzihɨm
ስዕል	sˈɨʔɨl
መጽሔት	mˈətsɨhet
የከተማዋ	jˈəkətəmawa
መጽሃፍ	mˈətsɨhaf
የስራ	jˈəsɨra
ደህንነት	dˈəhɨnɨnət
የፍልስፍና	jˈəfɨlɨsɨfɨna
ጻድቅ	tsˈadɨk`
ዳግም	dˈaɡɨm
የሬዲዮ	jˈəredijo
ሌላኛው	lˈelaɲaw
ሻለቃ	ʃˈalək`a
የሚናገረው	jˈəminaɡərəw
ከሌሎች	kˈəlelot͡ʃ
ዘመናት	zˈəmənat
በየቀኑ	bˈəjək`ənu
ይህም	jˈɨhɨm
በሁለቱ	bˈəhulətu
አስፈላጊነት	ʔˈasɨfəlaɡinət
ሆኑ	hˈonu
ዋናዎቹ	wˈanawot͡ʃu
አላት	ʔˈalat
አካል	ʔˈakal
ልዩ	lˈɨju
ራዲዮ	rˈadijo
ቀረ	k`ˈərə
ከሰኔ	kˈəsəne
አምልኮ	ʔˈamɨlɨko
ችግር	t͡ʃˈɨɡɨr
ከቅርብ	kˈək`ɨrɨb
ስሙን	sˈɨmun
ክለብ	kˈɨləb
ጎን	ɡˈon
ግንቦት	ɡˈɨnɨβot
ጎንደር	ɡˈonɨdər
ኮድ	kˈod
ዘላቂ	zˈəlak`i
ሰዎችም	sˈəwot͡ʃɨm
ጦር	t`ˈor
ኢትዮጵያውያን	ʔˈitɨjop`ɨjawɨjan
ስላለው	sˈɨlaləw
የኮሶ	jˈəkoso
ዕለተ	ʔˈɨlətə
በኤርትራ	bˈəʔerɨtɨra
አባታችን	ʔˈaβatat͡ʃɨn
ሃሙራቢ	hˈamuraβi
በቀዳሚ	bˈək`ədami
ፍጡራን	fˈɨt`uran
በሞት	bˈəmot
ሕንፃ	hˈɨnɨtsa
ዕውቅና	ʔˈɨwɨk`ɨna
በቀድሞው	bˈək`ədɨmow
እንዲያገኝ	ʔˈɨnɨdijaɡəɲ
በጦርነቱ	bˈət`orɨnətu
እርምጃ	ʔˈɨrɨmɨd͡ʒa
ነህ	nˈəx
ለትምህርት	lˈətɨmɨhɨrɨt
ለአንተ	lˈəʔanɨtə
በማሸነፍ	bˈəmaʃənəf
የአለም	jˈəʔaləm
መሆኑን	mˈəhonun
ሰዐወ	sˈəʔawə
ባዮች	bˈajot͡ʃ
ፈተና	fˈətəna
ብቸኛው	bˈɨt͡ʃəɲaw
ጤንነት	t`ˈenɨnət
መስፍን	mˈəsɨfɨn
የርሱ	jˈərɨsu
ለማጥፋት	lˈəmat`ɨfat
ወዲያ	wˈədija
በአገር	bˈəʔaɡər
መለየት	mˈələjət
ይህን	jˈɨhɨn
ቅሉ	k`ˈɨlu
ዳግማዊ	dˈaɡɨmawi
ውቅያኖስ	wˈɨk`ɨjanos
ተልእኮ	tˈəlɨʔɨko
ኪም	kˈim
በጠቅላላ	bˈət`ək`ɨlala
ወይም	wˈəjɨm
ተጫዋች	tˈət͡ʃ`awat͡ʃ
በስተቀር	bˈəsɨtək`ər
መሆናቸው	mˈəhonat͡ʃəw
ልማት	lˈɨmat
አስተዳደር	ʔˈasɨtədadər
ተወላጅ	tˈəwəlad͡ʒ
ማእከል	mˈaʔɨkəl
በማቅረብ	bˈəmak`ɨrəb
አባላት	ʔˈaβalat
ፍለጋ	fˈɨləɡa
ትምሕርት	tˈɨmɨhɨrɨt
በፈረንሳይ	bˈəfərənɨsaj
የዓመቱ	jˈəʔamətu
መቸም	mˈət͡ʃəm
ወንድም	wˈənɨdɨm
ሙከራ	mˈukəra
እስጢፋኖስ	ʔˈɨsɨt`ifanos
ቡድንንና	bˈudɨnɨnɨna
በመቀጠል	bˈəmək`ət`əl
ብርሃኑ	bˈɨrɨhanu
ሰላም	sˈəlam
በእነዚህ	bˈəʔɨnəziç
በዚህም	bˈəzihɨm
ሥራው	sˈɨraw
የውጭ	jˈəwɨt͡ʃ`
ተማሪ	tˈəmari
በቅርብ	bˈək`ɨrɨb
ሁለቱንም	hˈulətunɨm
ቡድኖች	bˈudɨnot͡ʃ
ጋ	ɡˈa
አዳራሽ	ʔˈadaraʃ
ሞክሼ	mˈokɨʃe
ጉዳዮች	ɡˈudajot͡ʃ
አዛዥ	ʔˈazaʒ
ስለሌለ	sˈɨləlelə
በሌሎች	bˈəlelot͡ʃ
በግብጽ	bˈəɡɨβɨts
ፊደሎች	fˈidəlot͡ʃ
የአሦር	jˈəʔasor
ፈጣን	fˈət`an
እንዳሉ	ʔˈɨnɨdalu
መቼ	mˈət͡ʃe
ወንድማቸው	wˈənɨdɨmat͡ʃəw
ር	rˈɨ
ሌባ	lˈeβa
የወጣ	jˈəwət`a
የትውልድ	jˈətɨwɨlɨd
እንቅስቃሴ	ʔˈɨnɨk`ɨsɨk`ase
ድሮ	dˈɨro
በቀኝ	bˈək`əɲ
አናባቢ	ʔˈanaβaβi
መካነ	mˈəkanə
ሶስት	sˈosɨt
ገጽ	ɡˈəts
ንጥረ	nˈɨt`ɨrə
ውኃ	wˈɨha
ላቲን	lˈatin
ብልት	bˈɨlɨt
አብሮ	ʔˈaβɨro
ጥረት	t`ˈɨrət
ህግጋት	hˈɨɡɨɡat
እንኳን	ʔˈɨnɨkwan
ጣልያንን	t`ˈalɨjanɨn
በዳ	bˈəda
በተያያዘ	bˈətəjajazə
ቀዳማዊ	k`ˈədamawi
ዞን	zˈon
መግለጫ	mˈəɡɨlət͡ʃ`a
ካለው	kˈaləw
ለመሆን	lˈəməhon
የሚወክል	jˈəmiwəkɨl
ገዢ	ɡˈəʒi
ምንትዋብ	mˈɨnɨtɨwab
ውጪ	wˈɨt͡ʃ`i
ሌሎችን	lˈelot͡ʃɨn
አምባሳደር	ʔˈamɨβasadər
የፖለቲካ	jˈəpolətika
ሰማያዊ	sˈəmajawi
ብሎም	bˈɨlom
የቀርከሃ	jˈək`ərɨkəha
ክቡር	kˈɨβur
ንግስት	nˈɨɡɨsɨt
ዴሞክራሲያዊ	dˈemokɨrasijawi
በእግር	bˈəʔɨɡɨr
የአረመኔ	jˈəʔarəməne
ምድረ	mˈɨdɨrə
ዝነኛ	zˈɨnəɲa
በሆነው	bˈəhonəw
ማክ	mˈak
አፍሪካ	ʔˈafɨrika
አዕምሮ	ʔˈaʔɨmɨro
ከጥቂት	kˈət`ɨk`it
በቂ	bˈək`i
የጎንደር	jˈəɡonɨdər
ያደረጉ	jˈadərəɡu
የተዘጋጁ	jˈətəzəɡad͡ʒu
የጊዜ	jˈəɡize
በጻፈው	bˈətsafəw
ጭራ	t͡ʃ`ˈɨra
ከሞት	kˈəmot
ይልቅ	jˈɨlɨk`
ኤን	ʔˈen
ወንዶች	wˈənɨdot͡ʃ
የራሳቸው	jˈərasat͡ʃəw
እጁን	ʔˈɨd͡ʒun
የደብረ	jˈədəβɨrə
ተመልሰው	tˈəməlɨsəw
የራሱን	jˈərasun
ነበረ	nˈəβərə
ውድቀት	wˈɨdɨk`ət
ክፍተት	kˈɨfɨtət
ከባቢ	kˈəβaβi
ምልክቶችን	mˈɨlɨkɨtot͡ʃɨn
ከሌላው	kˈəlelaw
ካሳ	kˈasa
ኣበራ	ʔˈaβəra
በሕንድ	bˈəhɨnɨd
ሠንጠረዥ	sˈənɨt`ərəʒ
ተራራ	tˈərara
በክልሉ	bˈəkɨlɨlu
አብዛኛው	ʔˈaβɨzaɲaw
በንጉሡ	bˈənɨɡusu
ሊባል	lˈiβal
መመለስ	mˈəmələs
ተከታዮቹ	tˈəkətajot͡ʃu
ሴማዊ	sˈemawi
የነበሩትን	jˈənəβərutɨn
አምስት	ʔˈamɨsɨt
ተክሌ	tˈəkɨle
ድርጊት	dˈɨrɨɡit
ፓተንት	pˈatənɨt
ታሪክ	tˈarik
አካላዊ	ʔˈakalawi
ተፈጥሮአዊ	tˈəfət`ɨroʔawi
መጻሕፍትን	mˈətsahɨfɨtɨn
የገዛ	jˈəɡəza
ውስጡ	wˈɨsɨt`u
እህት	ʔˈɨhɨt
መዲና	mˈədina
በጋዜጠኝነት	bˈəɡazet`əɲɨnət
ሲሆኑ	sˈihonu
ባደረጉት	bˈadərəɡut
መኖሪያ	mˈənorija
በሚከተሉት	bˈəmikətəlut
ማነስ	mˈanəs
እንዲሁም	ʔˈɨnɨdihum
ማይል	mˈajɨl
ሲመጣ	sˈimət`a
አንድነት	ʔˈanɨdɨnət
እቃ	ʔˈɨk`a
ባለበት	bˈaləβət
ግንዛቤ	ɡˈɨnɨzaβe
አብዛኛውን	ʔˈaβɨzaɲawɨn
ምስል	mˈɨsɨl
ቀበሌ	k`ˈəβəle
ቤተሠብ	bˈetəsəb
ስሜን	sˈɨmen
መያዝ	mˈəjaz
ጌታዬ	ɡˈetaje
ወጣት	wˈət`at
ወደኋላ	wˈədəhwala
ያክል	jˈakɨl
ውጤቶች	wˈɨt`etot͡ʃ
ከጥፋት	kˈət`ɨfat
ዲሞክራሲያዊ	dˈimokɨrasijawi
ጉባዔ	ɡˈuβaʔe
አርበኛ	ʔˈarɨβəɲa
እሺ	ʔˈɨʃi
አሉት	ʔˈalut
ላለፉት	lˈaləfut
የሂሳብ	jˈəhisab
እስረኛ	ʔˈɨsɨrəɲa
አሁን	ʔˈahun
ለመግደል	lˈəməɡɨdəl
ድንጋጌ	dˈɨnɨɡaɡe
ትንሹ	tˈɨnɨʃu
ነገሠ	nˈəɡəsə
የመሳሰሉ	jˈəməsasəlu
በኩፋሌ	bˈəkufale
አገልጋይ	ʔˈaɡəlɨɡaj
አክልበ	ʔˈakɨlɨβə
ዙፋኑን	zˈufanun
ደብረ	dˈəβɨrə
ከነበሩ	kˈənəβəru
የሚረዳ	jˈəmirəda
አሰራር	ʔˈasərar
ደ	dˈə
የጥንቱ	jˈət`ɨnɨtu
ታይ	tˈaj
ልጇ	lˈɨd͡ʒwa
ልደት	lˈɨdət
ዩኒኮድ	jˈunikod
የሆነ	jˈəhonə
አንደኛ	ʔˈanɨdəɲa
ጳውሎስ	p`ˈawɨlos
በሚገኘው	bˈəmiɡəɲəw
ሪፐብሊክ	rˈipəβɨlik
ተስፋዬ	tˈəsɨfaje
የቁጥር	jˈək`ut`ɨr
ማድረግ	mˈadɨrəɡ
መንግስቱ	mˈənɨɡɨsɨtu
በመስራት	bˈəməsɨrat
የሚከተለው	jˈəmikətələw
የመላእክት	jˈəməlaʔɨkɨt
በተባለ	bˈətəβalə
ወስደው	wˈəsɨdəw
የሁሉም	jˈəhulum
አንጻር	ʔˈanɨtsar
የዚህን	jˈəzihɨn
ወዳጅ	wˈədad͡ʒ
እንዲኖረው	ʔˈɨnɨdinorəw
ናቸው	nˈat͡ʃəw
ገዥ	ɡˈəʒ
የ	jˈə
ምድር	mˈɨdɨr
የባሕር	jˈəβahɨr
ታይፕራይተር	tˈajɨpɨrajɨtər
አንዱ	ʔˈanɨdu
ልቦለድ	lˈɨβoləd
ሁለቱም	hˈulətum
ቆየ	k`ˈojə
ምክትል	mˈɨkɨtɨl
ማርሻል	mˈarɨʃal
እንዲገባ	ʔˈɨnɨdiɡəβa
አንስቶ	ʔˈanɨsɨto
የሀገሩ	jˈəhaɡəru
በፖለቲካ	bˈəpolətika
ማዘንጊያ	mˈazənɨɡija
ከነርሱ	kˈənərɨsu
ነጋዴ	nˈəɡade
በማድረግ	bˈəmadɨrəɡ
ነገድ	nˈəɡəd
የሚሰጥ	jˈəmisət`
ዝርያዎች	zˈɨrɨjawot͡ʃ
የክርስትና	jˈəkɨrɨsɨtɨna
እያንዳንዱን	ʔˈɨjanɨdanɨdun
እዚያም	ʔˈɨzijam
አዲስ	ʔˈadis
ሀይሉ	hˈajɨlu
ህመም	hˈɨməm
ጥቅሞች	t`ˈɨk`ɨmot͡ʃ
ሰአት	sˈəʔat
መልሶ	mˈəlɨso
የተሰራ	jˈətəsəra
የሚመራ	jˈəmiməra
ስጋ	sˈɨɡa
እንግሊዝኛ	ʔˈɨnɨɡɨlizɨɲa
አኩሪ	ʔˈakuri
ያደረገ	jˈadərəɡə
የወጣው	jˈəwət`aw
ከመሆኑ	kˈəməhonu
አይሆንም	ʔˈajɨhonɨm
ተጓዥ	tˈəɡwaʒ
ስሙም	sˈɨmum
ስልክ	sˈɨlɨk
መብራት	mˈəβɨrat
ከዛም	kˈəzam
ሞላ	mˈola
ወገኖች	wˈəɡənot͡ʃ
ንጉሡን	nˈɨɡusun
ሳይሆኑ	sˈajɨhonu
የተረፉት	jˈətərəfut
ወንዶችና	wˈənɨdot͡ʃɨna
ኳስ	kwˈas
ነበረበት	nˈəβərəβət
የት	jˈət
ዘመቻዎች	zˈəmət͡ʃawot͡ʃ
ተፅዕኖ	tˈətsɨʔɨno
ኤል	ʔˈel
አመነምሃት	ʔˈamənəmɨhat
ፕሮፌሰር	pˈɨrofesər
ማናቸውም	mˈanat͡ʃəwɨm
ተወስዶ	tˈəwəsɨdo
ቢሆንም	bˈihonɨm
ብዙም	bˈɨzum
ሐሣዊ	hˈasawi
ክርስቲያኑ	kˈɨrɨsɨtijanu
በሴት	bˈəset
ሥርዓት	sˈɨrɨʔat
ክረምት	kˈɨrəmɨt
ከጎን	kˈəɡon
ባሕርይ	bˈahɨrɨj
የአካባቢውን	jˈəʔakaβaβiwɨn
ኅልው	hˈɨlɨw
ጥራት	t`ˈɨrat
አሕዛብ	ʔˈahɨzab
ለፊት	lˈəfit
አንድም	ʔˈanɨdɨm
ከነብዩ	kˈənəβɨju
ቅዱስን	k`ˈɨdusɨn
እንዳሉት	ʔˈɨnɨdalut
የእጅ	jˈəʔɨd͡ʒ
ዓመት	ʔˈamət
ገብረ	ɡˈəβɨrə
ራዕይ	rˈaʔɨj
ያለውን	jˈaləwɨn
በተግባር	bˈətəɡɨβar
አንዳንዶቹ	ʔˈanɨdanɨdot͡ʃu
ሊገኙ	lˈiɡəɲu
ታላላቅ	tˈalalak`
ባል	bˈal
ከቤት	kˈəβet
አቡነ	ʔˈaβunə
ፍርድ	fˈɨrɨd
ጊዜም	ɡˈizem
ሳምንታት	sˈamɨnɨtat
ኛው	ɲˈaw
ባንዲራ	bˈanɨdira
እንዲህም	ʔˈɨnɨdihɨm
የአካባቢው	jˈəʔakaβaβiw
የሚቆጠሩ	jˈəmik`ot`əru
ሶበክሆተፕ	sˈoβəkɨhotəp
ፊደሉ	fˈidəlu
ኤርትራ	ʔˈerɨtɨra
ሐሳብ	hˈasab
የመሰለ	jˈəməsələ
እኚህ	ʔˈɨɲiç
የተወለደ	jˈətəwələdə
ተቋም	tˈək`wam
እንደዚህ	ʔˈɨnɨdəziç
አገሪቱ	ʔˈaɡəritu
የባህር	jˈəβahɨr
ለውጦች	lˈəwɨt`ot͡ʃ
ቆዳ	k`ˈoda
ግብር	ɡˈɨβɨr
ኪሎ	kˈilo
የሚባለውን	jˈəmiβaləwɨn
የሚደርስ	jˈəmidərɨs
በበኩሉ	bˈəβəkulu
ግሪኮች	ɡˈɨrikot͡ʃ
የባቡር	jˈəβaβur
መብቶች	mˈəβɨtot͡ʃ
ለሌሎች	lˈəlelot͡ʃ
እያለ	ʔˈɨjalə
የደቡብ	jˈədəβub
የሚጠራው	jˈəmit`əraw
የወረዱት	jˈəwərədut
የግብፅ	jˈəɡɨβɨts
ዋነኛው	wˈanəɲaw
የመሳሰሉት	jˈəməsasəlut
አጼ	ʔˈatse
ሌላ	lˈela
በተባለው	bˈətəβaləw
ሳይንሳዊ	sˈajɨnɨsawi
ቀጥተኛ	k`ˈət`ɨtəɲa
ኤንመርካር	ʔˈenɨmərɨkar
ቢሆኑም	bˈihonum
ሀብት	hˈaβɨt
የመኪና	jˈəməkina
የሁለተኛ	jˈəhulətəɲa
በመጋቢት	bˈəməɡaβit
ገዝቶ	ɡˈəzɨto
የቀይ	jˈək`əj
ከእርሱ	kˈəʔɨrɨsu
የእስልምና	jˈəʔɨsɨlɨmɨna
ጥሪ	t`ˈɨri
ዕረፍት	ʔˈɨrəfɨt
ዓመታቸው	ʔˈamətat͡ʃəw
ስራ	sˈɨra
በመጽሐፍ	bˈəmətsɨhaf
ሁሴን	hˈusen
ዐዋጅ	ʔˈawad͡ʒ
አስራ	ʔˈasɨra
ልሳናት	lˈɨsanat
ትዝ	tˈɨz
መዋዕል	mˈəwaʔɨl
ሕብረት	hˈɨβɨrət
ይሄውም	jˈɨhewɨm
በእርግጥ	bˈəʔɨrɨɡɨt`
ግዙፍ	ɡˈɨzuf
ይባል	jˈɨβal
ሄክታር	hˈekɨtar
ታሪኩ	tˈariku
መርዝ	mˈərɨz
ነብዩ	nˈəβɨju
ስልኮች	sˈɨlɨkot͡ʃ
ለሞት	lˈəmot
ንዑስ	nˈɨʔus
ያው	jˈaw
ሜዳ	mˈeda
ሰሜናዊ	sˈəmenawi
ለተወሰነ	lˈətəwəsənə
ሳምንት	sˈamɨnɨt
ዲግሪ	dˈiɡɨri
ዝርዝር	zˈɨrɨzɨr
የኖረ	jˈənorə
ዙፋን	zˈufan
መክተብ	mˈəkɨtəb
ትምህርቶች	tˈɨmɨhɨrɨtot͡ʃ
በጥሩ	bˈət`ɨru
ኑሮ	nˈuro
የአላህ	jˈəʔalax
ጣልያኖች	t`ˈalɨjanot͡ʃ
በዘመናት	bˈəzəmənat
ጭንቀት	t͡ʃ`ˈɨnɨk`ət
አረንጓዴ	ʔˈarənɨɡwade
በግዞት	bˈəɡɨzot
ቢያንስ	bˈijanɨs
ቅጂዎች	k`ˈɨd͡ʒiwot͡ʃ
ገላነሽ	ɡˈəlanəʃ
ጽፎ	tsˈɨfo
የሚያመለክት	jˈəmijamələkɨt
ፓትርያርክ	pˈatɨrɨjarɨk
ባርነት	bˈarɨnət
ፍሰት	fˈɨsət
የተሰኘውን	jˈətəsəɲəwɨn
የሚታወቅ	jˈəmitawək`
መገኘት	mˈəɡəɲət
ይዞ	jˈɨzo
ወለል	wˈələl
በዚያው	bˈəzijaw
ተሠርቶ	tˈəsərɨto
አንጄሎ	ʔˈanɨd͡ʒelo
በሸንጎ	bˈəʃənɨɡo
ገጾች	ɡˈətsot͡ʃ
ሕጋዊ	hˈɨɡawi
የነገሠው	jˈənəɡəsəw
ለእርሱ	lˈəʔɨrɨsu
በስሕተት	bˈəsɨhɨtət
ስብስቦች	sˈɨβɨsɨβot͡ʃ
ስያሜዎች	sˈɨjamewot͡ʃ
ጋዝ	ɡˈaz
በተባለች	bˈətəβalət͡ʃ
መጋቢት	mˈəɡaβit
ክርስቲያናት	kˈɨrɨsɨtijanat
አገሩን	ʔˈaɡərun
ለብቻው	lˈəβɨt͡ʃaw
ኪንግ	kˈinɨɡ
ጠረፍ	t`ˈərəf
ወንዞች	wˈənɨzot͡ʃ
አፈ	ʔˈafə
በሰፊ	bˈəsəfi
በብሔራዊ	bˈəβɨherawi
አርበኞች	ʔˈarɨβəɲot͡ʃ
የሆኑ	jˈəhonu
የተጻፉ	jˈətətsafu
ሌሎችንም	lˈelot͡ʃɨnɨm
ለረጅም	lˈərəd͡ʒɨm
ጊዘ	ɡˈizə
ይሉት	jˈɨlut
ለብዙ	lˈəβɨzu
የቤት	jˈəβet
ቀበሌዎች	k`ˈəβəlewot͡ʃ
ጥበብን	t`ˈɨβəβɨn
አማካኝነት	ʔˈamakaɲɨnət
ስሜት	sˈɨmet
እናታቸው	ʔˈɨnatat͡ʃəw
ግድም	ɡˈɨdɨm
ደብር	dˈəβɨr
ለእግዚአብሔር	lˈəʔɨɡɨziʔaβɨher
ፈጽሞ	fˈətsɨmo
እንዲኖር	ʔˈɨnɨdinor
ወይ	wˈəj
ጽዮን	tsˈɨjon
ዕቃ	ʔˈɨk`a
ግን	ɡˈɨn
ብላ	bˈɨla
ፆታ	tsˈota
የሚችሉ	jˈəmit͡ʃɨlu
ከተማ	kˈətəma
መጀመሪያ	mˈəd͡ʒəmərija
አንዳንዴም	ʔˈanɨdanɨdem
ውክሉ	wˈɨkɨlu
ሚናስ	mˈinas
የመጣውን	jˈəmət`awɨn
ክፍለመደብ	kˈɨfɨləmədəb
በላቲን	bˈəlatin
ሞገድ	mˈoɡəd
አሁንም	ʔˈahunɨm
በመቀጠልም	bˈəmək`ət`əlɨm
መንበር	mˈənɨβər
በደም	bˈədəm
መንገዱ	mˈənɨɡədu
በልዩ	bˈəlɨju
ሰነዶች	sˈənədot͡ʃ
የሚኖሩት	jˈəminorut
የወረዳው	jˈəwərədaw
ረድፍ	rˈədɨf
ልክ	lˈɨk
ተክሉ	tˈəkɨlu
ይህች	jˈɨhɨt͡ʃ
በመውሰድ	bˈəməwɨsəd
ብዜት	bˈɨzet
እንዳላቸው	ʔˈɨnɨdalat͡ʃəw
ተለይቶ	tˈələjɨto
ሶፍትዌር	sˈofɨtɨwer
ሥራዊት	sˈɨrawit
መሣሪያዎች	mˈəsarijawot͡ʃ
ውግያ	wˈɨɡɨja
ደጅ	dˈəd͡ʒ
በውስጡ	bˈəwɨsɨt`u
በኦሮምኛ	bˈəʔoromɨɲa
ረዥም	rˈəʒɨm
እገዛ	ʔˈɨɡəza
ጸጥታ	tsˈət`ɨta
ቋንቋን	k`wˈanɨk`wan
የሚያሳየው	jˈəmijasajəw
መዋቅር	mˈəwak`ɨr
ዘፋኝ	zˈəfaɲ
ጀምረው	d͡ʒˈəmɨrəw
ይሄ	jˈɨhe
ታቦር	tˈaβor
ክፉ	kˈɨfu
መቆጣጠር	mˈək`ot`at`ər
ሲጓዝ	sˈiɡwaz
ርዕሰ	rˈɨʔɨsə
በአገሪቱ	bˈəʔaɡəritu
መሠረተ	mˈəsərətə
ፀሓይ	tsˈəhaj
ባለው	bˈaləw
በርሱ	bˈərɨsu
ዕውነተኛ	ʔˈɨwɨnətəɲa
ሙቀት	mˈuk`ət
ቀጥ	k`ˈət`
እንዲመጣ	ʔˈɨnɨdimət`a
በርግጥ	bˈərɨɡɨt`
ተገዥ	tˈəɡəʒ
ሎሬንዞ	lˈorenɨzo
መፍትሔ	mˈəfɨtɨhe
የፈረንሳይ	jˈəfərənɨsaj
የሚውል	jˈəmiwɨl
ቦታ	bˈota
ሊያስከትል	lˈijasɨkətɨl
ጀርመናዊ	d͡ʒˈərɨmənawi
የሰላም	jˈəsəlam
ኤ	ʔˈe
አይርላንድን	ʔˈajɨrɨlanɨdɨn
በመጨመር	bˈəmət͡ʃ`əmər
ሹመት	ʃˈumət
ጠቅላይ	t`ˈək`ɨlaj
ገብቶ	ɡˈəβɨto
ቢሆን	bˈihon
ስራወች	sˈɨrawət͡ʃ
መሰረተ	mˈəsərətə
ተጠቃሚዎች	tˈət`ək`amiwot͡ʃ
ዳኛ	dˈaɲa
ሰማዕት	sˈəmaʔɨt
መካ	mˈəka
ሳባ	sˈaβa
ሱልጣን	sˈulɨt`an
መቀመጫ	mˈək`əmət͡ʃ`a
የሁለት	jˈəhulət
እስካሁን	ʔˈɨsɨkahun
ሕዝብ	hˈɨzɨb
ተባለ	tˈəβalə
ተጫዋቾች	tˈət͡ʃ`awat͡ʃot͡ʃ
ደረጃውን	dˈərəd͡ʒawɨn
ተፈሪ	tˈəfəri
ሲመለሱ	sˈimələsu
መንገዶች	mˈənɨɡədot͡ʃ
አል	ʔˈal
የተለያየ	jˈətələjajə
አበበ	ʔˈaβəβə
በባሕር	bˈəβahɨr
የማዕረግ	jˈəmaʔɨrəɡ
ሠው	sˈəw
መጽሀፍ	mˈətsɨhaf
