portbagaj	portbaɡaʒ
câinii	kɨjnij
creatină	kreatinə
nedecapotabil	nedekapotabil
avorton	avorton
pastelizat	pastelizat
înmormânta	ɨnmormɨnta
redispărea	redispərĕa
argintos	ardʒintos
odiozitate	odiozitate
caro	karo
reducem	redutʃem
neintegrat	neinteɡrat
dudgeonare	duddʒeonare
armele	armele
fișe	fiʃe
fortissimo	fortis̩imo
orbălțit	orbəltsit
fușalău	fuʃaləw
înmoina	ɨnmojna
luni	lunʲ
învinui	ɨnvinui
sahan	sahan
cablaj	kablaʒ
tadici	taditʃʲ
barbetă	barbetə
erau	eraw
apuntizare	apuntizare
ascomicetă	askomitʃetə
înghețată	ɨngʲ̩etsatə
remixare	remiksare
găsește	ɡəseʃte
filadă	filadə
trog	troɡ
ienibahar	jenibahar
mesager	mesadʒer
neascultare	neaskultare
întăreau	ɨntərjaw
cocteil	koktejl
ana	ana
comatos	komatos
fotel	fotel
prielnic	prijelnik
frunte	frunte
prefixoidal	prefiksoidal
grăbește	ɡrəbeʃte
indexare	indeksare
învietor	ɨnvietor
tipografic	tipoɡrafik
burlan	burlan
sâcret	sɨkret
șomoltoc	ʃomoltok
tribazic	tribazik
neclintire	neklintire
virtuos	virtuos
maclă	maklə
iperită	iperitə
utilat	utilat
spectrografic	spektroɡrafik
trahee	trahee
repertoriere	repertorijere
fumaserăm	fumaserəm
profiriu	profiriw
hostie	hostije
interpretațiune	interpretatsiune
diafaniza	diafaniza
romanizare	romanizare
veston	veston
mișcarea	miʃkarĕa
onănăit	onənəit
paradosit	paradosit
denotativ	denotativ
distrugere	distrudʒere
gladium	ɡladium
rătunzit	rətunzit
fereastră	ferĕastrə
ursire	ursire
croncăire	kronkəire
vetrișoară	vetriʃŏarə
nefidelitate	nefidelitate
mulgere	muldʒere
dreptar	dreptar
tragedie	tradʒedije
intuitiv	intuitiv
coșmarul	koʃmarul
acetilenic	atʃetilenik
gentilom	dʒentilom
rumeniu	rumeniw
reglementa	reɡlementa
degonflat	deɡonflat
bacanală	bakanalə
siderofil	siderofil
garderob	ɡarderob
balcan	balkan
manipulat	manipulat
cooperativizare	kooperativizare
havat	havat
ros	ros
comandir	komandir
expansibil	ekspansibil
frizare	frizare
nuți	nutsʲ
brustur	brustur
stătea	stətĕa
copios	kopios
bejenaru	beʒenaru
asanare	asanare
enătescu	enətesku
frecaserăți	frekaserət͡sʲ
panificație	panifikatsije
fiziopatologic	fiziopatolodʒik
roi	roj
reciclare	retʃiklare
vitejește	viteʒeʃte
centralist	tʃentralist
servus	servus
deviz	deviz
păcălire	pəkəlire
podelele	podelele
prelucrabil	prelukrabil
deplorat	deplorat
cunoscător	kunoskətor
histotom	histotom
claustrofobie	klaustrofobije
peticel	petitʃel
aplazie	aplazije
semicivilizație	semitʃivilizatsije
cistoid	tʃistoid
sart	sart
nesatisfacție	nesatisfaktsije
înfășa	ɨnfəʃa
fitosterol	fitosterol
piscoi	piskoj
eventrație	eventratsije
radioprotecție	radioprotektsije
amfibrahic	amfibrahik
ilegal	ileɡal
mânuit	mɨnuit
aubadă	aubadə
camforat	kamforat
sonolocație	sonolokatsije
catometru	katometru
consemnațiune	konsemnatsiune
vehicula	vehikula
muntișor	muntiʃor
rarificare	rarifikare
șasă	ʃasə
reordonanțat	reordonantsat
fitosociologie	fitosotʃiolodʒije
tracomanie	trakomanije
săpălugă	səpəluɡə
dânduși	dɨnduʃʲ
consecvent	konsekvent
conectabil	konektabil
următorul	urmətorul
potpuriu	potpuriw
carbometru	karbometru
făcând	fəkɨnd
slovenele	slovenele
târâtură	tɨrɨturə
analgezic	analdʒezik
declinare	deklinare
aho	aho
arhierie	arhijerije
catalpă	katalpə
anatexie	anateksije
plebiscitar	plebistʃitar
scâncitură	skɨntʃiturə
tejgheluță	teʒgʲ̩elutsə
trohanter	trohanter
cauliflorie	kauliflorije
bufant	bufant
vedic	vedik
horticultor	hortikultor
cocaină	kokajnə
importațiune	importatsiune
chihăit	kʲ̩ihəit
preta	preta
calificative	kalifikative
alfanumeric	alfanumerik
proțapul	protsapul
cardiologie	kardiolodʒije
buteanu	butĕanu
proposta	proposta
formate	formate
eleganță	eleɡantsə
arteriolă	arteriolə
pubelă	pubelə
bogăție	boɡətsije
converge	konverdʒe
mineralizat	mineralizat
fecalom	fekalom
exert	eksert
echivala	ekʲ̩ivala
hibridiza	hibridiza
salvamontist	salvamontist
lampisterie	lampisterije
navighează	navigʲ̩̩azə
nomogramă	nomoɡramə
felației	felatsiej
litografia	litoɡrafija
coprologic	koprolodʒik
retez	retez
păpușoi	pəpuʃoj
insociabil	insotʃiabil
necurăție	nekurətsije
distonant	distonant
hipotalamus	hipotalamus
kevlar	kʲevlar
smulge	smuldʒe
văgaș	vəɡaʃ
înaurare	ɨnaurare
picamăr	pikamər
solvatare	solvatare
urmăritor	urməritor
fotocromie	fotokromije
călărășeancă	kələrəʃĕankə
autentice	autentitʃe
șafar	ʃafar
lipidemie	lipidemije
cubat	kubat
tracic	tratʃik
bluzon	bluzon
tologire	tolodʒire
laminor	laminor
maselotă	maselotə
butucănos	butukənos
ilot	ilot
devenire	devenire
irefutabilitate	irefutabilitate
eleveză	elevezə
pufăire	pufəire
pneumotrop	pneumotrop
decoromanie	dekoromanije
agățătoare	aɡətsətŏare
transgresiune	transɡresiune
ușchit	uʃkʲ̩it
potâng	potɨnɡ
oleografie	oleoɡrafije
picrit	pikrit
zăpăceală	zəpətʃ̩alə
boulea	boulĕa
condeier	kondejer
mielom	mijelom
rentare	rentare
pilotarea	pilotarĕa
bacilar	batʃilar
pediogeneză	pediodʒenezə
măgură	məɡurə
sumbru	sumbru
globit	ɡlobit
ecluzare	ekluzare
detonabil	detonabil
sâmbovin	sɨmbovin
olimpianism	olimpianism
sericicultor	seritʃikultor
afectată	afektatə
scârțiitoare	skɨrtsijitŏare
medicamentele	medikamentele
brâncuș	brɨnkuʃ
păstrare	pəstrare
gestual	dʒestuwal
jucăuș	ʒukəuʃ
proclamare	proklamare
modest	modest
morar	morar
carbonifer	karbonifer
ventila	ventila
vespasiană	vespasijanə
ghermenea	gʲ̩ermenĕa
divorțare	divortsare
antichității	antikʲ̩itətsij
numeros	numeros
titraj	titraʒ
linon	linon
conturnare	konturnare
micromicron	mikromikron
utilizatorului	utilizatoruluj
scriitorului	skrijitoruluj
necunoștință	nekunoʃtintsə
căpcăun	kəpkəun
bodea	bodĕa
șezătoare	ʃezətŏare
triglif	triɡlif
întâlnești	ɨntɨlneʃtʲ
fotosensibil	fotosensibil
ieșeau	jeʃĕaw
descătărămat	deskətərəmat
măslinar	məslinar
tele	tele
vezică	vezikə
hangiță	handʒitsə
atomizat	atomizat
chibițare	kʲ̩ibitsare
polua	poluwa
contractură	kontrakturə
egrena	eɡrena
pogace	poɡatʃe
japonolog	ʒaponoloɡ
destoarce	destŏartʃe
înaintea	ɨnaintĕa
amovibil	amovibil
distrus	distrus
neajunsuri	neaʒunsurʲ
paveliuc	paveljuk
nuce	nutʃe
multiflor	multiflor
pețire	petsire
locația	lokatsija
întețit	ɨntetsit
fideism	fideism
exegeză	eksedʒezə
culpabilizat	kulpabilizat
muțunache	mutsunakʲ̩e
reocupare	reokupare
paragogă	paraɡoɡə
năcaz	nəkaz
dancu	danku
țarnă	tsarnə
nitrificator	nitrifikator
cădire	kədire
lexicon	leksikon
veterinar	veterinar
solicitat	solitʃitat
condotier	kondotijer
obiectiv	objektiv
poimâine	pojmɨjne
incizat	intʃizat
profir	profir
mineralog	mineraloɡ
odorifer	odorifer
oferit	oferit
digera	didʒera
pansea	pansĕa
siropa	siropa
fotbalul	fotbalul
bătea	bətĕa
miai	mjaj
colită	kolitə
împăturire	ɨmpəturire
vidat	vidat
semicocsificare	semikoksifikare
adevărului	adevəruluj
cotidiană	kotidijanə
constatator	konstatator
ghimiș	gʲ̩imiʃ
spinobulbar	spinobulbar
penis	penis
întrevăzut	ɨntrevəzut
micolog	mikoloɡ
strunjit	strunʒit
bădic	bədik
monadelf	monadelf
meteoropat	meteoropat
cioculeț	tʃ̩okulets
fototerapie	fototerapije
insolație	insolatsije
macadam	makadam
așeza	aʃeza
oftat	oftat
pleiadă	plejadə
scud	skud
jalet	ʒalet
trata	trata
hipnotiza	hipnotiza
gimnastic	dʒimnastik
susțină	sustsinə
năstrapă	nəstrapə
convingere	konvindʒere
condroniu	kondronju
crohmală	krohmalə
clinicii	klinitʃij
popicăreasă	popikərĕasə
holdiță	holditsə
tâmpire	tɨmpire
coropcar	koropkar
repertorizare	repertorizare
cășunare	kəʃunare
ciorovăire	tʃ̩orovəire
levițchi	levitskʲ̩i
hematină	hematinə
lactofiltru	laktofiltru
pompist	pompist
branț	brants
evazare	evazare
monocinetic	monotʃinetik
bioconștiință	biokonʃtijintsə
narcisiac	nartʃisiak
piturare	piturare
nesubordonat	nesubordonat
reconcilia	rekontʃilija
răscăcărare	rəskəkərare
capsator	kapsator
vătășiță	vətəʃitsə
cor	kor
iosub	josub
contabilizat	kontabilizat
îngrijurat	ɨnɡriʒurat
mediocriza	mediokriza
mulțumi	multsumi
omenirea	omenirĕa
areic	areik
tolănire	tolənire
biometan	biometan
îmbăierare	ɨmbəjerare
măgulitură	məɡuliturə
pachiderm	pakʲ̩iderm
formalizare	formalizare
concretă	konkretə
ampro	ampro
defensiv	defensiv
bulevardism	bulevardism
prezervat	prezervat
obosească	obosĕaskə
incongruent	inkonɡruent
glotal	ɡlotal
postulare	postulare
putut	putut
triiodotironină	triiodotironinə
antioxigen	antioksidʒen
cartografiat	kartoɡrafijat
tuspatru	tuspatru
cuptoare	kuptŏare
exceptat	ekstʃeptat
caroten	karoten
minor	minor
necăjire	nekəʒire
cronicitate	kronitʃitate
floc	flok
saftea	saftĕa
pirogravor	piroɡravor
deshidrogenat	deshidrodʒenat
inspectare	inspektare
freș	freʃ
sceleratețe	stʃeleratetse
plusprodus	plusprodus
scatiu	skatiw
divorța	divortsa
însușească	ɨnsuʃĕaskə
abscizie	apstʃizije
fonematic	fonematik
doftorie	doftorije
inflaționist	inflatsionist
răscoacere	rəskŏatʃere
cuptoraș	kuptoraʃ
decofeinizare	dekofeinizare
stereotipar	stereotipar
separarea	separarĕa
orășenește	orəʃeneʃte
abstrage	apstradʒe
ghid	gʲ̩id
coniță	konitsə
reevaluat	reevaluwat
propriul	proprjul
gureș	ɡureʃ
nefritic	nefritik
chiropter	kʲ̩iropter
spagă	spaɡə
săvoiu	səvoju
depeșat	depeʃat
prepoziție	prepozitsije
adeveriseră	adeveriserə
gherilă	gʲ̩erilə
pirgeometru	pirdʒeometru
trepanare	trepanare
gunoiului	ɡunojuluj
scarificat	skarifikat
citozină	tʃitozinə
newtonian	njutonijan
motilitate	motilitate
feminitate	feminitate
cacologie	kakolodʒije
răsteală	rəstĕalə
tăpănos	təpənos
redate	redate
aglosie	aɡlosije
tiroidită	tiroiditə
canabis	kanabis
înlăcrimare	ɨnləkrimare
reveion	revejon
ideologicește	ideolodʒitʃeʃte
oligocitemie	oliɡotʃitemije
cineraria	tʃinerarija
mezopauză	mezopauzə
velniș	velniʃ
zătignire	zətiɡnire
schimbăcios	skʲ̩imbətʃ̩os
ronț	ronts
ferfenițit	ferfenitsit
deplețiune	depletsiune
dipsacee	dipsatʃee
înde	ɨnde
patronaj	patronaʒ
orbalț	orbalts
accizelor	aktʃizelor
galvanizare	ɡalvanizare
calcocloroză	kalkoklorozə
contractibil	kontraktibil
domiciliere	domitʃilijere
fătoi	fətoj
mojicește	moʒitʃeʃte
soredie	soredije
pi	pi
reziliență	rezilijentsə
îndoit	ɨndoit
calcotipie	kalkotipije
notabil	notabil
duhovnicul	duhovnikul
iotacizat	jotatʃizat
ignătescu	iɡnətesku
bucleu	buklew
vadă	vadə
figuri	fiɡurʲ
fărmătură	fərməturə
cinovnic	tʃinovnik
bătrânică	bətrɨnikə
sotnie	sotnije
dreptunghi	dreptungʲ̩ʲ
vârfuleț	vɨrfulets
carboanță	karbŏantsə
bănește	bəneʃte
ductilitate	duktilitate
năimire	nəjmire
vinurile	vinurile
clin	klin
spiderne	spiderne
însemnărică	ɨnsemnərikə
picaresc	pikaresk
rateu	ratew
poștar	poʃtar
preluase	preluwase
tandaluță	tandalutsə
amețire	ametsire
migrațiune	miɡratsiune
mântuință	mɨntuintsə
antipatie	antipatije
telur	telur
vibromasaj	vibromasaʒ
craioveancă	krajovĕankə
conivent	konivent
simbolistică	simbolistikə
aforism	aforism
glucuronic	ɡlukuronik
monocelular	monotʃelular
rădăcină	rədətʃinə
jinduire	ʒinduire
cosmobiologie	kosmobiolodʒije
imuniza	imuniza
frunzos	frunzos
murmur	murmur
macat	makat
anhidroză	anhidrozə
ferchezuială	ferkʲ̩ezujalə
opalizare	opalizare
pedestraș	pedestraʃ
zdrăilă	zdrəilə
închinăciune	ɨnkʲ̩inətʃ̩une
militărește	militəreʃte
detalia	detalija
îmbla	ɨmbla
baracament	barakament
purica	purika
pălălaie	pələlaje
stabilitate	stabilitate
plăsmuitor	pləsmuitor
hulpoi	hulpoj
telurometru	telurometru
cratimă	kratimə
implica	implika
traductibil	traduktibil
sărăduire	sərəduire
nervos	nervos
tândălitură	tɨndəliturə
adeda	adeda
goale	ɡŏale
painjenire	painʒenire
bucă	bukə
cartel	kartel
cutezanță	kutezantsə
anemonă	anemonə
închipuit	ɨnkʲ̩ipuit
exortație	egzortatsije
studiată	studijatə
fotoluminescent	fotoluminestʃent
vestea	vestĕa
decurs	dekurs
iortoman	jortoman
infinitival	infinitival
echer	ekʲ̩er
rupicol	rupikol
asuma	asuma
bunuri	bunurʲ
nevindecabil	nevindekabil
chișai	kʲ̩iʃaj
alumosilicat	alumosilikat
postmodernism	postmodernism
periodontic	periodontik
consangvinitate	konsanɡvinitate
avântat	avɨntat
britanic	britanik
băgăcios	bəɡətʃ̩os
scurtare	skurtare
pahimeninge	pahimenindʒe
scufundiș	skufundiʃ
ebraist	ebraist
tanin	tanin
povârnire	povɨrnire
admirativ	admirativ
microseism	mikroseism
rugămintea	ruɡəmintĕa
trepte	trepte
inchizitorial	inkʲ̩izitorijal
romeu	romew
lunatec	lunatek
piperacee	piperatʃee
sovpren	sovpren
clădiri	klədirʲ
bagaj	baɡaʒ
simfer	simfer
băișoara	bəiʃŏara
depunctare	depunktare
pancovă	pankovə
protorace	protoratʃe
pisălogit	pisəlodʒit
plurivalență	plurivalentsə
draglinist	draɡlinist
gerul	dʒerul
economia	ekonomija
dezbatere	dezbatere
prompt	prompt
oareșicare	ŏareʃjkare
haboca	haboka
punctuațiune	punktuwatsiune
butalcă	butalkə
coregrafic	koreɡrafik
îhî	ɨhɨ
microreceptor	mikroretʃeptor
lustruit	lustruit
valoriza	valoriza
alinit	alinit
infante	infante
sincron	sinkron
dăscălici	dəskəlitʃʲ
silabație	silabatsije
emigrațiune	emiɡratsiune
încotoșmănare	ɨnkotoʃmənare
resimțit	resimtsit
sifilidă	sifilidə
leapșă	lĕapʃə
peregrin	pereɡrin
bazinet	bazinet
nefalism	nefalism
ologit	olodʒit
liofilizare	liofilizare
trap	trap
monotrem	monotrem
plămadă	pləmadə
ileostomie	ileostomije
rondare	rondare
ament	ament
cariologie	kariolodʒije
uzurpator	uzurpator
anhidrit	anhidrit
simptomatologic	simptomatolodʒik
corăbioară	korəbiŏarə
englezoaică	enɡlezŏajkə
seismonastie	seismonastije
matriarhat	matriarhat
complota	komplota
demonteze	demonteze
strâmbet	strɨmbet
îngăla	ɨnɡəla
înamora	ɨnamora
bicentenar	bitʃentenar
datorate	datorate
gherghef	gʲ̩ergʲ̩ef
gențile	dʒentsile
camere	kamere
imperativ	imperativ
prusienesc	prusijenesk
cotiugă	kotjuɡə
radiolarit	radiolarit
univitelin	univitelin
hrandabur	hrandabur
brigadă	briɡadə
târzior	tɨrzior
emersiune	emersiune
celeilalte	tʃelejlalte
hatâr	hatɨr
lumineze	lumineze
bigrilă	biɡrilə
forjabil	forʒabil
tonou	tonow
falaitar	falajtar
salariul	salarjul
rit	rit
nerăsuflate	nerəsuflate
egerie	edʒerije
astrolog	astroloɡ
preduf	preduf
ocazii	okazij
kaiser	kajser
derulator	derulator
amplexiune	ampleksiune
degerătură	dedʒerəturə
dezmânia	dezmɨnija
sistematică	sistematikə
imploziv	imploziv
salarizare	salarizare
ispașă	ispaʃə
emondaj	emondaʒ
precolumbian	prekolumbijan
exportat	eksportat
mosc	mosk
sanchilot	sankʲ̩ilot
suturat	suturat
carbid	karbid
telegramă	teleɡramə
central	tʃentral
scămoșat	skəmoʃat
băjenări	bəʒenəri
epibat	epibat
macaz	makaz
ștergar	ʃterɡar
albinuță	albinutsə
baleiat	balejat
alegăduire	aleɡəduire
izolată	izolatə
purjor	purʒor
megatonă	meɡatonə
osificare	osifikare
huluire	huluire
lagenă	ladʒenə
bucal	bukal
cezură	tʃezurə
dictare	diktare
chițăit	kʲ̩itsəit
emanuel	emanuel
obrajii	obraʒij
xenon	ksenon
carmelit	karmelit
indehiscent	indehistʃent
odontologic	odontolodʒik
jintuire	ʒintuire
stătescu	stətesku
antiputrid	antiputrid
stricneală	striknĕalə
cin	tʃin
obsedare	obsedare
cistic	tʃistik
infestare	infestare
invariant	invariant
diagnostician	diaɡnostitʃijan
comunicării	komunikərij
tendon	tendon
colțuros	koltsuros
rujat	ruʒat
stărilor	stərilor
sălbătăcime	səlbətətʃime
patruped	patruped
evingere	evindʒere
compulsa	kompulsa
veleitate	veleitate
părete	pərete
maximafilie	maksimafilije
izvodit	izvodit
corâent	koriʒent
chiuretat	kʲ̩̩uretat
creieraș	krejeraʃ
comunism	komunism
clătărire	klətərire
ștempluit	ʃtempluit
șănțuire	ʃəntsuire
cioplitură	tʃ̩opliturə
multiplan	multiplan
nereligios	nerelidʒios
ralid	ralid
retrogresiune	retroɡresiune
dârdală	dɨrdalə
principal	printʃipal
civilist	tʃivilist
zlătar	zlətar
manglire	manɡlire
trepetnic	trepetnik
efuziune	efuziune
învăț	ɨnvəts
șoldar	ʃoldar
calcic	kaltʃik
volnic	volnik
uranotil	uranotil
deblocare	deblokare
ezerină	ezerinə
pirogravură	piroɡravurə
pinzgau	pinzɡaw
predeterminație	predeterminatsije
teocrat	teokrat
progresul	proɡresul
coeficient	koefitʃijent
axilar	aksilar
placarda	plakarda
colosal	kolosal
corelativ	korelativ
atonic	atonik
anagrama	anaɡrama
eroicește	eroitʃeʃte
derulăm	deruləm
afanisire	afanisire
tracolog	trakoloɡ
antirezonant	antirezonant
necruțător	nekrutsətor
strâmbătură	strɨmbəturə
murmurat	murmurat
piruetare	piruetare
plavie	plavije
adresa	adresa
escalator	eskalator
ringlotă	rinɡlotə
egrenaj	eɡrenaʒ
tiflomegalie	tiflomeɡalije
ediții	editsij
coptorâre	koptorɨre
contrariere	kontrarijere
ciurechi	tʃ̩urekʲ̩ʲ
parcurat	parkurat
tuse	tuse
chelnăr	kʲ̩elnər
românizare	romɨnizare
cafetieră	kafetijerə
sodomizare	sodomizare
godânac	ɡodɨnak
bruto	bruto
bolnave	bolnave
carcafung	karkafunɡ
idol	idol
bocet	botʃet
secvențial	sekventsijal
feștilă	feʃtilə
codruleț	kodrulets
parură	parurə
heliotipie	heliotipije
vetrelă	vetrelə
preselecție	preselektsije
litotom	litotom
mobilizare	mobilizare
anticariat	antikarijat
naturalizare	naturalizare
trifoliene	trifolijene
ciolpan	tʃ̩olpan
șetruță	ʃetrutsə
virilitate	virilitate
înfurcire	ɨnfurtʃire
ajutat	aʒutat
spună	spunə
trepidant	trepidant
pricolici	prikolitʃʲ
anglofob	anɡlofob
slugărnicit	sluɡərnitʃit
neorganizare	neorɡanizare
ierbărie	jerbərije
expectora	ekspektora
cazul	kazul
evoca	evoka
enantioză	enantiozə
cronicizat	kronitʃizat
cardiotonic	kardiotonik
mendrea	mendrĕa
miliamper	miliamper
silișteanu	siliʃtĕanu
cvantă	kvantə
contișor	kontiʃor
ipsofon	ipsofon
spațioasă	spatsiŏasə
defecare	defekare
acid	atʃid
corona	korona
devoțiune	devotsiune
hidatodă	hidatodə
păstaie	pəstaje
chinină	kʲ̩ininə
prezidențiabil	prezidentsijabil
sagital	sadʒital
hohote	hohote
taciturnitate	tatʃiturnitate
belgi	beldʒʲ
ajunsese	aʒunsese
harhalaie	harhalaje
anticipațiune	antitʃipatsiune
încremeneală	ɨnkremenĕalə
conlucra	konlukra
macrou	makrow
moftologie	moftolodʒije
sufragetă	sufradʒetə
operatorie	operatorije
năgăruș	nəɡəruʃ
cazacincă	kazatʃinkə
clorhidrat	klorhidrat
marinărește	marinəreʃte
sfen	sfen
dichiseală	dikʲ̩isĕalə
postdecembrist	postdetʃembrist
corhan	korhan
parlament	parlament
pardon	pardon
pâc	pɨk
drepnea	drepnĕa
flecușteț	flekuʃtets
metaforiza	metaforiza
vulpi	vulpʲ
pomișor	pomiʃor
ecluziune	ekluziune
vivant	vivant
spulbera	spulbera
caniotă	kaniotə
încălărare	ɨnkələrare
sufix	sufiks
barabanci	barabantʃʲ
instituție	institutsije
vieților	vjetsilor
bărbieresc	bərbijeresk
polemist	polemist
ring	rinɡ
coplată	koplatə
craia	kraja
ciomăgire	tʃ̩omədʒire
vizitatori	vizitatorʲ
cargabas	karɡabas
noiembrie	nojembrije
fârtăție	fɨrtətsije
pluviodenudare	pluviodenudare
culturalizare	kulturalizare
șindilar	ʃindilar
ondulator	ondulator
sistematic	sistematik
evantai	evantaj
frăguliță	frəɡulitsə
sacraliza	sakraliza
adipos	adipos
ornitorinc	ornitorink
fiica	fijika
eflux	efluks
omiși	omiʃʲ
împăroșare	ɨmpəroʃare
dirâat	diriʒat
supravoltor	supravoltor
acetonurie	atʃetonurije
voiajare	vojaʒare
stăpânul	stəpɨnul
deplângere	deplɨndʒere
polnoglasie	polnoɡlasije
nitrat	nitrat
malignizat	maliɡnizat
volsc	volsk
blindat	blindat
obot	obot
acușor	akuʃor
jugulare	ʒuɡulare
psihoterapeut	psihoterapeut
stobor	stobor
avatar	avatar
destrăbăla	destrəbəla
precedare	pretʃedare
pecetluit	petʃetluit
dedurizat	dedurizat
deznorare	deznorare
gabelă	ɡabelə
demisol	demisol
persecuție	persekutsije
accentul	aktʃentul
asfaltene	asfaltene
atrageți	atradʒetsʲ
învelire	ɨnvelire
dintre	dintre
complăcea	komplətʃ̩a
iustin	justin
fumar	fumar
albinioară	albiniŏarə
monoparental	monoparental
dânsa	dɨnsa
parafrazare	parafrazare
curbiliniu	kurbilinju
lăcșor	ləkʃor
doboșar	doboʃar
extraretinian	ekstraretinijan
spațiul	spatsjul
trufire	trufire
păscătoare	pəskətŏare
soțioară	sotsiŏarə
epilare	epilare
camufla	kamufla
proteinogramă	proteinoɡramə
vizuală	vizuwalə
stoiculescu	stojkulesku
curentare	kurentare
desmologie	desmolodʒije
tușinătură	tuʃinəturə
încălușare	ɨnkəluʃare
gratinat	ɡratinat
clătinare	klətinare
aclama	aklama
caracteristică	karakteristikə
venozitate	venozitate
păcurăresc	pəkurəresk
oțeliu	otseliu
sumănar	sumənar
piftie	piftije
scifozoar	stʃifozŏar
bunăstare	bunəstare
des	des
trilingv	trilinɡv
bobot	bobot
sobele	sobele
țol	tsol
prodecan	prodekan
năsădit	nəsədit
gheorghiță	gʲ̩̩orgʲ̩itsə
taft	taft
pu	pu
politip	politip
țepelea	tsepelĕa
opal	opal
merite	merite
hotelul	hotelul
denitrificare	denitrifikare
astigmatic	astiɡmatik
tehnoredactor	tehnoredaktor
tâlc	tɨlk
tarbac	tarbak
meșteriță	meʃteritsə
clențănire	klentsənire
surorile	surorile
așezat	aʃezat
concordant	konkordant
miliarde	milijarde
ghitară	gʲ̩itarə
rediscuta	rediskuta
mie	mije
referare	referare
ozene	ozene
iovulescu	jovulesku
grafitos	ɡrafitos
praftoriță	praftoritsə
haplologie	haplolodʒije
catagrafie	kataɡrafije
iați	jatsʲ
blinie	blinije
smeci	smetʃʲ
accesibile	aktʃesibile
propozițiune	propozitsiune
momeală	momĕalə
poporan	poporan
pizmăreț	pizmərets
cucură	kukurə
tălmășag	təlməʃaɡ
necomparabil	nekomparabil
păcurărit	pəkurərit
retractabil	retraktabil
hodorogeală	hodorodʒ̩alə
centrifug	tʃentrifuɡ
conchetă	konkʲ̩etə
pavilion	pavilion
elevat	elevat
reechilibrat	reekʲ̩ilibrat
soprano	soprano
clavecin	klavetʃin
bacterian	bakterijan
reglementare	reɡlementare
pitecantrop	pitekantrop
zgâriere	zɡɨrijere
ciudate	tʃ̩udate
barmaniță	barmanitsə
fabi	fabi
ofițereasă	ofitserĕasə
neasortat	neasortat
octavin	oktavin
memoriam	memoriam
adăpostul	adəpostul
fotocopiat	fotokopijat
convingă	konvinɡə
mângâietor	mɨnɡɨjetor
cămeșă	kəmeʃə
găgăuz	ɡəɡəuz
catastrofic	katastrofik
chiuretare	kʲ̩̩uretare
înrămat	ɨnrəmat
somau	somaw
spermatofor	spermatofor
versuitor	versuitor
spuză	spuzə
teleologic	teleolodʒik
pirex	pireks
iota	jota
jurat	ʒurat
proletariza	proletariza
observ	opserv
umlaut	umlawt
stilou	stilow
sasca	saska
tuberculiza	tuberkuliza
bicisnicie	bitʃisnitʃije
stupilă	stupilə
borhot	borhot
confesor	konfesor
hipocromie	hipokromije
baraolt	baraolt
necurgător	nekurɡətor
sinterizat	sinterizat
titra	titra
minibaschet	minibaskʲ̩et
virdare	virdare
răzbubuire	rəzbubuire
reorganizat	reorɡanizat
întăreați	ɨntərjatsʲ
reumatic	reumatik
picotire	pikotire
nacelă	natʃelə
tiparele	tiparele
milimetru	milimetru
analgezie	analdʒezije
descolăcit	deskolətʃit
rezistor	rezistor
întovărășit	ɨntovərəʃit
isbășoiu	isbəʃoju
scrofuloză	skrofulozə
răscrăcărat	rəskrəkərat
împopoțonare	ɨmpopotsonare
răni	rəni
îndrumare	ɨndrumare
gologănit	ɡoloɡənit
hipertrofic	hipertrofik
nelocuibil	nelokuibil
microbist	mikrobist
tărăgăna	tərəɡəna
dezghețare	dezgʲ̩etsare
șleahtă	ʃlĕahtə
drupă	drupə
băcăuancă	bəkəwankə
panait	panait
cistocel	tʃistotʃel
bocit	botʃit
hemosideroză	hemosiderozə
ecobici	ekobitʃʲ
periheliu	perihelju
bașbuzuc	baʃbuzuk
metalazbest	metalazbest
riscurilor	riskurilor
mareșal	mareʃal
adoptați	adoptatsʲ
rebel	rebel
mortezor	mortezor
gelinită	dʒelinitə
refec	refek
reunificat	reunifikat
aburit	aburit
calcina	kaltʃina
premiat	premijat
obligator	obliɡator
onicomalacie	onikomalatʃije
ofiurid	ofiurid
europenizare	europenizare
plăceri	plətʃerʲ
afixal	afiksal
neamenajat	neamenaʒat
degringoladă	deɡrinɡoladə
ciorbă	tʃ̩orbə
înflorare	ɨnflorare
deziotacizare	deziotatʃizare
adevăr	adevər
artrozic	artrozik
pocinoc	potʃinok
reveni	reveni
disciplinat	distʃiplinat
supremație	suprematsije
cinste	tʃinste
jerseu	ʒersew
malotea	malotĕa
parfeu	parfew
siluric	silurik
nerespectare	nerespektare
adiat	adijat
gimnazier	dʒimnazijer
bietei	bjetej
năzbutie	nəzbutije
geraniol	dʒeraniol
contribuțiilor	kontributsijilor
dumneavoastră	dumnĕavŏastrə
buretos	buretos
rotenonă	rotenonə
toval	toval
agitator	adʒitator
externarea	eksternarĕa
întrarmare	ɨntrarmare
colniță	kolnitsə
fituit	fituit
arhiducat	arhidukat
neântrebat	neɨntrebat
invocat	invokat
exorcizare	egzortʃizare
lunculiță	lunkulitsə
fonator	fonator
hipertermie	hipertermije
țărănist	tsərənist
resabota	resabota
bucătură	bukəturə
alimentar	alimentar
vrăjitorie	vrəʒitorije
gren	ɡren
hipotehnie	hipotehnije
incent	intʃent
prolan	prolan
