ометяхте	o̝mɛtʲaxt̪ɛ
дебнахте	d̪ɛbnəxt̪ɛ
отключваш	ot̪klʲutʃvəʃ
овошка	ovɔʃkə
живяло	ʒivʲaɫo
вечеряше	vɛtʃɛrʲəʃɛ
ебаният	ɛbanijət̪
обичал	obitʃəɫ
студентствайте	st̪od̪ɛnt̪st̪vəjt̪ɛ
разпростираш	rəsprost̪iɾəʃ
благословена	bɫəɡosɫovɛnə
написванията	nɐpisvənijət̪ə
обричащия	obritʃəʃt̪ijə
опекъл	opɛkəɫ
серящият	sɛrʲaʃt̪ijət̪
подписванетата	pot̪pisvənɛt̪ət̪ə
озаглавявал	o̝zəɡɫɐvʲavəɫ
изплиташе	isplit̪əʃɛ
изплитаната	isplit̪ənət̪ə
поднесох	pod̪nɛso̝x
домитания	d̪omit̪ənijə
навличах	nɐvlitʃəx
начетен	nɐtʃɛt̪ɛn
изнудва	iznud̪və
изпяваните	ispʲavənit̪ɛ
унищожавате	o̝niʃt̪oʒavət̪ɛ
озадачаването	o̝zəd̪ɐtʃavənɛt̪o̝
лъженетата	ɫɤʒɛnɛt̪ət̪ə
нанасяла	nɐnasʲəɫə
наречеше	nəɾɛtʃɛʃɛ
повярвахте	povʲarvəxt̪ɛ
пристигаха	prist̪iɡəxə
напичан	nɐpitʃən
губили	ɡobili
препоръчах	prɛporɤtʃəx
изкупехме	iskupɛxmɛ
замитащата	zɐmit̪əʃt̪ət̪ə
донасяйте	d̪onasʲəjt̪ɛ
събуждащата	sɐbuʒd̪əʃt̪ət̪ə
припадало	pripad̪əɫo̝
капалото	kapəɫo̝t̪o̝
решах	rɛʃax
писателстваща	pisat̪ɛɫst̪vəʃt̪ə
изговаряният	izɡovarʲənijət̪
гребалият	ɡrɛbəlijət̪
замрат	zɐmrɤt̪
протичахте	prot̪itʃəxt̪ɛ
потъванията	pot̪ɤvənijət̪ə
принасяхте	prinasʲəxt̪ɛ
надонасянета	nəd̪onasʲənɛt̪ə
погребвани	poɡrɛbvəni
закупувалия	zəkopuvəlijə
разнасяните	rɐznasʲənit̪ɛ
активист	əktivist
поспирахте	pospiɾəxt̪ɛ
захапвани	zɐxapvəni
плашиха	pɫaʃixə
препоръчалият	prɛporɤtʃəlijət̪
произнеси	pro̝iznɛsi
запридай	zɐprid̪əj
изнасяла	iznasʲəɫə
доплетем	d̪o̝plɛt̪ɛm
принудите	prinud̪it̪ɛ
възпрелият	vɐsprɛlijət̪
попича	popitʃə
спираното	spiɾəno̝t̪o̝
изричаща	izritʃəʃt̪ə
напредналия	nɐprɛd̪nəlijə
забравил	zɐbraviɫ
изнудехме	iznud̪ɛxmɛ
попечала	po̝pɛtʃaɫə
изгребано	izɡrɛbano̝
гребете	ɡrɛbɛt̪ɛ
привнасялият	privnasʲəlijət̪
нахапеше	nɐxapɛʃɛ
мразиш	mraziʃ
казваш	kazvəʃ
препечахте	prɛpɛtʃaxt̪ɛ
вършал	vɐrʃaɫ
танцувала	t̪ənt͡sovaɫə
удовлетворихте	o̝d̪o̝vlɛt̪vorixt̪ɛ
превежданото	prɛvɛʒd̪əno̝t̪o̝
препичана	prɛpitʃənə
падаха	pɐd̪axə
забравена	zɐbravɛnə
сияенета	sijaɛnɛt̪ə
заричахме	zɐritʃəxmɛ
възпиране	vɐspiɾənɛ
изгубвах	izɡubvəx
въвлечем	vəvlɛtʃɛm
лижела	liʒɛɫə
състезавала	səst̪ɛzavəɫə
озадачавания	o̝zəd̪ɐtʃavənijə
изчитаха	istʃit̪əxə
злоупотребил	zɫo̝o̝po̝t̪rɛbiɫ
бушувате	boʃuvət̪ɛ
втечнявайте	ft̪ɛtʃnʲavəjt̪ɛ
полудях	po̝ɫodʲax
пишеше	piʃɛʃɛ
пометете	po̝mɛt̪ɛt̪ɛ
полудееш	po̝ɫod̪ɛɛʃ
купен	kupɛn
обзаведената	o̝bzɐvɛd̪ɛnət̪ə
обковаващите	o̝pkovavəʃt̪it̪ɛ
оцветяваше	o̝t͡svɛtʲavəʃɛ
заповядаме	zəpovʲad̪əmɛ
запалвалите	zɐpaɫvəlit̪ɛ
поопичай	po̝opitʃəj
доведения	d̪ovɛd̪ɛnijə
проврем	provrɛm
пишейки	piʃɛjkʲi
наводняло	nəvod̪nʲaɫo̝
използва	ispɔɫzvə
поопекохте	po̝opɛko̝xt̪ɛ
сиялата	sijaɫət̪ə
заповядано	zəpovʲad̪əno̝
загребвате	zɐɡrɛbvət̪ɛ
поопичащи	po̝opitʃəʃt̪i
примирай	primiɾəj
шиене	ʃiɛnɛ
нарекохме	nɐrɛko̝xmɛ
помогнеше	pomɔɡnɛʃɛ
състезателка	səstɛzatɛlkə
господарувания	ɡo̝spo̝d̪ɐruvənijə
забравяно	zɐbravʲəno̝
пронесено	pronɛsɛno̝
уволнено	o̝voɫnɛno̝
изчезнело	istʃɛznɛɫo̝
всезнайко	fsɛznajko
изметяхте	izmɛtʲaxt̪ɛ
изковаването	iskovavənɛt̪o̝
четели	tʃɛt̪ɛli
училата	utʃiɫət̪ə
повлечете	po̝vlɛtʃɛt̪ɛ
изкупилите	iskupilit̪ɛ
удовлетворилият	o̝d̪o̝vlɛt̪vorilijət̪
презиращи	prɛziɾəʃt̪i
ушитите	oʃit̪it̪ɛ
подкладох	pot̪kɫad̪o̝x
провреше	provrɛʃɛ
дъвкания	d̪ɤfkənijə
подведели	po̝d̪vɛd̪ɛli
подклаждам	pot̪kɫaʒd̪əm
предсказващата	prɛt̪skazvəʃt̪ət̪ə
назовава	nəzovavə
отбодоха	od̪bɔd̪o̝xə
дъвкала	d̪ɐfkaɫə
дотичалото	d̪ot̪itʃəɫo̝t̪o̝
нагребване	nɐɡrɛbvənɛ
препрочиталите	prɛprotʃit̪əlit̪ɛ
заричането	zɐritʃənɛt̪o̝
игралите	iɡralit̪ɛ
обесената	obɛsɛnət̪ə
спестете	spɛst̪ɛt̪ɛ
събудени	sɐbud̪ɛni
напичащи	nɐpitʃəʃt̪i
уплашеха	opɫaʃɛxə
отвлечете	o̝t̪vlɛtʃɛt̪ɛ
завиращо	zɐviɾəʃt̪o̝
произнасяте	pro̝iznasʲət̪ɛ
нагребванета	nɐɡrɛbvənɛt̪ə
капещи	kapɛʃt̪i
отвлека	o̝t̪vlɛkɤ
завлечени	zɐvlɛtʃɛni
изминаваният	izminavənijət̪
допичах	d̪opitʃəx
ушивания	oʃivənijə
обезглавилите	o̝bɛzɡɫɐvilit̪ɛ
отчитали	ot̪tʃit̪əli
авансирахте	avənsiɾəxt̪ɛ
учили	otʃili
ухапалия	oxapəlijə
отричаните	ot̪ritʃənit̪ɛ
вплитащата	fplit̪əʃt̪ət̪ə
оцветихте	o̝t͡svɛt̪ixt̪ɛ
възлизайте	vəzlizəjt̪ɛ
пикалия	pikalijə
заспяхме	zəspʲaxmɛ
възлизало	vəzlizəɫo
мазахме	mazəxmɛ
препрочиталото	prɛprotʃit̪əɫo̝t̪o̝
поспират	pospiɾət̪
слизанията	slizənijət̪ə
даваше	d̪avəʃɛ
млъквахме	mɫɤkvəxmɛ
срещнела	srɛʃnɛɫə
наковяло	nəkovʲaɫo̝
навирана	nɐviɾənə
възлизащите	vəzlizəʃt̪it̪ɛ
решилото	rɛʃiɫo̝t̪o̝
закусвахте	zɐkusvəxt̪ɛ
препоръчващия	prɛporɤtʃvəʃt̪ijə
абразията	abrazijət̪ə
спекли	spɛkli
взимаше	vziməʃɛ
допреше	d̪oprɛʃɛ
уволнявахме	o̝voɫnʲavəxmɛ
чакаха	tʃakəxə
отровел	ot̪rɔvɛɫ
плаченето	pɫatʃɛnɛt̪o̝
снасялите	snasʲəlit̪ɛ
нагребяха	nəɡrɛbʲaxə
насметоха	nɐsmɛt̪o̝xə
плете	plɛt̪ɛ
заподозиращо	zəpo̝d̪oziɾəʃt̪o̝
сечаха	sɛtʃaxə
казват	kazvət̪
донеслата	d̪onɛsɫət̪ə
капалата	kapəɫət̪ə
авансиращият	avənsiɾəʃt̪ijət̪
тръгвалия	t̪rɤɡvəlijə
изтърваваното	ist̪ɐrvavəno̝t̪o̝
насмелия	nɐsmɛlijə
заорано	zəorano̝
млъкващи	mɫɤkvəʃt̪i
въвеждал	vəvɛʒd̪əɫ
комбинирах	ko̝mbiniɾəx
седналите	sɛd̪nalit̪ɛ
наеми	nəɛmi
писало	pisaɫo
обезглавяхте	o̝bɛzɡɫɐvʲaxt̪ɛ
преживеят	prɛʒivɛjət̪
отчитаният	ot̪tʃit̪ənijət̪
подчертаващо	po̝t̪tʃɛrt̪avəʃt̪o̝
казваща	kazvəʃt̪ə
повлечеш	po̝vlɛtʃɛʃ
озадачаван	o̝zəd̪ɐtʃavən
обзавеждано	o̝bzɐvɛʒd̪əno̝
пътувал	pɐt̪uvəɫ
оцелявалия	o̝t͡sɛlʲavəlijə
наковавате	nəkovavət̪ɛ
препоръчвай	prɛporɤtʃvəj
понапекохте	po̝nɐpɛko̝xt̪ɛ
обзаведяха	o̝bzəvɛdʲaxə
погребваше	poɡrɛbvəʃɛ
погребвания	poɡrɛbvənijə
потушилото	po̝t̪oʃiɫo̝t̪o̝
обзаведа	o̝bzəvɛd̪ɤ
възпрял	vɐsprʲaɫ
докажете	d̪okaʒɛt̪ɛ
замитахте	zɐmit̪əxt̪ɛ
обесват	obɛsvət̪
подпишех	pot̪piʃɛx
срещналото	srɛʃnəɫo̝t̪o̝
уволненият	o̝voɫnɛnijət̪
изревавалата	izrɛvavəɫət̪ə
гренландец	ɡrɛnlandɛt͡s
чествана	tʃɛst̪vənə
нагризваният	nɐɡrizvənijət̪
счупвани	stʃupvəni
излезеше	izlɛzɛʃɛ
бола	bɔɫə
домитащите	d̪omit̪əʃt̪it̪ɛ
наклаждам	nɐkɫaʒd̪əm
довличаното	d̪ovlitʃəno̝t̪o̝
закусело	zɐkusɛɫo̝
опряла	oprʲaɫə
препеклият	prɛpɛklijət̪
наплитане	nɐplit̪ənɛ
отичания	ot̪itʃənijə
пратилите	prɐt̪ilit̪ɛ
срещаха	srɛʃt̪axə
назовавайки	nəzovavəjkʲi
опряха	oprʲaxə
погледнех	poɡlɛd̪nɛx
уплашихме	opɫaʃixmɛ
проврете	provrɛt̪ɛ
запирах	zɐpiɾəx
кървила	kɐrviɫə
нагризала	nɐɡrizəɫə
дъвкането	d̪ɤfkənɛt̪o̝
текло	t̪ɛkɫo
простели	prost̪ɛli
сушилия	soʃilijə
наранен	nəɾɐnɛn
попечения	popɛtʃɛnijə
аварска	avarskə
свряха	svrʲaxə
строила	st̪roiɫə
одобреното	o̝d̪obrɛno̝t̪o̝
запалващият	zɐpaɫvəʃt̪ijət̪
обсъден	opsɤd̪ɛn
запридах	zɐprid̪əx
изтекоха	ist̪ɛko̝xə
падналото	pad̪nəɫo̝t̪o̝
заченах	zɐtʃɛnəx
опаслото	opasɫo̝t̪o̝
вплитане	fplit̪ənɛ
тресло	t̪rɛsɫo̝
летелите	lɛt̪ɛlit̪ɛ
търсете	t̪ərsɛt̪ɛ
ненадеждност	nɛnədɛʒnost
потушаваме	po̝t̪oʃavəmɛ
влюбих	vlʲubix
изчезваме	istʃɛzvəmɛ
насичайте	nɐsitʃəjt̪ɛ
оцелееше	o̝t͡sɛlɛɛʃɛ
втечнени	ft̪ɛtʃnɛni
напичанета	nɐpitʃənɛt̪ə
обесвахме	obɛsvəxmɛ
вървящо	vərvʲaʃt̪o
допиралата	d̪opiɾəɫət̪ə
анулираш	anuliɾəʃ
закусвах	zɐkusvəx
поглеждала	poɡlɛʒd̪əɫə
навестих	nəvɛst̪ix
засекат	zəsɛkɤt̪
снасяния	snasʲənijə
купувалият	kopuvəlijət̪
танцувате	t̪ɐnt͡suvət̪ɛ
дометена	d̪omɛt̪ɛnə
съветвало	sɐvɛt̪vəɫo̝
написал	nɐpisəɫ
дебелеех	d̪ɛbɛlɛɛx
навлязъл	nɐvlʲazəɫ
унищожилата	o̝niʃt̪oʒiɫət̪ə
довеждаха	d̪ovɛʒd̪əxə
принуждаваш	prinoʒd̪avəʃ
сияещата	sijaɛʃt̪ət̪ə
слушаща	sɫuʃəʃt̪ə
довлечахте	d̪o̝vlɛtʃaxt̪ɛ
окрадеш	o̝krɐd̪ɛʃ
ухапахме	oxapəxmɛ
обучавалия	o̝botʃavəlijə
абсолвентският	apsoɫvɛnskʲijət̪
отичайте	ot̪itʃəjt̪ɛ
накълвал	nəkɐɫvaɫ
ковало	kovaɫo̝
опичайки	opitʃəjkʲi
изгребващо	izɡrɛbvəʃt̪o̝
наричани	nɐritʃəni
домитали	d̪omit̪əli
доплетяхме	d̪o̝plɛtʲaxmɛ
замитащо	zɐmit̪əʃt̪o̝
подпиранетата	pot̪piɾənɛt̪ət̪ə
подслушахте	pot̪sɫuʃəxt̪ɛ
повтарящия	poft̪arʲəʃt̪ijə
отекохме	ot̪ɛko̝xmɛ
обучавалият	o̝botʃavəlijət̪
зренията	zrɛnijət̪ə
скубеща	skubɛʃt̪ə
измете	izmɛt̪ɛ
продаден	prod̪ad̪ɛn
обзавеждайте	o̝bzɐvɛʒd̪əjt̪ɛ
занесеш	zənɛsɛʃ
изреви	izrɛvi
надвнасяли	nɐd̪vnasʲəli
предсказалият	prɛt̪skazəlijət̪
повтореше	poft̪ɔɾɛʃɛ
сприятеляха	sprijət̪ɛlʲaxə
отбодена	od̪bɔd̪ɛnə
строене	st̪roɛnɛ
изнудвалия	iznud̪vəlijə
изговорело	izɡovɔɾɛɫo̝
алегория	əlɛɡɔrijə
казалият	kazəlijət̪
избоден	izbɔd̪ɛn
забодеше	zəbod̪ɛʃɛ
плачем	pɫatʃɛm
отвеждало	ot̪vɛʒd̪əɫo̝
можало	moʒaɫo̝
търсели	t̪ɤrsɛli
тръгвахте	t̪rɤɡvəxt̪ɛ
потреслия	pot̪rɛslijə
изгубената	izɡubɛnət̪ə
съветванета	sɐvɛt̪vənɛt̪ə
изчезнал	istʃɛznəɫ
изпечехме	ispɛtʃɛxmɛ
прехапващ	prɛxapvəʃt̪
анатемосаната	anət̪ɛmɔsənət̪ə
изсичащите	issitʃəʃt̪it̪ɛ
близанетата	blizənɛt̪ət̪ə
изчезвалият	istʃɛzvəlijət̪
млъквайте	mɫɤkvəjt̪ɛ
зачеваш	zɐtʃɛvəʃ
предрекли	prɛd̪rɛkli
влюбващите	vlʲubvəʃt̪it̪ɛ
замиталия	zɐmit̪əlijə
пронеслият	pronɛslijət̪
купим	kupim
подмитането	pod̪mit̪ənɛt̪o̝
захапана	zɐxapənə
клало	kɫaɫo̝
цупеше	t͡supɛʃɛ
охраняване	o̝xrɐnʲavənɛ
потечел	po̝t̪ɛtʃɛɫ
унасящите	onasʲəʃt̪it̪ɛ
абаджийството	abəd̪ʒijst̪vot̪o
мразилият	mrɐzilijət̪
изведените	izvɛd̪ɛnit̪ɛ
припичанета	pripitʃənɛt̪ə
изгубихте	izɡubixt̪ɛ
наводните	nəvod̪nit̪ɛ
обосновани	o̝bo̝snovani
вдишван	vd̪iʃvən
пишете	piʃɛt̪ɛ
изминатия	izminət̪ijə
честитените	tʃɛst̪it̪ɛnit̪ɛ
дадох	d̪ad̪ox
изпитите	ispit̪it̪ɛ
спели	spɛli
лягайки	lʲaɡəjkʲi
чупело	tʃupɛɫo̝
вковахме	fkovaxmɛ
ухапваме	oxapvəmɛ
течаща	t̪ɛtʃaʃt̪ə
уволнявайте	o̝voɫnʲavəjt̪ɛ
помагащият	pomaɡəʃt̪ijət̪
мразил	mrɐziɫ
слушащото	sɫuʃəʃt̪o̝t̪o̝
убил	obiɫ
умиращ	omiɾəʃt̪
започнете	zəpotʃnɛt̪ɛ
корящо	korʲaʃt̪o̝
прочетях	pro̝tʃɛtʲax
запиралият	zɐpiɾəlijət̪
залязвал	zɐlʲazvəɫ
довличалите	d̪ovlitʃəlit̪ɛ
смажете	smaʒɛt̪ɛ
обесехте	obɛsɛxt̪ɛ
възпроизведения	vəspro̝izvɛd̪ɛnijə
накови	nəkovi
прегръщането	prɛɡrɤʃt̪ənɛt̪o̝
въоръжено	vəo̝ɾɐʒɛno̝
разплачеш	rɐspɫatʃɛʃ
оцветяваната	o̝t͡svɛtʲavənət̪ə
метена	mɛt̪ɛnə
влюбело	vlʲubɛɫo
нанасяхте	nɐnasʲəxt̪ɛ
оцветили	o̝t͡svɛt̪ili
разплакващо	rɐspɫakvəʃt̪o̝
скуба	skubə
принудел	prinud̪ɛɫ
упрекнахте	oprɛknəxt̪ɛ
автентично	aft̪ɛnt̪itʃno
забравен	zɐbravɛn
писало	pisəɫo
заспал	zəspaɫ
озадачаваните	o̝zəd̪ɐtʃavənit̪ɛ
живеещото	ʒivɛɛʃt̪ot̪o
целунехме	t͡sɛɫunɛxmɛ
шибали	ʃibəli
изгризях	izɡrizʲax
активен	əktivɛn
намекнаха	nɐmɛknəxə
вплитала	fplit̪əɫə
осиновяванета	o̝sinovʲavənɛt̪ə
дебнатата	d̪ɛbnət̪ət̪ə
прощаван	proʃt̪avən
млъкнат	mɫɤknət̪
падал	pɐd̪aɫ
повеждалият	povɛʒd̪əlijət̪
дадени	d̪ad̪ɛni
почетяло	po̝tʃɛtʲaɫo̝
поглеждащия	poɡlɛʒd̪əʃt̪ijə
обяснено	o̝bʲɐsnɛno̝
зряла	zrʲaɫə
гласувал	ɡɫɐsuvəɫ
привнесеше	privnɛsɛʃɛ
опредях	o̝prɛdʲax
изтечехме	ist̪ɛtʃɛxmɛ
шибащ	ʃibəʃt̪
намекнеше	nɐmɛknɛʃɛ
попичанията	popitʃənijət̪ə
счупващи	stʃupvəʃt̪i
писателстващата	pisat̪ɛɫst̪vəʃt̪ət̪ə
съчетало	sətʃɛt̪aɫo̝
прочитана	protʃit̪ənə
насметяло	nəsmɛtʲaɫo̝
пратило	prɐt̪iɫo̝
загинали	zɐɡʲinəli
озадачавахте	o̝zəd̪ɐtʃavəxt̪ɛ
предречехме	prɛd̪rɛtʃɛxmɛ
отнесли	ot̪nɛsli
отбодяло	o̝d̪bodʲaɫo̝
сравнявалия	srɐvnʲavəlijə
отнасящият	ot̪nasʲəʃt̪ijət̪
бомбардирани	bombərd̪iɾəni
построявания	po̝st̪rojavənijə
предупреждавалия	prɛd̪o̝prɛʒd̪avəlijə
хапалият	xapəlijət̪
учещо	utʃɛʃt̪o̝
наследихте	nəslɛd̪ixt̪ɛ
берящи	bɛrʲaʃt̪i
подвеждахте	pod̪vɛʒd̪əxt̪ɛ
разсъдлив	rəsədlif
изнасящата	iznasʲəʃt̪ət̪ə
почнатата	pɔtʃnət̪ət̪ə
почетохме	potʃɛt̪o̝xmɛ
боядисвалата	bo̝jɐd̪isvəɫət̪ə
осиновяването	o̝sinovʲavənɛt̪o̝
омитах	omit̪əx
влизам	vlizəm
рачения	ratʃɛnijə
презреш	prɛzrɛʃ
потушахте	po̝t̪oʃaxt̪ɛ
бомбардираните	bombərd̪iɾənit̪ɛ
вдишвалото	vd̪iʃvəɫo̝t̪o̝
начетени	nɐtʃɛt̪ɛni
забременявал	zəbrɛmɛnʲavəɫ
пометеното	pomɛt̪ɛno̝t̪o̝
прехапвано	prɛxapvəno̝
припеклия	pripɛklijə
навеждаме	nɐvɛʒd̪əmɛ
загивай	zɐɡʲivəj
дебнехме	d̪ɛbnɛxmɛ
обосноваваща	o̝bo̝snovavəʃt̪ə
чупените	tʃupɛnit̪ɛ
занесло	zɐnɛsɫo̝
забравихте	zɐbravixt̪ɛ
създала	sɐzd̪aɫə
извеждалата	izvɛʒd̪əɫət̪ə
превелото	prɛvɛɫo̝t̪o̝
ушивахме	oʃivəxmɛ
заречах	zəɾɛtʃax
сияне	sijanɛ
попечем	po̝pɛtʃɛm
обречени	obrɛtʃɛni
изсичате	issitʃət̪ɛ
нахапехте	nɐxapɛxt̪ɛ
капалите	kapəlit̪ɛ
озадачилата	o̝zəd̪ɐtʃiɫət̪ə
мазало	mazəɫo̝
навличалият	nɐvlitʃəlijət̪
повярваха	povʲarvəxə
изплетяло	isplɛtʲaɫo̝
абитуриентска	abit̪uɾiɛnskə
изсечените	issɛtʃɛnit̪ɛ
обещали	o̝bɛʃt̪ali
надяващи	nɐdʲavəʃt̪i
броненосец	bronɛnɔsɛts
пристигайте	prist̪iɡəjt̪ɛ
изнасяното	iznasʲəno̝t̪o̝
счупиха	stʃupixə
унасяното	onasʲəno̝t̪o̝
гребани	ɡrɛbəni
причинявалата	pritʃinʲavəɫət̪ə
нанасялата	nɐnasʲəɫət̪ə
загребвали	zɐɡrɛbvəli
изчитащият	istʃit̪əʃt̪ijət̪
наобличаха	nəoblitʃəxə
зачетеше	zətʃɛt̪ɛʃɛ
препоръчвалото	prɛporɤtʃvəɫo̝t̪o̝
възнесе	vəznɛsɛ
нагризвано	nɐɡrizvəno̝
закупуваха	zəkopuvəxə
шантажиралият	ʃənt̪ɐʒiɾəlijət̪
ходехте	xɔd̪ɛxt̪ɛ
зачетяхте	zətʃɛtʲaxt̪ɛ
нагризващи	nɐɡrizvəʃt̪i
отсичащия	ot̪sitʃəʃt̪ijə
нахапаният	nɐxapənijət̪
разлюбванията	rɐzlʲubvənijət̪ə
решавания	rɛʃavənijə
набождало	nɐbɔʒd̪əɫo̝
построяващите	po̝st̪rojavəʃt̪it̪ɛ
охраняваната	o̝xrɐnʲavənət̪ə
допиращата	d̪opiɾəʃt̪ət̪ə
изпредохте	isprɛd̪o̝xt̪ɛ
отровели	ot̪rɔvɛli
разпростираното	rəsprost̪iɾəno̝t̪o̝
чаканите	tʃakənit̪ɛ
раняващ	rɐnʲavəʃt̪
целуваха	t͡sɛɫovaxə
забременеели	zəbrɛmɛnɛɛli
загинете	zəɡʲinɛt̪ɛ
обесели	obɛsɛli
авгиевият	avɡʲiɛvijət̪
съчетаните	sətʃɛt̪anit̪ɛ
кълвящите	kɐɫvʲaʃt̪it̪ɛ
възнесат	vəznɛsɤt̪
заорем	zəorɛm
зашивахте	zɐʃivəxt̪ɛ
подчертаните	po̝t̪tʃɛrt̪anit̪ɛ
отрових	ot̪rɔvix
тресен	t̪rɛsɛn
насичанетата	nɐsitʃənɛt̪ət̪ə
граничихте	ɡrɐnitʃixt̪ɛ
печало	pɛtʃaɫo̝
лъгал	ɫɤɡəɫ
вини	vini
плакалият	pɫɐkalijət̪
подобрили	po̝d̪obrili
повличайте	povlitʃəjt̪ɛ
напреднало	nɐprɛd̪nəɫo̝
говорела	ɡovɔɾɛɫə
решите	rɛʃit̪ɛ
метях	mɛtʲax
отворех	ot̪vɔɾɛx
предричания	prɛd̪ritʃənijə
сравнили	srɐvnili
запридащото	zɐprid̪əʃt̪o̝t̪o̝
изслушан	isɫuʃən
близаният	blizənijət̪
разберели	rəzbɛrɛli
сприятеляванета	sprijət̪ɛlʲavənɛt̪ə
заковеш	zəkovɛʃ
възпроизведели	vəspro̝izvɛd̪ɛli
чакалото	tʃakəɫo̝t̪o̝
ръмящото	rɐmʲaʃt̪o̝t̪o̝
пристигналия	prist̪iɡnəlijə
авантюристично	avəntʲuɾist̪itʃno
причинявана	pritʃinʲavənə
изгризваше	izɡrizvəʃɛ
шибаното	ʃibəno̝t̪o̝
произлизай	pro̝izlizəj
разнасяне	rɐznasʲənɛ
надвнасяха	nɐd̪vnasʲəxə
прозирах	proziɾəx
можеща	mɔʒɛʃt̪ə
бушуващо	boʃuvəʃt̪o̝
накладяхте	nəkɫɐdʲaxt̪ɛ
дебелеят	d̪ɛbɛlɛjət̪
поспираш	pospiɾəʃ
отмирахте	ot̪miɾəxt̪ɛ
намекнете	nəmɛknɛt̪ɛ
прехапвали	prɛxapvəli
навестилите	nəvɛst̪ilit̪ɛ
пърдящите	pɐrdʲaʃt̪it̪ɛ
пращанията	praʃt̪ənijət̪ə
мразещите	mrazɛʃt̪it̪ɛ
автономните	aft̪onɔmnit̪ɛ
занасям	zɐnasʲəm
лъжещото	ɫɤʒɛʃt̪o̝t̪o̝
грабещите	ɡrabɛʃt̪it̪ɛ
грабихте	ɡrɐbixt̪ɛ
озаглавяващите	o̝zəɡɫɐvʲavəʃt̪it̪ɛ
шиело	ʃiɛɫo̝
ходеше	xɔd̪ɛʃɛ
дотече	d̪ot̪ɛtʃɛ
биеха	biɛxə
начиташ	nɐtʃit̪əʃ
отичалата	ot̪itʃəɫət̪ə
поизметена	po̝izmɛt̪ɛnə
предупреждавайте	prɛd̪o̝prɛʒd̪avəjt̪ɛ
пиете	piɛt̪ɛ
изговореше	izɡovɔɾɛʃɛ
допринасяше	d̪o̝prinasʲəʃɛ
пестеният	pɛst̪ɛnijət̪
пратят	pratʲət̪
поведени	povɛd̪ɛni
търсенетата	t̪ɤrsɛnɛt̪ət̪ə
глобиш	ɡɫobiʃ
лизахте	lizaxt̪ɛ
пристигалият	prist̪iɡəlijət̪
наводняваният	nəvod̪nʲavənijət̪
вдишахме	vd̪iʃəxmɛ
окрадях	o̝krɐdʲax
изковяхте	iskovʲaxt̪ɛ
оцветяването	o̝t͡svɛtʲavənɛt̪o̝
въвличало	vəvlitʃəɫo
наклажданата	nɐkɫaʒd̪ənət̪ə
пикаенията	pikaɛnijət̪ə
препоръчала	prɛporɤtʃəɫə
допряното	d̪oprʲano̝t̪o̝
изкупи	iskupi
продадяла	prod̪ədʲaɫə
предсказвате	prɛt̪skazvət̪ɛ
потушаваш	po̝t̪oʃavəʃ
плащали	pɫaʃt̪əli
абсорбирах	apsorbirəx
унесяхте	o̝nɛsʲaxt̪ɛ
пеения	pɛɛnijə
изтичанетата	ist̪itʃənɛt̪ət̪ə
премри	prɛmri
нахапванета	nɐxapvənɛt̪ə
предричащия	prɛd̪ritʃəʃt̪ijə
биещият	biɛʃt̪ijət̪
прегръщалата	prɛɡrɤʃt̪əɫət̪ə
нараняван	nəɾɐnʲavən
пронасящите	pronasʲəʃt̪it̪ɛ
забождайте	zɐbɔʒd̪əjt̪ɛ
донесеното	d̪onɛsɛno̝t̪o̝
обсъждах	opsɤʒd̪əx
тресена	t̪rɛsɛnə
провреният	provrɛnijət̪
наоблечела	nəo̝blɛtʃɛɫə
простиращи	prost̪iɾəʃt̪i
наковяха	nəkovʲaxə
допрочитан	d̪o̝protʃit̪ən
примрат	primrɤt̪
корилото	koriɫo̝t̪o̝
уволнявайки	o̝voɫnʲavəjkʲi
тичахте	t̪itʃaxt̪ɛ
гордеещ	ɡord̪ɛɛʃt̪
въвлекат	vəvlɛkɤt̪
попече	po̝pɛtʃɛ
извлечения	izvlɛtʃɛnijə
чутото	tʃut̪o̝t̪o̝
падащите	pad̪əʃt̪it̪ɛ
прозиращите	proziɾəʃt̪it̪ɛ
заплети	zəplɛt̪i
изпрелото	isprɛɫo̝t̪o̝
изнасящо	iznasʲəʃt̪o̝
изпичаща	ispitʃəʃt̪ə
купихте	kopixt̪ɛ
пронасящ	pronasʲəʃt̪
подписваш	pot̪pisvəʃ
поотичало	po̝ot̪itʃəɫo̝
изчезнахте	istʃɛznəxt̪ɛ
абсурдната	apsurd̪nət̪ə
заплашена	zɐpɫaʃɛnə
допрочиталата	d̪o̝protʃit̪əɫət̪ə
пренеслия	prɛnɛslijə
студентстват	st̪od̪ɛnt̪st̪vət̪
обезсмъртите	o̝bɛsmɐrt̪it̪ɛ
принасяхме	prinasʲəxmɛ
дотичахте	d̪ot̪itʃəxt̪ɛ
полудява	po̝ɫodʲavə
удовлетворяваното	o̝d̪o̝vlɛt̪vorʲavəno̝t̪o̝
сврял	svrʲaɫ
чупилия	tʃupilijə
надонасялата	nəd̪onasʲəɫət̪ə
презрете	prɛzrɛt̪ɛ
избраният	izbranijət̪
нагребяла	nəɡrɛbʲaɫə
надебеляванията	nəd̪ɛbɛlʲavənijət̪ə
горделия	ɡord̪ɛlijə
галицизъм	ɡalit͡sizəm
млъквахте	mɫɤkvəxt̪ɛ
