берлегендәге	bˌerleɣendˈæɣe
бакчасы	bɒqɕˈɒsɯ
шушында	ʃuʃˈɯndɑ
психолог	psixˈoɫoʁ
тасвирланган	tˌɒswirɫˈɑŋʁɑn
санарга	sɒnˈɒrʁɑ
кимеде	kimˈede
Һөҗүм	hˈœʑym
Җиһанов	ʑihˈɑnow
Зиннур	zˈinnur
спектаклен	speqtˈɑqɫen
әйтмим	æˈɪtmim
табалар	tɒbˈɒɫɑr
Яруллинның	jˌɑruɫɫˈinnɯŋ
язмадан	jɑzmˈɑdɑn
Нурмөхәммәт	nˌurmœxˈæmmæt
хакимияттән	xˌɒqimijˈættæn
илен	ˈilen
хәлле	xˈælle
форматка	formˈɑtqɑ
институты	ˌinstitˈutɯ
Никадәр	niqˈɑdær
таркала	tɒrqˈɒɫɑ
алуына	ˌɒɫuˈɯnɑ
төтен	tˈœten
рух	rˈux
кайтуны	qˌɒɪtˈunɯ
куюда	qujˈudɑ
операциясе	ˌoperˌɑtsijˈæse
күнеккән	kynˈekkæn
барыннан	bɒrˈɯnnɑn
уятырга	ˌujɑtˈɯrʁɑ
күрсәтелеп	kˌyrsætˈelep
лицеенда	lˌitseˈendɑ
Заһидуллина	zˌɒhiduɫɫˈinɑ
музейларда	mˌuzeɪɫˈɑrdɑ
пәнҗешәмбе	pˌænʑeʃˈæmbe
Чаллыдан	ɕɒɫɫˈɯdɑn
Мәчетнең	mæɕˈetneŋ
Горький	ʁorʔqˈiɪ
эсселек	essˈelek
медиага	mˌediˈɑʁɑ
вакыты	wɒqˈɯtɯ
чордагы	ɕordˈɑʁɯ
ният	nˈijæt
яктыртырга	jˌɑqtɯrtˈɯrʁɑ
тыңлаган	tɯŋɫˈɑʁɑn
өлгереп	œlɣˈerep
кими	kˈimi
Осетиядәге	ˌosetˌijædˈæɣe
тордылар	tordˈɯɫɑr
кыскартырга	qˌɯsqɑrtˈɯrʁɑ
дөньяга	dœnʔjˈæʁɑ
каналларда	qˌɒnɒɫɫˈɑrdɑ
әдәбиятында	ˌædæbˌijætˈɯndɑ
украиннары	ˌuqrɑinnˈɑrɯ
башкаручылар	bˌɒʃqɒruɕˈɯɫɑr
иза	ˈizɑ
шартлап	ʃˈɒrtɫɒp
идеясе	ˌidejˈæse
бәндәләр	bændˈælær
Аэро	ɒˈero
бренд	brˈend
Тула	tˈuɫɑ
нигезләре	nˌiɣezlˈære
банкка	bˈɒnqqɒ
тапкач	tˈɒpqɒɕ
Стәрлетамак	stˌærletˈɑmɑq
аеның	ɒˈenɯŋ
аксакаллары	ˌɒqsɒqɑɫɫˈɑrɯ
булгалады	bˌuɫʁɑɫˈɑdɯ
ярымга	jɑrˈɯmʁɑ
өйдә	œˈɪdæ
уйнап	uˈɪnɑp
Исмәгыйль	ismˈæʁɯjɫʔ
Протест	prˈotest
эзәрлеклиләр	ˌezærleklˈilær
Икенчедән	ˌikenɕˈedæn
университетына	ˌuniwˌersitetˈɯnɑ
такымнары	tˌɒqɯmnˈɑrɯ
татарлыкка	tˌɒtɒrɫˈɯqqɑ
приставлары	prˌistɑwɫˈɑrɯ
Төркмәнстаннан	tˌœrkmænstˈɑnnɑn
килешергә	kˌileʃˈerɣæ
хореография	xˌoreˌoʁrɑfˈijæ
Польша	pˈoɫʔʃɑ
альбомын	ɒɫʔbˈomɯn
журналистларны	ʒˌurnɑɫistɫˈɑrnɯ
фашистик	fɒʃˈistik
Гарәбстанының	ʁˌɒræbstɑnˈɯnɯŋ
Фидан	fˈidɑn
оешмада	ˌoeʃmˈɑdɑ
нияттән	nijˈættæn
ителеп	itˈelep
декларациясе	dˌeqɫɑrˌɑtsijˈæse
чыгышымда	ɕˌɯʁɯʃˈɯmdɑ
нәшире	næʃˈire
сөякләрен	sˌœjæklˈæren
комсомол	qomsˈomoɫ
очрашуда	ˌoɕrɑʃˈudɑ
томалап	tomˈɑɫɑp
бөртек	bˈœrtek
кыйммәтләренә	qˌɯjmmætlærˈenæ
тормышында	tˌormɯʃˈɯndɑ
ешрак	jˈɯʃrɑq
Мигрантлар	miʁrˈɑntɫɑr
монысына	mˌonɯsˈɯnɑ
формат	fˈormɑt
кибетендә	kˌibetˈendæ
төшерелеп	tˌœʃerˈelep
Болгарстаннан	bˌoɫʁɑrstˈɑnnɑn
сер	sˈer
идеологиягә	ˌideˌoɫoʁijˈæɣæ
язмасы	jɑzmˈɑsɯ
чыгардым	ɕɯʁˈɑrdɯm
Төбәкләр	tœbˈæklær
удмуртлар	udmˈurtɫɑr
Түрәләрнең	tˌyrælˈærneŋ
Медведев	medwˈedew
сөйләшәсең	sˌœɪlæʃˈæseŋ
утырышка	ˌutɯrˈɯʃqɑ
Сахалин	sɒxˈɒɫin
мәһабәт	mæhˈɑbæt
урамыннан	ˌurɑmˈɯnnɑn
уятырлык	ˌujɑtˈɯrɫɯq
Кешеләр	keʃˈelær
Үзегез	yzˈeɣez
гамәл	ʁˈɒmæl
конституциясе	qˌonstitˌutsijˈæse
күзәтә	kyzˈætæ
Исламны	isɫˈɑmnɯ
Киләчәгебез	kˌilæɕæɣˈebez
темаларны	tˌemɑɫˈɑrnɯ
Мәчетләрдә	mˌæɕetlˈærdæ
Минем	mˈinem
басмасының	bˌɒsmɒsˈɯnɯŋ
спектакльләрен	spˌeqtɑqɫʔɫˈæren
җыр	ʑˈɯr
кәдәр	kˈædær
Чехиягә	ɕˌexijˈæɣæ
Интер	ˈinter
төзәргә	tœzˈærɣæ
бозуларны	bˌozuɫˈɑrnɯ
Киләчәккә	kˌilæɕˈækkæ
сәгатьтән	sæʁˈɑtʔtæn
Фирая	firˈɑjɑ
норма	nˈormɑ
кунакларның	qˌunɑqɫˈɑrnɯŋ
фәкыйрь	fˈæqɯjrʔ
мартында	mɒrtˈɯndɑ
аена	ɒˈenɑ
Татарлык	tɒtˈɒrɫɯq
үтерүләр	ˌyterˈylær
җөмһүрият	ʑˌœmhyrˈijæt
куркабыз	qurqˈɑbɯz
Магнитогорски	mˌɒʁnitoʁˈorsqi
Чихиро	ɕixˈiro
тәрҗемәчеләр	tˌærʑemæɕˈelær
чыкканнан	ɕɯqqˈɑnnɑn
аерылмаган	ˌɒerɯɫmˈɑʁɑn
кинотеатры	kˌinoteˈɑtrɯ
сәбәп	sˈæbæp
мактауга	mˌɒqtɒˈuʁɑ
һөҗүм	hˈœʑym
мәкаләгә	mˌæqɑɫˈæɣæ
буйынса	bˌuɪˈɯnsɑ
игътибарына	ˌiɣʔtibɑrˈɯnɑ
тырышлыклары	tˌɯrɯʃɫɯqɫˈɑrɯ
ашларны	ɒʃɫˈɒrnɯ
каравы	qɒrˈɑwɯ
имласында	ˌimɫɑsˈɯndɑ
төрмәсенә	tˌœrmæsˈenæ
Берлеккә	berlˈekkæ
утырдык	utˈɯrdɯq
терәлеп	terˈælep
Кемнәр	kˈemnær
махсус	mˈɒxsus
Гыйлемдар	ʁɯjɫˈemdɑr
нчы	nɕˈɯ
Парижда	pɒrˈiʒdɑ
тәгаен	tæʁˈɑen
упкын	ˈupqɯn
Александра	ˌɒɫeqsˈɑndrɑ
маташалар	mˌɒtɒʃˈɑɫɑr
керәшеннәрне	kˌeræʃennˈærne
шурасындагы	ʃˌurɑsɯndˈɑʁɯ
оештырган	ˌoeʃtˈɯrʁɑn
Дөрес	dˈœres
чыганакларда	ɕˌɯʁɑnɑqɫˈɑrdɑ
мәртәбәле	mˌærtæbˈæle
сюжетлар	sjyʒˈetɫɑr
куәтен	quˈæten
мәсьәләнең	mˌæsʔælˈæneŋ
улар	ˈuɫɑr
каршыда	qɒrʃˈɯdɑ
төпләнеп	tœplˈænep
патшабикәсе	pˌɒtʃɒbikˈæse
яшәсә	jæʃˈæsæ
икътисадый	ˌikʔtisˈɑdɯj
күңелемә	kˌyŋelˈemæ
җибәрә	ʑibˈæræ
Хәйретдин	xˌæɪrˈetdin
сыер	sˈɯer
авыруга	ˌɑwɯrˈuʁɑ
ошаткан	oʃˈɑtqɑn
кешесенә	kˌeʃesˈenæ
казылык	qɒzˈɯɫɯq
Югалсам	juʁˈɑɫsɑm
бозуларга	bˌozuɫˈɑrʁɑ
Ләйсирә	lˌæɪsˈiræ
Воронежда	wˌoronˈeʒdɑ
күрсәтер	kyrsˈæter
итле	ˈitle
чарасы	ɕɒrˈɒsɯ
мәскәүләр	mˌæskæˈylær
ачылып	ɒɕˈɯɫɯp
айлык	ɒˈɪɫɯq
иярә	ijˈæræ
документларны	dˌoqumentɫˈɑrnɯ
Көндезге	kœndˈezɣe
шәп	ʃˈæp
районнарга	rˌɒɪonnˈɑrʁɑ
Уты	ˈutɯ
эске	ˈeske
сакчылары	sˌɒqɕɯɫˈɑrɯ
үлүчеләрнең	ˌylyɕelˈærneŋ
мигрантларга	mˌiʁrɑntɫˈɑrʁɑ
тирәсен	tirˈæsen
яктан	jˈɑqtɑn
үтсә	ˈytsæ
кыерсытылган	qˌɯersɯtˈɯɫʁɑn
йокларга	ˌɪoqɫˈɑrʁɑ
караган	qɒrˈɒʁɑn
Валентина	wˌɒɫentˈinɑ
утырту	utˈɯrtu
София	sofˈijæ
сәбәптән	sæbˈæptæn
диндарлар	dindˈɑrɫɑr
Сергач	sˈerʁɑɕ
рәткә	rˈætkæ
депутатларның	dˌeputɑtɫˈɑrnɯŋ
кардәшләребезгә	qˌɒrdæʃlˌærebˈezɣæ
тәҗрибәне	tˌæʑribˈæne
исәплибез	ˌisæplˈibez
пычратырга	pˌɯɕrɑtˈɯrʁɑ
һәйкәл	hæˈɪkæl
берүзе	berˈyze
җай	ʑˈɒɪ
укучылары	ˌuquɕɯɫˈɑrɯ
Сөйләшүдә	sˌœɪlæʃˈydæ
хокукларының	xˌoquqɫɑrˈɯnɯŋ
Сабантуе	sˌɒbɒntˈue
Һич	hˈiɕ
бушатырга	bˌuʃɑtˈɯrʁɑ
суырып	suˈɯrɯp
каядыр	qɒjˈɑdɯr
Вәлиди	wælˈidi
тудырылган	tˌudɯrˈɯɫʁɑn
якларда	jɑqɫˈɑrdɑ
гыйлемле	ʁɯjɫˈemle
киеренкелек	kˌierenkˈelek
пикеты	pikˈetɯ
вазыйфасыннан	wˌɒzɯjfɑsˈɯnnɑn
Тантанага	tˌɒntɒnˈɑʁɑ
буйсына	bˌuɪsˈɯnɑ
урамы	urˈɑmɯ
алмаганны	ˌɒɫmɒʁˈɑnnɯ
авыл	ˈɑwɯɫ
сүтелә	sytˈelæ
йортында	ˌɪortˈɯndɑ
ышанам	ɯʃˈɑnɑm
югарылыкта	jˌuʁɑrɯɫˈɯqtɑ
сиздем	sˈizdem
сәхнәсенә	sˌæxnæsˈenæ
хуплаучылар	xˌupɫɑuɕˈɯɫɑr
президентын	prˌezidˈentɯn
пулатының	pˌuɫɑtˈɯnɯŋ
теләвен	telˈæwen
җитеп	ʑˈitep
Төбәк	tˈœbæk
тикшергән	tikʃˈerɣæn
бизәп	bˈizæp
протокол	protˈoqoɫ
мәгарифе	mˌæʁɑrˈife
ахырындагы	ˌɒxɯrɯndˈɑʁɯ
җибәрүче	ʑˌibærˈyɕe
телисез	telˈisez
салымы	sɒɫˈɯmɯ
борчый	bˈorɕɯj
язсаң	jˈɑzsɑŋ
Ризасызлык	rˌizɑsˈɯzɫɯq
Хәния	xænˈijæ
саклау	sɒqɫˈɒu
битенә	bitˈenæ
салганнар	sɒɫʁˈɒnnɑr
фатирларында	fˌɒtirɫɑrˈɯndɑ
гражданлык	ʁrɒʒdˈɒnɫɯq
кылына	qɯɫˈɯnɑ
очрашуы	ˌoɕrɑʃˈuɯ
Сепаратистлар	sˌepɑrɑtˈistɫɑr
уздырдылар	ˌuzdɯrdˈɯɫɑr
мәслихәт	mæslˈixæt
чыгышлы	ɕɯʁˈɯʃɫɯ
доллар	dˈoɫɫɑr
үзаң	ˈyzɑŋ
телебездә	tˌelebˈezdæ
залларда	zɒɫɫˈɒrdɑ
Кемнәрдер	kemnˈærder
метрода	metrˈodɑ
урнаштырырга	ˌurnɑʃtɯrˈɯrʁɑ
сәфәрдән	sæfˈærdæn
ДТП	dtp
ияләренең	ˌijælærˈeneŋ
республикалардан	rˌespubɫˌiqɑɫˈɑrdɑn
шөбһә	ʃˈœbhæ
дуслашырга	dˌusɫɑʃˈɯrʁɑ
теләү	telˈæy
митингларда	mˌitiŋʁɫˈɑrdɑ
мәдәниятен	mˌædænijˈæten
Ленинга	lenˈiŋʁɑ
сүзләренчә	sˌyzlærˈenɕæ
зиярәт	zijˈæræt
интернетның	ˌinternˈetnɯŋ
мәдрәсәсенә	mˌædræsæsˈenæ
мөхтәсибе	mˌœxtæsˈibe
бизәкләр	bizˈæklær
Казанда	qɒzˈɒndɑ
укытучысын	ˌuqɯtuɕˈɯsɯn
Фәрхи	fˈærxi
чыгуына	ɕˌɯʁuˈɯnɑ
Роберт	rˈobert
Даниил	dɒnˈiil
ауыл	ɒˈuɯɫ
Дини	dˈini
татарчасы	tˌɒtɒrɕˈɑsɯ
ашыра	ɒʃˈɯrɑ
укы	ˈuqɯ
сорала	sorˈɑɫɑ
батыр	bˈɒtɯr
биюләре	bˌijylˈære
Мостай	mostˈɑɪ
конференциясен	qˌonferˌentsijˈæsen
Җәмилов	ʑæmˈiɫow
мәгарифнең	mˌæʁɑrˈifneŋ
Рәис	rˈæis
бәйсезлекне	bˌæɪsezlˈekne
колы	qˈoɫɯ
узмаган	uzmˈɑʁɑn
кылып	qˈɯɫɯp
чишмәсе	ɕiʃmˈæse
белдерүне	bˌelderˈyne
банкы	bˈɒnqɯ
омтылучы	ˌomtɯɫˈuɕɯ
килүчеләргә	kˌilyɕelˈærɣæ
наркоманнар	nˌɒrqomˈɑnnɑr
намазларга	nˌɒmɒzɫˈɑrʁɑ
кулланышка	qˌuɫɫɑnˈɯʃqɑ
Патша	pˈɒtʃɒ
низагка	nizˈɑʁqɑ
беректәш	berˈektæʃ
Җыенны	ʑɯˈennɯ
сайтка	sɒˈɪtqɑ
вариантны	wˌɒriˈɑntnɯ
башларбыз	bɒʃɫˈɒrbɯz
онытыла	ˌonɯtˈɯɫɑ
кармастан	qɒrmˈɒstɑn
кер	kˈer
хатыным	xɒtˈɯnɯm
айдан	ɒˈɪdɑn
куа	qˈuɑ
тор	tˈor
тотынышып	tˌotɯnˈɯʃɯp
Гаспралы	ʁɒsprˈɒɫɯ
һөҗүме	hœʑˈyme
Үрдүн	ˈyrdyn
бөртекләре	bˌœrteklˈære
гимны	ɣˈimnɯ
Самар	sˈɒmɒr
күрсәтүдән	kˌyrsætˈydæn
таркалуы	tˌɒrqɒɫˈuɯ
чәч	ɕˈæɕ
шартлады	ʃɒrtɫˈɒdɯ
төбәкләргә	tˌœbæklˈærɣæ
бәйләделәр	bˌæɪlædˈelær
интернет	intˈernet
документларында	dˌoqumˌentɫɑrˈɯndɑ
ватылган	wɒtˈɯɫʁɑn
кайларда	qˌɒɪɫˈɑrdɑ
Гомәров	ʁomˈærow
арыну	ɒrˈɯnu
басманың	bɒsmˈɒnɯŋ
әйләндерергә	ˌæɪlˌænderˈerɣæ
хокук	xˈoquq
тапшырылачак	tˌɒpʃɯrɯɫˈɑɕɑq
сатучыларның	sˌɒtuɕɯɫˈɑrnɯŋ
Госманлы	ʁosmˈɑnɫɯ
Өстәмә	œstˈæmæ
булмыйдыр	buɫmˈɯjdɯr
Армия	ɒrmˈijæ
мәсьәләләренә	mˌæsʔælˌælærˈenæ
ярышып	jɑrˈɯʃɯp
Ризык	rˈizɯq
Катынь	qˈɒtɯnʔ
санауга	sˌɒnɒˈuʁɑ
Хаҗиев	xɒʑˈiew
төне	tˈœne
булуга	buɫˈuʁɑ
Мәүлет	mæˈylet
Газиз	ʁˈɒziz
чамалы	ɕɒmˈɒɫɯ
көймәләргә	kˌœɪmælˈærɣæ
төс	tˈœs
авылдашлары	ˌɑwɯɫdɑʃɫˈɑrɯ
канәгатьләндерү	qˌɒnæʁˌɑtʔɫændˈery
үзендәге	ˌyzendˈæɣe
томалау	tˌomɑɫˈɑu
мәдрәсәсен	mˌædræsˈæsen
СССРның	sssrnˈɯŋ
гамәлләренең	ʁˌɒmællærˈeneŋ
кайтмаган	qˌɒɪtmˈɑʁɑn
каты	qˈɒtɯ
көрәшкәндә	kˌœræʃkˈændæ
яңа	jˈɑŋɑ
театрына	tˌeɑtrˈɯnɑ
азы	ˈɒzɯ
калганда	qɒɫʁˈɒndɑ
эшләгәнгә	ˌeʃlæɣˈæŋɣæ
Тукайга	tˌuqɑˈɪʁɑ
төшенкелеккә	tˌœʃenkelˈekkæ
журналисты	ʒˌurnɑɫˈistɯ
Кайда	qɒˈɪdɑ
күздән	kˈyzdæn
матдәсе	mɒtdˈæse
арынырга	ˌɒrɯnˈɯrʁɑ
элемтәләре	ˌelemtælˈære
яра	jˈɑrɑ
дала	dˈɒɫɒ
тиде	tˈide
Тумышы	tumˈɯʃɯ
Ихсанова	ˌixsɑnˈowɑ
сәеррәк	sæˈerræk
Донецкида	dˌonetskˈidɑ
катнашмаса	qˌɒtnɒʃmˈɑsɑ
чыганагы	ɕˌɯʁɑnˈɑʁɯ
кемнәрнең	kemnˈærneŋ
җыенуы	ʑˌɯenˈuɯ
сәясәтенә	sˌæjæsætˈenæ
Үлүчеләр	ˌylyɕˈelær
бора	bˈorɑ
яшәеше	jˌæʃæˈeʃe
Скандинавия	sqˌɒndinɑwˈijæ
фашистлар	fɒʃˈistɫɑr
дөньясын	dœnʔjˈæsɯn
Башкортларның	bˌɒʃqortɫˈɑrnɯŋ
сайлаячак	sˌɒɪɫɑjˈɑɕɑq
консул	qˈonsuɫ
үтерелә	ˌyterˈelæ
Хәл	xˈæl
Федерациясе	fˌederˌɑtsijˈæse
өметләнеп	ˌœmetlˈænep
Нәтиҗәсе	nˌætiʑˈæse
дәгъва	dˈæʁʔwɑ
чыгымнарны	ɕˌɯʁɯmnˈɑrnɯ
чыгарабыз	ɕˌɯʁɑrˈɑbɯz
факторлар	fɒqtˈorɫɑr
яратып	jɑrˈɑtɯp
кызыксынуы	qˌɯzɯqsɯnˈuɯ
Надир	nˈɒdir
сакланырга	sˌɒqɫɒnˈɯrʁɑ
минут	mˈinut
парламентында	pˌɒrɫɒmentˈɯndɑ
Җәләл	ʑˈælæl
киңлек	kˈiŋlek
мәзһәбе	mæzhˈæbe
басуда	bɒsˈudɑ
эшләсен	eʃlˈæsen
Бекир	bˈekir
үтенечен	ˌytenˈeɕen
барылмый	bɒrˈɯɫmɯj
янәдән	jænˈædæn
Сафиуллин	sˌɒfiˈuɫɫin
Билгесез	bilɣˈesez
әдәбиятына	ˌædæbˌijætˈɯnɑ
уңышы	uŋˈɯʃɯ
читләштерү	ɕˌitlæʃtˈery
Брюссель	brjˈysselʔ
Малайзия	mˌɒɫɒɪzˈijæ
искәртә	iskˈærtæ
китапларына	kˌitɑpɫɑrˈɯnɑ
хәрбиләр	xærbˈilær
һөҗүмнәр	hœʑˈymnær
ла	ɫˈɒ
милициягә	mˌilitsijˈæɣæ
укытмыйлар	ˌuqɯtmˈɯjɫɑr
Чират	ɕˈirɑt
Фәтхетдинов	fˌætxetdˈinow
дәүләтенә	dˌæylætˈenæ
йомгаклары	ˌɪomʁɑqɫˈɑrɯ
мәҗлесенең	mˌæʑlesˈeneŋ
яшим	jˈæʃim
хилафлык	xiɫˈɑfɫɯq
Әмәт	ˈæmæt
мәдәниятын	mˌædænijˈætɯn
әйткән	æˈɪtkæn
ләззәт	lˈæzzæt
котладылар	qˌotɫɑdˈɯɫɑr
финанслаган	fˌinɑnsɫˈɑʁɑn
Үзен	ˈyzen
тирәли	tirˈæli
музыкасы	mˌuzɯqˈɑsɯ
татарлык	tɒtˈɒrɫɯq
яңгырарга	jˌɑŋʁɯrˈɑrʁɑ
ирләргә	irlˈærɣæ
газеты	ʁɒzˈetɯ
башҡа	bˈɒʃqɒ
кызыксындылар	qˌɯzɯqsɯndˈɯɫɑr
хәлләрдән	xællˈærdæn
булдыра	buɫdˈɯrɑ
оеша	oˈeʃɑ
авылдашлар	ˌɑwɯɫdˈɑʃɫɑr
кибетләрне	kˌibetlˈærne
җәзалаулар	ʑˌæzɑɫɑˈuɫɑr
түлисе	tylˈise
Рәйсә	ræˈɪsæ
күрсәтергә	kˌyrsætˈerɣæ
чарасызлыктан	ɕˌɒrɒsɯzɫˈɯqtɑn
язмыш	jˈɑzmɯʃ
Русиядән	rˌusijˈædæn
адәм	ˈɒdæm
Укртатнафта	ˌuqrtɑtnˈɑftɑ
үтенде	ytˈende
булгалап	buɫʁˈɑɫɑp
Акчурин	ɒqɕˈurin
програмнар	proʁrˈɑmnɑr
музыка	muzˈɯqɑ
җыйдык	ʑˈɯjdɯq
очрашулары	ˌoɕrɑʃuɫˈɑrɯ
нотык	nˈotɯq
сервис	sˈerwis
хәтәр	xˈætær
мөмкинлекләребез	mˌœmkinlˌeklærˈebez
шуралары	ʃˌurɑɫˈɑrɯ
күңелендә	kˌyŋelˈendæ
китүгә	kitˈyɣæ
күзәтәбез	kˌyzætˈæbez
кертмәгәннәр	kˌertmæɣˈænnær
Гадел	ʁˈɒdel
мәгънәле	mæɣʔnˈæle
Бераз	bˈerɑz
әсбаплар	æsbˈɑpɫɑr
мөнәсәбәтләрдә	mˌœnæsˌæbætlˈærdæ
Алисә	ɒɫˈisæ
грузин	ʁrˈuzin
Москвы	mˈosqwɯ
матурлап	mɒtˈurɫɑp
саттылар	sɒttˈɯɫɑr
узу	ˈuzu
планга	pɫˈɒŋʁɒ
Тони	tˈoni
хәйрия	xˌæɪrˈijæ
үзенә	yzˈenæ
торак	tˈorɑq
Кәримуллин	kˌærimˈuɫɫin
сабыйларын	sˌɒbɯjɫˈɑrɯn
Сабирҗанова	sˌɒbirʑɑnˈowɑ
оешмалары	ˌoeʃmɑɫˈɑrɯ
альянска	ɒɫʔjˈɑnsqɑ
түрендә	tyrˈendæ
Корылтайга	qˌorɯɫtɑˈɪʁɑ
рәисләре	rˌæislˈære
өйләренә	ˌœɪlærˈenæ
язса	jˈɑzsɑ
Рәфискә	ræfˈiskæ
кашык	qˈɒʃɯq
теләмәүләре	tˌelæmˌæylˈære
бистәсенә	bˌistæsˈenæ
оешманы	ˌoeʃmˈɑnɯ
офисы	ofˈisɯ
теленә	telˈenæ
чыгаруга	ɕˌɯʁɑrˈuʁɑ
яклыйлар	jɑqɫˈɯjɫɑr
шәһәргә	ʃæhˈærɣæ
танылса	tɒnˈɯɫsɑ
матбугаты	mˌɒtbuʁˈɑtɯ
төшенкелеге	tˌœʃenkelˈeɣe
университетларында	ˌuniwˌersitˌetɫɑrˈɯndɑ
гаскәрләрендә	ʁˌɒsqærlærˈendæ
бүлеге	bylˈeɣe
бозылуга	bˌozɯɫˈuʁɑ
Шәймиевның	ʃˌæɪmiˈewnɯŋ
ярымлык	jɑrˈɯmɫɯq
Арча	ˈɒrɕɒ
күңелдә	kyŋˈeldæ
шелтә	ʃˈeltæ
Иртәнге	irtˈæŋɣe
рөхсәте	rœxsˈæte
Вәлидине	wˌælidˈine
пластик	pɫˈɒstik
пикетта	pikˈettɑ
КГБ	kɣb
чолганышка	ɕˌoɫʁɑnˈɯʃqɑ
сәгатенә	sˌæʁɑtˈenæ
җыя	ʑˈɯjɑ
Власов	wɫˈɒsow
хисләргә	xislˈærɣæ
көчләү	kœɕlˈæy
патриархы	pˌɒtriˈɑrxɯ
директоры	dˌireqtˈorɯ
хатны	xˈɒtnɯ
димим	dˈimim
көрәш	kˈœræʃ
Салават	sɒɫˈɑwɑt
мөнбәрдән	mœnbˈærdæn
ди	dˈi
Документ	doqˈument
сөйләшәбез	sˌœɪlæʃˈæbez
чыгышны	ɕɯʁˈɯʃnɯ
Германия	ɣˌermɑnˈijæ
министр	mˈinistr
китергәнен	kˌiterɣˈænen
чараларны	ɕˌɒrɒɫˈɑrnɯ
хәерле	xæˈerle
картлык	qˈɒrtɫɯq
дирекциясе	dˌirektsijˈæse
Шәйхи	ʃæˈɪxi
Греция	ɣretsˈijæ
мәҗбүр	mˈæʑbyr
Мюнхенда	mjyŋxˈendɑ
фикер	fˈiker
кем	kˈem
Сочига	soɕˈiʁɑ
уенны	uˈennɯ
Штатларга	ʃtɒtɫˈɒrʁɑ
федератив	fˌederˈɑtiw
Мусина	musˈinɑ
җибәрелүен	ʑˌibærelˈyen
хокукын	xoqˈuqɯn
эчемлекләрне	ˌeɕemleklˈærne
икәнлеге	ˌikænlˈeɣe
Мусин	mˈusin
мәҗлес	mˈæʑles
Бин	bˈin
әзерләдек	ˌæzerlˈædek
хәрбиләрне	xˌærbilˈærne
отып	ˈotɯp
апалары	ˌɒpɒɫˈɑrɯ
күтәрәбез	kˌytærˈæbez
үзгәреше	ˌyzɣærˈeʃe
Хәйруллина	xˌæɪruɫɫˈinɑ
фондының	fondˈɯnɯŋ
җыенулары	ʑˌɯenuɫˈɑrɯ
традиция	trˌɒditsˈijæ
Валенса	wɒɫˈensɑ
хезмәттәшлеген	xˌezmættæʃlˈeɣen
артмаган	ɒrtmˈɒʁɑn
йөкләнә	ˌɪœklˈænæ
шәхескә	ʃæxˈeskæ
төркемдә	tœrkˈemdæ
Губернатор	ʁˌubernˈɑtor
иминлеген	ˌiminlˈeɣen
нә	nˈæ
бернигә	bernˈiɣæ
илдәге	ildˈæɣe
жанр	ʒˈɒnr
авторларны	ˌɑwtorɫˈɑrnɯ
корбаннары	qˌorbɑnnˈɑrɯ
эзәрлекләү	ˌezærleklˈæy
һәлакәт	hæɫˈɑqæt
процесс	prˈotsess
керәшен	kerˈæʃen
Гата	ʁˈɒtɒ
Хөсәин	xœsˈæin
Фәния	fænˈijæ
фронтта	frˈonttɑ
төбәгенең	tˌœbæɣˈeneŋ
формада	formˈɑdɑ
Декабрь	dˈeqɑbrʔ
саннары	sɒnnˈɒrɯ
табылачак	tˌɒbɯɫˈɑɕɑq
Апрель	ˈɒprelʔ
реаль	rˈeɑɫʔ
китәм	kˈitæm
йөкләп	ɪˈœklæp
Дилмөхәммәтовны	dˌilmœxˌæmmætˈownɯ
Улар	ˈuɫɑr
төшенергә	tˌœʃenˈerɣæ
күрсәтмәсе	kˌyrsætmˈæse
җитмәс	ʑˈitmæs
Очрашулар	ˌoɕrɑʃˈuɫɑr
мәгълүматне	mˌæɣʔlymˈɑtne
таратырга	tˌɒrɒtˈɯrʁɑ
Бакуда	bɒqˈudɑ
эчендәге	ˌeɕendˈæɣe
Кәҗә	kˈæʑæ
программаны	prˌoʁrɑmmˈɑnɯ
өйрәнәсем	ˌœɪrænˈæsem
итен	ˈiten
дәүләттә	dˌæylˈættæ
хәрби	xˈærbi
сезнеңчә	seznˈeŋɕæ
билетларны	bˌiletɫˈɑrnɯ
бирер	bˈirer
ярдәмче	jærdˈæmɕe
ихтималлыгы	ˌixtimɑɫɫˈɯʁɯ
Сәяр	sˈæjær
нинди	nˈindi
артык	ˈɒrtɯq
керемнәр	kerˈemnær
диндәге	dindˈæɣe
кергәч	kˈerɣæɕ
куркытканнар	qˌurqɯtqˈɑnnɑr
шөгыль	ʃˈœʁɯɫʔ
Бергә	bˈerɣæ
Рәхимовның	rˌæximˈownɯŋ
артистның	ɒrtˈistnɯŋ
горурланам	ʁˌorurɫˈɑnɑm
җөмләләр	ʑœmlˈælær
ялганга	jɑɫʁˈɑŋʁɑ
Самардан	sɒmˈɒrdɑn
Әхмәдишин	ˌæxmædˈiʃin
Таҗикстанда	tˌɒʑiqstˈɑndɑ
тыгыз	tˈɯʁɯz
күзләрем	kyzlˈærem
яудыра	jˌɑudˈɯrɑ
сайтны	sɒˈɪtnɯ
дәвамчысы	dˌæwɑmɕˈɯsɯ
шартлаудан	ʃˌɒrtɫɒˈudɑn
тәрәккыять	tˌæræqqˈɯjɑtʔ
бирүдә	birˈydæ
