bestridan	bestriːdɑn
scearplice	ʃæ͜ɑrpliːt͡ʃe
sceaþan	ʃæ͜ɑθɑn
capian	kɑpiɑn
nigonfeald	niɡonfæ͜ɑld
wacor	wɑkor
upengel	upenjel
wælfyllo	wælfyllo
gegnum	jejnum
cranoc	krɑnok
hincian	xinkiɑn
slapan	slɑːpɑn
hyrne	xyrne
holm	xolm
nihtgenge	nixtɡenje
efenwiht	efenwixt
lofdæd	lofdæːd
pytt	pytt
gearn	jæ͜ɑrn
mangunghus	mɑnɡunɡxuːs
aweg	ɑːwej
termen	termen
gedrefednes	jedreːfednes
rætt	rætt
swamm	swɑmm
gecuman	jekumɑn
hæmedlac	xæːmedlɑːk
æthweorfan	ætxwe͜orfɑn
ryman	ryːmɑn
hosp	xosp
iohannes	joxɑnnes
stow	stoːw
glom	ɡloːm
forn	forn
drihten	drixten
elh	elx
fordon	fordoːn
ege	eːje
dreahtes	dræɑ̯htes
onlec	onleːt͡ʃ
beodern	be͜oːdern
meares	mæ͜ɑːres
easterne	æ͜ɑːsterne
forþteon	forθte͜oːn
antid	ɑːntiːd
loppe	loppe
fromcynn	fromkynn
drifan	driːfɑn
wan	wɑn
femne	feːmne
gesceadlic	jeʃɑːdliːt͡ʃ
ream	ræ͜ɑːm
feond	fe͜oːnd
swegl	swejl
toslitan	toːsliːtɑn
dah	dɑːx
yþgebland	yːθjeblɑnd
her	xeːr
æl	æl
burbyrde	buːrbyrde
wyrgen	wyrjen
ambeaht	ɑmbæ͜ɑxt
wen	weːn
samodwist	sɑmodwist
birhtu	birxtu
dwolma	dwolmɑ
þam	θɑːm
orsorgnes	orsorɡnes
banhus	bɑːnxuːs
foredeman	foredeːmɑn
moraþ	moːrɑθ
samodswegend	sɑmodsweːjend
deaþwerig	dæ͜ɑːθweːrij
seaxa	sæ͜ɑksɑ
buttorfleoge	buttorfle͜oːɡe
gewundian	jewundiɑn
hæmedwif	xæːmedwiːf
gearu	jæ͜ɑru
smiðian	smiθiɑn
þolian	θoliɑn
well	well
drusian	druːsiɑn
eowend	e͜owend
lafian	lɑfiɑn
scolu	ʃolu
hlinian	xliniɑn
geswin	jeswin
cneow	kne͜oːw
yfela	yfelɑ
frætwe	frætwe
seofoþa	se͜ofoθɑ
neoþeweard	ne͜oθewæ͜ɑrd
siwian	siwiɑn
meteþearfende	meteθæ͜ɑrfende
gefroren	jefroren
tysca	tyʃʃɑ
landfeoh	lɑndfe͜ox
sihþ	sixθ
bewepan	beweːpɑn
gestincan	jestinkɑn
mynetian	mynetiɑn
screawa	ʃræ͜ɑːwɑ
mislibban	mislibbɑn
firenligerian	firenlijerjɑn
rudig	rudij
ofercyrr	ofert͡ʃyrr
fægan	fæːjɑn
efenhleoþrian	efenxle͜oːθriɑn
cearwylm	t͡ʃæ͜ɑrwylm
hoþ	xoːθ
unlyft	unlyft
anad	ɑːnɑd
iw	iːw
sacende	sɑkende
hosan	xosɑn
wægholm	wæːjxolm
eþelfæsten	eːθelfæsten
geondstyrian	je͜ondstyrjɑn
gefrugnon	jefruːjnon
iow	i͜uːw
gesweor	jeswe͜oːr
oferwrigels	oferwriːɡels
flæsclic	flæːʃliːt͡ʃ
usc	uːsk
ceapa	t͡ʃæːɑ̯pɑ
gemetan	jemeːtɑn
freme	freme
forlædan	forlæːdɑn
wulfstan	wulfstɑːn
fyrdwite	fyrdwiːte
telg	telɡ
wiþerwinna	wiθerwinnɑ
eafoþ	æ͜ɑfoθ
giltig	ɡiltij
gemengan	jemenjɑn
þin	θiːn
wudu	wudu
sellic	selliːt͡ʃ
forwemman	forwemmɑn
rimere	riːmere
oferfaran	oferfɑrɑn
screadian	ʃræ͜ɑːdiɑn
niehsta	ni͜yːxstɑ
botwierþe	boːtwi͜yrθe
huntoþ	xuntoθ
staþolfæst	stɑθolfæst
sarnes	sɑːrnes
gastbana	ɡɑːstbɑnɑ
wrætlic	wræːtliːt͡ʃ
donua	donuɑ
efstan	efstɑn
hreaw	xræ͜ɑːw
cwysan	kwyːsɑn
eofor	e͜ofor
scamlic	ʃɑmliːt͡ʃ
grietu	ɡri͜yːtu
ascirigendlic	ɑːʃirijendliːt͡ʃ
december	dekember
dwelle	dwelle
ymbcyrr	ymbt͡ʃyrr
grætan	ɡræːtɑn
he	xeː
gecigendlic	jet͡ʃiːjendliːt͡ʃ
clænlic	klæːnliːt͡ʃ
freod	fre͜oːd
onmunan	onmunɑn
þoftscipe	θoftʃipe
þicnes	θiknes
gehiwcuþlician	jexiːwkuːθliːkiɑn
horshwæl	xorsxwæl
bædde	bæːdde
woruldlic	woruldliːt͡ʃ
wiergan	wi͜yrjɑn
scirgerefa	ʃiːrjereːfɑ
medern	meːdern
freolice	fre͜oːliːt͡ʃe
feorhbealo	fe͜orxbæ͜ɑlo
fæþm	fæθm
eald	æ͜ɑld
tosmeagan	toːsmæ͜ɑːjɑn
babilon	bɑbiloːn
carl	kɑrl
feondlic	fe͜oːndliːt͡ʃ
greosan	ɡre͜oːsɑn
gehycgan	jexyjjɑn
nacodnes	nɑkodnes
yrfenuma	yrfenumɑ
cycen	t͡ʃyːken
bepæcung	bepæːt͡ʃunɡ
grunnian	ɡrunniɑn
lungen	lunɡen
trahtian	trɑxtiɑn
sincfag	sinkfɑːɡ
spelc	spelk
weorþ	we͜orθ
elnboga	elnboɡɑ
yþfaru	yːθfɑru
lamp	lɑmp
windan	windɑn
hwergen	xwerjen
fæderen	fæderen
worda	wordɑ
goldmæstling	ɡoldmæstlinɡ
geleaful	jelæ͜ɑːful
ben	beːn
hwy	xwyː
þinne	θinne
winemæg	winemæːj
wær	wær
þerxold	θerksold
begripan	beɡriːpɑn
row	roːw
wigbære	wiːjbæːre
swingan	swinɡɑn
stærwritere	stæːrwriːtere
scyldwiga	ʃyldwiɡɑ
geonre	jonre
sweota	swe͜oːtɑ
arm	ɑrm
stær	stær
forcuman	forkumɑn
geolu	je͜olu
cietel	t͡ʃi͜ytel
fæst	fæst
spelcan	spelt͡ʃɑn
sien	si͜yːn
siððan	siθθɑn
tæcþ	tæːkθ
grim	ɡrim
adilgian	ɑːdilɡiɑn
fana	fɑnɑ
gastberend	ɡɑːstberend
bar	bɑːr
sixtigfeald	sikstijfæ͜ɑld
hundtwelftig	xundtwelftij
gerad	jerɑːd
undæd	undæːd
boca	boːkɑ
catte	kɑtte
hlafweard	xlɑːfwæ͜ɑrd
beteon	bete͜oːn
land	lɑnd
styria	styriɑ
onwican	onwiːkɑn
dolh	dolx
winterdæg	winterdæj
synnig	synnij
gemyþ	jemyːθ
hnitan	xniːtɑn
gewæpnod	jewæːpnod
þurhcreopan	θurxkre͜oːpɑn
eotaland	e͜oːtɑlɑnd
fugelere	fuɡelere
pearruc	pæ͜ɑrruk
rodorstol	rodorstoːl
wuldorbeah	wuldorbæ͜ɑːx
dœman	døːmɑn
leoþcræftig	le͜oːθkræftij
þoht	θoːxt
undeadlic	undæ͜ɑːdliːt͡ʃ
higian	xiːɡiɑn
dene	dene
forbrecan	forbrekɑn
scearu	ʃæ͜ɑru
þara	θɑːrɑ
bescyldigian	beʃyldiɡiɑn
sceaþa	ʃɑθɑ
feallan	fæ͜ɑllɑn
diht	dixt
stacga	stɑɡɡɑ
bismer	bismer
fang	fɑnɡ
metod	metod
ig	iːj
oþwendan	oːθwendɑn
ent	ent
anælan	ɑnæːlɑn
open	open
swilce	swilt͡ʃe
fætnes	fætnes
hara	xɑrɑ
wilweorþung	wilwe͜orθunɡ
underbugan	underbuːɡɑn
beorgan	be͜orɡɑn
witt	witt
dyrne	dyrne
genear	jenæ͜ɑr
bigspel	bijspel
cicen	kit͡ʃen
gearwe	jæ͜ɑrwe
wituma	witumɑ
geat	jæ͜ɑt
slæc	slæk
þrines	θriːnes
grundleas	ɡrundlæ͜ɑːs
wielm	wi͜ylm
mann	mɑnn
niþer	niθer
fotwielm	foːtwi͜ylm
ealdbacen	æ͜ɑldbɑken
mihte	miçte
edniwigend	edniːwijend
steorleas	ste͜oːrlæ͜ɑːs
geriht	jerixt
sægd	sæjd
eorþnafela	e͜orθnɑfelɑ
fyrst	fyrst
frecne	freːkne
swegel	swejel
fyrdrinc	fyrdrink
gefealdan	jefæ͜ɑldɑn
pinn	pinn
slecg	slejj
werleas	werlæ͜ɑːs
styrman	styrmɑn
ymbþringan	ymbθrinɡɑn
asyndrian	ɑːsyndriɑn
orgello	orɡello
inbrecan	inbrekɑn
slean	slæ͜ɑːn
untime	untiːme
isenordal	iːsenordɑːl
ciricþegn	t͡ʃirit͡ʃθejn
hwilum	xwiːlum
winterlic	winterliːt͡ʃ
tiw	tiːw
þeodan	θe͜oːdɑn
climban	klimbɑn
swin	swiːn
fictreow	fiːktre͜oːw
in	in
behlidan	bexliːdɑn
wist	wist
onsang	onsɑnɡ
cnossian	knossiɑn
anlaf	ɑnlɑf
werian	werjɑn
agenung	ɑːɡenunɡ
weaxcandel	wæ͜ɑkskɑndel
hundred	xundred
cynferþ	kynferθ
hland	xlɑnd
hoppestre	xoppestre
halgoland	xɑːlɡolɑnd
waccor	wɑkkor
nihtegale	nixteɡɑle
com	koːm
bedtid	bedtiːd
titt	titt
twirædness	twiræːdness
bilehwit	bilexwiːt
wudufæsten	wudufæsten
cælf	kælf
ægen	æːjen
gafolræden	ɡɑfolræːden
seolucen	se͜oluken
dragan	drɑɡɑn
agendfrea	ɑːɡendfræ͜ɑː
fæman	fæːmɑn
eowland	e͜owlɑnd
misfeng	misfeːnɡ
tapor	tɑpor
weland	welɑnd
þryccan	θrytt͡ʃɑn
cæg	kæːj
anhorn	ɑːnxorn
cirichad	t͡ʃirit͡ʃxɑːd
mycgnett	myjjnett
cedertreow	kedertre͜oːw
hlutor	xluːtor
sinceald	sint͡ʃæ͜ɑld
cyrr	t͡ʃyrr
sculdra	ʃuldrɑ
wicca	witt͡ʃɑ
forstoppian	forstoppiɑn
cystig	kystij
getwinn	jetwinn
genoh	jenoːx
sumorhus	sumorxuːs
hlafordlic	xlɑːfordliːt͡ʃ
blindnys	blindnys
gycce	jytt͡ʃe
defe	deːfe
geæhtle	jeæxtle
idel	iːdel
inn	inn
fyren	fyren
cofa	kofɑ
tyhtnes	tyxtnes
cnearr	knæ͜ɑrr
cynelic	kyneliːt͡ʃ
tu	tuː
temsian	temsiɑn
beornan	be͜ornɑn
bealohydig	bæ͜ɑloxyːdij
hellruna	xellruːnɑ
neowol	ne͜owol
geoc	je͜oːk
forhatan	forxɑːtɑn
becierran	bet͡ʃi͜yrrɑn
forhyrdan	forxyrdɑn
edniewung	edni͜yːwunɡ
ansyn	ɑnsyːn
gebyrde	jebyrde
færgryre	fæːrɡryre
wilgesiþ	wiljesiːθ
gespedsumian	jespeːdsumiɑn
leoþgiddung	le͜oːθjiddunɡ
efenniht	efennixt
nift	nift
gerecedness	jeret͡ʃedness
ymbwlatian	ymbwlɑːtiɑn
geþryccan	jeθrytt͡ʃɑn
forþwisian	forθwiːsiɑn
wiþmetendlic	wiθmetendliːt͡ʃ
rad	rɑːd
ciricgang	t͡ʃirit͡ʃɡɑnɡ
casern	kɑːsern
unmyltsiendlic	unmyltsiendliːt͡ʃ
cirictid	t͡ʃirit͡ʃtiːd
piper	piper
citelung	t͡ʃitelunɡ
ymbgangan	ymbɡɑnɡɑn
þegon	θeːɣon
wyrsa	wyrsɑ
hundteontig	xundte͜oːntij
hrif	xrif
wlanc	wlɑnk
bretland	bretlɑnd
forfon	forfoːn
heala	xæ͜ɑːlɑ
frumcyrr	frumt͡ʃyrr
gehiersumnes	jexi͜yːrsumnes
undruncen	undrunken
dædlic	dæːdliːt͡ʃ
hlosnian	xlosniɑn
þurhsiene	θurxsi͜yːne
dierne	di͜yrne
soþlic	soːθliːt͡ʃ
steorend	ste͜oːrend
þrowend	θroːwend
unhalig	unxɑːlij
þoncian	θonkiɑn
bold	bold
æfdyne	æfdyːne
hnesce	xneʃʃe
specan	spekɑn
blæd	blæd
wyrtian	wyrtiɑn
cirictun	t͡ʃiriktuːn
scearp	ʃæ͜ɑrp
alecgan	ɑːlejjɑn
blostm	bloːstm
ladung	lɑːdunɡ
wuldorfullice	wuldorfulliːt͡ʃe
scamol	ʃɑmol
ofhealdan	ofxæ͜ɑldɑn
fyrn	fyrn
grad	ɡrɑd
hyrdan	xyrdɑn
princ	prink
cweccan	kwett͡ʃɑn
bealdlice	bæ͜ɑldliːt͡ʃe
secan	seːt͡ʃɑn
user	uːser
geonga	junɡɑ
galdre	ɡɑldre
grammatic	ɡrɑmmɑtit͡ʃ
ungelæred	unjelæːred
þusendfeald	θuːsendfæ͜ɑld
stellan	stellɑn
seamestre	sæ͜ɑːmestre
sceacga	ʃɑɡɡɑ
swic	swik
gram	ɡrɑm
sunu	sunu
æsellend	æːsellend
cen	t͡ʃeːn
gebed	jebed
wælcyrge	wælkyrje
cnæwe	knæːwe
broþorleas	broːθorlæ͜ɑːs
hyr	xyːr
steartlian	stæ͜ɑrtliɑn
sæmeþe	sæːmeːθe
ongeancyrring	onjæ͜ɑːnt͡ʃyrrinɡ
cristesmæsse	kristesmæsse
anfeald	ɑːnfæ͜ɑld
feowertiene	fe͜oːwerti͜yːne
æwita	æːwitɑ
feldswamm	feldswɑmm
witan	wiːtɑn
gecnæwe	jeknæːwe
underbæc	underbæk
biemian	bi͜yːmiɑn
drægnet	dræjnet
sniðan	sniːθɑn
ful	ful
cynesetl	kynesetl
ierfa	i͜yrfɑ
ordal	ordɑːl
færeldboc	færeldboːk
stalu	stɑlu
syndrian	syndriɑn
col	koːl
feormeham	fe͜ormexɑːm
fær	fær
bæc	bæk
scrydan	ʃryːdɑn
wenan	weːnɑn
blostmian	bloːstmiɑn
dol	dol
acwician	ɑːkwikiɑn
cweman	kweːmɑn
milde	milde
wohfulnes	woːxfulnes
guþfugel	ɡuːθfuɡel
wyllen	wyllen
stirung	stirunɡ
heofonwuldor	xe͜ofonwuldor
þafung	θɑfunɡ
cropp	kropp
gebeacnian	jebæ͜ɑːkniɑn
mægden	mæjden
pyll	pyll
turfum	turfum
hit	xit
giestran	ji͜ystrɑn
mimor	mimor
scieldan	ʃi͜yldɑn
efor	efor
manig	mɑnij
blodgian	bloːdɡiɑn
stæna	stæːnɑ
leoþlic	le͜oːθliːt͡ʃ
wiþutan	wiθuːtɑn
unweder	unweder
ehta	extɑ
andcweþan	ɑndkweθɑn
framian	frɑmiɑn
broþ	broθ
ierre	i͜yrre
la	lɑː
feoht	fe͜oxt
oferwrecan	oferwrekɑn
bacu	bɑku
spinnan	spinnɑn
belt	belt
tyrf	tyrf
hringfinger	xrinɡfinɡer
deofol	de͜oːfol
alysan	ɑːlyːsɑn
lieglocc	li͜yːjlokk
ðorh	θorx
sigebeam	sijebæ͜ɑːm
alyfan	ɑːlyːfɑn
fordeman	fordeːmɑn
sundrian	sundriɑn
forþferde	forθfeːrde
reodan	re͜oːdɑn
oft	oft
bidon	bidon
ambiht	ɑmbixt
angsumnes	ɑnɡsumnes
gese	jeːse
gehiwian	jexiːwiɑn
leaslic	læ͜ɑːsliːt͡ʃ
gewædian	jewæːdiɑn
neart	næ͜ɑrt
hrimig	xriːmij
healdan	xæ͜ɑldɑn
lumpen	lumpen
feldælfen	feldælfen
laþ	lɑːθ
stæflic	stæfliːt͡ʃ
broþorlic	broːθorliːt͡ʃ
þingan	θinɡɑn
clænsian	klæːnsiɑn
uferor	uferor
cierran	t͡ʃi͜yrrɑn
bedclyfa	bedklyfɑ
geondmengan	je͜ondmenjɑn
mæghæmed	mæːjxæːmed
manscipe	mɑnskipe
rarian	rɑːriɑn
forewitan	forewitɑn
soþes	soːθes
scrobbesburh	ʃrobbesburx
æfest	æːfest
buc	buːk
carleasnes	kɑrlæ͜ɑːsnes
noþ	noːθ
refsan	refsɑn
imbe	imbe
biter	biter
læringmæden	læːrinɡmæːden
gebod	jebod
swiþe	swiːθe
slaga	slɑɡɑ
glitnian	ɡlitniɑn
swurd	swurd
þah	θɑːx
þænne	θænne
begang	beɡɑnɡ
forþsendan	forθsendɑn
gecnawan	jeknɑːwɑn
besingan	besinɡɑn
sec	seːk
sorg	sorɡ
landleas	lɑndlæ͜ɑːs
foregangan	foreɡɑnɡɑn
peohtas	pe͜oxtɑs
recenian	rekeniɑn
beotian	be͜oːtiɑn
wohsum	woːxsum
herebeorg	xerebe͜orɡ
wælhreownes	wælxre͜oːwnes
hnocc	xnokk
asweartian	ɑːswæ͜ɑrtiɑn
dæglic	dæjliːt͡ʃ
æscholt	æʃxolt
eastreamyþ	æ͜ɑːstræ͜ɑːmyːθ
sibræden	sibræːden
geat	jæ͜ɑːt
spelcean	spelt͡ʃɑn
blindnes	blindnes
befon	befoːn
samwist	sɑmwist
þrysmian	θrysmiɑn
eorcnan	e͜orknɑn
burna	burnɑ
biliþe	biliθe
beliefan	beli͜yːfɑn
crist	krist
gæt	ɡæːt
micelu	mit͡ʃelu
hranrad	xrɑnrɑːd
stor	stoːr
wiglung	wiɡlunɡ
alles	ɑlles
sceoliege	ʃe͜oːli͜yːje
grighund	ɡriːjxund
laþu	lɑθu
wuldorgimm	wuldorjimm
bledhwæt	bleːdxwæt
heahþrym	xæ͜ɑːxθrym
æþryttan	æːθryttɑn
hlimman	xlimmɑn
gecweþan	jekweθɑn
becweþan	bekweθɑn
ungleawnes	unɡlæ͜ɑːwnes
iudea	iudæ͜ɑ
sceotend	ʃe͜oːtend
hnah	xnɑːx
brydguma	bryːdɡumɑ
haga	xɑɡɑ
scitan	ʃiːtɑn
cræft	kræft
þreax	θræ͜ɑks
geywan	jeyːwɑn
bæcern	bækern
segl	sejl
wilisc	wiːliʃ
myln	myln
tæceþ	tæːt͡ʃeθ
monaþ	moːnɑθ
geleod	jele͜oːd
æþelhere	æθelxere
wese	weːse
tæhten	tæːxten
reþra	reːθrɑ
sunder	sunder
mægdenlic	mæjdenliːt͡ʃ
word	word
ciricgeriht	t͡ʃirit͡ʃjerixt
wynn	wynn
wuldrian	wuldriɑn
mið	miθ
ælan	æːlɑn
hornblawere	xornblɑːwere
healsgebedda	xæ͜ɑlsjebeddɑ
uder	uːder
ciricwica	t͡ʃirit͡ʃwiːt͡ʃɑ
stedefæstnes	stedefæstnes
gesyd	jesyd
edniwe	edniːwe
scufan	ʃuːfɑn
ofergesawan	oferjesɑːwɑn
geswincan	jeswinkɑn
munan	munɑn
gehealdsum	jexæ͜ɑldsum
hreþer	xreθer
gebeterian	jebeteriɑn
gespedan	jespeːdɑn
gesieltan	jesi͜yltɑn
leax	læ͜ɑks
gripe	ɡriːpe
langian	lɑnɡiɑn
ned	neːd
onmiddan	onmiddɑn
fnæs	fnæs
hlot	xlot
geostra	je͜ostrɑ
bolca	bolkɑ
þeodwiga	θe͜oːdwiɡɑ
bestyrian	bestyrjɑn
behabban	bexɑbbɑn
triwen	triwen
locc	lokk
leodstefn	le͜oːdstefn
wohfotede	woːxfoːtede
aweccan	ɑːwett͡ʃɑn
seofontig	se͜ofontij
cnyttan	knyttɑn
wræc	wræk
þeaw	θæ͜ɑːw
ambeht	ɑmbext
softe	soːfte
diere	di͜yːre
baþu	bɑθu
þefian	θefiɑn
muþa	muːθɑ
aberan	ɑːberɑn
frasian	frɑːsiɑn
geomor	je͜oːmor
bryttas	bryttɑs
ears	æ͜ɑrs
cwic	kwik
geþinge	jeθinɡe
geryne	jeryːne
wregan	wreːjɑn
ides	ides
wigle	wijle
fultumian	fultumiɑn
þerscan	θerʃɑn
swegan	sweːjɑn
anhende	ɑːnxende
unfulfremed	unfulfremed
gnagan	ɡnɑɡɑn
hlisa	xliːsɑ
sadol	sɑdol
geatwe	jæ͜ɑtwe
aseþan	ɑːseːθɑn
mædmonaþ	mæːdmoːnɑθ
cuþlæcan	kuːθlæːt͡ʃɑn
lichama	liːkxɑmɑ
geberan	jeberɑn
firenian	fireniɑn
neh	neːx
sugu	suɡu
asecgan	ɑːsejjɑn
fah	fɑːx
eft	eft
fiþerfete	fiθerfeːte
cenlice	keːnliːt͡ʃe
geswencednes	jeswent͡ʃednes
eagþyrel	æ͜ɑːɡθyːrel
þiestru	θi͜yːstru
weana	wæ͜ɑːnɑ
onhyring	onxyrinɡ
frægn	fræjn
warian	wɑriɑn
slief	sli͜yːf
wudufeoh	wudufe͜ox
sealdnes	sæ͜ɑldnes
andefera	ɑndeferɑ
hreac	xræ͜ɑːk
bewægnan	bewæjnɑn
yfelwillendnes	yfelwillendnes
bierhtu	bi͜yrxtu
axung	ɑːksunɡ
dropian	dropiɑn
flean	flæ͜ɑːn
foregenga	foreɡenjɑ
ætfleon	ætfle͜oːn
racenteagian	rɑkentæ͜ɑːɡiɑn
drænc	drænk
gebyrddæg	jebyrddæj
pislice	piːsliːt͡ʃe
hliþ	xliθ
clam	klɑːm
blind	blind
eadmund	æ͜ɑːdmund
wundorlic	wundorliːt͡ʃ
hæle	xæle
bærfot	bærfoːt
dreamcræft	dræ͜ɑːmkræft
clifiht	klifixt
sigorwuldor	siɡorwuldor
wiþmetan	wiθmetɑn
ih	ix
bieldan	bi͜yldɑn
rec	reːk
belyfan	belyːfɑn
seþan	seːθɑn
breowan	bre͜oːwɑn
gicel	jit͡ʃel
clipigendlic	klipijendliːt͡ʃ
sceafa	ʃɑfɑ
cædmon	kædmon
eare	æ͜ɑːre
afyllan	ɑːfyllɑn
wifian	wiːfiɑn
forealdian	foræ͜ɑldiɑn
gelæred	jelæːred
sorh	sorx
wlitig	wlitij
wifmann	wiːfmɑnn
gripul	ɡripul
wæterian	wæteriɑn
successe	sukkesse
þawian	θɑwiɑn
þæge	θæje
mete	mete
loc	lok
geþiedan	jeθi͜yːdɑn
last	lɑːst
gelimplice	jelimpliːt͡ʃe
selflic	selfliːt͡ʃ
wuldorfullian	wuldorfulliɑn
unrihtwisnes	unrixtwiːsnes
strynd	stryːnd
stæpe	stæpe
basnian	bɑːsniɑn
orceard	ort͡ʃæ͜ɑrd
wiþmetennes	wiθmetennes
þurhbirnan	θurxbirnɑn
mihtleas	mixtlæ͜ɑːs
bedul	bedul
geciegan	jet͡ʃi͜yːjɑn
bebeodan	bebe͜oːdɑn
ungleawscipe	unɡlæ͜ɑːwʃipe
þurhdreogan	θurxdre͜oːɡɑn
heals	xæ͜ɑls
lacnestre	lɑːknestre
æmete	æːmete
heah	xæ͜ɑːx
sweartnes	swæ͜ɑrtnes
tæcan	tæːt͡ʃɑn
timbrian	timbriɑn
wohhæmende	woːxxæːmende
orgol	orɡol
wacung	wɑkunɡ
maþa	mɑθɑ
swetlice	sweːtliːt͡ʃe
egland	eːjlɑnd
geþanc	jeθɑnk
gefere	jefeːre
forgieldan	forji͜yldɑn
rogian	roːɡiɑn
meolcan	me͜olkɑn
ræcan	ræːt͡ʃɑn
clyppan	klyppɑn
faþe	fɑθe
limpan	limpɑn
gesellan	jesellɑn
rodorlic	rodorliːt͡ʃ
deaþscyld	dæ͜ɑːθʃyld
bisæc	biːsæt͡ʃ
cycene	kyt͡ʃene
ongeanhweorfan	onjæ͜ɑːnxwe͜orfɑn
georne	je͜orne
þrowian	θroːwiɑn
gebland	jeblɑnd
oþian	oːθiɑn
ciricsceattweorc	t͡ʃirit͡ʃʃæ͜ɑttwe͜ork
gewuldrian	jewuldriɑn
marc	mɑrk
grindel	ɡrindel
biecnan	bi͜yːknɑn
drincan	drinkɑn
forbindan	forbindɑn
gemang	jemɑnɡ
hancred	xɑnkreːd
læt	læːt
ættrig	æːttrij
eaþmodig	æ͜ɑːθmoːdij
gescæphwil	jeʃæpxwiːl
plog	ploːɡ
elpend	elpend
steall	stæ͜ɑll
isig	iːsij
swiftnys	swiftnys
oþgripan	oθɡriːpɑn
fingerdocce	finɡerdokke
forblawan	forblɑːwɑn
deor	de͜oːr
hearg	xæ͜ɑrɡ
wælhreowlice	wælxre͜oːwliːt͡ʃe
þweorh	θwe͜orx
gemyndful	jemyndful
ðerh	θerx
bru	bruː
clæg	klæːj
adlian	ɑːdliɑn
grene	ɡreːne
dægweorc	dæjwe͜ork
hwearfian	xwæ͜ɑrfiɑn
sangestre	sɑnɡestre
medume	medume
healfweg	xæ͜ɑlfwej
gewanian	jewɑniɑn
ungewemmednes	unjewemmednes
melcan	melkɑn
sæcþ	sækθ
spendung	spendunɡ
midþolian	midθoliɑn
gesegen	jesejen
gleng	ɡlenj
fyrwet	fyrwet
dor	doːr
andgiet	ɑndji͜yt
teoþa	te͜oːθɑ
geondseon	je͜ondse͜oːn
seolcen	se͜olken
nytwyrþe	nytwyrθe
ofersceadan	oferʃæ͜ɑːdɑn
gielpe	jiylpe
gecyrran	jet͡ʃyrrɑn
forsecgan	forsejjɑn
sawan	sɑːwɑn
lyft	lyft
fæhþe	fæːhθe
aglæca	ɑːɡlæːt͡ʃɑ
castel	kɑstel
flæsc	flæːʃ
nacian	nɑkiɑn
deore	de͜oːre
druh	drux
unbryce	unbryt͡ʃe
wel	wel
linden	linden
swæcc	swækk
fæstnung	fæstnunɡ
edischenn	ediʃxenn
fæderlic	fæderliːt͡ʃ
wlitan	wliːtɑn
hælsung	xæːlsunɡ
wiga	wiɡɑ
sicor	sikor
heorþ	xe͜orθ
don	doːn
gastsunu	ɡɑːstsunu
ungewemmed	unjewemmed
foreberan	foreberɑn
haligdom	xɑːlijdoːm
hælendlic	xæːlendliːt͡ʃ
weardsteall	wæ͜ɑrdstæ͜ɑll
forsettan	forsettɑn
sceaðian	ʃɑθiɑn
misfehst	misfeːxst
hwit	xwiːt
beom	beːo̯m
israhel	isrɑxel
eardung	æ͜ɑrdunɡ
hreddan	xreddɑn
nyten	nyten
æðelhere	æθelxere
oroþ	oroθ
abrecan	ɑːbrekɑn
cynerice	kyneriːt͡ʃe
ofersteppan	ofersteppɑn
wæpenhus	wæːpenxuːs
neowolnes	ne͜owolnes
wegleas	wejlæ͜ɑːs
gelom	jeloːm
frymþu	frymθu
gefangian	jefɑnɡiɑn
giestrandæg	ji͜ystrɑndæj
toheawan	toːxæ͜ɑːwɑn
budda	buddɑ
geunderþeodan	jeunderθe͜oːdɑn
undernmæl	undernmæːl
wanian	wɑniɑn
weorpan	we͜orpɑn
line	liːne
scyndan	ʃyndɑn
beacen	bæ͜ɑːken
godþrym	ɡodθrym
bedelfan	bedelfɑn
wilnian	wilniɑn
ciricsocn	t͡ʃirit͡ʃsoːkn
stofn	stofn
geherigendlic	jexerijendliːt͡ʃ
drycræft	dryːkræft
þearf	θæ͜ɑrf
wiþhabban	wiθxɑbbɑn
sniwþ	sniːwθ
meotan	me͜otɑn
geweorc	jewe͜ork
tosceadan	toːʃæ͜ɑːdɑn
gedwolgod	jedwolɡod
gnidan	ɡniːdɑn
bitor	bitor
wir	wiːr
wiðsæcgan	wiθsæjjɑn
geondgeotan	je͜ondje͜oːtɑn
undercierran	undert͡ʃi͜yrrɑn
hwerfan	xwerfɑn
dom	doːm
blencan	blent͡ʃɑn
forlicgan	forliɡɡɑn
cocnian	koːkniɑn
loccian	lokkiɑn
dagung	dɑɡunɡ
distæf	distæf
lichamlice	liːkxɑmliːt͡ʃe
drepe	drepe
mase	mɑːse
flering	fleːrinɡ
finul	finul
cynig	kyniɡ
wendle	wendle
syferlic	syːferliːt͡ʃ
eorþhnutu	e͜orθxnutu
fla	flɑː
nahwær	nɑːxwæːr
crimman	krimmɑn
onlædan	onlæːdɑn
struta	struːtɑ
nicenned	niːkenned
twiscyldig	twiʃyldij
healfbrocen	xæ͜ɑlfbroken
grindere	ɡrindere
mec	mek
freogan	fre͜oːjɑn
eored	e͜oːred
wuduielfen	wudui͜ylfen
englisc	enɡliʃ
wyrrest	wyrrest
drihtenlice	drixtenliːt͡ʃe
wyrhta	wyrxtɑ
woden	woːden
uncnyttan	unknyttɑn
crincan	krinkɑn
eala	æ͜ɑːlɑː
