Певень	pʲˈɛvʲɛn
сенняшні	sʲɛnnʲˈj͡aʂni
акумулятара	ˌakumˌuɭʲɪtˈɑra
дзяржкантролю	dzʲˌɪrʐkantrˈoɭʲu
Асацыяцыя	ˌasat̻͡͡sˌɨɪt̻͡͡sˈɨa
разборка	razbˈorka
Багушэўскі	bˌaɣuʂˈɛwski
філасофская	fˌiɭasʌfskˈɑʲa
Святланай	svʲɪtɭˈɑnaj
запушчаны	zˌapuʂʈ͡͡ʂˈɑnɨ
аператыўныя	ˌapʲɛrˌatɨwnˈɨa
кіслароду	kˌisɭarˈodu
НАНОВА	nanˈova
калючым	kaɭʲˈuʈ͡͡ʂɨm
надаваў	nadˈɑvaw
уласны	uɭˈɑsnɨ
крайнія	krajnˈia
Мы	mˈɨ
адзіная	ˌadzinˈɑʲa
Дошкі	dˈoʂki
песнямі	pʲɛsnʲˈj͡ami
падарожныя	pˌadarʌʐnˈɨa
вермахта	vʲɛrmˈɑxta
верыў	vʲˈɛrɨw
Інакенція	ˌinakʲɛnt̻͡͡sˈia
краязнаўства	krˌaʲɪznˈɑwstva
метадычнай	mʲˌɛtadˈɨʈ͡͡ʂnaj
мабільнага	mˌabiɭnˈɑɣa
Расці	rˈɑst̻͡͡si
Пажаданне	pˌaʐadˈɑnnʲɛ
Падрабязна	pˌadrabʲˈj͡azna
ацалеў	at̻͡͡sˈɑɭʲɛw
Радзюкі	radzʲˈuki
сектарах	sʲɛktˈɑrax
тэксты	tˈɛkstɨ
мафіі	mafˈii
свінням	svˈinnʲɪm
даведніках	dˌavʲɛdnˈikax
падпісваюць	pˌadpisvˈɑʲut̻͡͡s
ваганняў	vaɣˈɑnnʲɪw
цэлебрацыю	t̻͡͡sˌɛɭʲɛbrat̻͡͡sˈɨu
хрысціянства	xrˌɨst̻͡͡siˈj͡anstva
туды	tˈudɨ
Шуляк	ʂˈuɭʲɪk
наважыцца	nˌavaʐˈɨt̻͡͡st̻͡͡sa
праваслаўная	prˌavasɭawnˈɑʲa
даступна	dastˈupna
ван	vˈɑn
дэбатах	dɛbˈɑtax
Членам	ʈ͡͡ʂɭʲˈɛnam
кавалкаў	kavˈɑɭkaw
нарыс	nˈɑrɨs
адыгрывала	ˌadɨɣrɨvˈɑɭa
Ірляндыі	ˌirɭʲɪndˈɨi
Варламаў	varɭˈɑmaw
валанцёрамі	vˌaɭant̻͡͡sʲɔrˈɑmi
нявесткай	nʲɪvʲˈɛstkaj
навес	nˈɑvʲɛs
Каліноўскаму	kˌaɭinʌwskˈɑmu
крэдытную	krˌɛdɨtnˈuʲu
Заўважана	zˌawvaʐˈɑna
разумовую	rˌazumʌvˈuʲu
Кіраўскай	kirˈɑwskaj
Паляўнічы	pˌaɭʲɪwnˈiʈ͡͡ʂɨ
палявых	paɭʲˈj͡avɨx
Валя	vˈɑɭʲa
няўдалая	nʲˌɪwdaɭˈɑʲa
навучылася	nˌavuʈ͡͡ʂɨɭˈɑsʲa
карнавальных	kˌarnavˈɑɭnɨx
членамі	ʈ͡͡ʂɭʲɛnˈɑmi
падцягвацца	pˌadt̻͡͡sʲɪɣvˈɑt̻͡͡st̻͡͡sa
Хаціслаўскі	xˌat̻͡͡sisɭˈɑwski
характара	xˌaraktˈɑra
музычнага	mˌuzɨʈ͡͡ʂnˈɑɣa
вараць	vˈɑrat̻͡͡s
вобразнага	vˌʌbraznˈɑɣa
Уваскрослым	ˌuvaskrˈosɭɨm
аматарскага	ˌamatarskˈɑɣa
Чэрыкаўскага	ʈ͡͡ʂˌɛrɨkawskˈɑɣa
сабраўшыся	sˌabrawʂˈɨsʲa
карэнняў	karˈɛnnʲɪw
тагачасная	tˌaɣaʈ͡͡ʂasnˈɑʲa
даведаешся	dˌavʲɛdaʲˈɛʂsʲa
адзначаўся	ˌadznaʈ͡͡ʂˈɑwsʲa
кабарэ	kabˈɑrɛ
багацейшы	bˌaɣat̻͡͡sʲˈɛjʂɨ
абнаўленню	ˌabnawɭʲˈɛnnʲu
прадстаўленага	prˌadstawɭʲɛnˈɑɣa
старэюць	starˈɛʲut̻͡͡s
пасуюць	pasˈuʲut̻͡͡s
пісьмо	pˈismʌ
казаньні	kazˈɑnni
жудасную	ʐˌudasnˈuʲu
дзеткамі	dzʲɛtkˈɑmi
Вераніцы	vʲˌɛranˈit̻͡͡sɨ
падрадчык	padrˈɑdʈ͡͡ʂɨk
садоў	sˈɑdʌw
цялятнік	t̻͡͡sʲɪɭʲˈj͡atnik
плоў	pɭˈow
пракляты	prakɭʲˈj͡atɨ
шумяць	ʂˈumʲɪt̻͡͡s
асветніца	ˌasvʲɛtnˈit̻͡͡sa
Берасцейшчыне	bʲˌɛrast̻͡͡sʲɛjʂʈ͡͡ʂˈɨnʲɛ
сакрамэнце	sˌakramˈɛnt̻͡͡sʲɛ
адступілі	ˌadstupˈiɭi
Сыцько	sˈɨt̻͡͡skʌ
Маёй	mˈɑʲɔj
хваляй	xvˈɑɭʲɪj
рэдакцыях	rˌɛdakt̻͡͡sˈɨɪx
дасталося	dˌastaɭˈosʲa
ўкладваў	wkɭˈɑdvaw
навуцы	navˈut̻͡͡sɨ
ўзмацненне	wzmat̻͡͡snʲˈɛnnʲɛ
Бэльгіі	bɛɭɣˈii
нізіна	nizˈina
кавярня	kavʲˈj͡arnʲa
маркетолагаў	mˌarkʲɛtʌɭˈɑɣaw
звычаямі	zvˌɨʈ͡͡ʂaʲˈj͡ami
ганчара	ɣanʈ͡͡ʂˈɑra
дзяўбе	dzʲˈj͡awbʲɛ
казачніка	kˌazaʈ͡͡ʂnˈika
чай	ʈ͡͡ʂˈɑj
старшынь	stˈɑrʂɨn
запалкі	zapˈɑɭki
полымі	pʌɭˈɨmi
ўваходжанне	wvˌaxʌdʐˈɑnnʲɛ
стандартная	stˌandartnˈɑʲa
немагчыма	nʲˌɛmaɣʈ͡͡ʂˈɨma
індывідуальнаму	ˌindɨvˌiduaɭnˈɑmu
ўздзейнічае	wzdzʲˌɛjniʈ͡͡ʂˈɑʲɛ
народзіць	narˈodzit̻͡͡s
тэмпам	tˈɛmpam
ўперадзе	wpʲɛrˈɑdzʲɛ
лаўрах	ɭˈɑwrax
Многае	mnʌɣˈɑʲɛ
восень	vˈosʲɛn
Збаўленне	zbawɭʲˈɛnnʲɛ
маўклівую	mˌawkɭivˈuʲu
абнавілі	ˌabnavˈiɭi
газ	ɣˈɑz
прыстасаваць	prˌɨstasˈɑvat̻͡͡s
прызнанне	prɨznˈɑnnʲɛ
лоўляй	ɭˈowɭʲɪj
бяросты	bʲɪrˈostɨ
клёна	kɭʲˈɔna
зазнаў	zˈɑznaw
нерухомым	nʲˌɛruxˈomɨm
дзіўнымі	dziwnˈɨmi
актывізуе	ˌaktɨvizˈuʲɛ
застрэліў	zastrˈɛɭiw
біяграфічных	bˌiɪɣrafˈiʈ͡͡ʂnɨx
балетная	bˌaɭʲɛtnˈɑʲa
Ватыканскі	vˌatɨkˈɑnski
факс	fˈɑks
практыкуецца	prˌaktɨkuʲˈɛt̻͡͡st̻͡͡sa
немэтазгодным	nʲˌɛmɛtazɣˈodnɨm
інтарэсу	ˌintarˈɛsu
старадаўнюю	stˌaradawnʲˈuʲu
схіляюцца	sxˌiɭʲɪˈut̻͡͡st̻͡͡sa
спавядаецца	spˌavʲɪdaʲˈɛt̻͡͡st̻͡͡sa
паўставала	pˌawstavˈɑɭa
Ружанскі	ruʐˈɑnski
Асноўную	ˌasnʌwnˈuʲu
праявілі	prˌaʲɪvˈiɭi
льнянога	ɭnʲɪnˈoɣa
выступах	vɨstˈupax
знікла	znˈikɭa
арганізоўваецца	ˌarɣanˌizʌwvaʲˈɛt̻͡͡st̻͡͡sa
патрабаванняў	pˌatrabavˈɑnnʲɪw
суаўтарам	sˌuawtˈɑram
праходзе	praxˈodzʲɛ
навацыі	nˌavat̻͡͡sˈɨi
умацаванні	ˌumat̻͡͡savˈɑnni
адстаўкі	adstˈɑwki
знакамі	znakˈɑmi
студый	stˈudɨj
адбыцця	adbˈɨt̻͡͡st̻͡͡sʲa
пераварот	pʲˌɛravˈɑrʌt
Пятроўнай	pʲɪtrˈownaj
статыстычнай	stˌatɨstˈɨʈ͡͡ʂnaj
прымітыўных	prˌɨmitˈɨwnɨx
студэнцтва	studˈɛnt̻͡͡stva
вен	vʲˈɛn
Замкавай	zamkˈɑvaj
Работнік	rabˈotnik
эстэтыка	ˌɛstɛtˈɨka
адрэналін	ˌadrɛnˈɑɭin
Мікалаеве	mˌikaɭaʲˈɛvʲɛ
рэпрэсаваны	rˌɛprɛsavˈɑnɨ
аддаленым	ˌaddaɭʲˈɛnɨm
Пашкоў	pˈɑʂkʌw
Самка	sˈɑmka
зайчык	zˈɑjʈ͡͡ʂɨk
вымушае	vˌɨmuʂˈɑʲɛ
забыліся	zˌabɨɭˈisʲa
кінутая	kˌinutˈɑʲa
прыбораў	prɨbˈoraw
знарок	znˈɑrʌk
панства	pˈɑnstva
панталыку	pˌantaɭˈɨku
Баяўся	baʲˈj͡awsʲa
разлад	rˈɑzɭad
помнікаў	pʌmnˈikaw
Працуюць	prat̻͡͡sˈuʲut̻͡͡s
Клінтана	kɭintˈɑna
праўладных	prawɭˈɑdnɨx
піў	pˈiw
энергаблокаў	ˌɛnʲɛrɣabɭˈokaw
прымыкалі	prˌɨmɨkˈɑɭi
спавядацца	spˌavʲɪdˈɑt̻͡͡st̻͡͡sa
аказалася	ˌakazaɭˈɑsʲa
адпускаецца	ˌadpuskaʲˈɛt̻͡͡st̻͡͡sa
ўніяцкага	wnˌiɪt̻͡͡skˈɑɣa
Гора	ɣˈora
Гардзіенка	ɣˌardziˈɛnka
натуральнае	nˌaturaɭnˈɑʲɛ
практыкуем	prˌaktɨkˈuʲɛm
акіянам	ˌakiˈj͡anam
райсельгастэхніцы	rˌajsʲɛɭɣˌastɛxnˈit̻͡͡sɨ
ганебны	ɣanʲˈɛbnɨ
Лаўрыновіч	ɭˌawrɨnˈoviʈ͡͡ʂ
Знайсці	znˈɑjst̻͡͡si
Казіміравіч	kˌazimirˈɑviʈ͡͡ʂ
дагаворнай	dˌaɣavˈornaj
агуркі	aɣˈurki
Гб	ɣb
запісвае	zˌapisvˈɑʲɛ
Сімферопаль	sˌimfʲɛrˈopaɭ
алімпіяднікаў	ˌaɭimpˌiɪdnˈikaw
паказальнік	pˌakazˈɑɭnik
снарады	snarˈɑdɨ
Будапешт	budˈɑpʲɛʂt
клясычны	kɭʲɪsˈɨʈ͡͡ʂnɨ
складка	skɭˈɑdka
ўкладвалі	wkɭadvˈɑɭi
прапанаваная	prˌapanˌavanˈɑʲa
фармаванні	fˌarmavˈɑnni
вялізныя	vʲˌɪɭiznˈɨa
зарэкамендавала	zˌarɛkˌamʲɛndavˈɑɭa
асалодай	ˌasaɭˈodaj
дынамічную	dˌɨnamiʈ͡͡ʂnˈuʲu
Граматай	ɣramˈɑtaj
няпоўны	nʲɪpˈownɨ
Бартосіка	bˌartʌsˈika
цаною	t̻͡͡sanˈoʲu
прыняцці	prɨnʲˈj͡at̻͡͡st̻͡͡si
ўласнікі	wɭasnˈiki
штучных	ʂtˈuʈ͡͡ʂnɨx
зварот	zvˈɑrʌt
лячэбную	ɭʲˌɪʈ͡͡ʂɛbnˈuʲu
адзначаць	adznˈɑʈ͡͡ʂat̻͡͡s
мікраарганізмаў	mˌikraˌarɣanˈizmaw
вітаецца	vˌitaʲˈɛt̻͡͡st̻͡͡sa
мільёны	miɭʲˈɔnɨ
знаходзяцца	znˌaxʌdzʲˈj͡at̻͡͡st̻͡͡sa
Ст	st
вопытным	vʌpˈɨtnɨm
глыбоцкім	ɣɭɨbˈot̻͡͡skim
Ленінскі	ɭʲɛnˈinski
адзежа	adzʲˈɛʐa
Капыльскі	kapˈɨɭski
выяўляцца	vˌɨɪwɭʲˈj͡at̻͡͡st̻͡͡sa
астатняе	ˌastatnʲˈj͡aʲɛ
Парнасе	parnˈɑsʲɛ
Каранеўскі	kˌaranʲˈɛwski
дабрабыт	dabrˈɑbɨt
Зоськай	zˈoskaj
Іванаўны	ˌivanˈɑwnɨ
азваўся	azvˈɑwsʲa
пешаходным	pʲˌɛʂaxˈodnɨm
пенсійным	pʲɛnsˈijnɨm
легкавушкі	ɭʲˌɛɣkavˈuʂki
Індывідуальны	ˌindɨvˌiduˈɑɭnɨ
бліскуча	bɭiskˈuʈ͡͡ʂa
вяршынь	vʲˈj͡arʂɨn
саслоўе	sasɭˈowʲɛ
заданнях	zadˈɑnnʲɪx
Лічыць	ɭˈiʈ͡͡ʂɨt̻͡͡s
Рай	rˈɑj
ЛДАКа	ɭdˈɑka
старшым	stˈɑrʂɨm
выслана	vɨsɭˈɑna
Ракітніца	rˌakitnˈit̻͡͡sa
распазналі	rˌaspaznˈɑɭi
вуснамі	vusnˈɑmi
паштальёнам	pˌaʂtaɭʲˈɔnam
агароджана	ˌaɣarʌdʐˈɑna
вобразнасць	vʌbrˈɑznast̻͡͡s
рэжысёры	rˌɛʐɨsʲˈɔrɨ
здаём	zdˈɑʲɔm
летнія	ɭʲɛtnˈia
свецкую	svʲɛt̻͡͡skˈuʲu
спаленага	spˌaɭʲɛnˈɑɣa
патэнцыяльны	pˌatɛnt̻͡͡sɨˈj͡aɭnɨ
распачатага	rˌaspaʈ͡͡ʂatˈɑɣa
Журналісцкае	ʐˌurnaɭist̻͡͡skˈɑʲɛ
заявіла	zˌaʲɪvˈiɭa
найвялікшай	nˌajvʲɪɭˈikʂaj
Шаціла	ʂat̻͡͡sˈiɭa
скіроўвае	skˌirʌwvˈɑʲɛ
павятовай	pˌavʲɪtˈovaj
памяшканне	pˌamʲɪʂkˈɑnnʲɛ
вырабляемай	vˌɨrabɭʲɪˈɛmaj
Акурат	akˈurat
памагатых	pˌamaɣˈɑtɨx
Носьбіты	nʌsbˈitɨ
Казакі	kazˈɑki
паважлівых	pˌavaʐɭˈivɨx
Барсукі	barsˈuki
зыску	zˈɨsku
матэрыі	mˌatɛrˈɨi
бяспечна	bʲɪspʲˈɛʈ͡͡ʂna
падпісвае	pˌadpisvˈɑʲɛ
Гуляйце	ɣuɭʲˈj͡ajt̻͡͡sʲɛ
студыя	studˈɨa
мацаваць	mat̻͡͡sˈɑvat̻͡͡s
АС	ˈɑs
запісвацца	zˌapisvˈɑt̻͡͡st̻͡͡sa
Таварнасць	tavˈɑrnast̻͡͡s
прымяніць	prɨmʲˈj͡anit̻͡͡s
ўнука	wnˈuka
рымскім	rˈɨmskim
рамонак	ramˈonak
Смольскага	smʌɭskˈɑɣa
Тракельскай	trakʲˈɛɭskaj
Віця	vˈit̻͡͡sʲa
адукаванасцю	ˌadukˌavanˈɑst̻͡͡sʲu
рашэньня	raʂˈɛnnʲa
праціўніку	prˌat̻͡͡siwnˈiku
Гэткія	ɣɛtkˈia
перакрылі	pʲˌɛrakrˈɨɭi
Судом	sˈudʌm
адпачываеш	ˌadpaʈ͡͡ʂɨvˈɑʲɛʂ
сельгаспрадпрыемства	sʲˌɛɭɣasprˌadprɨˈɛmstva
ладна	ɭˈɑdna
манаполію	mˌanapʌɭˈiu
выдаваць	vɨdˈɑvat̻͡͡s
падымаў	padˈɨmaw
памыляецца	pˌamɨɭʲɪˈɛt̻͡͡st̻͡͡sa
Тэрэзай	tɛrˈɛzaj
ўпісаць	wpˈisat̻͡͡s
наіўных	naˈiwnɨx
жэсту	ʐˈɛstu
крэатыўны	krˌɛatˈɨwnɨ
спачуваньні	spˌaʈ͡͡ʂuvˈɑnni
Пабачыў	pabˈɑʈ͡͡ʂɨw
гадоў	ɣˈɑdʌw
прыватнасці	prˌɨvatnˈɑst̻͡͡si
злых	zɭˈɨx
Сэрцу	sˈɛrt̻͡͡su
лётчык	ɭʲˈɔtʈ͡͡ʂɨk
рэпрэсіі	rˌɛprɛsˈii
паўстаюць	pawstˈɑʲut̻͡͡s
падзівіцца	pˌadzivˈit̻͡͡st̻͡͡sa
змешаным	zmʲɛʂˈɑnɨm
жоўтыя	ʐʌwtˈɨa
грунтоўным	ɣruntˈownɨm
Сусьветны	susvʲˈɛtnɨ
пасеву	pasʲˈɛvu
геніяльны	ɣʲˌɛniˈj͡aɭnɨ
ахоўвала	ˌaxʌwvˈɑɭa
неверагодны	nʲˌɛvʲɛraɣˈodnɨ
купку	kˈupku
цытатаў	t̻͡͡sɨtˈɑtaw
адстойвала	ˌadstʌjvˈɑɭa
настаўніцу	nˌastawnˈit̻͡͡su
акустыку	ˌakustˈɨku
загадкавай	zˌaɣadkˈɑvaj
паслужылі	pˌasɭuʐˈɨɭi
партнёр	pˈɑrtnʲɔr
рытуалам	rˌɨtuˈɑɭam
уборы	ubˈorɨ
апублікаваная	ˌapubɭˌikavanˈɑʲa
гомасэксуалістам	ɣˌʌmasˌɛksuaɭˈistam
Назіральнікі	nˌaziraɭnˈiki
перастаюць	pʲˌɛrastˈɑʲut̻͡͡s
бездапаможнае	bʲˌɛzdapˌamʌʐnˈɑʲɛ
магнітных	maɣnˈitnɨx
уперад	upʲˈɛrad
пальцам	pˈɑɭt̻͡͡sam
стальных	stˈɑɭnɨx
філасофскі	fˌiɭasˈofski
гутарку	ɣutˈɑrku
таямніцаў	tˌaʲɪmnˈit̻͡͡saw
завуцца	zavˈut̻͡͡st̻͡͡sa
фермерам	fʲɛrmʲˈɛram
немалаважна	nʲˌɛmaɭavˈɑʐna
пароду	parˈodu
міграцыі	mˌiɣrat̻͡͡sˈɨi
Гайдукевіча	ɣˌajdukʲɛvˈiʈ͡͡ʂa
прафарыентацыйную	prˌafarˌɨɛntˌat̻͡͡sɨjnˈuʲu
чашу	ʈ͡͡ʂˈɑʂu
фразамі	frazˈɑmi
паланэза	pˌaɭanˈɛza
скрайне	skrˈɑjnʲɛ
маршрутныя	mˌarʂrutnˈɨa
Высветлілася	vˌɨsvʲɛtɭiɭˈɑsʲa
папоўніў	papˈowniw
парастак	parˈɑstak
суднаў	sˈudnaw
сяржанты	sʲɪrʐˈɑntɨ
тунэля	tunˈɛɭʲa
льготы	ɭɣˈotɨ
цудадзейны	t̻͡͡sˌudadzʲˈɛjnɨ
Уладзіславу	ˌuɭadzisɭˈɑvu
бяроза	bʲɪrˈoza
лепяльчане	ɭʲˌɛpʲɪɭʈ͡͡ʂˈɑnʲɛ
навучаўся	nˌavuʈ͡͡ʂˈɑwsʲa
нікчэмны	nikʈ͡͡ʂˈɛmnɨ
крытычны	krɨtˈɨʈ͡͡ʂnɨ
спрытным	sprˈɨtnɨm
біблейская	bˌibɭʲɛjskˈɑʲa
узгадаў	uzɣˈɑdaw
тэматыкі	tˌɛmatˈɨki
спытаць	spˈɨtat̻͡͡s
Пскова	pskˈova
публіку	pubɭˈiku
турбаваўся	tˌurbavˈɑwsʲa
наступнаму	nˌastupnˈɑmu
паэзія	pˌaɛzˈia
робіце	rʌbˈit̻͡͡sʲɛ
прыкладаць	prɨkɭˈɑdat̻͡͡s
ложкі	ɭˈoʐki
Кармэль	kˈɑrmɛɭ
праваахоўнікаў	prˌavaˌaxʌwnˈikaw
рашэнне	raʂˈɛnnʲɛ
пакажуць	pakˈɑʐut̻͡͡s
шашы	ʂˈɑʂɨ
травень	trˈɑvʲɛn
ўзораў	wzˈoraw
адсылаюць	ˌadsɨɭˈɑʲut̻͡͡s
Майдан	mˈɑjdan
незнаёмага	nʲˌɛznaʲɔmˈɑɣa
жахлівым	ʐaxɭˈivɨm
рыцара	rɨt̻͡͡sˈɑra
прарочылі	prˌarʌʈ͡͡ʂˈɨɭi
Дзмітрыеў	dzmitrˈɨɛw
выпускнікамі	vˌɨpusknikˈɑmi
кулінарная	kˌuɭinarnˈɑʲa
утрымліваліся	ˌutrɨmɭˌivaɭˈisʲa
метадычным	mʲˌɛtadˈɨʈ͡͡ʂnɨm
мецэнацтва	mʲˌɛt̻͡͡sɛnˈɑt̻͡͡stva
закахана	zˌakaxˈɑna
слаўнай	sɭˈɑwnaj
піца	pˈit̻͡͡sa
Эксперты	ɛkspʲˈɛrtɨ
зернем	zʲˈɛrnʲɛm
прыстаў	prˈɨstaw
Чыгірынка	ʈ͡͡ʂˌɨɣirˈɨnka
асаблівасьцямі	ˌasabɭˌivast̻͡͡sʲˈj͡ami
камбайнам	kambˈɑjnam
Пераможцамі	pʲˌɛramʌʐt̻͡͡sˈɑmi
закрыцця	zakrˈɨt̻͡͡st̻͡͡sʲa
Выконваецца	vˌɨkʌnvaʲˈɛt̻͡͡st̻͡͡sa
неабходнай	nʲˌɛabxˈodnaj
высілкам	vɨsˈiɭkam
гарбату	ɣarbˈɑtu
асцярожнасцю	ˌast̻͡͡sʲɪrʌʐnˈɑst̻͡͡sʲu
перапынкам	pʲˌɛrapˈɨnkam
крушэнне	kruʂˈɛnnʲɛ
ўскладняецца	wskɭˌadnʲɪˈɛt̻͡͡st̻͡͡sa
скотчам	skˈotʈ͡͡ʂam
Беларускіх	bʲˌɛɭarˈuskix
Сірыю	sirˈɨu
шаўца	ʂˈɑwt̻͡͡sa
вучонага	vˌuʈ͡͡ʂʌnˈɑɣa
валодаў	vaɭˈodaw
пірага	pirˈɑɣa
глядзім	ɣɭʲˈj͡adzim
ўзяўся	wzʲˈj͡awsʲa
Саўчук	sˈɑwʈ͡͡ʂuk
энергаёмістасці	ˌɛnʲɛrɣˌaʲɔmistˈɑst̻͡͡si
месціўся	mʲɛst̻͡͡sˈiwsʲa
цалуюць	t̻͡͡saɭˈuʲut̻͡͡s
процілеглы	prˌʌt̻͡͡siɭʲˈɛɣɭɨ
Люцыі	ɭʲut̻͡͡sˈɨi
ўкладзена	wkɭadzʲˈɛna
відарыс	vidˈɑrɨs
вымалёўваецца	vˌɨmaɭʲˌɔwvaʲˈɛt̻͡͡st̻͡͡sa
секулярызацыя	sʲˌɛkuɭʲˌɪrɨzat̻͡͡sˈɨa
рабоце	rabˈot̻͡͡sʲɛ
сакрэтныя	sˌakrɛtnˈɨa
каштоўнасці	kˌaʂtʌwnˈɑst̻͡͡si
пэрформанс	pɛrfˈormans
зацягнуць	zat̻͡͡sʲˈj͡aɣnut̻͡͡s
вуглавы	vuɣɭˈɑvɨ
Шыпіла	ʂɨpˈiɭa
гераічных	ɣʲˌɛraˈiʈ͡͡ʂnɨx
надавацца	nˌadavˈɑt̻͡͡st̻͡͡sa
пусьціць	pˈust̻͡͡sit̻͡͡s
світа	svˈita
Рэя	rˈɛʲa
Кароткі	karˈotki
прэзентацыях	prˌɛzʲɛntat̻͡͡sˈɨɪx
спіной	spˈinʌj
ўзыходзіць	wzɨxˈodzit̻͡͡s
Расціслава	rˌast̻͡͡sisɭˈɑva
параніла	pˌaranˈiɭa
Ліпск	ɭˈipsk
шляхта	ʂɭʲˈj͡axta
склалі	skɭˈɑɭi
Газэта	ɣazˈɛta
апускае	ˌapuskˈɑʲɛ
аптымізацыю	ˌaptɨmˌizat̻͡͡sˈɨu
інтэрнатах	ˌintɛrnˈɑtax
веснічкі	vʲɛsnˈiʈ͡͡ʂki
адміністрацыяй	ˌadminˌistrat̻͡͡sˈɨɪj
затрымлівае	zˌatrɨmɭivˈɑʲɛ
ўзорах	wzˈorax
кантралёрам	kˌantraɭʲˈɔram
Люстэрка	ɭʲustˈɛrka
надаючы	nˌadaʲˈuʈ͡͡ʂɨ
папоўніцца	pˌapʌwnˈit̻͡͡st̻͡͡sa
перасячэнні	pʲˌɛrasʲɪʈ͡͡ʂˈɛnni
традыцыйнаму	trˌadɨt̻͡͡sɨjnˈɑmu
настаўніцкія	nˌastawnit̻͡͡skˈia
распрацаваныя	rˌasprat̻͡͡sˌavanˈɨa
Гомельскага	ɣˌʌmʲɛɭskˈɑɣa
Івашчанка	ˌivaʂʈ͡͡ʂˈɑnka
падабацца	pˌadabˈɑt̻͡͡st̻͡͡sa
змясціліся	zmʲˌɪst̻͡͡siɭˈisʲa
водаправод	vˌʌdaprˈɑvʌd
Здараюцца	zdˌaraʲˈut̻͡͡st̻͡͡sa
дурных	dˈurnɨx
кветкавыя	kvʲˌɛtkavˈɨa
немаўлятак	nʲˌɛmawɭʲˈj͡atak
падрыхтоўкі	pˌadrɨxtˈowki
пакланяліся	pˌakɭanʲɪɭˈisʲa
гука	ɣˈuka
прылягае	prˌɨɭʲɪɣˈɑʲɛ
паставак	pastˈɑvak
Гена	ɣʲˈɛna
здраднікі	zdradnˈiki
Шаўчэнка	ʂawʈ͡͡ʂˈɛnka
ўбок	wbˈok
інжынеру	ˌinʐɨnʲˈɛru
васьмёркі	vasmʲˈɔrki
трыбуну	trɨbˈunu
Арлоўскі	arɭˈowski
Целяханшчыне	t̻͡͡sʲˌɛɭʲɪxanʂʈ͡͡ʂˈɨnʲɛ
Зрэшты	zrˈɛʂtɨ
суседзі	susʲˈɛdzi
iншай	nʂˈɑj
заселі	zasʲˈɛɭi
абмежавалася	ˌabmʲɛʐˌavaɭˈɑsʲa
металічная	mʲˌɛtaɭiʈ͡͡ʂnˈɑʲa
плюралізм	pɭʲurˈɑɭizm
смачным	smˈɑʈ͡͡ʂnɨm
жонкамі	ʐʌnkˈɑmi
Русаковіч	rˌusakˈoviʈ͡͡ʂ
патрабаваліся	pˌatrabˌavaɭˈisʲa
Прадстаўнікі	prˌadstawnˈiki
рэліквіяй	rˌɛɭikvˈiɪj
ўкраінскіх	wkraˈinskix
перакананыя	pʲˌɛrakˌananˈɨa
рэпартажу	rˌɛpartˈɑʐu
запісаных	zˌapisˈɑnɨx
Дамова	damˈova
бернардзінак	bʲˌɛrnardzˈinak
палаючых	pˌaɭaʲˈuʈ͡͡ʂɨx
няшчасная	nʲˌɪʂʈ͡͡ʂasnˈɑʲa
святынямі	svʲˌɪtɨnʲˈj͡ami
цуда	t̻͡͡sˈuda
канкурэнтнай	kˌankurˈɛntnaj
народнае	nˌarʌdnˈɑʲɛ
Даляр	dˈɑɭʲɪr
запраўды	zaprˈɑwdɨ
заканадаўстве	zˌakanadˈɑwstvʲɛ
сеці	sʲˈɛt̻͡͡si
шыла	ʂˈɨɭa
адміністрацыйнага	ˌadminˌistrat̻͡͡sɨjnˈɑɣa
Уздзеншчыны	ˌuzdzʲɛnʂʈ͡͡ʂˈɨnɨ
Андрэевічам	ˌandrɛʲɛvˈiʈ͡͡ʂam
скіраванага	skˌiravanˈɑɣa
мясной	mʲˈj͡asnʌj
Завішы	zavˈiʂɨ
пераходзім	pʲˌɛraxˈodzim
закідалі	zˌakidˈɑɭi
птушынага	ptˌuʂɨnˈɑɣa
Адзначалася	ˌadznaʈ͡͡ʂaɭˈɑsʲa
Іллю	ˈiɭɭʲu
Расоншчыне	rˌasʌnʂʈ͡͡ʂˈɨnʲɛ
механізаванай	mʲˌɛxanˌizavˈɑnaj
нагэтулькі	nˌaɣɛtˈuɭki
форум	fˈorum
Такою	takˈoʲu
свечку	svʲˈɛʈ͡͡ʂku
праўдзівай	prawdzˈivaj
раўнда	rˈɑwnda
іменем	imʲˈɛnʲɛm
пульта	pˈuɭta
закваскі	zakvˈɑski
асветніцкія	ˌasvʲɛtnit̻͡͡skˈia
ветлівым	vʲɛtɭˈivɨm
аздараўлення	ˌazdarawɭʲˈɛnnʲa
модным	mˈodnɨm
траціць	trˈɑt̻͡͡sit̻͡͡s
медыцынскую	mʲˌɛdɨt̻͡͡sɨnskˈuʲu
інтэрнат	intˈɛrnat
Астанкі	astˈɑnki
душэўнай	duʂˈɛwnaj
выдзяляў	vɨdzʲˈj͡aɭʲɪw
публікацыях	pˌubɭikat̻͡͡sˈɨɪx
фанат	fˈɑnat
найлепшы	najɭʲˈɛpʂɨ
пускалі	puskˈɑɭi
сутыкацца	sˌutɨkˈɑt̻͡͡st̻͡͡sa
пашырэннем	pˌaʂɨrˈɛnnʲɛm
Чыя	ʈ͡͡ʂˈɨa
