pozitif	pozitˈɪf
hedefle	hedˈɛflɛ
teknolojilerinin	tɛknoɫoʒileɾinˈɪn
Sisteminin	sɪsteminˈɪn
biliniyorsa	bilinˈijɔrsa
zincirinde	zɪnd͡ʒiɾɪndˈɛ
sığdır	sˈɯɯdɯr
gitmedi	ɟˈɪtmedɪ
sandalyede	sandaɫjedˈɛ
plajında	pɫaʒɯndˈa
teras	teɾˈas
Belmont	bælmˈɔnt
Takımıyla	takɯmˈɯjɫa
Robson	rɔbsˈɔn
anlaşılır	anɫaʃɯɫˈɯr
söylemesinin	sœjlemesinˈɪn
Wonderland	wɔndɛrɫˈand
Öğretmenlik	œːɾɛtmænlˈɪk
Endless	ændlˈɛss
rezervasyonu	rezɛrvasjonˈʊ
Pir	pˈɪr
varsayılmıştır	varsajɯɫmˈɯʃtɯr
Gemini	ɟeminˈɪ
Akbank	akbˈank
modülüne	modylynˈɛ
testlerle	tɛstlˈɛrlɛ
dopaminerjik	dopaminɛrʒˈɪk
inisiye	inisijˈɛ
delillerin	delɪlleɾˈɪn
branşlarda	branʃɫardˈa
kültürlerinde	køltørleɾɪndˈɛ
zincirindeki	zɪnd͡ʒiɾɪndekˈɪ
omzu	ɔmzˈʊ
kazanca	kazand͡ʒˈa
mühür	myhˈør
videolardan	videoɫardˈan
unutup	unutˈʊp
yıkıntı	jɯkɯntˈɯ
Base	bˈasɛ
Oblastı	ɔbɫastˈɯ
sürat	syɾˈat
diyebileceğimiz	dijebiled͡ʒˈejimɪz
Germany	ɟɛrmˈanj
performansın	pɛrfɔrmansˈɯn
eyaletinden	ejaletɪndˈæn
Air	aˈɪr
birleşiminden	bɪrleʃimɪndˈæn
macera	mad͡ʒeɾˈa
kıyısındaki	kɯjɯsɯndakˈɪ
yetim	jˈetɪm
politikalarla	politikaɫˈarɫa
ovalara	ovaɫaɾˈa
seferinden	sefeɾɪndˈæn
uğraşmak	uːɾaʃmˈak
göndermedi	ɟœndˈɛrmedɪ
yaşantısını	jaʃantɯsɯnˈɯ
hikâyeyi	hikajejˈɪ
sanki	sankˈɪ
meclisinden	mɛd͡ʒlisɪndˈæn
geçtikten	ɟɛt͡ʃtɪktˈæn
evriminde	ɛvrimɪndˈɛ
Celtics	d͡ʒæltˈɪd͡ʒs
gerekiyor	ɟeɾekˈijɔr
Naim	nˈaɪm
anlaşamazlar	anɫaʃamazɫˈar
örten	œrtˈæn
şairlere	ʃaɪrleɾˈɛ
müritleri	myɾɪtleɾˈɪ
çocukluğundan	t͡ʃod͡ʒʊkɫʊːndˈan
bölgesi	bœlɟesˈɪ
genişliğindedir	ɟenɪʃlijɪndˈedɪr
aydınlatması	ajdɯnɫatmasˈɯ
detaylar	detajɫˈar
kerpiçten	kɛrpɪt͡ʃtˈæn
dizisidir	dizisˈidɪr
Akçıl	akt͡ʃˈɯɫ
şapkası	ʃapkasˈɯ
arkadaşının	arkadaʃɯnˈɯn
hasreti	hasretˈɪ
Tandoğan	tandoːˈan
yüksekte	jˈøksɛktɛ
Yayınlar	jajɯnɫˈar
Makedonski	makedɔnskˈɪ
yazmıştır	jazmˈɯʃtɯr
yükselişe	jøkseliʃˈɛ
gerekir	ɟeɾekˈɪr
Capone	d͡ʒaponˈɛ
bulutlar	buɫʊtɫˈar
alacağından	aɫad͡ʒaːɯndˈan
öncülüğünde	œnd͡ʒyløːndˈɛ
hemen	hemˈæn
türediğini	tyɾedijinˈɪ
Havalimanına	havalimanɯnˈa
Çi	t͡ʃˈɪ
Kütüphanenin	kytøphanenˈɪn
Instagram	ɯnstaɡrˈam
donanımlar	donˈanɯmɫar
üstad	østˈad
Cortez	d͡ʒɔrtˈɛz
yağmurun	jaːmuɾˈʊn
dağlıktır	daːɫˈɯktɯr
kabuk	kabˈʊk
transistörler	transɪstœrlˈɛr
Üstüne	østynˈɛ
Okey	okˈɛj
salmış	saɫmˈɯʃ
Karşılığında	karʃɯɫɯɯɯndˈa
kapanarak	kapanaɾˈak
kendimize	kændˈimizɛ
tünelin	tynelˈɪn
Alevî	alevˈɯ
yapanların	japanɫaɾˈɯn
İntihar	ɪntihˈar
bilgisi	bɪlɟisˈɪ
asistanları	asɪstanɫaɾˈɯ
sistemlere	sɪstæmleɾˈɛ
tamamlanmamış	tamamɫanmamˈɯʃ
kullanımlarının	kʊɫɫanɯmɫaɾɯnˈɯn
yerleşimine	jɛrleʃiminˈɛ
anılmış	anɯɫmˈɯʃ
açılma	at͡ʃˈɯɫma
Efsanesi	ɛfsanesˈɪ
tanrıçaların	tanrɯt͡ʃaɫaɾˈɯn
sahnelenmeye	sahnelˈænmejɛ
frekansına	frekansɯnˈa
battı	batːˈɯ
Clooney	d͡ʒɫoonˈɛj
evsel	ɛvsˈæl
doğaldır	doːˈaɫdɯr
Lite	litˈɛ
Mille	mˈɪllɛ
uyarmıştır	ujarmˈɯʃtɯr
bulunmayı	buɫˈʊnmajɯ
köri	kœɾˈɪ
yaralarla	jaɾaɫˈarɫa
saygınlık	sajɡɯnɫˈɯk
rota	rotˈa
okuryazarlığı	okʊrjazarɫɯɯˈɯ
Winnie	wɪnniˈɛ
yetişkinlere	jetɪʃkɪnleɾˈɛ
tarımdan	tˈaɾɯmdan
ondokuzuncu	ɔndokuzʊnd͡ʒˈʊ
devrilmiş	dɛvrɪlmˈɪʃ
Alexandria	alɛksandriˈa
felaket	feɫakˈɛt
zekasına	zekasɯnˈa
elemanını	elemanɯnˈɯ
Mitch	mˈɪtd͡ʒh
geçide	ɟet͡ʃidˈɛ
parasempatik	paɾasæmpatˈɪk
Yurtsever	jʊrtsevˈɛr
engel	ænɟˈæl
basımının	basɯmɯnˈɯn
Kuvars	kuvˈars
popülaritesini	popyɫaɾitesinˈɪ
Hercule	hɛrd͡ʒˈulɛ
metinle	metˈɪnlɛ
ölçeğe	œlt͡ʃejˈɛ
Moshoeshoe	mɔshoɛshoˈɛ
yaptığım	japtˈɯɯɯm
işlemlerdir	ɪʃlæmlˈɛrdɪr
kullanılma	kʊɫɫanˈɯɫma
sarılmıştır	saɾɯɫmˈɯʃtɯr
tanrısına	tanrɯsɯnˈa
Suları	suɫaɾˈɯ
dağıtması	daːɯtmasˈɯ
likit	likˈɪt
istikrarının	ɪstɪkraɾɯnˈɯn
derecelerinde	deɾed͡ʒeleɾɪndˈɛ
harekât	haɾekˈat
satıldığını	satɯɫdɯɯɯnˈɯ
lokma	ɫˈɔkma
yaşlanma	jaʃɫˈanma
olayının	oɫajɯnˈɯn
alacaktı	aɫad͡ʒaktˈɯ
Ekspresi	ɛkspresˈɪ
isyanlar	ɪsjanɫˈar
adlarını	adɫaɾɯnˈɯ
tonunu	tonunˈʊ
ayrılmaktaydı	ajrɯɫmaktajdˈɯ
kadehi	kadehˈɪ
şeydi	ʃɛjdˈɪ
kalmazlar	kaɫmazɫˈar
yeşim	jˈeʃɪm
uzatılarak	uzatɯɫaɾˈak
Middleton	mɪdːletˈɔn
Mahindra	mahɪndrˈa
istiyor	ɪstˈijɔr
kasların	kasɫaɾˈɯn
peşini	peʃinˈɪ
Element	elemˈænt
digimondur	diɟimˈɔndʊr
etmemektedir	ɛtmemɛktˈedɪr
ydi	jdˈɪ
konacak	konad͡ʒˈak
Orkun	ɔrkˈʊn
Şemdinli	ʃæmdɪnlˈɪ
Patti	patːˈɪ
başkaları	baʃkaɫaɾˈɯ
Ekinci	ekɪnd͡ʒˈɪ
tereyağı	teɾejaːˈɯ
Özdemiroğlu	œzdemiɾoːɫˈʊ
şubesinde	ʃubesɪndˈɛ
Emre	æmrˈɛ
Ignacio	ɯɡnad͡ʒiˈɔ
nesillere	nesɪlleɾˈɛ
ırktır	ˈɯrktɯr
emekliliğe	emɛklilijˈɛ
Ypres	jprˈɛs
Ajram	aʒrˈam
Endüstride	ændøstridˈɛ
parçalandı	part͡ʃaɫandˈɯ
Rossini	rɔssinˈɪ
popülerliğine	popylɛrlijinˈɛ
liseli	lˈiselɪ
Jamaikalı	ʒamaikaɫˈɯ
yaşanır	jaʃanˈɯr
inançların	inant͡ʃɫaɾˈɯn
sisli	sɪslˈɪ
elçiliğinde	ælt͡ʃilijɪndˈɛ
Mysterio	mjsteɾiˈɔ
müderrislik	mydɛrrɪslˈɪk
meydanlarında	mɛjdanɫaɾɯndˈa
Menajer	menaʒˈɛr
pilleri	pɪlleɾˈɪ
Akşam	akʃˈam
Çeşitlilik	t͡ʃeʃɪtlilˈɪk
Oldman	ɔɫdmˈan
turistlere	tuɾɪstleɾˈɛ
tutuksuz	tutˈʊksʊz
Perla	pˈɛrɫa
ölçüde	œlt͡ʃydˈɛ
yazıya	jazɯjˈa
ırkın	ɯrkˈɯn
açarlar	at͡ʃarɫˈar
bulutlarının	buɫʊtɫaɾɯnˈɯn
hektarı	hɛktaɾˈɯ
elektriği	elɛktrijˈɪ
sermayesi	sɛrmajesˈɪ
Fred	frˈɛd
türbeler	tørbelˈɛr
görüldüğünde	ɟœɾøldøːndˈɛ
gazeteciliği	ɡazeted͡ʒilijˈɪ
yenilmesinin	jenɪlmesinˈɪn
görünümündedir	ɟœɾynymøndˈedɪr
Hacettepe	had͡ʒetːepˈɛ
Elektronik	elɛktronˈɪk
gazeteciliğin	ɡazeted͡ʒilijˈɪn
toplanıyordu	tɔpɫanˈɯjɔrdʊ
duyuyordu	dujˈujɔrdʊ
onda	ɔndˈa
emri	æmrˈɪ
Dergisinin	dɛrɟisinˈɪn
uyumsuzluğu	ujʊmsʊzɫˈʊː
iddialarını	idːiaɫaɾɯnˈɯ
patlatır	patɫatˈɯr
pencerelerden	pænd͡ʒeɾelɛrdˈæn
Ermenicede	ɛrmenˈid͡ʒɛdɛ
Leopard	leopˈard
kalıntıların	kaɫɯntɯɫaɾˈɯn
görevlerinde	ɟœɾɛvleɾɪndˈɛ
Cuma	d͡ʒˈuma
Krallığı	kraɫɫɯɯˈɯ
tarihidir	taɾihˈidɪr
oyunculukla	ojʊnd͡ʒuɫˈʊkɫa
tarihinde	taɾihɪndˈɛ
Otelin	otelˈɪn
mahallesinde	mahaɫlesɪndˈɛ
uzakta	uzaktˈa
Zamanla	zamˈanɫa
göstermesine	ɟœstɛrmesinˈɛ
riski	rɪskˈɪ
Silverman	sɪlvɛrmˈan
saraylarda	saɾajɫardˈa
Ardahan	ardahˈan
direnmeye	diɾˈænmejɛ
ısıtılır	ɯsɯtɯɫˈɯr
azaltılabilir	azaɫtɯɫabilˈɪr
kızak	kɯzˈak
dağılırken	daːɯɫˈɯrcæn
dersler	dɛrslˈɛr
yutar	jutˈar
sunumunu	sunumunˈʊ
arabaların	aɾabaɫaɾˈɯn
Anime	anˈimɛ
verimli	vˈeɾɪmlɪ
Hour	hoˈʊr
türettiği	tyɾetːijˈɪ
yasasında	jasasɯndˈa
benimseme	benˈɪmsemɛ
tanımla	tˈanɯmɫa
Globe	ɡɫobˈɛ
Penguin	pænɡuˈɪn
helikoptere	helikɔpteɾˈɛ
ertelemeye	ɛrtelˈemejɛ
olanaklı	oɫanakɫˈɯ
ısırığı	ɯsɯɾɯɯˈɯ
Araştırmanın	aɾaʃtˈɯrmanɯn
prensiplerin	prænsɪpleɾˈɪn
bildirimleri	bɪldiɾɪmleɾˈɪ
Uçak	ut͡ʃˈak
liglerindeki	lɪɟleɾɪndekˈɪ
şarkılara	ʃarkɯɫaɾˈa
Stavka	stavkˈa
imamın	imamˈɯn
terimden	tˈeɾɪmdæn
toplumlarla	tɔpɫʊmɫˈarɫa
sunucunun	sunud͡ʒunˈʊn
üretmesini	yɾɛtmesinˈɪ
Eyüboğlu	ejyboːɫˈʊ
treni	trenˈɪ
tuzlar	tʊzɫˈar
dilemesi	dilemesˈɪ
Illinois	ɯɫlinoˈɪs
yalan	jaɫˈan
Lanetli	ɫanɛtlˈɪ
perde	pɛrdˈɛ
Virüsler	viɾøslˈɛr
Hikâye	hikajˈɛ
yazıldığı	jazɯɫdɯɯˈɯ
oluşturulmaktadır	oɫʊʃtuɾʊɫmaktˈadɯr
tahminen	tahminˈæn
bölümlerini	bœlømleɾinˈɪ
uzaklaştırıldı	uzakɫaʃtɯɾɯɫdˈɯ
kişilerarası	kiʃileɾaɾasˈɯ
uyarlaması	ujarɫamasˈɯ
yokluğu	jɔkɫˈʊː
Nikolai	nikˈoɫaɪ
beygirlik	bɛjɟɪrlˈɪk
İmranlı	ɪmranɫˈɯ
bozuktur	bozˈʊktʊr
meydanlar	mɛjdanɫˈar
kahramanlığı	kahramanɫɯɯˈɯ
blues	bɫuˈɛs
Adem	adˈæm
Nasr	nˈasr
İtalyanlar	itaɫjanɫˈar
dizi	dizˈɪ
benzediği	bænzedijˈɪ
ilin	ilˈɪn
Kaynağı	kajnaːˈɯ
Rydberg	rjdbˈɛrɡ
yapanları	japanɫaɾˈɯ
editörlük	editœrlˈøk
Gee	ɟeˈɛ
March	mˈard͡ʒh
atıfta	atɯftˈa
Mikro	mɪkrˈɔ
işletmeler	ɪʃlˈɛtmelɛr
yazışmaları	jazɯʃmaɫaɾˈɯ
Arsuz	ˈarsʊz
melodik	meɫodˈɪk
geometrisinin	ɟeomɛtrisinˈɪn
Foton	fotˈɔn
Kırkağaç	kɯrkˈaːt͡ʃ
videodan	videodˈan
cerrah	d͡ʒɛrrˈah
düşünülmekteydi	dyʃynølmɛktɛjdˈɪ
Cato	d͡ʒatˈɔ
görmesine	ɟœrmesinˈɛ
yapısından	japɯsɯndˈan
müziğe	myzijˈɛ
Training	trainˈɪnɡ
öykülerinin	œjkyleɾinˈɪn
Yumurtalar	jumʊrtaɫˈar
uyarlamak	ujarɫamˈak
makroekonomik	makroekonomˈɪk
işçiler	ɪʃt͡ʃilˈɛr
klâsik	klasˈɪk
uygulandı	ʊjɡuɫandˈɯ
belirlediğini	belɪrledijinˈɪ
ortak	ɔrtˈak
niteliklerini	nitelɪkleɾinˈɪ
semptomu	sæmptomˈʊ
vücudundan	vyd͡ʒudʊndˈan
afiş	afˈɪʃ
yürüyüşüne	jyɾyjyʃynˈɛ
üsleri	øsleɾˈɪ
haltercilerin	haɫtɛrd͡ʒileɾˈɪn
Gramsci	ɡramsd͡ʒˈɪ
boşandılar	boʃandɯɫˈar
fan	fˈan
parkında	parkɯndˈa
eğildi	ejɪldˈɪ
tümünün	tymynˈøn
Pang	pˈanɡ
ortalama	ɔrtˈaɫama
ibaresi	ibaɾesˈɪ
edilen	edilˈæn
mahrum	mˈahrʊm
eşleri	ɛʃleɾˈɪ
devralan	dɛvraɫˈan
Power	powˈɛr
Kuvvetlerine	kʊvvɛtleɾinˈɛ
başlıca	baʃɫɯd͡ʒˈa
deneylerden	denɛjlɛrdˈæn
plaklar	pɫakɫˈar
şansölye	ʃansœljˈɛ
gezinirken	ɟezinˈɪrcæn
edebiyatından	edebijatɯndˈan
tabancalar	taband͡ʒaɫˈar
düşmanını	døʃmanɯnˈɯ
dillerden	dɪllɛrdˈæn
Zorunlu	zoɾʊnɫˈʊ
Çark	t͡ʃˈark
gerçekleştirerek	ɟɛrt͡ʃɛklɛʃtiɾeɾˈɛk
yarışır	jaɾɯʃˈɯr
Bebekler	bebɛklˈɛr
gerçekleştirdikten	ɟɛrt͡ʃɛklɛʃtɪrdɪktˈæn
üstlerine	østleɾinˈɛ
eşini	eʃinˈɪ
Cache	d͡ʒad͡ʒhˈɛ
örtülerek	œrtyleɾˈɛk
vasiyet	vasijˈɛt
saçılır	sat͡ʃɯɫˈɯr
Goddard	ɡodːˈard
sistemik	sɪstemˈɪk
üyelerinden	yjeleɾɪndˈæn
hepsinde	hɛpsɪndˈɛ
buzların	bʊzɫaɾˈɯn
listede	lɪstedˈɛ
kampta	kamptˈa
yapılışı	japɯɫɯʃˈɯ
disk	dˈɪsk
aklı	akɫˈɯ
Ona	onˈa
Ankara	ˈankaɾa
müşterilerine	møʃteɾileɾinˈɛ
olmasıyla	ɔɫmasˈɯjɫa
bayramlar	bajrˈamɫar
gun	ɡˈʊn
yayımlandı	jajɯmɫandˈɯ
kesimlerinden	kesɪmleɾɪndˈæn
Kurumlar	kˈuɾʊmɫar
ETÜ	etˈø
bulaşık	buɫaʃˈɯk
olmamalıdır	ɔɫmamaɫˈɯdɯr
deneğin	denejˈɪn
züppe	zypːˈɛ
Hurt	hˈʊrt
tüccara	tyd͡ʒːaɾˈa
hükümetini	hykymetinˈɪ
Bayır	bajˈɯr
dayanımını	dajanɯmɯnˈɯ
Tenzin	tænzˈɪn
Büyüsü	byjysˈø
erişimli	eɾˈiʃɪmlɪ
gövdenin	ɟœvdenˈɪn
hile	hˈilɛ
Doğrusal	doːɾusˈaɫ
girişimiyle	ɟiɾiʃimˈɪjlɛ
katlanmıştır	katɫanmˈɯʃtɯr
partikül	partikˈøl
dinlenmesi	dɪnlænmesˈɪ
Case	d͡ʒˈasɛ
gömme	ɟˈœmmɛ
krallığını	kraɫɫɯɯɯnˈɯ
VfL	vˌɛfˈɛlˈɛ
bükülme	bykˈølmɛ
yakınsak	jakˈɯnsak
çekirdeği	t͡ʃekɪrdejˈɪ
ikmali	ˈɪkmalɪ
gelenler	ɟelænlˈɛr
Tempo	tæmpˈɔ
faunası	faunasˈɯ
maaşları	maaʃɫaɾˈɯ
iktidarı	ɪktidaɾˈɯ
Bergmann	bɛrɡmˈann
Val	vˈaɫ
Elvira	ælviɾˈa
kaplarda	kapɫardˈa
İsmet	ɪsmˈɛt
Şarköy	ʃarkˈœj
açıklarından	at͡ʃɯkɫaɾɯndˈan
Dizayn	dizˈajn
kişiler	kiʃilˈɛr
misyonunu	mɪsjonunˈʊ
namazından	namazɯndˈan
masaya	mˈasaja
Sistemde	sɪstæmdˈɛ
savaştılar	savaʃtɯɫˈar
Leonidas	leonidˈas
Belt	bˈælt
kanatlarında	kanatɫaɾɯndˈa
insanlarından	ɪnsanɫaɾɯndˈan
gözlenmemiştir	ɟœzlænmemˈɪʃtɪr
refahı	refahˈɯ
Fighting	fɪɟhtˈɪnɡ
yağdığı	jaːdɯɯˈɯ
âlimler	ˈalɪmlɛr
hafızasında	hafɯzasɯndˈa
sınırlaması	sɯnɯrɫamasˈɯ
Jeffrey	ʒɛffrˈɛj
Brescia	brɛsd͡ʒiˈa
genelindeki	ɟenelɪndekˈɪ
detayların	detajɫaɾˈɯn
hastalıklara	hastaɫɯkɫaɾˈa
Seat	seˈat
Cruise	d͡ʒruˈisɛ
küfürler	kyførlˈɛr
bulabildikleri	buɫabɪldɪkleɾˈɪ
kıstas	kɯstˈas
uçları	ʊt͡ʃɫaɾˈɯ
Tekne	tɛknˈɛ
çalış	t͡ʃaɫˈɯʃ
sınavlardan	sɯnavɫardˈan
parçacıklı	part͡ʃad͡ʒɯkɫˈɯ
ambalajı	ambaɫaʒˈɯ
Memiş	memˈɪʃ
feminizm	feminˈɪzm
aşığı	aʃɯɯˈɯ
yokluğunda	jɔkɫʊːndˈa
kazılardan	kazɯɫardˈan
dayandırılır	dajandɯɾɯɫˈɯr
Sör	sˈœr
ortaklığıyla	ɔrtakɫɯɯˈɯjɫa
Private	privatˈɛ
Cumhuriyetçiler	d͡ʒʊmhuɾijɛtt͡ʃilˈɛr
İlköğretim	ɪlkœːɾˈetɪm
yalıtım	jaɫˈɯtɯm
motorunda	motoɾʊndˈa
askerden	askɛrdˈæn
dalma	dˈaɫma
pozisyon	pozɪsjˈɔn
fırlatır	fɯrɫatˈɯr
Selanik	seɫanˈɪk
unutulan	unutuɫˈan
Rutherford	rʊthɛrfˈɔrd
penaltılarda	penaɫtɯɫardˈa
güvenerek	ɟyveneɾˈɛk
EPSA	ˈɛpsa
Brabant	brabˈant
fiyatına	fijatɯnˈa
Asla	ˈasɫa
maliyette	malijetːˈɛ
kervanları	kɛrvanɫaɾˈɯ
olacağımı	oɫad͡ʒˈaːɯmɯ
Gold	ɡˈɔɫd
anahtarının	anahtaɾɯnˈɯn
Wilkins	wɪlkˈɪns
sığırların	sɯɯɯrɫaɾˈɯn
düştüğü	døʃtˈøː
kesilmesi	kesɪlmesˈɪ
niyeti	nijetˈɪ
tutuklanmasını	tutʊkɫanmasɯnˈɯ
Eyyub	ɛjjˈʊb
sahillerini	sahɪlleɾinˈɪ
Cemaatin	d͡ʒemaatˈɪn
öngörülüyor	œnɟœɾylˈyjɔr
Tanzanya	tanzanjˈa
kullanacakları	kʊɫɫanad͡ʒakɫaɾˈɯ
analizini	analizinˈɪ
Gran	ɡrˈan
sürmüş	sørmˈøʃ
İzzettin	ɪzzetːˈɪn
emirle	emˈɪrlɛ
Girlfriend	ɟɪrlfriˈænd
ilahî	iɫahˈɯ
kıyafetlerini	kɯjafɛtleɾinˈɪ
antenden	antændˈæn
tasarımcıları	tasaɾɯmd͡ʒɯɫaɾˈɯ
Edebiyata	edebijatˈa
filmleriyle	fɪlmleɾˈɪjlɛ
frekanslı	frekansɫˈɯ
Lenkeran	lænkeɾˈan
Yola	jˈoɫa
Minneapolis	mɪnneapolˈɪs
köleye	kˈœlejɛ
algılayıcılar	aɫɡɯɫajɯd͡ʒɯɫˈar
kemiklerde	kemɪklɛrdˈɛ
Şırnak	ʃˈɯrnak
tırtıklı	tɯrtɯkɫˈɯ
deyişle	dejˈɪʃlɛ
performansı	pɛrfɔrmansˈɯ
semtine	sæmtinˈɛ
tasarımından	tasaɾɯmɯndˈan
Feminist	feminˈɪst
Filmden	fɪlmdˈæn
Amr	ˈamr
Fırtınası	fɯrtɯnasˈɯ
hissetme	hɪssˈɛtmɛ
dallarından	daɫɫaɾɯndˈan
kümesi	kymesˈɪ
götürmektedir	ɟœtørmɛktˈedɪr
Kedisi	kedisˈɪ
Edain	edaˈɪn
devre	dɛvrˈɛ
düzenlenecek	dyzænlened͡ʒˈɛk
şahane	ʃahanˈɛ
tutarlar	tutarɫˈar
yapılmakta	japɯɫmaktˈa
ekipmanlarının	ekɪpmanɫaɾɯnˈɯn
LTD	lˌɛtˌɛdˈɛ
tavus	tavˈʊs
Işığa	ɯʃɯɯˈa
Namus	namˈʊs
öldürülenlerin	œldyɾylænleɾˈɪn
mekanları	mekanɫaɾˈɯ
tiplerinin	tɪpleɾinˈɪn
şinigami	ʃiniɡamˈɪ
içeceklerin	it͡ʃed͡ʒɛkleɾˈɪn
alsın	aɫsˈɯn
çocuklar	t͡ʃod͡ʒʊkɫˈar
duvar	duvˈar
gelmesinde	ɟælmesɪndˈɛ
sorgulamasına	sɔrɡuɫamasɯnˈa
Joy	ʒˈɔj
Almancaya	aɫmand͡ʒajˈa
memurluk	memʊrɫˈʊk
makinede	makinedˈɛ
unutarak	unutaɾˈak
bilgilendirildi	bɪlɟilændiɾɪldˈɪ
Tahta	tahtˈa
tanışıp	tanɯʃˈɯp
Silas	siɫˈas
kanaması	kanamasˈɯ
anayasasına	anajasasɯnˈa
şiddet	ʃidːˈɛt
şenlikleri	ʃænlɪkleɾˈɪ
alınan	aɫɯnˈan
Cornwall	d͡ʒɔrnwˈaɫl
Karl	kˈarl
oluşturulan	oɫʊʃtuɾuɫˈan
Yahşi	jahʃˈɪ
IC	ˈɯd͡ʒ
volkanın	vɔɫkanˈɯn
tabir	tabˈɪr
sucu	sud͡ʒˈʊ
acele	ˈad͡ʒɛlɛ
dakikaları	dakikaɫaɾˈɯ
sırtları	sɯrtɫaɾˈɯ
Falstaff	faɫstˈaff
arkadaşlarıyla	arkadaʃɫaɾˈɯjɫa
Yvonne	jvɔnnˈɛ
Eyaleti	ejaletˈɪ
mayınları	majɯnɫaɾˈɯ
Nebi	nebˈɪ
çatışmasını	t͡ʃatɯʃmasɯnˈɯ
yazılmasına	jazɯɫmasɯnˈa
kırdığını	kɯrdɯɯɯnˈɯ
şarta	ʃartˈa
selim	sˈelɪm
kabulü	kabulˈø
Constantius	d͡ʒɔnstantiˈʊs
yayar	jajˈar
husustur	husˈʊstʊr
Yanan	janˈan
Oynanan	ɔjnanˈan
Raporları	rapɔrɫaɾˈɯ
dördüncüsü	dœrdønd͡ʒysˈø
fertleri	fɛrtleɾˈɪ
Pilotlar	piɫɔtɫˈar
pazara	pazaɾˈa
tanımadı	tanˈɯmadɯ
Carver	d͡ʒarvˈɛr
yeteri	jeteɾˈɪ
ertelemek	ɛrtelemˈɛk
Ardıç	ardˈɯt͡ʃ
varsayımsal	varsajɯmsˈaɫ
favori	favoɾˈɪ
yönetti	jœnetːˈɪ
Krişna	krɪʃnˈa
hilesi	hilesˈɪ
müsabakalar	mysabakaɫˈar
aktarmak	aktarmˈak
çarpmak	t͡ʃarpmˈak
yenmeye	jˈænmejɛ
Karısının	kaɾɯsɯnˈɯn
Mahkemeler	mahkˈemelɛr
yaylalarda	jajɫaɫardˈa
ilgilidir	ɪlɟilˈidɪr
sokabilir	sokabilˈɪr
göndermektedir	ɟœndɛrmɛktˈedɪr
kurallar	kuɾaɫɫˈar
kameraya	kamˈeɾaja
somurtkan	somʊrtkˈan
yarışmayı	jaɾˈɯʃmajɯ
düğümlerin	døːmleɾˈɪn
bildirildiği	bɪldiɾɪldijˈɪ
denilecek	deniled͡ʒˈɛk
Doğal	doːˈaɫ
Brennan	brænnˈan
Monet	monˈɛt
Bonn	bˈɔnn
yazılacak	jazɯɫad͡ʒˈak
dansıdır	dansˈɯdɯr
başlamasından	baʃɫamasɯndˈan
dayanıklılığa	dajanɯkɫɯɫɯɯˈa
çekingen	t͡ʃekɪnɟˈæn
Karabekir	kaɾabekˈɪr
barutu	baɾutˈʊ
alanlara	aɫanɫaɾˈa
Orion	oɾiˈɔn
fethetme	fɛthˈɛtmɛ
düzeyindedir	dyzejɪndˈedɪr
kültüne	køltynˈɛ
görevlilerine	ɟœɾɛvlileɾinˈɛ
Yoluna	joɫunˈa
Rooney	roonˈɛj
Şef	ʃˈɛf
korku	kɔrkˈʊ
hipertansiyonun	hipɛrtansijonˈʊn
figür	fiɟˈør
Cushing	d͡ʒʊshˈɪnɡ
Émile	emˈilɛ
mimarlık	mimarɫˈɯk
Vytautas	vjtautˈas
Hospitalier	hɔspitaliˈɛr
istifade	ɪstifadˈɛ
yazarların	jazarɫaɾˈɯn
Kurgusal	kʊrɡusˈaɫ
çalınma	t͡ʃaɫˈɯnma
ima	ˈima
çekirdeğinin	t͡ʃekɪrdejinˈɪn
amonyum	amˈɔnjʊm
Furkan	fʊrkˈan
yürümüştür	jyɾymˈøʃtør
vuruşuyla	vuɾuʃˈʊjɫa
krizini	krizinˈɪ
ahlaksızlık	ahɫˈaksɯzɫɯk
arasındadır	aɾasɯndˈadɯr
Zombie	zɔmbiˈɛ
çalışılmaktadır	t͡ʃaɫɯʃɯɫmaktˈadɯr
Speed	speˈɛd
çekirdeğine	t͡ʃekɪrdejinˈɛ
Uzak	uzˈak
ödemek	œdemˈɛk
hükûmeti	hykumetˈɪ
çevrelerin	t͡ʃɛvreleɾˈɪn
Görünüşe	ɟœɾynyʃˈɛ
bisikletlerin	bisɪklɛtleɾˈɪn
helyumdan	hˈæljʊmdan
reytingler	rɛjtɪnɡlˈɛr
çatışmalarda	t͡ʃatɯʃmaɫardˈa
tuş	tˈʊʃ
turnuvanın	tʊrnuvanˈɯn
hobisi	hobisˈɪ
gelişmekte	ɟelɪʃmɛktˈɛ
oyuncusuna	ojʊnd͡ʒusunˈa
Turuncu	tuɾʊnd͡ʒˈʊ
kürsüsü	kørsysˈø
Evliydi	ɛvlɪjdˈɪ
Muhalif	muhalˈɪf
Keykavus	kɛjkavˈʊs
kurabilirler	kuɾabilɪrlˈɛr
sıralandı	sɯɾaɫandˈɯ
Limanı	limanˈɯ
incelenir	ɪnd͡ʒelenˈɪr
Sanremo	sanremˈɔ
Sarah	saɾˈah
protokolün	protokoɫˈøn
denizaltıları	denizaɫtɯɫaɾˈɯ
sözleşmesinde	sœzlɛʃmesɪndˈɛ
dağıtılmaktadır	daːɯtɯɫmaktˈadɯr
