flodau	vloːdai̯
garent	ɡarɛnt
phobl	fɔbl
canol	kanɔl
gacha	ɡaːχa
iytan	jətan
saltring	saltrɪŋ
pig	piːɡ
eni	eːni
am byth	ambɪθ
llysenw	ɬɪseːnu
newid	nɛu̯ɪd
daith	dai̯θ
wyll	wɪɬ
bywyd	bəu̯ɪd
chot law	χɔtlau̯
twrw	tʊru
caen	kai̯n
ciledrych	kɪlɛdrɪχ
nyrsys	nərsɪz
gwobrau	ɡwɔbrai̯
oferedd	ɔvɛrɛð
mynachaeth	mənaχai̯θ
taith	tai̯θ
nithio	nɪθjɔ
gweriniaethau	ɡwɛrɪnjei̯θɛ
gweithluoedd	ɡwei̯θliːɔi̯ð
adanedd	adaːnɛð
arwain	arwai̯n
siwgr	ʃʊɡɪr
taclus	taklɪs
jac codi baw	dʒakkoːdibau̯
afal	aːval
sglodyn	sɡloːdɪn
meddai	mɛðai̯
teisen radell	tei̯sɛnradɛɬ
waliau	waljai̯
tir	tiːr
nos iau	noːsjai̯
anghyfreithlon	aŋhəvrei̯θlɔn
habadaeth	habaːdɛθ
wyn	wɪn
degau	dɛɡɛ
weriniaeth	wɛrɪnjai̯θ
iau	jai̯
gwrthwynebiadau	ɡʊrθwɪnɛbjaːdɛ
ferwi	vɛrwi
dwfr	dʊvr
athrodwr	aθrɔdʊr
tybaco	təbakɔ
cymreig	kəmrei̯ɡ
anodd	aːnɔð
teisen radell	tei̯sɛnraːdɛɬ
aderyn y bwn	adeːrɪnəbʊn
edrych	ɛdrɪχ
cachai	kaːχɛ
nerf	nɛrv
oen	ɔi̯n
munudau	mɪniːdɛ
canolog	kanoːlɔɡ
dafydd	daːvɪð
nghlywed	ŋ̊lɪu̯ɛd
blaen	blai̯n
hirsgwariau	hɪrsɡwarjɛ
brenin	brɛnɪn
èf	ɛv
llwybr y gwynt	ɬʊi̯bɪrəɡwɪnt
cymraesau	kəmrei̯sai̯
meteleg	mɛteːlɛɡ
abergofiant	abɛrɡɔvjant
llong foel	ɬɔŋvɔi̯l
taf	taːv
gwladgarol	ɡwladɡarɔl
gwnaeth	ɡnaːθ
nghacen	ŋ̊akɛn
mad	maːd
abatiroedd	abatiːrɔi̯ð
daler	daːlɛr
coronafirws	kɔrɔnavɪrʊs
trolïau	trɔliːɛ
bys troed	biːstroːd
pryf	priːv
chymorth	χəmɔrθ
mhengwiniaid	m̥ɛŋɡwɪnjɛd
aromatherapyddion	arɔmaθɛrapəðjɔn
arolwg	aroːlʊɡ
delynores	dɛlənoːrɛs
heddiw	hɛði
cwestiwn	kwɛsdjʊn
argraffiadydd	arɡrafjadɪð
dydw i ddim yn siarad cymraeg	dəduiðɪmənʃaradkəmraɪɡ
gyrdd	ɡɪrð
nharw	n̥aru
bore	bɔrɛ
dyrrau	dərɛ
pathew	paθɛu̯
pïod	piːɔd
cylch	kɪlχ
adfeiliadau	advei̯ljadɛ
gorffennaf	ɡɔrfɛnav
cafon	kaːvɔn
peren	pɛrɛn
melen	mɛlɛn
bod	boːd
caru	kaːri
cymedrolwyr	kəmɛdrɔlwɪr
trolïau	trɔliːai̯
pêl droed	peːldroːd
lledr	ɬɛdr
nghath	ŋ̊aːθ
beidr	bei̯dɪr
gwpan	ɡʊpan
carem	karɛm
adeiniog	adei̯njɔɡ
addas	aðas
heulog	hei̯lɔɡ
adar o'r unlliw hedant i'r unlle	adarɔrɪnɬɪu̯hɛdantɪrɪnɬɛ
blynyddoedd golau	blənəðɔðɡɔlɛ
pi	piː
glanaf	ɡlana
'ma	ma
cythraul	kəθrɛl
iddo	iːðɔ
ateli	atɛli
ysbrydion	əsbrədjɔn
blychau llwch	bləχai̯ɬuːχ
toiledi	tɔi̯lɛdi
liwio	lɪu̯jɔ
seleri	sɛleːri
ffordd laethog	əfɔrðɬei̯θɔɡ
diogel	dɪoːɡɛl
abadaethau	abadei̯θai̯
gweithio	ɡwiːθɔ
elswn	ɛlsʊn
athrodus	aθrɔdɪs
canais	kanɛs
adwaen	adwai̯n
cadarn	kaːdarn
pentref	pɛntrɛ
epidemigau	ɛpɪdɛmɪɡai̯
meddal	meːðal
cyflym	kəvlɪm
isteitl	iːsdei̯tl
croeshoeliad	krɔi̯shɔi̯ljad
hangharad	haŋharad
preifatrwydd	prei̯vatrʊi̯ð
anghofus	aŋhoːvɪs
gweddw	ɡwɛðu
nghneuen gyll	ŋ̊nei̯ɛnɡɪɬ
dodi	dɔdi
uchelwr	ɪχeːlʊr
ffoniodd	fɔnjɔð
nawn	nau̯n
gwyllt	ɡwɪɬd
protestaniaid	prɔtɛsdanjɛd
naear	nei̯ar
adferiadau	advɛrjaːdai̯
redeg	rɛdɛɡ
nheisen	n̥iːʃɛn
cul	kiːl
mae	mə
plentynnaidd	plɛntənai̯ð
cystadleuaeth	kəsdadlei̯ɛθ
gyda	da
dyrysgoed	dərəsɡɔi̯d
chwythaf	ʍəθa
rhyngrwyd pethau	r̥əŋrʊi̯dpeːθai̯
dofn	dɔvɔn
nheledu	n̥ɛlɛdi
darianau	darjanɛ
canent	kaːnɛnt
sioe	ʃɔi̯
gwenyn	ɡweːnɪn
syml	sɪml
cyfrifiadur	kəvrɪvjaːdɪr
mis	miːs
teulu brenhinol	tei̯librɛnhɪnɔl
helc	hɛlk
elsai	ɛlsai̯
medd	meːð
iwch	ɪu̯χ
casgen	kasɡɛn
mharc	m̥ark
milwrol	mɪlʊrɔl
llawlyfr	ɬau̯lɪvɪr
teisen	tei̯ʃɛn
wddw	uːðu
bob	boːb
bord	bɔrd
heirdd	hei̯rð
athrodus	aθroːdɪs
ddaru	ðari
yr amwythig	əramʊi̯θɪɡ
tryferi	trəvɛri
cawr	kau̯r
chefn	χɛvn
pyjamas	pəd͡ʒamaz
prydain fawr	prədɛnvau̯r
banllawr	banɬau̯r
gnei	ɡnei̯
tomato	tɔmatɔ
aneiriol	anei̯rjɔl
wnsach	ʊnsaχ
timoedd	tiːmɔi̯ð
lesau	lɛsɛ
gobaith	ɡɔbɛθ
carfilod bach	karvɪlɔdbaːχ
madfallod	madvaɬɔd
chwydd	hwiːð
dogfen	dɔɡvɛn
edn	ɛdn
ais	ai̯s
oni	ɔni
ngafr	ŋaːvar
siwmperi	ʃʊmpeːri
chwech	hweːχ
mynachaeth	mənaːχɛθ
cwerylau	kwɛrəlɛ
dydd iau	diːðjɔi̯
madfallod dŵr	madvaɬɔdduːr
dre	dreː
addoldy	aðɔldi
canaf	kaːnav
cyflafareddwr	kəvlavareːðʊr
trengholiadau	trɛŋhɔljadai̯
adferol	advɛrɔl
sgri	sɡriː
cytuno	kətiːnɔ
gusanau	ɡɪsanɛ
hail	hai̯l
crydiau	krədjai̯
blodau	blɔdai̯
feirysau	vei̯rəsai̯
ait	ai̯t
pedr	pɛdr
ffedog	fɛdɔɡ
pethau	peːθai̯
talant	talant
person	pɛrsɔn
aen	ai̯n
gwenyn gwyllt	ɡweːnɪŋɡwɪɬd
dychwelyd	dəχweːlɪd
thalo	θaːlɔ
caed	kai̯d
rhagenw	r̥aɡeːnu
ysgwydd	əsɡʊi̯ð
eangderau	ɛaŋdɛrai̯
blingo	blɪŋɔ
agerddlong	aɡɛrðlɔŋ
fflworin	flʊɔrɪn
dwrci	dʊrki
chwedl	ʍeːdɛl
ffion	fiːɔn
cbac	kbak
moch daear	moːχdei̯ar
silff	sɪlf
chais	χai̯s
chwythaf	χwəθav
eog	ɛɔɡ
iseldiraidd	ɪsɛldɪrai̯ð
tarw	taru
ffenestr	fɛnɛsd
shibwns	ʃiːbʊnz
isteitlau	iːsdei̯tlɛ
twlu	tuːli
pencampwriaethau	pɛŋkampʊrjei̯θɛ
anafa	anava
ysgrifennu	sɡrɪvɛni
annwyl	anʊl
es	eːs
parot	parɔt
rewi	rɛu̯i
ryddhaf	rəðhaːv
bin	bɪn
gronellau	ɡrɔnɛɬɛ
ceisio	kei̯sjɔ
nghôt	ŋ̊oːt
gŵydd	ɡʊi̯ð
lysiau	ləsjɛ
gwynedd	ɡui̯nɛð
pennau	pɛnai̯
erioed	rjoːd
mynachaeth	mənaːχai̯θ
is	iːʃ
diodydd	djoːdɪð
torchau	tɔrχai̯
help llaw	hɛlpɬau̯
athro	aθrɔ
theisen	θei̯sɛn
olifau	ɔliːvɛ
swyddogaeth	sʊi̯ðɔɡai̯θ
copïwr	kɔpiːʊr
cae	kai̯
gwenu	ɡweːni
gwleidydd	ɡwlei̯dɪð
tewach	tɛu̯aχ
biolegydd	bjɔleːɡɪð
lled	ɬeːd
cnwd	knuːd
pedolwyr	pɛdɔlwɪr
coronafeirws	kɔroːnavei̯rʊs
fu	viː
arddangosfeydd	arðaŋɡɔsvei̯ð
abaty	abati
rheolaidd	r̥ɛoːlai̯ð
wybodaeth	wɪboːdɛθ
mynydd	məni
munudau	mɪniːdai̯
cer	kɛr
cwsg	kʊsɡ
ngwybod	ŋʊbɔd
sgwâr	sɡwaːr
ap	ap
mynd	mɪnd
egni	ɛɡni
ffonau	foːnɛ
weled	weːlɛd
llatai	ɬatai̯
elw	eːlu
garanod	ɡaraːnɔd
dydd iau	dɪðjɔi̯
ar amrantiad	aramrantjad
trof	troːv
gwybodaeth	ɡʊi̯bɔdɛθ
dawn	dau̯n
gwrando	ɡrɪndɔ
mhedol	m̥eːdɔl
denu	deːni
ngwŷdd	ŋwiːð
ngwybodaeth	ŋwɪbɔdɛθ
rhegfa	r̥ɛɡva
toiledi	tɔi̯leːdi
cachlwyth	kaχlʊi̯θ
gogleddol	ɡɔɡleːðɔl
hirddydd haf	hɪrðɪðhaːv
cacen gri	kakɛŋɡriː
ngelyn	ŋeːlɪn
chwaer	ʍaːr
saethwyr	sei̯θwɪr
gapel	ɡapɛl
clwb	kluːb
plethau	plɛθɛ
wythnos	ʊθnɔs
rhywiol	r̥ɪu̯jɔl
diodydd	djɔdɪð
ynys manaw	ənɪsmanau̯
hunanynysu	hɪnanənəsi
grêt	ɡreːt
hun	hiːn
gyd	ɡiːd
hamod	hamɔd
ychydig	χədɪɡ
goleudy	ɡɔlei̯di
carais	kaːrɛs
anuniongyrchol	anɪnjɔŋɡərχɔl
ngharafán	ŋ̊aravan
anghyflawn	aŋhəvlau̯n
ngwrando	ŋrandɔ
nhrwyddedau	n̥rʊi̯ðeːdɛ
ry	riː
mwnci	mʊŋki
telynoresau	tɛlənɔrɛsai̯
syml	sɪmɪl
barnau	barnɛ
gwelais	ɡwɛlɛs
mhyliau	m̥əljai̯
cadw	kaːdu
gordderch	ɡɔrðɛrχ
credo	krɛdɔ
annedd	anað
rhywle	r̥ʊlɛ
parch	parχ
trennydd	trɛnɪð
cylchoedd	kəlχɔð
hirgrynion	hɪrɡrənjɔn
undeg	ɪndɛɡ
cacynen	kakənɛn
sgydau	sɡədɛ
sach	saːχ
chwerw	ʍeːru
buan	biːan
cyfwelydd	kəvwɛlɪð
abades	abadɛs
mhabell	m̥aːbɛɬ
hen galan	heːnɡaːlan
piclo	pɪklɔ
dwfn	dʊvn
tudalen	tɪdaːlɛn
gorlifaf	ɡɔrliːvav
gachais	ɡaːχɛs
heog	hɛɔɡ
ford	vɔrd
helciaid	hɛlkjɛd
gyrraedd	ɡərɛð
achub	aχɪb
rai	rai̯
stemars	sdɛmarz
nysgu	nəsɡi
casnewydd	kaːsnɛu̯ɪð
hendrefydd	hɛndreːvɪð
pigan	pɪɡan
masgiau	masɡjai̯
pert	pɛrt
cynddrwg	kənðrʊɡ
nghythreuliaid	ŋ̊əθrei̯ljai̯d
rhywbeth	r̥ʊbɛθ
mhapur	m̥apɪr
holi	hɔli
gwrthwynebydd	ɡʊrθwɪneːbɪð
pechu	pɛχi
hedyn	heːdɪn
weithiwr	wei̯θʊr
winoedd	wɪnɔi̯ð
dosbarthiad	dɔsbarθjad
tharianau	θarjanai̯
euro	ei̯rɔ
mhrynu	m̥rəni
cyfarwydd	kəvarwɪð
hadar	hadar
gerir	ɡeːrɪr
prifddinas	prɪvðɪnas
enwog	ɛnwɔɡ
aethon	ɛθɔn
dwfn	dʊvʊn
unes	ɪnɛs
gwarthal	ɡwarθal
creision	krei̯ʃɔn
slej	slɛd͡ʒ
mwnt	mʊnt
darlunio	darlɪnjɔ
mollt	mɔɬt
rhwyd	r̥ʊi̯d
deunaw	dei̯nau̯
cyfle	kəvlɛ
hwyl	hʊi̯l
adargraffiadau	adarɡrafjaːdɛ
chei	χei̯
rhyddid	r̥əðɪd
chadair	χadai̯r
anodded	anoːðɛd
chwe	χweː
hefo	hɛvɔ
dysglaid	dɪʃɡlɛd
golwr	ɡɔlʊr
agora	aɡoːra
adfywiadau	advɪu̯jadai̯
clodfawr	klɔdvau̯r
teulu	tei̯li
delo	dɛlɔ
am	am
cychwyn	kəχwɪn
nghychwyn	ŋ̊əχwɪn
cynghori	kəŋhɔri
cyrhaeddaf	kərhai̯ðav
gwisgo	ɡwɪʃɡɔ
ceffyl	kɛfɪl
teifi	tei̯vi
ffordd laethwen	əfɔrðɬei̯θwɛn
iasoer	jasɔi̯r
ngwystl	ŋʊi̯sdl
rheiddiau	r̥ei̯ðjɛ
erioed	ɛrjɔi̯d
plethi	plɛθi
te gwyrdd	teːɡwɪrð
adwaenwch	adwei̯nʊχ
deses	dɛsɛs
elsent	ɛlsɛnt
grŵp	ɡruːp
wennol	wɛnɔl
nghwningen	ŋ̊ʊnɪŋɛn
eiliadau	ei̯ljadɛ
bobl	bɔbl
pyg	piːɡ
rhes	r̥eːs
eirinen fair	ei̯riːnɛnvai̯r
wyt	ʊi̯t
diwyr	diːʊi̯r
blorai	bloːrai̯
hadar	haːdar
tafarn	tavarn
mhant	m̥ant
daliadaethau	daljadei̯θai̯
delysg	deːlɪsɡ
rhinart	r̥ɪnart
migwrn	miːɡʊrn
egluro	ɛɡlɪrɔ
tegan	teːɡan
ai	ai̯
phrif	friːv
wych	wiːχ
iau	jɔi̯
chwerwddwr	χwɛrðʊr
byddwch	bəðʊχ
garet	ɡarɛt
sgîl	sɡiːl
rhyngrwyd y pethau	r̥əŋrʊi̯dəpeːθai̯
hiddewiaeth	hɪðeu̯jai̯θ
popty	pɔpti
chathod	χaθɔd
llanw	ɬanu
aros	aːrɔs
mas	maːs
coed afalau	koːdavaːlɛ
cari	kaːri
lliwyddion	ɬɪu̯əðjɔn
penblethau	pɛmblɛθɛ
ngolwg	ŋoːlʊɡ
rhewi	r̥ɛu̯i
llyfrgellwyr	ɬəvrɡɛɬwɪr
munud	mɪnɪd
weithiwr	wei̯θjʊr
chyflym	χəvlɪm
ffionau	fɪɔnai̯
sgythia	sɡəθja
ngwych	ŋwiːχ
dyrchafu	dərχaːvi
ceulo	kei̯lɔ
bore da	boːrɛdaː
gwahanol	ɡwahanɔl
acen ddisgynedig	akɛnðɪsɡənɛdɪɡ
cynghanedd	kəŋhanɛð
caniatâd	kanjataːd
maes awyr	mai̯sau̯ɪr
gwyll	ɡʊi̯ɬ
chweina	χwei̯na
damwain	damwai̯n
tharianau	θarjaːnai̯
wyth	ʊi̯θ
ffesant	fɛzant
pren	prɛn
melynion	mɛlənjɔn
taranu	taraːni
ufelai	ɪvɛlai̯
dewch	dɛu̯χ
ysmygu	əsməɡi
argraffiadaeth	arɡrafjadɛθ
helpwr	hɛlpʊr
prifddinas	priːvðiːnas
caffis	kafiz
agori	aɡɔri
pasta	pasda
mapio	mapjɔ
laeth	lai̯θ
chadair	χaːdɛr
anghydfod	aŋhədvɔd
ffeindio	fei̯ndɔ
breuddwydio	brei̯ðʊi̯djɔ
dewed	dɛu̯ɛd
chanwr	χaːnʊr
chwys	ʍiːs
cwmpas	kʊmpas
ffydd	fiːð
mewnforion	mɛu̯nvɔrjɔn
adroddaf	adroːðav
datblygu	datbləɡi
tân gwyllt	taːŋɡwɪɬd
heboca	hɛbɔka
effaith	ɛfai̯θ
nalen	naːlɛn
adegau	adɛɡɛ
mislif	mɪslɪv
craf y geifr	kraːvəɡei̯vr
arholiadau	arɔljaːdɛ
sbaen	sbai̯n
brawychiadau	brau̯əχjaːdai̯
eloch	ɛlɔχ
nghalan	ŋ̊alan
glefyd	ɡlɛvɪd
clicio	klɪkjɔ
aseswyr	asɛswɪr
chwys	χwiːs
troa	trɔa
adfeiliadau	advei̯ljadai̯
eith	ei̯θ
tatws	tatʊs
cafon	kavɔn
ŵyn	ʊi̯n
beth	beːθ
ffawydd	fau̯ɪð
colled	kɔɬɛd
actio	aktjɔ
camau	kamɛ
thywyll	θəʊi̯ɬ
camlwrw	kamlʊru
bigan	bɪɡan
cerpyn	kɛrpɪn
egwyl	ɛɡʊi̯l
big	biːɡ
carais	karɛs
lloer	ɬɔi̯r
penelin	pɛneːlɪn
sych	siːχ
wledydd	wlɛdɪð
argraffwyr	arɡrafwɪr
oriau	ɔrjai̯
caeir	kei̯ɪr
croth	kroːθ
lledieithog	ɬɛdjei̯θɔɡ
trwbl	trʊbʊl
tybio	təbjɔ
ciwcymber	kɪu̯kəmbɛr
llên	ɬeːn
thalai	θaːlai̯
arhosan	arhɔsan
eisteddfodau	sdɛðvoːdɛ
annerch	anɛrχ
bopty	bɔpti
awch	au̯χ
gallo	ɡaɬɔ
gweddi	ɡwɛði
llys	ɬiːs
treisio	trei̯ʃɔ
weddi'r arglwydd	weːðirarɡlui̯ð
ngwybodaeth	ŋwɪboːdɛθ
grilio	ɡrɪljɔ
tenant	tɛnant
mefus	meːvɪs
cawna	kau̯na
ateb	atɛb
clwb te	klʊbteː
llygaid	ɬəɡɛd
ocsiwn	ɔkʃʊn
basen	sɛn
afalau cariad	avaːlɛkarjad
seland newydd	seːlandnɛu̯ɪð
agoraf	aɡɔra
i'w	ɪu̯
gwahaniaeth	ɡwahanjɛθ
cneuen gyll	knei̯ɛnɡɪɬ
cil	kiːl
cilwg	kiːlʊɡ
hirion	hɪrjɔn
baedd	bai̯ð
caled	kalɛd
cylion	kəljɔn
heddiw	heːðɪu̯
ifan	ɪvan
ffurf	fɪrv
gwylogod	ɡʊi̯loːɡɔd
melltithio	mɛɬdɪθjɔ
ar gau	arɡai̯
corhwyaid	kɔrhʊi̯ɛd
tafwys	taːvʊi̯s
seithfed	sei̯θvad
elont	ɛlɔnt
tua thref	ʃaθreː
gwelais	ɡweːlai̯s
dalent	daːlɛnt
reis	rei̯s
diweddar	dɪu̯ɛðar
dyma	dəma
nhegan	n̥eːɡan
throed	θroːd
canit	kaːnɪt
gei	ɡei̯
ngadael	ŋaːdai̯l
ganu	ɡani
mefus	mɛvɪs
echdoe	ɛχðɔi̯
nôl	noːl
cyfaill	kəvai̯ɬ
nwyf	nʊi̯v
erch	ɛrχ
ag	aɡ
o hyn allan	ɔhɪnaɬan
gait	ɡai̯t
dydd mawrth	diːðmau̯rθ
pib	piːb
cwm	kʊm
allanol	aɬanɔl
delw	deːlu
gwraig	ɡwrai̯ɡ
awtistig	au̯tɪsdɪɡ
byth	bɪθ
thalai	θaːlɛ
chyfnither	χəvniːθɛr
adnabyddwn	adnabəðʊn
canmoliaeth	kanmɔljɛθ
chwech ar hugain	χweːχarhɪɡai̯n
draed	drai̯d
hymasiad	həmasjad
isteitlau	iːsdei̯tlai̯
chwalu	χwali
adlynu	adləni
do'ch	doːχ
ceiliog	kei̯lɔɡ
adleisiau	adlei̯sjɛ
cwpaneidiau	kʊpanei̯djɛ
credit	krɛdɪt
baratoi	baratɔi̯
bric	brɪk
gwragedd	ɡwraːɡɛð
gloan	ɡlɔan
cano	kanɔ
sefyll	sɛvɪɬ
cen cerrig	kɛnkɛrɪɡ
daliaf	daljav
ifanc	iːvaŋk
llungopïwr	ɬiːŋɡɔpiːʊr
lasach	lasaχ
iechyd	jeːχɪd
elech	eːlɛχ
manteision	mantei̯sjɔn
chochlas	χɔχlas
contractau	kɔntraktai̯
pibonwy	pɪbɔnui̯
galluog	ɡaɬiːɔɡ
gwerdd	ɡwɛrð
daeargrynfeydd	dei̯arɡrənvei̯ð
gwal	ɡwal
bargen	barɡɛn
mercher	mɛrχɛr
fleiddiau	vlei̯ðjai̯
datys	datɪs
wylio	wɪljɔ
afreolaidd	avrɛoːlai̯ð
elych	ɛlɪχ
dalu	daːli
mynegi	mənɛɡi
wrth	ʊrθ
perllan	pɛrɬan
gartre	ɡɪtrɛ
canlyn	kanlɪn
darpar	darpar
bachau	baːχɛ
amgylch	amɡɪlχ
daliadaeth	daljaːdɛθ
llyf	ɬiːv
megis	meːɡɪs
cathbysgod	kaθbəsɡɔd
phaned	faːnɛd
anghytgord	aŋhətɡɔrd
mwyaren	mʊi̯arɛn
eisiau	ɪʃɛ
ngwyddion	ŋwəðjɔn
derwyddiaeth	dɛrwəðjɛθ
bricyll	brɪkɪɬ
cyrn	kɪrn
aran	aːran
derwen	dɛrwɛn
pyliau	pəljɛ
llenydda	ɬɛnəða
duw	dɪu̯
ngwddw	ŋuːðu
bae	bai̯
hafod	havɔd
ynys wyth	ənɪsʊi̯θ
afan	aːvan
buan	bian
delais	deːlai̯s
nerfus	nɛrvɪs
teledu	tɛleːdi
gwraig	ɡrai̯ɡ
hiarll	hjarɬ
lesau	lɛsai̯
ceni	kɛni
canhwyllau	kanhʊi̯ɬɛ
well	wɛɬ
plethedig	plɛθɛdɪɡ
clywed	klɪu̯ɛd
delir	deːlɪr
graff	ɡraːf
ngweriniaeth	ŋwɛrɪnjai̯θ
dirwy	dɪrʊi̯
myfanwy	məvaːnʊi̯
ngwely	ŋwɛli
dreidl	drei̯dl
anoddaf	anoːðav
pandy	pandi
gobaith	ɡoːbɛθ
cyfatebol	kəvateːbɔl
gath	ɡaːθ
gwahaniaeth	ɡwanjɛθ
ddathlu	ðaθli
gyrru	ɡəri
rhyngwladol	r̥əŋwladɔl
ysgubor	əsɡɪbɔr
pam	pam
cyfddydd	kəvðɪð
gwrol	ɡuːrɔl
talan	taːlan
farn	varn
blwydd	blʊi̯ð
neuaddau	nei̯aðai̯
poeth	poːθ
wenoliaid	wɛnɔljɛd
adeiladaeth	adei̯ladai̯θ
tgau	tɡai̯
glŷn	ɡliːn
llesteiriau	ɬɛsdei̯rjɛ
chael	χai̯l
charai	χarai̯
gwneud	ɡnei̯d
lleian	ɬei̯an
gofynnod	ɡɔvənɔd
trengholiadau	trɛŋhɔljaːdɛ
air	ai̯r
crydiau	krədjɛ
acw	aku
chwilio	ʍɪljɔ
disgwyl	dɪsɡʊl
wiwerod	wɪu̯eːrɔd
pibonwyen	pɪbɔnui̯ɛn
adlefau	adlɛvɛ
rheiddiadur	r̥ei̯ðjadɪr
daliadaeth	daljadɛθ
phinc	fɪŋk
eglwys	ɛɡlʊs
lyfrau	lɪvrɛ
phortiwgal	fɔrtjʊɡal
haberaeron	habɛrei̯rɔn
gwenyn meirch	ɡweːnɪmmei̯rχ
carreg	karɛɡ
moresg	moːrɛsɡ
nghaint	ŋ̊ai̯nt
ager	aɡɛr
nes	neːs
adeiladaeth	adei̯laːdai̯θ
timau	tɪmai̯
caill	kai̯ɬ
paneidiau	panei̯djɛ
cyfryngiadau	kəvrəŋjadɛ
elir	eːlɪr
beiriannwr	bei̯rjanʊr
charet	χarɛt
pandai	pandai̯
nghymedrolwyr	ŋ̊əmɛdrɔlwɪr
alban arthan	albanarθan
cerddor	kɛrðɔr
cymedroldeb	kəmɛdrɔldɛb
aethpwyd	ei̯θpʊi̯d
dau	dai̯
adeiladaeth	adei̯ladɛθ
prifiau	prɪvjɛ
wythongl	ʊi̯θɔŋl
erioed	rjɔi̯d
gwahaniaeth	ɡwahanjai̯θ
gorau	ɡɔrɛ
llwgu	ɬʊɡi
gelen	ɡɛlɛn
tair ar ddeg	tai̯rarðeːɡ
'na	nə
thafarn	θavarn
nofwraig	nɔvwrai̯ɡ
gwyliedydd	ɡwɪljɛdɪð
godi	ɡoːdi
beirniadaethau	bei̯rnjadei̯θɛ
eled	eːlɛd
adfer	advɛr
rhoi	r̥ɔi̯
gwrthwynebair	ɡʊrθwɪnɛbai̯r
er	ɛr
fam	mam
gwlych	ɡwliːχ
datblygiad	datbləɡjad
teisen	tiːʃɛn
cyfarwys	kəvaːrʊi̯s
ffeindiaf	fɪnda
gaeredin	ɡai̯rɛdɪn
tud	tiːd
adnabyddwch	adnabəðʊχ
ngwddw	ŋʊðu
trefedigaeth	trɛvɛdɪɡai̯θ
ambeutu	ambei̯ti
anffurfiol	anfɪrvjɔl
herwhela	hɛrwhɛla
crëyr	krɛɪr
gwymona	ɡʊi̯moːna
swper	sʊpɛr
traddodiad	traðɔdjad
timau	tɪmɛ
farnwr	varnʊr
chwilio	ʍɪlɔ
trigeiniau	trɪɡei̯njai̯
feddwl	vɛðʊl
pryna	prəna
gusanau	ɡɪsaːnai̯
gwledydd	ɡwlɛdɪð
athrefi	aθreːvi
gallant	ɡaɬant
un ar bymtheg	iːnarbəmθɛɡ
ffraeau	frei̯ai̯
carthennau	karθɛnai̯
nudden	nɪðɛn
phyliau	fəljɛ
nghinio	ŋ̊ɪnjɔ
wythnos	ʊsnɔs
gneuen gyll	ɡnei̯ɛnɡɪɬ
cydseiniol	kɪdsei̯jɔl
golwr	ɡoːlʊr
eisiau	ɪsɛ
goleuadau	ɡɔlei̯aːdɛ
bapur	bapɪr
heraill	hɛrɪɬ
atebaf	ateːbav
ngoleuadau	ŋɔljaːdɛ
terfysgaeth	tɛrvəsɡɛθ
mynachaidd	mənaχai̯ð
cawn	kau̯n
gloch	ɡloːχ
golosg	ɡoːlɔsɡ
agerlongau	aɡɛrlɔŋai̯
dwylo	dʊi̯lɔ
onn	ɔn
nghalenigion	ŋ̊alɛnɪɡjɔn
cefn	kɛvn
cryf	kriːv
hirsgwarau	hɪrsɡwaːrɛ
peintiwr	pei̯ntjʊr
brwyna	brʊi̯na
dydd iau	dɪjai̯
canem	kaːnɛm
awgrym	au̯ɡrɪm
pwynt	pʊi̯nt
chyfoethog	χəvɔi̯θɔɡ
muchudd	mɪχɪð
tri ar hugain	triːarhiːɡɛn
mewnforio	mɛu̯nvɔrjɔ
ef	eːv
gwlad yr iâ	ɡwlaːdərjaː
llungopi	ɬɪŋɡɔpi
dor	dɔr
llaeth	ɬai̯θ
pedoli	pɛdoːli
cyflogi	kəvlɔɡi
rhyngwladol	r̥əŋladɔl
gedy	ɡɛdi
dydd mercher	dɪðmɛrχɛr
barhau	barhai̯
economegydd	ɛkɔnɔmɛɡɪð
chwrw	χuːru
eisoes	ei̯ʃʊs
chani	χani
gadael	ɡadɛl
merlyn	mɛrlɪn
traddodiadol	traðɔdjaːdɔl
oddi	ɔði
chwery	χwɛri
chwarel	χwaːrɛl
berfenwau	bɛrvɛnwɛ
wyneb	ʊi̯nɛb
yfory	əvoːri
tlawd	tlau̯d
creisionen ŷd	krei̯sjoːnɛniːd
tatŵ	tatuː
astrusi	asdrɪsi
cornel	kɔrnɛl
adfero	adveːrɔ
gwisg	ɡwɪsɡ
meiddio	meiðjɔ
crymu	krəmi
trydar	trədar
pabi	pabi
cystadleuydd	kəsdadlei̯ɪð
awstralia	au̯sdralja
neidr	nei̯dr
prudd	priːð
chanu	χaːni
lyfrau	ləvrai̯
hanes	haːnɛs
ieuenctid	jei̯ɛŋktɪd
drydanwr	drədanʊr
cefnfor	kɛvɛnvɔr
ceiniog	kiːnɔɡ
adfydus	advədɪs
ehangiad	ɛhaŋjad
elit	ɛlɪt
cu	kiː
carfil	karvɪl
tŷ	tiː
cachi	kaːχi
nghyfreithiwr	ŋ̊əvrei̯θjʊr
adlaw	adlau̯
cyfiawnder	kəvjau̯ndɛr
nheledu	n̥ɛleːdi
rhanddeiliad	r̥anðei̯ljad
awr	au̯r
llau	ɬai̯
rhisgl	r̥ɪsɡɪl
llall	ɬaɬ
carai	kaːrɛ
twrw	tuːru
cwrw	kʊru
hunion	hɪnjɔn
broch	broːχ
hwpo	hʊpɔ
