aktsom	ˈɑktsɔm
flat	flɑːt
kjøligere	ˈçøːlɪɾə
lunge	ˈlʊŋə
flaske	ˈflɑskə
fort	fʊʈ
ufatteligst	ʉˈfɑtəlɪkst
partisk	ˈpɑːʈɪsk
gravere	gɾɑˈʋeːɾə
parodiere	pɑɾʊdɪˈeːɾə
tegne	ˈtæɪnə
vektigste	ˈʋɛktɪkstə
sparke	ˈspɑɾkə
uavhengig	ˈʉːɑːʋhɛŋɪ
forregne seg	fɔˈɾæɪnəsæi
fattet	ˈfɑtət
syrlig	ˈsyːɭɪ
tolerere	tɔləˈɾeːɾə
aften	ɑftən
vanligst	ˈʋɑːnlɪkst
forfengeligst	fɔɾˈfɛŋəlɪkst
skulle	ˈskʉlə
undertittel	ˈʉnəʈɪtəl
djevelsk	ˈdjeːʋəlsk
beseire	bəˈsæɪɾə
meter	ˈmeːtəɾ
østerriker	œstəɾiːkəɾ
geologisk	gəʊˈloːgɪsk
anke	ˈɑŋkə
avløse	ˈɑːʋløːsə
uholdbar	ˈʉːhɔlbɑːɾ
folkemusikk	fɔlkəmʉˈsɪk
svelle	ˈsʋɛlə
bøte	ˈbøːtə
forskning	ˈfɔʂknɪŋ
understreke	ˈʉnəʂtɾeːkə
hus	hʉːs
gigantisk	gɪˈgɑntɪsk
bremse	ˈbɾɛmsə
utrygg	ˈʉːtɾʏg
dåp	doːp
kopi	kʊˈpiː
vedde	ˈʋɛdə
juble	ˈjʉːblə
innskjerpe	ˈɪnʂæɾpə
returbillett	ɾɛˈtʉːɾbɪlɛt
hoven	ˈhoːʋən
barnesete	bɑːɳəseːtə
optimistisk	ɔptɪˈmɪstɪsk
bilbelte	biːlbɛltə
tur	tʉːɾ
vrøvl	ˈʋɾœʋl̩
bister	ˈbɪstəɾ
strø	stɾøː
klekkelig	ˈklɛkəlɪ
uvilkårlige	ʉːʋɪlˈkoːɭɪə
uunnværligste	ʉːʉnˈʋæːɭɪkstə
nylige	ˈnyːlɪə
banal	bɑˈnɑːl
fårete	ˈfoːɾətə
ristet	ɾɪstət
gyldige	ˈjʏldɪə
forundre	fɔɾˈʉndɾə
uheldigere	ʉˈhɛldɪɾə
nedstemt	ˈneːdstɛmt
forsiktigere	fɔˈʂɪktɪɾə
uegennyttige	ˈʉːeːgənʏtɪə
kue	ˈkʉːə
fremskynde	ˈfɾɛmʂʏnə
takle	ˈtɑklə
verne	ˈʋæːɳə
forsyne	fɔˈʂyːnə
nesebor	ˈneːsəbuːɾ
høyre	ˈhœjɾə
snike	ˈsniːkə
misunnelige	mɪˈsʉnəlɪə
kresen	ˈkɾeːsən
sjokolade	ʂʊkʊˈlɑːdə
glede	ˈgleːdə
interaktiv	ˈɪntəɾɑktiːʋ
lovligere	ˈloːʋlɪɾə
kortvarigst	ˈkɔʈʋɑːɾɪkst
reker	ɾɛkəɾ
tape	tæɪp
passasjer	pɑsɑˈʂeːɾ
frø	fɾøː
yoga	ˈjɔgɑ
tablett	tɑˈblɛt
språkligere	ˈspɾoːklɪɾə
taushet	ˈtæʉsheːt
upopulær	ˈʉːpʊpʉlæːɾ
vilkårligere	ʋɪlˈkoːɭɪɾə
underkaste	ˈʉnəɾkɑstə
yppige	ˈʏpɪə
tukte	ˈtʉktə
samtale	ˈsɑmtɑːlə
tilsynelatende	tɪlˈsyːnəlɑːtənə
reparere	ɾɛpɑˈɾeːɾə
tilvirke	ˈtɪlʋɪɾkə
vannrett	ˈʋɑnɾɛt
tabbe	ˈtɑbə
beklageligere	bəˈklɑːgəlɪɾə
crawle	ˈkɾoːlə
ulydigere	ʉˈlyːdɪɾə
synlig	ˈsyːnlɪ
nåværende	ˈnoːʋæːɾənə
vemmelige	ˈʋɛməlɪə
mosjonere	mʊʂʊˈneːɾə
uatskillelig	ʉɑtˈʂɪləlɪ
grovt	gɾɔft
kjei	çæɪ
belest	bəˈleːst
knake	ˈknɑːkə
sommervarme	ˈsɔməɾʋɑɾmə
faun	fæwn
innholdsløs	ˈɪnhɔlsløːs
blafre	ˈblɑfɾə
rimeligste	ˈɾiːməlɪkstə
vaske	ʋɑskə
transseksuell	ˈtɾɑnsɛksʉəl
vannski	ʋɑnʂi
dagstur	dɑkstʉɾ
tynge	ˈtʏŋə
assistere	ɑsɪˈsteːɾə
veldigst	ˈʋɛldɪkst
halsbrann	hɑlsbɾɑn
knute	ˈknʉːtə
begynnelse	bɛjʏnɛlsə
genève	ʂɛˈneːʋ
uskyldigere	ʉˈʂʏldɪɾə
sitte	ˈsɪtə
utenom	ʉːtənʊm
kokkelere	kɔkəˈleːɾə
generalisere	gɛnəɾɑlɪˈseːɾə
lugar	lʉˈgɑːɾ
tilrådelige	tɪlˈɾoːdəlɪə
konkurranse	kʊŋkʉˈɾɑŋʂə,kʊŋkʉˈɾɑŋsə
fornøyd	fɔˈɳœjd
rettssak	ˈɾɛtsɑːk
urørligst	ʉˈɾøːɭɪkst
finne	ˈfɪnə
avbryte	ˈɑːʋbɾyːtə
driftigst	ˈdɾɪftɪkst
hjerteligst	ˈjæʈəlɪkst
tatovere	tɑtʊˈʋeːɾə
samtidig	ˈsɑmtiːdɪ
skyldig	ˈʂʏldɪ
latterlig	ˈlɑtəɭɪ
skvette	ˈskʋɛtə
gnier	ˈgniːəɾ
diftongere	dɪftɔŋˈgeːɾə
intrikat	ɪntɾɪˈkɑːt
angiveligste	ɑnˈjiːʋəlɪkstə
harme	ˈhɑɾmə
bakverk	bɑːkʋæɾk
henvende	ˈhɛnʋɛnə
giftigste	ˈjɪftɪkstə
tillate	ˈtɪlɑːtə
kraftigste	ˈkɾɑftɪkstə
freidig	ˈfɾæɪdɪ
innhegne	ˈɪnhæɪnə
ubegripeligst	ʉːbəˈgɾiːpəlɪkst
jul	jʉːl
hangle	ˈhɑŋlə
tufs	tʉfs
ubegripeligere	ʉːbəˈgɾiːpəlɪɾə
melon	mɛluːn
overskuelig	ˈoːʋəʂkʉːəlɪ
syrligste	ˈsyːɭɪkstə
stuss	stʉs
hellig	ˈhɛlɪ
ugjennomtrengelig	ʉːjənɔmˈtɾɛŋəlɪ
emmen	ˈɛmən
ørebetennelse	øːɾəbɛtɛnɛlsə
bortimot klokka tolv	ˈbʊʈɪmʊtklɔkɑˈtɔl
campe	ˈkæmpə
idealisere	ɪdəɑlɪˈseːɾə
pipe	ˈpiːpə
nudiststrand	nʉˈdɪststɾɑn
feit	fæɪt
man	mɑːn
gneldre	ˈgnɛldɾə
sted	steːd
kinkigere	ˈçɪŋkɪɾə
beholder	bɛˈhɔləɾ
sterkt	stæʈ,stæɾkt
tåkete	ˈtoːkətə
overholde	ˈoːʋəɾhɔlə
ute	ʉːtə
bensinpumpe	bɛnˈsiːnpʊmpə
skumre	ˈskʊmɾə
høyrehendt	ˈhœjɾəhɛnt
makelige	ˈmɑːkəlɪə
muligste	ˈmʉːlɪkstə
skadeligste	ˈskɑːdəlɪkstə
høytideligere	hœjˈtiːdəlɪɾə
gjestfrihet	jɛstfɾiːheːt
nysgjerrigere	nʏˈʂæɾɪɾə
snakkesalig	ˈsnɑkəsɑːlɪ
sjalu	ʂɑˈlʉː
i slekt	ɪˈʂɭɛkt
midte	mɪtə
eksepsjonell	ɛksəpʂʊˈnɛl
håndball	hɔnbɑl
retning	ɾɛtnɪŋ
middelmådigst	ˈmɪdəlmoːdɪkst
akseptere	ɑksəpˈteːɾə
frisk	fɾɪsk
vettskremt	ˈʋɛtskɾɛmt
alle	ˈʔɑlə
teste	ˈtɛstə
audiovisuell	ˈæʉdɪʊʋɪsʉɛl
åpenbar	ˈoːpənbɑːɾ
utålmodige	ˈʉːtɔlmuːdɪə
ubrukeligst	ʉˈbɾʉːkəlɪkst
ankel	ˈɑŋkəl
frakte	ˈfɾɑktə
døsig	ˈdøːsɪ
ytre	ˈʏtɾə
utdanning	ˈʉːtdɑnɪŋ
ber	beːɾ
time	ˈtiːmə
overhøre	ˈoːʋəɾhøːɾə
ruse	ˈɾʉːsə
alvorligst	ɑlˈʋoːɭɪkst
hormonell	hʊɾmʊˈnɛl
ballspill	ˈbɑlspɪl
hundse	ˈhʉnsə
kristoffer	kɾɪˈstɔfəɾ
fokusere	fʊkʉˈseːɾə
menstruasjon	mɛnstɾʉɑˈʂuːn
lyngen	lʏŋn
aktuell	ɑktʉˈɛl
innlevelse	ˈɪnleːʋəlsə
årligst	ˈoːɭɪkst
finnes	ˈfɪnəs
østligere	ˈœstlɪɾə
lese	ˈleːsə
universell	ʉnɪʋæˈʂɛl
fyldige	ˈfʏldɪə
standardisere	stɑnɑɾɪˈseːɾə
forgiftning	fɔɾˈjɪfnɪŋ
vemodige	ʋəˈmuːdɪə
behageligere	bəˈhɑːgəlɪɾə
fordelaktige	ˈfɔɖeːlɑktɪə
hæl	heːl
utbedre	ˈʉːtbeːdɾə
visjonær	ʋɪʂʊˈnæːɾ
far	fɑːɾ
underligere	ˈʉnəɭɪɾə
stadige	ˈstɑːdɪə
derfor	ˈdæɾfɔɾ
selvsagt	ˈsɛlsɑkt
show	ʂɔu
skriftligste	ˈskɾɪftlɪkstə
stillferdig	stɪlˈfæɖɪ
prosaisk	pɾʊˈsɑːɪsk
rutete	ˈɾʉːtətə
opprette	ˈɔpɾɛtə
slitesterk	ʂɭiːtəstæɾk
uns	ɔns
glad	glɑː
forfekte	fɔɾˈfɛktə
rot	ɾoːt
falle	ˈfɑlə
varige	ˈʋɑːɾɪə
informasjon	ɪnfɔɾmɑˈʂuːn
ta på	tɑːˈpoː
nybakt	ˈnyːbɑkt
bore	ˈbɔɾə
ufravikeligere	ʉːfɾɑˈʋiːkəlɪɾə
hendigere	ˈhɛnɪɾə
underfundigst	ʉnəɾˈfʉnɪkst
forkasteligere	fɔɾˈkɑstəlɪɾə
produksjon	pɾʊdʉkˈʂuːn
industriell	ɪnʉstɾɪˈɛl
ineffektiv	ˈɪnɛfəktiːʋ
fable	ˈfɑːblə
transportabel	tɾɑnspɔˈʈɑːbəl
oppover	ˈɔpoːʋəɾ
bevegelige	bəˈʋeːgəlɪə
engelsk	ˈɛŋəlsk
pirre	ˈpɪɾə
utalligst	ʉˈtɑlɪkst
hevngjerrigere	ˈhɛʋnjæɾɪɾə
mennene	ˈmɛnənə
uvurderlig	ʉːʋʉˈɖeːɭɪ
kafé	kɑˈfeː
et annet sted	ɛtˈɑnətsteːd
krefter	ˈkɾɛftəɾ
kledeligst	ˈkleːdəlɪkst
utlending	ˈʉːtlɛnɪŋ
verdsligste	ˈʋæɖslɪkstə
fjerne	ˈfjæɳə
gisp	jɪsp
kristelig	ˈkɾɪstəlɪ
umerkeligste	ʉˈmæɾkəlɪkstə
langsynt	ˈlɑŋsyːnt
stagge	ˈstɑgə
syndigste	ˈsʏnɪkstə
kultur	kʉlˈtʉːɾ
rundtur	ɾʉntʉːɾ
tilråde	ˈtɪlɾoːdə
angre	ˈɑŋɾə
lave	ˈlɑːʋə
fagligere	ˈfɑːglɪɾə
blind	blɪn
bryllup	bɾʏlʉp
grilltenner	ˈgɾɪltɛnəɾ
lynsje	ˈlʏnʂə
understøtte	ˈʉnəʂtœtə
beve	ˈbeːʋə
kork	kɔɾk
flå	floː
dyr	dyːɾ
tekniker	ˈtɛknɪkəɾ
danseorkester	dɑnsəɔɾkɛstəɾ
veilede	ˈʋæɪleːdə
gjennomskue	ˈjɛnɔmskʉːə
drømmeaktig	ˈdɾœmɑktɪ
stakkarsligere	ˈstɑkɑʂɭɪɾə
urettferdigere	ˈʉːɾətfæɖɪɾə
hennes	ˈhɛnəs
justere	jʉˈsteːɾə
uvillig	ʉˈʋɪlɪ
tygge	ˈtʏgə
frossen	ˈfɾɔsən
strikkhopping	stɾɪkhɔpɪŋ
oppmuntre	ˈɔpmʉntɾə
masseprodusere	ˈmɑsəpɾʊdʉseːɾə
bukke	ˈbʊkə
dydigere	ˈdyːdɪɾə
fro	fɾøː
raute	ˈɾæʉtə
kos	kuːs
midje	ˈmɪdjə
egennyttige	ˈeːgənʏtɪə
koselige	ˈkuːʂɭɪə
spektakulær	spəktɑkʉˈlæːɾ
barneporsjon	bɑːɳəpʊʂuːn
frisere	fɾɪˈseːɾə
skjelven	ˈʂɛlʋən
håndgripelige	hɔnˈgɾiːpəlɪə
begrense	bəˈgɾɛnsə
frembringe	ˈfɾɛmbɾɪŋə
seigere	sæjəɾə
bevegeligste	bəˈʋeːgəlɪkstə
gamlebyen	gɑmləbyːən
rødstrupe	ˈɾøːstɾʉːpə
spiserør	spiːsəɾøːɾ
pengepung	pɛŋəpʊŋ
taktløs	ˈtɑktløːs
fortreffeligste	fɔˈʈɾɛfəlɪkstə
kjærkommen	ˈçæːɾkɔmən
ustyrteligere	ʉˈstʏʈəlɪɾə
innbille	ˈɪnbɪlə
hjemsted	jɛmsteː,jɛmsteːd
uhåndterligere	ˈʉːhɔnteːɭɪɾə
gjørme	ˈjœɾmə
stinke	ˈstɪŋkə
svulstig	ˈsʋʉlstɪ
nærgående	ˈnæːɾgoːənə
uimottakeligst	ʉɪmʊˈtɑːkəlɪkst
sponse	ˈspɔnsə
troskyldigere	tɾʊˈʂʏldɪɾə
ulykkelige	ʉˈlʏkəlɪə
gissel	ˈgɪsəl
bedageligste	bəˈdɑːgəlɪkstə
assosiere	ɑsʊsɪˈeːɾə
triumfere	tɾɪʉmˈfeːɾə
foredle	fɔɾˈeːdlə
humle	ˈhʊmlə
fabrikk	fɑˈbɾɪk
venn	ʋɛn
monne	ˈmɔnə
imitere	ɪmɪˈteːɾə
hemme	ˈhɛmə
østlig	ˈœstlɪ
egenhendig	ˈeːgənhɛnɪ
kjeks	çɛks
kvittere	kʋɪˈteːɾə
kunne	ˈkʉnə
endelig	ˈɛnəlɪ
få vite	fɔʋiːtə
diktere	dɪkˈteːɾə
frita	ˈfɾiːtɑː
eksakt	ɛkˈsɑkt
sakkyndige	ˈsɑːkçʏnɪə
tidsriktigst	ˈtɪtsɾɪktɪkst
beisk	bæɪsk
tomt	tɔmt
gjenge	ˈjɛŋə
sped	speː
umiskjenneligste	ʉmɪsˈçɛnəlɪkstə
røkt	ɾøːkt
frikjenne	ˈfɾiːçɛnə
fantastisk	fɑnˈtɑstɪsk
ærverdigste	æɾˈʋæɖɪkstə
gnikke	ˈgnɪkə
tilgjengelig	tɪlˈjɛŋəlɪ
maskulin	mɑskʉˈliːn
utvikle	ˈʉːtʋɪklə
takke	ˈtɑkə
dame	ˈdɑːmə
distré	dɪˈstɾeː
skralle	ˈskɾɑlə
bevegelig	bəˈʋeːgəlɪ
from	fɾɔm
stadigst	ˈstɑːdɪkst
hensiktsmessigere	ˈhɛnsɪktsmɛsɪɾə
attrå	ˈɑtɾɔ
pragmatisk	pɾɑgˈmɑːtɪsk
bronse	ˈbɾɔŋsə
lykkelig	ˈlʏkəlɪ
rabatt	ɾɑˈbɑt
barnevakt	ˈbɑːɳəʋɑkt
omtenksom	ɔmˈtɛŋksɔm
torg	tɔɾg
ergerlig	ˈæɾgəlɪ
vannforbruk	ʋɑnfɔɾbɾʉːk
enhetligst	ˈeːnheːtlɪkst
strå	stɾoː
på	poː
tang	tɑŋ
dristigere	ˈdɾɪstɪɾə
vektigst	ˈʋɛktɪkst
sengeteppe	sɛŋətɛpə
velkjent	ˈʋɛlçɛnt
utakknemlig	ˈʉːtɑknɛmlɪ
heltemodige	ˈhɛltəmuːdɪə
kaputt	kɑˈpʉt
jeger	ˈjeːgəɾ
uredeligere	ʉːˈɾeːdəlɪɾə
ørken	ˈœɾkn̩,ˈœɾkən
spredt	spɾɛt
effektiv	ˈɛfəktiːʋ
kommando	kʊˈmɑndu
sandkasse	sɑnkɑsə
redde	ˈɾɛdə
feber	ˈfeːbəɾ
utøve	ˈʉːtøːʋə
slakter	ˈʂɭɑktəɾ
stødig	ˈstøːdɪ
bilene	ˈbiːlnə
herse	ˈhæʂə
trene	ˈtɾeːnə
liv	liːʋ
kaste	ˈkɑstə
vedgå	ˈʋeːdgoː
konkret	kʊŋˈkɾeːt
vaklevoren	ˈʋɑkləʋuːɾən
gresseligst	ˈgɾɛsəlɪkst
kleptoman	kləptʊˈmɑːn
naken	ˈnɑːkən,ˈnɑːkn̩
taktfull	ˈtɑktfʉl
ferdes	ˈfæɖəs
klima	ˈkliːmɑ
sporadisk	spʊˈɾɑːdɪsk
evinneligst	ɛˈʋɪnəlɪkst
avlevere	ˈɑːʋləʋeːɾə
pjokk	pçɔk
kamel	kɑˈmeːl
bokstaveligste	bʊkˈstɑːʋəlɪkstə
gre	gɾeː
smal	smɑːl
befrukte	bəˈfɾʉktə
mindreårigste	ˈmɪndɾəoːɾɪkstə
godsligst	ˈgʊʂɭɪkst
breer	ˈbɾeːəɾ
overkommeligst	ɔʋəɾˈkɔməlɪkst
racket	ˈɾækət
seng	sɛŋ
betrakteligere	bəˈtɾɑktəlɪɾə
lærevilligst	ˈlæːɾəʋɪlɪkst
gjennomføre	ˈjɛnɔmføːɾə
strevsom	ˈstɾeːʋsɔm
på baksiden	pɔbɑːksiːdən
plastpose	ˈplɑstpuːsə
unødvendigste	ˈʉːnœdʋɛnɪkstə
mett	mɛt
bekle	bəˈkleː
godsligere	ˈgʊʂɭɪɾə
fremstående	ˈfɾɛmstoːənə
glemsom	ˈglɛmsɔm
kirsebær	ˈçɪʂəbæːɾ
i rett tid	ɪˈɾɛtˈtiː
henstille	ˈhɛnstɪlə
hunn	hʉn
uekte	ˈʉːɛktə
kommandere	kʊmɑnˈdeːɾə
instruere	ɪnstɾʉˈeːɾə
tru	tɾʉː
snøbrett	ˈsnøːbɾɛt
uventa	ˈʉːʋɛntət
pinlig	ˈpiːnlɪ
malm	mɑlm
om kvelden	ɔmˈkʋɛlən
bagasjeluke	bɑˈgɑːʂəlʉːkə
langvarige	ˈlɑŋʋɑːɾɪə
ondskapsfull	ˈʊnskɑːpsfʉl
uvurderligste	ʉːʋʉˈɖeːɭɪkstə
gyve	ˈjyːʋə
strid	stɾiːd
oppdra	ˈɔpdɾɑː
kysse	ˈçʏsə
sterk	stæɾk
lærevillige	ˈlæːɾəʋɪlɪə
minimal	mɪnɪˈmɑːl
skuls	skʉls
vist	ʋiːst
padle	ˈpɑdlə
radikal	ɾɑdɪˈkɑːl
stemplet	ˈstɛmpələ
fly	flyː
kreosot	kɾɛʊˈsuːt
minibank	pɛŋəæʉtʊmɑːt
langtekkelig	ˈlɑŋtɛkəlɪ
nerve	næɾʋə
skånsom	ˈskoːnsɔm
forunderligere	fɔɾˈʉnəɭɪɾə
modige	ˈmuːdɪə
villigere	ˈʋɪlɪɾə
hilsen	ˈhɪlsn̩
brå	bɾoː
deodorant	dɛʊdʊˈɾɑnt
gruppere	gɾʉˈpeːɾə
dyrebar	ˈdyːɾəbɑːɾ
grunn	gɾʉn
skjegg	ʂɛg
ulideligst	ʉˈliːdəlɪkst
ensligere	ˈeːnʂɭɪɾə
oppvakt	ˈɔpʋɑkt
forlovede	fɔlɔʋədə
dyppe	ˈdʏpə
sjenert	ʂəˈneːʈ
umiddelbar	ʉˈmɪdəlbɑːɾ
innenfor	ɪnənfɔɾ
herskapelig	hæˈʂkɑːpəlɪ
elskverdig	ɛlskˈʋæɖɪ
tåre	ˈtoːɾə
udødeligste	ʉˈdøːdəlɪkstə
usannsynligste	ˈʉːsɑnsyːnlɪkstə
forflytte	fɔɾˈflʏtə
sykekasse	syːkəkɑsə
unnfange	ˈʉnfɑŋə
blåne	ˈbloːnə
medisin for blodomløpet	mɛdɪˈsiːnfɔɾbluːʊmløːpə
fennikel	ˈfænɪkəl
foss	fɔs
skråle	ˈskɾoːlə
konge	ˈkɔŋə
kulminere	kʉlmɪˈneːɾə
omgjengelige	ɔmˈjɛŋəlɪə
forsone	fɔˈʂuːnə
t-skjorte	ˈteːʂʊʈə
blåser	ˈbloːsəɾ
anselig	ɑnˈseːlɪ
eksotisk	ɛkˈsuːtɪsk
syndigst	ˈsʏnɪkst
talgkjertel	ˈtɑlgçæʈəl
redd	ɾɛd
gevinst	geːˈʋɪnst
hoie	ˈhʊjə
underholdning	ʉnəɾˈhɔlnɪŋ
ualminneligste	ʉɑlˈmɪnəlɪkstə
tjueni	çʉːəˈniː
skyld	ʂʏl
aktiv	ˈɑktɪʋ
umenneskeligste	ʉˈmɛnskəlɪkstə
økonomi	œkʊnʊˈmiː
palme	ˈpɑlmə
yttertak	ʏtəʈɑːk
troløs	ˈtɾuːløːs
høfligere	ˈhœflɪɾə
ektepar	ɛktəpɑːɾ
flerre	ˈflæɾə
bekjentskap	bɛˈçɛntskɑːp
flomme	ˈflɔmə
knepen	ˈkneːpən
unødvendig	ˈʉːnœdʋɛnɪ
spiseligste	ˈspiːsəlɪkstə
august	æʉˈgʉst
han	hɑn
votere	ʋʊˈteːɾə
ensfarga	ˈeːnsfɑɾgɑ
hjelpeløs	ˈjɛlpəløːs
ohne	ˈoːnə
bjeffe	ˈbjɛfə
snøvle	ˈsnœʋlə
tåpeligst	ˈtoːpəlɪkst
beslaglegge	bəˈʂɭɑːgləgə
skammelige	ˈskɑməlɪə
sjøsette	ˈʂøːsɛtə
gauk	gæwk
strategisk	stɾɑˈteːgɪsk
terrassere	tæɾɑˈseːɾə
akkompagnere	ɑkʊmpɑnˈjeːɾə
hurtigste	ˈhʉʈɪkstə
gra	gɾoː
uhøfligere	ʉˈhœflɪɾə
sydligst	ˈsyːdlɪkst
virkedag	ˈʋɪɾkədɑːg
diffus	dɪˈfʉːs
selv	sɛl
gerilja	gɛˈɾɪljɑ
renovere	ɾənʊˈʋeːɾə
klissvåt	ˈklɪsʋoːt
grammatikalitet	gɾɑmɑtɪkɑlɪˈteːt
plyndre	ˈplʏndɾə
tekkes	ˈtɛkəs
begripeligere	bəˈgɾiːpəlɪɾə
hendige	ˈhɛnɪə
skrot	skɾuːt
avhengigst	ˈɑːʋhɛŋɪkst
tiltale	ˈtɪltɑːlə
saueost	sæʉəʊst
lovligste	ˈloːʋlɪkstə
antisemittisk	ˈɑntɪsəmɪtɪsk
lysmåler	lʏsmoːləɾ
fettern	fɛtæɳ
pessimistisk	pəsɪˈmɪstɪsk
likegyldig	ˈliːkəjʏldɪ
naiv	nɑˈiːʋ
svømmedyktigere	ˈsʋœmədʏktɪɾə
kaptein	kɑpˈtæɪn
trygle	ˈtɾʏglə
totalitær	tʊtɑlɪˈtæːɾ
svoger	ˈsʋoːgəɾ
indignert	ɪnɪgˈneːʈ
ungjente	ˈʊŋjɛntə
din	diːn
kosteligst	ˈkɔstəlɪkst
avgang	ɑːʋgɑŋ
unnskyldning	ˈʉnʂʏlnɪŋ
ripe	ˈɾiːpə
middels	ˈmɪdəls
hardnakket	ˈhɑːɳɑkət
såpe	ˈsoːpə
hjelpsom	ˈjɛlpsɔm
vanntett	ˈʋɑntɛt
dunkel	ˈdɔŋkl̩,ˈdʊŋkəl
ile	ˈiːlə
unntatt	ˈʉntɑt
forestilling	foːɾəstɪlɪŋ
helseskadelige	ˈhɛlsəskɑːdlɪə
pass	pɑs
bemerke	bəˈmæɾkə
sennep	ˈsɛnɛp
mindreårige	ˈmɪndɾəoːɾɪə
pai	pæɪ
dine	diːne
innrede	ˈɪnɾeːdə
ifølge	ɪˈfœlgə
flådde	ˈflɔdə
ordinær	ɔɖɪˈnæːɾ
avmålt	ˈɑːʋmoːlt
avslutte	ˈɑːʋʂɭʉtə
troverdige	tɾʊˈʋæɖɪə
stige på	stiːgəˈpoː
meteorologisk	mətəʊɾʊˈloːgɪsk
ubegava	ˈʉːbəgɑːʋət
interessere seg for	ɪntəɾɛˈseːɾəsæɪfɔɾ
sverme	ˈsʋæɾmə
barnemoderasjon	bɑːɳəmʊdəɾɑʂuːn
forbløffe	fɔɾˈblœfə
betydelig	bəˈtyːdəlɪ
papir	pɑˈpiːɾ
inngangsbillett	ɪngɑŋsbɪlɛt
likefrem	ˈliːkəfɾəm
svaie	ˈsʋɑjə
heldig	ˈhɛldɪ
bestandigere	bəˈstɑnɪɾə
klimaanlegg	kliːmɑɑnlɛgə
utstrakt	ˈʉːtstɾɑːkt
seilbåt	sæɪlboːt
bokstaveligere	bʊkˈstɑːʋəlɪɾə
yste	ˈʏstə
knive	ˈkniːʋə
tilstå	ˈtɪlstoː
smelle	ˈsmɛlə
latterligere	ˈlɑtəɭɪɾə
instinktiv	ɪnstɪŋkˈtiːʋ,ɪnstɪŋˈtiːʋ
selvstendigste	səlˈstɛnɪkstə
inneslutta	ˈɪnəʂɭʉtət
gåtefull	ˈgoːtəfʉl
fordomsfull	ˈfɔɖɔmsfʉl
utsette	ˈʉːtsɛtə
sølete	ˈsøːlətə
familiær	fɑmɪlɪˈæːɾ
uavhengigste	ˈʉːɑːʋhɛŋɪkstə
velvillige	ʋəlˈʋɪlɪə
bringen	ˈbɾɪŋən
uvesentligst	ʉˈʋeːsəntlɪkst
uavlatelig	ʉːɑːʋˈlɑːtəlɪ
gifte seg	jɪftəsæi
underlegen	ˈʉnəɭeːgən
ressurssterk	ɾɛˈsʉʂstæɾk
bule	ˈbʉːlə
stjele	ˈstjeːlə
vedvare	ˈʋeːdʋɑːɾə
die	ˈdiːə
evigere	ˈeːʋɪɾə
kapital	kɑpɪˈtɑːl
ulykksalig	ʉːlʏkˈsɑːlɪ
bestemme	bəˈstɛmə
naut	næʋt,næwt
tragisk	ˈtɾɑːgɪsk
gjerrigere	ˈjæɾɪɾə
berolige	bɛˈɾuːlɪə
representere	ɾəpɾəsənˈteːɾə
kristelige	ˈkɾɪstəlɪə
spekulere	spəkʉˈleːɾə
barbervann	bɑɾˈbeːɾʋɑn
ungkar	ˈʊŋkɑːɾ
justerbar	jʉˈsteːɾbɑːɾ
kubbe	ˈkʉbə
vandre	ˈʋɑndɾə
uomtvistelige	ʉɔmˈtʋɪstəlɪə
kyndig	ˈçʏnɪ
sympatisere	sʏmpɑtɪˈseːɾə
sensuell	sənsʉˈɛl
innbakt	ˈɪnbɑkt
kriminell	kɾɪmɪˈnɛl
adekvat	ɑdəˈkʋɑːt
navn	nɑʋn̩
poste restante	pɔstəɾɛstɑntə
sørligste	ˈsøːɭɪkstə
svulstigst	ˈsʋʉlstɪkst
eminent	ɛmɪˈnɛnt
udanna	ˈʉːdɑnət
redegjøre	ˈɾeːdəjøːɾə
ansvarlig	ɑnˈsʋɑːɭɪ
villig	ˈʋɪlɪ
kontrollør	kʊntɾʊˈløːɾ
skule	ˈskʉːlə
kjørsel	ˈçœʂəl
langvarig	ˈlɑŋʋɑːɾɪ
klekkeligst	ˈklɛkəlɪkst
uærlig	ʉˈæːɭɪ
tilbørligere	tɪlˈbøːɭɪɾə
verktøy	ˈʋæɾktœj
grann	gɾɑn
glup	glʉːp
anker	ˈɑŋkəɾ
dugge	ˈdʉgə
rom	ɾuːm
nyrebelte	nyːɾəbɛltə
innbilsk	ˈɪnbɪlsk
pant	pɑnt
lengte	ˈlɛŋtə
fyrsteligst	ˈfʏʂtəlɪkst
ombestille	ˈɔmbɛstɪlə
ulideligste	ʉˈliːdəlɪkstə
selge	ˈsɛlə
trekantet	ˈtɾeːkɑntət
klekkeligere	ˈklɛkəlɪɾə
langsom	ˈlɑŋsɔm
uforsiktig	ˈʉːfɔʂɪktɪ
alpin	ɑlˈpiːn
oppriktigste	ɔpˈɾɪktɪkstə
i helgen	ɪˈhɛlgən
skift	ʂɪftə
stemple	ˈstɛmplə
nyrestein	nyːɾəstæɪn
hamstre	ˈhɑmstɾə
skrike	ˈskɾiːkə
retningsnummer	ɾɛtnɪŋsnʊməɾ
trinn	tɾɪn
sydlige	ˈsyːdlɪə
kjærlig	ˈçæːɭɪ
fiolett	fɪɔˈlɛt
dikt	dɪkt
gjendrive	ˈjɛndɾiːʋə
strøm	stɾœm
plan	plɑːn
maur	mæwɾ,ˈmæʋəɾ
