bắt ấn	băk˦˥ɤ̆ŋ˩˧
tâm lí học	tɤ̆m˧˥li˩˧hɔk͡p˨ˀ˩ʔ
quy chiếu	wi˧˥ciəw˩˧
đói cơm	dɔj˩˧kɤm˧˥
chướng độc	cɯəŋ˩˧dok͡p˨ˀ˩ʔ
chim trên lửa, cá dưới dao	cim˧˥ʈen˧˥lɯə˧˩˨ka˩˧jɯəj˩˧jaw˧˥
quài nưa	waj˦˨nɯə˧˥
binh vụ	bin˧˥ju˨ˀ˩ʔ
phẩy khuẩn	fɤ̆j˧˩˨xwɤ̆ŋ˧˩˨
vụt chốc	juk͡p˨ˀ˩ʔcok͡p˦˥
công lao	koŋ͡m˧˥law˧˥
bán thành phẩm	baŋ˩˧tʰan˦˨fɤ̆m˧˩˨
rướn cổ	ʐɯəŋ˩˧ko˧˩˨
khoảnh khoái	xwan˧˩˨xwaj˩˧
lè tè	lɛ˦˨tɛ˦˨
hiền	hiəŋ˦˨
nhấc bổng	ɲɤ̆k˦˥boŋ͡m˧˩˨
được đồng nào, xào	dɯək˨ˀ˩ʔdoŋ͡m˦˨naw˦˨saw˦˨
đứng máy	dɯŋ˩˧măj˩˧
thèo đảnh	tʰeo˦˨dan˧˩˨
hươu xạ	hɯəw˧˥sa˨ˀ˩ʔ
quốc tịch	wok͡p˦˥tit˨ˀ˩ʔ
thị hùng	tʰi˨ˀ˩ʔhuŋ͡m˦˨
thinh thích	tʰin˧˥tʰit˦˥
dặn dò	jăŋ˨ˀ˩ʔjɔ˦˨
ngăn	ŋăŋ˧˥
trèo cao ngã đau	ʈeo˦˨kaw˧˥ŋa˧˩˨dăw˧˥
bia chai	biə˧˥caj˧˥
chế độ quân chủ chuyên chế	ce˩˧do˨ˀ˩ʔwɤ̆ŋ˧˥cu˧˩˨cwiəŋ˧˥ce˩˧
mã phu	ma˧˩˨fu˧˥
nở gan nở ruột	nɤ˧˩˨ɣaŋ˧˥nɤ˧˩˨ʐuək˨ˀ˩ʔ
ai cảm	aj˧˥kam˧˩˨
nhật quỳ	ɲɤ̆k˨ˀ˩ʔwi˦˨
thóc lúa	tʰɔk͡p˦˥luə˩˧
tân chánh	tɤ̆ŋ˧˥can˩˧
tử biệt sinh li	tɯ˧˩˨biək˨ˀ˩ʔʂin˧˥li˧˥
tháo dạ	tʰaw˩˧ja˨ˀ˩ʔ
kiếm chác	kiəm˩˧cak˦˥
ngừng bắn	ŋɯŋ˦˨băŋ˩˧
đổ bác	do˧˩˨bak˦˥
cắn ổ	kăŋ˩˧o˧˩˨
hội quán	hoj˨ˀ˩ʔwaŋ˩˧
quyết	wiɛk˦˥
tứ sắc	tɯ˩˧ʂăk˦˥
cơm trắng chả chim	kɤm˧˥ʈăŋ˩˧ca˧˩˨cim˧˥
đất nặng	dɤ̆k˦˥năŋ˨ˀ˩ʔ
tre pheo	ʈɛ˧˥feo˧˥
bưu phiếu	bɯw˧˥fiəw˩˧
mày tao mi tớ	măj˦˨taw˧˥mi˧˥tɤ˩˧
thông nhựa	tʰoŋ͡m˧˥ɲɯə˨ˀ˩ʔ
nguyệt học	ŋwiək˨ˀ˩ʔhɔk͡p˨ˀ˩ʔ
ma bùn	ma˧˥buŋ͡m˦˨
bùi tai	buj˦˨taj˧˥
chiến tranh nóng	ciəŋ˩˧ʈan˧˥nɔŋ͡m˩˧
toàn tinh	twaŋ˦˨tin˧˥
song trùng	ʂɔŋ͡m˧˥ʈuŋ͡m˦˨
yên cát	iɛŋ˧˥kak˦˥
bất đề kháng	bɤ̆k˦˥de˦˨xaŋ˩˧
thiệu quang	tʰiəw˨ˀ˩ʔwaŋ˧˥
kiến lập	kiəŋ˩˧lɤ̆p˨ˀ˩ʔ
hí hí	hi˩˧hi˩˧
tâm đối xứng	tɤ̆m˧˥doj˩˧sɯŋ˩˧
phí phạn	fi˩˧faŋ˨ˀ˩ʔ
bò tót	bɔ˦˨tɔk͡p˦˥
thần thái	tʰɤ̆ŋ˦˨tʰaj˩˧
trời quang mây tạnh	ʈɤj˦˨waŋ˧˥mɤ̆j˧˥tan˨ˀ˩ʔ
cố công cố sức	ko˩˧koŋ͡m˧˥ko˩˧ʂɯk˦˥
dặm trường	jăm˨ˀ˩ʔʈɯəŋ˦˨
tứ xứ	tɯ˩˧sɯ˩˧
đứng mũi chịu sào	dɯŋ˩˧muj˧˩˨ciw˨ˀ˩ʔʂaw˦˨
thần kinh ngoại biên	tʰɤ̆ŋ˦˨kin˧˥ŋwaj˨ˀ˩ʔbiəŋ˧˥
bảo tàng	baw˧˩˨taŋ˦˨
nữ đồng chí	nɯ˧˩˨doŋ͡m˦˨ci˩˧
nhớ ơn	ɲɤ˩˧ɤŋ˧˥
chi lưu	ci˧˥lɯw˧˥
cửa hiệu	kɯə˧˩˨hiəw˨ˀ˩ʔ
dẫn đầu	jɤ̆ŋ˧˩˨dɤ̆w˦˨
ngóm	ŋɔm˩˧
gác ngoài tai	ɣak˦˥ŋwaj˦˨taj˧˥
mét me	mɛk˦˥mɛ˧˥
đưa đám	dɯə˧˥dam˩˧
có thịt đòi xôi	kɔ˩˧tʰit˨ˀ˩ʔdɔj˦˨soj˧˥
bai	baj˧˥
ríp-pê	ʐip˦˥-pe˧˥
anh hùng cái thế	an˧˥huŋ͡m˦˨kaj˩˧tʰe˩˧
ác báo	ak˦˥baw˩˧
khinh khích	xin˧˥xit˦˥
mâu	mɤ̆w˧˥
thự thạch	tʰɯ˨ˀ˩ʔtʰak˨ˀ˩ʔ
hiếm nỗi	hiəm˩˧noj˧˩˨
vô đề	jo˧˥de˦˨
hoa cánh giấy	hwa˧˥kan˩˧jɤ̆j˩˧
chung cư	cuŋ͡m˧˥kɯ˧˥
quắc hương	wăk˦˥hɯəŋ˧˥
rượu cẩm	ʐɯəw˨ˀ˩ʔkɤ̆m˧˩˨
nhà chính trị	ɲa˦˨cin˩˧ʈi˨ˀ˩ʔ
yên phụ	iɛŋ˧˥fu˨ˀ˩ʔ
mang mang	maŋ˧˥maŋ˧˥
tế phục	te˩˧fuk͡p˨ˀ˩ʔ
giản phổ	jaŋ˧˩˨fo˧˩˨
thảnh thơi	tʰan˧˩˨tʰɤj˧˥
huyễn	hwiəŋ˧˩˨
mía sơn diệu	miə˩˧ʂɤŋ˧˥jiəw˨ˀ˩ʔ
an thịnh	aŋ˧˥tʰin˨ˀ˩ʔ
đổi dời	doj˧˩˨jɤj˦˨
ma chê cưới trách	ma˧˥ce˧˥kɯəj˩˧ʈak˦˥
rượu bia	ʐɯəw˨ˀ˩ʔbiə˧˥
thí chủ	tʰi˩˧cu˧˩˨
ngỡ ngàng	ŋɤ˧˩˨ŋaŋ˦˨
thọ vực	tʰɔ˨ˀ˩ʔjɯk˨ˀ˩ʔ
xói móc	sɔj˩˧mɔk͡p˦˥
phát sùng	fak˦˥ʂuŋ͡m˦˨
bước ra	bɯək˦˥ʐa˧˥
giấc hoa	jɤ̆k˦˥hwa˧˥
hiếu trọng tình thâm	hiəw˩˧ʈɔŋ͡m˨ˀ˩ʔtin˦˨tʰɤ̆m˧˥
máy bộ đàm	măj˩˧bo˨ˀ˩ʔdam˦˨
phần phật	fɤ̆ŋ˦˨fɤ̆k˨ˀ˩ʔ
quanh quất	wan˧˥wɤ̆k˦˥
sắc áo	ʂăk˦˥aw˩˧
minh dương	min˧˥jɯəŋ˧˥
giấy hải quan	jɤ̆j˩˧haj˧˩˨waŋ˧˥
hải tiêu	haj˧˩˨tiəw˧˥
văn sách	jăŋ˧˥ʂak˦˥
mẹ già	mɛ˨ˀ˩ʔja˦˨
vèo vèo	jeo˦˨jeo˦˨
bỡ ngỡ như rợ về đồng bằng	bɤ˧˩˨ŋɤ˧˩˨ɲɯ˧˥ʐɤ˨ˀ˩ʔje˦˨doŋ͡m˦˨băŋ˦˨
toạ hưởng kì thành	twa˨ˀ˩ʔhɯəŋ˧˩˨ki˦˨tʰan˦˨
khuôn rập	xuəŋ˧˥ʐɤ̆p˨ˀ˩ʔ
địa đạo chiến	diə˨ˀ˩ʔdaw˨ˀ˩ʔciəŋ˩˧
ta-luy	ta˧˥-lwi˧˥
cúc dục	kuk͡p˦˥juk͡p˨ˀ˩ʔ
suất	ʂwɤ̆k˦˥
nan hoa	naŋ˧˥hwa˧˥
đui mù	duj˧˥mu˦˨
nam tính hóa	nam˧˥tin˩˧hwa˩˧
thuyền viên	tʰwiəŋ˦˨jiəŋ˧˥
ngáo ộp	ŋaw˩˧op˨ˀ˩ʔ
góc kề nhau	ɣɔk͡p˦˥ke˦˨ɲăw˧˥
phận bạc	fɤ̆ŋ˨ˀ˩ʔbak˨ˀ˩ʔ
đàn sếu	daŋ˦˨ʂɛu˩˧
cười	kɯəj˦˨
vượng	jɯəŋ˨ˀ˩ʔ
thót	tʰɔk͡p˦˥
ảo hoá	aw˧˩˨hwa˩˧
vôi thủy	joj˧˥tʰuj˧˩˨
dổm	jom˧˩˨
chất hữu cơ	cɤ̆k˦˥hɯw˧˩˨kɤ˧˥
kiêu bạc	kiəw˧˥bak˨ˀ˩ʔ
tổ ấm	to˧˩˨ɤ̆m˩˧
trời già	ʈɤj˦˨ja˦˨
bản chức	baŋ˧˩˨cɯk˦˥
cá đối bằng đầu	ka˩˧doj˩˧băŋ˦˨dɤ̆w˦˨
võ sĩ	jɔ˧˩˨ʂi˧˩˨
non tay	nɔŋ͡m˧˥tăj˧˥
bà la môn giáo	ba˦˨la˧˥moŋ͡m˧˥jaw˩˧
ưu tư	ɯw˧˥tɯ˧˥
bản gốc	baŋ˧˩˨ɣok͡p˦˥
kiến trúc sư	kiəŋ˩˧ʈuk͡p˦˥ʂɯ˧˥
thỏa thích	tʰwa˧˩˨tʰit˦˥
hắc lào	hăk˦˥law˦˨
đem sang	dɛm˧˥ʂaŋ˧˥
mắt thứ hai, tai thứ bảy	măk˦˥tʰɯ˩˧haj˧˥taj˧˥tʰɯ˩˧băj˧˩˨
tằm tơ	tăm˦˨tɤ˧˥
bần nông	bɤ̆ŋ˦˨noŋ͡m˧˥
bao hình	baw˧˥hin˦˨
thuận	tʰwɤ̆ŋ˨ˀ˩ʔ
bộ năm	bo˨ˀ˩ʔnăm˧˥
phiền hà	fiəŋ˦˨ha˦˨
lỡ hẹn	lɤ˧˩˨hɛŋ˨ˀ˩ʔ
ai tư vãn	aj˧˥tɯ˧˥jaŋ˧˩˨
huyền học	hwiəŋ˦˨hɔk͡p˨ˀ˩ʔ
cúc vàng	kuk͡p˦˥jaŋ˦˨
thiên uy	tʰiəŋ˧˥wi˧˥
bích-quy	bit˦˥-wi˧˥
đáo lỗ	daw˩˧lo˧˩˨
tuý ông	twi˩˧oŋ͡m˧˥
gang tấc	ɣaŋ˧˥tɤ̆k˦˥
mỡ gà thì gió, mỡ chó thì mưa	mɤ˧˩˨ɣa˦˨tʰi˦˨jɔ˩˧mɤ˧˩˨cɔ˩˧tʰi˦˨mɯə˧˥
nước đôi	nɯək˦˥doj˧˥
chế độ đa thê	ce˩˧do˨ˀ˩ʔda˧˥tʰe˧˥
gí	ɣi˩˧
thần tiên	tʰɤ̆ŋ˦˨tiəŋ˧˥
gót sen	ɣɔk͡p˦˥ʂɛŋ˧˥
nem chua	nɛm˧˥cuə˧˥
nghẹn	ŋɛŋ˨ˀ˩ʔ
ve	jɛ˧˥
phân câu	fɤ̆ŋ˧˥kɤ̆w˧˥
gốc nguồn	ɣok͡p˦˥ŋuəŋ˦˨
chụp bóng	cup˨ˀ˩ʔbɔŋ͡m˩˧
túc cầu	tuk͡p˦˥kɤ̆w˦˨
hê-ma-tit	he˧˥-ma˧˥-tit˧˥
sát địch	ʂak˦˥dit˨ˀ˩ʔ
vâng vâng dạ dạ	jɤ̆ŋ˧˥jɤ̆ŋ˧˥ja˨ˀ˩ʔja˨ˀ˩ʔ
tí	ti˩˧
cá biệt hoá	ka˩˧biək˨ˀ˩ʔhwa˩˧
phi kim	fi˧˥kim˧˥
thạch khoán	tʰak˨ˀ˩ʔxwaŋ˩˧
đi học	di˧˥hɔk͡p˨ˀ˩ʔ
kiếm sống	kiəm˩˧ʂoŋ͡m˩˧
say sóng	ʂăj˧˥ʂɔŋ͡m˩˧
kì cùng	ki˦˨kuŋ͡m˦˨
bẹ mèo	bɛ˨ˀ˩ʔmeo˦˨
ti ti	ti˧˥ti˧˥
củi thước	kuj˧˩˨tʰɯək˦˥
máy điều hoà nhiệt độ	măj˩˧diəw˦˨hwa˦˨ɲiək˨ˀ˩ʔdo˨ˀ˩ʔ
bôn tẩu	boŋ͡m˧˥tɤ̆w˧˩˨
chắp cánh liền cành	căp˦˥kan˩˧liəŋ˦˨kan˦˨
đồng bạch	doŋ͡m˦˨bak˨ˀ˩ʔ
bằng lũng	băŋ˦˨luŋ͡m˧˩˨
công binh	koŋ͡m˧˥bin˧˥
đánh nấm	dan˩˧nɤ̆m˩˧
ỉa	iə˧˩˨
bì bẹt	bi˦˨bɛk˨ˀ˩ʔ
du kích	ju˧˥kit˦˥
hiện diện	hiəŋ˨ˀ˩ʔjiəŋ˨ˀ˩ʔ
tận hiếu	tɤ̆ŋ˨ˀ˩ʔhiəw˩˧
ăn thừa	ăŋ˧˥tʰɯə˦˨
gai góc	ɣaj˧˥ɣɔk͡p˦˥
tháo gỡ	tʰaw˩˧ɣɤ˧˩˨
bắc bộ	băk˦˥bo˨ˀ˩ʔ
xiểng liểng	siəŋ˧˩˨liəŋ˧˩˨
ấn tín học	ɤ̆ŋ˩˧tin˩˧hɔk͡p˨ˀ˩ʔ
vàng hàng hoá	jaŋ˦˨haŋ˦˨hwa˩˧
đếch	det˦˥
tinh cầu	tin˧˥kɤ̆w˦˨
chất phóng xạ	cɤ̆k˦˥fɔŋ͡m˩˧sa˨ˀ˩ʔ
cho một lột mười	cɔ˧˥mok͡p˨ˀ˩ʔlok͡p˨ˀ˩ʔmɯəj˦˨
giáp xác	jap˦˥sak˦˥
trảm giam hậu	ʈam˧˩˨jam˧˥hɤ̆w˨ˀ˩ʔ
các-tông	kak˦˥-toŋ͡m˧˥
nghi dụ	ŋi˧˥ju˨ˀ˩ʔ
cầm lửa bỏ tay người	kɤ̆m˦˨lɯə˧˩˨bɔ˧˩˨tăj˧˥ŋɯəj˦˨
cạm	kam˨ˀ˩ʔ
cúp	kup˦˥
văn võ bách quan	jăŋ˧˥jɔ˧˩˨bak˦˥waŋ˧˥
bặt tăm bặt tích	băk˨ˀ˩ʔtăm˧˥băk˨ˀ˩ʔtit˦˥
giẻ lau	jɛ˧˩˨lăw˧˥
tiếp dẫn	tiəp˦˥jɤ̆ŋ˧˩˨
thét	tʰɛk˦˥
phương pháp luận	fɯəŋ˧˥fap˦˥lwɤ̆ŋ˨ˀ˩ʔ
năm mặt trời	năm˧˥măk˨ˀ˩ʔʈɤj˦˨
co cúm	kɔ˧˥kum˩˧
ước vọng	ɯək˦˥jɔŋ͡m˨ˀ˩ʔ
xoáy nghịch	swăj˩˧ŋit˨ˀ˩ʔ
phúc hậu	fuk͡p˦˥hɤ̆w˨ˀ˩ʔ
biếng ăn	biəŋ˩˧ăŋ˧˥
tuỳ tiền biện lễ	twi˦˨tiəŋ˦˨biəŋ˨ˀ˩ʔle˧˩˨
khỏe khòe khoe	xwe˧˩˨xwe˦˨xwe˧˥
chi nhánh	ci˧˥ɲan˩˧
mũi tên hòn đạn	muj˧˩˨ten˧˥hɔŋ͡m˦˨daŋ˨ˀ˩ʔ
nghèn nghẹn	ŋɛŋ˦˨ŋɛŋ˨ˀ˩ʔ
chiến hữu	ciəŋ˩˧hɯw˧˩˨
ngọc bích	ŋɔk͡p˨ˀ˩ʔbit˦˥
lâm luật	lɤ̆m˧˥lwɤ̆k˨ˀ˩ʔ
diễm tuyệt	jiəm˧˩˨twiək˨ˀ˩ʔ
tu mi	tu˧˥mi˧˥
o-xít hóa	ɔ˧˥-sit˦˥hwa˩˧
chim hoà bình	cim˧˥hwa˦˨bin˦˨
thắt lưng buộc bụng	tʰăk˦˥lɯŋ˧˥buək˨ˀ˩ʔbuŋ͡m˨ˀ˩ʔ
cot	kɔk͡p˧˥
bình nam	bin˦˨nam˧˥
tắc ráng	tăk˦˥ʐaŋ˩˧
canh	kan˧˥
biên uỷ	biəŋ˧˥wi˧˩˨
khăn chữ nhân	xăŋ˧˥cɯ˧˩˨ɲɤ̆ŋ˧˥
gạch ngang	ɣak˨ˀ˩ʔŋaŋ˧˥
ăn như rồng cuốn	ăŋ˧˥ɲɯ˧˥ʐoŋ͡m˦˨kuəŋ˩˧
hạng mục	haŋ˨ˀ˩ʔmuk͡p˨ˀ˩ʔ
ca ngâm	ka˧˥ŋɤ̆m˧˥
khao	xaw˧˥
thiên lí	tʰiəŋ˧˥li˩˧
bên a	ben˧˥a˧˥
viết như gà bới	jiək˦˥ɲɯ˧˥ɣa˦˨bɤj˩˧
hiểm địa	hiəm˧˩˨diə˨ˀ˩ʔ
nhem nhẻm nhèm nhem	ɲɛm˧˥ɲɛm˧˩˨ɲɛm˦˨ɲɛm˧˥
trắc bách	ʈăk˦˥bak˦˥
cơm tây	kɤm˧˥tɤ̆j˧˥
chế độ cộng sản nguyên thuỷ	ce˩˧do˨ˀ˩ʔkoŋ͡m˨ˀ˩ʔʂaŋ˧˩˨ŋwiəŋ˧˥tʰwi˧˩˨
nhỡ bước	ɲɤ˧˩˨bɯək˦˥
võ thuật	jɔ˧˩˨tʰwɤ̆k˨ˀ˩ʔ
nhả ngọc phun châu	ɲa˧˩˨ŋɔk͡p˨ˀ˩ʔfuŋ͡m˧˥cɤ̆w˧˥
một đón mười rào	mok͡p˨ˀ˩ʔdɔŋ͡m˩˧mɯəj˦˨ʐaw˦˨
bo bo	bɔ˧˥bɔ˧˥
hộp chữa cháy	hop˨ˀ˩ʔcɯə˧˩˨căj˩˧
cầu gai	kɤ̆w˦˨ɣaj˧˥
tiền sinh	tiəŋ˦˨ʂin˧˥
bát phương	bak˦˥fɯəŋ˧˥
trơn lông đỏ da	ʈɤŋ˧˥loŋ͡m˧˥dɔ˧˩˨ja˧˥
bông tai	boŋ͡m˧˥taj˧˥
tâm bão	tɤ̆m˧˥baw˧˩˨
hoa cười ngọc thốt	hwa˧˥kɯəj˦˨ŋɔk͡p˨ˀ˩ʔtʰok͡p˦˥
sao chép	ʂaw˧˥cɛp˦˥
linh đinh	lin˧˥din˧˥
dung nhận	juŋ͡m˧˥ɲɤ̆ŋ˨ˀ˩ʔ
ứng dụng	ɯŋ˩˧juŋ͡m˨ˀ˩ʔ
ăn rỗi	ăŋ˧˥ʐoj˧˩˨
ngoang ngoảng	ŋwaŋ˧˥ŋwaŋ˧˩˨
giải trí	jaj˧˩˨ʈi˩˧
phát phiền	fak˦˥fiəŋ˦˨
vị toan	ji˨ˀ˩ʔtwaŋ˧˥
chớp bóng	cɤp˦˥bɔŋ͡m˩˧
keng	kɛŋ˧˥
sàn sạt như hai gái lấy một chồng	ʂaŋ˦˨ʂak˨ˀ˩ʔɲɯ˧˥haj˧˥ɣaj˩˧lɤ̆j˩˧mok͡p˨ˀ˩ʔcoŋ͡m˦˨
tum	tum˧˥
hao hao	haw˧˥haw˧˥
tru di tam tộc	ʈu˧˥ji˧˥tam˧˥tok͡p˨ˀ˩ʔ
quen thân	wɛŋ˧˥tʰɤ̆ŋ˧˥
tri kỷ	ʈi˧˥ki˧˩˨
thuộc quốc	tʰuək˨ˀ˩ʔwok͡p˦˥
chi tiết	ci˧˥tiək˦˥
tổng sản lượng	toŋ͡m˧˩˨ʂaŋ˧˩˨lɯəŋ˨ˀ˩ʔ
đau ruột	dăw˧˥ʐuək˨ˀ˩ʔ
kiêm ái	kiəm˧˥aj˩˧
y	i˧˥
ăn chẹt	ăŋ˧˥cɛk˨ˀ˩ʔ
xe nôi	sɛ˧˥noj˧˥
nước khoáng	nɯək˦˥xwaŋ˩˧
thạch động	tʰak˨ˀ˩ʔdoŋ͡m˨ˀ˩ʔ
phoóc	fɔk͡p˦˥
đáng tiền	daŋ˩˧tiəŋ˦˨
nhạc nhe	ɲak˨ˀ˩ʔɲɛ˧˥
chấn thương	cɤ̆ŋ˩˧tʰɯəŋ˧˥
nghiệt ngõng	ŋiək˨ˀ˩ʔŋɔŋ͡m˧˩˨
khơi chừng	xɤj˧˥cɯŋ˦˨
hoa tự	hwa˧˥tɯ˨ˀ˩ʔ
băng túp	băŋ˧˥tup˦˥
vịt xiêm	jit˨ˀ˩ʔsiəm˧˥
dũng tâm	juŋ͡m˧˩˨tɤ̆m˧˥
cô nhi quả phụ	ko˧˥ɲi˧˥wa˧˩˨fu˨ˀ˩ʔ
gờ vòng	ɣɤ˦˨jɔŋ͡m˦˨
duy hạnh phúc	jwi˧˥han˨ˀ˩ʔfuk͡p˦˥
như ma lem	ɲɯ˧˥ma˧˥lɛm˧˥
thủng nồi trôi chõ	tʰuŋ͡m˧˩˨noj˦˨ʈoj˧˥cɔ˧˩˨
cưới bạc	kɯəj˩˧bak˨ˀ˩ʔ
lồng ghép	loŋ͡m˦˨ɣɛp˦˥
bổ xuyết	bo˧˩˨swiək˦˥
cám	kam˩˧
truyền giáo học	ʈwiəŋ˦˨jaw˩˧hɔk͡p˨ˀ˩ʔ
dung thứ	juŋ͡m˧˥tʰɯ˩˧
xăng văng	săŋ˧˥jăŋ˧˥
tỷ thí	ti˧˩˨tʰi˩˧
sánh bày	ʂan˩˧băj˦˨
cồn ruột	koŋ͡m˦˨ʐuək˨ˀ˩ʔ
gặp đâu hay đó	ɣăp˨ˀ˩ʔdɤ̆w˧˥hăj˧˥dɔ˩˧
điếc đặc	diək˦˥dăk˨ˀ˩ʔ
băng thạch	băŋ˧˥tʰak˨ˀ˩ʔ
phân vùng	fɤ̆ŋ˧˥juŋ͡m˦˨
sa giông	ʂa˧˥joŋ͡m˧˥
hóc	hɔk͡p˦˥
báo ơn	baw˩˧ɤŋ˧˥
xao xuyến	saw˧˥swiəŋ˩˧
bàn rung	baŋ˦˨ʐuŋ͡m˧˥
bùi quang chiêu	buj˦˨waŋ˧˥ciəw˧˥
nói sùi bọt mép	nɔj˩˧ʂuj˦˨bɔk͡p˨ˀ˩ʔmɛp˦˥
xên	sen˧˥
loẹt	lwet˨ˀ˩ʔ
đậu mùa	dɤ̆w˨ˀ˩ʔmuə˦˨
đảo điên	daw˧˩˨diəŋ˧˥
ra điều	ʐa˧˥diəw˦˨
phủ tạng	fu˧˩˨taŋ˨ˀ˩ʔ
tống khứ	toŋ͡m˩˧xɯ˩˧
tần số kế	tɤ̆ŋ˦˨ʂo˩˧ke˩˧
dế trũi	je˩˧ʈuj˧˩˨
mớn nước	mɤŋ˩˧nɯək˦˥
trật bản lề	ʈɤ̆k˨ˀ˩ʔbaŋ˧˩˨le˦˨
dồn nén	joŋ͡m˦˨nɛŋ˩˧
thối hoắc	tʰoj˩˧hwăk˦˥
chợ đen	cɤ˨ˀ˩ʔdɛŋ˧˥
rô	ʐo˧˥
hết chuyện nọ dọ chuyện kia	het˦˥cwiəŋ˨ˀ˩ʔnɔ˨ˀ˩ʔjɔ˨ˀ˩ʔcwiəŋ˨ˀ˩ʔkiə˧˥
xập xí xập ngầu	sɤ̆p˨ˀ˩ʔsi˩˧sɤ̆p˨ˀ˩ʔŋɤ̆w˦˨
sư tử hà-đông	ʂɯ˧˥tɯ˧˩˨ha˦˨-doŋ͡m˧˥
nô en	no˧˥ɛŋ˧˥
giẫm chân lên nhau	jɤ̆m˧˩˨cɤ̆ŋ˧˥len˧˥ɲăw˧˥
bôn cạnh	boŋ͡m˧˥kan˨ˀ˩ʔ
mê-tờ-rô	me˧˥-tɤ˦˨-ʐo˧˥
thuần lương	tʰwɤ̆ŋ˦˨lɯəŋ˧˥
kín nhiệm	kin˩˧ɲiəm˨ˀ˩ʔ
quạ quạ	wa˨ˀ˩ʔwa˨ˀ˩ʔ
rau cần	ʐăw˧˥kɤ̆ŋ˦˨
bán phấn buôn hương	baŋ˩˧fɤ̆ŋ˩˧buəŋ˧˥hɯəŋ˧˥
thẳng như ruột ngựa	tʰăŋ˧˩˨ɲɯ˧˥ʐuək˨ˀ˩ʔŋɯə˨ˀ˩ʔ
tải điện	taj˧˩˨diəŋ˨ˀ˩ʔ
quân pháp	wɤ̆ŋ˧˥fap˦˥
vận khí	jɤ̆ŋ˨ˀ˩ʔxi˩˧
que rẽ	wɛ˧˥ʐɛ˧˩˨
quắc	wăk˦˥
điện cao thế	diəŋ˨ˀ˩ʔkaw˧˥tʰe˩˧
môi-răng	moj˧˥-ʐăŋ˧˥
đâm lo	dɤ̆m˧˥lɔ˧˥
ca-líp	ka˧˥-lip˦˥
cây thân thảo	kɤ̆j˧˥tʰɤ̆ŋ˧˥tʰaw˧˩˨
sinh con ai nỡ sinh lòng	ʂin˧˥kɔŋ͡m˧˥aj˧˥nɤ˧˩˨ʂin˧˥lɔŋ͡m˦˨
phí	fi˩˧
tổ cầu	to˧˩˨kɤ̆w˦˨
ân cần	ɤ̆ŋ˧˥kɤ̆ŋ˦˨
ống bơ	oŋ͡m˩˧bɤ˧˥
chuối xanh	cuəj˩˧san˧˥
cặp lồng	kăp˨ˀ˩ʔloŋ͡m˦˨
giẹo giọ	jeo˨ˀ˩ʔjɔ˨ˀ˩ʔ
tủi hổ	tuj˧˩˨ho˧˩˨
nghỉ phép	ŋi˧˩˨fɛp˦˥
có mòi	kɔ˩˧mɔj˦˨
quá trớn	wa˩˧ʈɤŋ˩˧
sâu bạc lạc	ʂɤ̆w˧˥bak˨ˀ˩ʔlak˨ˀ˩ʔ
mua đứt bán đoạn	muə˧˥dɯk˦˥baŋ˩˧dwaŋ˨ˀ˩ʔ
thùi lủi	tʰuj˦˨luj˧˩˨
bạch diện thư sinh	bak˨ˀ˩ʔjiəŋ˨ˀ˩ʔtʰɯ˧˥ʂin˧˥
cơm và cháo húp	kɤm˧˥ja˦˨caw˩˧hup˦˥
chờn	cɤŋ˦˨
nhầy nhụa	ɲɤ̆j˦˨ɲuə˨ˀ˩ʔ
gò tóp	ɣɔ˦˨tɔp˦˥
xăng-đan	săŋ˧˥-daŋ˧˥
sân tàu	ʂɤ̆ŋ˧˥tăw˦˨
phi luân	fi˧˥lwɤ̆ŋ˧˥
dày cui	jăj˦˨kuj˧˥
giai kỳ	jaj˧˥ki˦˨
hương sư	hɯəŋ˧˥ʂɯ˧˥
hại người hại của	haj˨ˀ˩ʔŋɯəj˦˨haj˨ˀ˩ʔkuə˧˩˨
kết cục	ket˦˥kuk͡p˨ˀ˩ʔ
cán bộ giảng dạy	kaŋ˩˧bo˨ˀ˩ʔjaŋ˧˩˨jăj˨ˀ˩ʔ
rùng mình	ʐuŋ͡m˦˨min˦˨
vắng vẻ	jăŋ˩˧jɛ˧˩˨
chư răng	cɯ˧˥ʐăŋ˧˥
tiêu thiều	tiəw˧˥tʰiəw˦˨
hàng nằm	haŋ˦˨năm˦˨
chém giết	cɛm˩˧jet˦˥
hiểu dụ	hiəw˧˩˨ju˨ˀ˩ʔ
đá rửa	da˩˧ʐɯə˧˩˨
bán mạ	baŋ˩˧ma˨ˀ˩ʔ
ậu	ɤ̆w˨ˀ˩ʔ
truật	ʈwɤ̆k˨ˀ˩ʔ
lãng trí	laŋ˧˩˨ʈi˩˧
cẩu hạnh	kɤ̆w˧˩˨han˨ˀ˩ʔ
hến	hen˩˧
đào liễu	daw˦˨liəw˧˩˨
yên đổ	iɛŋ˧˥do˧˩˨
con cúi	kɔŋ͡m˧˥kuj˩˧
chôn vào lòng	coŋ͡m˧˥jaw˦˨lɔŋ͡m˦˨
vũ phúc	ju˧˩˨fuk͡p˦˥
thượng viện	tʰɯəŋ˨ˀ˩ʔjiəŋ˨ˀ˩ʔ
cụt lổng	kuk͡p˨ˀ˩ʔloŋ͡m˧˩˨
