麶	tʰi⁴⁴
蛤蚧	kap̚³²⁻⁴kaɪ²¹
坯	pʰue⁴⁴
詩巫	ɕi⁴⁴⁻²²bu²⁴
滾水瓶	kun⁵³⁻⁴⁴t͡sui⁵³⁻⁴⁴pan²⁴
偏勞	pʰiɛn⁴⁴⁻²²lo²⁴
沉吟	tim²⁴⁻²²ɡim²⁴
壬子	lim²⁴⁻²²t͡su⁵³
瞿	kʰu²⁴
臺灣頭	taɪ²⁴⁻²²uan²⁴⁻²²tʰaʊ²⁴
儼	ɡiam⁵³
天色	tʰĩ⁴⁴⁻²²ɕiɪk̚³²
有事	iu⁵³⁻⁴⁴su²²
殯	pin⁴⁴
滄	t͡sʰɔŋ⁴⁴
野豬	ia⁵³⁻⁴⁴ti⁴⁴
畫皮	ua²²⁻²¹pʰe²⁴
烏	ɔ⁴⁴
目光	bak̚⁴⁻³²kŋ̍⁴⁴
領海	liɪŋ⁵³⁻⁴⁴haɪ⁵³
宿願	sɔk̚³²⁻⁴ɡuan²²
夫子	hu⁴⁴⁻²²t͡su⁵³
國賓	kɔk̚³²⁻⁴pin⁴⁴
園地	uan²⁴⁻²²te²²
會稽	kue²¹⁻⁵³kʰe⁴⁴
于	u²⁴
車燈	t͡ɕʰia⁴⁴⁻²²tiɪŋ⁴⁴
骯髒	aŋ⁴⁴⁻²²t͡saŋ⁴⁴
立意	lip̚⁴⁻³²i²¹
牛犅	ɡu²⁴⁻²²kaŋ⁵³
蝦螕	he²⁴⁻²²pi⁴⁴
探險	tʰam²¹⁻⁵³hiam⁵³
場	tiũ²⁴
種子	t͡ɕiɪŋ⁵³⁻⁴⁴t͡ɕi⁵³
伙食	he⁵³⁻⁴⁴ɕit̚⁴
分部	hun⁴⁴⁻²²pɔ²²
守成	ɕiu⁵³⁻⁴⁴ɕiɪŋ²⁴
標明	piaʊ⁴⁴⁻²²biɪŋ²⁴
嘴饞	t͡sʰui²¹⁻⁵³saɪ²⁴
陰溝	im⁴⁴⁻²²kaʊ⁴⁴
下𦜆	e²²⁻²¹ham⁴⁴
打靶	tã⁵³⁻⁴⁴pa⁵³
埋藏	baɪ²⁴⁻²²t͡sɔŋ²⁴
發	huat̚³²
附庸	hu²²⁻²¹iɔŋ²⁴
雨靴	hɔ²²⁻²¹hia⁴⁴
喜筵	hi⁵³⁻⁴⁴iɛn²⁴
男	lam²⁴
開採	kʰaɪ⁴⁴⁻²²t͡sʰaɪ⁵³
失守	ɕit̚³²⁻⁴ɕiu⁵³
限定	han²²⁻²¹tiɪŋ²²
昂貴	ɡɔŋ²⁴⁻²²kui²¹
仲	tiɔŋ²²
製	t͡se²¹
近路	kun²²⁻²¹lɔ²²
穀倉	kɔk̚³²⁻⁴t͡sʰŋ̍⁴⁴
跤斗	kʰa⁴⁴⁻²²taʊ⁵³
發生	huat̚³²⁻⁴ɕiɪŋ⁴⁴
山珍海味	san⁴⁴⁻²²tin⁴⁴haɪ⁵³⁻⁴⁴bi²²
毋甘	m̩²²⁻²¹kam⁴⁴
粗糧	t͡sʰɔ⁴⁴⁻²²niũ²⁴
針眼	t͡ɕiam⁴⁴⁻²²ɡan⁵³
終年	t͡ɕiɔŋ⁴⁴⁻²²liɛn²⁴
公案	kɔŋ⁴⁴⁻²²an²¹
大夫	taɪ²²⁻²¹hu⁴⁴
蓬鬆	pʰɔŋ²⁴⁻²²sɔŋ⁴⁴
應卯	iɪŋ²¹⁻⁵³baʊ⁵³
疲勞	pʰi²⁴⁻²²lo²⁴
飽眠	pa⁵³⁻⁴⁴bin²⁴
鷦鷯	t͡ɕiaʊ⁴⁴⁻²²liaʊ²⁴
內訌	lue²²⁻²¹hɔŋ²²
理工科	li⁵³⁻⁴⁴kaŋ⁴⁴⁻²²kʰo⁴⁴
頭毛蠟	tʰaʊ²⁴⁻²²mŋ̍²⁴⁻²²laʔ⁴
藝術	ɡe²²⁻²¹sut̚⁴
君子	kun⁴⁴⁻²²t͡su⁵³
瓦匙	hia²²⁻²¹ɕi²⁴
麥片	beʔ⁴⁻²¹pʰĩ²¹
出超	t͡sʰut̚³²⁻⁴t͡ɕʰiaʊ⁴⁴
占卜	t͡ɕiam⁴⁴⁻²²pɔk̚³²
節省	t͡ɕiɛt̚³²⁻⁴ɕiɪŋ⁵³
滿載	muã⁵³⁻⁴⁴t͡saɪ²¹
正	t͡ɕiã⁴⁴
放開	paŋ²¹⁻⁵³kʰui⁴⁴
北邊	pak̚³²⁻⁴pĩ⁴⁴
定點	tiɪŋ²²⁻²¹tiam⁵³
好事	ho⁵³⁻⁴⁴su²²
短兵相接	tuan⁵³⁻⁴⁴piɪŋ⁴⁴⁻²²ɕiɔŋ⁴⁴⁻²²t͡ɕiap̚³²
醫館	i⁴⁴⁻²²kuan⁵³
脾氣	pi²⁴⁻²²kʰi²¹
歪風	uai⁴⁴⁻²²hɔŋ⁴⁴
茬	t͡sa²⁴
落花生糖	lɔk̚⁴⁻³²hua⁴⁴⁻²²ɕiɪŋ⁴⁴⁻²²tʰŋ̍²⁴
損耗	sun⁵³⁻⁴⁴hɔ̃²¹
專款	t͡suan⁴⁴⁻²²kʰuan⁵³
裝修	t͡sŋ̍⁴⁴⁻²²ɕiu⁴⁴
塗沙粉	tʰɔ²⁴⁻²²sua⁴⁴⁻²²hun⁵³
害處	haɪ²²⁻²¹t͡sʰu²¹
沙茶辣	sa⁴⁴⁻²²te⁴⁴⁻²²luaʔ⁴
朽木	hiu⁵³⁻⁴⁴bɔk̚⁴
婚	hun⁴⁴
雪糕	suat̚³²⁻⁴ko⁴⁴
芳苑	hɔŋ⁴⁴⁻²²uan⁵³
欺生	kʰi⁴⁴⁻²²t͡ɕʰĩ⁴⁴
山巒	san⁴⁴⁻²²luan²⁴
魔法	mɔ̃²⁴⁻²²huat̚³²
安裝	an⁴⁴⁻²²t͡sɔŋ⁴⁴
四跤蛇	ɕi²¹⁻⁵³kʰa⁴⁴⁻²²t͡sua²⁴
交椅䖙	kaʊ⁴⁴⁻²²i⁵³⁻⁴⁴tʰe⁴⁴
風水師	hɔŋ⁴⁴⁻²²sui⁵³⁻⁴⁴saɪ⁴⁴
舊	kiu²²
迎面	ŋiã²⁴⁻²²bin²²
領悟	liɪŋ⁵³⁻⁴⁴ŋɔ̃²²
樣	iũ²²
右手	iu²²⁻²¹t͡ɕʰiu⁵³
探馬	tʰam²¹⁻⁵³mã⁵³
苑裡	uan⁵³⁻⁴⁴li⁵³
旺	ɔŋ²²
鍾	t͡ɕiɔŋ⁴⁴
零	lan²⁴
羊奶	iũ²⁴⁻²²nĩ⁴⁴
估價	kɔ⁵³⁻⁴⁴ke²¹
狡賴	kaʊ⁵³⁻⁴⁴laɪ²²
開拓	kʰaɪ⁴⁴⁻²²tʰɔk̚³²
急迫	kip̚³²⁻⁴piɪk̚³²
所屬	sɔ⁵³⁻⁴⁴ɕiɔk̚⁴
刣割	tʰaɪ²⁴⁻²²kuaʔ³²
複雜	hɔk̚³²⁻⁴t͡sap̚⁴
搖蕩	io²⁴⁻²²tɔŋ²²
畸形	ki²⁴⁻²²hiɪŋ²⁴
僻	pʰiaʔ³²
門縫	mŋ̍²⁴⁻²²pʰaŋ²²
炱	taɪ²⁴
秘密	pi²¹⁻⁵³bit̚⁴
性慾	ɕiɪŋ²¹⁻⁵³iɔk̚⁴
煦	u²¹
刑事	hiɪŋ²⁴⁻²²su²²
說詞	seʔ³²⁻⁵³su²⁴
大驚小怪	tua²²⁻²¹kiã⁴⁴⁻²²ɕio⁵³⁻⁴⁴kuai²¹
致詞	ti²¹⁻⁵³su²⁴
骨盆	kut̚³²⁻⁴pʰun²⁴
領兵	niã⁵³⁻⁴⁴piɪŋ⁴⁴
癒合	lu⁵³⁻⁴⁴hap̚⁴
坦覆睏	tʰan⁵³⁻⁴⁴pʰak̚³²⁻⁴kʰun²¹
宴請	iɛn²¹⁻⁵³t͡ɕʰiã⁵³
派系	pʰaɪ²¹⁻⁵³he²²
大派	tua²²⁻²¹pʰaɪ²¹
老伙記	laʊ²²⁻²¹he⁵³⁻⁴⁴ki²¹
調味	tiaʊ²⁴⁻²²bi²²
西貢	saɪ⁴⁴⁻²²kɔŋ²¹
闊莽莽	kʰuaʔ³²⁻⁵³bɔŋ⁵³⁻⁴⁴bɔŋ⁵³
作梗	t͡sɔk̚³²⁻⁴kiɪŋ⁵³
薑母	kiũ⁴⁴⁻²²bu⁵³
外鄉	ɡua²²⁻²¹hiũ⁴⁴
乙巳	it̚³²⁻⁴su²²
星級	ɕiɪŋ⁴⁴⁻²²kip̚³²
夏至	he²²⁻²¹t͡ɕi²¹
帽	bo²²
副作用	hu²¹⁻⁵³t͡sɔk̚³²⁻⁴iɔŋ²²
抨	piã⁴⁴
喜色	hi⁵³⁻⁴⁴ɕiɪk̚³²
促銷	t͡ɕʰiɔk̚³²⁻⁴ɕiaʊ⁴⁴
速度	sɔk̚³²⁻⁴tɔ²²
至德	t͡ɕi²¹⁻⁵³tiɪk̚³²
精英	t͡ɕiɪŋ⁴⁴⁻²²iɪŋ⁴⁴
副署	hu²¹⁻⁵³su²²
音波	im⁴⁴⁻²²pʰo⁴⁴
衛生紙	ue²²⁻²¹ɕiɪŋ⁴⁴⁻²²t͡sua⁵³
賣淫	mãɪ²²⁻²¹im²⁴
配合	pʰue²¹⁻⁵³hap̚⁴
讀冊音	tʰak̚⁴⁻³²t͡sʰeʔ³²⁻⁵³im⁴⁴
轉	tŋ̍⁵³
復回	hiu²²⁻²¹hue²⁴
活化石	uaʔ⁴⁻²¹hua²¹⁻⁵³t͡ɕioʔ⁴
血管	huiʔ³²⁻⁵³kŋ̍⁵³
生食	t͡sʰẽ⁴⁴⁻²²t͡ɕiaʔ⁴
電壓計	tiɛn⁴⁴⁻²²ap̚³²⁻⁴ke²¹
櫳	laŋ⁴⁴
模仿	mɔ̃²⁴⁻²²hɔŋ⁵³
加減乘除	ka⁴⁴⁻²²kiam⁵³⁻⁴⁴ɕiɪŋ²⁴⁻²²tu²⁴
敲頭殼	kʰa²¹⁻⁵³tʰaʊ²⁴⁻²²kʰak̚³²
旋律	suan²⁴⁻²²lut̚⁴
苗條	biaʊ²⁴⁻²²tiaʊ²⁴
時頓	ɕi²⁴⁻²²tŋ̍²¹
密底褲	bat̚⁴⁻³²tue⁵³⁻⁴⁴kʰɔ²¹
服用	hɔk̚⁴⁻³²iɔŋ²²
冠狀	kuan²¹⁻⁵³t͡sɔŋ²²
耗	haʊ²¹
駝	to²⁴
煽惑	ɕiɛn²¹⁻⁵³hiɪk̚⁴
上告	ɕiɔŋ²²⁻²¹ko²¹
癖	pʰiaʔ³²
被單	pʰe²²⁻²¹tuã⁴⁴
齪	t͡sak̚⁴
耳膜	hi²²⁻²¹mɔ̃ʔ⁴
蕃	huan⁴⁴
箬	haʔ⁴
長壽	tiɔŋ²⁴⁻²²ɕiu²²
寐	bi²²
耍	sua⁵³
儈	kue²¹
閩南話	ban²⁴⁻²²lam²⁴⁻²²ue²²
奉還	hɔŋ²²⁻²¹huan²⁴
村	t͡sʰun⁴⁴
苦功	kʰɔ⁵³⁻⁴⁴kaŋ⁴⁴
追蹤	tui⁴⁴⁻²²t͡sɔŋ⁴⁴
恭候	kiɔŋ⁴⁴⁻²²hɔ²²
輪姦	lun²⁴⁻²²kan⁴⁴
托爾斯港	tʰɔk̚³²⁻⁴nĩ⁵³⁻⁴⁴su⁴⁴⁻²²kaŋ⁵³
通明	tʰɔŋ⁴⁴⁻²²biɪŋ²⁴
銃樓	t͡ɕʰiɪŋ²¹⁻⁵³laʊ²⁴
書坊	su⁴⁴⁻²²hɔŋ⁴⁴
脹肚	tiũ²¹⁻⁵³tɔ²²
客話	kʰeʔ³²⁻⁵³ue²²
彰化	t͡ɕiaŋ⁴⁴⁻²²hua²¹
遺址	i²⁴⁻²²t͡ɕi⁵³
勘探	kʰam²¹⁻⁵³tʰam²¹
大少爺	tua²²⁻²¹ɕiaʊ²¹⁻⁵³ia²⁴
娘爸	niũ²⁴⁻²²pe²²
猛	mĩ⁵³
捌字	bat̚³²⁻⁴li²²
流轉	liu²⁴⁻²²t͡suan⁵³
迎娶	ɡiɪŋ²⁴⁻²²t͡sʰua²²
外家查某孫	ɡua²²⁻²¹ke⁴⁴⁻²²t͡sa⁴⁴⁻²²bɔ⁵³⁻⁴⁴sun⁴⁴
頑抗	ɡuan²⁴⁻²²kʰɔŋ²¹
鳳凰	hɔŋ²²⁻²¹hɔŋ²⁴
部落	pɔ²²⁻²¹lɔk̚⁴
鞋類	ue²⁴⁻²²lui²²
鋼鐵	kŋ̍²¹⁻⁵³tʰiʔ³²
氣體	kʰi²¹⁻⁵³tʰe⁵³
縣志	kuãi²²⁻²¹t͡ɕi²¹
膽囊	tã⁵³⁻⁴⁴lɔŋ²⁴
遵	t͡sun⁴⁴
法	huat̚³²
躡	nĩʔ³²
耙	pe²⁴
鄉音	hiɔŋ⁴⁴⁻²²im⁴⁴
駱	loʔ⁴
前夜	t͡ɕiɪŋ²⁴⁻²²ia²²
行情	haŋ²⁴⁻²²t͡ɕiɪŋ²⁴
水路	t͡sui⁵³⁻⁴⁴lɔ²²
暗碼	am²¹⁻⁵³be⁵³
中轉	tiɔŋ⁴⁴⁻²²t͡suan⁵³
健在	kiɛn²²⁻²¹t͡saɪ²²
地步	te²²⁻²¹pɔ²²
目下	bak̚⁴⁻³²e²²
出走	t͡sʰut̚³²⁻⁴t͡saʊ⁵³
瑙	lo⁵³
母目	bu⁵³⁻⁴⁴bak̚⁴
備取	pi²²⁻²¹t͡sʰu⁵³
歸併	kui⁴⁴⁻²²piɪŋ²¹
物料	but̚⁴⁻³²liaʊ²²
同種	tɔŋ²⁴⁻²²t͡ɕiɔŋ⁵³
堆	tu⁴⁴
冬季	taŋ⁴⁴⁻²²kui²¹
旅行車	lu⁵³⁻⁴⁴hiɪŋ²⁴⁻²²t͡ɕʰia⁴⁴
涼	liɔŋ²⁴
人中	lin²⁴⁻²²tiɔŋ⁴⁴
水井	t͡sui⁵³⁻⁴⁴t͡ɕĩ⁵³
闊度	kʰuaʔ³²⁻⁵³tɔ²²
抨擊	piɪŋ²⁴⁻²²kiɪk̚³²
收集	ɕiu⁴⁴⁻²²t͡ɕip̚⁴
番仔火	huan⁴⁴⁻²²a⁵³⁻⁴⁴he⁵³
減省	kiam⁵³⁻⁴⁴ɕiɪŋ⁵³
早操	t͡sa⁵³⁻⁴⁴t͡sʰaʊ⁴⁴
手靠	t͡ɕʰiu⁵³⁻⁴⁴kʰo²¹
攙扶	t͡sʰam⁴⁴⁻²²hu²⁴
佣金	iɔŋ⁴⁴⁻²²kim⁴⁴
凡士林	huan²⁴⁻²²su²²⁻²¹lim²⁴
金鶯	kim⁴⁴⁻²²iɪŋ⁴⁴
品味	pʰin⁵³⁻⁴⁴bi²²
饗	hiɔŋ⁵³
足以	t͡ɕiɔk̚³²⁻⁴i⁵³
獨生女	tɔk̚⁴⁻³²ɕiɪŋ⁴⁴⁻²²li⁵³
鰇	liu²⁴
猞	ɕia⁴⁴
拋物線	pʰaʊ⁴⁴⁻²²but̚⁴⁻³²suã²¹
雞眼	kue⁴⁴⁻²²ɡan⁵³
株式	tʰu⁴⁴⁻²²ɕiɪk̚³²
相信	ɕiɔŋ⁴⁴⁻²²ɕin²¹
寒舍	han²⁴⁻²²ɕia²¹
話仔話孫	ue²²⁻²¹a⁵³⁻⁴⁴ue²²⁻²¹sun⁴⁴
天氣	tʰĩ⁴⁴⁻²²kʰi²¹
內政部	laɪ²²⁻²¹t͡ɕiɪŋ²¹⁻⁵³pɔ²²
外省	ɡua²²⁻²¹ɕiɪŋ⁵³
淘	to²⁴
十種	t͡sap̚⁴⁻³²t͡ɕiɪŋ⁵³
幻景	huan²¹⁻⁵³kiɪŋ⁵³
二十一	li²²⁻²¹t͡sap̚⁴⁻³²it̚³²
高血壓	ko⁴⁴⁻²²hiɛt̚³²⁻⁴ap̚³²
至多	t͡ɕi²¹⁻⁵³to⁴⁴
支部	ki⁴⁴⁻²²pɔ²²
評論	pʰiɪŋ²⁴⁻²²lun²²
狀態	t͡sɔŋ²²⁻²¹tʰaɪ²¹
焚書坑儒	hun²⁴⁻²²su⁴⁴⁻²²kʰiɪŋ⁴⁴⁻²²d͡zu²⁴
休暇	hiu⁴⁴⁻²²ha²²
弄新娘	laŋ²²⁻²¹ɕin⁴⁴⁻²²niũ²⁴
尻川	kʰa⁴⁴⁻²²t͡sʰŋ̍⁴⁴
煥發	huan²¹⁻⁵³huat̚³²
教育	kaʊ²¹⁻⁵³iɔk̚⁴
教堂	kaʊ²¹⁻⁵³tŋ̍²⁴
姐夫	t͡ɕia⁵³⁻⁴⁴pɔ⁴⁴
化緣	hue²¹⁻⁵³iɛn²⁴
頃	kʰiɪŋ⁵³
抱	paʊ²²
中晝時	tiɔŋ⁴⁴⁻²²taʊ²¹⁻⁵³ɕi²⁴
指正	t͡ɕi⁵³⁻⁴⁴t͡ɕiɪŋ²¹
予	hɔ²²
命令	biɪŋ²²⁻²¹liɪŋ²²
姐仔囝	t͡se⁵³⁻⁴⁴a⁵³⁻⁴⁴kiã⁵³
契爸	kʰue²¹⁻⁵³pe²²
華胄	hua²⁴⁻²²tiu²²
卌	ɕiap̚³²
古文	kɔ⁵³⁻⁴⁴bun²⁴
報告	po²¹⁻⁵³ko²¹
爭辯	t͡ɕiɪŋ⁴⁴⁻²²piɛn²²
哀樂	aɪ⁴⁴⁻²²lɔk̚⁴
方針	hɔŋ⁴⁴⁻²²t͡ɕiam⁴⁴
顯示	hiɛn⁵³⁻⁴⁴ɕi²²
深深	t͡ɕʰim⁴⁴⁻²²t͡ɕʰim⁴⁴
擲	tiɪk̚⁴
安息	an⁴⁴⁻²²ɕiɪk̚³²
那裡	nã²²⁻²¹li⁵³
為人	ui²²⁻²¹laŋ²⁴
學養	hak̚⁴⁻³²iaŋ⁵³
格局	keʔ³²⁻⁵³kiɔk̚⁴
最高峰	t͡sue²¹⁻⁵³ko⁴⁴⁻²²hɔŋ⁴⁴
飯碗	pŋ̍²²⁻²¹uã⁵³
豪爽	ho²⁴⁻²²sɔŋ⁵³
老大哥	laʊ⁵³⁻⁴⁴tua²²⁻²¹ko⁴⁴
行文	hiɪŋ²⁴⁻²²bun²⁴
豬哥神	ti⁴⁴⁻²²ko⁴⁴⁻²²ɕin²⁴
頷珠	am²²⁻²¹t͡su⁴⁴
海獺	haɪ⁵³⁻⁴⁴tʰuaʔ³²
豪放	ho²⁴⁻²²hɔŋ²¹
烏鴉	ɔ⁴⁴⁻²²a⁴⁴
杼𡳞	tu²²⁻²¹lan²²
樹蔭	t͡ɕʰiu²²⁻²¹ŋ̍⁵³
判官	pʰuã²¹⁻⁵³kuã⁴⁴
希望	hi⁴⁴⁻²²bɔŋ²²
壩	pe²¹
齒戳	kʰi⁵³⁻⁴⁴tʰɔk̚³²
閒日	iɪŋ²⁴⁻²²d͡ʑit̚⁴
汫	t͡ɕiã⁵³
灇	t͡ɕʰiaŋ²⁴
雷鳴	lui²⁴⁻²²biɪŋ²⁴
傀	ka⁴⁴
限度	han²²⁻²¹tɔ²²
臭臊草	t͡sʰaʊ²¹⁻⁵³t͡sʰo⁴⁴⁻²²t͡sʰaʊ⁵³
狗岫	kaʊ⁵³⁻⁴⁴ɕiu²²
三十一	sã⁴⁴⁻²²t͡sap̚⁴⁻³²it̚³²
好所行	ho⁵³⁻⁴⁴sɔ⁵³⁻⁴⁴kiã²⁴
正點	t͡ɕiã²¹⁻⁵³tiam⁵³
反問	huan⁵³⁻⁴⁴bun²²
敬請	kiɪŋ²¹⁻⁵³t͡ɕʰiɪŋ⁵³
顯得	hiɛn⁵³⁻⁴⁴tiɪk̚³²
酒狂	t͡ɕiu⁵³⁻⁴⁴kɔŋ²⁴
無雙	bu²⁴⁻²²sɔŋ⁴⁴
入眼	lip̚⁴⁻³²ɡan⁵³
嚴辦	ɡiam²⁴⁻²²pan²²
宿營	sɔk̚³²⁻⁴iã²⁴
燈泡	tiɪŋ⁴⁴⁻²²pʰaʊ²²
禮成	le⁵³⁻⁴⁴ɕiɪŋ²⁴
笙歌	ɕiɪŋ⁴⁴⁻²²ko⁴⁴
㾀屎	kʰiap̚³²⁻⁴saɪ⁵³
動武	taŋ²⁴⁻²²bu⁵³
警衛	kiɪŋ²¹⁻⁵³ue²²
復合	hɔk̚³²⁻⁴hap̚⁴
聯結	liɛn²⁴⁻²²kiɛt̚³²
明朝	biɪŋ²⁴⁻²²tiaʊ²⁴
蟲	tʰaŋ²⁴
奸臣	kan⁴⁴⁻²²ɕin²⁴
無辦法	bo²⁴⁻²²pan²²⁻²¹huat̚³²
姐妹	t͡ɕia⁵³⁻⁴⁴be²²
巡察	sun²⁴⁻²²t͡sʰat̚³²
分開	hun⁴⁴⁻²²kʰui⁴⁴
接通	t͡ɕiap̚³²⁻⁴tʰɔŋ⁴⁴
塔塔爾族	tʰaʔ³²⁻⁵³tʰaʔ³²⁻⁵³nĩ⁵³⁻⁴⁴t͡sɔk̚⁴
旁觀者	pɔŋ²⁴⁻²²kuan⁴⁴⁻²²t͡ɕia⁵³
觸犯	t͡ɕʰiɔk̚³²⁻⁴huan²²
專一	t͡suan⁴⁴⁻²²it̚³²
避	pi²²
運送	un²²⁻²¹saŋ²¹
噴香	pʰun²¹⁻⁵³hiɔŋ⁴⁴
搜尋	sɔ⁴⁴⁻²²ɕim²⁴
字典	li²²⁻²¹tiɛn⁵³
過早	ke²¹⁻⁵³t͡sa⁵³
透早	tʰaʊ²¹⁻⁵³t͡sa⁵³
斯文	su⁴⁴⁻²²bun²⁴
討厭	tʰo⁵³⁻⁴⁴iam²¹
小女	ɕiaʊ⁵³⁻⁴⁴lu⁵³
扇	ɕĩ²¹
探測	tʰam²¹⁻⁵³t͡ɕʰiɪk̚³²
卑微	pi⁴⁴⁻²²bi²⁴
山川	san⁴⁴⁻²²t͡sʰuan⁴⁴
撓	nãʊ²²
自此	t͡su²²⁻²¹t͡sʰu⁵³
白鱀豚	peʔ⁴⁻²¹ki²⁴⁻²²tʰun²⁴
通知單	tʰɔŋ⁴⁴⁻²²ti⁴⁴⁻²²tuã⁴⁴
合房	kap̚³²⁻⁴paŋ²⁴
宰割	t͡saɪ⁵³⁻⁴⁴kuaʔ³²
韶	ɕiaʊ²⁴
看到	kʰuã²¹⁻⁵³kaʊ²¹
媠氣	sui⁵³⁻⁴⁴kʰui²¹
攻訐	kɔŋ⁴⁴⁻²²kiɛt̚³²
硬是	ŋĩ²²⁻²¹ɕi²²
享樂	hiɔŋ⁵³⁻⁴⁴lɔk̚⁴
管理員	kuan⁵³⁻⁴⁴li⁵³⁻⁴⁴ɡuan²⁴
字音	li²²⁻²¹im⁴⁴
驅趕	kʰu⁴⁴⁻²²kan⁵³
振	t͡ɕin⁵³
絕不	t͡suat̚⁴⁻³²put̚³²
鮮花	ɕiɛn⁴⁴⁻²²hue⁴⁴
刣雞教猴	tʰaɪ²⁴⁻²²kue⁴⁴⁻²²ka²¹⁻⁵³kaʊ²⁴
雞角性	kue⁴⁴⁻²²kak̚³²⁻⁴ɕiɪŋ²¹
好年冬	ho⁵³⁻⁴⁴nĩ²⁴⁻²²taŋ⁴⁴
心狂火著	ɕim⁴⁴kɔŋ²⁴he⁵³toʔ⁴
掠	liɔk̚⁴
貼本	tʰiap̚³²⁻⁴pun⁵³
瀅	iɪŋ²⁴
魚藴仔	hi²⁴⁻²²un⁵³⁻⁴⁴a⁵³
精牲	t͡ɕiɪŋ⁴⁴⁻²²ɕĩ⁴⁴
焙	pe²²
先生	ɕiɛn⁴⁴⁻²²ɕĩ⁴⁴
頭等艙	tʰaʊ²⁴⁻²²tiɪŋ⁵³⁻⁴⁴t͡sʰŋ̍⁴⁴
潷	pit̚³²
正比	t͡ɕiã²¹⁻⁵³pi⁵³
學時	hak̚⁴⁻³²ɕi²⁴
公海	kɔŋ⁴⁴⁻²²haɪ⁵³
燒烙	ɕio⁴⁴⁻²²lo²²
下腹仔	e²²⁻²¹pak̚³²⁻⁴a⁵³
直接	tit̚⁴⁻³²t͡ɕiap̚³²
宣教	suan⁴⁴⁻²²kaʊ²¹
米卦	bi⁵³⁻⁴⁴kua²¹
貼	taʔ³²
四點底	ɕi²¹⁻⁵³tiam⁵³⁻⁴⁴tue⁵³
大海	tua²²⁻²¹haɪ⁵³
定數	tiɪŋ²²⁻²¹sɔ²¹
拆徛	tʰiaʔ³²⁻⁵³kʰia²²
拋售	pʰaʊ⁴⁴⁻²²ɕiu²⁴
通病	tʰɔŋ⁴⁴⁻²²piɪŋ²²
記分	ki²¹⁻⁵³hun⁴⁴
栳箬子	laʊ⁵³⁻⁴⁴hioʔ⁴⁻²¹t͡ɕi⁵³
米蕊	bi⁵³⁻⁴⁴lui⁵³
網兜	baŋ²²⁻²¹taʊ⁴⁴
畫幅	ui²²⁻²¹pak̚³²
儒	lu²⁴
理性	li⁵³⁻⁴⁴ɕiɪŋ²¹
排演	paɪ²⁴⁻²²iɛn⁵³
檢采	kʰiam⁵³⁻⁴⁴t͡sʰaɪ⁵³
薩摩亞	sat̚³²⁻⁴mɔ̃²⁴⁻²²a⁴⁴
歧路	ki²⁴⁻²²lɔ²²
特長	tiɪk̚⁴⁻³²tiɔŋ⁵³
鰭	ki²⁴
尖酸	t͡ɕiam⁴⁴⁻²²suan⁴⁴
待遇	tʰaɪ²²⁻²¹ɡu²²
從	t͡ɕiɪŋ²⁴
醬瓜	t͡ɕiũ²¹⁻⁵³kue⁴⁴
契阿兄	kʰue²¹⁻⁵³a⁴⁴⁻²²hiã⁴⁴
讋	t͡ɕiap̚³²
昭彰	t͡ɕiaʊ⁴⁴⁻²²t͡ɕiɔŋ⁴⁴
籥	iɔk̚⁴
豪雨	ho²⁴⁻²²u⁵³
新屋	ɕin⁴⁴⁻²²ɔk̚³²
緞	tuan²²
瑞士	sui²²⁻²¹su²²
當事人	tɔŋ⁴⁴⁻²²su²²⁻²¹lin²⁴
鑿目	t͡sʰak̚⁴⁻³²bak̚⁴
勢頭	se²¹⁻⁵³tʰaʊ²⁴
輸入法	su⁴⁴⁻²²d͡ʑip̚⁴⁻³²huat̚³²
對待	tui²¹⁻⁵³tʰaɪ²²
茶葉	te²⁴⁻²²hioʔ⁴
旗手	ki²⁴⁻²²t͡ɕʰiu⁵³
樸	pʰoʔ³²
馬馬虎虎	mã⁵³⁻⁴⁴mã⁵³⁻⁴⁴hu⁴⁴⁻²²hu⁴⁴
送	saŋ²¹
洶	hiɔŋ⁴⁴
靈	liɪŋ²⁴
潮汕	tio²⁴⁻²²suã²¹
狡怪	kaʊ⁵³⁻⁴⁴kuai²¹
搬喙舌	puã⁴⁴⁻²²t͡sʰui²¹⁻⁵³t͡ɕiʔ⁴
精差	t͡ɕiɪŋ⁴⁴⁻²²t͡sʰa⁴⁴
海墘	haɪ⁵³⁻⁴⁴kĩ²⁴
媽祖魚	mã⁵³⁻⁴⁴t͡sɔ⁵³⁻⁴⁴hi²⁴
貞潔	t͡ɕiɪŋ⁴⁴⁻²²kiɛt̚³²
試卷	t͡ɕʰi²¹⁻⁵³kŋ̍²¹
細箍把	sue²¹⁻⁵³kʰɔ⁴⁴⁻²²pe⁵³
韁	kiɔŋ⁴⁴
潛水艇	t͡ɕiam²⁴⁻²²t͡sui⁵³⁻⁴⁴tʰiɪŋ⁵³
富商	hu²¹⁻⁵³ɕiɔŋ⁴⁴
㾓痀橋	un⁵³⁻⁴⁴ku⁴⁴⁻²²kio²⁴
揮發	hui⁴⁴⁻²²huat̚³²
退鹹	tʰe²¹⁻⁵³kiam²⁴
講義氣	kɔŋ⁵³⁻⁴⁴ɡi²²⁻²¹kʰi²¹
不語	put̚³²⁻⁴ɡu⁵³
