'COS	kˈəz
HER(1)	hɜː
HER(2)	hˈɜː
HERALD	hˈɛɹəld
HERB	hˈɜːb
HERBAL	hˈɜːbəl
HERBS	hˈɜːbz
HERD	hˈɜːd
HERE	hˈɪə
HEREBY	hˌɪəbˈaɪ
HEREFORD	hˈɛɹɪfəd
HEREFORDSHIRE	hˈɛɹɪfədʃə
HEREIN	hˌɪəɹˈɪn
HERITAGE	hˈɛɹɪtɪdʒ
HERO	hˈɪəɹəʊ
HEROES	hˈɪəɹəʊz
HEROIC	hɪɹˈəʊɪk
HEROIN	hˈɛɹəʊɪn
HERON	hˈɛɹən
HERPES	hˈɜːpiz
HERS(1)	hɜːz
HERS(2)	hˈɜːz
HERSELF	hɜːsˈɛlf
HERSTMONCEUX(1)	hˌɜːsmənzˈuː
HERSTMONCEUX(2)	hˌɜːsmənsˈuː
HERTFORDSHIRE	hˈɑːtfədʃə
HESITATE	hˈɛzɪtˌeɪt
HESITATED	hˈɛzɪtˌeɪtɪd
HESITATION	hˌɛzɪtˈeɪʃən
HEURISTIC	hjuːɹˈɪstɪk
HEW	hjˈuː
HEWED	hjˈuːd
HEWLETT	hjˈuːlɪt
HEWN	hjˈuːn
HEY	hˈeɪ
HI	hˈaɪ
HI-FI	hˈaɪfˌaɪ
HICCOUGH	hˈɪkɐp
HICCUP	hˈɪkɐp
HID	hˈɪd
HIDDEN	hˈɪdən
HIDE	hˈaɪd
HIDEOUS	hˈɪdɪəs
HIDING	hˈaɪdɪŋ
HIERARCHY	hˈaɪəɹˌɑːki
HIGH	hˈaɪ
HIGHER	hˈaɪə
HIGHEST	hˈaɪɪst
HIGHLAND	hˈaɪlənd
HIGHLIGHT	hˈaɪlˌaɪt
HIGHLIGHTED	hˈaɪlˌaɪtɪd
HIGHLIGHTS	hˈaɪlˌaɪts
HIGHLY	hˈaɪli
HIGHNESS	hˈaɪnɪs
HIGHS	hˈaɪz
HIGHWAY	hˈaɪwˌeɪ
HIGHWAYS	hˈaɪwˌeɪz
HIKE	hˈaɪk
HIKING	hˈaɪkɪŋ
HILAIRE	hɪlˈɛə
HILARIOUS	hɪlˈɛəɹɪəs
HILL	hˈɪl
HILLINGDON	hˈɪlɪŋdən
HILLS	hˈɪlz
HILLY	hˈɪli
HILT	hˈɪlt
HILTON	hˈɪltən
HIM(1)	ɪm
HIM(2)	hˈɪm
HIMSELF	hɪmsˈɛlf
HIND	hˈaɪnd
HINDER	hˈɪndə
HINDRANCE	hˈɪndɹəns
HINDU	hˈɪndˌuː
HINGE	hˈɪndʒ
HINT	hˈɪnt
HINTS	hˈɪnts
HIP	hˈɪp
HIPPO	hˈɪpəʊ
HIPPOPOTAMUS	hˌɪpəpˈɒtəməs
HIPPY	hˈɪpi
HIPS	hˈɪps
HIRE	hˈaɪə
HIRED	hˈaɪəd
HIRING	hˈaɪɹɪŋ
HIS(1)	hɪz
HIS(2)	hˈɪz
HISPANIC	hɪspˈænɪk
HISS	hɪs
HISTORIAN	hɪstˈɔːɹɪən
HISTORIANS	hɪstˈɔːɹɪənz
HISTORIC	hɪstˈɒɹɪk
HISTORICAL	hɪstˈɒɹɪkəl
HISTORICALLY(1)	hɪstˈɒɹɪkli
HISTORICALLY(2)	hɪstˈɒɹɪkəli
HISTORIES(1)	hˈɪstɹiz
HISTORIES(2)	hˈɪstəɹiz
HISTORY(1)	hˈɪstɹi
HISTORY(2)	hˈɪstəɹi
HIT	hˈɪt
HITACHI	hɪtˈɑːtʃi
HITCH	hˈɪtʃ
HITHERTO	hˌɪðətˈuː
HITLER	hˈɪtlə
HITS	hˈɪts
HITTING	hˈɪtɪŋ
HIVE	hˈaɪv
HM	hm
HOARD	hˈɔːd
HOARSE	hˈɔːs
HOAX	hˈəʊks
HOB	hˈɒb
HOBBIES	hˈɒbiz
HOBBY	hˈɒbi
HOCKEY	hˈɒki
HOG	hˈɒg
HOIST	hˈɔɪst
HOISTED	hˈɔɪstɪd
HOLD	hˈəʊld
HOLDER	hˈəʊldə
HOLDERS	hˈəʊldəz
HOLDING	hˈəʊldɪŋ
HOLDINGS	hˈəʊldɪŋz
HOLDS	hˈəʊldz
HOLE	hˈəʊl
HOLES	hˈəʊlz
HOLIDAY	hˈɒlɪdˌeɪ
HOLIDAYS	hˈɒlɪdˌeɪz
HOLLAND	hˈɒlənd
HOLLOW	hˈɒləʊ
HOLLY	hˈɒli
HOLLYWOOD	hˈɒlɪwˌʊd
HOLMES	hˈəʊmz
HOLOCAUST	hˈɒləkˌɔːst
HOLY	hˈəʊli
HOLYHEAD	hˈɒlɪhɛd
HOMAGE	hˈɒmɪdʒ
HOME	hˈəʊm
HOMELAND	hˈəʊmlˌænd
HOMELESS	hˈəʊmlɪs
HOMEPAGE	hˈəʊmpˌeɪdʒ
HOMES	hˈəʊmz
HOMETOWN	hˈəʊmtˌaʊn
HOMEWORK	hˈəʊmwˌɜːk
HOMICIDE	hˈɒmɪsˌaɪd
HOMOGENEITY(1)	hˌəʊmədʒɪnˈiːɪti
HOMOGENEITY(2)	hˌɒmədʒɪnˈiːɪti
HOMOGENEITY(3)	hˌɒmədʒɪnˈeɪɪti
HOMOGENEITY(4)	hˌəʊməʊdʒɪnˈeɪɪti
HOMOGENOUS(1)	həmˈɒdʒɪnəs
HOMOGENOUS(2)	hˌɒmədʒˈiːnɪəs
HOMOGENOUS(3)	hˌəʊmədʒˈiːnɪəs
HOMOSEXUAL(1)	hˌɒməʊsˈɛkʃʊəl
HOMOSEXUAL(2)	hˌəʊməʊsˈɛkʃʊəl
HONDA	hˈɒndə
HONDURAS	hɒndjˈʊəɹəs
HONE	hˈəʊn
HONEST	ˈɒnɪst
HONESTLY	ˈɒnɪstli
HONESTY	ˈɒnɪsti
HONEY	hˈɐni
HONEYMOON	hˈɐnɪmˌuːn
HONG	hˈɒŋ
HONKING	hˈɒŋkɪŋ
HONOLULU	hˌɒnəlˈuːluː
HONOR	ˈɒnə
HONORABLE	ˈɒnəɹəbəl
HONORARY	ˈɒnəɹəɹi
HONORED	ˈɒnəd
HONORS	ˈɒnəz
HONOUR	ˈɒnə
HONOURABLE	ˈɒnəɹəbəl
HONOURS	ˈɒnəz
HOOD	hˈʊd
HOOF	hˈuːf
HOOFS	hˈuːfs
HOOK	hˈʊk
HOOKED	hˈʊkt
HOOP	hˈuːp
HOORAY	hʊɹˈeɪ
HOOT	hˈuːt
HOOVER	hˈuːvə
HOOVES	hˈuːvz
HOP	hˈɒp
HOPE	hˈəʊp
HOPED	hˈəʊpt
HOPEFUL	hˈəʊpfəl
HOPEFULLY	hˈəʊpfəli
HOPELESS	hˈəʊplɪs
HOPES	hˈəʊps
HOPING	hˈəʊpɪŋ
HOPKINS	hˈɒpkɪnz
HORDE	hˈɔːd
HORIZON	həɹˈaɪzən
HORIZONTAL	hˌɒɹɪzˈɒntəl
HORMONE	hˈɔːmˌəʊn
HORN	hˈɔːn
HORNS	hˈɔːnz
HORNY	hˈɔːni
HORRENDOUS	hɒɹˈɛndəs
HORRIBLE	hˈɒɹɪbəl
HORRID	hˈɒɹɪd
HORROR	hˈɒɹə
HORSE	hˈɔːs
HORSES	hˈɔːsɪz
HOSE	hˈəʊz
HOSPICE	hˈɒspɪs
HOSPITAL	hˈɒspˌɪtəl
HOSPITALITY	hˌɒspɪtˈælɪti
HOSPITALS	hˈɒspˌɪtəlz
HOST	hˈəʊst
HOSTAGE	hˈɒstɪdʒ
HOSTED	hˈəʊstɪd
HOSTEL	hˈɒstəl
HOSTELS	hˈɒstəlz
HOSTILE	hˈɒstaɪl
HOSTILITY	hɒstˈɪlɪti
HOSTING	hˈəʊstɪŋ
HOSTS	hˈəʊsts
HOT	hˈɒt
HOTEL	həʊtˈɛl
HOTELS	həʊtˈɛlz
HOTLY	hˈɒtli
HOTMAIL	hˈɒtmeɪl
HOTTEST	hˈɒtɪst
HOUGH(1)	hˈɒk
HOUGH(2)	hˈɐf
HOUMOUS	hˈʊməs
HOUND	hˈaʊnd
HOUNSLOW	hˈaʊnzləʊ
HOUR	ˈaʊə
HOURLY	ˈaʊəli
HOURS	ˈaʊəz
HOUSE	hˈaʊs
HOUSEHOLD	hˈaʊshˌəʊld
HOUSEHOLDS	hˈaʊshˌəʊldz
HOUSES	hˈaʊzɪz
HOUSEWARES	hˈaʊswˌɛəz
HOUSEWIFE	hˈaʊswˌaɪf
HOUSEWIVES	hˈaʊswˌaɪvz
HOUSEWORK	hˈaʊswˌɜːk
HOUSING	hˈaʊzɪŋ
HOUSTON	hjˈuːstən
HOVE	hˈəʊv
HOVEL	hˈɒvəl
HOVER	hˈɒvə
HOVERCRAFT	hˈɒvəkɹˌɑːft
HOW	hˈaʊ
HOW-TO	hˈaʊtuː
HOWARD	hˈaʊəd
HOWDY	hˈaʊdi
HOWEVER	hˌaʊˈɛvə
HOWL	hˈaʊl
HUB	hˈɐb
HUDDERSFIELD	hˈɐdəzfiːld
HUDSON	hˈɐdsən
HUE	hjˈuː
HUFF	hˈɐf
HUG	hˈɐg
HUGE	hjˈuːdʒ
HUGH	hjˈuː
HUGHES	hjˈuːz
HUH	hˈɐ
HULK	hˈɐlk
HULL	hˈɐl
HUM	hˈɐm
HUMAN	hjˈuːmən
HUMANITARIAN	hjˌuːmænɪtˈɛəɹɪən
HUMANITIES	hjuːmˈænɪtiz
HUMANITY	hjuːmˈænɪti
HUMANS	hjˈuːmənz
HUMBLE	hˈɐmbəl
HUME	hjˈuːm
HUMID	hjˈuːmɪd
HUMIDITY	hjuːmˈɪdɪti
HUMMING	hˈɐmɪŋ
HUMOR	hjˈuːmə
HUMOUR	hjˈuːmə
HUMOUROUS	hjˈuːməɹəs
HUMP	hˈɐmp
HUMUS	hjˈuːməs
HUNCH	hˈɐntʃ
HUNDRED(1)	hˈɐndɹəd
HUNDRED(2)	hˈɐndɹɪd
HUNDREDS	hˈɐndɹədz
HUNG	hˈɐŋ
HUNGARIAN	hɐŋgˈɛəɹɪən
HUNGARY	hˈɐŋgəɹi
HUNGER	hˈɐŋgə
HUNGRY	hˈɐŋgɹi
HUNK	hˈɐŋk
HUNKY	hˈɐŋki
HUNT	hˈɐnt
HUNTER	hˈɐntə
HUNTING	hˈɐntɪŋ
HUNTINGTON	hˈɐntɪŋtən
HURL	hˈɜːl
HURRICANE(1)	hˈɐɹɪkˌeɪn
HURRICANE(2)	hˈɐɹɪkən
HURRIED	hˈɐɹid
HURRY	hˈɐɹi
HURT	hˈɜːt
HURTING	hˈɜːtɪŋ
HURTS	hˈɜːts
HUSBAND	hˈɐzbənd
HUSBANDS	hˈɐzbəndz
HUSH	hˈɐʃ
HUSK	hˈɐsk
HUSKY	hˈɐski
HUSTLE	hˈɐsəl
HUT	hˈɐt
HYBRID	hˈaɪbɹɪd
HYDRAULIC	haɪdɹˈɒlɪk
HYDROGEN	hˈaɪdɹədʒən
HYENA	haɪˈiːnə
HYGIENE	hˈaɪdʒˌiːn
HYGIENIC	hˌaɪdʒˈiːnɪk
HYMEN	hˈaɪmən
HYMN	hˈɪm
HYPE	hˈaɪp
HYPERBOLE	haɪpˈɜːbəli
HYPHEN	hˈaɪfən
HYPOTHESES	haɪpˈɒθɪsiːz
HYPOTHESIS	haɪpˈɒθɪsɪs
HYPOTHETICAL	hˌaɪpəθˈɛtɪkəl
HYUNDAI(1)	haɪˈuːndaɪ
HYUNDAI(2)	hjˈɐndˌeɪ
I	ˈaɪ
I'S	ˈaɪz
IAN	ˈiːən
ICE	ˈaɪs
ICE-CREAM	ˈaɪskɹˌiːm
ICELAND	ˈaɪslənd
ICING	ˈaɪsɪŋ
ICKY	ˈɪki
ICON	ˈaɪkˌɒn
ICONS	ˈaɪkˌɒnz
ICY	ˈaɪsi
IDAHO	ˈaɪdəhˌəʊ
IDEA	aɪdˈɪə
IDEAL	aɪdˈɪəl
IDEALLY	aɪdˈɪəli
IDEALS	aɪdˈɪəlz
IDEAS	aɪdˈɪəz
IDENTICAL	aɪdˈɛntɪkəl
IDENTIFICATION	aɪdˌɛntɪfɪkˈeɪʃən
IDENTIFIED	aɪdˈɛntɪfˌaɪd
IDENTIFIER	aɪdˈɛntɪfˌaɪə
IDENTIFIES	aɪdˈɛntɪfˌaɪz
IDENTIFY	aɪdˈɛntɪfˌaɪ
IDENTIFYING	aɪdˈɛntɪfˌaɪɪŋ
IDENTITY	aɪdˈɛntɪti
IDEOLOGICAL	aɪdɪəlˈɒdʒɪkəl
IDEOLOGY	aɪdɪˈɒlədʒi
IDIOM	ˈɪdɪəm
IDIOT	ˈɪdɪət
IDIOTS	ˈɪdɪəts
IDLE	ˈaɪdəl
IDLY	ˈaɪdli
IDOL	ˈaɪdəl
IF(1)	ɪf
IF(2)	ˈɪf
IFFY	ˈɪfi
IGLOO	ˈɪglˌuː
IGNORANCE	ˈɪgnəɹəns
IGNORANT	ˈɪgnəɹənt
IGNORE	ɪgnˈɔː
IGNORED	ɪgnˈɔːd
IGNORING	ɪgnˈɔːɹɪŋ
ILL	ˈɪl
ILLEGAL	ɪlˈiːgəl
ILLEGITIMATE	ɪlɪdʒˈɪtɪmɪt
ILLICIT	ɪlˈɪsɪt
ILLINOIS	ˌɪlɪnˈɔɪ
ILLNESS	ˈɪlnɪs
ILLUSION	ɪlˈuːʒən
ILLUSTRATE	ˈɪləstɹˌeɪt
ILLUSTRATED	ˈɪləstɹˌeɪtɪd
ILLUSTRATES	ˈɪləstɹˌeɪts
ILLUSTRATION	ˌɪləstɹˈeɪʃən
ILLUSTRATIONS	ˌɪləstɹˈeɪʃənz
IMAGE	ˈɪmɪdʒ
IMAGERY	ˈɪmɪdʒɹi
IMAGES	ˈɪmɪdʒɪz
IMAGINARY	ɪmˈædʒɪnəɹi
IMAGINATION	ɪmˌædʒɪnˈeɪʃən
IMAGINATIVE	ɪmˈædʒɪnətɪv
IMAGINE	ɪmˈædʒɪn
IMAGINED	ɪmˈædʒɪnd
IMAGING	ˈɪmɪdʒɪŋ
IMBALANCE	ɪmbˈæləns
IMBUE	ɪmbjˈuː
IMMEDIATE	ɪmˈiːdɪət
IMMEDIATELY	ɪmˈiːdɪətli
IMMENSE	ɪmˈɛns
IMMIGRANTS	ˈɪmɪgɹənts
IMMIGRATE	ˈɪmɪgɹˌeɪt
IMMIGRATION	ˌɪmɪgɹˈeɪʃən
IMMINENT	ˈɪmɪnənt
IMMUNE	ɪmjˈuːn
IMMUNOLOGY	ˌɪmjuːnˈɒlədʒi
IMPACT(1)	ˈɪmpækt
IMPACT(2)	ɪmpˈækt
IMPACTS(1)	ˈɪmpækts
IMPACTS(2)	ɪmpˈækts
IMPAIRED	ɪmpˈɛəd
IMPART	ɪmpˈɑːt
IMPASSE(1)	æmpˈɑːs
IMPASSE(2)	ˈæmpɑːs
IMPASSE(3)	ɪmpˈɑːs
IMPASSE(4)	ɪmpˈɑːs
IMPERIAL	ɪmpˈɪəɹɪəl
IMPLEMENT(1)	ˈɪmplɪmˌɛnt
IMPLEMENT(2)	ˈɪmplɪmənt
IMPLEMENTATION	ˌɪmplɪmɛntˈeɪʃən
IMPLEMENTED	ˈɪmplɪmˌɛntɪd
IMPLEMENTING	ˈɪmplɪmˌɛntɪŋ
IMPLICATION	ˌɪmplɪkˈeɪʃən
IMPLICATIONS	ˌɪmplɪkˈeɪʃənz
IMPLICIT	ɪmplˈɪsɪt
IMPLIED	ɪmplˈaɪd
IMPLIES	ɪmplˈaɪz
IMPLY	ɪmplˈaɪ
IMPORT(1)	ˈɪmpˌɔːt
IMPORT(2)	ɪmpˈɔːt
IMPORTANCE	ɪmpˈɔːtəns
IMPORTANT	ɪmpˈɔːtənt
IMPORTANTLY	ɪmpˈɔːtəntli
IMPORTED	ɪmpˈɔːtɪd
IMPORTS(1)	ˈɪmpˌɔːts
IMPORTS(2)	ɪmpˈɔːts
IMPOSE	ɪmpˈəʊz
IMPOSED	ɪmpˈəʊzd
IMPOSSIBLE	ɪmpˈɒsɪbəl
IMPRESS	ɪmpɹˈɛs
IMPRESSED	ɪmpɹˈɛst
IMPRESSION	ɪmpɹˈɛʃən
IMPRESSIVE	ɪmpɹˈɛsɪv
IMPRISONMENT	ɪmpɹˈɪzənmənt
IMPROVE	ɪmpɹˈuːv
IMPROVED	ɪmpɹˈuːvd
IMPROVEMENT	ɪmpɹˈuːvmənt
IMPROVEMENTS	ɪmpɹˈuːvmənts
IMPROVING	ɪmpɹˈuːvɪŋ
IMPULSE	ˈɪmpɐls
IMPULSES	ˈɪmpɐlsɪz
IMPULSIVE	ɪmpˈɐlsɪv
IN(1)	ɪn
IN(2)	ˈɪn
INABILITY	ˌɪnəbˈɪlɪti
INADEQUATE	ɪnˈædɪkwɪt
INANE	ɪnˈeɪn
INAPPROPRIATE	ˌɪnəpɹˈəʊpɹɪət
INBOUND	ˈɪnbˌaʊnd
INBOX	ˈɪnbˌɒks
INC	ˈɪŋk
INCAPABLE	ɪnkˈeɪpəbəl
INCARNATE(1)	ɪnkˈɑːneɪt
INCARNATE(2)	ɪnkˈɑːnɪt
INCENSE(1)	ɪnsˈɛns
INCENSE(2)	ˈɪnsɛns
INCENTIVE	ɪnsˈɛntɪv
INCENTIVES	ɪnsˈɛntɪvz
INCEST	ˈɪnsˌɛst
INCH	ˈɪntʃ
INCHES	ˈɪntʃɪz
INCIDENCE	ˈɪnsɪdəns
INCIDENT	ˈɪnsɪdənt
INCIDENTALLY(1)	ˌɪnsɪdˈɛntli
INCIDENTALLY(2)	ˌɪnsɪdˈɛntəli
INCIDENTS	ˈɪnsɪdənts
INCLINE	ɪnklˈaɪn
INCLINED	ɪnklˈaɪnd
INCLUDE	ɪnklˈuːd
INCLUDED	ɪnklˈuːdɪd
INCLUDES	ɪnklˈuːdz
INCLUDING	ɪnklˈuːdɪŋ
INCLUSION	ɪnklˈuːʒən
INCLUSIVE	ɪnklˈuːsɪv
INCOME	ˈɪnkˌɐm
INCOMES	ˈɪnkˌɐmz
INCOMING	ˈɪnkˌɐmɪŋ
INCOMPLETE	ɪnkəmplˈiːt
INCONGRUOUS	ɪnkˈɒŋgɹʊəs
INCONSISTENT	ɪnkənsˈɪstənt
INCORPORATE(1)	ɪnkˈɔːpəɹˌeɪt
INCORPORATE(2)	ɪnkˈɔːpəɹɪt
INCORPORATED	ɪnkˈɔːpəɹˌeɪtɪd
INCORRECT	ɪnkəɹˈɛkt
INCREASE(1)	ˈɪnkɹˌiːs
INCREASE(2)	ɪnkɹˈiːs
INCREASED	ɪnkɹˈiːst
INCREASES	ɪnkɹˈiːsɪz
INCREASING	ɪnkɹˈiːsɪŋ
INCREASINGLY	ɪnkɹˈiːsɪŋli
INCREDIBLE	ɪnkɹˈɛdɪbəl
INCREDIBLY	ɪnkɹˈɛdɪbli
INCUMBENT	ɪnkˈɐmbənt
INCUR	ɪnkˈɜː
INCURRED	ɪnkˈɜːd
INDEED	ɪndˈiːd
INDEFINITELY	ɪndˈɛfɪnɪtli
INDEPENDENCE	ˌɪndɪpˈɛndəns
INDEPENDENT	ˌɪndɪpˈɛndənt
INDEPENDENTLY	ˌɪndɪpˈɛndəntli
INDEX	ˈɪndɛks
INDEXED	ˈɪndɛkst
INDEXES	ˈɪndɛksɪz
INDIA	ˈɪndɪə
INDIAN	ˈɪndɪən
INDIANA	ˌɪndɪˈænə
INDIANAPOLIS	ˌɪndɪənˈæpəlɪs
INDIANS	ˈɪndɪənz
INDICATE	ˈɪndɪkˌeɪt
INDICATED	ˈɪndɪkˌeɪtɪd
INDICATES	ˈɪndɪkˌeɪts
INDICATING	ˈɪndɪkˌeɪtɪŋ
INDICATION	ˌɪndɪkˈeɪʃən
INDICATIONS	ˌɪndɪkˈeɪʃənz
INDICATOR	ˈɪndɪkˌeɪtə
INDICATORS	ˈɪndɪkˌeɪtəz
INDICES	ˈɪndɪsˌiːz
INDICT	ɪndˈaɪt
INDIE	ˈɪndi
INDIES	ˈɪndiz
INDIFFERENCE(1)	ɪndˈɪfɹəns
INDIFFERENCE(2)	ɪndˈɪfəɹəns
INDIFFERENT(1)	ɪndˈɪfɹənt
INDIFFERENT(2)	ɪndˈɪfəɹənt
INDIGENOUS	ɪndˈɪdʒənəs
INDIGO	ˈɪndɪgˌəʊ
INDIRECT(1)	ˌɪndɪɹˈɛkt
INDIRECT(2)	ˌɪndaɪɹˈɛkt
INDIRECTLY(1)	ɪndɪɹˈɛktli
INDIRECTLY(2)	ɪndaɪɹˈɛktli
INDISCRIMINATE	ɪndɪskɹˈɪmɪnɪt
INDISTINCT	ˌɪndɪstˈɪŋkt
INDIVIDUAL	ˌɪndɪvˈɪdjʊəl
INDIVIDUALLY	ˌɪndɪvˈɪdjʊəli
INDIVIDUALS	ˌɪndɪvˈɪdjʊəlz
INDONESIA	ˌɪndənˈiːʒə
INDONESIAN(1)	ˌɪndənˈiːʒən
INDONESIAN(2)	ˌɪndəʊnˈiːʒən
INDOOR	ˈɪndˌɔː
INDOORS	ˈɪndˌɔːz
INDUCE	ɪndjˈuːs
INDUCED	ɪndjˈuːst
INDUCTION	ɪndˈɐkʃən
INDULGE	ɪndˈɐldʒ
INDUSTRIAL	ɪndˈɐstɹɪəl
INDUSTRIALISATION	ɪndˌɐstɹɪəlaɪzˈeɪʃən
INDUSTRIALISE	ɪndˈɐstɹɪəlˌaɪz
INDUSTRIALIZATION	ɪndˌɐstɹɪəlaɪzˈeɪʃən
INDUSTRIALIZE	ɪndˈɐstɹɪəlˌaɪz
INDUSTRIES	ˈɪndəstɹiz
INDUSTRY	ˈɪndəstɹi
INEPT	ɪnˈɛpt
INEQUALITY	ˌɪnɪkwˈɒlɪti
INERT	ɪnˈɜːt
INEVITABLE	ɪnˈɛvɪtəbəl
INEVITABLY	ɪnˈɛvɪtəbli
INEXPENSIVE	ˌɪnɪkspˈɛnsɪv
INFAMOUS	ˈɪnfəməs
INFANT	ˈɪnfənt
INFANTS	ˈɪnfənts
INFECT	ɪnfˈɛkt
INFECTED	ɪnfˈɛktɪd
INFECTION	ɪnfˈɛkʃən
INFECTIONS	ɪnfˈɛkʃənz
INFECTIOUS	ɪnfˈɛkʃəs
INFER	ɪnfˈɜː
INFERENCE(1)	ɪnfɹəns
INFERENCE(2)	ɪnfəɹəns
INFERIOR	ɪnfˈɪəɹɪə
INFINITE	ˈɪnfɪnɪt
INFINITY	ɪnfˈɪnɪti
INFLAMATION	ɪnfləmˈeɪʃən
INFLATION	ɪnflˈeɪʃən
INFLICT	ɪnflˈɪkt
INFLUENCE	ˈɪnflʊəns
INFLUENCED	ˈɪnflʊənst
INFLUENCES	ˈɪnflʊənsɪz
INFLUENTIAL	ˌɪnflʊˈɛnʃəl
INFO	ˈɪnfəʊ
INFORM	ɪnfˈɔːm
INFORMAL	ɪnfˈɔːməl
INFORMATION	ˌɪnfəmˈeɪʃən
INFORMATIONAL	ˌɪnfəmˈeɪʃənəl
INFORMATIVE	ɪnfˈɔːmətɪv
INFORMED	ɪnfˈɔːmd
INFRARED	ˌɪnfɹəɹˈɛd
INFRASTRUCTURE	ˌɪnfɹəstɹˈɐktʃə
INFRINGEMENT	ɪnfɹˈɪndʒmənt
INGENIOUS	ɪndʒˈiːnjəs
INGREDIENT	ɪngɹˈiːdɪənt
INGREDIENTS	ɪngɹˈiːdɪənts
INHABITANT	ɪnhˈæbɪtənt
INHABITANTS	ɪnhˈæbɪtənts
INHALE	ɪnhˈeɪl
INHERENT(1)	ɪnhˈɛɹənt
INHERENT(2)	ɪnhˈɪəɹənt
INHERIT	ɪnhˈɛɹɪt
INHERITANCE	ɪnhˈɛɹɪtəns
INHERITED	ɪnhˈɛɹɪtɪd
INHIBIT	ɪnhˈɪbɪt
INHIBITION	ˌɪnɪbˈɪʃən
INITIAL	ɪnˈɪʃəl
INITIALLY	ɪnˈɪʃəli
INITIATE	ɪnˈɪʃɪˌeɪt
INITIATED	ɪnˈɪʃɪˌeɪtɪd
INITIATION	ɪnˌɪʃɪˈeɪʃən
INITIATIVE(1)	ɪnˈɪʃətɪv
INITIATIVE(2)	ɪnˈɪʃɪətɪv
INITIATIVES(1)	ɪnˈɪʃətɪvz
INITIATIVES(2)	ɪnˈɪʃɪətɪvz
INJECT	ɪndʒˈɛkt
INJECTION	ɪndʒˈɛkʃən
INJUNCTION(1)	ɪndʒˈɐŋʃən
INJUNCTION(2)	ɪndʒˈɐŋkʃən
INJURE	ˈɪndʒə
INJURED	ˈɪndʒəd
INJURIES	ˈɪndʒəɹiz
INJURY	ˈɪndʒəɹi
INJUSTICE	ɪndʒˈɐstɪs
INK	ˈɪŋk
INKJET	ˈɪŋkdʒˌɛt
INLAND	ˈɪnlˌænd
INLAY(1)	ɪnlˈeɪ
INLAY(2)	ˈɪnlˌeɪ
INLET	ˈɪnlˌɛt
INLINE	ˈɪnlaɪn
INN	ˈɪn
INNATE(1)	ˈɪneɪt
INNATE(2)	ɪnˈeɪt
INNER	ˈɪnə
INNOCENCE	ˈɪnəsəns
INNOCENT	ˈɪnəsənt
INNOVATION	ˌɪnəvˈeɪʃən
INNOVATIONS	ˌɪnəvˈeɪʃənz
INNOVATIVE(1)	ˈɪnəvətɪv
INNOVATIVE(2)	ˈɪnəvˌeɪtɪv
INNS	ˈɪnz
INPUT	ˈɪnpˌʊt
INPUTS	ˈɪnpˌʊts
INPUTTED	ˈɪnpˌʊtɪd
INQUEST	ˈɪnkwˌɛst
INQUIRE	ɪnkwˈaɪə
INQUIRIES	ɪnkwˈaɪəɹiz
INQUIRY	ɪnkwˈaɪəɹi
INS	ˈɪnz
INSANE	ɪnsˈeɪn
INSECT	ˈɪnsˌɛkt
INSECTS	ˈɪnsˌɛkts
INSERT(1)	ɪnsˈɜːt
INSERT(2)	ˈɪnsˌɜːt
INSERTED	ɪnsˈɜːtɪd
INSERTION	ɪnsˈɜːʃən
INSET(1)	ˈɪnsˌɛt
INSET(2)	ɪnsˈɛt
INSIDE(1)	ɪnsˈaɪd
INSIDE(2)	ˈɪnsˌaɪd
INSIDER	ɪnsˈaɪdə
INSIDIOUS	ɪnsˈɪdɪəs
INSIGHT	ˈɪnsˌaɪt
INSIGHTS	ˈɪnsˌaɪts
INSIST	ɪnsˈɪst
INSISTED	ɪnsˈɪstɪd
INSISTENCE	ɪnsˈɪstəns
INSISTS	ɪnsˈɪsts
INSPECT	ɪnspˈɛkt
INSPECTION	ɪnspˈɛkʃən
INSPECTIONS	ɪnspˈɛkʃənz
INSPECTOR	ɪnspˈɛktə
INSPECTORS	ɪnspˈɛktəz
INSPIRATION	ˌɪnspɪɹˈeɪʃən
INSPIRE	ɪnspˈaɪə
INSPIRED	ɪnspˈaɪəd
INSTABILITY	ˌɪnstəbˈɪlɪti
INSTALL	ɪnstˈɔːl
INSTALLATION	ˌɪnstəlˈeɪʃən
INSTALLATIONS	ˌɪnstəlˈeɪʃənz
INSTALLED	ɪnstˈɔːld
INSTALLING	ɪnstˈɔːlɪŋ
INSTANCE	ˈɪnstəns
INSTANCES	ˈɪnstənsɪz
INSTANT	ˈɪnstənt
INSTANTLY	ˈɪnstəntli
INSTEAD	ɪnstˈɛd
INSTINCT	ˈɪnstɪŋkt
INSTITUTE	ˈɪnstɪtjˌuːt
INSTITUTES	ˈɪnstɪtjˌuːts
INSTITUTION	ˌɪnstɪtjˈuːʃən
INSTITUTIONAL	ˌɪnstɪtjˈuːʃənəl
INSTITUTIONS	ˌɪnstɪtjˈuːʃənz
INSTRUCT	ɪnstɹˈɐkt
INSTRUCTION	ɪnstɹˈɐkʃən
INSTRUCTIONAL	ɪnstɹˈɐkʃənəl
INSTRUCTIONS	ɪnstɹˈɐkʃənz
INSTRUCTOR	ɪnstɹˈɐktə
INSTRUCTORS	ɪnstɹˈɐktəz
INSTRUMENT	ˈɪnstɹəmənt
