ئابووری	.ʔa.bû.rî
چاپکراوەیەکی	.çap.ki.ra.we.ye.kî
چاپکردنیدا	.çap.kir.di.nî.da
چاپکەرە	.çap.ke.re
چاپی	.ça.pî
چاپیش	.ça.pîş
چاپەکە	.ça.pe.ke
چاپەمەنی	.ça.pe.me.nî
چاپەمەنیش	.ça.pe.me.nîş
چاپەمەنیگەلێک	.ça.pe.me.nî.ge.lêk
چاپەمەنیگەلە	.ça.pe.me.nî.ge.le
چاپەمەنیی	.ça.pe.me.nîy
چاپەمەنییە	.ça.pe.me.nî.ye
چاپەمەنییەکان	.ça.pe.me.nî.ye.kan
چاپەمەنییەکاندا	.ça.pe.me.nî.ye.kan.da
چاپەمەنییەکانی	.ça.pe.me.nî.ye.ka.nî
چاپەمەنییەوە	.ça.pe.me.nî.ye.we
چاتر	.ça.tir
چارسانجاک	.çar.san.cak
چارەدیتنەوەیەکی	.ça.re.dî.ti.ne.we.ye.kî
چارەسەر	.ça.re.ser
چارەسەرکران	.ça.re.ser.ki.ran
چارەسەرکردنی	.ça.re.ser.kir.di.nî
چاک	.çak
چاکردنەوەی	.ça.kir.di.ne.wey
چاکی	.ça.kî
چاکیشیان	.ça.kîş.yan
چاکە	.ça.ke
چالاکیگەلێک	.ça.la.kî.ge.lêk
چالاکیی	.ça.la.kîy
چالاکییان	.ça.la.kî.yan
چالاکییە	.ça.la.kî.ye
چالاکییەک	.ça.la.kî.yek
چالاکییەکانی	.ça.la.kî.ye.ka.nî
چالاکییەکانیان	.ça.la.kî.ye.kan.yan
چاند	.çand
چاو	.çaw
چاوپێکەوتنێکم	.çaw.pê.kew.ti.nê.kim
چاوپێکەوتنەکان	.çaw.pê.kew.ti.ne.kan
چاوپێکەوتنەکانی	.çaw.pê.kew.ti.ne.ka.nî
چاودێری	.çaw.dê.rî
چاودێریی	.çaw.dê.rîy
چاودێرییەک	.çaw.dê.rî.yek
چاودێرییەکان	.çaw.dê.rî.ye.kan
چاودێرەکانی	.çaw.dê.re.ka.nî
چاوم	.ça.wim
چاوی	.ça.wî
چاویان	.çaw.yan
چاوەڕوانی	.ça.weř.wa.nî
چاوەڕوانیی	.ça.weř.wa.nîy
چاوەنواڕین	.ça.wen.wa.řîn
چڕەکەیان	.çi.ře.ke.yan
چکۆلە	.çi.ko.le
چل	.çil
چم	.çim
چمک	.çimk
چوار	.çwar
چواری	.çwa.rî
چوارەمییەکەش	.çwa.re.mî.ye.keş
چوو	.çû
چووکی	.çû.kî
چوونکینێ	.çûn.kî.nê
چوونکە	.çûn.ke
چوونەوەیە	.çû.ne.we.ye
چووە	.çu.we
چووەتە	.çu.we.te
چۆڵ	.çoł
چۆڵەپێچەی	.ço.łe.pê.çey
چۆن	.çon
چۆناوچۆن	.ço.naw.çon
چۆنایەتیی	.ço.na.ye.tîy
چێ	.çê
چێچێنەکان	.çê.çê.ne.kan
چێرمک	.çê.rimk
چی	.çî
چیا	.çya
چیایێ	.çya.yê
چیتر	.çî.tir
چیدی	.çî.dî
چیدیکە	.çî.dî.ke
چیرۆک	.çî.rok
چیرۆکان	.çî.ro.kan
چیرۆکدا	.çî.rok.da
چیرۆکی	.çî.ro.kî
چیرۆکە	.çî.ro.ke
چیرۆکەکان	.çî.ro.ke.kan
چین	.çîn
چینی	.çî.nî
چینە	.çî.ne
چینەکانی	.çî.ne.ka.nî
چییان	.çî.yan
چییە	.çî.ye
چەپڕەوە	.çep.ře.we
چەپڕەوەکانیش	.çep.ře.we.ka.nîş
چەپۆکی	.çe.po.kî
چەتوونە	.çe.tû.ne
چەشنانی	.çeş.na.nî
چەشنگەلێکی	.çe.şin.ge.lê.kî
چەشنێک	.çeş.nêk
چەشنێکی	.çeş.nê.kî
چەشنی	.çeş.nî
چەشنە	.çeş.ne
چەڤلیک	.çev.lîk
چەڤلیکیش	.çev.lî.kîş
چەقڵ	.çe.qił
چەک	.çek
چەکم	.çe.kim
چەکێک	.çe.kêk
چەلەبی	.çe.le.bî
چەڵەمە	.çe.łe.me
چەڵەمەدا	.çe.łe.me.da
چەڵەمەکان	.çe.łe.me.kan
چەڵەمەکانیان	.çe.łe.me.kan.yan
چەڵەمەگەلە	.çe.łe.me.ge.le
چەڵەمەیەشدا	.çe.łe.me.yeş.da
چەڵەمەیەکی	.çe.łe.me.ye.kî
چەڵەمەیەوە	.çe.łe.me.ye.we
چەمیشگەزەک	.çe.mîş.ge.zek
چەند	.çend
چەنێتییە	.çe.nê.tî.ye
چەوساندنەوە	.çew.san.di.ne.we
چەوساندنەوەیە	.çew.san.di.ne.we.ye
چەوسانەوە	.çew.sa.ne.we
چەوسانەوەی	.çew.sa.ne.wey
حاستیدا	.ḧas.tî.da
حافیز	.ḧa.fîz
حاڵێک	.ḧa.łêk
حاڵێکدایە	.ḧa.łêk.da.ye
حاندی	.ḧan.dî
حسنێ	.ḧis.nê
حکوومەت	.ḧi.kû.met
حکوومەتدا	.ḧi.kû.met.da
حکوومەتێکی	.ḧi.kû.me.tê.kî
حکوومەتی	.ḧi.kû.me.tî
حکوومەتیدا	.ḧi.kû.me.tî.da
حکوومەتییە	.ḧi.kû.me.tî.ye
حکوومەتییەکان	.ḧi.kû.me.tî.ye.kan
حکوومەتە	.ḧi.kû.me.te
حکوومەتەکانی	.ḧi.kû.me.te.ka.nî
حکوومەتەوە	.ḧi.kû.me.te.we
حورییەت	.ḧu.rî.yet
حوزنی	.ḧuz.nî
حوسێن	.ḧu.sên
حوسەین	.ḧu.seyn
حیزبی	.ḧîz.bî
حیزبەکانی	.ḧîz.be.ka.nî
حەستەم	.ḧes.tem
حەستەمەشدا	.ḧes.te.meş.da
حەسیچە	.ḧe.sî.çe
حەسیچەن	.ḧe.sî.çen
حەسەن	.ḧe.sen
حەسەنێ	.ḧe.se.nê
حەشاردنەوە	.ḧe.şar.di.ne.we
حەفتەیەک	.ḧef.te.yek
حەکاری	.ḧe.ka.rî
حەکیمخان	.ḧe.kîm.xan
حەلەب	.ḧe.leb
حەلەبدا	.ḧe.leb.da
حەلەبێ	.ḧe.le.bê
حەمسۆرۆ	.ḧem.so.ro
حەمکە	.ḧem.ke
حەمۆ	.ḧe.mo
حەمۆدا	.ḧe.mo.da
حەمۆی	.ḧe.moy
حەوت	.ḧewt
حەوتەمین	.ḧew.te.mîn
حەولیان	.ḧewl.yan
خارپێت	.xar.pêt
خارپێتیش	.xar.pê.tîş
خاس	.xas
خاسی	.xa.sî
خاسە	.xa.se
خالدی	.xa.li.dî
خانووبەرەی	.xa.nû.be.rey
خانوویەکی	.xa.nû.ye.kî
خانووەکە	.xa.nu.we.ke
خانی	.xa.nî
خاوەن	.xa.wen
خاوەنان	.xa.we.nan
خاوەنانەش	.xa.we.na.neş
خاوەندارێتیشی	.xa.wen.da.rê.tî.şî
خاوەنداریی	.xa.wen.da.rîy
خاوەنێکی	.xa.we.nê.kî
خاوەنی	.xa.we.nî
خاوەنە	.xa.we.ne
خاوەنەکان	.xa.we.ne.kan
خاوەنەکانی	.xa.we.ne.ka.nî
خاوەنەکانیان	.xa.we.ne.kan.yan
خاوەنەکەش	.xa.we.ne.keş
خاوەنەکەی	.xa.we.ne.key
خایاندی	.xa.yan.dî
خرا	.xi.ra
خراپتر	.xi.rap.tir
خراپی	.xi.ra.pî
خراوە	.xi.ra.we
خڕ	.xiř
خڕکەمەوە	.xiř.ke.me.we
خڕیان	.xiř.yan
خزم	.xi.zim
خزماتگوزارییەکانی	.xiz.mat.gu.za.rî.ye.ka.nî
خزمەتگوزارییەک	.xiz.met.gu.za.rî.yek
خزمەتگوزارییەکانی	.xiz.met.gu.za.rî.ye.ka.nî
خزمەتگۆزاریی	.xiz.met.go.za.rîy
خزمەتگۆزارییەکانی	.xiz.met.go.za.rî.ye.ka.nî
خزمەتی	.xiz.me.tî
خزمەکانیان	.xiz.me.kan.yan
خزمەکانیش	.xiz.me.ka.nîş
خستنی	.xis.ti.nî
خشتەکەی	.xiş.te.key
خشتەی	.xiş.tey
خنجیلانەی	.xin.cî.la.ney
خوارێ	.xwa.rê
خوارێیە	.xwa.rê.ye
خوارەوە	.xwa.re.we
خول	.xul
خولقابێ	.xul.qa.bê
خولقاندنی	.xul.qan.di.nî
خولقێندراون	.xul.qên.di.ra.win
خوناڤ	.xu.nav
خونتا	.xun.ta
خونتای	.xun.tay
خونتایەکی	.xun.ta.ye.kî
خووی	.xûy
خوویان	.xû.yan
خوێن	.xwên
خوێندبوویان	.xwên.di.bû.yan
خوێندکار	.xwênd.kar
خوێندکارێک	.xwênd.ka.rêk
خوێندکاریدا	.xwênd.ka.rî.da
خوێندکارەکان	.xwênd.ka.re.kan
خوێندگەکاندا	.xwênd.ge.kan.da
خوێندگەگەلێک	.xwênd.ge.ge.lêk
خوێندگەی	.xwênd.gey
خوێندن	.xwên.din
خوێندنگە	.xwên.din.ge
خوێندنگەکان	.xwên.din.ge.kan
خوێندنگەکاندا	.xwên.din.ge.kan.da
خوێندنگەیان	.xwên.din.ge.yan
خوێندنگەیەک	.xwên.din.ge.yek
خوێندنگەیەکی	.xwên.din.ge.ye.kî
خوێندنی	.xwên.di.nî
خوێندنەوە	.xwên.di.ne.we
خوێندنەوەکانی	.xwên.di.ne.we.ka.nî
خوێندنەوەی	.xwên.di.ne.wey
خوێندنەوەیان	.xwên.di.ne.we.yan
خوێندوویانە	.xwên.dû.ya.ne
خوێندووە	.xwên.du.we
خوێندەواری	.xwên.de.wa.rî
خوێندەواریی	.xwên.de.wa.rîy
خوێندەوارە	.xwên.de.wa.re
خوێندەوارەکان	.xwên.de.wa.re.kan
خوێنگەکاندا	.xwên.ge.kan.da
خوێنەران	.xwê.ne.ran
خوێنەرانی	.xwê.ne.ra.nî
خوێنەرانیش	.xwê.ne.ra.nîş
خوێنەرانەش	.xwê.ne.ra.neş
خوێنەرە	.xwê.ne.re
خوێنەرەکان	.xwê.ne.re.kan
خوێنەرەکانی	.xwê.ne.re.ka.nî
خوەسنیان	.xwe.sin.yan
خوەندەڤان	.xwen.de.van
خۆ	.xo
خۆبێژ	.xo.bêj
خۆبەڕێوەبردن	.xo.be.řê.we.bir.din
خۆت	.xot
خۆتان	.xo.tan
خۆتانەوە	.xo.ta.ne.we
خۆتۆمار	.xo.to.mar
خۆتێوەردانی	.xo.tê.wer.da.nî
خۆتێوەردانەکانی	.xo.tê.wer.da.ne.ka.nî
خۆڕایییانە	.xo.řa.yî.ya.ne
خۆزات	.xo.zat
خۆش	.xoş
خۆشحاڵ	.xoş.ḧał
خۆشیان	.xoş.yan
خۆشە	.xo.şe
خۆڵیان	.xoł.yan
خۆم	.xom
خۆمان	.xo.man
خۆناساندنیان	.xo.na.san.din.yan
خۆوە	.xo.we
خۆی	.xoy
خۆیان	.xo.yan
خۆیاندا	.xo.yan.da
خۆیانەوە	.xo.ya.ne.we
خۆیدا	.xoy.da
خۆیەتی	.xo.ye.tî
خێراکار	.xê.ra.kar
خێراکارەکان	.xê.ra.ka.re.kan
خێزانانێکی	.xê.za.na.nê.kî
خێزانی	.xê.za.nî
خێزانەکانیان	.xê.za.ne.kan.yan
خێزانەکەم	.xê.za.ne.kem
خێڵە	.xê.łe
خێی	.xêy
خەباتگێرەکانی	.xe.bat.gê.re.ka.nî
خەباتگێڕی	.xe.bat.gê.řî
خەباتگێڕیی	.xe.bat.gê.řîy
خەباتگێڕە	.xe.bat.gê.ře
خەباتی	.xe.ba.tî
خەباتەکانیان	.xe.ba.te.kan.yan
خەریک	.xe.rîk
خەریکن	.xe.rî.kin
خەریکی	.xe.rî.kî
خەریکیان	.xe.rîk.yan
خەریکە	.xe.rî.ke
خەلات	.xe.lat
خەلیل	.xe.lîl
خەڵات	.xe.łat
خەڵاتێکی	.xe.ła.tê.kî
خەڵاتی	.xe.ła.tî
خەڵاتیان	.xe.łat.yan
خەڵاتە	.xe.ła.te
خەڵاتەش	.xe.ła.teş
خەڵاتەکان	.xe.ła.te.kan
خەڵاتەکانی	.xe.ła.te.ka.nî
خەڵک	.xełk
خەڵکێک	.xeł.kêk
خەڵکێکی	.xeł.kê.kî
خەڵکی	.xeł.kî
خەڵکە	.xeł.ke
خەڵکەکانی	.xeł.ke.ka.nî
خەڵکەوە	.xeł.ke.we
خەیالی	.xe.ya.lî
دا	.da
دابا	.da.ba
دابخرێ	.da.bi.xi.rê
دابڕاوەکانی	.da.bi.řa.we.ka.nî
دابمەزرێ	.da.bi.mez.rê
دابمەزرێن	.da.bi.mez.rên
دابمەزرێندرێ	.da.bi.mez.rên.di.rê
دابمەزرێندرێن	.da.bi.mez.rên.di.rên
دابمەزرێنن	.da.bi.mez.rê.nin
دابوو	.da.bû
دابوون	.da.bûn
دابوونێ	.da.bû.nê
دابووەوە	.da.bu.we.we
دابێ	.da.bê
دابین	.da.bîn
دابەزاندنی	.da.be.zan.di.nî
دابەزاندووە	.da.be.zan.du.we
دابەش	.da.beş
دابەشکردنی	.da.beş.kir.di.nî
دات	.dat
داتێ	.da.tê
داخرا	.da.xi.ra
داخران	.da.xi.ran
داخستین	.da.xis.tîn
داخوازەکەی	.da.xwa.ze.key
دادخوازی	.dad.xwa.zî
دادگا	.dad.ga
دادگادا	.dad.ga.da
دادگایی	.dad.ga.yî
دادوەرییەکان	.dad.we.rî.ye.kan
دادئەستێن	.dad.ʔes.tên
دادئەستێنیی	.dad.ʔes.tê.nîy
دادەشکێ	.da.deş.kê
دادەشکێتەوە	.da.deş.kê.te.we
دادەمەزرێندرێ	.da.de.mez.rên.di.rê
دادەمەزرێنن	.da.de.mez.rê.nin
دادەنرێن	.da.de.ni.rên
دادەنێردرێن	.da.de.nêr.di.rên
دادەنێن	.da.de.nên
دارێژراوە	.da.rêj.ra.we
داڕشتنی	.da.řiş.ti.nî
داڕووخانی	.da.řû.xa.nî
داڕووخانە	.da.řû.xa.ne
داڕێژاندنی	.da.řê.jan.di.nî
داڕێژانی	.da.řê.ja.nî
داڕێژراو	.da.řêj.raw
داڕێژەران	.da.řê.je.ran
داڕێژەرانی	.da.řê.je.ra.nî
داڕێژەری	.da.řê.je.rî
داڕێژەرەکانی	.da.řê.je.re.ka.nî
داساکاندن	.da.sa.kan.din
داسەپان	.da.se.pan
داسەپاند	.da.se.pand
داسەپاندن	.da.se.pan.din
داسەپانیان	.da.se.pan.yan
داسەپێندراوە	.da.se.pên.di.ra.we
داشکانێکی	.da.şi.ka.nê.kî
داشکانی	.da.şi.ka.nî
داشکانەوە	.da.şi.ka.ne.we
داکۆکی	.da.ko.kî
داگرتن	.da.gir.tin
داگیر	.da.gîr
داگیرکرا	.da.gîr.ki.ra
داگیرکرد	.da.gîr.kird
داگیرکردبوون	.da.gîr.kir.di.bûn
داگیریان	.da.gîr.yan
دام	.dam
دامرکاندنی	.da.mir.kan.di.nî
دامرکاودا	.da.mir.kaw.da
دامڕشتبوو	.dam.řiş.ti.bû
دامەزرا	.da.mez.ra
دامەزرابوون	.da.mez.ra.bûn
دامەزراند	.da.mez.rand
دامەزراندنی	.da.mez.ran.di.nî
دامەزراندووە	.da.mez.ran.du.we
دامەزرانی	.da.mez.ra.nî
دامەزراون	.da.mez.ra.win
دامەزراوە	.da.mez.ra.we
دامەزراوەیەکی	.da.mez.ra.we.ye.kî
دامەزرێندراون	.da.mez.rên.di.ra.win
دامەزرێندراوە	.da.mez.rên.di.ra.we
دامەزرێندرێ	.da.mez.rên.di.rê
دامەزرێنێ	.da.mez.rê.nê
دامەوە	.da.me.we
دان	.dan
دانا	.da.na
دانابوون	.da.na.bûn
دانان	.da.nan
دانانی	.da.na.nî
داناون	.da.na.win
داناوە	.da.na.we
دانراوە	.da.ni.ra.we
دانووستانی	.da.nûs.ta.nî
دانێن	.da.nên
دانی	.da.nî
دانیشتووان	.da.nîş.tu.wan
دانیشتوواندا	.da.nîş.tu.wan.da
دانیشتووانی	.da.nîş.tu.wa.nî
دانیشتووانە	.da.nîş.tu.wa.ne
دانیشتووایەتیدا	.da.nîş.tu.wa.ye.tî.da
دانیشتووایەتیی	.da.nîş.tu.wa.ye.tîy
دانیشتووایەتییان	.da.nîş.tu.wa.ye.tî.yan
دانیشتوون	.da.nîş.tûn
دانیشتووی	.da.nîş.tûy
دانیشتووە	.da.nîş.tu.we
دانیشتووەکان	.da.nîş.tu.we.kan
دانیشووانی	.da.nî.şu.wa.nî
دانیشێنرابوون	.da.nî.şên.ra.bûn
دانیەل	.dan.yel
دانە	.da.ne
دانەبەزێنن	.da.ne.be.zê.nin
دانەمەزراندنی	.da.ne.mez.ran.di.nî
دانەوە	.da.ne.we
دانەوەی	.da.ne.wey
دانەیە	.da.ne.ye
داهاتوودا	.da.ha.tû.da
داهاتووشدا	.da.ha.tûş.da
داهاتووی	.da.ha.tûy
داهاتی	.da.ha.tî
داهێزانی	.da.hê.za.nî
داهێنانی	.da.hê.na.nî
داهێنران	.da.hên.ran
داهێنەرانی	.da.hê.ne.ra.nî
داوا	.da.wa
داواخوازانە	.da.wa.xwa.za.ne
داواخوازیی	.da.wa.xwa.zîy
داواکاریشی	.da.wa.ka.rî.şî
داواکاریی	.da.wa.ka.rîy
داواکارییان	.da.wa.ka.rî.yan
داواکاریییەکە	.da.wa.ka.rîy.ye.ke
داواکارییە	.da.wa.ka.rî.ye
داواکارییەکیان	.da.wa.ka.rî.yek.yan
داواکارییەکە	.da.wa.ka.rî.ye.ke
داواکارییەی	.da.wa.ka.rî.yey
داواکارەکانی	.da.wa.ka.re.ka.nî
داوای	.da.way
داون	.da.win
داونەتەوە	.daw.ne.te.we
داوە	.da.we
داوەتێ	.da.we.tê
دایانگرن	.da.yan.gi.rin
دایانمەزراندوون	.da.yan.mez.ran.dûn
دایدەنێن	.day.de.nên
دایک	.dayk
دایکی	.day.kî
دایکیان	.dayk.yan
دایکییان	.day.kî.yan
دایکەکان	.day.ke.kan
دایکەکانیانەوە	.day.ke.kan.ya.ne.we
ددانانم	.di.da.na.nim
درا	.di.ra
درابن	.di.ra.bin
درابوون	.di.ra.bûn
درابوویێ	.di.ra.bû.yê
درابێ	.di.ra.bê
دران	.di.ran
دراو	.di.raw
دراون	.di.ra.win
دراونەتەوە	.di.raw.ne.te.we
دراوێک	.di.ra.wêk
دراوێکی	.di.ra.wê.kî
دراوە	.di.ra.we
دراوەش	.di.ra.weş
دراوەوە	.di.ra.we.we
درکێندران	.dir.kên.di.ran
درنگی	.di.rin.gî
درۆ	.di.ro
درۆشمێکی	.di.roş.mê.kî
درۆشمەکەی	.di.roş.me.key
درێژخایەن	.di.rêj.xa.yen
درێژخایەنەکە	.di.rêj.xa.ye.ne.ke
درێژخایەنەوە	.di.rêj.xa.ye.ne.we
درێژی	.di.rê.jî
درێژیی	.di.rê.jîy
درێژەی	.di.rê.jey
درەنگ	.di.reng
دڕووتریشدایە	.di.řû.ti.rîş.da.ye
دزی	.di.zî
دزیی	.di.zîy
دزەکان	.di.ze.kan
دژ	.dij
دژایەتی	.di.ja.ye.tî
دژایەتیی	.di.ja.ye.tîy
دژایەتییان	.di.ja.ye.tî.yan
دژوارکردنەوەی	.dij.war.kir.di.ne.wey
دژوارە	.dij.wa.re
دژیان	.dij.yan
دلاوەر	.di.la.wer
دلاوەرێ	.di.la.we.rê
دڵە	.di.łe
دڵەڕاوکێی	.di.łe.řaw.kêy
دڵەکاندا	.di.łe.kan.da
دنە	.di.ne
دنەدەری	.di.ne.de.rî
دهۆکی	.di.ho.kî
دواتر	.dwa.tir
دواتری	.dwa.ti.rî
دواتریش	.dwa.ti.rîş
دواکەوت	.dwa.kewt
دواکەوتنی	.dwa.kew.ti.nî
دواکەوتنە	.dwa.kew.ti.ne
دوام	.dwam
دوان	.dwan
دواون	.dwa.win
دوای	.dway
دوایی	.dwa.yî
دواییانەدا	.dway.ya.ne.da
دوایین	.dwa.yîn
دواییی	.dwa.yîy
دوایییانە	.dwa.yî.ya.ne
دوایییانەدا	.dwa.yî.ya.ne.da
دوستاخ	.dus.tax
دولاری	.du.la.rî
دوو	.dû
دووبەڵا	.dû.be.ła
دوور	.dûr
دووردەست	.dûr.dest
دوورلەبڕوای	.dûr.le.biř.way
دوورە	.dû.re
دوورەنگی	.dû.ren.gî
دوورەوڵاتیدا	.dû.re.wi.ła.tî.da
دووزمانە	.dû.zi.ma.ne
دووزمانەکان	.dû.zi.ma.ne.kan
دووکانەکانی	.dû.ka.ne.ka.nî
دووگۆلی	.dû.go.lî
دوولایەنەی	.dû.la.ye.ney
دووهەم	.dû.hem
دووهەمدا	.dû.hem.da
دووهەمی	.dû.he.mî
دووهەمیان	.dû.hem.yan
دووهەمین	.dû.he.mîn
دووهەمەکە	.dû.he.me.ke
دووهەمەکەشیان	.dû.he.me.keş.yan
دووی	.dûy
دۆخێکدا	.do.xêk.da
دۆخێکی	.do.xê.kî
دۆخی	.do.xî
دۆخە	.do.xe
دۆخەدا	.do.xe.da
دۆخەشدا	.do.xeş.da
دۆخەکە	.do.xe.ke
دۆزراوەکانم	.doz.ra.we.ka.nim
دۆزراوەکانی	.doz.ra.we.ka.nî
دۆزیبووەوە	.do.zî.bu.we.we
دۆزیونەتەوە	.do.zîw.ne.te.we
دۆسیە	.dos.ye
دۆسیەکانی	.dos.ye.ka.nî
دۆسیەکەیان	.dos.ye.ke.yan
دۆسیەگەلی	.dos.ye.ge.lî
دۆسیەی	.dos.yey
دۆسیەیەکی	.dos.ye.ye.kî
دۆقان	.do.qan
دۆلاری	.do.la.rî
دێ	.dê
دێپارتمانی	.dê.par.ti.ma.nî
دێت	.dêt
دێتە	.dê.te
دێرسم	.dêr.sim
دێرک	.dê.rik
دێڕان	.dê.řan
دێڕانە	.dê.řa.ne
دێفۆ	.dê.fo
دێنن	.dê.nin
دێننە	.dê.ni.ne
دێنێ	.dê.nê
دی	.dî
دیا	.dya
دیار	.dyar
دیاربەکر	.dyar.be.kir
دیاربەکردا	.dyar.be.kir.da
دیاربەکردایە	.dyar.be.kir.da.ye
دیاربەکرن	.dyar.be.ki.rin
دیاربەکرێ	.dyar.be.ki.rê
دیاربەکری	.dyar.be.ki.rî
دیاربەکریش	.dyar.be.ki.rîş
دیاربەکرە	.dyar.be.ki.re
دیاربەکرەوە	.dyar.be.ki.re.we
دیاردەگەلێکی	.dyar.de.ge.lê.kî
دیاردەیەکی	.dyar.de.ye.kî
دیاری	.dya.rî
دیاریکراو	.dya.rî.ki.raw
دیاریکراودا	.dya.rî.ki.raw.da
دیارە	.dya.re
دیبوونیەوە	.dî.bûn.ye.we
دیت	.dît
دیتم	.dî.tim
دیتمەوە	.dît.me.we
دیتەوە	.dî.te.we
دیجیتاڵی	.dî.cî.ta.łî
دیسانەوە	.dî.sa.ne.we
دیش	.dîş
دیکە	.dî.ke
دیکەش	.dî.keş
دیکەشی	.dî.ke.şî
دیکەشیان	.dî.keş.yan
دیکەشەوە	.dî.ke.şe.we
دیکەی	.dî.key
دیموکراتی	.dî.muk.ra.tî
دیمۆکراتیکە	.dî.mok.ra.tî.ke
دیمۆکراتیکەکانی	.dî.mok.ra.tî.ke.ka.nî
دیونەتەوە	.dîw.ne.te.we
دیویانە	.dîw.ya.ne
دیوە	.dî.we
دیوەتەوە	.dî.we.te.we
دە	.de
دەبا	.de.ba
دەبرا	.de.bi.ra
دەبرد	.de.bird
دەبردن	.de.bir.din
دەبردە	.de.bir.de
دەبرێ	.deb.rê
دەبرێن	.deb.rên
دەبن	.de.bin
دەبنە	.de.bi.ne
دەبنەوە	.de.bi.ne.we
دەبوو	.de.bû
دەبوون	.de.bûn
دەبووە	.de.bu.we
دەبێ	.de.bê
دەبێتەوە	.de.bê.te.we
دەبیست	.de.bîst
دەبین	.de.bîn
دەبیندرا	.de.bîn.di.ra
دەبیندرێ	.de.bîn.di.rê
دەبیندرێنەوە	.de.bîn.di.rê.ne.we
دەبینرێ	.de.bîn.rê
دەبینرێن	.de.bîn.rên
دەبینن	.de.bî.nin
دەبینێ	.de.bî.nê
دەبینین	.de.bî.nîn
دەبەن	.de.ben
دەبەنگ	.de.beng
دەبەی	.de.bey
دەپارێزرێ	.de.pa.rêz.rê
دەپرسا	.de.pir.sa
دەپرینگانەوە	.de.pi.rîn.ga.ne.we
دەپەرمنە	.de.per.mi.ne
دەپەیڤن	.de.pey.vin
دەتاراند	.de.ta.rand
دەتواندرێ	.de.twan.di.rê
دەتواندرێن	.de.twan.di.rên
دەتوانرێ	.de.twan.rê
دەتوانن	.de.twa.nin
دەتوانێ	.de.twa.nê
دەتوانین	.de.twa.nîn
دەجووڵانەوەی	.de.cû.ła.ne.wey
دەجووڵێنەوە	.de.cû.łê.ne.we
دەچن	.de.çin
دەچنە	.de.çi.ne
دەچوو	.de.çû
دەچووقاند	.de.çû.qand
دەچوومەوە	.de.çû.me.we
دەچوون	.de.çûn
دەچووە	.de.çu.we
دەچێ	.de.çê
دەخا	.de.xa
دەخایێنێ	.de.xa.yê.nê
دەخران	.de.xi.ran
دەخرێن	.de.xi.rên
دەخوێندرانەوە	.dex.wên.di.ra.ne.we
دەخوێننەوە	.de.xwê.ni.ne.we
دەخۆڕی	.de.xo.řî
دەخەمڵێندرێ	.de.xem.łên.di.rê
دەدا	.de.da
دەدام	.de.dam
دەدامەوە	.de.da.me.we
دەدان	.de.dan
دەدانێ	.de.da.nê
دەدرا	.de.di.ra
دەدران	.de.di.ran
دەدرێ	.de.di.rê
دەدرێن	.de.di.rên
دەدن	.de.din
دەدوان	.ded.wan
دەدۆزرایەوە	.de.doz.ra.ye.we
دەدۆزرێنەوە	.de.doz.rê.ne.we
دەدەن	.de.den
دەدەنێ	.de.de.nê
دەدەنەوە	.de.de.ne.we
دەدەین	.de.deyn
دەرباز	.der.baz
دەرببڕیبا	.der.bib.řî.ba
دەربخات	.der.bi.xat
دەربڕیبوو	.der.bi.řî.bû
دەربڕینی	.der.bi.řî.nî
دەرخست	.der.xist
دەرخستم	.der.xis.tim
دەرخستووە	.der.xis.tu.we
دەردەبڕی	.der.deb.řî
دەردەخا	.der.de.xa
دەردەخات	.der.de.xat
دەردەکەوت	.der.de.kewt
دەردەکەون	.der.de.ke.win
دەردەکەوێ	.der.de.ke.wê
دەرفەت	.der.fet
دەرفەتێکیان	.der.fe.têk.yan
دەرفەتی	.der.fe.tî
دەرفەتە	.der.fe.te
دەرکرا	.der.ki.ra
دەرکەوت	.der.kewt
دەرکەوتن	.der.kew.tin
دەرکەوتوون	.der.kew.tûn
دەرکەوێ	.der.ke.wê
دەرناخا	.der.na.xa
دەرنەکەوتووە	.der.ne.kew.tu.we
دەرهاتنی	.der.ha.ti.nî
دەرووی	.de.rûy
دەریانخست	.der.yan.xist
دەرئەنجامێکی	.der.ʔen.ca.mê.kî
دەرەبەگانەدا	.de.re.be.ga.ne.da
دەرەوەی	.de.re.wey
دەڕۆن	.de.řon
دەزاندران	.de.zan.di.ran
دەزانم	.de.za.nim
دەزانن	.de.za.nin
دەزانێ	.de.za.nê
دەزانین	.de.za.nîn
دەزگە	.dez.ge
دەزگەی	.dez.gey
دەژی	.de.jî
دەژیان	.dej.yan
دەژین	.de.jîn
دەسبەسەرکردنی	.des.be.ser.kir.di.nî
دەسپێرن	.des.pê.rin
دەست	.dest
دەستبەدەست	.dest.be.dest
دەستبەست	.dest.best
دەستپێکی	.dest.pê.kî
دەستدا	.dest.da
دەستکەوتی	.dest.kew.tî
دەستکەوتە	.dest.kew.te
دەستکەوتەکانی	.dest.kew.te.ka.nî
دەستگیرکراوەکانیش	.dest.gîr.ki.ra.we.ka.nîş
دەستنووس	.dest.nûs
دەستنووسانێک	.dest.nû.sa.nêk
دەستنووسە	.dest.nû.se
دەستنووسەکانی	.dest.nû.se.ka.nî
دەستنووسەکانیان	.dest.nû.se.kan.yan
دەستوور	.des.tûr
دەستووری	.des.tû.rî
