ও	oː
DQ	(͡e͡n)dˌiːkjˈuː(͡b͡n)
Down	(͡e͡n)dˈa͡ʊn(͡b͡n)
El	(͡e͡n)ˌɛl(͡b͡n)
Energy	(͡e͡n)ˈɛnəd͡ʒi(͡b͡n)
Engineering	(͡e͡n)ˌɛnd͡ʒɪnˈi͡əɹɪŋ(͡b͡n)
Family	(͡e͡n)fˈamɪli(͡b͡n)
Frith	(͡e͡n)fɹˈɪθ(͡b͡n)
Geographic	(͡e͡n)d͡ʒˌɪəɡɹˈafɪk(͡b͡n)
Golden	(͡e͡n)ɡˈə͡ʊldən(͡b͡n)
Hall	(͡e͡n)hˈɔːl(͡b͡n)
Hardy	(͡e͡n)hˈɑːdi(͡b͡n)
Japanese	(͡e͡n)d͡ʒˌapənˈiːz(͡b͡n)
King	(͡e͡n)kˈɪŋ(͡b͡n)
Land	(͡e͡n)lˈand(͡b͡n)
Lord	(͡e͡n)lˈɔːd(͡b͡n)
Magazine	(͡e͡n)mˌaɡɐzˈiːn(͡b͡n)
Mind	(͡e͡n)mˈa͡ɪnd(͡b͡n)
Muslims	(͡e͡n)mˈʊzlɪmz(͡b͡n)
NO	(͡e͡n)nˈə͡ʊ(͡b͡n)
Naja	(͡e͡n)nˈɑːd͡ʒə(͡b͡n)
Norman	(͡e͡n)nˈɔːmən(͡b͡n)
Old	(͡e͡n)ˈə͡ʊld(͡b͡n)
Palace	(͡e͡n)pˈalɪs(͡b͡n)
Paris	(͡e͡n)pˈaɹɪs(͡b͡n)
Part	(͡e͡n)pˈɑːt(͡b͡n)
Phelps	(͡e͡n)fˈɛlps(͡b͡n)
Pope	(͡e͡n)pˈə͡ʊp(͡b͡n)
Post	(͡e͡n)pˈə͡ʊst(͡b͡n)
Report	(͡e͡n)ɹɪpˈɔːt(͡b͡n)
Revolt	(͡e͡n)ɹɪvˈə͡ʊlt(͡b͡n)
Series	(͡e͡n)sˈi͡əɹiz(͡b͡n)
Sexual	(͡e͡n)sˈɛkʃuːə͡l(͡b͡n)
Star	(͡e͡n)stˈɑː(͡b͡n)
Stephen	(͡e͡n)stˈiːvən(͡b͡n)
Surface	(͡e͡n)sˈɜːfɪs(͡b͡n)
Survey	(͡e͡n)sˈɜːve͡ɪ(͡b͡n)
Technology	(͡e͡n)tɛknˈɒləd͡ʒi(͡b͡n)
USA	(͡e͡n)jˌuːˌɛsˈe͡ɪ(͡b͡n)
Western	(͡e͡n)wˈɛstən(͡b͡n)
Year	(͡e͡n)jˈi͡ə(͡b͡n)
are	(͡e͡n)ɑː(͡b͡n)
del	(͡e͡n)dˈɛl(͡b͡n)
development	(͡e͡n)dɪvˈɛləpmənt(͡b͡n)
gray	(͡e͡n)ɡɹˈe͡ɪ(͡b͡n)
le	(͡e͡n)lə(͡b͡n)
love	(͡e͡n)lˈʌv(͡b͡n)
my	(͡e͡n)mˈa͡ɪ(͡b͡n)
was	(͡e͡n)wɒz(͡b͡n)
École	(͡e͡n)ɪkˈə͡ʊl(͡b͡n)
à	(͡e͡n)a(͡b͡n)
مسجد	(͡e͡n)ˈaɹəbɪkmˈiːm ˈaɹəbɪksˈiːn ˈaɹəbɪkd͡ʒˈiːm ˈaɹəbɪkdˈal1(͡b͡n)
আইআরএ	ˈaiˌaɾɔˌe
আইএইএ	ˈaiˌeiˌe
আইএলও	ˈaiˌelɔˌoː
আইজল	ˈaiɟˌɔl
আকরম	ˈakɔɾˌɔm
আদব	ˈadɔb
আরএনএর	ˈaɾɔˌenɔˌeɾ
ইউএইচএফ	ˈiuˌeit͡ʃˌɔef
ইউন	ˈiun
ইএফএল	ˈiefˌɔel
ইক	ˈik
উওর	ˈuoːɾ
উরস	ˈuɾɔʃ
একজনই	ˈekɔɟˌɔnɔˌi
এসইউ	ˈeʃɔˌiu
এসএফ	ˈeʃɔˌef
ওল	ˈoːl
কও	kˈɔoː
কখ	kˈɔkʰ
কবচ	kˈɔbɔt͡ʃ
খবরও	kʰˈɔbɔɾˌɔoː
ছল	t͡ʃʰˈɔl
জগন	ɟˈɔɡɔn
জনসহ	ɟˈɔnɔʃˌɔho
ডলস	ɖˈɔlɔʃ
ধমক	dʰˈɔmɔk
ধরনও	dʰˈɔɾɔnˌɔoː
নটস	nˈɔʈɔʃ
ফলজ	fˈɔlɔɟ
বলবন	bˈɔlɔbˌɔn
শবর	ʃˈɔbɔɾ
শমথ	ʃˈɔmɔtʰ
শর	ʃˈɔɾ
সমন	ʃˈɔmɔn
হকস	hˈɔkɔʃ
ANE	(͡e͡n)ˈe͡ɪn(͡b͡n)
Alessi	(͡e͡n)ɐlˈɛsi(͡b͡n)
And	(͡e͡n)and(͡b͡n)
Arthur	(͡e͡n)ˈɑːθə(͡b͡n)
Berkeley	(͡e͡n)bˈɜːkli(͡b͡n)
Biography	(͡e͡n)ba͡ɪˈɒɡɹəfi(͡b͡n)
Blue	(͡e͡n)blˈuː(͡b͡n)
Bond	(͡e͡n)bˈɒnd(͡b͡n)
Bose	(͡e͡n)bˈə͡ʊs(͡b͡n)
Bowden	(͡e͡n)bˈə͡ʊdən(͡b͡n)
Carl	(͡e͡n)kˈɑːl(͡b͡n)
Chinese	(͡e͡n)t͡ʃa͡ɪnˈiːz(͡b͡n)
Chittagong	(͡e͡n)t͡ʃˈɪtaɡəŋɡ(͡b͡n)
Cricketer	(͡e͡n)kɹˈɪkɛtə(͡b͡n)
DC	(͡e͡n)dˌiːsˈiː(͡b͡n)
Daily	(͡e͡n)dˈe͡ɪli(͡b͡n)
Dark	(͡e͡n)dˈɑːk(͡b͡n)
Eastern	(͡e͡n)ˈiːstən(͡b͡n)
European	(͡e͡n)jˌʊ͡əɹəpˈi͡ən(͡b͡n)
French	(͡e͡n)fɹˈɛnt͡ʃ(͡b͡n)
Horse	(͡e͡n)hˈɔːs(͡b͡n)
Iran	(͡e͡n)ɪɹˈan(͡b͡n)
JPEG	(͡e͡n)d͡ʒˈe͡ɪpˈɛɡ(͡b͡n)
Jerusalem	(͡e͡n)d͡ʒəɹˈuːsələm(͡b͡n)
Lawrence	(͡e͡n)lˈɒɹəns(͡b͡n)
Lewis	(͡e͡n)lˈuːɪs(͡b͡n)
Management	(͡e͡n)mˈanɪd͡ʒmənt(͡b͡n)
Master	(͡e͡n)mˈastə(͡b͡n)
Mehta	(͡e͡n)mˈe͡ɪtə(͡b͡n)
Military	(͡e͡n)mˈɪlɪtəɹi(͡b͡n)
Nb	(͡e͡n)ˌɛnbˈiː(͡b͡n)
Review	(͡e͡n)ɹɪvjˈuː(͡b͡n)
River	(͡e͡n)ɹˈɪvə(͡b͡n)
Rome	(͡e͡n)ɹˈə͡ʊm(͡b͡n)
Sastri	(͡e͡n)sˈastɹi(͡b͡n)
Simon	(͡e͡n)sˈa͡ɪmən(͡b͡n)
Special	(͡e͡n)spˈɛʃə͡l(͡b͡n)
Sr	(͡e͡n)ˌɛsˈɑː(͡b͡n)
Statistical	(͡e͡n)stɐtˈɪstɪkə͡l(͡b͡n)
TV	(͡e͡n)tˌiːvˈiː(͡b͡n)
Third	(͡e͡n)θˈɜːd(͡b͡n)
Thompson	(͡e͡n)tˈɒmpsən(͡b͡n)
UFO	(͡e͡n)jˌuːˌɛfˈə͡ʊ(͡b͡n)
Walter	(͡e͡n)wˈɒltə(͡b͡n)
XX	(͡e͡n)ɹˌə͡ʊmən twˈɛnti(͡b͡n)
analysis	(͡e͡n)ɐnˈaləsˌɪs(͡b͡n)
history	(͡e͡n)hˈɪstəɹi(͡b͡n)
knowledge	(͡e͡n)nˈɒlɪd͡ʒ(͡b͡n)
née	(͡e͡n)nˈe͡ɪ(͡b͡n)
sin	(͡e͡n)sˈɪn(͡b͡n)
that	(͡e͡n)ðˈat(͡b͡n)
μ	(͡e͡l)mˈi(͡b͡n)
অবশ	ˈɔbɔʃ
আইএফএ	ˈaiˌefɔˌe
আইনই	ˈainˌɔi
আছ	ˈat͡ʃʰ
আতপ	ˈatɔp
আরএম	ˈaɾɔˌem
ইউএমএনও	ˈiuˌemɔˌenɔˌoː
ইও	ˈioː
ইসকন	ˈiʃɔkˌɔn
ঈষদ	ˈiʃɔd
এইচএএল	ˈeit͡ʃˌɔeˌel
এটম	ˈeʈɔm
এপস	ˈepɔʃ
এফআরএস	ˈefɔˌaɾɔˌeʃ
এফএফ	ˈefɔˌef
এবন	ˈebɔn
এরল	ˈeɾɔl
এসএন	ˈeʃɔˌen
ওট	ˈoːʈ
ঔ	ˈow
কলন	kˈɔlɔn
চরন	t͡ʃˈɔɾɔn
তসর	tˈɔʃɔɾ
ধকল	dʰˈɔkɔl
নঈম	nˈoim
নবতর	nˈɔbɔtˌɔɾ
নম	nˈɔm
নরউইচ	nˈɔɾɔˌuit͡ʃ
নসরত	nˈɔʃɔɾˌɔto
পথই	pˈɔtʰɔˌi
পন	pˈɔn
বকশ	bˈɔkɔʃ
মগজ	mˈɔɡɔɟ
মব	mˈɔb
রওনক	ɾˈooːnˌɔk
শতদল	ʃˈɔtɔdˌɔl
হউক	hˈouk
হগ	hˈɔɡ
AD	(͡e͡n)ˈad(͡b͡n)
Ahmad	(͡e͡n)ˈɑːmad(͡b͡n)
Air	(͡e͡n)ˈe͡ə(͡b͡n)
Australia	(͡e͡n)ɒstɹˈe͡ɪli͡ə(͡b͡n)
Australian	(͡e͡n)ɒstɹˈe͡ɪli͡ən(͡b͡n)
Basic	(͡e͡n)bˈe͡ɪsɪk(͡b͡n)
Battle	(͡e͡n)bˈatə͡l(͡b͡n)
Bi	(͡e͡n)bˈa͡ɪ(͡b͡n)
Canada	(͡e͡n)kˈanədə(͡b͡n)
Chemical	(͡e͡n)kˈɛmɪkə͡l(͡b͡n)
Church	(͡e͡n)t͡ʃˈɜːt͡ʃ(͡b͡n)
Don	(͡e͡n)dˈɒn(͡b͡n)
Douglas	(͡e͡n)dˈʌɡləz(͡b͡n)
Edward	(͡e͡n)ˈɛdwəd(͡b͡n)
Film	(͡e͡n)fˈɪlm(͡b͡n)
France	(͡e͡n)fɹˈans(͡b͡n)
Gandhi	(͡e͡n)ɡˈɑːndi(͡b͡n)
Geographical	(͡e͡n)d͡ʒˌɪəɡɹˈafɪkə͡l(͡b͡n)
Grammar	(͡e͡n)ɡɹˈamə(͡b͡n)
Ian	(͡e͡n)ˈiːən(͡b͡n)
Island	(͡e͡n)ˈa͡ɪlənd(͡b͡n)
LED	(͡e͡n)lˈɛd(͡b͡n)
LR	(͡e͡n)ˌɛlˈɑː(͡b͡n)
Ludwig	(͡e͡n)lˈʌdwɪɡ(͡b͡n)
Magic	(͡e͡n)mˈad͡ʒɪk(͡b͡n)
Medieval	(͡e͡n)mˈɛdɪˌiːvə͡l(͡b͡n)
Peace	(͡e͡n)pˈiːs(͡b͡n)
Physics	(͡e͡n)fˈɪzɪks(͡b͡n)
Princeton	(͡e͡n)pɹˈɪnstən(͡b͡n)
Professor	(͡e͡n)pɹəfˈɛsə(͡b͡n)
Programme	(͡e͡n)pɹˈə͡ʊɡɹam(͡b͡n)
Quran	(͡e͡n)kwəɹˈan(͡b͡n)
REM	(͡e͡n)ɹˈɛm(͡b͡n)
Ray	(͡e͡n)ɹˈe͡ɪ(͡b͡n)
Reu	(͡e͡n)ɹˈuː(͡b͡n)
Roman	(͡e͡n)ɹˈə͡ʊmən(͡b͡n)
Rose	(͡e͡n)ɹˈə͡ʊz(͡b͡n)
Russia	(͡e͡n)ɹˈʌʃə(͡b͡n)
Schaller	(͡e͡n)ʃˈɔːlə(͡b͡n)
Sea	(͡e͡n)sˈiː(͡b͡n)
Section	(͡e͡n)sˈɛkʃən(͡b͡n)
Sri	(͡e͡n)sɹˌiː(͡b͡n)
St	(͡e͡n)sənt(͡b͡n)
Steinhardt	(͡e͡n)stˈa͡ɪnhɑːt(͡b͡n)
Systems	(͡e͡n)sˈɪstəmz(͡b͡n)
Three	(͡e͡n)θɹˈiː(͡b͡n)
Tibet	(͡e͡n)tɪbˈɛt(͡b͡n)
Trade	(͡e͡n)tɹˈe͡ɪd(͡b͡n)
VI	(͡e͡n)vˌiːˈa͡ɪ(͡b͡n)
WHG	(͡e͡n)dˌʌbə͡ljˌuːˌe͡ɪt͡ʃd͡ʒˈiː(͡b͡n)
What	(͡e͡n)wˌɒt(͡b͡n)
Woodhouse	(͡e͡n)wˈʊdha͡ʊs(͡b͡n)
Work	(͡e͡n)wˈɜːk(͡b͡n)
Young	(͡e͡n)jˈʌŋ(͡b͡n)
Zn	(͡e͡n)zˌɛdˈɛn(͡b͡n)
coli	(͡e͡n)kˈə͡ʊli(͡b͡n)
common	(͡e͡n)kˈɒmən(͡b͡n)
data	(͡e͡n)dˈe͡ɪtə(͡b͡n)
family	(͡e͡n)fˈamɪli(͡b͡n)
its	(͡e͡n)ɪts(͡b͡n)
life	(͡e͡n)lˈa͡ɪf(͡b͡n)
light	(͡e͡n)lˈa͡ɪt(͡b͡n)
man	(͡e͡n)mˈan(͡b͡n)
people	(͡e͡n)pˈiːpə͡l(͡b͡n)
second	(͡e͡n)sˈɛkənd(͡b͡n)
series	(͡e͡n)sˈi͡əɹiz(͡b͡n)
social	(͡e͡n)sˈə͡ʊʃə͡l(͡b͡n)
space	(͡e͡n)spˈe͡ɪs(͡b͡n)
syndrome	(͡e͡n)sˈɪndɹə͡ʊm(͡b͡n)
up	(͡e͡n)ˈʌp(͡b͡n)
zooxanthellae	(͡e͡n)zˈuːksanθˌɛliː(͡b͡n)
λ	(͡e͡l)lˈamða(͡b͡n)
ρ	(͡e͡l)rˈo(͡b͡n)
অক	ˈɔk
অবকলন	ˈɔbɔkˌɔlɔn
অমন	ˈɔmɔn
আইআরএস	ˈaiˌaɾɔˌeʃ
আইএসআইএস	ˈaiˌeʃɔˌaiˌeʃ
আইরন	ˈaiɾˌɔn
আওর	ˈaoːɾ
আপদ	ˈapɔd
আরএল	ˈaɾɔˌel
আসনই	ˈaʃɔnˌɔi
আহ	ˈaho
ইইই	ˈiiˌi
ইএসএ	ˈieʃˌɔe
উইলমট	ˈuilˌɔmɔʈ
উদগত	ˈudɔɡˌɔto
উপনগর	ˈupɔnˌɔɡɔɾ
উৎকট	ˈutkɔʈ
এএফএম	ˈeefˌɔem
এএফএল	ˈeefˌɔel
এএসএন	ˈeeʃˌɔen
একল	ˈekɔl
এনএসএ	ˈenɔˌeʃɔˌe
এনএসএস	ˈenɔˌeʃɔˌeʃ
এমআরএনএর	ˈemɔˌaɾɔˌenɔˌeɾ
এমই	ˈemɔˌi
এররস	ˈeɾɔɾˌɔʃ
এসএসআই	ˈeʃɔˌeʃɔˌai
ওউ	ˈoːu
ওজ	ˈoːɟ
ওজনও	ˈoːɟɔnˌɔoː
ওলফ	ˈoːlɔf
ওহম	ˈoːhɔm
কব	kˈɔb
কমলনগর	kˈɔmɔlˌɔnɔɡˌɔɾ
গথ	ɡˈɔtʰ
গমণ	ɡˈɔmɔn
চপ	t͡ʃˈɔp
চলল	t͡ʃˈɔlɔl
ছ	t͡ʃhˈɔ
ছট	t͡ʃʰˈɔʈ
জনগণও	ɟˈɔnɔɡˌɔnɔˌoː
জলকদর	ɟˈɔlɔkˌɔdɔɾ
ঝলমল	ɟʰˈɔlɔmˌɔl
ঞ	ˈiŋɔ̃
ট	ʈˈɔ
টগর	ʈˈɔɡɔɾ
টল	ʈˈɔl
তখত	tˈɔkʰɔtˌo
তব	tˈɔb
পড	pˈɔɖ
পরত	pˈɔɾɔtˌo
ফগ	fˈɔɡ
বইই	bˈoiˌi
মতনই	mˈɔtɔnˌɔi
লকড	lˈɔkɔɖ
শরদ	ʃˈɔɾɔd
সক	ʃˈɔk
সকলই	ʃˈɔkɔlˌɔi
সতত	ʃˈɔtɔtˌo
সফলও	ʃˈɔfɔlˌɔoː
হইচই	hˈoit͡ʃˌɔi
হফ	hˈɔf
