тата	tˈata
пĕлтернĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l t jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пушă	p ˈʊ ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пытарнă	p ˈɯ t ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
урам	ˈuɾam
хулине	xulˈinɛ
экономика	ˌekonomˈika
этем	ˈetɛm
ĕмĕрсенче	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r s jˈæ n t͡ʃ jˈɛ
Британи	britˈanɪ
Иванов	ivˈanɔv
Кивĕ	k ˈɪ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Мускаври	mʊskˈavrɪ
аркатнă	ˈa r k ˈa t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
истори	ɪstˈoɾɪ
кĕске	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s k jˈɛ
паракан	paɾˈakan
пичетленĕ	p ˈɪ t͡ʃ jˈɛ t l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пурнăçа	p ˈʊ r n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈa
сасă	s ˈa s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăвать	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa t
тан	tˈan
тухма	tˈʊxma
тытăнаççĕ	t ˈɯ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
хăйсене	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j s jˈæ n jˈɛ
хĕр	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
шута	ʃˈuta
çутçанталăк	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ t (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa n t ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
Михайлович	mˌixajlˈovɪt͡ʃ
Раççейри	r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ(͡c͡v) jˈɛ j r ˈɪ
айĕнче	ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
апат	ˈapat
витĕр	v ˈɪ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
кайса	kˈajsa
капитан	kapˈitan
раççей	r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ(͡c͡v) jˈɛ j
районĕнче	r ˈa j ˈɔ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
тăрăхĕнче	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
туртса	tˈʊrtsa
университечĕн	ˈʊ n ˈɪ v jˈɛ r s ˈɪ t jˈɛ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
унтан	ˈʊntan
яланах	jalˈanax
çĕнтерсе	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n t jˈɛ r s jˈɛ
çĕрĕ	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çынсен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n s jˈæ n
Анат	ˈanat
Кун	kˈʊn
Хусан	xˈusan
аталаннă	ˈa t ˈa l ˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
иртсен	ˈɪrtsɛn
йывăç	j ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
кайăк	k ˈa j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
пуçланать	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa n ˈa t
пухнă	p ˈʊ x n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тĕрлĕрен	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n
тапхăрта	t ˈa p x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t ˈa
тытнă	t ˈɯ t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хими	xˈimɪ
хурать	xˈuɾat
чăвашсен	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ s jˈæ n
шутĕнче	ʃ ˈʊ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
ята	jˈata
Çавна	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v n ˈa
çĕрте	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r t jˈɛ
çапăçура	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r ˈa
çемьинче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈæ m ʲ ˈɪ n t͡ʃ jˈɛ
çыранпа	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa n p ˈa
çыхăну	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈʊ
ăслăх	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
Раççейре	r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ(͡c͡v) jˈɛ j r jˈɛ
Хĕвел	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v jˈæ l
акăлчан	ˈa k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l t͡ʃ ˈa n
ирĕклĕ	ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
лауреачĕ	l ˈa ˈʊ r jˈɛ ˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
паянхи	pajˈanxɪ
сайра	sˈajra
тăвас	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa s
тĕнчере	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ r jˈɛ
юрă	jˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
яраççĕ	jˈa r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
XIX	(͡e͡n)ˈɛks ˈa͡ɪ ˈɛks(͡c͡v)
çурçĕрелле	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r jˈæ l l jˈɛ
ÿнер	(͡e͡n)wˌa͡ɪˈʊmla͡ʊt(͡c͡v) n jˈɛ r
ĕçлекен	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈɛ k jˈæ n
Алексей	alˈɛksɛj
Юлашки	julˈaʃkɪ
арçын	ˈa r (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n
вăрттăн	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
илемлĕ	ˈɪ l jˈæ m l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кăнтăралла	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa l l ˈa
кĕвĕ	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
калаççĕ	k ˈa l ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
каласан	kalˈasan
пĕтĕмпех	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m p jˈɛ x
пуçлать	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa t
суйласа	sʊjlˈasa
тăшман	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ m ˈa n
тĕлĕшпе	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ p jˈɛ
тĕс	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s
тӑрӑх	tˈɯɾɯx
ушкăнне	ˈʊ ʃ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n jˈɛ
хушамачĕ	x ˈʊ ʃ ˈa m ˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чухнех	t͡ʃˈʊxnɛx
шутлаççĕ	ʃ ˈʊ t l ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
ылтăн	ˈɯ l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
ют	jˈʊt
çырать	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa t
ăшă	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
бассейнĕ	b ˈa s s jˈɛ j n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вĕренӳ	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n ˈø
грек	ɡrˈɛk
ирĕк	ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
малтанах	maltˈanax
пайланать	pajlˈanat
пурăнан	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa n
тенине	tɛnˈinɛ
халăхĕн	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
хушă	x ˈʊ ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ыттисем	ɯttˈisɛm
ӳснĕ	ˈø s n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çу	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ
Вара	vˈaɾa
Канаш	kˈanaʃ
Мускавра	mʊskˈavra
Петрович	pɛtrˈovɪt͡ʃ
Тĕнче	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
Унсăр	ˈʊ n s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
Ытти	ˈɯttɪ
Юрий	jˈuɾɪj
авторĕ	ˈa v t ˈɔ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
иçĕм	ˈɪ (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) m
йышлă	j ˈɯ ʃ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пачах	pˈat͡ʃax
статья	stˈatja
тăрăхне	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x n jˈɛ
тарăн	t ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
уйрăмĕ	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хирĕçле	x ˈɪ r (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈɛ
ӳсет	ˈysɛt
çапăçнă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çапăçу	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈʊ
çирĕп	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p
Республики	rˌɛspʊblˈikɪ
Сергей	sˈɛrɡɛj
Хăй	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j
аса	ˈasa
институчĕн	ˈɪ n s t ˈɪ t ˈʊ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
килсе	kˈɪlsɛ
никам	nˈikam
пăрахнă	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa x n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пĕтнĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
патшалăхĕ	p ˈa t ʃ ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пысӑк	pˈɯsɯk
пӗр	pˈɵr
тăрăхĕн	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тапхăрĕ	t ˈa p x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
унӑн	ˈunɯn
франци	frˈant͡sɪ
хĕрĕ	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хыпарĕпе	x ˈɯ p ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
çĕрĕсене	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
Александрович	ˌalɛksandrˈovɪt͡ʃ
Анатолий	ˌanatˈolɪj
Атăлçи	ˈa t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
Канашĕн	k ˈa n ˈa ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Хусанти	xusˈantɪ
Чĕмпĕр	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
Шупашкара	ʃˌupaʃkˈaɾa
арăмĕ	ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
виççĕ	v ˈɪ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
виççĕмĕш	v ˈɪ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ
драма	drˈama
медицина	mˌɛdit͡sˈina
пĕтĕмĕшле	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ l jˈɛ
пункчĕ	p ˈʊ n k t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пурнăçĕ	p ˈʊ r n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
пуш	pˈʊʃ
реестрĕн	r jˈɛ jˈɛ s t r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тĕлне	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l n jˈɛ
тĕпчев	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p t͡ʃ jˈɛ v
тĕрĕк	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
тĕрĕс	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s
уйăрса	ˈʊ j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r s ˈa
упранса	ʊprˈansa
флочĕн	f l ˈɔ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
халăха	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x ˈa
хурса	xˈʊrsa
чĕлхинче	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ n t͡ʃ jˈɛ
эрех	ˈeɾɛx
эскадрилья	ˌɛskadrˈɪlja
Çакна	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k n ˈa
ăнăçлă	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Европа	jɛvrˈopa
Урал	ˈuɾal
Уса	ˈusa
Хăш	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ
вĕрентнĕ	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n t n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
йĕркеленнĕ	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r k jˈæ l jˈæ n n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кантон	kˈantɔn
каярахпа	kˌajaɾˈaxpa
лартаççĕ	l ˈa r t ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
патĕнчи	p ˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
тăма	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa
тĕллевпе	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l l jˈɛ v p jˈɛ
тивнĕ	t ˈɪ v n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тухакан	tuxˈakan
хыпар	xˈɯpar
чикĕ	t͡ʃ ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
XVIII	(͡e͡n)ˈɛks vˈiː ˈa͡ɪ ˈa͡ɪ ˈa͡ɪ(͡c͡v)
Çар	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r
çĕнĕрен	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n
Тата	tˈata
Ылтăн	ˈɯ l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
алла	ˈalla
аллине	allˈinɛ
га	ɡˈa
де	dˈɛ
пулă	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăрăхра	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x r ˈa
тапăнса	t ˈa p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s ˈa
температура	tˌɛmpɛɾatˈuɾa
уçă	ˈʊ (͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v)
умĕн	ˈʊ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
хушнă	x ˈʊ ʃ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
чĕлхепе	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x jˈɛ p jˈɛ
ялти	jˈaltɪ
ятарласа	jˌatarlˈasa
ҫине	çˈinɛ
XX	(͡e͡n)ˈɛks ˈɛks(͡c͡v)
çĕрсене	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r s jˈæ n jˈɛ
ĕçре	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) r jˈɛ
Вĕсенчен	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n t͡ʃ jˈæ n
Малтанхи	maltˈanxɪ
Пётр	pjˈɔtr
Шкул	ʃkˈʊl
ан	ˈan
бомблакан	bɔmblˈakan
взвочĕн	v z v ˈɔ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
вулăсне	v ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s n jˈɛ
кăштах	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ t ˈa x
кĕме	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m jˈɛ
кĕртеççĕ	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
кил	kˈɪl
куçать	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa t
куракан	kuɾˈakan
пăхсан	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x s ˈa n
пĕрре	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r r jˈɛ
панӑ	pˈanɯ
пуç	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v)
сĕннĕ	s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
сыхланса	sɯxlˈansa
текен	tˈɛkɛn
темелле	tɛmˈɛllɛ
тухаççĕ	t ˈʊ x ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
уйăх	ˈʊ j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
хураççĕ	x ˈʊ r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
чĕлхисен	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ s jˈæ n
юрать	jˈuɾat
ятĕнчен	jˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈæ n
çарĕсен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n
çӳреме	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø r jˈæ m jˈɛ
Енĕн	jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Казахстан	kazˈaxstan
Каярахпа	kˌajaɾˈaxpa
Константин	kɔnstˈantɪn
Темиçе	t jˈæ m ˈɪ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈɛ
Тинĕс	t ˈɪ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s
ачасене	ˌat͡ʃasˈɛnɛ
ватă	v ˈa t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
кайма	kˈajma
касса	kˈassa
китай	kˈitaj
маларах	malˈaɾax
миллион	mɪllˈiɔn
персе	pˈɛrsɛ
самай	sˈamaj
симĕс	s ˈɪ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s
тĕнне	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n n jˈɛ
тӳрех	tˈyɾɛx
хаçат	x ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa t
харпăр	x ˈa r p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
чĕрĕ	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
шайне	ʃˈajnɛ
шалти	ʃˈaltɪ
юпа	jˈupa
юханшывĕ	jˈʊ x ˈa n ʃ ˈɯ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ялтан	jˈaltan
ăслăлăх	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
ĕçсем	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) s jˈæ m
Наци	nˈat͡sɪ
Федерацин	fˌɛdɛɾˈat͡sɪn
артисчĕ	ˈa r t ˈɪ s t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
батальонĕн	b ˈa t ˈa l ʲ ˈɔ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
кăтартаççĕ	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa r t ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
кăшт	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ t
кӳлли	kˈøllɪ
лекет	lˈɛkɛt
мм	mm
округ	ˈɔkrʊɡ
палăртма	p ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t m ˈa
пиллĕк	p ˈɪ l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
провинцин	provˈɪnt͡sɪn
пуçланнă	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
секретарĕ	s jˈɛ k r jˈɛ t ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
сивĕ	s ˈɪ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тăтăшах	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈa x
тĕллĕн	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тĕслĕхрен	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x r jˈæ n
танлаштарсан	tˌanlaʃtˈarsan
тет	tˈɛt
тивет	tˈivɛt
хаклă	x ˈa k l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хутшăнать	x ˈʊ t ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa t
хушса	xˈʊʃsa
шкулĕ	ʃ k ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
шкулне	ʃkˈʊlnɛ
шучĕпе	ʃ ˈʊ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
шывĕ	ʃ ˈɯ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
