பல	pˈʌlʌ
Road	(͡e͡n)ɹˈə͡ʊd(͡t͡a)
Rose	(͡e͡n)ɹˈə͡ʊz(͡t͡a)
SIM	(͡e͡n)sˈɪm(͡t͡a)
SOA	(͡e͡n)sˈə͡ʊə(͡t͡a)
Second	(͡e͡n)sˈɛkənd(͡t͡a)
Secondary	(͡e͡n)sˈɛkəndəɹi(͡t͡a)
Simon	(͡e͡n)sˈa͡ɪmən(͡t͡a)
Sons	(͡e͡n)sˈʌnz(͡t͡a)
Southern	(͡e͡n)sˈʌðən(͡t͡a)
Taylor	(͡e͡n)tˈe͡ɪlə(͡t͡a)
Theft	(͡e͡n)θˈɛft(͡t͡a)
Tourism	(͡e͡n)tˈʊ͡əɹɪzəm(͡t͡a)
UML	(͡e͡n)ˈʌmə͡l(͡t͡a)
Wiberg	(͡e͡n)wˈa͡ɪbɜːɡ(͡t͡a)
Xbox	(͡e͡n)ˈɛksbˈɒks(͡t͡a)
center	(͡e͡n)sˈɛntə(͡t͡a)
constant	(͡e͡n)kˈɒnstənt(͡t͡a)
ibn	(͡e͡n)ˈɪbən(͡t͡a)
no	(͡e͡n)nˈə͡ʊ(͡t͡a)
pKa	pˈiː (͡e͡n)kˈɑː(͡t͡a)
ratio	(͡e͡n)ɹˈe͡ɪʃɪˌə͡ʊ(͡t͡a)
rule	(͡e͡n)ɹˈuːl(͡t͡a)
set	(͡e͡n)sˈɛt(͡t͡a)
source	(͡e͡n)sˈɔːs(͡t͡a)
unit	(͡e͡n)jˈuːnɪt(͡t͡a)
vs	(͡e͡n)vˌiːˈɛs(͡t͡a)
படல	pˈʌɖʌlʌ
பரவச	pˈʌɹʌvˌʌsʌ
ரமண	ɹˈʌmʌɳʌ
ADA	(͡e͡n)ˈe͡ɪdə(͡t͡a)
ATM	(͡e͡n)ˌe͡ɪtˌiːˈɛm(͡t͡a)
AV	(͡e͡n)ˈav(͡t͡a)
Agency	(͡e͡n)ˈe͡ɪd͡ʒənsi(͡t͡a)
Bible	(͡e͡n)bˈa͡ɪbə͡l(͡t͡a)
Britannica	(͡e͡n)bɹɪtˈanɪkə(͡t͡a)
CCD	(͡e͡n)sˌiːsˌiːdˈiː(͡t͡a)
Child	(͡e͡n)t͡ʃˈa͡ɪld(͡t͡a)
Cr	(͡e͡n)sˌiːˈɑː(͡t͡a)
Cultural	(͡e͡n)kˈʌlt͡ʃəɹə͡l(͡t͡a)
Design	(͡e͡n)dɪzˈa͡ɪn(͡t͡a)
Donald	(͡e͡n)dˈɒnə͡ld(͡t͡a)
ETS	(͡e͡n)ˈɛts(͡t͡a)
Early	(͡e͡n)ˈɜːlɪ(͡t͡a)
Eric	(͡e͡n)ˈɛɹɪk(͡t͡a)
FTE	(͡e͡n)ˌɛftˌiːˈiː(͡t͡a)
Federal	(͡e͡n)fˈɛdəɹə͡l(͡t͡a)
Fellow	(͡e͡n)fˈɛlə͡ʊ(͡t͡a)
FireWire	(͡e͡n)fˈa͡ɪ͡ə wˈa͡ɪ͡ə(͡t͡a)
French	(͡e͡n)fɹˈɛnt͡ʃ(͡t͡a)
HDL	(͡e͡n)ˌe͡ɪt͡ʃdˌiːˈɛl(͡t͡a)
HK	(͡e͡n)ˌe͡ɪt͡ʃkˈe͡ɪ(͡t͡a)
HPLC	(͡e͡n)ˌe͡ɪt͡ʃpˌiːˌɛlsˈiː(͡t͡a)
Hare	(͡e͡n)hˈe͡ə(͡t͡a)
Harris	(͡e͡n)hˈaɹɪs(͡t͡a)
Historical	(͡e͡n)hɪstˈɒɹɪkə͡l(͡t͡a)
Homo	(͡e͡n)hˈə͡ʊmə͡ʊ(͡t͡a)
ITU	(͡e͡n)ˈɪtuː(͡t͡a)
Introduction	(͡e͡n)ˌɪntɹədˈʌkʃən(͡t͡a)
Johnson	(͡e͡n)d͡ʒˈɒnsən(͡t͡a)
Justice	(͡e͡n)d͡ʒˈʌstɪs(͡t͡a)
Line	(͡e͡n)lˈa͡ɪn(͡t͡a)
Mathematical	(͡e͡n)mˌaθɪmˈatɪkə͡l(͡t͡a)
Mathematics	(͡e͡n)mˌaθɪmˈatɪks(͡t͡a)
Mountain	(͡e͡n)mˈa͡ʊntɪn(͡t͡a)
Narayan	(͡e͡n)nˈaɹe͡ɪən(͡t͡a)
Nature	(͡e͡n)nˈe͡ɪt͡ʃə(͡t͡a)
Ocean	(͡e͡n)ˈə͡ʊʃən(͡t͡a)
Otto	(͡e͡n)ˈɒtə͡ʊ(͡t͡a)
Pages	(͡e͡n)pˈe͡ɪd͡ʒɪz(͡t͡a)
Pr	(͡e͡n)pˌiːˈɑː(͡t͡a)
Province	(͡e͡n)pɹˈɒvɪns(͡t͡a)
Publishers	(͡e͡n)pˈʌblɪʃəz(͡t͡a)
Radiation	(͡e͡n)ɹˌe͡ɪdɪˈe͡ɪʃən(͡t͡a)
Real	(͡e͡n)ɹˈi͡əl(͡t͡a)
Region	(͡e͡n)ɹˈiːd͡ʒən(͡t͡a)
Report	(͡e͡n)ɹɪpˈɔːt(͡t͡a)
Rock	(͡e͡n)ɹˈɒk(͡t͡a)
Roger	(͡e͡n)ɹˈɒd͡ʒə(͡t͡a)
SCSI	(͡e͡n)skˈʌzi(͡t͡a)
SF	(͡e͡n)ˌɛsˈɛf(͡t͡a)
Sb	(͡e͡n)ˌɛsbˈiː(͡t͡a)
Scientific	(͡e͡n)sa͡ɪ͡əntˈɪfɪk(͡t͡a)
Scott	(͡e͡n)skˈɒt(͡t͡a)
Services	(͡e͡n)sˈɜːvɪsɪz(͡t͡a)
Shah	(͡e͡n)ʃˈɑː(͡t͡a)
Sodium	(͡e͡n)sˈə͡ʊdi͡əm(͡t͡a)
Statistical	(͡e͡n)stɐtˈɪstɪkə͡l(͡t͡a)
TPS	(͡e͡n)tˌiːpˌiːˈɛs(͡t͡a)
Tales	(͡e͡n)tˈe͡ɪlz(͡t͡a)
Three	(͡e͡n)θɹˈiː(͡t͡a)
Tiger	(͡e͡n)tˈa͡ɪɡə(͡t͡a)
Tom	(͡e͡n)tˈɒm(͡t͡a)
Tractatus	(͡e͡n)tɹˈaktatəs(͡t͡a)
Type	(͡e͡n)tˈa͡ɪp(͡t͡a)
UMTS	(͡e͡n)jˌuːˌɛmtˌiːˈɛs(͡t͡a)
Universal	(͡e͡n)jˌuːnɪvˈɜːsə͡l(͡t͡a)
Unix	(͡e͡n)jˈuːnɪks(͡t͡a)
VTP	(͡e͡n)vˌiːtˌiːpˈiː(͡t͡a)
XX	(͡e͡n)ɹˌə͡ʊmən twˈɛnti(͡t͡a)
Young	(͡e͡n)jˈʌŋ(͡t͡a)
article	(͡e͡n)ˈɑːtɪkə͡l(͡t͡a)
black	(͡e͡n)blˈak(͡t͡a)
born	(͡e͡n)bˈɔːn(͡t͡a)
cc	(͡e͡n)sˌiːsˈiː(͡t͡a)
culture	(͡e͡n)kˈʌlt͡ʃə(͡t͡a)
functions	(͡e͡n)fˈʌŋkʃənz(͡t͡a)
heat	(͡e͡n)hˈiːt(͡t͡a)
internal	(͡e͡n)ɪntˈɜːnə͡l(͡t͡a)
potential	(͡e͡n)pətˈɛnʃə͡l(͡t͡a)
radiation	(͡e͡n)ɹˌe͡ɪdɪˈe͡ɪʃən(͡t͡a)
structure	(͡e͡n)stɹˈʌkt͡ʃə(͡t͡a)
technology	(͡e͡n)tɛknˈɒləd͡ʒi(͡t͡a)
ve	(͡e͡n)vˈiː(͡t͡a)
அமல	ˈamʌlʌ
அயலக	ˈajʌlˌʌɡʌ
இரத	ɹˈʌdʌ
கச	kˈʌsʌ
சன	sˈʌnʌ
தகர	tˈʌɡʌɹʌ
நம	nˈʌmʌ
நர	nˈʌɹʌ
வல	vˈʌlʌ
ALA	(͡e͡n)ɐlˈa(͡t͡a)
AST	(͡e͡n)ˈast(͡t͡a)
Ali	(͡e͡n)ˈɑːli(͡t͡a)
Andrew	(͡e͡n)ˈandɹuː(͡t͡a)
Ann	(͡e͡n)ˈan(͡t͡a)
Anthony	(͡e͡n)ˈantəni(͡t͡a)
BMW	(͡e͡n)bˌiːˌɛmdˈʌbə͡ljˌuː(͡t͡a)
Benjamin	(͡e͡n)bˈɛnd͡ʒəmɪn(͡t͡a)
Bernard	(͡e͡n)bˈɜːnəd(͡t͡a)
Br	(͡e͡n)bˌiːˈɑː(͡t͡a)
Bruce	(͡e͡n)bɹˈuːs(͡t͡a)
CA	(͡e͡n)kˈɑː(͡t͡a)
CDMA	(͡e͡n)sˌiːdˌiːˌɛmˈe͡ɪ(͡t͡a)
CN	(͡e͡n)sˌiːˈɛn(͡t͡a)
Capital	(͡e͡n)kˈapɪtə͡l(͡t͡a)
Castle	(͡e͡n)kˈasə͡l(͡t͡a)
Catherine	(͡e͡n)kˈaθɹɪn(͡t͡a)
Catholic	(͡e͡n)kˈaθlɪk(͡t͡a)
Chief	(͡e͡n)t͡ʃˈiːf(͡t͡a)
Community	(͡e͡n)kəmjˈuːnɪti(͡t͡a)
Computer	(͡e͡n)kəmpjˈuːtə(͡t͡a)
Congress	(͡e͡n)kˈɒŋɡɹɛs(͡t͡a)
DHA	(͡e͡n)dˌiːˌe͡ɪt͡ʃˈe͡ɪ(͡t͡a)
DR	(͡e͡n)dˌiːˈɑː(͡t͡a)
Divine	(͡e͡n)dɪvˈa͡ɪn(͡t͡a)
ESOP	(͡e͡n)ˈɛsəp(͡t͡a)
Eccles	(͡e͡n)ˈɛkə͡lz(͡t͡a)
Educational	(͡e͡n)ˌɛd͡ʒuːkˈe͡ɪʃənə͡l(͡t͡a)
Encyclopædia	(͡e͡n)ɛnsˌa͡ɪkləpˈe͡ɪdi͡ə(͡t͡a)
Eusebius	(͡e͡n)juːsˈiːbɪəs(͡t͡a)
FTP	(͡e͡n)ˌɛftˌiːpˈiː(͡t͡a)
Father	(͡e͡n)fˈɑːðə(͡t͡a)
Food	(͡e͡n)fˈuːd(͡t͡a)
Frank	(͡e͡n)fɹˈaŋk(͡t͡a)
Frederick	(͡e͡n)fɹˈɛdəɹˌɪk(͡t͡a)
Freedom	(͡e͡n)fɹˈiːdəm(͡t͡a)
GPS	(͡e͡n)d͡ʒˌiːpˌiːˈɛs(͡t͡a)
GaAs	(͡e͡n)ɡˈɑːɹ az(͡t͡a)
Geographies	(͡e͡n)d͡ʒɪˈɒɡɹəfiz(͡t͡a)
Heinrich	(͡e͡n)hˈa͡ɪnɹɪt͡ʃ(͡t͡a)
How	(͡e͡n)hˈa͡ʊ(͡t͡a)
Is	(͡e͡n)ɪz(͡t͡a)
Jones	(͡e͡n)d͡ʒˈə͡ʊnz(͡t͡a)
José	(͡e͡n)hə͡ʊsˈe͡ɪ(͡t͡a)
Linux	(͡e͡n)lˈɪnʌks(͡t͡a)
Long	(͡e͡n)lˈɒŋ(͡t͡a)
Ltd	(͡e͡n)lˈɪmɪtɪd(͡t͡a)
Me	(͡e͡n)mˈiː(͡t͡a)
Middle	(͡e͡n)mˈɪdə͡l(͡t͡a)
Miller	(͡e͡n)mˈɪlə(͡t͡a)
Mohan	(͡e͡n)mˈə͡ʊhan(͡t͡a)
Monthly	(͡e͡n)mˈʌnθli(͡t͡a)
Moore	(͡e͡n)mˈʊ͡ə(͡t͡a)
NPN	(͡e͡n)ˌɛnpˌiːˈɛn(͡t͡a)
Nelson	(͡e͡n)nˈɛlsən(͡t͡a)
Newman	(͡e͡n)njˈuːmən(͡t͡a)
Organisation	(͡e͡n)ˌɔːɡɐna͡ɪzˈe͡ɪʃən(͡t͡a)
Origin	(͡e͡n)ˈɒɹɪd͡ʒˌɪn(͡t͡a)
PHP	(͡e͡n)pˌiːˌe͡ɪt͡ʃpˈiː(͡t͡a)
PS	(͡e͡n)pˌiːˈɛs(͡t͡a)
Plant	(͡e͡n)plˈant(͡t͡a)
Portuguese	(͡e͡n)pˌɔːt͡ʃəɡˈiːz(͡t͡a)
Publications	(͡e͡n)pˌʌblɪkˈe͡ɪʃənz(͡t͡a)
RPC	(͡e͡n)ˌɑːpˌiːsˈiː(͡t͡a)
Railway	(͡e͡n)ɹˈe͡ɪlwe͡ɪ(͡t͡a)
Records	(͡e͡n)ɹˈɛkɔːdz(͡t͡a)
Reu	(͡e͡n)ɹˈuː(͡t͡a)
RhD	(͡e͡n)ˌɑːɹˈe͡ɪt͡ʃ(͡t͡a) dˈiː
SEER	(͡e͡n)sˈiːə(͡t͡a)
Sen	(͡e͡n)sˈɛn(͡t͡a)
Source	(͡e͡n)sˈɔːs(͡t͡a)
Species	(͡e͡n)spˈiːsiːz(͡t͡a)
Sun	(͡e͡n)sˈʌn(͡t͡a)
Synthesis	(͡e͡n)sˈɪnθəsˌɪs(͡t͡a)
TFTP	(͡e͡n)tˌiːˌɛftˌiːpˈiː(͡t͡a)
TSH	(͡e͡n)tˌiːˌɛsˈe͡ɪt͡ʃ(͡t͡a)
Ti	(͡e͡n)tˈa͡ɪ(͡t͡a)
Travancore	(͡e͡n)tɹˈavaŋkˌɔː(͡t͡a)
Tree	(͡e͡n)tɹˈiː(͡t͡a)
UP	(͡e͡n)ˈʌp(͡t͡a)
Wild	(͡e͡n)wˈa͡ɪld(͡t͡a)
Wolf	(͡e͡n)wˈʊlf(͡t͡a)
Works	(͡e͡n)wˈɜːks(͡t͡a)
Yadav	(͡e͡n)jˈadav(͡t͡a)
basilica	(͡e͡n)bazˈɪlɪkə(͡t͡a)
case	(͡e͡n)kˈe͡ɪs(͡t͡a)
disorder	(͡e͡n)dɪsˈɔːdə(͡t͡a)
ft	(͡e͡n)ˌɛftˈiː(͡t͡a)
gas	(͡e͡n)ɡˈas(͡t͡a)
golden	(͡e͡n)ɡˈə͡ʊldən(͡t͡a)
j	d͡ʒˈeːj
kg	(͡e͡n)kˌe͡ɪd͡ʒˈiː(͡t͡a)
oil	(͡e͡n)ˈɔ͡ɪl(͡t͡a)
out	(͡e͡n)ˈa͡ʊt(͡t͡a)
philosophy	(͡e͡n)fɪlˈɒsəfi(͡t͡a)
positive	(͡e͡n)pˈɒzɪtˌɪv(͡t͡a)
primary	(͡e͡n)pɹˈa͡ɪməɹi(͡t͡a)
root	(͡e͡n)ɹˈuːt(͡t͡a)
sin	(͡e͡n)sˈɪn(͡t͡a)
star	(͡e͡n)stˈɑː(͡t͡a)
stem	(͡e͡n)stˈɛm(͡t͡a)
temple	(͡e͡n)tˈɛmpə͡l(͡t͡a)
test	(͡e͡n)tˈɛst(͡t͡a)
tube	(͡e͡n)tjˈuːb(͡t͡a)
அழ	ˈaɻʌ
ஈல	ˈiːlʌ
ஏஏ	ʲˈeːeː
சட	sˈʌɖʌ
மல	mˈʌlʌ
மலர	mˈʌlʌɹʌ
ABS	(͡e͡n)ˈabz(͡t͡a)
ACT	(͡e͡n)ˈakt(͡t͡a)
Academic	(͡e͡n)ˌakədˈɛmɪk(͡t͡a)
Ag	(͡e͡n)ˈaɡ(͡t͡a)
Anne	(͡e͡n)ˈan(͡t͡a)
Area	(͡e͡n)ˈe͡əɹi͡ə(͡t͡a)
Arnold	(͡e͡n)ˈɑːnə͡ld(͡t͡a)
BCE	(͡e͡n)bˌiːsˌiːˈiː(͡t͡a)
BPH	(͡e͡n)bˌiːpˌiːˈe͡ɪt͡ʃ(͡t͡a)
Bird	(͡e͡n)bˈɜːd(͡t͡a)
Birds	(͡e͡n)bˈɜːdz(͡t͡a)
Blaze	(͡e͡n)blˈe͡ɪz(͡t͡a)
Blood	(͡e͡n)blˈʌd(͡t͡a)
Blue	(͡e͡n)blˈuː(͡t͡a)
CDM	(͡e͡n)sˌiːdˌiːˈɛm(͡t͡a)
CIDR	(͡e͡n)sˈɪdə(͡t͡a)
CNN	(͡e͡n)sˌiːˌɛnˈɛn(͡t͡a)
Der	(͡e͡n)dˈe͡ə(͡t͡a)
Diego	(͡e͡n)dɪˈe͡ɪɡə͡ʊ(͡t͡a)
EMV	(͡e͡n)ˈɛmv(͡t͡a)
ERP	(͡e͡n)ˈɜːp(͡t͡a)
Electronic	(͡e͡n)ɪlɛktɹˈɒnɪk(͡t͡a)
Foot	(͡e͡n)fˈʊt(͡t͡a)
Friedrich	(͡e͡n)fɹˈiːdɹɪt͡ʃ(͡t͡a)
Front	(͡e͡n)fɹˈʌnt(͡t͡a)
GA	(͡e͡n)ɡˈɑː(͡t͡a)
GATT	(͡e͡n)ɡˈat(͡t͡a)
GNU	(͡e͡n)ɡənˈuː(͡t͡a)
GPa	(͡e͡n)d͡ʒˌiːpˌiːˈe͡ɪ(͡t͡a)
GTA	(͡e͡n)d͡ʒˌiːtˌiːˈe͡ɪ(͡t͡a)
German	(͡e͡n)d͡ʒˈɜːmən(͡t͡a)
HI	(͡e͡n)hˈa͡ɪ(͡t͡a)
HP	(͡e͡n)ˌe͡ɪt͡ʃpˈiː(͡t͡a)
Hans	(͡e͡n)hˈanz(͡t͡a)
Helen	(͡e͡n)hˈɛlən(͡t͡a)
Herbert	(͡e͡n)hˈɜːbət(͡t͡a)
Higher	(͡e͡n)hˈa͡ɪə(͡t͡a)
Hiltebeitel	(͡e͡n)hˈɪltɪbˌe͡ɪtə͡l(͡t͡a)
Holleman	(͡e͡n)hˈɒlɛmən(͡t͡a)
Howard	(͡e͡n)hˈa͡ʊəd(͡t͡a)
IAS	(͡e͡n)ˈa͡ɪəz(͡t͡a)
IC	(͡e͡n)ˈa͡ɪk(͡t͡a)
IEC	(͡e͡n)ˈa͡ɪk(͡t͡a)
ILM	(͡e͡n)ˈɪlm(͡t͡a)
IS	(͡e͡n)ɪz(͡t͡a)
Industry	(͡e͡n)ˈɪndʌstɹi(͡t͡a)
Iron	(͡e͡n)ˈa͡ɪ͡ən(͡t͡a)
JPEG	(͡e͡n)d͡ʒˈe͡ɪpˈɛɡ(͡t͡a)
JSP	(͡e͡n)d͡ʒˌe͡ɪˌɛspˈiː(͡t͡a)
Jack	(͡e͡n)d͡ʒˈak(͡t͡a)
Japan	(͡e͡n)d͡ʒəpˈan(͡t͡a)
Kane	(͡e͡n)kˈe͡ɪn(͡t͡a)
Kong	(͡e͡n)kˈɒŋ(͡t͡a)
Korea	(͡e͡n)kɔɹˈiːə(͡t͡a)
Kumbakonam	(͡e͡n)kˈʌmbɐkˌɒnɑːm(͡t͡a)
Layer	(͡e͡n)lˈe͡ɪə(͡t͡a)
Legislative	(͡e͡n)lˈɛd͡ʒɪslətˌɪv(͡t͡a)
Liberation	(͡e͡n)lˌɪbəɹˈe͡ɪʃən(͡t͡a)
Living	(͡e͡n)lˈɪvɪŋ(͡t͡a)
Love	(͡e͡n)lˈʌv(͡t͡a)
MCC	(͡e͡n)ˌɛmsˌiːsˈiː(͡t͡a)
Market	(͡e͡n)mˈɑːkɪt(͡t͡a)
Medal	(͡e͡n)mˈɛdə͡l(͡t͡a)
Media	(͡e͡n)mˈiːdiːə(͡t͡a)
Motion	(͡e͡n)mˈə͡ʊʃən(͡t͡a)
Mr	(͡e͡n)mˈɪstə(͡t͡a)
Mukherjee	(͡e͡n)mʊkˈɜːd͡ʒiː(͡t͡a)
NAD	(͡e͡n)nˈad(͡t͡a)
Nair	(͡e͡n)nˈe͡ə(͡t͡a)
Nicholas	(͡e͡n)nˈɪkələs(͡t͡a)
Order	(͡e͡n)ˈɔːdə(͡t͡a)
PAL	(͡e͡n)pˈal(͡t͡a)
PH	(͡e͡n)pˌiːˈe͡ɪt͡ʃ(͡t͡a)
Patrick	(͡e͡n)pˈatɹɪk(͡t͡a)
PhD	(͡e͡n)pˌiːˈe͡ɪt͡ʃ(͡t͡a) dˈiː
Pierre	(͡e͡n)pɪˈe͡ə(͡t͡a)
Prasad	(͡e͡n)pɹˈasad(͡t͡a)
Psychology	(͡e͡n)sa͡ɪkˈɒləd͡ʒi(͡t͡a)
Pure	(͡e͡n)pjˈʊ͡ə(͡t͡a)
Quantum	(͡e͡n)kwˈɒntəm(͡t͡a)
RAF	(͡e͡n)ɹˈaf(͡t͡a)
RFID	(͡e͡n)ˈɑːfˈɪd(͡t͡a)
RJR	(͡e͡n)ˌɑːd͡ʒˌe͡ɪˈɑː(͡t͡a)
Roy	(͡e͡n)ɹˈɔ͡ɪ(͡t͡a)
SIDC	(͡e͡n)sˈɪdk(͡t͡a)
Sanskrit	(͡e͡n)sˈanskɹɪt(͡t͡a)
Sewall	(͡e͡n)sˈuːɔːl(͡t͡a)
SiO	(͡e͡n)sˈiː(͡t͡a) ˈoː
Smoothed	(͡e͡n)smˈuːðd(͡t͡a)
Sunspot	(͡e͡n)sˈʌnspɒt(͡t͡a)
Table	(͡e͡n)tˈe͡ɪbə͡l(͡t͡a)
Taluk	(͡e͡n)tˈalʌk(͡t͡a)
Tea	(͡e͡n)tˈiː(͡t͡a)
Test	(͡e͡n)tˈɛst(͡t͡a)
Text	(͡e͡n)tˈɛkst(͡t͡a)
Transport	(͡e͡n)tɹˈanspɔːt(͡t͡a)
Treatise	(͡e͡n)tɹˈiːtɪz(͡t͡a)
UDP	(͡e͡n)jˌuːdˌiːpˈiː(͡t͡a)
UUCP	(͡e͡n)jˌuːjˌuːsˌiːpˈiː(͡t͡a)
Unit	(͡e͡n)jˈuːnɪt(͡t͡a)
WAP	(͡e͡n)wˈap(͡t͡a)
Warren	(͡e͡n)wˈɒɹən(͡t͡a)
Way	(͡e͡n)wˈe͡ɪ(͡t͡a)
We	(͡e͡n)wiː(͡t͡a)
Wood	(͡e͡n)wˈʊd(͡t͡a)
Yang	(͡e͡n)jˈaŋ(͡t͡a)
You	(͡e͡n)juː(͡t͡a)
Zone	(͡e͡n)zˈə͡ʊn(͡t͡a)
algorithm	(͡e͡n)ˈalɡəɹˌɪθəm(͡t͡a)
also	(͡e͡n)ˈɔːlsə͡ʊ(͡t͡a)
base	(͡e͡n)bˈe͡ɪs(͡t͡a)
circuit	(͡e͡n)sˈɜːkɪt(͡t͡a)
city	(͡e͡n)sˈɪti(͡t͡a)
court	(͡e͡n)kˈɔːt(͡t͡a)
dB	dˈiː bˈiː
death	(͡e͡n)dˈɛθ(͡t͡a)
digital	(͡e͡n)dˈɪd͡ʒɪtə͡l(͡t͡a)
do	(͡e͡n)dˈuː(͡t͡a)
elements	(͡e͡n)ˈɛlɪmənts(͡t͡a)
factor	(͡e͡n)fˈaktə(͡t͡a)
film	(͡e͡n)fˈɪlm(͡t͡a)
fish	(͡e͡n)fˈɪʃ(͡t͡a)
government	(͡e͡n)ɡˈʌvənmənt(͡t͡a)
house	(͡e͡n)hˈa͡ʊs(͡t͡a)
indica	(͡e͡n)ˈɪndɪkə(͡t͡a)
l	ˈɛl
library	(͡e͡n)lˈa͡ɪbɹəɹi(͡t͡a)
lines	(͡e͡n)lˈa͡ɪnz(͡t͡a)
music	(͡e͡n)mjˈuːzɪk(͡t͡a)
open	(͡e͡n)ˈə͡ʊpən(͡t͡a)
phase	(͡e͡n)fˈe͡ɪz(͡t͡a)
principle	(͡e͡n)pɹˈɪnsɪpə͡l(͡t͡a)
processing	(͡e͡n)pɹˈə͡ʊsɛsɪŋ(͡t͡a)
programming	(͡e͡n)pɹˈə͡ʊɡɹamɪŋ(͡t͡a)
school	(͡e͡n)skˈuːl(͡t͡a)
sea	(͡e͡n)sˈiː(͡t͡a)
secondary	(͡e͡n)sˈɛkəndəɹi(͡t͡a)
social	(͡e͡n)sˈə͡ʊʃə͡l(͡t͡a)
solar	(͡e͡n)sˈə͡ʊlə(͡t͡a)
species	(͡e͡n)spˈiːsiːz(͡t͡a)
standard	(͡e͡n)stˈandəd(͡t͡a)
virus	(͡e͡n)vˈa͡ɪɹəs(͡t͡a)
wave	(͡e͡n)wˈe͡ɪv(͡t͡a)
µm	(͡e͡n)mˌa͡ɪkɹə͡ʊˈɛm(͡t͡a)
ε	(͡e͡l)ˈepsilˌon(͡t͡a)
ஆற	ˈaːrʌ
எகர	ʲˈeɡʌɹʌ
ஒகர	ˈoɡʌɹʌ
கர	kˈʌɹʌ
ஜ	d͡ʒˈʌ
நரச	nˈʌɹʌsʌ
AIR	(͡e͡n)ˈe͡ə(͡t͡a)
AP	(͡e͡n)ˈap(͡t͡a)
AS	(͡e͡n)az(͡t͡a)
Adams	(͡e͡n)ˈadəmz(͡t͡a)
Agricultural	(͡e͡n)ˌaɡɹɪkˈʌlt͡ʃəɹə͡l(͡t͡a)
America	(͡e͡n)ɐmˈɛɹɪkə(͡t͡a)
Animal	(͡e͡n)ˈanɪmə͡l(͡t͡a)
Antonio	(͡e͡n)antˈə͡ʊnɪˌə͡ʊ(͡t͡a)
Applied	(͡e͡n)ɐplˈa͡ɪd(͡t͡a)
Arc	(͡e͡n)ˈɑːk(͡t͡a)
Atomic	(͡e͡n)ɐtˈɒmɪk(͡t͡a)
Australia	(͡e͡n)ɒstɹˈe͡ɪli͡ə(͡t͡a)
BAFTA	(͡e͡n)bˈaftə(͡t͡a)
BIOS	(͡e͡n)bˈa͡ɪə͡ʊz(͡t͡a)
Bombay	(͡e͡n)bˈɒmbe͡ɪ(͡t͡a)
Bridge	(͡e͡n)bɹˈɪd͡ʒ(͡t͡a)
Britain	(͡e͡n)bɹˈɪtən(͡t͡a)
Buddhist	(͡e͡n)bˈʊdɪst(͡t͡a)
CB	(͡e͡n)sˌiːbˈiː(͡t͡a)
CBSE	(͡e͡n)sˌiːbˌiːˌɛsˈiː(͡t͡a)
CITES	(͡e͡n)sˈa͡ɪts(͡t͡a)
Captain	(͡e͡n)kˈaptɪn(͡t͡a)
Chamber	(͡e͡n)t͡ʃˈe͡ɪmbə(͡t͡a)
Chicago	(͡e͡n)ʃɪkˈɑːɡə͡ʊ(͡t͡a)
Children	(͡e͡n)t͡ʃˈɪldɹən(͡t͡a)
Christ	(͡e͡n)kɹˈa͡ɪst(͡t͡a)
Classical	(͡e͡n)klˈasɪkə͡l(͡t͡a)
Coast	(͡e͡n)kˈə͡ʊst(͡t͡a)
Conference	(͡e͡n)kˈɒnfɹəns(͡t͡a)
DDT	(͡e͡n)dˌiːdˌiːtˈiː(͡t͡a)
DN	(͡e͡n)dˌiːˈɛn(͡t͡a)
DSL	(͡e͡n)dˌiːˌɛsˈɛl(͡t͡a)
Declaration	(͡e͡n)dˌɛkləɹˈe͡ɪʃən(͡t͡a)
Doctor	(͡e͡n)dˈɒktə(͡t͡a)
Double	(͡e͡n)dˈʌbə͡l(͡t͡a)
Electric	(͡e͡n)ɪlˈɛktɹɪk(͡t͡a)
End	(͡e͡n)ˈɛnd(͡t͡a)
England	(͡e͡n)ˈɪŋɡlənd(͡t͡a)
Estate	(͡e͡n)ɪstˈe͡ɪt(͡t͡a)
Eugene	(͡e͡n)jˈuːd͡ʒiːn(͡t͡a)
Explorer	(͡e͡n)ɛksplˈɔːɹə(͡t͡a)
GPL	(͡e͡n)d͡ʒˌiːpˌiːˈɛl(͡t͡a)
Gas	(͡e͡n)ɡˈas(͡t͡a)
Ge	(͡e͡n)d͡ʒˈiː(͡t͡a)
Giant	(͡e͡n)d͡ʒˈa͡ɪənt(͡t͡a)
Giuseppe	(͡e͡n)d͡ʒˈɪjuːsˌɛp(͡t͡a)
Gold	(͡e͡n)ɡˈə͡ʊld(͡t͡a)
IMAX	(͡e͡n)ɪmˈaks(͡t͡a)
IPL	(͡e͡n)ˈɪpə͡l(͡t͡a)
IU	(͡e͡n)ˈɪuː(͡t͡a)
IUPAC	(͡e͡n)ˈɪjuːpˌak(͡t͡a)
Indira	(͡e͡n)ɪndˈi͡əɹə(͡t͡a)
Iran	(͡e͡n)ɪɹˈan(͡t͡a)
JHVH	(͡e͡n)d͡ʒˌe͡ɪˌe͡ɪt͡ʃvˌiːˈe͡ɪt͡ʃ(͡t͡a)
Jr	(͡e͡n)d͡ʒˌe͡ɪˈɑː(͡t͡a)
Judaism	(͡e͡n)d͡ʒˈuːde͡ɪˌɪzəm(͡t͡a)
